# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 20:54:21 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/general_enzymes.txt
AccB	aspA//mhpE//
GadE	uxaA//napH//pgk//moeB//glmU//rhaA//cysD//ogt//talA//polA//
GadE-RcsB	gatY//idnO//pdeR//moaD//
GadW	purC//gor//allD//wzc//
GadX	speA//citE//garR//epd//pykF//yeaG//ynfG//folA//fadD//alaS//gutQ//arsC//
GalR	malS//ogt//rffM//gatY//ruvB//caiA//
GalS	gltD//patA//sodB//chbF//phnG//serA//
GatR	ldtC//purE//folA//
GcvA	uvrA//torA//trpC//
GlcC	cueO//gapA//pncB//
GlpR	nadA//guaA//ftsI//pheT//pspE//glpC//lysC//
GlrR	
GntR	puuB//lsrG//murI//pgaC//gpmM//nrdA//citF//tadA//accA//
GutM	napG//nrfD//citF//
GutR	mhpA//moeA//astA//
HU	lyxK//eda//appA//hmp//uvrC//alkA//paaY//
HcaR	dgkA//nrfA//
HdfR	
HigA	ttdA//
HigB-HigA	dhaM//
HipAB	phnI//glpC//
HipB	entB//gcvH//pspE//
HyfR	thrS//
HypT	argC//garL//caiA//xylA//paaJ//idnO//feaB//
IclR	rffG//rhaB//purN//
IdnR	torA//paaA//tdcB//nrfD//moeA//deoA//
IlvY	paaA//
IscR	trpB//xylB//garK//puuC//glpQ//yiaK//
KdgR	luxS//dhaM//
KdpE	mltF//
LacI	lyxK//frdA//galT//
LeuO	caiB//ogt//oxc//gloA//hypF//gatZ//
LexA	mraY//deoB//garK//dapB//pdeH//yiaK//rutC//nfsA//glpC//paaA//gntK//gatY//entF//rhaD//sgbU//rimK//rfe//recF//bioD//napB//gcl//
LldR	gnd//murG//
LrhA	
LsrR	hyaA//codA//entD//torA//fucO//
LysR	argD//
MalI	glpD//entH//
MalT	metE//treC//uxaB//citX//rsmH//deoC//
MarA	purK//sdhC//aroF//mnmG//citD//xylA//pgaB//purD//truB//astC//sdhA//allA//fbaA//narG//aspA//lsrF//murD//cysE//napA//idnD//galK//argB//leuC//
MarR	
MatA	murF//
MazE	galK//
MazE-MazF	lyxK//
McbR	
MelR	tdcB//murI//
MetJ	katG//ndh//betB//pgpC//paaI//truB//malQ//ugpQ//metE//fucO//
MetR	tauD//alaS//rfe//fadE//
MhpR	ruvB//mhpB//nadA//prpC//uidA//murQ//
Mlc	gabT//edd//pgpC//hemH//
MlrA	puuB//
MngR	mhpF//icd//
MntR	cysK//gabT//
ModE	sodA//aroG//rpiB//fabZ//speA//purL//caiB//malY//appA//fadH//phnI//fucA//tktB//pgaB//
MprA	gcl//gor//paaY//
MqsA	gadA//guaB//
MraZ	ynfE//citG//hemL//folE//hycG//pfkA//yfbR//nirB//mhpB//nrdB//rbsK//
MtlR	fucK//aroG//gnd//
MurR	purC//tehB//mhpB//
Nac	araA//dapB//aroL//pdeR//cysC//gor//glcB//paaB//mazG//tdcE//
NadR	purH//prpC//garD//rffM//
NagC	pgaB//arsC//aceB//napG//ahpC//malP//ynfH//paaG//metE//araD//appA//malZ//prs//speB//ppc//polB//murD//fabG//aldA//
NanR	glmU//pnp//gpmM//alkA//citF//lyxK//
NarL	rbsD//fruK//entF//yeaG//cysH//xylA//tdcG//kbaZ//leuD//melA//malS//yfbR//rutD//sgbU//dapB//bioC//wecB//pgi//ogt//hcaD//aroL//mpl//oxc//epd//puuB//eda//iscS//dacC//aroL//lacA//oxc//ynfH//frc//dkgB//aspC//uvrA//
NarP	argG//ttdB//pgaB//guaB//rutE//malZ//ndh//trpA//paaA//narI//uvrC//
NemR	glpC//ruvB//
NhaR	dgcZ//amn//rffT//astE//purB//
NikR	lysC//
NimR	fadA//
NorR	ybjG//
NrdR	bioD//purF//lsrF//galE//
NsrR	dmsB//gatY//glpC//treC//betB//rbsK//fabH//purF//dmsC//mnmG//cysN//asnA//metK//nrfC//pagP//rimK//alkA//glpB//mhpD//dgcZ//epd//ulaE//ubiC//garL//murC//fadM//ldtC//leuB//phnH//uxaB//sdhB//pflB//dhaL//sucA//patD//atoA//
NtrC	gatD//tdcE//rbsD//murE//fes//udp//napH//fucO//ubiC//pdeR//wecB//allE//tadA//icd//mhpB//argE//ung//ybjG//alaS//fadI//mhpA//
OmpR	ynfG//wecC//alkA//pepD//lsrG//argA//mhpE//mpl//
OxyR	glgB//purD//sufS//oxc//glgC//frdD//idnO//tktB//dkgB//dinB//entD//garD//phnN//pgk//
PaaX	metB//yqjH//metF//sdhD//bioF//hycC//dmsB//adiA//ulaD//
PdeL	mpaA//
PdhR	alsE//cysG//aldA//rimK//glyA//cysI//ruvB//nrfC//uxuA//gltD//nrfA//hyaC//frdB//add//ruvA//trpA//dmsB//purF//napC//mnmG//hcaC//oxc//cynS//phnO//glcE//nagB//
PepA	dgcC//pgaD//
PgrR	trpC//glpX//
PhoB	cysN//umpH//waaZ//hmp//allC//paaJ//iscS//rnpB//bioA//malP//lpd//entH//frdC//puuE//metA//dgcZ//nrdA//bioF//
PhoP	asnB//pncB//entD//entF//cysD//frdC//galM//accC//srlD//yqhD//entE//fucI//pflB//argD//puuD//hyi//rutD//astB//moaE//gltD//asnA//astA//mraY//hemL//rhaD//glpC//yqjH//nadB//ndh//amn//mhpA//waaY//fadI//
PrpR	lhgO//katG//argA//gcvH//
PspF	tauD//
PurR	lhgO//mraY//ulaG//argD//argB//entE//caiA//malZ//dmsA//gloA//pncB//cysC//carA//hyaC//hcaD//glxK//deoA//lyxK//hyaA//glxK//pgaC//fucI//glxK//nadA//ubiA//yfdE//
PutA	caiA//ynfH//
PuuR	gpmA//nanK//phr//asnB//glnA//pyrC//
QseB	
RbsR	gcl//fadJ//gabT//sgbE//entC//trpE//
RcdA	napH//
RclR	
RcnR	bioC//
RcsAB	relA//rffM//fabH//
RcsB	ruvA//cadA//ulaE//deoA//
RcsB-BglJ	purM//napG//
RelB	dgkA//
RelB-RelE	prpD//
RhaR	
RhaS	pheS//ynfE//purE//pheS//
Rob	entA//acnA//zwf//yeaE//dapD//poxB//nadA//wzb//fbaA//ogt//appA//dmsA//rimK//astC//argH//argI//glpA//fadE//nrdE//
RstA	hypF//chbF//argH//
RtcR	hcaB//tdcD//
RutR	nfsA//pdeR//narH//deoA//narG//ilvC//bioF//hycF//araD//phnO//folE//
SdiA	
SgrR	glcE//melA//alaS//
SlyA	
SoxR	citE//
SoxS	lyxK//rffM//malP//rffG//hycB//narI//glcE//wecB//glpA//tyrA//relA//ugpQ//mdh//tktB//puuC//slt//fadA//ychF//dgcZ//entH//entH//ddlB//trpA//murD//dgcC//glpQ//
StpA	aroG//pyrC//ulaD//
SutR	galT//fucA//
TdcA	leuD//fbaA//tdcD//cyoE//ampC//
TdcR	rffC//atoD//paaA//cysC//pepD//
TorR	purE//ybaS//rutC//tam//
TreR	nanA//cynS//
TrpR	sgbH//dmsB//paaE//citF//sodB//caiA//citF//ppc//speB//
TyrR	gntK//icd//ruvB//lacZ//gatY//yqjH//napG//glgB//gadB//
UhpA	lhgO//
UidR	accD//bioF//
UlaR	phnM//yibQ//cysM//fabI//mhpD//
UvrY	hyaA//gcvP//
UxuR	purA//lysA//relA//hemL//codA//
XapR	fucO//frc//
XylR	allE//waaY//dmsC//
YdeO	tadA//sdhB//waaZ//
YedW	argE//slt//accB//
YefM	trpC//
YefM-YoeB	cysH//
YehT	
YeiL	
YiaJ	entE//cysH//ubiX//paaA//ampC//cadA//
YjjQ	pgaC//
YpdB	
YqhC	nrdD//uxuB//
YqjI	pykF//
ZntR	uxuA//
ZraR	
Zur	pck//
