# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 20:54:21 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/general_enzymes.txt
AccB	hemH//nrfD//
NarL	glgX//nadA//relA//mazG//waaH//rhaA//deoD//argD//frdC//appA//pgaC//atoD//putA//lysC//phnJ//citC//hyaB//yibQ//argD//metL//ulaF//citG//glgP//frdB//napB//rsmH//mhpF//serA//hcaF//uvrB//argA//atoD//lsrF//astE//deoC//accA//
NarP	narH//ldtC//purL//ascB//araB//bioB//hcaE//nanK//pgk//gntK//trpE//
NemR	ynfG//galK//
NhaR	pspE//cysG//bacA//tdcB//malY//
NikR	astA//
NimR	deoD//
NorR	fabH//
NrdR	pfkA//dgcC//ndh//melA//
NsrR	sucC//nirB//sdhB//murF//tyrA//phnI//entH//hyaB//hcaD//sgbH//fucI//relA//tehB//hyaC//kbaY//dhaL//frdD//hycG//wrbA//nrfD//astA//glgP//hcaC//pheS//atoB//rfe//pyrC//paaE//purA//lyxK//lsrK//hypB//ppc//lpxA//ynfG//citD//
NtrC	leuB//citE//lpxC//gntK//fbaA//alkB//argD//fabD//garR//feaB//fadE//caiD//napA//purE//dmsC//pgk//speA//sgbU//glgA//phnG//fadH//
OmpR	pgaB//glpB//citD//hcaF//galM//ybaS//aceE//pheS//
OxyR	cysJ//allA//pck//tdcE//mhpD//adiA//eno//ubiA//glnA//eda//nanE//patD//alkA//glgX//
PaaX	mdh//ulaE//galK//relA//yibQ//argE//murI//entF//fadI//
PdeL	allA//
PdhR	uidA//recF//tauD//deoB//torC//garK//nrfB//gutQ//wecB//ybaS//ndh//uxaB//dapD//hemL//paaC//ada//sucD//glpQ//dsdA//argI//pgaC//betA//nrdB//fabZ//nadA//leuB//
PepA	murG//moaD//
PgrR	prs//mngB//
PhoB	dhaL//caiD//lpxA//gntK//frdB//nadB//allD//icd//fbaA//moaD//fdhF//allB//icd//sucC//ubiX//caiD//cysM//sodA//
PhoP	astE//napH//deoC//ubiX//gloA//leuB//xapA//narH//cysC//deoB//pheT//mraY//argI//lyxK//moaE//puuA//tnaA//adiA//aceF//deoD//rffT//dmsB//nrfB//speB//lsrK//purB//ilvC//waaY//metE//allC//pepD//lpxC//purH//
PrpR	phnJ//umpH//gpmA//paaA//
PspF	leuB//
PurR	argB//prpD//katE//glcF//dmsB//patA//cysD//wecB//fabG//dhaL//hycF//paaE//fadH//glgB//cynS//moeA//purF//tyrB//alsE//metK//umuC//rffT//pheS//kbaZ//speB//nanE//
PutA	nirB//rffC//
PuuR	prpB//moaE//yqjH//alaS//glcB//argE//
QseB	
RbsR	phnJ//glpK//metA//argI//galK//glcB//
RcdA	gntK//
RclR	
RcnR	prpE//
RcsAB	dkgB//eda//gloA//
RcsB	nfsB//pykF//ruvB//purA//
RcsB-BglJ	ppsA//leuB//
RelB	murE//
RelB-RelE	aceF//
RhaR	
RhaS	phnM//folA//ssuE//rimK//
Rob	atoA//mhpE//hycD//chbF//rffM//lysC//pncB//nagB//paaG//adiA//frc//hyaB//chbG//glk//lhgO//pck//ppc//atoD//ascB//
RstA	ruvB//ugpQ//tdcB//
RtcR	mazG//pgaD//
RutR	glxR//nadB//ldtD//adiA//tynA//hemL//cysJ//ulaD//tyrA//pncB//gabT//
SdiA	
SgrR	lhgO//pykF//metH//
SlyA	
SoxR	aroL//
SoxS	paaZ//katE//ilvC//pagP//hcp//yeaE//malZ//hycC//fucU//glgP//nagA//murC//ahpC//yfbR//nfsA//dapD//sodB//garD//dgcZ//citX//serA//glcD//ynfF//tyrB//nanK//tnaA//
StpA	pyrC//gatZ//fucA//
SutR	zwf//betA//
TdcA	hcaD//mpaA//ulaF//entB//idnO//
TdcR	xylA//paaH//ahpF//ssuD//cysG//
TorR	paaC//sodB//metC//ssuE//
TreR	garD//yiaK//
TrpR	aspA//mpaA//napB//mhpF//hyaC//nagB//sufS//rpiB//napG//
TyrR	gcl//carB//citE//ahpC//gpmA//gapA//moeA//phr//mazG//
UhpA	accD//
UidR	malS//gcvH//
UlaR	moaA//murD//dmsB//pgaB//pagP//
UvrY	aspC//fucI//
UxuR	entF//cueO//glpC//fruK//glgX//
XapR	hycD//pspE//
XylR	fabI//dinB//yqhD//
YdeO	epd//astA//pgaB//
YedW	appA//lsrG//hyi//
YefM	gdhA//
YefM-YoeB	nrdD//
YehT	
YeiL	
YiaJ	umuC//fadB//trpE//glgP//sdhC//trpB//
YjjQ	bioC//
YpdB	
YqhC	pgaB//fadB//
YqjI	lacZ//
ZntR	pgaD//
ZraR	
Zur	tam//
