# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 20:54:21 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/general_enzymes.txt
AccB	gntK//dacC//
Fur	aroH//argG//hycE//polB//yqjH//thrS//garK//glpA//lsrG//gltB//phoA//aceB//bacA//tdcD//glcE//umpH//alsE//ynfH//rsmH//gpmM//alaC//murG//aroL//phnH//ynfF//rdoA//aspC//umuD//narG//kbaY//rutB//ldtC//allB//glmU//fabG//idnO//gabT//murF//uxaA//nrdA//lysA//acnB//nrdF//lysC//betA//fadM//caiC//gabD//tauD//pagP//talA//dkgB//ddlB//recF//accA//truB//argA//entF//fabI//ttdA//rffM//accB//fabZ//
GadE	ybaS//yeaG//ung//fabA//sodA//hmp//cadA//nfsA//oxc//cynS//
GadE-RcsB	mhpC//argD//hycG//paaY//
GadW	rbsK//gcvT//sdhC//allE//
GadX	tynA//deoB//fadE//ugpQ//ahpC//idnD//sodB//xylA//asnA//dkgB//lacA//gcvT//
GalR	pgpC//murG//fadD//frdC//pykF//rutB//
GalS	trpE//ynfH//nrfC//zwf//citE//cdd//
GatR	carA//pdeL//gabT//
GcvA	puuA//idnD//ybaS//
GlcC	waaH//uxaA//ynfH//
GlpR	yqjH//ynfH//citE//gor//gnd//puuB//metC//
GlrR	
GntR	asnB//pagP//ubiC//pgaC//hyaB//dmsA//codA//epd//fucO//
GutM	bioC//metE//entE//
GutR	napC//metA//pheT//
HU	gloA//xylB//lsrF//glpC//pgaB//serA//accC//
HcaR	phnG//ogt//
HdfR	
HigA	alaC//
HigB-HigA	ung//
HipAB	mpaA//fadM//
HipB	sucA//phnL//putA//
HyfR	tadA//
HypT	lsrG//bioD//lysC//nfsB//phnL//nfsB//glgC//
IclR	paaB//mraY//tdcB//
IdnR	ychF//entE//ycjG//metH//recF//gcl//
IlvY	speB//
IscR	folE//gcvH//glcE//paaB//aspC//accA//
KdgR	deoA//entF//
KdpE	araA//
LacI	metF//tdcD//rffM//
LeuO	xapA//argG//murC//ogt//ampC//mngB//
LexA	puuC//ycjG//puuA//tnaA//folE//pnp//patD//pheS//feaB//rhaB//gpmA//truB//tpiA//entC//garK//garK//gntK//thrS//glpK//pykF//hyaC//
LldR	citG//asnB//
LrhA	
LsrR	fadA//ada//dgcC//hmp//guaA//
LysR	hemH//
MalI	murI//srlD//
MalT	pncB//astE//gutQ//glpC//aspC//metB//
MarA	lyxK//alkA//purF//uxuA//ddlB//zwf//argI//ubiC//nanA//argG//uidA//caiB//moeB//fucO//pgk//mhpB//frdC//folA//murQ//glgX//tam//ruvB//gloA//
MarR	
MatA	phnI//
MazE	uxuB//
MazE-MazF	torC//
McbR	
MelR	gabD//dhaK//
MetJ	ynfE//accB//argB//udp//guaB//paaZ//xylA//paaF//entD//glgC//
MetR	moaE//metB//dkgB//rutE//
MhpR	eno//fau//rbsK//lhgO//trpC//nrdA//
Mlc	yfdE//napG//betA//hyaC//
MlrA	speA//
MngR	katE//fadJ//
MntR	relA//argD//
ModE	ndh//nrdF//hcaD//pnp//paaA//rutA//bioF//yiaK//deoA//rffG//dinB//pagP//frdD//ychF//
MprA	ldtD//dhaM//waaH//
MqsA	dmsA//purB//
MraZ	rnpB//psd//polA//fbaA//glcB//idnO//hypF//garK//argB//patD//fau//
MtlR	trpA//xylA//frdD//
MurR	phnO//bioA//ndh//
Nac	trpC//mhpF//bioC//kbaZ//lsrG//allA//polA//gatD//phnI//hyaB//
NadR	yfdE//ssuD//nrfD//nrdE//
NagC	deoB//pnp//pheS//speA//iscS//cysJ//sucD//purL//hyaB//torC//umpH//carB//treC//hyi//rbsK//ppiA//fucK//cynS//mhpC//
NanR	galT//caiD//putA//ubiX//bioD//appA//
NarL	uxuB//fabH//ychF//phnN//caiD//sdhA//speA//lhgO//murE//cynT//fadD//guaA//argI//ogt//tam//iscS//entE//astB//gatD//sufS//caiA//nirD//pck//mhpB//phnJ//paaG//tktB//aroL//waaY//prpE//phnM//oxc//lpxC//rfe//ulaD//hycF//
NarP	fbaA//wecC//hycB//uxaC//uxaB//umpH//citG//lacZ//ssuD//yiaK//tdcD//
NemR	tam//bioA//
NhaR	cysD//allB//rutD//pagP//sucA//
NikR	frc//
NimR	nadB//
NorR	pgaB//
NrdR	narH//araD//lysC//katE//
NsrR	patD//hemH//uxuA//pgaB//sdhA//ndh//dgkA//rhaA//dmsB//rffH//gntK//alaS//lsrG//umuC//fucI//cysC//dhaM//patD//gutQ//dkgA//cysH//tauD//yfbR//cueO//asnA//moeA//deoD//garL//ttdA//feaB//gabD//deoC//feaB//frdB//acnB//ynfF//
NtrC	sodB//glpA//nemA//fadH//atoA//tpiA//lsrF//paaK//tktB//entH//metL//mhpB//fabD//glpA//sodA//ppc//dgkA//glpQ//nfsA//phnP//lysC//
OmpR	caiA//allD//hcaC//mngB//napB//prpD//slt//putA//
OxyR	fabZ//accC//purF//yfdE//umpH//lpxD//murF//dgcZ//alkB//trpA//dgkA//ulaD//astD//paaC//
PaaX	malS//yeaG//folE//citX//glgC//rbsD//lhgO//metC//tadA//
PdeL	tam//
PdhR	ascB//lsrF//cysK//paaJ//hycG//polA//dgcC//tdcB//glgP//aroG//hycC//bioC//malP//katG//glgA//paaG//acnA//ascB//fabA//aroF//aspA//allD//pnp//idnO//uvrC//cadA//
PepA	glpD//accA//
PgrR	sodB//araD//
PhoB	metL//iscS//glcF//sodB//murQ//ilvC//lysC//luxS//fadJ//idnD//glgC//sdhA//rutB//trpB//lysA//ttdB//deoD//caiC//
PhoP	gatY//guaA//ogt//phnP//caiA//lpxC//ahpC//leuA//lysC//cysK//deoD//rhaA//galE//mhpD//acnA//xylA//moaA//kbaZ//lpxC//aceA//nirB//sgbH//argH//fabH//appA//mhpE//fumB//entB//relA//hyi//rdoA//garK//paaG//
PrpR	acnB//puuB//asnB//puuE//
PspF	citC//
PurR	fadB//rhaB//napH//malQ//deoD//ynfF//purH//moeA//gadA//gabT//putA//folA//cysD//pspE//accC//pagP//ilvC//cyoE//thrS//adiA//adhE//uvrB//nfsB//purL//nanM//zwf//
PutA	prs//rffM//
PuuR	sgbU//dinB//betA//truB//gpmA//idnK//
QseB	
RbsR	codA//ampC//rdoA//mpl//lpxC//mngB//
RcdA	entB//
RclR	
RcnR	argB//
RcsAB	paaB//fucK//phnP//
RcsB	fadJ//gcvH//metA//citG//
RcsB-BglJ	nrdB//astE//
RelB	napA//
RelB-RelE	gutQ//
RhaR	
RhaS	rutE//fabA//fadI//puuB//
Rob	betA//entC//xylB//phoA//lsrK//ppiA//mhpF//aspA//malQ//frc//umuC//guaA//cysN//mhpC//dkgA//aroH//alsE//murC//murG//
RstA	paaG//sdhA//argI//
RtcR	hcaC//udp//
RutR	dinB//yfdE//prpD//pagP//fumB//ddlB//argE//astD//ssuD//hcp//ugpQ//
SdiA	
SgrR	gatD//phnL//icd//
SlyA	
SoxR	waaH//
SoxS	talA//uxaB//aroH//cysI//malP//nagA//mhpC//pspE//puuA//pyrC//add//pgk//murQ//napA//gnd//mngB//arsC//hyi//rnpB//astA//ynfH//lldD//yqhD//yeaE//phnG//frdB//
StpA	trpD//alkB//garR//
SutR	murF//gatZ//
TdcA	uvrC//ahpC//murC//gabT//fbaB//
TdcR	metK//aroG//puuA//hcaD//chbF//
TorR	asnA//ulaD//ldtB//ttdB//
TreR	ubiC//gadA//
TrpR	tdcD//cynS//dacC//fabB//gabT//eda//fadJ//fadB//mpaA//
TyrR	fabH//idnD//gadB//katE//polA//umpH//aldA//purM//napG//
UhpA	fumB//
UidR	putA//paaC//
UlaR	gnd//rhaA//galK//polA//prpC//
UvrY	pyrC//ftnA//
UxuR	tdcG//nrfD//dapB//narI//waaY//
XapR	narH//paaZ//
XylR	ruvB//ampC//rhaB//
YdeO	moeA//aspC//ulaG//
YedW	trpA//purB//fruK//
YefM	rimK//
YefM-YoeB	purN//
YehT	
YeiL	
YiaJ	glgX//paaB//paaH//mltF//rhaA//slt//
YjjQ	gltB//
YpdB	
YqhC	rbsK//paaI//
YqjI	ampC//
ZntR	nagB//
ZraR	
Zur	fabZ//
