# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 20:54:21 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/general_enzymes.txt
AccB	aroL//yiaK//
FadR	atoB//araA//recF//pheS//dhaL//tam//sdhC//prs//garL//purA//narG//frdA//rdoA//glxK//dkgB//argI//asnB//metH//
FeaR	bioF//argF//
FhlA	idnO//luxS//ftsI//glcB//citF//leuC//mhpE//
FlhDC	cysH//rbsK//galK//cueO//sgbU//treC//phnJ//tam//hcp//rffG//appA//
FliZ	puuC//ttdB//ycjG//malS//umuC//
FucR	bioA//fau//yibQ//glcF//mnmG//luxS//
Fur	murG//rimK//glcE//ynfG//rhaD//purC//sucA//lpxC//mhpA//sodB//folA//argA//sgbU//bioF//cyoE//garL//gatZ//ulaD//cysI//cysM//uxaA//trpD//ulaF//srlD//chbG//glpQ//allB//frdA//purA//astC//glgB//ulaD//rimK//chbF//mraY//acnA//leuA//fucI//uvrB//srlD//mhpC//aspA//gcvT//ulaE//yqjH//ybjG//mhpD//relA//ruvA//gudD//paaF//glcB//rbsD//bioA//pgaB//garD//cyoE//amn//ynfG//argE//fumC//relA//fucI//
GadE	rffH//allB//garK//gatD//murD//accD//citX//astB//alkA//pykF//
GadE-RcsB	paaJ//ada//paaK//frdC//
GadW	cyoE//rffH//alaS//hcaD//
GadX	sucB//dkgA//paaB//deoC//umpH//hcp//kbaY//purN//paaE//appA//nirB//mhpA//
GalR	ada//nanK//guaB//ribA//gntK//tehB//
GalS	paaH//dmsC//entC//citE//murQ//cysI//
GatR	prpC//rsmH//hcaB//
GcvA	glgX//rbsD//rbsK//
GlcC	nanE//lpxD//glxR//
GlpR	rffM//ubiX//napB//acnB//fabH//garD//dhaM//
GlrR	
GntR	gabT//pyrD//speA//pagP//chbF//speB//bioF//prpE//puuC//
GutM	glxR//putA//ahpC//
GutR	speB//gdhA//ftnA//
HU	paaA//ldtD//frc//tktB//prpD//glpX//citG//
HcaR	aroG//pck//
HdfR	
HigA	trpA//
HigB-HigA	lpxD//
HipAB	pgi//aroF//
HipB	pheS//rutE//ulaF//
HyfR	yqjH//
HypT	hycC//prpE//entC//malP//glyA//argG//paaZ//
IclR	deoA//dmsB//galT//
IdnR	wrbA//ldtB//accA//entE//allA//nanK//
IlvY	sucA//
IscR	ftnA//idnO//yibQ//napA//aspA//purH//
KdgR	kbaZ//truB//
KdpE	rffM//
LacI	deoB//rffH//cynS//
LeuO	caiC//dhaL//hyaA//kbaZ//araD//metF//
LexA	dacC//ugpQ//gatZ//rbsD//lysC//aroL//mpaA//nanM//aldA//garR//gpmM//rffH//argC//sdhC//prs//ynfF//poxB//ldtB//mdh//dmsA//phnI//
LldR	purH//appA//
LrhA	
LsrR	glyA//hycD//phnI//yeaG//idnK//
LysR	pgi//
MalI	gloA//phnG//
MalT	galM//caiD//nrdF//ynfG//ubiA//citX//
MarA	allE//phnP//ppiA//galM//rsmH//gadB//amn//accB//gabT//sucA//fucO//alkA//mnmG//garD//phnI//puuB//dmsC//paaA//asnB//rdoA//cysH//gloA//aroF//
MarR	
MatA	fes//
MazE	ynfH//
MazE-MazF	fadE//
McbR	
MelR	mhpE//nrdA//
MetJ	talA//murF//rhaB//hmp//gdhA//idnD//ubiA//aceE//carB//cysK//
MetR	sdhB//glyA//rutE//argA//
MhpR	metB//astD//glk//cysI//paaG//entF//
Mlc	ssuD//mazG//dgkA//allE//
MlrA	argG//
MngR	fucI//paaA//
MntR	tdcG//asnB//
ModE	garD//argG//rhaD//gnd//gatZ//astB//sgbE//umpH//puuA//murG//glgX//mazG//lsrK//thrS//
MprA	glk//argD//rdoA//
MqsA	ruvB//lhgO//
MraZ	uxuB//pepD//ugpQ//astE//sodA//ynfH//glpK//argD//pdeH//cueO//alkB//
MtlR	gnd//fucK//uvrA//
MurR	atoB//recF//murG//
Nac	folA//cysJ//accA//hycD//nrfB//amn//mraY//frdC//pdeH//wzc//
NadR	gltD//phnJ//tpiA//frdC//
NagC	narH//murC//metE//glpB//narI//icd//pncB//allE//glcB//nanA//murQ//paaA//katE//hycE//deoC//cysG//fabZ//tynA//glcB//
NanR	uxaC//tauD//hycE//yfdE//garK//aspC//
NarL	nrfB//melA//glk//ybaS//puuE//tauD//epd//purK//cysC//puuB//malQ//alsE//puuD//rpiB//kbaZ//hcaF//pgi//paaB//yeaG//mhpE//wrbA//entD//hycC//caiB//serA//gnd//hcaB//dmsB//citC//ldtB//ugpQ//bioF//glmS//ybjG//frdC//pflB//
NarP	idnO//gcvT//cysD//dgkA//ppc//chbG//astE//purN//moaA//cadA//glpC//
NemR	hycB//fucU//
NhaR	murE//pflB//caiB//gpmM//pncB//
NikR	serA//
NimR	ahpC//
NorR	alaS//
NrdR	nrdB//citE//ynfF//fucU//
NsrR	glpK//argF//entE//ftnA//puuA//uxuB//speB//tdcD//cueO//moeB//prs//dhaL//nemA//dgcC//alkB//hycF//moaD//chbF//idnK//garD//adiA//gcl//puuE//phoA//uvrA//argG//frdA//cdd//ynfF//hyaA//gcl//gdhA//psd//murQ//metC//ugpQ//
NtrC	sufS//serA//narG//glmU//malS//murG//murC//dgkA//entF//gadA//murD//lsrF//tdcE//hycF//phnJ//aceF//glyA//garK//relA//puuC//paaB//
OmpR	ppiA//fdhF//aceA//glpB//lpxC//glcB//paaC//nrfC//
OxyR	aceE//fucI//xylA//cysJ//allC//prpE//oxc//allE//purC//hyaC//gatD//paaJ//nirD//cdd//
PaaX	ynfF//glmS//nanE//metH//pdeH//argD//icd//gcvH//entF//
PdeL	uxuA//
PdhR	dgcZ//gatZ//malY//wecB//rffC//frdD//deoB//fadI//moeB//moaA//argG//narH//dkgA//murC//aroL//gadB//pflB//gcl//pyrC//mpaA//kbaY//hycC//truB//ubiA//pgk//rhaD//
PepA	glcB//aldA//
PgrR	napA//pdeR//
PhoB	idnK//ogt//lldD//cysD//argD//citE//asnB//aceF//fes//uxuA//rsmH//ulaE//mhpC//wrbA//sdhD//recF//napH//speB//
PhoP	tpiA//gor//glcB//sodA//murI//epd//sgbH//xapA//ubiC//ilvC//glmU//glpD//caiD//epd//ubiA//glpQ//argH//citC//trpD//argD//ruvA//argD//cadA//wrbA//glcF//rutB//araA//oxc//hmp//wecB//fau//pncB//frdC//
PrpR	hycE//codA//uxaA//xylB//
PspF	folE//
PurR	mraY//pncB//aceF//gadB//cysD//nanE//paaA//glcE//glyA//metE//glgB//hypF//pheT//fadA//pgk//rhaA//ruvB//argE//araA//tyrB//nirD//ssuD//ulaD//rfe//glxK//bacA//
PutA	glpQ//paaZ//
PuuR	katG//idnD//metC//murI//ppc//tnaA//
QseB	
RbsR	edd//trpE//polB//torA//alkB//pheS//
RcdA	garR//
RclR	
RcnR	idnO//
RcsAB	umpH//uxuB//uxaB//
RcsB	rnpB//ruvB//fadH//glk//
RcsB-BglJ	nrfD//atoA//
RelB	entD//
RelB-RelE	torA//
RhaR	
RhaS	paaB//ddlB//cysD//waaH//
Rob	feaB//ppc//astB//galK//edd//arsC//wecB//purA//acnB//tauD//ppc//fdhF//ynfE//umuD//fabZ//ppc//dmsC//glcF//argG//
RstA	serA//gatZ//nrfA//
RtcR	folA//gpmA//
RutR	chbF//tdcD//galT//uvrB//rffM//relA//hycB//pheT//ynfE//tadA//citD//
SdiA	
SgrR	zwf//nrdB//tktB//
SlyA	
SoxR	ftnA//
SoxS	ynfH//ugpQ//cysM//sdhD//malQ//wrbA//phnG//betB//cadA//ycjG//chbF//lpxD//oxc//hyi//lsrF//ychF//trpA//ogt//recF//rutC//allB//rutC//purB//glpQ//uvrA//paaZ//
StpA	puuD//metB//trpB//
SutR	mdh//oxc//
TdcA	mhpF//malZ//fucI//mhpC//prpB//
TdcR	patA//glgC//serA//epd//mhpB//
TorR	metE//argH//rffM//nrdE//
TreR	allB//pfkA//
TrpR	galE//glgB//rutA//prs//cysE//dacC//glpA//alsE//sdhB//
TyrR	dacC//pyrD//astB//gatY//tdcG//uidA//pck//yeaG//ppc//
UhpA	glpX//
UidR	nrdB//pyrC//
UlaR	paaC//malP//sdhD//talA//glk//
UvrY	cueO//ahpC//
UxuR	alsE//ssuE//fau//glpC//citE//
XapR	aceB//lysA//
XylR	gapA//phnM//fes//
YdeO	glk//accD//fadJ//
YedW	glgX//polB//glgX//
YefM	fucI//
YefM-YoeB	fadM//
YehT	
YeiL	
YiaJ	gltB//tktB//malY//fabG//folE//wecB//
YjjQ	nadA//
YpdB	
YqhC	accB//glpB//
YqjI	phnI//
ZntR	lysA//
ZraR	
Zur	frdB//
