# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 20:54:21 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/general_enzymes.txt
AccB	gor//fadA//
HypT	rbsK//garK//yqhD//glpK//ttdA//rimK//waaZ//
IclR	fabH//cysC//mhpE//
IdnR	purM//tnaA//umuD//uvrC//nrdA//gabT//
IlvY	ubiA//
IscR	dgcC//sucA//yfbR//iscS//frdC//fumB//
KdgR	yqjH//murC//
KdpE	ldtC//
LacI	hcp//entH//gltB//
LeuO	pagP//purF//pgi//paaY//pflB//umpH//
LexA	pncB//deoD//ftsI//torC//accC//sgbU//purA//allC//paaF//fadM//tehB//aroL//fadA//wecC//purE//malQ//fucA//citD//phnJ//bioA//lsrF//
LldR	gatZ//paaG//
LrhA	
LsrR	fabH//slt//fucK//fbaA//folE//
LysR	glpA//
MalI	metH//prpD//
MalT	sgbU//carA//glcF//glxR//prpB//argB//
MarA	nfsA//ssuD//sdhA//oxc//phoA//nfsB//purF//nagA//sodA//nagA//pyrD//bacA//glxK//ahpC//hyaC//fau//argG//pgaC//pgk//fucO//psd//dhaK//patA//
MarR	
MatA	sdhA//
MazE	slt//
MazE-MazF	udp//
McbR	
MelR	ada//bioA//
MetJ	lyxK//fes//caiB//yqjH//tadA//nrdE//eno//paaC//metE//waaY//
MetR	accC//tnaA//sodB//citF//
MhpR	caiB//sgbU//fumC//katG//mtlD//sucC//
Mlc	cysD//napA//lsrG//murF//
MlrA	add//
MngR	murC//uidA//
MntR	kbaY//fucA//
ModE	aceB//araD//yqjH//pagP//epd//yibQ//mngB//atoB//nirB//glcB//accD//paaH//polA//nrdE//
MprA	garR//fadE//aroL//
MqsA	argH//pgk//
MraZ	gatD//murQ//gcvH//tyrB//rutB//aspC//uvrA//chbF//moeA//accC//leuA//
MtlR	idnK//bacA//araB//
MurR	ubiC//nrdD//carA//
Nac	guaA//carB//malY//pykF//cysM//nrdF//idnO//ahpF//napH//pgaB//
NadR	torA//entE//hyi//asnB//
NagC	fruK//rffM//mazG//rffM//hypB//srlD//asnB//argC//ssuE//pspE//ulaG//fumB//rutD//argA//atoA//citC//narI//puuA//pflB//
NanR	malY//lsrK//dhaK//gcvT//sucB//pdeH//
NarL	fabD//tpiA//aceF//nadB//dhaK//appA//ldtB//cysI//lyxK//hypB//atoB//pspE//fes//guaA//ugpQ//lsrG//dinB//glxR//lsrK//fucI//aroF//glxR//dmsA//tdcE//umuD//fumB//asnB//fumC//murI//uxaC//katG//rfe//paaG//glpX//araB//rbsD//
NarP	relA//hyaC//slt//metC//yibQ//fbaB//rffH//guaB//metA//dmsC//rffH//
NemR	pykF//glxR//
NhaR	pncB//yqhD//puuD//pgk//garR//
NikR	uxuA//
NimR	fabG//
NorR	allD//
NrdR	trpE//purA//gntK//uidA//
NsrR	rutA//dinB//mdh//leuA//lpd//hycC//cysI//bioF//glyA//frdB//rhaD//argE//rbsK//phnN//citE//mltF//rhaA//polB//lacA//allC//cysE//aceA//guaB//glpB//purB//polA//gnd//prpC//entD//rutB//carB//gudD//astD//fadI//rffH//dmsB//
NtrC	lacZ//phnG//nanM//arsC//citG//hyaA//glcD//poxB//fabG//nirD//leuD//caiD//polB//mtlD//rffC//puuC//paaE//rbsK//carA//fes//amn//
OmpR	pheS//galE//phnO//bglB//ung//metB//puuC//gatD//
OxyR	rdoA//hyi//paaF//napC//lpxD//xylB//acnA//dapD//phnI//speB//chbF//alkB//treC//srlD//
PaaX	gcvP//oxc//nrfC//paaB//gapA//lysC//rffC//nanM//rfe//
PdeL	mnmG//
PdhR	paaJ//mltF//malP//glpC//tdcB//rutB//napB//mdh//fucI//ynfF//ldtC//umuD//puuE//waaZ//nrfD//nanE//aldA//ubiX//rutA//aldA//trpA//icd//entD//entH//leuC//entE//
PepA	astD//speA//
PgrR	paaY//ugpQ//
PhoB	tktB//paaC//yqjH//purA//glgX//lpd//poxB//uxuA//mltF//rffG//alsE//mdh//purN//phnL//nanM//gudD//idnK//leuB//
PhoP	icd//fdhF//fucK//garD//paaE//tdcB//nanK//trpC//frc//polB//ybjG//nemA//dkgA//idnK//purC//rutB//rutA//cysC//pfkA//cynT//entD//adhE//cysH//cysC//murE//lpxC//ulaD//gapA//yfdE//napB//nrfB//waaY//hemL//
PrpR	mhpA//hyaA//deoB//glcB//
PspF	pykF//
PurR	astC//nanA//tehB//mhpF//carB//nrdF//mpl//allD//citD//ampC//acnA//cueO//citE//yibQ//rimK//trpC//mhpE//gatD//puuD//glcE//entH//acnA//ulaG//kbaZ//gabT//fumB//
PutA	leuC//citE//
PuuR	nrfD//citC//pepD//alkA//aldA//tnaA//
QseB	
RbsR	napB//paaC//uvrB//rutB//leuC//wrbA//
RcdA	metL//
RclR	
RcnR	purC//
RcsAB	glgP//deoC//araB//
RcsB	nrdA//bioD//hycG//cadA//
RcsB-BglJ	purH//araB//
RelB	serA//
RelB-RelE	cysI//
RhaR	
RhaS	add//treC//entD//ttdB//
Rob	trpB//ppc//tyrA//yibQ//mhpE//malP//ldtB//argG//rffT//trpB//caiB//ndh//hemH//purL//ynfG//entD//ahpC//ybjG//pheS//
RstA	rffH//nrfA//dgcC//
RtcR	fucK//cysI//
RutR	glcB//pgi//glcF//nfsA//pncB//treC//pnp//psd//dhaK//dmsC//ada//
SdiA	
SgrR	sgbU//gatD//glpX//
SlyA	
SoxR	narH//
SoxS	hypF//glpX//lysC//uxuA//ruvB//rutC//hcp//mhpC//fabH//uvrB//ynfG//gor//glk//psd//glgP//idnO//nrfC//pdeH//citD//eda//purL//adhE//melA//yqhD//gadB//astA//
StpA	ribA//speB//chbF//
SutR	pepD//fadD//
TdcA	wrbA//torA//paaE//galT//dkgB//
TdcR	pagP//fucO//cysD//sdhD//cysK//
TorR	idnD//astB//ubiX//hmp//
TreR	aceB//gcvP//
TrpR	trpB//argG//metK//citD//lpxD//truB//fabI//gabD//phoA//
TyrR	hyi//mhpB//lysC//ascB//metC//murE//fumC//fabA//narG//
UhpA	entH//
UidR	astE//metC//
UlaR	carA//mpl//putA//gnd//cysG//
UvrY	putA//gadB//
UxuR	nadA//nrdB//rffM//fumB//fucI//
XapR	cysM//ynfG//
XylR	deoB//waaH//wrbA//
YdeO	lsrG//gcvH//araB//
YedW	nemA//ynfH//tam//
YefM	patA//
YefM-YoeB	puuA//
YehT	
YeiL	
YiaJ	accD//uvrC//deoB//astE//xylB//xapA//
YjjQ	ynfG//
YpdB	
YqhC	aceA//rbsD//
YqjI	ddlB//
ZntR	psd//
ZraR	
Zur	uxaB//
