# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 20:54:21 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/general_enzymes.txt
AccB	hyaB//deoB//
NanR	allE//fes//chbG//glcD//alkB//astE//
NarL	fau//ruvA//glpC//mhpB//pykF//purA//dmsA//gutQ//murG//frdC//hycB//cynT//argA//gatY//leuA//tyrB//phnL//patD//pyrD//glpQ//ndh//nrfB//torC//lldD//metB//cysE//ubiX//yiaK//uxaA//paaY//frc//edd//fruK//tdcE//carA//mdh//
NarP	torC//citG//cynS//oxc//gadB//fruK//pdeL//ppsA//tdcB//betB//hycD//
NemR	ulaE//aroL//
NhaR	chbG//dgcC//mhpD//prpC//srlD//
NikR	dapD//
NimR	murI//
NorR	hcaF//
NrdR	cynS//phnI//entA//bioB//
NsrR	lacA//putA//glgC//lyxK//cadA//tdcB//tktB//frdC//fabA//cysJ//gnd//cueO//fadE//pgaB//sdhD//puuD//phnL//hemL//glgB//ppsA//trpD//aroG//ynfH//prpB//dmsC//murD//add//pgaC//tdcB//purD//patD//prs//codA//araA//wzb//malQ//
NtrC	mhpD//edd//mngB//cadA//ybaS//rffC//pheS//ynfE//napH//pepD//fadB//mhpB//hyaC//accB//betB//napB//uvrC//citE//metA//lpxD//accB//
OmpR	citD//pgaD//nfsB//idnO//ubiX//gatY//cynT//ddlB//
OxyR	glpQ//trpE//deoB//tehB//phnL//cysK//aroF//thrS//dhaK//phnN//trpA//dgcC//bglB//kbaZ//
PaaX	bioA//fucA//cynS//astB//entF//nrdB//yibQ//metB//arsC//
PdeL	hmp//
PdhR	lacA//trpE//rutE//phnL//fadH//dapB//rffT//nrdD//pyrC//alsE//mhpE//lsrF//allA//sucB//ssuE//umuD//fadB//cysJ//fes//nanM//paaH//mngB//pgaD//hcaE//ybjG//waaH//
PepA	mhpB//fumC//
PgrR	rhaD//rffM//
PhoB	hycG//sodB//fabB//relA//hycE//wecC//murE//cysM//fes//codA//chbG//aceF//yqhD//pgaB//cysK//tnaA//astB//fumC//
PhoP	sgbH//tyrA//zwf//purD//nanM//ubiA//polA//nrfC//hycB//citD//metB//uvrB//ubiC//allD//malQ//trpD//bioC//fadH//tpiA//aroG//rhaA//frdA//araB//frc//mnmG//metK//purC//cysC//glmU//ybaS//pgk//ruvB//sdhA//
PrpR	fdhF//bglB//hyaB//eda//
PspF	mpl//
PurR	mazG//lpd//aceE//rutA//murG//appA//slt//trpB//amn//lysC//fau//ldtB//patA//arsC//rhaA//argA//mtlD//lpxD//accC//gatD//hcaC//paaB//hyi//kbaZ//yeaG//glpC//
PutA	sdhB//ppiA//
PuuR	glgC//leuD//entF//relA//mpl//allA//
QseB	
RbsR	argD//uvrA//leuC//bioC//tam//umuD//
RcdA	recF//
RclR	
RcnR	cadA//
RcsAB	entF//fbaB//waaH//
RcsB	metA//rhaA//deoC//mnmG//
RcsB-BglJ	dapB//lacA//
RelB	pgaD//
RelB-RelE	fdhF//
RhaR	
RhaS	gabT//prpB//umuD//galE//
Rob	wrbA//rffG//torC//accD//metK//cysM//prs//gapA//srlD//ybjG//prpB//fucA//frc//metF//tdcG//fabH//folE//phnI//murE//
RstA	ybaS//lsrK//metB//
RtcR	betA//pheS//
RutR	sgbH//ulaE//paaE//nfsB//fabG//betB//ogt//pncB//frdC//malP//alkA//
SdiA	
SgrR	entE//purH//rutD//
SlyA	
SoxR	pdeR//
SoxS	fadM//nrdB//hcaE//bioD//hycB//mhpA//mpaA//prpC//ldtD//oxc//bioB//galK//malP//icd//trpD//dapD//rffC//katG//gnd//tam//argC//zwf//argG//dapD//luxS//rpiB//
StpA	nirB//hyi//glnA//
SutR	deoA//phoA//
TdcA	gcvT//pheS//allE//allE//icd//
TdcR	hemL//dgkA//aceE//rhaA//dsdA//
TorR	rutD//asnB//argC//glcE//
TreR	speB//lpxA//
TrpR	codA//gpmA//prpE//pdeH//galT//entA//citC//deoB//pepD//
TyrR	deoD//ppsA//lyxK//malP//hemL//adiA//entF//hyaA//gatY//
UhpA	edd//
UidR	glcE//rnpB//
UlaR	cysD//sucA//patD//waaZ//pyrC//
UvrY	mngB//pspE//
UxuR	pflB//gabT//hycG//glcD//uxuB//
XapR	mdh//murI//
XylR	gpmM//deoD//wecC//
YdeO	gudD//fadI//codA//
YedW	citE//fadJ//gatY//
YefM	hcaF//
YefM-YoeB	glpD//
YehT	
YeiL	
YiaJ	atoD//adiA//murF//paaF//argA//rimK//
YjjQ	pgaC//
YpdB	
YqhC	wecC//accC//
YqjI	uxuB//
ZntR	hcaC//
ZraR	
Zur	argG//
