# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 20:54:21 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/general_enzymes.txt
AccB	lsrG//poxB//
NsrR	trpD//umuC//fadB//uxuB//ampC//aspC//hcaD//pheT//sdhD//accA//asnB//acnA//recF//paaI//fbaB//pspE//relA//sdhC//dapB//citF//frdB//lpxD//hcaF//mtlD//hycC//leuD//entE//mhpA//cynS//mazG//tdcD//patA//lsrF//dinB//mhpA//nanM//
NtrC	aspA//tdcB//frc//mngB//prpB//poxB//phnO//nrdD//puuB//dmsA//cysH//cysM//fabG//rsmH//wrbA//phnN//purC//trpB//malQ//uxuB//hycC//
OmpR	asnA//bioC//gpmA//sucC//adhE//murC//fucO//accB//
OxyR	nfsB//rnpB//moaA//bioA//mhpB//entH//lpd//malZ//cyoE//aroH//trpB//codA//deoC//ulaE//
PaaX	poxB//paaZ//mpl//argE//tdcG//prpE//gloA//ppsA//trpE//
PdeL	nrdE//
PdhR	purE//bglB//gatD//ddlB//adhE//allC//deoB//gabD//fumB//xylA//mhpF//frdB//sodB//dhaM//sodA//polA//trpD//murE//rffT//murI//edd//glcD//sgbH//ppsA//rutE//purH//
PepA	tpiA//mpaA//
PgrR	mngB//hypB//
PhoB	entF//cysG//glnA//paaH//nagB//tktB//guaB//yiaK//rhaD//adhE//mtlD//malQ//phoA//waaY//ilvC//narH//malQ//add//
PhoP	mltF//ampC//nirD//nrdA//nirB//cysJ//malY//glnA//frdA//ycjG//srlD//sdhB//citC//yqjH//allE//rhaD//citC//aspC//aceF//cynT//nirD//alkB//entC//sgbE//purD//phnL//malY//hyaB//tdcE//yfbR//cynS//lpxA//tyrB//
PrpR	mhpA//pflB//sdhD//bioB//
PspF	moaD//
PurR	betB//rdoA//ssuD//mhpB//ynfG//slt//argE//rbsK//patD//cysE//putA//hypB//paaC//codA//nanA//paaY//puuC//murI//fabI//gabT//mazG//fadJ//zwf//dgkA//mraY//bioA//
PutA	sucA//garR//
PuuR	phnH//ldtB//purC//pncB//mhpF//leuD//
QseB	
RbsR	dmsA//mhpA//ulaD//narG//mnmG//ampC//
RcdA	hmp//
RclR	
RcnR	ldtD//
RcsAB	tam//speB//deoD//
RcsB	fucK//bioF//citD//nrdE//
RcsB-BglJ	entE//lldD//
RelB	entA//
RelB-RelE	argF//
RhaR	
RhaS	fadJ//ppc//mazG//rhaB//
Rob	metA//idnD//malZ//dkgB//nrdF//gcl//aroH//bacA//wzc//caiC//hycB//murE//purE//hemL//ppc//nemA//trpD//gpmA//fabG//
RstA	acnA//citG//metC//
RtcR	araA//gltD//
RutR	arsC//glcD//dapB//guaA//paaI//gntK//paaZ//glpC//thrS//nirB//ribA//
SdiA	
SgrR	citX//accD//dgcC//
SlyA	
SoxR	torC//
SoxS	gpmM//cysG//garK//pdeR//nadB//nrfB//gabT//prpD//yfbR//tadA//nadB//paaJ//pykF//hemH//dmsC//cysJ//dapB//glpK//ruvA//yeaG//adhE//appA//poxB//ybaS//napG//metA//
StpA	citX//purM//ribA//
SutR	cadA//rffG//
TdcA	nrdB//xylA//galK//ppiA//epd//
TdcR	fucO//glgX//uxaB//yeaG//phnO//
TorR	cynT//paaC//cysN//lsrG//
TreR	wecC//metH//
TrpR	leuD//aroH//pagP//alaS//cyoE//fabI//pdeR//glgX//cysE//
TyrR	tktB//rpiB//pgaB//malP//hcaF//napH//umpH//galM//torC//
UhpA	fabH//
UidR	speB//dapD//
UlaR	lacZ//adiA//ynfF//yeaE//ynfF//
UvrY	nrfB//patA//
UxuR	deoC//hmp//hcp//deoC//purL//
XapR	cysE//glpQ//
XylR	fabB//hmp//ubiA//
YdeO	ruvB//napH//narI//
YedW	bioF//phnI//idnO//
YefM	glgC//
YefM-YoeB	caiD//
YehT	
YeiL	
YiaJ	tehB//bioC//relA//patD//pdeH//add//
YjjQ	idnD//
YpdB	
YqhC	patA//pgpC//
YqjI	rimK//
ZntR	galT//
ZraR	
Zur	sdhA//
