# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 20:54:21 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/general_enzymes.txt
AccB	murI//xylB//
CytR	metC//fabG//allD//ubiX//pgaD//fucK//rutB//ppc//sgbH//frdB//
Dan	hcaB//glpX//
DcuR	trpE//hyaC//epd//galE//
DeoR	umuC//ampC//idnD//ppiA//glyA//yeaE//
DhaR	aroF//
DicA	
DinJ-YafQ	murC//
DnaA	hyi//napB//sdhD//glpQ//gutQ//frdC//
DpiA	nagA//leuC//uxuA//ugpQ//gcvT//
DsdC	accB//rutB//
EbgR	
EnvR	rnpB//phnH//
EnvY	fumC//phnI//
EvgA	ascB//frc//dgkA//hyaB//prpD//pgaD//
ExuR	accC//leuD//betB//gcl//fadE//gnd//
FabR	dhaK//pdeL//
FadR	frdB//guaA//lacA//idnD//tehB//fabB//gatY//trpB//rffM//hyaA//deoC//sucC//ruvB//aroG//alsE//phoA//pheT//rffH//
FeaR	ppiA//patA//
FhlA	lacA//hypF//murG//gcvT//malZ//trpE//katG//
FlhDC	metL//aspA//lpxA//uxuB//appA//guaA//asnA//nrfD//gatD//caiA//carA//
FliZ	sucA//sgbE//nirD//gatY//purH//
FucR	fabI//phnH//nrfD//ribA//glgA//pgaD//
Fur	araD//eda//dhaK//cynT//atoB//dapD//aroH//nadB//deoB//amn//prpD//paaY//sucC//murD//wrbA//fucU//lacA//glgC//phnJ//hemH//dgcC//citD//serA//phnG//cynS//ubiC//entB//wzc//gcvT//accC//paaF//fbaB//pspE//trpE//purM//lsrK//moeA//citX//puuE//purD//cysG//yibQ//cadA//bioA//sucD//paaF//uidA//purA//arsC//purA//idnD//allD//pgaB//argH//tdcD//ulaF//pgpC//paaK//kbaZ//ssuD//lpxA//garK//nrdA//
GadE	glmU//citC//thrS//leuD//argA//alkA//mltF//glgB//mhpD//fadH//
GadE-RcsB	sdhB//fucK//glpB//phnP//
GadW	uvrC//chbF//idnK//glpX//
GadX	edd//hcp//icd//glcF//acnB//astC//idnO//glpD//gor//argD//paaZ//hmp//
GalR	paaK//sodA//napH//fucI//glpX//gatY//
GalS	yeaE//ung//gpmM//edd//sodB//uxuA//
GatR	phnO//argB//ssuD//
GcvA	mhpF//dgcZ//ada//
GlcC	nanA//gatD//entD//
GlpR	sdhC//nfsB//ulaE//nrfC//ahpC//metC//uvrA//
GlrR	
GntR	murF//umuC//pyrD//hypB//feaB//paaF//fabA//sucA//entA//
GutM	hypB//kbaY//pgpC//
GutR	ynfH//cysI//pflB//
HU	nfsB//gatZ//gutQ//gcvT//acnB//astD//fumC//
HcaR	pncB//lysC//
HdfR	
HigA	adiA//
HigB-HigA	metB//
HipAB	paaA//eno//
HipB	ychF//purH//uxaB//
HyfR	murQ//
HypT	ynfF//pgpC//recF//hcaF//nrdE//yfbR//glyA//
IclR	ldtD//glpD//murC//
IdnR	phnL//fau//uxaB//paaI//fadA//ftsI//
IlvY	citE//
IscR	wzc//hcaE//ftnA//umuD//hycF//gadB//
KdgR	carA//hycD//
KdpE	gatD//
LacI	allC//phnM//gpmA//
LeuO	nrfC//leuA//edd//ddlB//phr//argD//
LexA	paaK//pgaC//nanM//yeaG//metL//astB//astB//xylB//sucC//acnB//idnO//puuD//lpd//gatZ//chbF//nrdE//glcF//acnA//puuB//cysH//cysJ//
LldR	tam//purD//
LrhA	
LsrR	narI//glpX//hcaE//nrfD//argI//
LysR	ung//
MalI	sgbU//paaE//
MalT	argG//idnK//accD//allA//puuE//nanK//
MarA	prpE//caiB//gcvP//purF//narI//rutC//dhaM//entB//dmsA//malS//pagP//atoB//nrdF//gapA//glcE//relA//purK//pgaC//tdcG//lpxC//malS//acnB//murF//
MarR	
MatA	gor//
MazE	mazG//
MazE-MazF	fucA//
McbR	
MelR	argI//entF//
MetJ	murC//fabH//fadJ//argG//rutA//hyi//ulaG//sucA//murC//argB//
MetR	rffM//paaA//lacA//ndh//
MhpR	phnN//garR//ldtC//hcp//nrfB//uxuB//
Mlc	pdeL//deoD//dgcC//nrdE//
MlrA	glgB//
MngR	glpX//chbG//
MntR	malY//phnL//
ModE	fabZ//ynfE//prs//pheT//xapA//gapA//dmsC//hyaA//sodB//xylA//paaE//waaZ//kbaZ//ruvB//
MprA	nrdA//tynA//fadI//
MqsA	aroH//aspA//
MraZ	adhE//nirB//fabD//pgi//paaZ//caiD//citX//rutA//purB//gloA//bioD//
MtlR	tehB//nanK//lysC//
MurR	trpA//carB//fadD//
Nac	oxc//phnJ//narG//pdeR//narI//sdhB//adiA//glpB//epd//polB//
NadR	purC//lysA//murC//uvrA//
NagC	pgaC//ttdA//ribA//acnB//ddlB//tktB//tadA//aceA//srlD//lysC//purE//glgA//nrfD//sodA//gadB//nagA//phnH//trpB//recF//
NanR	fabA//allC//icd//betA//ddlB//aroL//
NarL	fabZ//dkgB//sdhD//pfkA//sufS//pgaB//cysE//glpX//cysC//pck//glpX//uxuB//mhpF//eda//phnP//moaD//asnA//ynfE//napA//phnH//gntK//cynT//alkA//dapB//ssuE//gabD//poxB//hyaA//leuD//galM//dmsC//argE//lsrG//galM//ribA//deoB//
NarP	sucA//metE//umpH//acnA//cysG//ndh//ruvA//tdcB//gatD//lsrK//tnaA//
NemR	caiC//garK//
NhaR	sucB//eno//ynfG//citG//tdcD//
NikR	ftsI//
NimR	pdeH//
NorR	gltD//
NrdR	lpxA//ldtD//nanK//dhaK//
NsrR	waaH//lsrG//cysE//glnA//pheT//citE//sgbE//ogt//sucD//lacA//acnB//lsrF//folA//pgi//paaK//uxuB//lhgO//sdhC//ubiA//xylB//fadI//rimK//dhaM//garR//glpB//rhaB//garK//citD//glpA//aspC//pykF//ssuD//sucB//cueO//tam//atoA//
NtrC	fadM//mhpC//mhpD//hypF//fabB//dgkA//paaZ//ulaE//fadH//fdhF//sucA//allE//deoB//allE//pheS//ybjG//pyrC//narH//dgcC//trpB//moeA//
OmpR	pgaD//garL//ung//paaZ//dhaM//ogt//melA//ldtB//
OxyR	purF//phnL//prpB//gnd//betB//pfkA//murF//sdhC//entB//trpD//tdcB//ndh//torA//uidA//
PaaX	ilvC//ulaE//rhaA//lsrG//pspE//entC//ynfG//ldtB//recF//
PdeL	argH//
PdhR	relA//phnJ//luxS//glcF//garK//sodB//fadI//deoC//ddlB//sgbU//mazG//purB//rpiB//rdoA//cysC//dmsC//moaA//nrdF//phnH//ftnA//tdcG//ftsI//hmp//glgA//fabG//astD//
PepA	torA//citE//
PgrR	hyaB//gloA//
PhoB	folA//hycC//poxB//glgX//fbaB//glcE//waaH//pdeL//fumB//aroL//uxaA//rhaD//narI//nrdD//recF//cysD//hcaB//puuD//
PhoP	ynfH//sucA//lsrF//tpiA//aroH//glgX//ppc//paaH//citC//galM//puuA//metA//alsE//pdeR//aroL//lsrG//phr//cysC//sucB//citX//pheS//puuC//phnN//fabI//pdeR//acnB//moeB//sucD//fruK//araB//xapA//srlD//hemH//
PrpR	purH//lhgO//fabH//bioA//
PspF	pheT//
PurR	dkgA//uxaB//hemL//lysC//murD//astA//mpaA//frdC//amn//phnJ//hcaB//paaC//uxaC//bioF//idnD//nanA//purH//pspE//psd//lldD//purN//guaA//rffH//hyaC//adiA//astD//
PutA	caiC//phr//
PuuR	rffG//bioA//argG//fadM//ynfG//gadB//
QseB	
RbsR	glpC//murE//phnG//caiA//glpD//accA//
RcdA	rbsD//
RclR	
RcnR	speB//
RcsAB	accA//ubiX//glpX//
RcsB	hyi//ung//edd//bioF//
RcsB-BglJ	torC//ulaG//
RelB	entF//
RelB-RelE	rhaD//
RhaR	
RhaS	aroF//carA//cysG//glyA//
Rob	ulaG//gcvH//bioB//chbG//glcD//puuB//glpA//gntK//ubiA//glpA//hcp//phnN//ubiX//icd//rhaD//hcaB//carA//napA//ppiA//
RstA	hyaB//gudD//galE//
RtcR	tehB//hycE//
RutR	lysC//dapB//galM//caiD//dmsC//ugpQ//hypF//malS//uidA//napA//phnH//
SdiA	
SgrR	mhpF//ldtC//tehB//
SlyA	
SoxR	caiA//
SoxS	fadA//purA//dmsC//ubiC//dinB//speA//mdh//nfsA//ftsI//ycjG//fabI//purD//yeaG//ulaD//mltF//ynfE//dkgB//argC//kbaZ//glpB//citC//uxuA//trpD//idnO//uidA//tnaA//
StpA	purH//prpD//melA//
SutR	dgcZ//mdh//
TdcA	nemA//dhaK//metF//bglB//rbsK//
TdcR	phnI//atoB//caiA//citD//ulaF//
TorR	katG//nrdF//fabI//entH//
TreR	adhE//entH//
TrpR	gltB//leuA//rpiB//rffM//rutE//napH//pyrC//sdhD//ubiC//
TyrR	wzb//dmsA//glxK//fucU//patA//sgbH//citX//hcp//codA//
UhpA	ada//
UidR	rnpB//dinB//
UlaR	yibQ//glpA//argI//argE//ribA//
UvrY	wecC//ndh//
UxuR	ulaF//nirD//ttdB//thrS//caiC//
XapR	nrfA//wzc//
XylR	ttdB//sodB//gnd//
YdeO	mhpF//fucI//glnA//
YedW	melA//paaE//pheS//
YefM	srlD//
YefM-YoeB	dmsB//
YehT	
YeiL	
YiaJ	tam//fumC//pgi//glxR//glnA//pflB//
YjjQ	ftnA//
YpdB	
YqhC	rffH//chbG//
YqjI	hcaF//
ZntR	add//
ZraR	
Zur	hypB//
