# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 20:54:21 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/general_enzymes.txt
AccB	ndh//cadA//
ModE	ahpC//pheT//fabI//entD//araD//gnd//moaE//umuD//pgaC//tauD//puuC//tdcG//puuB//nrfA//
MprA	garR//hemH//aceB//
MqsA	fruK//narI//
MraZ	murG//argB//deoC//fadB//ugpQ//ybjG//torA//sgbH//phnG//pgaC//ubiC//
MtlR	murC//lyxK//cysH//
MurR	nrdF//yfdE//nfsA//
Nac	gcl//umuC//narI//fucK//fdhF//glcB//cysE//cysG//cadA//glxR//
NadR	folA//ubiX//aspC//nrdE//
NagC	atoA//lldD//mraY//rffG//lacZ//katE//ubiA//astB//cadA//relA//ahpF//leuA//murF//paaE//bioD//aspC//ogt//dhaM//murC//
NanR	murC//gdhA//nrfD//sdhA//aceA//gatY//
NarL	mazG//paaI//astB//argD//araB//napC//hycD//alaS//waaH//moaD//aroG//hypB//prpD//trpC//aspC//murF//purF//pyrD//asnA//lldD//pgpC//aceE//gapA//murQ//katE//wecB//gcl//trpC//deoC//ftnA//entD//fadE//codA//hcp//gcvP//rhaD//
NarP	mdh//metA//lpxD//poxB//hyaA//speA//hcaF//tnaA//sucC//ruvA//hycD//
NemR	ada//sodA//
NhaR	astA//accD//torA//pgk//tktB//
NikR	aroH//
NimR	rutE//
NorR	relA//
NrdR	fadM//moaD//ugpQ//garK//
NsrR	murE//ahpF//paaA//phnL//xapA//purM//argC//aroF//yqhD//pgaD//wecB//katE//mpl//rutB//ahpF//glk//rimK//chbF//mhpD//kbaY//rnpB//bioD//umpH//paaJ//fruK//puuE//deoA//metB//gdhA//gcvT//ubiC//dmsC//tdcB//metE//ugpQ//ddlB//
NtrC	sodB//dinB//yfbR//pgpC//wecC//yfdE//mpl//hypF//caiC//icd//argB//idnD//mhpA//uxaB//uvrC//gabT//tyrA//glmU//entC//ppiA//tnaA//
OmpR	paaH//frdC//truB//sgbU//serA//wrbA//gabD//hycB//
OxyR	gadA//dapB//mtlD//folA//nrfA//gadB//astE//sufS//accC//umpH//ynfF//mpl//fucO//idnK//
PaaX	adhE//phnN//astD//sodA//paaH//tauD//rimK//aroL//lsrK//
PdeL	astA//
PdhR	cadA//hcaD//glyA//prpE//metH//leuC//gdhA//ycjG//mnmG//aroH//metB//uxaB//hyaC//fadH//cysK//fabI//phnM//aspC//paaG//yiaK//ulaG//gatY//glxK//ulaD//alsE//argH//
PepA	ulaE//relA//
PgrR	paaZ//fabG//
PhoB	entC//ychF//ynfG//aroF//trpA//bioB//glpC//astD//cysI//metE//mtlD//truB//gdhA//dsdA//atoD//pgaB//nadA//murI//
PhoP	paaG//pflB//glnA//dkgA//phnM//bioC//entA//hyaA//glcB//rffM//hcaB//entF//ogt//mtlD//trpD//napH//cysN//allB//nagA//pspE//entC//gatZ//prpB//lsrF//leuB//nirD//hcaD//cysH//aspA//entH//gutQ//malY//gor//
PrpR	rffM//napC//wrbA//ssuE//
PspF	alsE//
PurR	trpA//codA//wrbA//uxaB//amn//appA//murG//tyrA//bioF//cysM//cysK//fumC//phoA//cyoE//leuB//mnmG//dkgA//hcp//purM//nrfA//talA//galT//dapD//argA//gudD//purB//
PutA	metL//glgX//
PuuR	folA//mhpF//paaJ//glcE//gcvH//fucO//
QseB	
RbsR	wrbA//allB//glcB//cysG//yqhD//fadE//
RcdA	lsrK//
RclR	
RcnR	codA//
RcsAB	rbsK//tadA//ldtD//
RcsB	astD//gpmM//alkB//lysC//
RcsB-BglJ	aceB//cynT//
RelB	tktB//
RelB-RelE	citG//
RhaR	
RhaS	bglB//hemL//hypB//nrdF//
Rob	phnL//citC//uidA//ulaG//glcB//aroL//aceF//dmsB//dkgA//katE//dhaL//glmU//folE//phnP//pykF//alkB//ruvB//ybaS//narH//
RstA	aroG//mhpE//lyxK//
RtcR	betB//rutC//
RutR	speA//cysJ//putA//fadD//ascB//moaD//fucK//rutA//rffC//fadE//trpE//
SdiA	
SgrR	epd//fabZ//melA//
SlyA	
SoxR	astB//
SoxS	guaA//ogt//prpE//deoC//hemL//fabZ//pgaC//cdd//acnB//uxaB//ulaD//argC//ulaD//frc//pdeR//dmsB//pnp//cyoE//dgkA//nrdB//yfdE//yfbR//betB//gnd//nrdE//glcD//
StpA	glcD//mpl//tdcD//
SutR	putA//sodA//
TdcA	purC//sucD//tktB//puuD//prs//
TdcR	rffM//nrdD//trpD//paaH//ubiX//
TorR	pgk//rffC//sucA//ampC//
TreR	umpH//pepD//
TrpR	nirD//sucA//cysE//prpB//murQ//atoD//sodA//cysD//hypB//
TyrR	patA//dmsC//lyxK//mngB//metB//purC//sdhA//rutB//moaA//
UhpA	ulaE//
UidR	prs//fabG//
UlaR	glxK//cysN//purA//rffH//prpE//
UvrY	citD//metK//
UxuR	cyoE//pspE//citD//oxc//phnI//
XapR	hyaB//uidA//
XylR	nadA//trpB//fbaB//
YdeO	gabT//uvrC//fau//
YedW	purE//ynfF//ung//
YefM	lhgO//
YefM-YoeB	paaA//
YehT	
YeiL	
YiaJ	phnJ//paaI//allE//pck//tdcB//pdeL//
YjjQ	hyaC//
YpdB	
YqhC	paaF//asnB//
YqjI	murC//
ZntR	pepD//
ZraR	
Zur	gabT//
