#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:15:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/regulons_by_conformation_bnum.txt
Ada-Methylated	yegZ//b0040//b4398//b2414//
ChbR-Monoacetylchitobiose-6P	b0874//b4354//b4399//b4187//b4319//b1850//
CpxR-Phosphorylated	b1493//b1881//b1384//b2075//b1780//b2720//b2207//b4313//b1746//b0733//b3727//b2221//b3611//b3860//b0114//b4172//b2802//b1337//b1612//b3426//b2818//b3124//b3576//b3939//b4124//b1398//b3968//b1023//b4417//b1101//b1501//b4240//b0970//b3036//b2727//b3870//b3806//b2464//b3451//b1498//b2961//b3315//b2307//b0903//b1589//b2722//b2235//b4132//b2725//b2557//b3037//b2155//b3617//b3709//b1511//b1782//b0976//b3859//b2560//b2486//b1588//b1617//b4669//b4323//b0970//b4010//b0515//b0080//b0606//
CreB-Phosphorylated	b4398//b1182//b0411//b1002//b3091//b4233//b1252//b2852//b4291//
CueR-Ag	b2730//b2285//b0039//b3959//b0152//b0368//b3049//
CueR-Cu+	b2490//b4037//b1518//b4238//b4139//b2465//b2476//
CuerR-Au	b4201//b3453//b0035//b3478//b2551//b2608//b1658//
CusR-Pasp	b3272//b3417//b1392//b0618//b0584//b3394//b1211//b2913//b2236//b1890//b2552//b2416//
CynR-Cyanate	b4167//b2697//b1779//b1900//
CysB-N-acetyl-L-serine	b1797//b0778//b3868//b3668//b2961//b2755//b3469//b0515//b2723//b1109//b4322//b2993//b2552//b3036//b3038//b4125//b3125//b1021//b1900//b0896//b3224//b0338//b2552//b1889//b4265//b3116//b3521//b3564//b1970//b0606//
CysB-O-acetyl-L-serine	b0763//b2609//b2729//b3038//yegZ//b3241//b0517//b3008//b3460//b1737//b4241//b3934//b2156//b1851//b4400//b1537//b3317//b4106//b0887//b2975//b0031//b0678//b2756//b3332//b3118//b4122//b3572//b1858//b0190//b2529//b0758//
DcuR-Phosphorylated	ilvG_1//b1336//b2421//b3518//b0970//b1615//b0399//b3417//b1547//
DnaA-ATP	b2726//b0733//b0396//b1528//b2366//b2201//b0048//b2993//b1008//b2579//b4004//b1247//
DpiA-Pasp	b2838//b3405//b2207//b1007//b4154//b1430//b1882//b3726//b4197//b3409//b3479//
DsdC-D-serine	b2617//b3531//b3423//
EvgA-Phosphorylated	b3726//b4319//b0430//b0115//b1907//b2993//b4194//b3416//sroD//b0161//b2583//b4441//b2150//b0755//b3071//
FNR-Fe_reduced	b0035//b3588//b1531//b2509//b0523//b4322//b1656//b3392//b2943//b3325//b1719//b4058//b3959//b3616//b4125//b3576//b3770//b3207//b2163//b1256//b3319//b0063//b1391//b2279//b3127//b3869//b1492//b0721//b0826//b3335//b2724//b1334//b1497//b0166//b0929//b2074//b3364//b0975//b3272//b2992//b3273//b2499//b1024//b0728//b2554//b4323//b2661//b1515//b0428//b0937//b3408//b1224//b2194//b1476//b0934//b2707//b2307//b3437//b1798//b1012//b2905//b4120//b0334//b2428//b4129//b0344//b1884//b2729//b0765//b0109//b0347//b0201//b3278//b2905//b4193//b2201//b4324//b1129//b2720//b2711//b4129//b3860//b1797//b2283//b1706//b1593//b1226//b0341//b2107//b3870//b3456//b3773//b0368//b1011//b4203//b4671//b1388//b4003//b1475//b2063//b0296//b1389//b4202//b0973//b1336//b4167//b0351//b2722//b1482//b4467//b3666//b2242//b1042//b0078//b1732//b1321//b3609//b0183//b4174//b4111//b3243//b0150//b0061//b4326//b4069//b4354//b1131//b1669//b1132//b2093//b2916//b4171//b3169//b1127//b4005//b0428//b2803//b0774//b3455//b4705//b3942//b2206//b3454//b0345//b4266//b3070//b2375//b3906//b1712//b3077//b0945//b1022//b0515//b3458//b1594//b3223//b1669//b1671//b2716//b3583//sroD//b1517//b3207//b2573//b2867//b0614//b0078//b4213//b4173//b0841//b4096//b2804//b4124//b1041//b2617//b2465//b4118//b1397//b4293//b2485//b4169//b1474//b3367//b4196//b3265//b1517//b0240//b4314//b0340//b1301//b2607//b3709//b2704//b2660//b3116//b2156//b2309//b0765//b3266//b2631//b4209//b4071//b0384//b4592//b3321//b4406//b4367//b1221//b2373//b2171//sroD//b2709//b2590//b0516//b2590//b4242//b2375//b2201//b4004//b3312//b2704//b1385//b2430//b0622//b4238//b2905//b2705//b3870//b4198//b3766//b0450//b3603//b2201//b4124//b0936//b4099//b2609//b3457//b4167//b4168//b0036//b2617//b3565//b3325//b2631//b3615//b3581//b0997//b2704//b1482//b2492//b1535//b3126//b0592//b2106//b2278//b2666//b1859//b4193//b2583//b2818//b4094//b0977//b3771//b4132//b2925//b3170//b0343//b2964//b2752//b2235//b1226//b1679//b4009//b3325//b3076//b0205//b4040//b2285//b1674//b2489//b4104//b2368//b3942//b3328//b0108//b0583//b4118//b4118//b0441//b3938//b0440//b0428//b2284//b3410//b4398//b4431//b2662//b2676//b2799//b4072//b0166//b3261//b1297//b1670//
FhlA-Formate	b2675//b4124//b1852//b4009//b3576//b0598//b3578//b3405//b3057//b3770//b0723//b2212//b2297//b3608//b4265//b0204//b1859//b0595//b1761//b2342//b4101//b0330//b1261//b3135//b3493//b4476//b4254//b3567//b3091//b0722//
FucR-L-fuculose-1-phosphate	b3057//b4476//b1262//b2285//b3366//b0154//b4058//
Fur-Fe2+	b2095//b4095//b3542//b0040//b1531//b4177//b4237//b4318//b1684//b1223//b3902//b3115//b4101//b0979//b1669//b0346//b0368//b4039//b1737//b0080//b3118//b1224//b0044//b4314//b4384//b0826//b4097//b2992//b2662//b0125//b0035//b1036//b3605//b3854//b1591//b3581//b2916//b2279//b4003//b4010//b0675//b1246//b4175//b2422//b2923//b2430//b2965//b0684//b2606//b2147//b0758//b1298//b3774//b4030//b3170//b2710//b0683//b3530//b3313//b4511//b4196//b0365//b4506//b3365//b2704//b3456//b2674//b1612//b0388//b1921//b1810//b3261//b3313//b2630//b3333//b3117//b1902//b2278//b1391//b0189//b1814//b0429//b1222//b4131//b1323//b4197//b0118//b4468//b2557//b1747//b0365//b2095//b2464//b3478//b1780//b1482//b2487//b3543//b4104//b0776//b0335//b2393//b0106//b3749//b0896//b2149//b1129//b2279//b3860//b4702//b2818//b0782//b2206//b4637//b2212//b1516//b1011//b4438//b1287//b1621//b1390//b0125//b4139//b2213//b3457//b0598//b3669//b0338//b2074//b4024//b3599//b4267//b0594//b3870//b4196//b1922//b0594//b2231//b0339//b1022//
Fur-Mn2+	b3759//b4314//b0178//b2486//b1272//b4151//b1535//b4151//b0062//b1241//b2151//b2365//b0240//b0349//b4200//b2964//b0166//b3870//b0861//b4007//b0178//b3666//b2732//b2720//b2344//b0078//b1497//b0934//b3170//b1973//b1300//b4100//b4138//b3165//b2204//b3521//b4096//b0168//b0620//b3025//b3429//b3365//b1900//b2313//b0191//b1883//b1745//b2341//b1537//b2704//b0587//b4177//b0311//b3508//b2754//b3615//b1982//b2312//b3428//b0040//b2756//b0757//b4315//b3135//b1973//b3942//b1302//b3756//b2903//b1247//b0684//b2313//b2750//b4198//b4174//b4400//b2341//b0202//b3905//b2705//b1062//b0615//b2486//b1010//b0574//b3425//b4102//b4063//b4323//b0573//b3959//b0033//b4309//b2963//b4067//b4417//b4670//b0113//b4063//b4010//b3316//b1796//b4467//b1038//b0861//b1737//efeU_2//b4416//b4354//b4008//b3451//b4382//b3533//b1389//b2590//b3452//b2957//b3223//b2663//b2718//b2570//b2937//b1384//b4040//b2368//b2997//b2235//b3721//b2476//b1244//b0352//b4439//b1589//b2239//b3831//b2423//b4104//b3458//b1396//b2482//
GlcC-Acetate	b0908//b3726//b3367//b2554//b1498//b2287//b2559//
GlcC-Glycolate	b3127//b3748//b1297//b1421//b2200//b1745//b0721//
GlrR-Pasp56	b0312//
IclR-pyruvate	b1261//b4101//b0622//b2925//
IdnR-5-ketogluconate	b3961//b2937//b1008//b2306//b2905//b2368//b2762//b4637//
IdnR-Idonate	b0566//b3315//b2235//b1612//b0152//b1671//b2589//b0198//
IlvY-2-acetolactate	b1102//b4167//
IlvY-Alfa-acetohydroxybutirate	b0722//b0166//
IscR-2Fe	b2927//b1743//b4024//b2720//b2867//b1397//b3863//b4200//b3057//b0397//b0591//b2029//b0995//b4170//b2805//b2723//b0781//b2762//b1499//b3518//b3070//b3364//b0116//b2306//b1042//b4168//b0463//b0077//b0109//b1888//b1704//b3756//b0109//b0384//b2489//b3969//b2242//b4450//b3543//b1593//b2756//
LldR-L-lactate	b0331//b3757//b0589//
Lrp-Leucine	b1761//b3582//b3236//b1337//b2609//b3071//b2368//b2706//b0945//b1781//b4175//b3335//b2799//b2588//b3571//b1389//b1324//b1132//b2423//b0595//b0759//b2364//b2282//b1256//b0598//b3227//b2393//b1797//b2531//b4003//b2617//b2752//b2091//b4317//b3726//b1476//b1256//b3315//b2803//b2465//b0783//b2674//b1904//b0311//b2708//b1719//b0776//b1780//b3452//b3863//b1532//b0681//b2673//b0616//b0679//b0618//b3958//b4106//b2276//b4173//b3057//b0035//b1706//b0192//b1682//b0312//b4451//b3367//b0154//b2716//b3274//b4321//b2365//b4201//b4067//b0973//b0517//b0153//b2490//b2674//b3759//b2671//b0451//b2674//b3428//b4320//b3123//b0156//b4310//b0764//b2757//b4398//b3026//b2805//b0396//b4118//b2764//b0337//b4036//b3773//b3853//b2663//b3429//b3231//b0396//b0180//
LsrR	b0613//b1620//b4671//b1805//b2311//b2630//b1263//b0179//b4119//
MalT-ADP-Maltotriose	b3568//b0019//b1396//b3577//b1818//b2201//b1007//b4171//b0587//b0039//
MalT-Maltotriose-ATP	b0776//b1706//b2307//b0399//b0336//b2096//b2759//b0880//b0240//b2630//
MelR-Melibiose	b0118//b2107//b1890//
MetJ-S-adenosylmethionine	b3423//b4010//b2697//b0592//b2198//b0273//b0757//b3071//b1859//b4249//b1042//b0036//b1907//b1513//b4024//
MetR-L-homocysteine	b4034//b2341//b0168//b2597//b2528//
MhpR-3-DHPP	b2425//b1275//b3368//b0199//b0378//b2709//
MhpR-3HPP	b2938//b0564//b0107//b0974//b1920//b2417//
MntR-Cd2+	b0377//b3405//b1805//b0677//b4040//
ModE-MoO42-	b3037//b2741//b3781//b1002//b2281//b1006//b3324//b3541//b0400//b2063//b1748//b1042//b2730//b3116//b4173//b3454//b0566//b2425//b4124//b3583//b3093//b2235//b1814//b3116//b4115//b3942//b1220//b0432//b1334//b2201//b1519//b2205//b4599//b0201//b0594//b4063//b3902//b0330//b1245//b2979//b2205//b1681//b3580//b2277//b2284//b3934//
NarL-Phosphorylated	b3603//b3959//b0180//b4317//b0484//b3077//b2499//b3521//b2729//b4071//b2607//b0675//b1042//b3528//b4705//b1881//b4450//b1737//b0450//b0198//b0463//b2288//b0207//b2711//b2150//b3413//b0397//b3568//b1136//b1243//b3666//b3261//b1673//b0167//b2674//b2094//b2370//b0342//b0125//b0411//b1022//b1190//b0118//b2597//b0515//b3117//b0860//b2371//b2279//b2912//b0595//b2213//b3669//b4102//b0522//b0928//b0108//b3456//b3037//b0974//b1715//b3081//b2199//b0575//b4381//b3431//b0399//b3161//b1243//b4671//b1818//b2213//b3134//b1022//b2311//b0820//b2572//b1211//b0109//b4104//b3940//b1497//b1973//b1036//b1973//b1587//b3666//b3601//b4242//b3231//b3855//b2484//b1038//b0602//b4071//b1920//b3476//b1656//b2195//b4401//b4018//b3237//b3611//b4637//b3458//b4187//b0207//b0763//b2156//b0596//yegZ//b2147//b4004//b1038//b4058//b2662//b0759//b1398//b1714//b4502//b3161//b1590//phnE_2//b2818//b0776//
NarP-Phosphorylated	b3368//b4239//b0616//b2373//b1007//b4324//b3164//b3869//b2422//b3568//b0367//b4319//b0441//b1732//b4131//b3265//b0783//b2727//b2552//b3093//b2572//b1890//b0616//b2671//b0874//b0241//b2414//b0124//b2312//b4118//b4637//b1719//b1970//b2429//b0110//b4119//b1781//b4036//b3615//b0124//b3266//b0109//b2707//b3164//b3432//b2926//b3616//b3072//b3223//b0778//
NhaR-Na+	b2207//b3532//b3135//b1321//b1547//b3430//b1205//
NikR-Cd2+	b1738//b0589//b1680//b0150//b0115//b1672//
NikR-Co2+	b0723//b1246//b3426//b2708//b0733//b0936//
NikR-Cu2+	b3266//b3601//b0335//b1588//b0107//b1241//
NikR-Ni2+	b2063//b0997//b0343//b4036//b3528//b4460//
NikR-Zn2+	b1669//b2464//b3326//b2673//b0177//b1220//
NrdR-ATP	b0616//b0864//b1336//b1743//b2484//b0384//b4317//b0366//b0975//
NrdR-Zn2+	b0724//b0614//b0388//b4400//b1208//b1817//b1002//b2597//b4059//
NrdR-dATP	b2429//b2706//b2370//b1907//b0182//b4416//b3117//b2414//b0516//
NsrR-2Fe	b3569//b0118//b2240//b0720//b2009//b3076//b4100//b4249//b0039//b0903//b4239//b0191//b0341//b2990//b2617//b2285//b1594//b3469//b1398//b2508//b2671//b0814//b1062//b3415//b3566//b4313//b2800//b3454//b3830//b4070//b0583//b3707//b0123//b4194//b3957//b3005//b3450//b4015//b4426//b3071//b0596//b1718//b0758//b2801//b2570//b4400//b1735//b4010//b3611//b1528//b3521//b3325//b1393//b1609//b0061//b2374//b2215//b4133//b0589//b4311//b3334//b1260//b0759//b1891//b2215//b0613//b4125//b4153//b2224//b3609//b1907//b2741//b3330//
PhoB-Phosphorylated	b0351//b3404//b0123//b0153//b0903//b1743//b3688//b0827//b0720//b4040//b2424//b3564//b3911//b3766//b0062//b1475//b0572//b2283//b3958//sroD//b3530//b4267//b3702//b2601//b4238//b3036//b2288//b1334//b2341//b0929//b1040//b4293//b0037//b2483//b2281//b4002//b0202//b1011//b2723//b3165//b4438//b1671//b0125//b2344//b3070//b2375//b4037//b3450//b0199//b2424//b0151//b2068//b0605//b4170//b0566//b2666//b3276//b3579//b0125//b0595//b1988//
PhoP-Phosphorylated	b1264//b4382//b4071//b1611//b3669//b0037//b1779//b2804//b3057//b1748//b0592//b0182//b2508//b1421//b3669//b2995//b0335//b3845//b1042//b2553//b1127//b4102//b3008//b4068//b4320//b2484//b0820//b4319//b1548//b0782//b3214//b2673//b2213//b2759//b4264//b0189//b4054//b0872//b4039//b0826//b1613//b2369//b3571//b0116//b2283//b0618//b0678//b3363//b2996//b1492//b1515//b2991//b2146//b1732//b2997//b1798//b0344//
PrpR-2-methylcitrate	b2199//b3265//b3214//b4197//b2674//
PurR-Guanine	b3049//b3701//b4313//b3853//b4355//b2291//b1021//b4417//b3959//b4177//b1190//b4209//b3451//b3461//b1301//b4317//b2204//b0411//b0201//b1482//b1497//b1043//b0033//b4096//b0873//b2752//b2712//b1225//b4122//b1519//b0860//b3037//b2535//b0330//
PurR-Hypoxanthine	b4168//b4406//b2393//b2369//b3230//b4399//b3960//b3127//b2375//b0615//b2803//b0197//b1182//b1622//b4054//b1518//b2232//b1130//b2961//b3278//b0979//b0020//b4288//b2840//b3722//b3581//b3579//b1007//b1673//b0953//b1887//b3116//b0617//b0724//
QseB-Phosphorylated	b1887//b2750//b1189//b2311//
RhaR-L-rhamnose	b0161//b1501//
RhaS-L-rhamnose	b1394//b0783//b0203//b4460//b2838//b2414//
RstA-Phosphorylated	b4637//b4171//b3571//b2417//b2486//b2841//b2491//b4451//b0342//b2557//
SoxR-2Fe_oxydized	b3859//b4355//b2729//b1241//
TorR-Phosphorylated	b3458//b0040//b0819//b3450//b4314//b0042//b3907//b3854//b3457//b2152//
TrpR-Tryptophan	b2224//b2742//b3481//b2393//b4321//b3753//b3423//b0620//b1245//b0062//b2662//b4129//
TyrR-L-tryptophan	b4010//b1719//b1500//b0723//b2755//b0312//b3960//b2211//b0336//b3541//b2804//b1127//b2199//b2560//
TyrR-Phenylalanine	b3135//b1670//b3333//b3335//b0484//b1261//b0945//b3968//b3709//b4152//b4000//b4321//b1528//b4118//
TyrR-Tyrosine	b0460//b4069//b2723//b4032//b4170//b0590//b1388//b0602//b0108//b3049//b3314//b1007//b1129//b4124//
UhpA-Phosphorylated	b1037//
XapR-xanthosine	b1246//b1275//
XylR-Xylose	b3727//b3748//b4441//b1670//b4381//b2223//
ZntR-Cd2+	b1641//
ZntR-Hg	b1593//
ZntR-Zn2+	b4441//
ZraR-Phosphorylated	b3568//b0167//b3314//
Zur-Zn2+	b3903//b4195//b2288//b2500//b2417//b3511//
