#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:10:52 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/clusters_coexp_bnum.txt
aceB	b2241//ilvG//
glxR	b4470//b3317//
gspB	b2341//b2252//
gspD	b0357//b2883//
gspF	b0320//b4098//
gspM	b0903//b0943//
hisQ	b4183//b1097//b3958//
holC	b2013//b3334//b0158//b2745//
htpG	b2149//b3931//b0860//
hybC	b3413//b1125//
hybG	b1679//b0379//b2757//
hybO	b3342//b3671//b3113//
hydN	b1950//b4071//b0759//b3927//b2800//b0169//b4426//b0796//b2307//b2665//b2312//
hyfB	b1991//b1259//b3259//
hyfR	b1478//b1774//b1200//b3265//b0637//
ibpB	b1937//b3718//
ileY	b2199//b2276//
ilvM	b1123//b2463//b1992//b1147//b1000//
ilvN	b1036//b2458//
iscU	b1717//b2422//b2698//b3545//b2096//
iscX	b2216//b3770//b3170//
kdsD	b3625//b3454//
ksgA	b3645//b1207//
lacZ	b1823//b1420//b1081//
lar	b1152//b1102//
leuZ	b1000//b3514//b1817//b2818//
lldR	b1078//b4459//b1004//
lpxP	b2147//b0941//b1807//b2032//
lspA	b1866//ecpE//b0977//
lsrR	b3514//b1819//b4470//b2239//b3626//b4024//b2056//b2422//
lyx	b0860//b2257//
malQ	b0750//b3202//b1151//b3311//b3976//b1468//b4589//b2608//
manZ	b2705//b1082//b3997//
marR	b3805//b2450//
mcbA	b3201//b1258//
mcrA	b4426//b1628//
mdtJ	b3811//b2886//
menD	b4143//b0358//b3153//
metN	b1259//b1407//
mglC	b2957//b2609//b0414//
mhpB	b1480//b0379//
mhpF	b0320//b0737//
minD	b2194//b1627//
minE	b3604//b1071//
mnmG	b2868//b4380//
moaE	b1881//b1504//b2023//b4469//b4470//
mokB	b3352//b0911//
mpl	b2949//b1238//
mprA	b3735//b4207//b1074//
mraZ	b1744//b0094//b1565//b3130//
mrp	b2703//b2378//
murE	b3293//b2454//
nagB	b1904//b2659//
nanM	b0485//b0764//
napF	b3580//b3537//
napH	b3603//b2736//b2390//b1485//b1428//
narJ	b1394//b3352//b3978//
narZ	b1783//b4290//
nirD	b0584//b3870//b2914//
nrdG	b4383//b2840//
nrdI	b3740//b2197//b2055//b3114//
nrfC	b0616//b4559//b3734//
nuoB	b2997//b0757//
nuoN	b1840//b1263//b2204//b1306//b1865//b4418//b1638//b4106//b2752//b0071//b2684//
oppF	b0118//b3293//b3982//b0997//b2838//
paaI	b0025//b2702//b0358//b1519//b2307//b1889//b2880//b0473//b3463//
pdhR	b3850//b1070//
pdxK	b2285//b4036//b2886//
pflB	b4515//b2619//
pgk	b0904//b1929//b4280//
pheL	b0273//b1235//
phnE	b3352//b3513//
phnL	b4610//b3658//b4585//b1138//
pntA	b3205//b0940//
polA	b1883//b2994//
potH	b0253//b3780//b3784//b2990//b2464//b4244//b1555//
ppa	b3378//b2754//
ppdD	b3125//b0244//
ppx	b0733//b0992//
proX	b3110//b0396//b1467//
prpD	b0884//b1036//b0795//
pspD	b2745//b3347//b1486//b0301//
pstB	b0722//b0805//
pstS	b3231//b3024//b2036//
purT	b2453//b0369//b1062//b3771//b3024//b2522//b3984//b1366//b2720//b4459//
putP	b3541//b0396//
puuR	b1420//b0152//b2917//b1297//
pyrI	b2464//b0089//b2499//b2850//b0036//b3326//
rbsK	b0923//b3306//b1943//b0038//b0150//
rcsD	b3846//b2235//
recQ	b2517//b2425//
relE	b1850//b2262//
rhaB	b4147//b4565//
ribF	b1390//b3167//b2422//b3202//
rlpB	b3317//b2459//b3311//
rluA	b3165//b1080//
rpmI	b4057//b0485//
rpoN	b2333//b0735//
rseA	yncK//b1386//
rsxB	b2162//b2851//
rtcR	b0513//b1362//
rutG	b4319//b1015//b0081//b2715//b0779//b4160//b4270//
ryhB	b2137//b0063//
sapD	b1817//b3012//b1190//
serC	b3212//b2925//
serT	b1198//b4506//b4096//b1918//
sfmH	b1761//b0757//
slyA	b1563//b3797//
smpB	b4466//b3223//
srlE	b2849//b0115//b3731//b3545//b1194//
sroB	b4254//b3580//
sseB	b3022//b4315//
sspB	b3563//b0336//
ssrS	b0118//b3231//b1124//
sucD	b0660//b3302//yedS//b2387//b2148//b0659//b0071//b3200//b4460//b4380//b4106//b2335//b4289//
sufS	b1304//b3780//b1932//b2867//b1939//b0992//
tatA	b2618//b1175//
tdcG	b0734//b0520//b2828//b1646//b1922//b4104//b2168//
tdh	b1517//b0306//b2146//b0894//b3175//b0585//
tdk	b1484//b3737//
thrC	b3195//b1588//b1062//
thrW	b3516//b0113//b3513//b1709//
tnaC	b2140//b0082//b3327//
tolC	b2418//b0829//b3337//b1576//
tolR	b3654//b3617//b3742//
treC	b2287//b0473//
trmI	yliL//b0050//
trpL	b2523//b2378//b3833//b4524//b0082//
truB	b0137//b2342//
truD	b3598//b1076//b2253//
trxA	b4319//b3035//
trxB	b1428//b2368//
tyrA	b4128//b1245//
tyrB	b0051//b1509//b0182//
tyrU	b2447//b2752//b1599//b3718//b2893//
upp	b0137//b3198//b2757//b3932//b2712//
uraA	yedS//efeU//b3624//
usg	b3079//b3296//
valV	b1294//b0485//b2189//
visC	b0081//b1079//b3508//b3305//
waaU	b1515//b2262//b3123//b2318//b0907//b4202//b3670//b4287//b2976//b1261//b1009//
wbbL	b3324//b3563//b0036//b1909//b4384//b3611//b1840//b1987//b3347//b1832//b0062//b3787//
wcaE	b3008//b2418//
wcaL	b1254//b2456//b1927//b1587//b1428//
wzxE	b0864//b2424//
xerD	b2728//b3967//
xylA	b2998//b2109//
yaaW	b2665//b2266//
yadM	b2930//b0072//
yaeB	b3562//b2256//
yaeI	b2738//b3728//
yafZ	b3792//b2348//
yajG	b3613//b3078//b2876//b1886//
ybaN	b3892//b4006//b2272//b2728//b1359//
ybbC	b0990//b1203//
ybbW	b0050//b1600//b2522//b1772//b4158//
ybcO	b2480//b0756//
ybdD	b2729//b2145//b0505//b2480//b2286//b0751//b3296//b3797//
ybeA	b0042//b0753//b2036//b4149//b4183//b0777//
ybeZ	b1674//b1189//
ybfC	b3838//ypjI//
ybgC	b2354//b1177//
ybgJ	b3021//b3316//
ybgT	b3533//b2729//b3892//b3198//
ybhC	b1776//b3605//b1486//b0450//
ybiC	b0125//b1257//b3507//b3512//b0244//b3654//b3977//b2096//b1062//b0369//b0710//b3183//b2906//b2235//
ybiH	b3336//b2600//
ybiX	ygeN//b0164//b3491//b3751//b1154//b0153//b3204//b0183//b1823//b1938//b2957//b1909//b2618//b2756//b0011//
ybjC	b1478//b3229//
ycbS	b2925//b3799//
ycbT	b1189//b1141//
ycbZ	b4027//b0509//
yccB	b3167//b3786//b4117//b2957//b0750//b0615//b3229//b3456//b1165//b1824//
yccJ	b2120//b3525//
yccM	b2782//b2239//b2908//
yccW	b1183//b2722//b3180//
ycdZ	b0784//b0348//
yceD	b1120//b1366//
yceG	b0781//b0904//b2308//
ycfM	b4328//b1946//b1153//
ycgM	b0002//b3006//b0724//
ychS	b2737//b3482//b2800//b0137//b3930//b3618//b3659//
yciC	b2035//b2744//
yciH	b3629//b0533//
ycjT	b1482//b0164//
ycjV	b3329//b3511//b2049//
ydaU	b1184//b0574//
ydaV	b4033//b2661//
ydaW	b2056//b1428//
ydcQ	b0586//b2308//
ydcW	b3078//b2319//
yddB	b3614//b1682//
ydeT	b0735//b0082//b3983//
ydeU	b3239//b3658//
ydfE	b0434//b1075//b1530//
ydfV	b4310//b1866//
ydhS	b0575//b1062//
ydiH	b0763//b4226//
ydiR	b0722//b0910//
ydjL	b1482//b2147//b3614//b3983//
yeaC	b3012//b1735//b1757//
yeaK	b4302//b0231//b0888//
yeaZ	b3116//b2662//b1334//
yebB	b3791//b3312//
yebC	b3846//b4099//b2195//b1316//b3982//b3433//b1074//
yebF	b3953//b0860//
yebG	b4565//b2501//b1282//b4430//b2976//b0131//b3343//b2203//b3628//b3690//b2256//b3721//b3812//b1757//b0477//
yebR	b4036//b0779//b2572//
yebT	b4123//b2264//
yedF	b1348//b0756//
yedI	b3651//b0038//
yedL	b0897//b0118//b2034//b2146//b4539//
yedZ	b1628//b2783//b0695//
yeeE	b0801//b1368//b1103//b1776//b3318//b2729//b0357//b2675//b1012//b4199//b0810//b3229//b4478//b0115//b2327//b0406//b1885//b3905//ygeN//b2607//b4123//b1931//b3026//
yeeF	b1306//b2992//b1761//b1391//b3620//b2053//b1600//b1880//b2135//
yehM	b0997//b0660//
yehP	b2068//b2239//b1348//b0726//b1560//b0344//b3429//b1566//b1739//b4244//b3967//b1082//
yehU	b0940//b4112//
yeiS	b1175//b2146//
yejK	b1483//b0245//b2278//b3687//
yfaA	b0169//b0864//
yfaE	b2930//b3189//b2017//
yfaX	b0781//b4127//b2745//
yfaY	pawZ//b2873//
yfaZ	b3991//b0863//
yfbM	b3185//b0908//
yfbN	b0071//b2726//
yfcM	b0910//b4149//
yfcP	b0973//b2678//b3833//b0974//b3168//b2035//
yfcV	b3204//b2618//
yffS	b1910//b2450//b1204//b3013//b1611//b1342//b0724//b1628//
yfgM	b2957//b0311//b2029//b0033//b3732//b1009//b0081//
yfjG	b2918//b3640//
ygaF	b1077//b2849//b2719//b3537//b3977//b3487//b3511//b4317//b3615//b2141//b1103//
ygbM	b2490//b4032//b1010//b3992//
ygcI	b1428//b3998//b0072//b3617//
ygcO	b2464//b0720//
ygeA	b1744//b3158//b3833//b3724//b1495//b0138//
ygeN	b4149//b3460//b1476//
ygfB	b4128//b1167//b4585//
ygfM	yrhC//b2976//b0120//b3491//b0617//b0903//b1038//b1519//pawZ//b2917//b2663//
ygfT	b2272//b1080//
ygfU	b3327//b3005//b0051//
yggF	b2142//b3512//b2463//
yghJ	b3367//b0113//b3903//
yghZ	b3542//b2718//
ygiQ	b3983//b1150//b1293//
ygiT	b2447//b2205//
ygjH	b0750//b0409//b3385//
ygjJ	b3008//b3482//b1930//
ygjK	b4151//b1146//
yhaB	b1088//b3298//
yhaO	b3515//b1141//
yhaV	b2240//b1132//
yhbE	b1796//b0072//
yhbJ	b4471//b4289//
yhbU	b0151//b3625//
yhbV	b3735//b0077//b0782//b0089//b2722//b0232//
yhbY	b4280//b1000//b1148//b3787//b4156//b1243//b3367//b2450//b1953//b1089//b2390//b1190//b3627//b1631//b1744//b2368//b4485//b1292//b2155//b0125//b3994//b1048//b1039//b2960//b1134//b1918//b3575//b1662//b3482//b1891//b2287//b1887//b4239//b2091//b1662//b4592//b1937//b1823//b1188//b3811//b4032//b3183//b3869//b2037//b0406//b2506//b2730//b0358//b3781//b1912//b0137//b1259//b0436//b1263//b1171//b2282//b2719//b3426//b1071//b0051//b2242//b2272//b1491//b2264//
yhcH	b1282//b2476//b1102//b3302//b4072//b1102//
yheL	b3475//b2828//b0118//b0595//
yheO	b3359//b0071//b1262//b0108//b1292//b3983//b2094//b3308//b2125//
yheS	b1297//b3213//
yhfU	b2909//b1174//
yhiI	b4027//b1987//
yhiM	b2960//b2448//b2849//b3320//b1633//b3158//b2039//b2997//b3416//b4027//b1590//b4566//b1359//b1306//b1120//b1784//
yhjE	ygeN//b3510//b3454//b1207//b4069//b4318//b2616//b2703//b0984//b3312//b3750//b2739//b0088//b2864//b0334//b1438//b3632//b0002//b4056//b3180//b3848//b1878//b2036//b4005//b4315//b1503//b4467//b3455//b1791//b2048//b1576//b2276//b2186//b1040//b4557//b3168//b2273//b3982//
yiaB	b2683//b3825//
yiaK	b3311//b1586//
yibD	b1265//b1866//
yibI	b0939//b2530//
yibJ	b2712//b3312//
yibN	b3670//b1293//ecpE//b1530//
yicE	b0710//b2199//
yidP	b0575//b2208//
yidZ	b2618//b1153//
yieK	b0436//b2723//
yigB	b1757//b3265//b1886//b1480//b4158//b3341//b3069//b2207//b0642//b0775//b3898//b3308//b3136//b2148//b1044//b2698//b2663//b3711//
yigL	b1316//b1105//
yigZ	ybfI//b3736//b0923//b2513//b3251//b2414//b1006//b4459//b1137//ybfG//b1761//b4135//
yijD	b3001//b2530//
yijF	b3718//b3941//b1884//
yjbR	b3193//b3192//
yjbS	b3260//b3958//
yjcH	b0895//b1393//b0263//
yjdA	b2108//b1075//b1560//b1200//b0672//b2730//b1452//b1409//b0094//b2206//b2278//b2002//b1840//b1662//b4067//b0750//b4187//b3008//b0414//b0977//b4589//b1299//b3543//b3654//b0723//b0588//b1900//b4512//
yjdJ	b2048//b2683//b0836//b0776//
yjdO	b3378//b0652//
yjeO	b2904//b3295//
yjfK	b1642//b2765//
yjfO	b3730//b1887//b2491//
yjfY	b4115//b3240//
yjgI	b4221//b2609//
yjgZ	b3927//b2601//b0652//b1235//
yjhC	b1426//b4426//
yjhX	b0072//b0121//
yjiH	b2241//b4226//b3797//
yjiM	b4128//b1018//
yjiX	b2204//b0151//
yjjI	b0421//b0296//b3784//b1312//b3141//b0434//b3337//b3936//b0785//b0089//
yjjN	b0910//b3620//b2455//b1123//b1438//b2097//b1075//b0121//b1062//b0972//
yjjV	b4201//b0615//
ykfI	b4384//b1972//b1281//b2108//b1600//b2961//b2327//b4524//
ykgB	b1438//b3026//
ykgF	b1887//b0487//
ylbF	b3327//b2216//
yliI	b0081//b0343//
ymdA	b1300//b3026//b3190//b2933//b2976//b1094//b1407//b2946//b4079//b0636//b3595//b2150//b1841//b3540//b2162//b2335//b2121//b0851//b4485//b2335//b4117//b2698//b3195//b0653//b0861//b3463//b0695//b3704//b1051//
ymfE	b2052//b3204//
ymfR	b1096//b2460//
ymfS	b1316//b3455//b1603//b0368//b1560//b1159//
ymfT	b1443//b3751//yedS//b0861//b3306//b0735//b0085//
ymgC	b2125//b2933//b2286//b1493//
ymgI	b0368//b3829//b1393//
ynaJ	b1094//b3433//b3998//b3342//b2960//b0955//b4277//b2721//
ynbB	b4071//b4303//b0115//b1611//b3430//b0511//
ynbC	b0820//b3456//
yncB	b1724//b1134//b1796//b0081//b3314//b0854//b2195//b0637//
yncE	b0989//b3426//
yncK	b2517//b0806//b2738//b3704//b4106//b2240//b2607//
yneJ	b2754//b1332//
yneK	b0707//b3189//
yneL	b0983//b2841//b1078//b3403//b2871//b1576//b1368//b4293//b2971//
ynfH	b1287//b0078//b2262//b1392//b2243//b3385//b3195//
ynjD	b0704//b1900//b3385//
ynjE	b2828//b1970//b1204//b4156//b1077//
ynjH	b1391//b2949//b2222//b1796//b2501//
yoaD	b2724//b3953//b2675//
yoaG	b3120//b0728//
yobA	b2506//b4464//
yobB	b1742//b0751//b0812//
yobF	b4200//b1048//
yodA	b0904//b3991//b2730//
yodD	b1350//b3344//b2675//b4006//b2207//b2490//b1096//b3259//b0168//
yoeB	b1096//b0356//
yohC	b3080//b3739//
yohF	b3456//b0520//b4149//b0804//b3735//b1011//b2941//
yohK	b3977//b0728//
ypeC	b4376//b3850//
yphA	b4203//b2926//
yphB	b2217//b0772//
ypjI	b1926//b2517//
yqeC	b0982//b2313//b0113//b0783//
yqeK	b1662//b4451//b0534//b0757//b1480//b1560//b2515//
yqgB	b2096//b2444//b0980//b4593//b2886//b3936//b2222//b0784//b0468//b4183//b2713//b3510//b4269//b4603//b3530//b2456//b1395//b3656//b2095//b3365//b4451//b2147//b1850//b1890//
yqgD	b1600//b3741//
yqgF	b3985//b1293//
yqhG	b3158//b1717//b1920//
yqiA	b3711//b3936//
yrbA	b2243//b1154//b1188//b1815//b3317//
yrbC	b4369//b3575//
yrbF	b3623//b0184//b4471//
yrbK	b1716//b0036//b1972//b0592//
yrhA	b2881//b2818//
ysaC	b2147//b0018//b1051//b0028//b1865//b3728//b1784//b1746//b2029//b2266//b3825//b4233//
ytfP	b1006//b3189//
ytfT	b0513//b1449//b3293//b2683//b2023//b4608//b1560//b0115//
ythA	b1167//b3731//
ytjA	b0617//b1563//b0974//b3972//b0432//b2023//b2019//b2573//b3838//b3008//b2683//b1972//b2055//b3704//b1014//b1632//b3413//b1832//b3997//b0795//b1783//b4128//b4512//b0182//b3180//b1883//b1930//b3869//b0536//
zntR	b2273//b1679//
