#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:15:44 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/gos_bnum.txt
go_0000018_7	b2104//bioP//b4319//b0232//
go_0001731_7	b2170//
go_0001762_6	b4100//
go_0001887_4	b1078//b1216//
go_0001896_5	b1804//b3166//b1678//b0857//
go_0002047_6	b3367//b3910//
go_0002097_8	b1277//
go_0002098_9	b1307//b1655//b0757//b1719//b2792//b3155//b1973//
go_0002099_9	b0429//b0177//
go_0002100_9	b0516//
go_0002101_9	b0323//
go_0002128_7	b2387//b3056//
go_0002131_9	b2077//
go_0002132_9	b2477//
go_0002136_10	b4618//
go_0002143_9	b3454//b0512//b3417//b0184//b0545//b0303//
go_0002181_7	b2185//b1339//
go_0002184_8	b2206//
go_0002188_6	b4415//
go_0002192_8	b0789//
go_0002937_9	b1342//
go_0002938_8	b3166//
go_0002939_7	b2616//
go_0002943_8	b3863//
go_0002949_8	b4421//b3919//b0121//b3287//
go_0003333_7	b3087//b3963//b0298//b3029//b2483//b0073//b2131//b4209//b2202//b0731//b4221//b1489//b0962//b3181//b0033//b1094//b0771//
go_0005975_4	b2318//b3824//b3657//b0318//b3426//b0930//b2047//b1014//b2306//b3351//b3330//b0076//b2831//b0804//b2752//b0346//b3499//b1379//b2794//b0661//b3450//
go_0005976_5	b2193//
go_0005977_6	b3018//
go_0005978_7	b1791//b1247//b0681//b0864//
go_0005980_7	b3144//b1294//b2767//
go_0005986_7	b1822//
go_0005990_7	b4025//b3127//
go_0005992_7	b3363//b3470//
go_0005993_7	b3724//b3842//b2262//
go_0005995_7	b3230//
go_0005998_7	b1246//
go_0006000_6	b2320//
go_0006001_7	b1116//b0420//
go_0006002_5	b3933//b3597//b4018//
go_0006006_6	b0024//b0935//b3933//ftp//b4501//b1831//b1113//b2929//
go_0006007_7	b2664//b0437//
go_0006011_5	b1743//
go_0006012_6	b2491//b0405//
go_0006013_6	b2246//
go_0006014_6	b2765//
go_0006015_7	b3367//b2907//
go_0006020_5	b2919//
go_0006044_7	b1394//
go_0006046_8	b3132//b3399//b1633//b4118//
go_0006047_5	b2838//b2763//
go_0006048_6	gapC//b2867//b3541//b3072//b1245//b2640//
go_0006053_8	b3199//
go_0006062_8	b0210//
go_0006071_6	b1737//b2340//b3249//
go_0006072_6	b3668//
go_0006082_4	b0241//b4170//
go_0006083_6	b3056//b3070//b2276//
go_0006086_8	b1046//
go_0006090_8	b1856//b0924//b3395//b0517//
go_0006094_7	b3308//b0365//b1109//b2100//b2129//b2350//b0238//b1993//b1951//b0376//
go_0006096_6	b4327//b4180//b1222//b2106//b2470//b3133//b4261//b3960//b3904//b3193//b2068//b0555//b1914//b1715//b2817//b3664//b1327//b0785//
go_0006097_5	b1089//b2067//b3829//b3668//b0734//
go_0006098_6	b3437//b1588//b1778//b0764//b0307//
go_0006099_4	b3426//b3421//b1611//b1098//b0194//b4268//b4485//b3929//b0213//b4321//b3779//b4309//b1863//b0628//b3441//b1662//b4208//
go_0006103_5	b3783//
go_0006104_6	b3542//b2828//b1734//
go_0006105_5	b3626//b1293//b4467//b1090//b2587//
go_0006106_8	b3341//
go_0006107_8	b4637//
go_0006108_8	b0008//b2414//b2236//b3375//b4130//
go_0006113_5	b2456//b4201//b2379//b1262//b2740//b4171//b2094//b4050//
go_0006115_6	b0796//
go_0006124_6	b1110//
go_0006144_6	b0315//b2143//
go_0006145_7	b2041//
go_0006146_8	b0113//b3754//
go_0006148_9	b2934//
go_0006149_9	b2412//
go_0006150_9	b0452//
go_0006152_7	b0960//b3825//b2216//b4031//b4090//
go_0006154_6	b3339//
go_0006161_9	b2143//
go_0006163_6	b0890//
go_0006164_7	b3253//b3195//b3020//b3083//
go_0006166_6	b1303//
go_0006168_7	b3182//b1363//
go_0006171_9	b3980//
go_0006172_9	b3136//
go_0006177_9	b1759//
go_0006178_7	b4298//
go_0006183_9	b0685//
go_0006189_10	b1759//b0121//
go_0006203_8	b3441//b2282//
go_0006206_6	b3708//b3526//b4266//b3743//
go_0006207_8	b3321//glsA//b3180//b3343//b0029//
go_0006208_7	b1296//b2739//b2165//b2989//b2053//b2958//b1050//b2763//
go_0006209_6	b1114//
go_0006210_8	b2792//
go_0006212_6	b3291//b3290//b1660//b3430//b3647//b1697//b3221//b1435//b0154//b1280//b3893//
go_0006217_9	b0177//
go_0006218_9	b3407//
go_0006220_6	b1220//
go_0006221_7	b3371//b1776//b3747//b1844//
go_0006222_9	b1002//
go_0006225_9	b1347//
go_0006226_9	b1714//b4011//
go_0006227_9	b3116//
go_0006231_9	b0811//
go_0006233_9	b1873//
go_0006235_9	b4320//
go_0006241_9	b1245//
go_0006259_5	b1924//b4372//b3998//b2041//b0551//b1563//b2920//
go_0006260_6	b0630//b4079//b3955//b2306//b0368//b0655//b3394//b1645//b3697//b2441//b1260//b3952//b2058//
go_0006261_7	b4148//b2075//b3163//b3204//b2659//b0838//b2091//b1580//b4366//b2379//
go_0006265_6	b3236//b3996//b3196//b2037//b3719//
go_0006266_6	b1660//b2366//b4179//
go_0006267_5	b3789//
go_0006268_9	b3691//b3368//b0388//
go_0006269_6	b0557//
go_0006270_6	b4327//b4511//b0051//b1564//b4088//
go_0006271_7	b1223//b3715//b3092//
go_0006274_6	b1860//
go_0006275_7	b1338//
go_0006276_3	b2792//b3175//b1926//b2412//b0846//b1473//
go_0006281_6	b0574//b3241//b0733//b1531//arcC//b3238//b1694//b2481//b4054//b1422//b3829//b0784//b1534//b3765//b3749//b1466//b4129//b3738//b2938//b2383//b3137//b2315//b4133//b3185//b4116//
go_0006283_8	b0533//
go_0006284_7	b3176//b2203//b3831//b3404//b3305//b0938//
go_0006285_6	b0074//b0585//b2374//b3235//
go_0006288_8	b2289//b2167//
go_0006289_7	b2477//
go_0006298_7	b2312//b0661//b2266//b2927//b1897//b0090//b2837//b1860//b1175//b3942//
go_0006301_7	b2996//
go_0006302_7	b2335//b0685//b3396//b0071//b0146//b3403//b3457//b0071//b4034//
go_0006307_8	b1313//b1466//b0200//b4077//b3437//
go_0006308_6	b1298//b0006//b4062//b0590//b4363//b1919//msrQ//b0886//b2607//b1781//b3406//
go_0006310_6	b4094//b4702//b4018//b0588//b1204//b4554//b1234//b0264//b4313//b3392//b1463//b4565//b1967//b3894//b4214//b4133//b0084//b0954//b0808//b3076//b0464//b0111//b2781//b4083//b0272//b1340//b3178//
go_0006313_4	b0406//b0369//b1723//b3902//b0096//b3726//b0943//
go_0006351_6	b2924//b2724//b1410//b3605//b2428//b0892//b3811//b4288//b1830//b2154//b3829//b0461//b2159//b2493//b3912//b2177//b2925//rpnA//b3930//b3719//b0680//b4227//b0276//b2155//b2798//b0452//b0722//b3347//b4323//b3577//b0946//b3553//b2296//b0273//b3778//b1370//b3070//b1090//b1257//b0679//b0979//b3517//b0284//b0708//b4351//b1409//b2920//b3612//b4259//b3368//b2796//b1071//b0708//b2674//b1336//b3430//b4373//b4280//b1734//b3680//b1262//b2451//b1646//b3183//b1105//b2340//b1863//b2436//b2796//b0774//b1603//b3021//b2674//b4106//b1257//b3822//b3563//b0726//b3408//b1199//b2923//b1614//b3156//b0068//b4326//b2064//b2553//b0400//b0377//b3512//b3146//b1184//b4031//b3410//b1314//b1465//b4032//b4317//b0570//b3712//b1644//b2620//b3011//b3915//b0273//b0125//b0095//b0553//b1061//b2559//b3572//b3869//b4207//b3535//b0185//b3568//b3959//b4243//b4151//
go_0006352_7	b1756//b1917//b3789//
go_0006353_7	b4195//b0180//
go_0006354_7	b1008//b3714//
go_0006355_7	b2307//b1395//b1204//b3807//b3691//b2603//b3303//b0159//b1123//b3062//b3255//b3847//b2278//b1513//b1258//b3529//b1370//b1961//b3401//b1743//b0264//b3572//b2819//b2794//b0890//b3745//b2486//b3371//b0135//b2076//b0594//b3081//b0614//b1432//b3300//b3507//b1513//b0356//b3666//b3737//b3574//b2682//b4152//b1086//b1343//b4378//b2381//b3162//b4351//b0369//b2545//b2882//b4511//b2570//b4386//b3670//b2675//b3878//b1221//b0093//b3997//b3006//b0775//b2913//b3843//b4058//b1253//b0894//b3901//b2539//b2008//b0947//b2601//b2380//b3635//b1272//b2559//b3885//b2009//b1791//b3162//b0695//b0828//b2330//b0896//b0699//b3609//b4258//b0127//b3066//b0829//b2523//b3519//b2011//b3697//b0723//b2312//b3131//b3457//b3185//b2268//b0102//b3327//qorA//b0518//b0875//b3965//b3657//b2297//b3336//b0138//b3955//b3390//b3503//b0179//b3824//b2075//
go_0006357_8	b4053//
go_0006364_9	b4067//b3022//b2342//b3230//b3600//
go_0006378_8	b3127//b2808//
go_0006396_7	b2841//b0629//b0894//b3476//b1174//
go_0006397_8	b0355//b4041//
go_0006399_8	b0657//b3437//
go_0006400_7	b0775//b2750//b2470//b3510//b0921//
go_0006401_6	b2094//b1430//b1422//b2291//b1749//b1916//b4230//b1827//
go_0006402_7	b1410//b2412//b0842//b3884//b1603//b2014//b1753//b2510//b3018//b2716//b2949//
go_0006412_6	b3149//b3636//b3591//b3127//b3994//b4301//b0956//b1712//b2913//b1326//b1636//b0610//b0910//b2060//b1078//b3070//b2385//b1088//b1652//b1876//b1011//b4312//b1759//b0874//b2327//b3668//b3161//b2061//b4159//b4072//b3741//b1397//b0770//b0188//b0890//b1167//b2213//b1042//b1465//b2198//b2406//b0828//b1266//b0894//b2367//b1117//b1686//b3271//b1682//
go_0006413_4	b1545//b1973//
go_0006414_6	b0970//b0438//b1450//b0483//b4208//
go_0006415_7	b3735//b0329//b2065//b0627//b3669//b3637//
go_0006417_7	b3455//b3350//b3288//b3594//b2052//
go_0006418_7	b3643//b1344//b3585//b3664//b0080//b3871//b0419//b3417//b0102//b4168//b1204//b0571//
go_0006419_8	b3747//
go_0006420_8	b3358//
go_0006421_8	b0418//
go_0006422_8	b3349//
go_0006423_8	b4187//
go_0006424_8	b4195//b3094//
go_0006425_8	b3747//
go_0006427_8	b1703//
go_0006428_8	b4193//
go_0006429_8	b3210//
go_0006430_8	b0841//b3729//
go_0006431_8	b0911//
go_0006432_8	b2066//b3231//
go_0006433_8	b2518//
go_0006434_8	b1791//
go_0006435_8	b3686//
go_0006436_8	b2023//
go_0006437_8	b3784//
go_0006438_8	b2711//
go_0006448_8	b1399//
go_0006450_4	b0211//b2327//b0153//b2057//b1378//b2207//b0613//
go_0006457_3	b3066//b1342//b1656//b2231//b2427//b0782//b0777//b1743//b1378//b1347//b2799//b4026//b0798//b0830//b3529//b0509//b2600//b3442//b4043//b0867//
go_0006458_4	b3330//
go_0006464_6	b1184//b0718//b4662//b4254//b0784//b1013//b2698//b3939//b2576//b0176//b4324//b3063//
go_0006465_6	b0088//b3668//b4112//
go_0006468_7	b2714//b0276//b3138//b3743//b1922//b2628//b2923//b1550//b1022//b1696//
go_0006470_7	b1163//b1886//b0213//b0805//b3074//b2296//b0594//b1521//b3887//b0421//b2479//b0020//b0633//
go_0006473_8	b1290//b2683//b1080//b3781//b0300//
go_0006474_6	b0178//b1180//b3737//b3300//b2811//
go_0006476_8	b0158//
go_0006479_5	b4129//b0245//b3119//b3089//b0080//b3480//
go_0006486_5	b4179//
go_0006490_5	b3722//
go_0006508_5	b1424//b1444//b1004//b1244//b1360//b0988//b3359//b1497//b2553//b0003//b4290//b3926//b2153//b3648//b3316//b1349//b1385//b2569//b3092//b3917//b1250//b1926//b3464//b3053//b3021//b2130//b3516//b3900//b2389//b2898//b3687//b0928//b1870//b1646//b3389//b2573//b0596//b1466//b0214//b1103//b0221//b3998//b3430//b0752//
go_0006515_7	b3145//b1575//b0742//b0512//
go_0006517_6	b2292//b1853//b0578//b4682//
go_0006518_5	b1275//b2234//
go_0006523_8	b4524//b1021//
go_0006524_8	b4513//
go_0006526_8	b4355//b3181//b1737//b1243//b0254//b4366//b0260//
go_0006527_8	b2316//b3167//b3040//b0196//b1978//
go_0006529_7	b1860//b3288//
go_0006530_7	b0076//b0124//
go_0006531_7	b2706//
go_0006532_8	b0254//b1363//
go_0006535_8	b0497//b3366//b1160//
go_0006537_8	b1444//b3715//b0809//b0348//b0911//yjgX//b0516//
go_0006538_8	b3751//b1099//
go_0006541_7	b4187//b4544//b2800//b3018//b3584//
go_0006542_8	b3250//b1897//
go_0006543_8	b4005//b3539//b3305//b2294//
go_0006545_6	b3661//
go_0006546_6	b3670//b0655//
go_0006554_8	b3825//b0065//
go_0006556_5	b2266//
go_0006559_6	b2770//b3423//
go_0006561_6	b0973//b3745//
go_0006563_7	b1945//
go_0006564_8	b0176//b3442//b2817//b1622//
go_0006565_8	b1943//b0111//b2388//b3306//b0613//
go_0006566_7	b3336//b3141//
go_0006567_8	b1158//b1300//b0231//b2114//b2136//b2125//b0072//b0460//
go_0006569_7	b1093//
go_0006571_7	b4203//b4043//
go_0006593_7	b2699//
go_0006598_8	b4324//b4557//b0751//
go_0006605_6	b1412//b1683//
go_0006612_6	b3313//
go_0006614_8	b4099//
go_0006616_7	b3146//b4320//b1015//
go_0006629_4	b1411//b2972//b3714//b0063//b3370//
go_0006631_5	b0881//b0161//b3579//b2524//b1175//
go_0006633_6	b3070//b1842//b3152//b1126//b2811//b3396//b1801//b1772//b4148//b2413//b2025//b0185//b3860//
go_0006635_6	b1902//b0106//b2746//b2180//b3173//b3094//b0024//b2669//b2726//b2496//b1004//b3869//b1139//
go_0006636_7	b3301//
go_0006637_5	b2492//b1212//b2478//b1854//
go_0006646_7	b0528//
go_0006650_6	b1732//
go_0006654_7	b0533//
go_0006655_7	b0946//b1743//
go_0006725_4	b2892//
go_0006729_6	b4254//b0612//
go_0006730_4	b3161//b1905//b3156//
go_0006734_9	b1682//
go_0006740_4	b4092//b3196//
go_0006741_9	b0722//
go_0006742_8	b2362//
go_0006744_7	b0195//b0996//b0886//b3121//b2733//b1602//b4506//b4318//b3201//b2009//b3730//b2894//b0465//
go_0006749_5	b2935//b0766//b0855//
go_0006750_6	b1775//b0754//
go_0006751_6	b3577//b2162//
go_0006757_5	b2614//
go_0006760_5	b1785//
go_0006761_7	b0089//
go_0006771_5	b2382//
go_0006772_6	b4194//b2904//
go_0006777_5	b2151//b2903//b0630//b1191//b1360//b2601//b1885//b0095//
go_0006779_6	b1282//b3604//b2264//b4668//b4166//b3949//
go_0006780_7	b2368//
go_0006782_7	b0817//b3376//b0383//b1481//
go_0006783_5	b4479//b1289//b0451//b3359//b0222//b0975//b3966//b1683//
go_0006790_4	b0862//b1831//b2196//b2955//b4143//b3926//b4064//b3410//b0474//ftp//b0730//b3686//b2904//
go_0006791_2	b3731//b1207//b2784//b0440//
go_0006793_4	b2746//b1917//b1861//
go_0006798_5	b3746//
go_0006799_5	b3084//
go_0006801_5	b2726//b2913//b2756//
go_0006805_4	b1235//b1347//b0047//b1633//
go_0006807_3	b3089//b2913//b2069//b2385//
go_0006808_4	b2435//b0623//
go_0006810_4	b3225//b4246//rpnD//b0831//b2702//b3918//b3259//b1429//b0166//b2195//b0518//b1225//b1249//b1684//b3729//b3547//b4235//b2374//b4511//b1912//b2717//b4315//b1544//b4261//b3984//b4177//b2294//b3510//b3461//b3956//b1297//b1913//b2289//b2918//b0008//b3580//b1477//b1714//b0131//b0448//b1117//b1998//b3213//b1731//b2531//b1125//b0591//b0733//b2424//b3553//b3825//b4209//b1927//b0771//b4323//b3939//b3117//b2307//b0587//b4362//b2994//b0612//b3019//b0806//b0375//b1263//b3412//b1013//b1218//b3426//b0528//b2980//b2942//b3350//insI4//b3916//b2024//b1079//b1249//b3347//b4011//b3183//b1729//b3143//b3469//b3720//b4539//b2246//b1663//b0480//b3741//b0726//b3712//b2424//b1377//b0799//b3229//b1084//b1105//b1370//b2533//b0091//b3563//b4039//b3353//b0415//b3321//b0683//b2580//b0180//b1684//b0980//b3319//b0963//b1439//b0854//b2630//b3299//b1955//b3152//b3266//b1343//b1592//b4316//b2093//b3450//b4046//b1427//b3838//b1526//b1286//b2827//b0225//b2926//b0861//b3553//b0023//b0782//b0521//b3096//b2264//b3690//b0003//b0892//b3301//b4101//b3584//b3691//b3888//b1131//
go_0006811_5	b1479//b1385//b2335//b0957//b3643//b1127//b0521//insI4//b2327//b3711//b0604//b2903//b3769//b4705//b4528//b1764//b1395//b2108//
go_0006812_6	b3424//b0015//
go_0006813_8	b0348//b1812//b2264//b2791//b3060//b1533//b0159//b2308//b1775//b2178//b1162//b3729//b1513//
go_0006814_8	b3616//b3237//b2009//b2831//
go_0006817_8	b3539//b0002//b0674//b2531//
go_0006820_6	b2981//b2336//b2987//b0953//b4101//
go_0006821_8	b4168//b2883//
go_0006824_8	b4557//b0198//b2729//b0826//
go_0006825_9	b3181//b0737//b0106//
go_0006826_9	b4018//
go_0006828_9	b2048//
go_0006829_9	b3637//b2361//b2502//b2976//b3693//b3632//
go_0006833_6	b3612//
go_0006835_8	topAI//b2510//
go_0006847_8	b0981//
go_0006855_6	b1035//b2021//b1613//b2366//b3502//b1913//b2128//b4586//b0831//b1892//b0530//b3680//b1079//b2725//b3320//b1313//b2922//b3230//b4122//b0092//b0722//b4289//b2611//b1124//
go_0006857_7	b1695//b3063//b0491//
go_0006863_7	b3725//
go_0006865_6	b3355//b2659//b2011//b2140//b2575//b3127//b2785//b3363//b3839//b1988//b2567//b2133//b4225//b0301//b0752//b0653//b2195//b1438//b1245//b3191//b1301//b3396//b2756//b2234//b0344//b0662//
go_0006868_7	b1167//b0920//b0272//
go_0006869_6	b2283//b1712//
go_0006874_8	b3629//
go_0006876_8	b0613//
go_0006878_9	b4245//b1060//b2757//b2476//b2510//
go_0006879_9	b3961//b0652//b1009//b3228//b0824//b2679//
go_0006880_4	b4059//b0051//b1693//
go_0006882_8	b1160//
go_0006883_8	b2169//b1677//b3981//
go_0006884_4	b3648//
go_0006885_9	b3037//
go_0006886_5	b1594//b0272//b3885//
go_0006928_3	b0261//b3258//b1086//b1853//b3310//b3883//b0775//b2962//
go_0006935_4	b0957//b4550//b2607//b2136//b0507//b4664//b3684//b3319//b3461//b1970//b2759//b3229//b0328//
go_0006970_4	b0970//b2993//b3804//b3962//b2380//b0674//b3303//b1955//b4399//b4035//b0697//b2728//b3227//b1188//b4705//b4323//
go_0006972_5	b2014//b3057//b1925//b4301//b4192//b1282//b3261//b3424//
go_0006974_5	b2178//b4358//b0830//b3447//b1838//b3295//b1736//b1487//b3661//b0151//b1919//b2748//b3194//b2818//b1119//b0571//b2131//b4316//b1991//b0918//b3075//b3454//b0891//b3544//b2058//b0978//b3430//b4114//b2786//b4235//b3601//b1449//b4088//b1302//b0151//b0831//b1391//b4662//b1617//b4471//b1376//b2812//b4219//b1701//b4113//b3657//b4025//b1264//b1716//b0662//b4075//b3565//b0086//b1039//b1061//b1912//b1166//b3564//b2531//b2387//b2078//b3690//b1863//b2297//b1550//b1084//b3292//b3829//b4510//b0804//b2727//b3279//b0423//b0241//b4269//b3494//b3410//b1967//b4192//b3359//b0034//b2077//b1695//b0854//b1125//b3955//b1488//b0346//b3023//b0436//b3164//b0316//b2541//b2679//b2686//b2310//b3960//b3208//b1544//b0924//b2930//b4415//b1870//b0766//b1536//b0101//b3887//b2301//b3244//b4018//b0429//b0733//b0448//b2129//b3183//b0134//b4054//b3236//b0452//b1343//b2615//b3375//b1686//b4004//b1883//rpnD//b3241//b3668//b0927//b3849//b3751//b0110//b2746//b3712//b0413//b3870//b1953//b1390//b3990//b1864//b2611//b1763//b1314//b3882//b0659//b1100//b1740//b0878//b1826//b3511//b0847//b4376//b0942//b3863//b1038//b4393//b4299//b2242//b2512//yjgX//b0329//b3835//b2580//b1800//b3423//b3775//b3241//b2341//b0400//b4124//b4302//b3074//b0401//b0782//b1520//b2233//b0339//b0066//b0268//b3918//b2383//b3301//b2114//b0432//b0141//b1682//b0174//b1205//b1439//b0161//b0158//b1592//b0111//b2820//b2893//b4394//b1236//b1244//b3271//b2992//b3516//
go_0006979_4	b2877//b3702//b1021//b4388//b3161//b2525//b2524//b1840//b3124//b2107//b3195//b3391//b2820//b0694//b3556//b0405//b3241//b2310//b3264//b3376//b2260//b4359//b1710//b1863//b3648//b0085//b0305//b1226//b3386//b1061//b0081//b1544//qorA//b3639//b1858//b4354//b0928//b3965//b1621//b3529//b0636//b0349//b1215//b3408//
go_0006986_5	b0069//b1882//b1145//b2743//b3191//b0996//
go_0006995_6	b1422//b1232//
go_0007059_3	b1594//b1516//b3565//b1218//b0874//yjgX//b0751//b0980//b3834//b4687//
go_0007062_4	b3341//b3507//b1347//b0394//
go_0007155_3	b3902//b0812//b0905//b0068//b2318//b1515//b0304//b0269//b3353//insI1//b3243//b0535//b0555//b2553//b3819//b0550//b3192//b4120//b2103//b1497//b4453//b2169//b2240//
go_0007165_3	b0240//b0349//b0320//b4355//b1174//b3984//b1619//b1741//b0316//
go_0007234_5	b0778//
go_0007584_4	b1205//
go_0008033_9	ftp//b3190//bioD2//b0085//b1600//b3216//b4195//b1263//
go_0008104_4	b1432//
go_0008152_2	b2888//b0366//b3025//b3712//b3835//b2945//b0902//b0144//b1184//b0644//b2417//hxpA//b2673//b4372//b3255//b2144//b1086//b2019//b3813//b0943//b0492//b2241//b1303//b2615//b4586//
go_0008156_8	b4664//
go_0008219_3	b0764//b3057//b0058//
go_0008272_6	b2997//b2529//b0817//b3594//
go_0008295_6	b2527//b1655//b1132//
go_0008299_5	b3954//b2730//
go_0008360_4	b0815//b2393//b2910//b0936//b2947//b4113//b2362//b2494//b4313//b2405//b2785//b2017//b4086//b1117//b0158//b2076//
go_0008610_5	b3331//b1646//b3367//b2169//b2537//
go_0008615_6	b4084//b3630//b2409//b2874//b2673//b0382//b1389//
go_0008616_8	b2387//b1312//b1804//b2943//b1223//b3020//b1741//
go_0008643_6	b0815//b1348//b2784//b0296//b0708//b3458//b2952//b0612//b1025//b4322//b1389//b3424//b2965//b3225//b0566//b4259//b2327//b1258//b1656//b0350//b0650//b4470//b3972//b2151//b0032//
go_0008652_5	b4175//b2756//b1135//b3062//b3542//b3713//b3251//b2520//
go_0008653_5	b2819//b1697//
go_0008654_5	b1216//b3018//b2061//b4062//b2741//b4481//
go_0009050_6	b2092//b4366//
go_0009052_6	b2620//b2946//b0242//b0595//b1512//b3360//b1890//
go_0009056_3	b3565//
go_0009058_3	b1499//b2553//b2620//
go_0009060_6	b3956//b0059//b2893//b0462//b2399//b4326//b3395//b3493//b3268//b3204//b1756//b1145//b0233//b0110//b0857//b1861//b3501//b1505//b2182//b2195//b3187//b1824//
go_0009061_6	b1801//b0296//b2086//b2114//b0831//b3266//b2248//b0927//b3729//b1018//b3503//b0699//b3394//b0231//b1202//b2236//b0564//b0813//b3307//b2048//b0045//b1192//b2005//b3843//b2512//b3237//b2130//b0076//b1564//b4036//b3637//b0472//b3714//b2242//b2092//b2608//b1656//b1662//b2930//b3131//b4019//b0417//b3608//b0633//b3816//b1740//b2741//b2135//b3653//b2703//b1642//b2945//b3050//b3368//b0771//
go_0009062_6	b0509//
go_0009063_5	b2327//b1002//b2418//b2538//
go_0009070_7	b3125//
go_0009073_6	b4231//b1053//b0226//b1117//b0731//b3834//b2129//b2697//b1424//b0068//
go_0009081_5	b4240//
go_0009082_6	b2841//b3883//b2310//b0318//b2958//
go_0009085_8	b2803//
go_0009086_7	b2738//b3063//b2819//b1814//b2379//
go_0009088_8	b1183//b3480//
go_0009089_6	b1879//b4565//b3989//b3229//b4076//b4123//b4168//
go_0009090_8	b0440//b1187//b2380//b4109//
go_0009092_7	b2841//
go_0009093_7	b0584//b1296//b0958//
go_0009094_6	b3403//b2019//b4111//
go_0009097_7	maoP//b0001//b0535//b3701//b1854//b3543//b3574//
go_0009098_7	b1580//b2666//b2830//b2027//b3018//b1694//b0938//
go_0009099_7	b2336//b1716//b1465//b1976//b4033//b0143//b1079//b1394//b2532//b3931//
go_0009102_6	b1978//b0413//b0069//b4394//b1004//b2763//b2574//b3625//b2138//b3095//b1953//b3067//b4367//
go_0009103_6	b2287//b3236//b2392//b3208//b3931//b2835//b3607//b4143//b1262//b1468//b1076//
go_0009106_5	b3498//
go_0009107_6	b2415//b2358//
go_0009108_6	b2436//
go_0009116_5	b0857//gapC//
go_0009142_7	b3750//b2667//b3230//
go_0009143_7	b3917//
go_0009152_8	b0982//
go_0009157_8	b0550//
go_0009166_7	b2138//b0090//
go_0009168_9	b2938//
go_0009220_8	b0590//b2690//
go_0009224_9	b1818//b0598//
go_0009226_6	b0978//b3778//
go_0009228_7	b1333//b2386//b2129//b4374//topAI//b3035//b3475//b2724//b1139//
go_0009229_6	b3993//b2480//
go_0009231_6	b1852//b4339//b3177//b3006//b4137//b1474//b2041//
go_0009234_7	b1209//b2614//b0408//b0516//b3662//b4389//b2575//b4094//b1435//b4169//
go_0009236_6	b0116//b1970//b4190//b2943//b1600//b1617//
go_0009237_4	b0182//
