# From /Users/Daniela/Documents/CCG/GU_art_2/GO_levels/scripts/regulons_in_gos_v3.pl on Tue Oct  2 19:40:26 2018
# Input = /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
# /Users/Daniela/Documents/CCG/datasets/GOs/extended_GOs/go_uniq_levels_extended_no12.txt
Group name	GO ID	GO level	Genes in group	Genes in GO	Percentage	GO name
RcsB	GO:0044874	7	3	1	0.33	lipoprotein localization to outer membrane
RcsB	GO:0072323	7	3	1	0.33	chaperone-mediated protein transport across periplasmic space
RcsB	GO:1902210	7	3	1	0.33	positive regulation of bacterial-type flagellum assembly
RcsB-BglJ	GO:0044238	3	5	4	0.80	primary metabolic process
RcsB-BglJ	GO:0071704	3	5	4	0.80	organic substance metabolic process
SgrR	GO:0071702	5	5	4	0.80	organic substance transport
SgrR	GO:0071705	5	5	4	0.80	nitrogen compound transport
SoxS	GO:0018130	5	4	2	0.50	heterocycle biosynthetic process
SoxS	GO:0044271	5	4	2	0.50	cellular nitrogen compound biosynthetic process
SoxS	GO:1901362	5	4	2	0.50	organic cyclic compound biosynthetic process
SoxS	GO:1901566	5	4	2	0.50	organonitrogen compound biosynthetic process
SutR	GO:1903507	9	2	1	0.50	negative regulation of nucleic acid-templated transcription
SutR	GO:1903508	9	2	1	0.50	positive regulation of nucleic acid-templated transcription
TrpR	GO:0009073	6	8	6	0.75	aromatic amino acid family biosynthetic process
TrpR	GO:0019752	6	8	6	0.75	carboxylic acid metabolic process
TrpR	GO:0046394	6	8	6	0.75	carboxylic acid biosynthetic process
TyrR	GO:0009073	6	3	3	1.00	aromatic amino acid family biosynthetic process
TyrR	GO:0019752	6	3	3	1.00	carboxylic acid metabolic process
TyrR	GO:0046394	6	3	3	1.00	carboxylic acid biosynthetic process
XapR	GO:0006139	4	2	2	1.00	nucleobase-containing compound metabolic process
XapR	GO:0006725	4	2	2	1.00	cellular aromatic compound metabolic process
XapR	GO:0034641	4	2	2	1.00	cellular nitrogen compound metabolic process
XapR	GO:0046483	4	2	2	1.00	heterocycle metabolic process
XapR	GO:0055086	4	2	2	1.00	nucleobase-containing small molecule metabolic process
XapR	GO:1901360	4	2	2	1.00	organic cyclic compound metabolic process
YjjQ	GO:0071978	7	2	1	0.50	bacterial-type flagellum-dependent swarming motility
YjjQ	GO:1902201	7	2	1	0.50	negative regulation of bacterial-type flagellum-dependent cell motility
YqhC	GO:0051596	6	2	1	0.50	methylglyoxal catabolic process
Zur	GO:0006829	9	5	3	0.60	zinc ion transport
