#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	hupA//ybdN//malQ//ccmB//
FNR-[4Fe-4S]2+ reduced	caiC//iscA//tehA//nupG//torA//aroF//rdoA//yebE//cra//fhlA//idnR//trpC//rrlD//glcB//gltW//mgtA//rhaB//puuB//puuE//hybB//evgS//ilvY//gspE//lysO//ebgA//aaeA//fucP//dnaE//ubiC//argT//nmpC//bglF//idnO//hycH//csgE//nhaR//purE//gatD//mscM//rrfF//icd//alaV//manZ//iscU//srlD//abgB//yhhY//rnpB//focA//nuoB//lysC//chbA//fucK//rrfC//pheS//dppD//abgA//pagP//nuoJ//fdnH//cydA//phnE_1//arcZ//ilvL//uxaB//fadD//baeR//entA//nanE//creB//sohB//lpxA//fixX//phnN//bglB//csgC//casB//malQ//fumA//prpE//hofO//dnaN//citD//ogt//tdcE//tdcB//gltB//lyxK//hybD//cra//purR//bioA//lacA//recF//xylR//nrdB//nhaA//dppB//atoA//paaG//yfeW//speC//glcG//argC//nrdE//malQ//fepG//zinT//livG//ubiC//rplW//sufB//rutC//ydhY//moeA//dcuA//rbsC//atoB//kbaZ//puuA//chiP//lamB//citX//speB//allE//garR//cbl//livG//xapA//mutY//malE//cysN//chbG//narK//rstB//nuoJ//dsbA//hybG//serA//alaS//dcuS//paaA//talA//puuC//argH//gabP//alaT//exbB//gntU//agaA//entH//nrfF//nanS//hyfH//cspE//moaD//xylG//glcB//araE//yfdX//nfuA//creD//rnpB//puuD//psiE//nlpE//pheM//ppiD//aaeB//ppiD//dcuS//ykgM//lysP//mgtA//nupG//hypE//ftnA//glpF//gspM//bamA//glnA//nuoH//xylF//fucI//dctA//fecE//hycH//ileV//rutB//aceK//rrlH//hyfD//fur//cspE//puuE//xylG//eda//dcuB//purB//rrfF//purK//glpK//aroF//iscR//nanT//napC//rrfD//amn//ybdZ//abgB//crp//gutM//ung//livM//gspO//hycG//caiF//dcuC//sucC//yneM//ilvG_1//hofO//glnG//pstA//cpxR//fes//hybE//bcsZ//sdhA//yfdX//astB//fecC//yaiW//ygiA//agaV//artP//hha//araG//flhC//ompT//infB//mzrA//hybE//ycdZ//fimC//gspE//spf//srlR//acs//cynX//fepB//narI//rpsJ//ilvA//lysO//pgaA//baeR//rbsD//hofM//phnK//amn//fnr//murP//ppiA//tauD//tdcD//fecB//bhsA//argB//hyfR//rrsD//hdeB//idnK//proP//yneM//xdhA//rrsG//pepT//feoB//lpxD//folA//entE//hemL//yibN//tnaC//fecE//ascB//aaeX//hflK//dnaE//srlE//waaH//feaB//gltW//fadI//narL//yeiL//glpT//bacA//ilvI//gutQ//mepH//hslJ//mhpF//rplB//
FhlA-Formate	hypF//araB//hyaF//cbl//prpE//yiaL//fdnI//abgA//leuE//rbfA//dcuC//sucD//pheS//lacZ//yhjC//guaA//gabP//uidC//napB//yjeV//gspC//exbD//purD//waaH//nuoC//dapB//gdhA//grxD//melB//agaA//
FucR-L-fuculose-1-phosphate	fecI//malQ//cysC//dapD//araA//ynfG//hflD//
Fur-Fe2+	ascB//ykgR//metL//hofM//entS//glpK//crp//preT//gcd//infC//ulaF//prs//araF//ydeN//tdcD//mntH//manY//yiaL//tsx//arcZ//ahpC//lamB//rrlE//moaC//rplB//hflC//hyaE//ygiA//thrS//fepD//yiaJ//fdnH//argB//sdhD//chiP//mhpT//napA//motB//fau//fumA//rplC//alaU//tauD//sucA//yeiB//lsrG//ulaD//yiaK//ynfH//katE//lysO//hofO//tsaE//oppD//appC//nrdB//fixC//hyfR//yfbR//aceK//nuoJ//hcr//ulaD//aaeR//yfbR//ycjF//ccmA//rpoE//gltB//hypD//ygiA//aaeB//prpE//rpsO//glcD//treC//cusC//rimP//mhpC//pagP//rpmI//nikE//glcA//appY//purE//sbcD//lysA//preA//slyB//tsx//lamB//osmY//lamB//citX//yibN//aroH//gspL//narI//gutQ//yjeF//tnaA//gltD//cysA//zraS//cspE//hofM//metB//rbsR//creC//ulaA//serC//micF//lsrR//uxuR//lpxA//pgaC//ygiB//glpF//arfB//rprA//uidC//lsrD//creB//rpsO//galP//malI//speC//map//xylF//nikC//paaK//rutC//envZ//speA//lolB//fliA//lrp//pgaA//ompW//idnT//
Fur-Mn2+	exbB//nohA//tam//sucA//hslJ//cyoA//puuC//hycD//cyoB//creD//fumB//rnlA//uhpB//evgA//murP//phoH//flhD//fldA//ybjG//nadC//hflD//alkB//proP//ulaF//dapB//mgtL//napB//oxyR//fimC//tauA//ilvB//ulaD//gspO//lsrF//rrlG//soxS//pitB//aspC//cirA//abgT//mzrA//yegR//glpQ//icd//aceA//rutF//sgbE//sgbU//narX//cusB//casB//rhaR//grxC//gltU//yqjH//amtB//hyfH//glnB//truB//argP//icd//frdD//rpoH//tyrR//dgcZ//casE//hybD//fimA//puuD//pyrC//grxD//hybC//ryhB//ysgA//gntP//tcyJ//ychH//gntU//amn//torR//dcuD//actP//hfq//cynR//ygbA//paaE//argD//ilvH//malE//dusB//garR//hypD//fecI//rplM//ulaD//chbF//hybE//narQ//ilvM//entA//deoA//fhuA//caiD//nac//gcvT//sdhB//rnhB//purD//yibN//focB//rpsP//ssuE//hyfG//lhgO//pdhR//pgaC//artI//prfA//acnA//cbl//idnD//gadC//glpG//modC//argC//metY//dppA//srlB//oppA//qseC//lolB//dppC//pstC//astA//kbl//cytR//yeiL//ahpF//hslJ//tdcB//
GlcC-Acetate	rplM//mdtA//glmY//paaD//bhsA//dcuD//prpE//
GlcC-Glycolate	flhC//hybD//phnC//gyrA//creC//dsdC//phoA//
GlrR-Pasp56	eda//
IclR-pyruvate	ptsI//cysK//dcuA//mlc//
IdnR-5-ketogluconate	rplM//ilvG_2//trpB//narL//trmD//guaA//mglB//ccmB//
IdnR-Idonate	sbmA//glpA//map//katG//ccmG//rrfG//fhuA//nuoI//
IlvY-2-acetolactate	nrdF//feoB//
IlvY-Alfa-acetohydroxybutirate	bcsZ//cusB//
IscR-[2Fe-2S]1+	dsdC//ynfF//moaB//bglG//appX//entE//icd//ygeH//xapA//entE//nikB//nrdB//metL//aer//gnd//bcsZ//yedX//xdhC//fixC//rutF//nanA//malM//rutG//glgA//cysK//zntA//nohA//lpxD//paaE//hemL//tdcD//glpD//entS//narG//rrfG//abgA//mhpT//trpL//bhsA//lldR//metA//
LldR-L-lactate	malT//hyfH//tktB//
Lrp-Leucine	pyrC//codB//phnF//cyoB//hydN//rutE//paaZ//crl//carA//rrfD//nmpC//galS//fucP//tap//lacI//tonB//hybO//tolC//ascB//malX//hycI//ilvN//ilvA//xdhA//ahpC//metK//yqaE//dpiB//ilvL//lhgO//arcA//yeiL//artM//glpR//livH//dsbA//bglG//purL//tyrP//ompX//dadX//trpD//hybO//cusS//hypA//yhcH//glpR//sucC//manX//yeaE//norV//rdoA//nanT//fucK//fdnH//nhaA//infB//gltW//infC//ulaF//speA//dmsC//evgS//gatA//malZ//gyrA//atoA//trpB//tdcB//alaV//torA//metC//paaJ//envY//gspE//thrS//tam//malS//tauB//entB//ycjX//kbl//fadI//rrfB//amn//argR//murQ//tadA//moaD//yiaN//gatZ//prpR//glcD//efeU_1//fadD//yoaC//cadA//xapB//pheS//flhD//bioB//galP//gadC//araA//glcE//cstA//
LsrR	ihfA//ssuA//gspM//dcuC//livG//uxuA//ascF//hycB//cas1//
MalT-ADP-Maltotriose	lsrB//uhpA//prpE//casE//gapA//yaeP//ulaD//rpsR//yjiY//purK//
MalT-Maltotriose-ATP	bhsA//cheW//pyrC//asr//casA//uxuR//feoC//mlc//patZ//dcuD//
MelR-Melibiose	pnp//sgbE//phoU//
MetJ-S-adenosylmethionine	ulaE//pitA//oppA//yjcH//lsrK//manX//cysC//hpt//phoH//xapB//ebgA//lsrC//paaB//pepT//kbaZ//
MetR-L-homocysteine	ompF//skp//nrdE//alaS//tktB//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]	adiC//arcZ//crl//pdhR//phnK//torA//
MhpR-3HPP	gspD//mntH//fumA//ydeN//sufD//yoaG//
MntR-Cd2+	comR//nirD//yfeW//ygbA//lacI//
ModE-MoO42-	fhuC//phoH//appB//xdhB//gltT//pta//micF//ydiU//ychH//lldD//miaA//rpmC//ilvA//flhD//rrsH//cheZ//osmC//trpC//entA//chbR//hyfG//csgF//sbmA//tdcD//purB//rhaT//metR//alaS//paaD//frdD//lacI//phnK//lsrA//norR//gspJ//icd//artQ//gnd//ebgC//modC//rprA//ompC//rnpB//cbl//gltT//rrfA//
NarL-Phosphorylated	sdhC//ileV//nikD//phnP//hycI//aceA//entB//yjjZ//iraM//dctA//aidB//fecI//sufC//uhpT//rplI//udp//prmC//araB//oxc//dppC//grxD//paaF//cadC//ydhW//srlB//hycB//rpsI//nuoA//iscS//glpE//metQ//purL//argD//garL//garR//nirD//rnpB//bcsA//yeiL//glnA//comR//gspK//infB//skp//csgD//melR//metC//ydiU//katG//aceA//sxy//ryhB//oxc//ydeM//ycdZ//bioD//cheY//rplI//ccmF//bcsA//cadC//cyoA//recF//mutL//ybdZ//ileV//ycjF//atoA//casE//aaeA//yaiA//gutM//dmsA//acrD//yjiY//pncB//avtA//feoC//rhaD//nanK//cynT//fis//nikC//qseB//nikR//ssuC//mgrB//ydhU//acrF//ydbD//fepC//bioF//dadX//bioC//rbfA//yhjA//gutM//gspG//ydeN//appB//yfaE//rrfB//borD//bioB//fimC//lsrR//fliA//fliZ//fimI//yidQ//rhaR//garL//metB//gltA//phoQ//rcnB//ompA//gltT//purM//ulaA//yqjI//fadI//lysC//treB//metL//
NarP-Phosphorylated	folA//galM//tauA//garP//tdcD//trpL//hycI//tpx//fimF//malX//yrbL//evgA//sufC//cstA//rrfE//yfbR//metI//purK//leuE//aceF//mcaS//livG//frdD//citF//yegZ//glnL//srlR//nlpD//glnB//tauC//trmD//yhjC//narQ//lacA//rseA//aaeR//uxaC//lpd//glpA//dgcZ//micF//fes//lsrB//rrlH//cysK//fucI//aaeX//arcA//gltA//rseB//
NhaR-Na+	nhaA//nanC//lsrG//puuC//lsrD//baeS//phoE//
NikR-Cd2+	xdhB//malM//ccmA//astE//phnE_1//dcuA//
NikR-Co2+	bglB//csiD//hyfH//tsgA//garL//micF//
NikR-Cu2+	yhhY//prmC//yeiB//phoU//amtB//erpA//
NikR-Ni2+	rbsC//livG//metE//atoB//nanC//mhpT//
NikR-Zn2+	guaA//ebgA//aroM//rutB//copA//alaT//
NrdR-ATP	lysP//metL//narQ//oppD//rutG//narL//mltC//dnaN//yhjC//
NrdR-Zn2+	lldR//yidQ//yeiP//xapA//rutF//betT//yegR//atoE//rpoS//
NrdR-dATP	puuR//cirA//xylF//pheT//cpxR//ubiC//gspJ//hdeB//hybB//
NsrR-[2Fe-2S]reduced	mntH//ebgC//yaiW//livJ//ompW//folA//dppD//pheM//umpH//araC//ompW//dsdA//rhaR//lacY//hybA//ilvA//thrS//dppF//zinT//ptsH//cysN//acrE//mglA//sdhC//csgE//gltV//carB//asr//map//yeaE//gspL//treR//nikR//amtB//hflC//malT//iscA//acrA//prfA//aldB//phnJ//nuoE//yfdV//ydbD//fimG//tktB//ileU//prpE//fadA//puuC//rhaR//alkA//purE//napG//gltU//mdtA//rplP//tsr//pheS//nagC//aroA//cadB//argF//gutM//fucP//hofM//idnT//rprA//xdhB//phnH//cysP//fecR//appY//
PhoB-Phosphorylated	glpB//ampD//acnB//glgX//cydA//pyrD//nupG//hyfG//cvpA//ydhX//ptsH//rutB//rrsC//astE//agp//ryhB//fdhF//cydB//tauC//ansB//purN//alaA//moaE//map//melA//hyaF//alkA//cysK//purH//glpD//hyaF//fumC//fadH//rutF//malX//phoP//ilvL//atoE//fixC//uxuR//rrfC//yhfA//xylG//citX//purB//rrlD//flhC//bglG//ybjG//purL//xseA//argI//soxR//nagE//zinT//safA//narQ//glpT//nadC//micF//uidC//
PhoP-Phosphorylated	livK//hisQ//mdtB//speA//xapB//argC//mutL//zwf//gspO//glnK//nrdB//fixA//ompA//tdcA//metE//cysI//sroD//ugpC//cpxA//glpC//fau//ryhB//sufB//nuoM//exuT//aroM//ccmG//paaD//pdhR//ynfE//metI//folA//gatD//rybA//tdcF//purB//yeaR//frdA//sucD//hmp//dpiB//xylG//yebE//glcF//ybjG//cysW//tnaB//hybA//pepT//fabZ//sucD//appA//rhaD//chbC//creA//hyfD//gltD//
PrpR-2-methylcitrate	mdtA//yeiW//codA//fiu//glpX//
PurR-Guanine	grpE//cytR//pgpC//metH//gltB//prpR//hyfI//fecC//yeaE//nuoE//murQ//pyrD//argE//ompF//ogt//bglF//fabZ//glcB//phnJ//fecA//metC//uhpT//napF//puuP//glnB//cysB//ompF//ulaE//casA//nuoK//hybF//crp//dppA//glgX//
PurR-Hypoxanthine	ompX//ydhV//pstC//cysB//glcF//fumA//garP//ubiA//phnM//yiaL//idnK//ldtC//argD//purE//psiF//hyaE//hycH//ybdZ//deoB//mglC//manZ//pheS//rutB//epd//pgk//livJ//ihfA//rpsO//ompF//skp//yiaK//tsgA//agaV//csgD//
QseB-Phosphorylated	rpsC//rpmC//prs//oxyR//
RhaR-L-rhamnose	livJ//modA//
RhaS-L-rhamnose	purL//artQ//lpd//rutC//malK//yggX//
RstA-Phosphorylated	hybE//malK//prpD//bcsA//crr//nrfA//cysD//hyfI//glpA//mntH//
SoxR-[2Fe-2S]3+ oxydized	uidC//rplI//pheS//creB//
TorR-Phosphorylated	argR//uof//phnH//fumA//ssb//hofM//fepG//ydeP//xapA//ampE//
TrpR-Tryptophan	lysA//araC//dppD//rplC//ilvD//aaeX//aroP//mdtC//nuoF//nanT//fucU//hemA//
TyrR-L-tryptophan	glmY//glgP//sdhC//caiT//citF//ulaD//yfiP//ydeJ//dppA//infC//sufA//hyfE//uhpB//araD//
TyrR-Phenylalanine	slyB//ftnA//lsrC//marA//nanK//yjeV//infC//araG//xylA//alaT//ychH//tdcE//efeU_2//caiC//
TyrR-Tyrosine	araB//glcG//uxaC//araJ//speB//lyxK//stpA//citF//hybG//hisQ//ileU//zinT//glpB//glyA//
UhpA-Phosphorylated	livJ//
XapR-xanthosine	raiA//tap//
XylR-Xylose	marR//bcsC//ycjF//bcsB//uraA//narJ//
ZntR-Cd2+	ygaC//
ZntR-Hg	tyrP//
ZntR-Zn2+	exuT//
ZraR-Phosphorylated	yciW//ompW//torC//
Zur-Zn2+	hyfD//rnlA//psiE//glcC//acrB//pgk//
