#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	entF//ccmD//lpxD//pitB//
ChbR-Monoacetylchitobiose-6P	ilvY//rybA//gltA//mtr//creD//pstB//
CpxR-Phosphorylated	ssuE//iclR//fadB//ynfK//fadE//gutQ//cas2//glcD//fucI//glgS//cusC//metQ//rhaD//hypC//fepD//aldB//feoB//astC//deoC//fadJ//cheZ//fhuF//hisM//norW//ybdZ//gutM//hcp//yqjA//fhuA//yhhY//glpG//sodB//fixC//alaS//bioD//ulaD//mglA//guaB//eda//cytR//hdeD//purK//ilvX//rbsC//fimF//slyB//gspM//fadA//napA//cynX//speB//hyfC//agaV//nuoF//rplD//rbfA//chbC//dsdC//glpF//purF//glpG//uraA//ulaF//xdhB//sdhA//glgX//cysH//napF//rpoE//
CreB-Phosphorylated	soxR//gapA//atoB//ilvG_1//pgaB//rrfB//fdnH//nadC//fepD//
CueR-Ag	cheZ//dusB//rplI//rhaD//ppiD//aceE//zinT//
CueR-Cu+	speA//metJ//oxc//ulaB//nanT//csiE//mhpR//
CuerR-Au	carA//pyrD//mgtL//prmC//ebgC//malX//trpD//
CusR-Pasp	rpsQ//fimD//nrfC//speB//mntH//map//torC//nrfG//gpmA//dppC//rplC//rhaD//
CynR-Cyanate	yiaO//hypC//metR//ftnA//
CysB-N-acetyl-L-serine	bioC//tpx//betT//chbA//narL//fepB//uhpC//rbsR//rbsB//ubiA//ssuB//rseA//iscU//nikR//safA//dnaE//gdhA//entA//metC//mdtA//recF//xapB//sodB//tadA//crp//sdhC//gabP//uxaB//rrfF//fepA//
CysB-O-acetyl-L-serine	napF//ompR//folA//aldB//rbsB//gspC//tpx//ydhU//tsr//fixX//creA//acnB//cas1//manA//lsrC//yidQ//fixC//katG//edd//pdeF//sdhC//fecC//pta//sufS//nmpC//crp//ileT//napF//zinT//cydB//cynX//
DcuR-Phosphorylated	astC//ybjG//csgA//recF//cysC//gatB//tauD//phoE//prpB//
DnaA-ATP	rseC//glgX//rrfG//comR//sodA//mglC//srlA//degP//oppC//fucP//livJ//pck//
DpiA-Pasp	manX//malZ//phnF//garP//purE//malE//katE//exuT//ysgA//bglB//dapD//
DsdC-D-serine	osmY//purF//rplP//
EvgA-Phosphorylated	caiE//phoA//fis//infC//cysP//fimI//cysI//uxaB//fhlA//motA//paaZ//fecA//citD//rutB//ynfE//
FNR-[4Fe-4S]2+ reduced	iscA//tyrA//dapD//ykgR//sdhC//lrp//lacI//puuR//modC//cydA//sdhA//sgbH//tsr//uhpC//chbC//skp//hypC//yccA//narG//treR//mhpF//uxaC//trpA//puuA//fhuA//dps//glgS//araC//citF//rbsC//rrfC//ydhU//motB//gspF//mltC//lolB//dppC//deoC//hofP//sgbU//atoA//citX//ansB//nlpE//uxuA//dpiA//srlR//ompA//chbC//fadA//cydC//bcsZ//ubiC//pgaC//atoE//moeA//mgtL//dadA//rseC//modC//tyrB//moaB//ccmG//metF//hupA//chiP//lacA//ivbL//dsdX//soxR//ogt//mgrB//mdtD//srlD//fepD//rimM//cydD//yeaD//aldA//moaE//rutE//glnA//mglB//dcuB//bcsZ//gspD//ahpC//raiA//fimD//glnL//mgrB//lysO//preT//ydeM//rimP//metE//rrlG//idnK//motB//nirD//malF//araF//polA//hyaD//mgrR//hyfI//rpsO//cydB//glgP//nrfE//xapB//cydD//glyA//fhuC//nuoL//glpR//iraD//rrsH//xylA//entD//napF//appA//rof//ydiU//tpx//napG//lsrK//xdhC//ynfK//argI//secB//glcG//rrfD//nikC//flhC//borD//tnaB//truB//phnJ//nusA//lysO//fecC//fumA//fadI//aaeR//nuoN//sbcC//rpsI//paaG//ssuA//lldR//xylR//bhsA//phoB//deoA//murP//cynT//nac//rrlA//nagB//yoaC//pagP//cas2//yaeQ//ubiC//cydD//ydeA//gspG//ubiX//cheW//fucP//cirA//melA//cysG//glcF//hybC//tehB//araE//sdaA//map//mdtD//phnE_1//citC//yeaE//hfq//gspK//kbl//xylB//hcr//yhiD//garP//appX//puuA//napG//focB//cysC//sohB//carB//tyrR//glgX//sbcD//sohB//aldB//ftnA//argO//ygiB//citD//dusB//nanM//yeaD//rpsF//malI//aceB//pstC//gspF//hybC//aroH//ydbD//hyfR//nuoK//garL//glrR//aer//phoP//lsrB//cytR//fixC//tsr//zntA//lsrK//fadE//rbsD//dctA//ynfK//yqjA//purM//hlyE//cadB//waaH//slt//puuB//argD//nikA//nohA//zinT//malP//rplD//rcnB//ulaD//hyfB//araD//hyfH//fhuA//puuD//rhaR//narQ//nikD//glcF//dmsB//astC//paaJ//rpmC//exbD//amiB//puuP//araD//napG//pncB//phoH//rrsE//nuoH//gatC//rseB//fiu//melA//hisJ//purE//metN//znuB//fadH//yfdX//rnlA//csgA//gdhA//hypE//ascB//caiE//lpd//yjjZ//ilvI//rrfE//ilvE//purA//ugpB//hemL//aroP//modC//hycA//alaU//rpmI//betI//deoB//yojI//sdhB//bcsB//
FhlA-Formate	yiaM//hypD//treC//efeU_2//rrsH//yiaN//purD//ydeP//crp//ygeH//xapA//nuoA//yiaN//feoA//gltV//fadB//ygiA//cadB//rseA//metK//hydN//ileT//ychO//spf//yhcH//efeU_2//glrR//hisP//dnaA//garP//
FucR-L-fuculose-1-phosphate	rrsD//abgB//dcuC//rpoH//alkB//fadA//torR//
Fur-Fe2+	ilvE//ryhB//aroF//paaA//hha//gntT//yjeF//cysI//tolC//casD//mtlD//hupB//glcE//agp//tyrA//hofC//narJ//yidQ//prfA//yiaN//hcp//cpdB//rrlD//ldtB//crp//bamA//bacA//kbaZ//garL//sdhC//rstA//hycH//hofB//metH//narI//artQ//avtA//csgA//frdC//rmf//dps//mhpB//bamE//nrdF//rhaD//carB//cas1//cyaR//uxaB//ycjF//melB//yccA//entB//uxaC//ybfN//ileU//ydhW//ssuC//bglG//nuoJ//glnD//ahpC//fhuA//csgE//aceF//safA//paaE//trg//dnaN//codB//araE//ydhU//nirB//malF//rrsD//ftnA//upp//alkB//gatD//efeU_2//feaR//rbsD//yfiP//ykgO//argF//galK//glnG//allE//prpE//aaeR//glcE//cheB//skp//mgtA//betT//dapD//ppdD//paaD//glpR//mlc//bamE//focA//hybE//yaeQ//metE//cpdB//fhuA//metJ//yjeV//nlpE//metJ//deoB//emrY//amtB//caiE//feoC//cspD//dppA//cysC//ynfG//xylG//dgcZ//rbfA//nanA//artM//arcZ//ascF//cpdB//narG//yaeQ//yecR//mscM//argC//hycA//idnO//iscR//cynT//uvrA//nrdF//purR//
Fur-Mn2+	ilvL//glpE//fadE//betA//sroD//hyfJ//cysP//fucU//upp//rplM//fucI//ilvI//gabP//nrfF//nanC//stpA//livM//caiD//fhuF//idnO//nupC//argD//glpR//gatD//cynS//argB//argT//ybfN//slt//gltB//rbsD//tdcC//purN//motB//cirA//hyaB//hcr//sbmC//purL//yiaL//aceA//motB//nuoG//moeB//mntS//gapA//argR//rutA//evgS//rrfC//dcuD//mdtD//rrfH//ynfG//ileV//ycdZ//sufD//ackA//fimC//uidA//nuoC//nrfF//entS//fixX//rbsB//puuR//ykgR//araB//nfuA//ytfE//artI//nirC//uxaC//tolC//frdA//tdcD//bdcA//focA//cyoC//ebgA//cpdB//erpA//phoU//astB//bamA//ihfA//tolC//fixB//garL//phnI//dapD//rstA//bioD//fau//fepA//psiF//phoA//frdD//chbF//iscS//frdB//hyfF//artP//abgB//torD//envZ//yegR//rpoH//garP//glpG//fepE//tnaC//micF//psiF//ilvD//argG//prpR//gatD//talA//rhaS//entB//chbR//nikC//ugpC//ilvB//purF//miaA//paaB//guaB//crr//glpD//aceE//lacA//mgtA//ompX//moaE//lpxA//acrF//ydhY//tauD//
GlcC-Acetate	ccmF//galT//grcA//argI//mhpA//glnB//ccmE//
GlcC-Glycolate	ebgA//ssrS//cas2//qseB//ubiA//zwf//malK//
GlrR-Pasp56	yeaE//
IclR-pyruvate	nirD//ulaC//ytfE//borD//
IdnR-5-ketogluconate	ebgC//nikD//paaF//galM//araA//dsdC//rseB//aspA//
IdnR-Idonate	aroF//rplP//dsdA//yecR//metB//envZ//paaK//fumA//
IlvY-2-acetolactate	bamA//pgaB//
IlvY-Alfa-acetohydroxybutirate	patZ//dadA//
IscR-[2Fe-2S]1+	hycI//mntS//trpR//ampD//codA//malF//galT//hybF//cysN//gutM//napC//soxS//envZ//cyaR//osmY//tnaC//fumA//phnL//ydeJ//tnaB//rybB//fucI//glpG//rplP//hycF//fis//ugpE//slt//ulaA//secB//tauD//oppD//fis//rprA//yggX//dsdA//mscM//ubiC//rrlG//fiu//ssrS//
LldR-L-lactate	lacI//fhuE//cpxA//
Lrp-Leucine	tam//hybA//nrdE//fhuD//galM//cas2//tyrA//sufC//deoD//ssuB//infC//hlyE//napH//ydeO//atoE//bhsA//polA//rplI//frdA//ilvG_2//nagC//mhpC//rutA//ccmD//oxyR//tdcA//citG//fnrS//ebgC//atoE//tadA//ilvN//tauB//rof//rmf//dppB//fepB//stpA//purH//cra//feoC//mglC//uidB//aroL//phnO//atoA//torR//yaiW//ndh//frdC//argD//hha//zntA//lacI//fhuB//hupB//fimC//nac//gspE//melA//phoR//phoP//znuC//ilvG_1//mhpE//avtA//csgA//abgT//arfB//metI//ccmB//creC//yibN//argH//hycG//gdhA//ihfA//trpE//sdhD//rrsC//csgB//betB//acrF//ybfN//phnC//dpiA//sdhB//priB//katE//ycjF//ydeN//cynX//nuoM//nikC//hdeD//fumA//ybiT//slyB//alkB//manY//ompT//patZ//ssuC//yhjA//csgA//glcB//
LsrR	creD//nhaR//ppiA//fucR//lysC//napF//dppF//nupC//dapD//
MalT-ADP-Maltotriose	paaC//gltT//nlpE//dmsB//mhpB//purB//cyaR//folE//phnF//fixX//
MalT-Maltotriose-ATP	hyfB//pyrC//allC//ccmA//preT//fepB//yeaR//caiE//narQ//yiaJ//
MelR-Melibiose	waaH//paaA//purR//
MetJ-S-adenosylmethionine	phoP//nupC//nrdF//feoB//nrdD//gspO//amiB//fecD//galP//phoE//mutY//nuoM//cvpA//ung//cheR//
MetR-L-homocysteine	marR//metC//rhaS//ogt//mglB//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]	gcvP//rimP//ilvN//cyoD//ompC//fepB//
MhpR-3HPP	hyfC//codB//malM//safA//puuE//artJ//
MntR-Cd2+	ulaB//gatD//hycE//nagA//dps//
ModE-MoO42-	argA//ssrS//glcE//csgG//rutF//phnO//mntH//mdtB//bcsC//deoC//metY//fadE//pflB//tdcE//yaeQ//cheB//aceB//acrF//glnD//srlR//uidA//lacY//napD//cysU//micF//uhpT//uxaC//fepD//rplD//aidB//paaA//sdhA//ybdZ//lacY//rhaD//napA//creB//dcuC//napH//tcyJ//purM//mhpE//fadE//dnaA//cydA//gyrA//
NarL-Phosphorylated	trpD//narI//ccmD//crl//fucA//malZ//caiD//fes//idnK//lsrG//sxy//fdnG//frdB//narG//pstA//fabZ//bioB//udp//allC//ychO//metI//entD//nanE//trpL//gspM//napH//osmC//atoA//purF//yoaG//lamB//dppA//hybD//fimH//iclR//hyfD//lpxD//ybfN//speB//glgX//sucD//ygaC//tcyJ//cydB//aspC//caiF//gltF//ulaC//lsrD//yciW//fliZ//hyfJ//nrdI//nlpD//idnR//ompT//mglC//hypA//sbmC//creD//lysU//ssrS//yhhY//argI//uhpT//paaH//hypC//cynS//atoE//mcaS//gatZ//abgB//rnhB//amtB//sgbH//mhpT//gspH//upp//fucR//rplT//proP//gntT//hofM//prpE//casD//rutG//frc//nupG//rrsH//ccmG//feaR//purB//cusS//yjeF//alaA//osmC//motA//oppD//garL//rbsR//rdoA//tcyJ//nikE//zraP//caiA//malX//rhaD//fumA//atoE//nanT//ulaA//katE//glcG//gcd//rrfF//tsr//spy//ilvG_1//araG//tdcG//baeR//fimC//mutY//pck//entB//
NarP-Phosphorylated	rutB//gltD//ssuA//entE//sxy//casE//sufA//gspD//nrdA//dsdC//rrfB//hisP//manY//dppF//cspE//moeB//dmsC//nuoF//hyfI//lacA//manX//cysP//ycjF//rbsK//paaH//betA//ilvG_1//epd//hfq//mgrR//hfq//argC//pstA//hyfI//rrfA//ldtB//malP//livK//yqaE//metN//rplT//ybjG//tauD//tauB//tcyJ//phnE_1//fucP//folE//nrfG//modC//
NhaR-Na+	puuE//yaiA//cheY//gspE//agp//dmsC//rutG//
NikR-Cd2+	oxyR//erpA//malF//hisJ//norR//serA//
NikR-Co2+	rpoH//nuoK//dmsD//rbsA//rhaS//fucO//
NikR-Cu2+	ydeO//uof//astD//yegR//ccmH//moaE//
NikR-Ni2+	mhpC//alaT//rutB//focB//mcaS//rrsD//
NikR-Zn2+	ascB//hisM//glnB//ccmG//priB//galS//
NrdR-ATP	paaZ//rbfA//galE//tsgA//iscA//phnG//frc//yiaL//fadH//
NrdR-Zn2+	tpx//fau//malQ//efeU_2//hycH//livF//fumA//hcp//hpt//
NrdR-dATP	gatZ//rcnB//leuE//exbB//hflX//gcvP//ydbD//hybD//gspE//
NsrR-[2Fe-2S]reduced	epd//nrdD//caiA//ppdD//ccmD//nhaR//napC//uidB//cusF//fixA//purK//uxuA//aidB//bhsA//prfA//rbsR//torR//fucU//slyB//fimD//caiA//zraS//fimC//phoP//pflB//fepE//tyrA//sgbH//ampD//puuE//hdeB//ada//gcvP//fdnI//prpE//frdA//avtA//glgS//metH//fepA//moeA//yfeW//prpR//malP//csiE//glgP//entA//fadL//cysW//lysO//iraM//tsaE//murQ//paaG//ydeN//aceK//ileU//metQ//aaeB//ugpC//tauA//dcuR//patZ//xylH//mdtA//dkgB//umpH//nfuA//mhpF//sdhA//gspE//cydD//phnE_1//
PhoB-Phosphorylated	caiD//nanS//fhuC//csiD//tsgA//dmsB//hofO//lldP//ccmG//csiE//rrfE//hyfI//fhuB//gltU//xdhC//malF//focA//pgaB//cysJ//hybA//araF//eda//flhD//envY//phnD//gspG//idnK//hyaB//tauC//hyfG//aroG//abgT//hybC//cas1//malF//yhiD//araC//speA//ilvI//glpE//rpmC//ryhB//casB//argP//hycH//hdeB//sgbU//cadC//pdeF//ydhX//adhE//lysO//prmC//artP//rutA//ansB//yjeV//mtlD//ulaB//mdtB//nikB//
PhoP-Phosphorylated	cpdB//mhpR//livJ//gntU//cysA//gutQ//cusA//hyaA//glnD//nrdH//rbsD//pgpC//cysK//sufB//yibN//rrfC//purM//rrsB//tomB//psd//hpt//hybE//malQ//puuR//hcr//yaiA//nuoC//fldA//yjjZ//hycH//pitA//rstA//ychO//bglB//hypB//tar//copA//hflX//creD//treR//gspC//casC//araD//acrB//ygbA//soxR//aspA//ygbA//psd//lldD//citG//phoB//fecR//sgbE//hisQ//malY//ompC//
PrpR-2-methylcitrate	exbB//creB//hdeB//trg//dpiB//
PurR-Guanine	dsbA//metN//moaB//zraP//amtB//ubiC//purL//pgaC//hofP//uvrA//cysA//rpsP//aceF//purB//hfq//nrdI//purC//ygiA//ydhV//ilvI//argO//nanM//yeiL//garK//ycdZ//yaiA//gdhA//trpB//hcr//cydA//qseB//ccmB//lrp//lysP//
PurR-Hypoxanthine	exuT//rpsF//puuD//rplC//manY//frdA//amn//patZ//nuoC//galK//dgcZ//malI//napH//hflK//codA//pgaB//fadA//citE//metY//alkA//araB//norW//map//astA//speC//ung//tar//ccmC//yegH//dmsB//csgA//fiu//rrlG//cynX//
QseB-Phosphorylated	lyxK//oppB//pstB//hemA//
RhaR-L-rhamnose	casA//fimI//
RhaS-L-rhamnose	nirB//rpsP//ydhU//nrdE//pck//rpsJ//
RstA-Phosphorylated	nagC//metQ//yeiW//napH//sodB//lpd//fnr//nuoC//mzrA//ampD//
SoxR-[2Fe-2S]3+ oxydized	gatD//metC//tyrP//cas1//
TorR-Phosphorylated	cadB//hisM//glpA//lpxD//nagB//acrD//cusA//sucD//paaA//yaiW//
TrpR-Tryptophan	nrdB//casE//hflC//gapA//pta//gspG//oppD//dctA//glcC//cyoA//purN//fepD//
TyrR-L-tryptophan	nrfD//ydeJ//hisQ//cysU//rnhB//lsrA//astC//azuC//manX//malM//oppC//hemL//psiE//dcuD//
TyrR-Phenylalanine	mdh//mglC//malQ//infB//fabZ//sucD//yebE//aceE//hflD//rybA//ygeA//tdcD//appX//yeiP//
TyrR-Tyrosine	rplB//hyfA//torD//metK//metK//gyrA//nrfA//acrD//malS//glnB//nanT//aceB//aldB//phnJ//
UhpA-Phosphorylated	speC//
XapR-xanthosine	gntP//rseB//
XylR-Xylose	artP//glpT//rrlC//ilvA//uxaB//ykgO//
ZntR-Cd2+	degP//
ZntR-Hg	preT//
ZntR-Zn2+	ydhX//
ZraR-Phosphorylated	metJ//hcp//bioC//
Zur-Zn2+	ugpC//phoA//lyxK//uxaA//metY//hybA//
