#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	flhC//dmsC//napG//malZ//
ChbR-Monoacetylchitobiose-6P	rbsB//hofO//oppB//ssrS//cysN//nhaR//
CpxR-Phosphorylated	aceE//rrlC//truB//aroH//garL//amn//agp//flhC//cyaA//hofM//ssuD//hyaB//yegH//nlpE//fhlA//speB//ubiC//bglB//dmsD//cynR//sbmC//mutL//aldB//cydC//pstA//ccmF//pgaC//rrsB//rrsB//pnp//entA//mtlD//fliZ//araG//ilvC//pgaC//sufD//crl//yrbL//nohA//glcF//artP//hisM//tdcF//ydhV//purN//fdnI//lysP//ppiD//nanA//mzrA//cynR//phoE//fnr//ytfE//rutD//rseC//hha//nuoL//amtB//trpB//ampE//hisJ//casD//comR//araE//torD//sgbU//nirB//
CreB-Phosphorylated	ydiU//ampD//idnD//ybdZ//fldA//ilvH//iscR//torC//betA//
CueR-Ag	cadA//malP//asr//emrY//sgbE//kbaZ//rhaS//
CueR-Cu+	lysP//idnO//metN//gntR//argG//ydeN//prpR//
CuerR-Au	araG//abgA//mtlR//metH//pstS//hdeB//norV//
CusR-Pasp	hyaE//rrfE//yfiP//mdh//rplC//yneM//fhuD//argI//cydA//mdtD//yojI//araJ//
CynR-Cyanate	glnA//aaeB//csgB//astC//
CysB-N-acetyl-L-serine	ubiG//metL//gatB//borD//rimM//ptsG//rutC//pitB//fnrS//ycjF//aroL//tdcD//lldP//alkB//prpD//ugpC//folE//appB//ssuA//lpxB//sufA//tdcF//dnaE//ubiX//gatD//rutG//ansB//cysU//ydfH//ubiG//
CysB-O-acetyl-L-serine	melB//pstA//gspI//fecD//nrfE//alaS//lysC//aceF//trg//efeU_2//evgS//citG//ygiA//araB//lacY//glpA//frdB//sxy//dmsA//paaC//metQ//hybO//bcsC//lysU//purK//waaH//cusB//ygeH//acnB//manZ//kbl//
DcuR-Phosphorylated	mtlR//lhgO//paaJ//acrB//ygaC//fucU//yfdX//lolB//yhiD//
DnaA-ATP	srlE//glcC//artQ//trmD//rhaA//gatZ//cheY//crp//uhpC//ygeH//ppdD//lysC//
DpiA-Pasp	glpX//eda//dmsC//appY//bioF//ulaD//pagP//glpB//agp//mscM//argH//
DsdC-D-serine	fimD//prs//agp//
EvgA-Phosphorylated	chbR//bglG//cysU//yiaN//phnE_2//glpD//acrD//ssuE//fur//lacY//purD//nrdF//gadC//fimH//cvpA//
FNR-[4Fe-4S]2+ reduced	uhpA//lsrR//gltV//araG//hisP//paaH//ynfH//thrS//garP//glnB//sgbH//gntU//argA//astA//gltB//aer//hypC//fimG//sufB//cirA//cyoB//cspE//tnaC//rnlB//cheB//glmY//mtlA//trpE//malS//gspJ//narQ//yebE//agaV//nirC//narH//hfq//metA//ychH//phnC//napG//glyA//ftnA//rplM//glcF//fdnI//gpsA//cheA//paaF//hofC//hybB//tdcC//uxaB//srlE//ada//dmsA//ybjG//cysP//ada//edd//fimI//uxaA//mutY//gspF//pgk//garK//hypE//fecI//araF//casA//malQ//prpD//gatC//araA//bglG//bioC//tehA//sufD//ydfN//grxC//caiE//crr//purE//tnaB//ilvE//idnR//gcvT//glnK//pgaB//gatZ//fecA//trpE//sucC//ulaF//asr//modC//dmsD//fixA//melB//ugpC//tolC//hofO//gntP//hycF//dcuR//sgbU//ebgC//iclR//alkB//cyoD//argB//amtB//lamB//mhpR//bdcA//yjiY//creC//ilvM//ygeH//cas2//fimE//sufC//narG//puuB//metE//glnA//phnN//ssuD//araE//argE//gabT//gdhA//gapA//metQ//feoB//paaH//nrdH//hmp//glnL//phoH//napF//agaW//rpmI//paaB//rprA//phoE//aroF//lysP//ygiC//puuB//argB//gcvP//pgaA//rrlE//nlpE//cysP//cysW//metI//proP//hpt//sbcC//purR//casE//cysJ//ompA//uidA//pgaD//fepD//nrfB//fumB//sodA//metE//nirB//nrdI//frdB//cusA//ycjF//rseB//glnK//ftnA//rcnA//nuoA//ybjG//napC//phoP//hycF//hybD//appC//glnA//lsrC//folA//dppC//xdhA//metC//nrdG//paaA//rcnA//gspK//argI//garR//yhjC//nrfE//ydhX//infB//paaI//ryhB//hycH//rnpB//nanS//gntP//ygiC//hdeA//fdnH//fucA//ilvM//nikC//fnrS//tnaB//hycI//glcD//lsrG//ilvG_1//gdhA//ascF//lrp//yiaN//mhpR//ilvI//pta//mdtD//rutC//mgrR//lysC//yaiA//nlpD//rhaA//mdtB//idnR//modA//nrfF//fucR//tyrR//ydfH//chbG//mgtL//hemA//gntX//evgS//rimP//narH//gntX//lsrC//hofM//ilvD//ilvD//ybjG//rplD//cydC//argC//phnF//psd//rutG//acrB//narG//crr//nadC//argO//aspA//hflX//nrdD//gatB//tonB//yqjI//ilvL//secB//ilvL//caiF//hofM//sufS//cusR//hdeA//guaA//rcnB//recF//aceF//ydeO//ilvD//glgB//preT//argI//tauC//tcyJ//hupB//sgbE//efeU_1//fabZ//trpE//alaT//yfeW//sucB//rpoE//ileU//cysJ//eda//hycA//mutY//
FhlA-Formate	paaK//chbR//dppF//fimA//yidQ//cyoD//cadB//emrK//ybdN//fadB//lldR//nanE//dgcZ//baeR//ilvD//ybiT//malK//yiaJ//codB//rdoA//fepC//narX//bhsA//gspK//thrV//hflC//zinT//mdh//betB//malT//
FucR-L-fuculose-1-phosphate	tnaC//lpxD//phnD//entS//csgG//trpD//purL//
Fur-Fe2+	mhpC//epd//ydeA//ydhY//hycE//rplI//rpoS//ftnB//phnJ//cyoD//pheS//edd//aldA//nikB//sdhD//fadL//chiP//iscU//cvpA//dppD//pdeF//cydD//livH//glcD//fucR//prpC//ydeM//guaB//xdhC//cydA//osmY//acs//fixX//nuoH//nrdF//dcuS//nuoA//yiaK//dadA//uxaA//nfuA//avtA//ssuE//nrdD//fumC//hycD//cusC//moaA//purB//ulaF//tar//abgA//appC//xapA//hycG//aer//agaA//ebgC//gspD//bioD//hyaB//fhuE//csgG//caiT//entB//fepD//fldA//crp//cusA//nuoJ//mhpC//znuB//psd//ilvG_1//focA//xylF//nanE//phnK//glcC//slyB//nagB//nikB//nuoC//sdhA//artI//tap//dcuR//hflX//srlD//guaA//gcvP//araD//pdeF//alaT//tpx//mglB//puuP//dmsA//tdh//edd//pgpC//aer//gspE//ycjF//dps//uxuA//norR//ampE//aaeR//nrfG//hyfB//bcsA//uhpC//ilvG_1//ssuD//xylH//citD//fepA//rof//metE//ugpB//deoB//hupA//bglF//idnR//pflB//prs//torA//lolB//yegR//dapD//nuoH//argT//uhpB//gltW//yqjA//gatD//torD//tdcF//fumB//
Fur-Mn2+	ompA//hisP//tsgA//rhaS//soxR//secB//gspO//mhpC//hisJ//fhuA//rhaS//ppiA//fimE//sufA//alkA//ahpF//nohA//puuC//oppD//motB//ybdN//nrdH//hyfE//dnaA//bioB//gatB//ileT//cytR//pgpC//ilvD//fecR//puuD//bhsA//qseC//sdhD//fadH//nhaR//yjjZ//entF//phnN//fdnH//pheS//garK//phnN//aroL//sgbU//melB//dapB//murQ//zwf//cyoC//lsrF//galK//citG//zntA//glnG//cysJ//prpR//cadB//rbsD//ydeM//cysU//nuoB//bioB//aldB//aceE//ygbA//evgS//lsrC//zwf//rpoH//envY//phnO//nikD//rmf//cytR//nmpC//hyfF//znuB//trpD//exuT//metB//cysH//frdD//csiD//argB//bioD//ilvC//zntA//metR//lyxK//rrfA//yccA//bacA//gatB//modC//dppA//rplV//mgrB//hyaD//rrfG//ulaA//yccA//aroM//ygeA//tyrR//tehA//ompW//dcuA//argP//mdtD//adhE//metY//nanM//ompA//hyfF//umpH//aroF//rhaA//tpx//yfbR//ubiG//yhjC//soxS//yfaE//hofO//creC//rrfG//hcr//fhlA//glpE//garK//yrbL//cheW//ldtB//prpC//nanM//gatY//envZ//purB//
GlcC-Acetate	casD//cynT//ynfF//grcA//dcuC//allD//malK//
GlcC-Glycolate	phnE_2//yhcH//ugpC//puuC//casC//fadJ//gntT//
GlrR-Pasp56	hyfB//
IclR-pyruvate	ydeA//sdhD//rrsA//appA//
IdnR-5-ketogluconate	acrF//fhuD//fes//fepG//fadJ//ybjG//fixC//ysgA//
IdnR-Idonate	metR//gspL//lysP//marR//amn//gspF//efeU_1//nuoL//
IlvY-2-acetolactate	hyaE//upp//
IlvY-Alfa-acetohydroxybutirate	aceA//ada//
IscR-[2Fe-2S]1+	ompR//nupC//yedX//sufC//argB//rnhB//fucR//hypA//nirC//citF//cspE//ydhV//livG//ycjF//aaeR//trpC//garR//fimF//yegZ//entE//ykgO//nuoL//hycH//hyfF//cysI//hyaF//bamA//rseB//purL//yjiY//speA//srlE//lpxD//yaeQ//dps//yeiP//purC//efeU_2//pgaD//aidB//ydhU//
LldR-L-lactate	sucC//sbcC//ada//
Lrp-Leucine	ansB//hyfH//ykgM//gspO//entH//yaeQ//rpsJ//lpxD//citE//ryhB//sufS//fucA//gntT//phoA//entA//glpC//hypC//fadA//gspK//rrlE//paaZ//ptsG//nuoA//hdeA//araC//osmY//cusC//citE//xylH//hycA//tnaB//malS//mcaS//rplD//glnA//rplI//ubiA//fdnG//sdhB//paaA//yiaJ//glgP//entA//cyoC//znuA//gltA//envZ//dppC//paaH//cheA//hycA//lrp//metE//rbsR//iscS//hycA//fimF//asr//nirD//gspK//iscR//yaiA//nuoA//ssuE//lpxA//fimI//appX//ileU//dnaN//metI//bamA//pck//srlA//citC//ubiX//entF//sgbH//phnK//uidA//mipA//astB//yjiY//alaT//narX//feoB//prs//mutY//proP//pagP//nikE//pdeF//zraP//lysU//ydfN//cysK//yegZ//glnD//argF//fecC//gspI//aidB//srlR//nuoM//dgcZ//ydeA//nanK//
LsrR	katG//mscM//sbmA//rpsQ//glpQ//pagP//ampD//rhaB//aceE//
MalT-ADP-Maltotriose	purM//srlA//gltD//ebgA//marA//ilvI//puuA//ompC//moeA//priB//
MalT-Maltotriose-ATP	bcsB//nrfA//nrdI//gntU//ybdZ//pstS//moaB//paaB//rrlH//cusC//
MelR-Melibiose	uxuB//fadL//mtlD//
MetJ-S-adenosylmethionine	ugpC//artJ//mhpB//dpiA//yhhY//katG//mhpT//patZ//ybiT//rbsD//hisM//rrlH//lsrG//polA//secB//
MetR-L-homocysteine	casD//nrdG//cpxR//ompA//cyoA//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]	tadA//gspM//glcG//fixB//nuoI//lldD//
MhpR-3HPP	livG//malK//mlc//ilvC//recF//phoU//
MntR-Cd2+	gcd//uhpT//mepH//pyrC//rstB//
ModE-MoO42-	lysC//pepT//tdcE//phnJ//yedX//lacZ//trpA//fimA//paaD//fumA//nirD//nrdE//ydhU//amtB//safA//tyrR//thrV//ahpF//marA//narI//pgpC//trpR//glcB//cynX//lyxK//hofM//asr//rpsI//sucC//cysG//cusA//rhaD//hybF//mepH//nrfD//tyrP//dppB//mglC//gpmA//fimF//citE//priB//rplV//yegR//ilvY//ppdD//
NarL-Phosphorylated	rrlG//umpH//uxaA//cadC//nrfD//ugpQ//grxD//phoA//ivbL//glcF//lyxK//fepE//paaG//feoB//tdcB//lpxD//hofP//appX//gatZ//adiC//aspA//mglA//glnK//phoU//cirA//erpA//marA//yiaL//astD//aldA//gatZ//rnlA//fiu//ydeO//psd//udp//rpsO//nuoA//nrfB//mdtA//creA//modB//hybB//ccmG//rrsE//moaC//hofC//carA//moaD//phnL//fis//yfiP//bioA//cusS//cra//galE//sbmC//nuoI//trpE//yegH//tsx//hypD//tadA//gutM//mhpT//folA//dsdA//phnP//bioF//rrfA//dnaA//phnN//ptsH//zwf//gntX//phnF//yjiY//argH//nuoL//gltW//tauD//gnd//araH//pepT//treR//bhsA//ssuB//deoA//fecI//phnJ//hfq//nrfB//yeaE//entB//focB//galE//envZ//nrdI//adhE//ssrS//mdtC//hofN//acnB//nikA//gltV//yegH//tap//hofP//rpsR//rrlG//cysG//dcuS//glpQ//guaA//malY//agp//cusB//fepC//aaeB//betT//citX//entE//lsrG//sdhC//folA//
NarP-Phosphorylated	glcG//rbsD//glcG//rplT//ccmH//guaA//ydeO//ilvI//hcp//argE//hlyE//yhiD//glgB//carB//aroM//bioF//napH//mhpE//caiD//araF//tfaQ//ssuD//qseC//leuE//treC//prpD//aspA//cspD//ldtC//gspJ//tdcA//nfuA//hycB//dadX//puuP//iscA//fliA//yhjC//hypE//ansB//prmC//marR//rpoH//ilvM//ilvH//acrA//cysA//ugpB//mltC//pncB//
NhaR-Na+	caiB//pck//yojI//oxc//argP//rplI//aldB//
NikR-Cd2+	alaT//efeU_1//ascF//sbmA//nrfG//cysC//
NikR-Co2+	hypA//sucB//rpmI//yneM//hybB//mcaS//
NikR-Cu2+	cheB//uraA//iscS//baeS//metI//rpsO//
NikR-Ni2+	sufD//efeU_2//fecE//manA//pgpC//citE//
NikR-Zn2+	araA//nrfC//sufC//nrdD//csiD//oppF//
NrdR-ATP	ihfA//sbcC//hisP//hyfD//srlD//nhaA//yiaK//garP//citD//
NrdR-Zn2+	artJ//hybO//ycjF//argA//metN//aroH//patZ//qseB//gspE//
NrdR-dATP	araC//upp//norV//deoA//trpD//murP//entF//tcyJ//uvrA//
NsrR-[2Fe-2S]reduced	dkgB//lolB//iscA//glgS//znuC//pitA//rpmI//lpxA//rbsD//ydeM//prfA//sodB//fucK//trpE//sbmC//rdoA//rrfF//waaH//ebgC//hycC//cyoD//rplD//feaR//tauA//dcuS//mgtA//ydiU//pitB//arcA//ackA//rplM//argI//acs//ynfG//malX//napF//lacZ//ppdD//preT//casC//adiC//tehA//sgbH//znuC//nuoJ//rpsP//fhuD//phnO//exuT//zraR//gltV//alaS//paaG//fis//guaB//rbfA//paaE//ubiX//fecD//ydiU//gltD//dadX//uxuB//fhuD//iscU//rybB//ivbL//ung//hdeD//mntP//fucU//norR//aer//
PhoB-Phosphorylated	mhpR//trpE//hycE//mutL//yciW//xylR//ulaA//nupG//sdhB//aldB//mtlR//narG//fhuE//metN//ssuD//nrdH//rplC//ryhB//ydhX//nagB//sodA//mglB//rnhB//phnI//lsrK//yrbL//aaeA//cyoA//nmpC//gabT//tyrA//rhaA//pstS//preT//rplT//acrD//ysgA//iscU//tdh//zntA//epd//rrlC//mlc//metY//paaH//purA//aidB//ccmC//mgrR//bioC//purF//fepG//tonB//efeU_1//sufB//tdcF//sbmA//modB//fis//tnaC//marB//
PhoP-Phosphorylated	tap//tsgA//fadL//hofN//appA//yojI//rpsR//oppB//norW//hisP//bioA//murQ//yrbL//yaeQ//secB//dctA//puuB//mhpT//frdD//pitA//nanT//cheW//betB//casD//fimF//pgpC//gntR//ryhB//xdhA//rdoA//paaJ//gspG//psd//cynT//iraD//nirD//glcD//amn//citF//crp//phnI//nrdH//cpxA//nuoJ//fimE//lsrR//fecR//mcaS//rpmI//phnH//iraM//ascB//tdcB//sdhA//cyaA//acrF//moaB//
PrpR-2-methylcitrate	cyoC//rplD//tsaE//bcsZ//rplS//
PurR-Guanine	livH//lacA//narX//nuoB//nrfB//uidA//bioD//dpiB//cysP//lpxB//nrdF//fucR//puuR//phnN//creB//map//dapB//phnE_2//rpsF//rplD//sdaA//oppD//gntX//rutA//chbB//fadB//oxc//truB//lsrD//motB//tsgA//nfuA//malK//murP//
PurR-Hypoxanthine	ydhW//rrsE//nuoE//hycI//allC//dpiA//rcnB//oppB//hisQ//paaI//aroL//mtlD//hybA//phoH//emrK//csgC//cysC//ulaB//ygiA//agaA//grxD//rimM//aroF//glcB//tam//hisQ//ycjX//hflK//cysC//sufC//icd//ydeP//galT//ubiA//
QseB-Phosphorylated	aroG//pgpC//hflD//cysM//
RhaR-L-rhamnose	astB//fimG//
RhaS-L-rhamnose	aceB//yhcH//chbA//yaeQ//metY//glnL//
RstA-Phosphorylated	azuC//lysP//rplW//rbsD//nhaA//entB//yeiP//malM//ampD//tdcA//
SoxR-[2Fe-2S]3+ oxydized	slt//sohB//carB//glnB//
TorR-Phosphorylated	dppA//yqaE//rrfE//yeaD//iraD//gspK//gspJ//sufS//hypE//dcuD//
TrpR-Tryptophan	znuC//ydhV//mhpC//flhD//bdcA//ccmD//gcvH//yfaE//ydfH//aceK//yeiB//argB//
TyrR-L-tryptophan	ompX//cysK//recF//lyxK//ynfH//cusF//xylF//kbl//mgtL//crl//rnhB//hemA//glpA//envZ//
TyrR-Phenylalanine	uvrA//fecB//ygiB//phoQ//ssuC//uhpA//sdhC//astC//skp//hybF//ivbL//lysP//nmpC//malE//
TyrR-Tyrosine	zraP//adiC//hyaD//fimI//aaeB//pgaD//alaT//gltF//argO//dmsB//ydhX//yibN//glnK//entA//
UhpA-Phosphorylated	hyfH//
XapR-xanthosine	araJ//gatZ//
XylR-Xylose	aroH//rrsG//gatD//moeB//dsdC//ebgA//
ZntR-Cd2+	ilvG_2//
ZntR-Hg	sucC//
ZntR-Zn2+	purE//
ZraR-Phosphorylated	ebgC//napC//fucA//
Zur-Zn2+	hflD//ydhV//gcvH//rbfA//glnA//cyoA//
