#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	rpoE//ompX//katG//creD//
ChbR-Monoacetylchitobiose-6P	slt//metE//nupG//cusR//tsgA//hfq//
CpxR-Phosphorylated	agp//argF//ytfE//murQ//efeU_1//rplB//efeU_2//dadX//appB//znuA//rdoA//ppiD//cyoB//hyfB//feoB//glnA//hypE//zinT//caiF//napH//sgbU//gntP//moaE//rpsR//torC//purR//mltC//rof//tehB//fiu//yggX//mglC//tpx//entF//mltC//caiA//melR//hha//ompW//tdcF//degP//thrV//cbl//zraP//ygiC//ulaF//rrsG//oppD//aroH//rrsA//ydhX//caiE//alaV//acrD//lamB//ldtB//mglA//spf//rplT//gspO//pck//rnpB//melB//bglF//yegH//argI//lysC//rrsD//manZ//
CreB-Phosphorylated	katE//paaF//rbsC//araH//envY//fabZ//phnN//puuC//ydhX//
CueR-Ag	feoA//pitA//ahpC//nuoF//ppiA//tsx//gspJ//
CueR-Cu+	yoaC//fixC//citF//glpT//bcsB//nlpE//alkB//
CuerR-Au	uidA//fucA//fecI//phoA//trpD//tdcA//napC//
CusR-Pasp	rpmI//murQ//argB//phnK//glyA//ihfA//tehA//fimA//caiB//lsrR//hha//cusB//
CynR-Cyanate	pheT//lpxA//trpR//evgA//
CysB-N-acetyl-L-serine	uhpC//slyB//norW//hemA//narJ//rrsG//purN//yidQ//ilvD//cysW//dsdC//yedX//hycF//fimH//gcvP//yqjA//rrfG//ldtB//nagC//frdD//phnE_2//iraM//xylH//fecD//moeB//metF//allE//hofB//puuD//yjeF//
CysB-O-acetyl-L-serine	speB//feaR//pitB//caiB//trpR//uxaB//puuA//marA//hyfC//mgtA//astE//rrlB//mgtL//yhfA//hisJ//aroG//ydeP//srlA//narH//ampD//ivbL//hybC//abgT//artQ//cydB//bcsC//yidQ//norR//hycD//malG//ynfK//
DcuR-Phosphorylated	entS//mgtL//fhlA//dppB//betB//atoD//cspE//idnO//kbaZ//
DnaA-ATP	ydhW//cyaA//chiP//dadA//gpsA//tauB//hyaB//pheM//rrlB//tdcF//hycE//tehA//
DpiA-Pasp	mgtA//yedX//folE//lsrD//malF//ansB//hybO//pstA//crp//rbfA//hybB//
DsdC-D-serine	yiaM//zraS//yoaC//
EvgA-Phosphorylated	glgS//glpG//gatA//polA//nrdF//xapA//nagE//hybO//mhpE//slyB//nuoJ//rutA//fiu//srlE//cas1//
FNR-[4Fe-4S]2+ reduced	ihfA//alkB//tonB//gadB//hybA//puuP//gnd//hmp//dnaA//aspC//glnD//araD//ubiX//galP//prpR//crl//ynfK//erpA//bamA//pgaB//gpsA//ydeO//ssuE//ysgA//astC//ndh//dppA//rstA//chbB//betA//aceB//hdeA//baeS//nikD//gnd//yccA//gspH//cysP//glcB//sgbH//rutB//rrsE//hyaD//ydfN//hyaD//purD//hflK//malM//ygiC//marA//ycjF//ulaB//dctA//abgA//tcyJ//artP//glcC//dppB//motB//livK//carA//gntR//dcuA//comR//rpsR//cysW//uvrA//acrB//ydeJ//fliA//tehB//sdhA//ihfA//edd//gltW//yjeV//zraS//alaA//pdeF//metI//galS//hyfI//frdC//abgB//putP//rhaD//zwf//nrfA//phoR//glpG//lsrF//xylH//hofN//amtB//csgA//yegH//flhD//purL//gatY//gcvT//hycH//amtB//gspM//napD//ygbA//torC//frdC//avtA//phnI//rimP//fimD//fepB//ynfH//evgA//ppiA//cstA//atoD//hybO//sroD//gltT//argT//ppiD//yebE//lysO//dmsC//abgA//lysC//fepA//cdd//znuC//marA//purE//fixC//ivbL//tyrB//ispE//prpR//rplT//rof//guaA//srlD//xylF//soxR//lacY//hcr//tnaA//sodB//phnJ//nuoG//oppC//cirA//cyoB//acnA//pstC//nuoM//cysN//hmp//galS//mtlA//prpB//malQ//mglC//gltT//fucA//rrfG//hyfI//hycD//paaZ//paaB//aer//katG//yfeW//ssrS//ccmB//glgA//chbF//fepG//ugpC//exbD//astE//ilvX//nanA//sohB//fecI//codB//tyrB//sbcC//rybB//fepB//sufB//livG//mgrB//rbsK//phoP//focB//rybA//caiA//agaA//aceA//fucU//nanE//argF//malI//ugpB//nuoB//hemA//ccmF//cspE//purF//oppF//cdd//rnpB//paaE//fes//yqaE//uhpT//ubiC//polA//ssuA//appY//nrfB//ftnA//mtlR//nupC//phnG//yhhY//rrsG//hyfF//pgaC//focB//mtlR//hupA//hyfR//uxuR//entC//pta//dppD//xseA//hdeD//sxy//lrp//leuE//phoU//ybfN//pflB//aroF//feoC//zraP//ileT//uhpA//fumA//chbB//ileU//udp//feoB//phnO//argF//kbaZ//livK//nikA//fucO//aaeB//astD//argO//lsrC//gspG//uxuR//appB//tdcF//glpB//lpxA//flhC//hcp//stpA//hycG//entS//rrsD//nuoF//tsr//cysI//cheZ//yiaM//yiaO//osmC//aldB//mutL//allD//sbmC//ulaE//csiE//araD//ugpE//ilvC//thrS//ybfN//betB//fhuD//prpR//ydhV//uvrA//dgcZ//argD//glcF//malY//exuT//
FhlA-Formate	yjjZ//aaeX//phnI//yaiA//arfB//moaB//preA//ytfE//sdhD//ompT//fdnG//aaeB//narH//araF//hycD//dppA//uhpA//hflK//glpD//xylH//rutD//cyoD//gatC//prpB//nrdH//caiC//ybjG//gapA//argC//sxy//
FucR-L-fuculose-1-phosphate	ulaC//galK//ykgO//ssrS//nhaR//pck//hflC//
Fur-Fe2+	fecC//speA//idnK//glpF//dctA//pncB//gspK//mzrA//soxS//yeiW//dmsC//metB//cueO//metB//aldA//hupA//dapD//dcuC//psiF//fucO//rbsB//chbR//modC//zinT//hybA//rybA//xylR//rybB//moeB//napB//hyfB//pgaD//manY//dcuD//nuoH//tdcF//hisJ//amiB//araJ//thrS//malT//fepG//rutD//fdhF//fecA//trpC//mtlR//agaA//ygeA//infB//yiaJ//nuoK//hypC//sdhD//prs//fixB//hflX//carB//pepT//rmf//fhuB//uxaA//cheR//fhuF//caiA//rrfF//guaB//ygeA//xylH//lolB//creD//glgA//miaA//metN//hupB//paaZ//ykgM//infC//nrfB//nikC//araG//dsbA//hofP//fimC//aroA//zinT//aroL//artP//sucD//ydbD//trmD//nikR//rbsA//tauD//moaB//tnaC//galS//livF//tsaE//rhaR//cysH//srlA//oxc//sroD//argA//fimA//ulaA//hisP//rrsB//ygeH//moaD//pnp//oppF//mhpE//artM//hybB//hycE//gnd//sodB//grxC//tehB//alkB//rplB//rpmC//rseB//hyfG//glnL//gspO//cysC//yiaK//manZ//dapB//mzrA//acrE//zraP//ykgO//uxaC//glpG//csgA//pheS//
Fur-Mn2+	rbsK//mntP//glpA//caiF//xdhA//glcA//zwf//nirD//rpsO//modA//ubiC//araJ//hyfC//yjjZ//torA//dusB//rpsF//nac//ychO//cvpA//crl//xapA//hha//gspJ//chiP//comR//csgB//entC//tap//acs//aceB//qseC//gatA//fimC//aaeX//appA//mtr//cynT//feoC//sucB//metF//znuC//rpmC//rhaS//feaR//phoB//gltA//phoH//cueO//aroA//abgB//fixB//aldB//hpt//rplW//speA//modA//cheR//nagA//gspC//osmC//cysD//fimD//fbaA//cyoC//pgaB//csiE//dcuR//hyfB//moeA//livG//fadB//ppdD//tdcG//proP//artM//yqjI//casB//aroH//hyfE//tfaQ//crr//hofN//prpE//fimF//lldR//guaB//nuoM//rrfB//xseA//rnhB//lpxB//rpsI//tdcF//cbl//allE//cysJ//trpE//ssuA//ccmD//yeiW//folA//ssuE//uxaC//dapD//appB//glnA//prpC//phnO//rpmC//garR//yfiP//exbD//bhsA//paaE//cheZ//znuB//feoC//adiC//paaD//deoA//gspC//pgpC//uxuA//nrdF//focA//yaiA//melA//gspH//ugpC//fucA//pflB//cyoC//crr//tyrB//ryhB//lsrK//aroH//fimH//lldD//
GlcC-Acetate	tar//srlA//uraA//fdnI//ahpF//narK//mhpE//
GlcC-Glycolate	amiB//argE//xylH//torR//oppF//betB//nikR//
GlrR-Pasp56	ulaF//
IclR-pyruvate	alaU//cusS//cvpA//ubiG//
IdnR-5-ketogluconate	mglB//nuoL//idnT//fecD//araA//murQ//pta//norV//
IdnR-Idonate	ilvG_2//glcF//fdnH//pgpC//araC//exbB//metR//garP//
IlvY-2-acetolactate	rhaA//bacA//
IlvY-Alfa-acetohydroxybutirate	nuoM//acs//
IscR-[2Fe-2S]1+	hycI//yciW//fimD//mtlD//waaH//uxaA//nohA//yegR//prs//mhpR//rpsS//puuR//malF//cysJ//phnG//entF//abgA//atoE//artI//ybjG//mdtA//mgrR//sbcC//ccmE//tehB//prpB//nrdD//rrfG//csgC//acrF//nanC//argC//grpE//yeiP//oppF//ychH//sgbH//flhD//caiE//oppD//fumA//
LldR-L-lactate	garK//hyfD//rimM//
Lrp-Leucine	znuA//dps//purH//trmD//moaD//narG//dapD//alkB//abgB//gltU//rof//amiB//glpG//dsdC//nanS//tonB//phoE//ssuB//ygiC//moeB//rrfH//livJ//dadX//bioD//yciW//idnD//metR//iscS//gatZ//pyrC//dps//ydhT//nikA//lsrB//rybB//agaW//acrE//fdhF//argT//puuP//fbaA//gapA//serA//cusC//moaA//nuoA//atoB//actP//pgaD//hybO//ulaF//caiF//fadI//oppF//gspH//rpsQ//ompF//rbfA//murP//cas2//actP//betA//gspC//rplB//deoB//lpd//hypA//proP//tdcF//cysJ//ubiX//artJ//pstC//rutC//mipA//zinT//uhpB//fadI//tyrR//rhaR//deoC//argE//yqjI//mltC//manY//ccmA//mutY//deoB//creC//rpsI//napF//patZ//fimH//katE//tdcF//idnT//tnaB//crr//agaA//glnA//norR//ssuC//ugpA//tar//folE//ptsI//
LsrR	ompR//hmp//ileV//dppD//actP//ampD//sufS//pheS//frc//
MalT-ADP-Maltotriose	ulaD//pheT//nrfA//rplV//cyoC//hupB//malG//fadD//hyfH//creC//
MalT-Maltotriose-ATP	phnM//gatY//tnaC//argD//glnL//ybfN//malQ//uxaA//epd//carB//
MelR-Melibiose	cvpA//marB//phnK//
MetJ-S-adenosylmethionine	ileT//proP//uhpC//ssb//livJ//gntK//katG//tyrB//dnaN//tktB//cas2//malY//rcnA//yciW//aer//
MetR-L-homocysteine	nac//sufD//hfq//cspD//rpsP//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]	fixA//trxA//speB//hybE//fhuE//hyaC//
MhpR-3HPP	glpX//dcuA//lolB//tnaC//hyaB//hupA//
MntR-Cd2+	xylH//tktB//tyrA//sucB//prpR//
ModE-MoO42-	gpsA//cydB//mhpR//gltA//gcvH//hyfF//paaG//ynfG//dnaE//yaiW//tyrA//degP//ubiA//recF//xapA//rrsG//rutG//hybE//gabP//rrfF//mglB//fimI//cyaA//paaJ//paaD//tdcG//rrlD//hyfH//arcA//dppD//rplM//ykgM//evgS//rplI//glpX//gspH//csgA//puuB//citF//uhpT//phoE//malS//ccmA//tonB//nuoA//ydeN//
NarL-Phosphorylated	manZ//phnE_2//pncB//yjjZ//fucU//fepB//artI//betA//mpl//hyfF//rhaR//rbfA//artJ//sbcD//ubiG//srlR//rpoE//moaB//hyfH//rdoA//dcuS//eda//pheT//cstA//dsdA//aroF//cynR//fldA//hofN//prpE//malG//upp//nhaA//fixA//nagA//uxuR//aspA//chbC//ynfH//ybjG//csgC//dcuC//flhD//nusA//tehB//feoC//moeA//znuC//ilvM//dusB//gspC//ilvG_2//fnr//rrfB//ynfH//mglA//infB//fixA//ilvL//fbaA//araF//malZ//paaA//grpE//cadC//gatY//bamE//sufD//hybE//ascF//xylG//gatB//tsgA//rrlD//dadX//yciW//argR//rhaA//sufB//fumC//gpsA//bcsC//sbmA//nanA//envZ//cysM//ychH//kbaZ//phnP//entD//cyaA//cpxR//ompA//rseB//soxR//glpF//nikR//rplV//pitA//yfaE//allE//mdtB//ilvM//ulaB//speA//hyfD//rplS//fnrS//gspM//glpQ//cyoD//nrdG//metI//dmsA//rpsF//tehA//nrdE//rrlB//livK//aroL//nirC//paaH//mhpE//rutA//ung//
NarP-Phosphorylated	rhaS//manA//aldA//rpsP//yiaM//yhjA//ssuD//ydhW//gspL//tauD//dppF//ccmF//ccmH//nagA//rutC//thrV//fimH//fecI//fixX//narJ//glpC//acrF//hmp//udp//prs//hycH//nhaR//feoA//allD//citD//ung//psiE//osmY//dnaE//tehB//hdeA//garP//glcE//dppF//yojI//grpE//ilvA//ubiX//amn//efeU_1//ompX//yebE//dppD//rrfG//mhpD//
NhaR-Na+	pheT//acnB//cusF//ompF//metH//bcsZ//cysA//
NikR-Cd2+	purF//cusR//nuoE//nrfF//ung//mutY//
NikR-Co2+	glcA//phnN//argH//ydeJ//nrdI//arfB//
NikR-Cu2+	thrS//alkB//metI//rseA//livG//cyoE//
NikR-Ni2+	glgX//allC//gltV//ydhY//napA//gspH//
NikR-Zn2+	nlpD//cra//aceA//nuoM//znuC//gatZ//
NrdR-ATP	araJ//lysU//yoaC//rrlG//ydhX//hemA//crl//modC//rpoS//
NrdR-Zn2+	rhaB//chbB//gutQ//gnd//hemL//betI//glgX//lysU//amn//
NrdR-dATP	cpxR//dkgB//nrfE//gatA//argI//ahpF//gabD//yqjA//waaH//
NsrR-[2Fe-2S]reduced	micF//yhcH//ygbA//tdcF//rutG//feoB//purK//hypF//copA//hypC//aceF//mhpB//hyfH//feoA//ileT//fhuD//tnaB//gpmA//aroM//dusB//ascB//nikB//cusC//pstC//thrS//puuB//aaeX//trxA//agp//prpB//hdeB//rplP//bhsA//metY//moaA//ihfA//serC//ybjG//cysN//atoB//dppA//lsrF//pitA//ydeN//cusF//qseB//nrdB//malE//rstA//phnG//araF//puuC//osmY//fhuD//cysH//nhaA//fnrS//fecA//nuoL//rpsP//nac//cheB//nac//hpt//hlyE//gutQ//fecA//ompW//nuoC//mcaS//hypE//ilvD//paaJ//
PhoB-Phosphorylated	galT//glnD//sohB//kbaZ//araA//hyfI//glgC//ptsG//rseB//tdh//uhpB//argG//gspG//pstC//micF//fepC//puuP//atoE//upp//metN//infC//xapA//envZ//cydB//hofO//truB//fumB//yeaD//miaA//nusA//sgbH//fdnI//idnD//zraS//fucI//yeiW//cysC//cspD//casB//livK//nrfC//metQ//agaW//hofM//rpsS//argP//ivbL//gabD//ndh//trpE//fdnI//cadC//hycA//paaD//trpA//carA//nikR//gspO//prmC//pgk//degP//
PhoP-Phosphorylated	malK//yiaN//hybB//citX//hpt//csgC//gspO//marB//murQ//glcB//betA//gspC//mdtC//yeiL//rmf//srlB//livK//dusB//hcp//tsx//proP//nuoN//tdh//hypD//ydfH//glcD//mdtB//hycA//ulaB//galS//dnaE//aroA//prs//arfB//dsdC//deoB//fimH//grcA//gspO//nrfC//glcD//sroD//rbsD//aceB//hisM//yfdV//ychO//serC//hdeD//hybE//gnd//chbG//trpB//rpsI//actP//ybdN//fucI//
PrpR-2-methylcitrate	garP//fumA//fadB//allE//narG//
PurR-Guanine	hybA//moaB//glyA//mipA//ubiG//tyrP//astA//pagP//yneM//nrfA//caiB//rybA//mhpR//hcp//appA//rhaD//aroM//metE//phoH//rbsA//tnaA//iscR//hypD//fepB//yaiA//rcnA//phnK//caiT//norV//purM//pheM//yegZ//mdh//phoH//
PurR-Hypoxanthine	trg//glcF//malP//gatB//nrdH//rutD//dsdA//uxuR//gutQ//dkgB//argD//narJ//gltU//gatC//rhaD//bamA//ilvG_1//uhpB//mutL//pheS//rpsF//phoE//hisP//glpK//moaB//cheB//treB//hofC//ldtC//deoC//cheA//purE//rrfB//nupC//
QseB-Phosphorylated	glnD//yjcH//sgbU//hyfD//
RhaR-L-rhamnose	ulaE//phnL//
RhaS-L-rhamnose	nuoN//psiE//gntX//fecA//ilvC//sucB//
RstA-Phosphorylated	manA//fixA//dcuS//nirD//cysM//hybG//gspM//ndh//iclR//tyrA//
SoxR-[2Fe-2S]3+ oxydized	yjiY//artQ//crl//phnF//
TorR-Phosphorylated	tomB//dsdX//argF//mglC//ilvD//ulaC//fecB//gatC//ynfH//hslJ//
TrpR-Tryptophan	rpsQ//ygiC//puuR//argG//fhuE//gatB//rnpB//feaR//deoD//nrfF//phnF//carA//
TyrR-L-tryptophan	uhpA//tdcB//hisJ//ileU//marB//rrfB//abgA//mcaS//glrR//aidB//gatY//hyaC//ydeP//fes//
TyrR-Phenylalanine	frdB//skp//lsrB//bioF//hyaD//qseC//yciW//hycF//mepH//nanS//bcsB//aceK//csgB//nrfA//
TyrR-Tyrosine	yqjH//dusB//bcsC//ompC//tdh//astA//bacA//yiaN//serA//arcZ//mhpB//ispE//cysB//gatA//
UhpA-Phosphorylated	rbsC//
XapR-xanthosine	bcsZ//hyaA//
XylR-Xylose	glpD//yegH//napC//rdoA//acnA//gatZ//
ZntR-Cd2+	ugpE//
ZntR-Hg	rimP//
ZntR-Zn2+	rrfH//
ZraR-Phosphorylated	sucC//hisP//hycA//
Zur-Zn2+	yaiW//tauC//napC//mutL//tcyJ//creD//
