#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	pncB//yeiP//metH//gspI//
ChbR-Monoacetylchitobiose-6P	idnR//evgA//idnD//modB//uxuA//gcvP//
CpxR-Phosphorylated	gatB//paaF//gatB//xylB//speB//guaB//ydeP//yhcH//rrfC//cheA//aceF//ykgO//rplV//tnaA//cas2//araB//oppB//rpsC//ilvL//dkgB//caiD//rhaT//nhaA//cusC//gspI//rutC//cusB//cdd//ybfN//rnpB//ydfH//hcr//rseA//deoA//mntH//rplV//agaV//pheT//araC//mdh//malT//ydeM//bhsA//fhlA//yeiP//csiE//fepC//phnE_2//sbcC//tdcE//hcr//pyrC//yhjA//bioA//uhpC//yqjA//mdtD//araF//psiF//glpC//ivbL//livH//aceK//amn//lysU//hycE//puuE//cpdB//csgF//
CreB-Phosphorylated	gspC//ptsH//tdh//rutB//nrfC//codB//ugpB//ygbA//feoB//
CueR-Ag	mtr//hofN//erpA//torA//lyxK//ugpB//pnp//
CueR-Cu+	sdhC//hflC//katE//feoA//paaG//ptsI//yecR//
CuerR-Au	hpt//adiC//mgrR//phoR//ileT//nrfF//fecE//
CusR-Pasp	mgrB//prmC//focB//pheT//tdcB//miaA//trpR//uxaB//sucB//hyfE//lpxB//gspJ//
CynR-Cyanate	mhpC//mhpE//cas1//gspM//
CysB-N-acetyl-L-serine	iclR//ppdD//rhaT//nuoL//rbsK//bcsZ//pdhR//hdeD//appC//ugpQ//speA//rhaR//tpx//gntT//creA//gutQ//gutQ//uraA//glgA//alaV//paaG//hofB//napD//cas2//metE//hybB//bioD//purE//sroD//gatC//
CysB-O-acetyl-L-serine	treB//cyoC//mhpD//metA//puuB//purB//lacY//gspH//artQ//fadJ//hycC//cheZ//oxc//nohA//hdeA//rrfH//casE//ydeP//nohA//rrsE//map//lsrD//fadE//tktB//cvpA//fixB//sdhA//artP//ydbD//fldA//tauB//
DcuR-Phosphorylated	ccmD//ulaE//entD//phnP//aroM//fhuA//xapA//arcZ//tehB//
DnaA-ATP	rrfF//nfuA//gcd//ompR//lysO//cyoD//ihfA//phnH//fimH//ompC//ugpE//appB//
DpiA-Pasp	tktB//feaB//lsrC//gutM//infB//nanC//fliZ//nrdG//gatC//sbmA//acs//
DsdC-D-serine	ydhY//gntX//argI//
EvgA-Phosphorylated	nrfG//hycB//gspK//ssuC//cpdB//frdC//fumA//tyrP//yeaR//glgC//dgcZ//mhpB//psiF//ychO//hydN//
FNR-[4Fe-4S]2+ reduced	paaI//tdcE//trpC//gspO//ynfG//tdh//pgaA//rutB//znuC//ccmC//safA//bioC//dmsD//gpmA//xylB//chbC//tdcF//borD//ptsG//mhpF//feaR//hcp//hyfG//oppA//chbR//napC//ilvG_2//gadC//artP//uxuR//lpxD//atoE//gatB//ileT//araJ//yqjI//cusR//gspI//yiaM//garL//fumA//ubiG//pstS//iscU//uxuA//cstA//xdhB//carB//prpC//cynT//priB//ydeN//hyaA//gatA//galT//gltA//lacI//chbG//yiaM//cheY//fimH//tap//infC//fecI//fhuE//ahpC//nrdH//uxuR//ynfF//nrfB//hycD//cirA//pgaB//serA//hflC//ompX//fepD//dgcZ//moaE//cheZ//rhaR//yeiL//cvpA//hypC//lyxK//cirA//nlpE//oxc//asr//truB//lysP//yrbL//fdhF//aaeR//puuB//glpF//ascF//polA//ychH//abgB//glpE//hypB//hyfH//hyfI//deoD//glpR//rpmC//glcE//phoB//sgbH//cdd//artI//pheS//hupA//cyoE//rbsD//mhpF//rrfH//envZ//fimF//nanT//glpQ//pta//cheZ//hisP//rbsC//tyrB//rutD//feaB//amn//mhpB//fhuB//dcuA//amtB//ppdD//cyoB//csiD//garP//flhC//fimI//sucA//nanS//talA//rrfA//ybdZ//appX//tdcD//ilvB//metF//narG//rimP//alaT//evgS//tsaE//ynfK//fimD//rrfD//uxuR//ompF//flhC//casA//yfdX//rplC//araC//yhhY//deoB//entC//metH//uhpC//fimF//rnlA//rrfD//creC//ydbD//tolC//hflC//astE//argR//secB//caiA//sbcD//sodB//yiaK//entD//cysJ//nohA//ubiA//ulaA//purB//hofP//tdcD//nrdI//alkA//degP//cynX//narG//ilvX//oppC//rutF//ydeM//ydeP//zntA//rplV//nagC//ynfK//mntS//rpsF//gutM//puuE//paaC//metB//rpsJ//csiE//cdd//ybjG//uraA//tnaA//nikC//phnP//hcr//cyoE//glcC//iscA//cysH//aaeR//tolC//rpsS//ilvL//zinT//purH//ynfH//hyfI//ysgA//nikR//tap//malI//hlyE//gcvH//erpA//psiF//copA//nuoI//dgcZ//malZ//mtlD//mglB//marB//metY//ssuB//hypF//acnA//envZ//focA//livJ//sufA//aceF//znuB//zwf//rrlD//glnB//mdtD//putP//purL//citF//glcC//ompW//gntP//hmp//bcsB//ccmC//cysM//ilvN//chbF//glpQ//bioA//yhfA//aaeB//fnr//ccmF//prmC//sufD//nrdD//grxD//erpA//motA//rybB//rutA//malM//cheW//rnlA//feoA//prs//ydeJ//hycH//cyoD//znuC//ilvN//lyxK//hemL//yggX//mhpB//cyaA//puuD//nuoN//cydD//
FhlA-Formate	argH//nanA//sucD//rutF//argH//cynT//grxC//yiaK//fimE//pdeF//dcuS//ybfN//speC//tnaC//metQ//ynfK//csgD//hflX//yhiD//carA//rplB//argP//agaV//yiaL//exuT//hyfC//ompA//speC//sufE//hofN//
FucR-L-fuculose-1-phosphate	cysK//puuA//manZ//fadH//tomB//cueO//hyaE//
Fur-Fe2+	hflX//yegZ//aceA//glyA//gspL//fhuE//rrfE//ilvM//rpsR//fucU//lldP//fixX//bglG//iscU//ychH//chbR//rseC//bamE//mtr//araJ//efeU_2//dsdX//ilvY//ilvX//nrdA//rpmI//uidB//napD//bioD//phnN//ileV//ynfG//rplC//csgA//aceK//galK//truB//ccmH//tsaE//mdtC//caiD//rnlA//yeiW//fumC//puuA//yqaE//fepE//fur//sxy//phnP//nuoB//lsrF//ygeA//dmsC//atoB//hybG//sohB//nlpE//napB//fimI//malT//fecR//ubiX//alkB//cysI//rrsE//mdh//cra//acrE//hofM//ilvB//nirD//phnL//tdcC//ppdD//rrsA//bglB//astC//tcyJ//ileT//hflD//dcuA//dmsB//gapA//napH//dmsC//hofN//garK//hypD//rplC//zwf//dcuB//dnaN//ssuE//hyfF//nrfE//ung//rrfD//tdcB//yaiA//recF//acnB//rstB//fecC//emrY//hha//ccmF//tam//zraP//pdeF//entA//trpC//pagP//rrsH//ubiG//tauD//umpH//fhuD//hisQ//pflB//murQ//slt//fdnH//hisM//ampD//rrsH//hypF//infB//gntT//argB//emrY//argP//feaB//sufC//fur//csiE//nanA//gltD//serC//phoP//
Fur-Mn2+	hofP//fadI//bcsC//nrfF//hybF//atoA//betI//modB//sroD//rof//entE//ssuB//acrF//phnG//aer//fumA//ulaE//nrdG//puuA//degP//galS//mlc//polA//gadB//fimI//pta//kbl//rplD//mtlR//hisQ//rpsQ//rplB//secB//rrsB//napC//glpC//yeiW//sohB//cpxA//sodA//lysC//cyoA//rrfB//glnL//dnaE//ynfH//rpsP//betA//grpE//hybD//rrlC//murQ//rrfE//dcuA//nupC//rdoA//nrfE//araH//deoB//yaiA//glpE//dsbA//bioC//fecI//uvrA//cusS//fau//idnK//prpC//ompW//yiaO//glpX//tyrR//hybO//sufA//miaA//lsrC//nlpD//dmsD//thrV//aspA//uidC//hycH//ccmH//tdcC//iscU//fucO//purK//phnC//aroM//abgB//narH//glnG//hfq//malF//lsrC//lsrG//chbF//ebgC//phnF//rutB//ascB//ygiC//yecR//tdcB//ysgA//sgbU//napF//gntT//torR//fur//stpA//ulaB//caiC//dadX//recF//idnO//tonB//yoaC//tsgA//rhaS//stpA//metN//deoB//yqaE//azuC//zraS//araC//lsrR//rimM//ilvB//fucA//slt//tar//ulaF//rbsD//hycF//ssuB//fadL//ulaC//
GlcC-Acetate	yeiB//rseC//dapB//phnP//sdhC//tdcA//rrfF//
GlcC-Glycolate	bioB//sucA//abgA//hyfD//nrfA//ynfH//hofC//
GlrR-Pasp56	tdcA//
IclR-pyruvate	metI//upp//mglB//csgB//
IdnR-5-ketogluconate	glpC//rpsP//eda//nrfC//adiC//gatD//astA//glpF//
IdnR-Idonate	tonB//yfbR//emrY//xapB//ftnB//sufA//yeaD//yaiA//
IlvY-2-acetolactate	gcvT//glpT//
IlvY-Alfa-acetohydroxybutirate	tehB//crr//
IscR-[2Fe-2S]1+	fimH//fadA//ansB//dapB//hofC//pgaB//ycdZ//bioC//bhsA//deoB//focA//rpsI//glpC//rhaA//tsgA//dcuC//ileV//dkgB//lrp//yojI//appB//agaA//dkgB//ubiC//icd//dadA//lsrB//pheM//nrdD//nac//tadA//focA//metB//fhuE//cadC//oxyR//glpG//ung//ychH//lacY//dapB//
LldR-L-lactate	preT//yfbR//oppA//
Lrp-Leucine	ileV//phoU//glnB//narG//pepT//rpsC//sucC//spy//hofO//cdd//argF//yqjA//tonB//rplP//cysC//alaT//nirC//cdd//hyaC//agaA//glpQ//dsdA//phnK//thrV//yojI//ada//creB//hyaE//paaA//fepC//qseC//cyoA//ilvX//pdeF//trpB//azuC//marA//ssrS//metC//dadX//fadH//infB//gatY//priB//ygeH//narQ//rnhB//hybC//garR//rrsE//yrbL//narJ//degP//appC//pgpC//cydC//norV//hypF//psiF//malT//eda//glcE//stpA//nusA//purM//aroL//fhuC//dsdX//xylH//rrlE//yeiB//pheS//fepB//dppD//artI//rhaR//actP//fabZ//hofB//aroA//rrsA//ulaB//purA//aroP//preT//mgtL//rof//paaI//artQ//ybdZ//ascB//mepH//nuoF//rrlD//ydhY//aaeX//araC//csgE//lacA//hybE//mgtL//malY//nrdF//casE//livK//rrlD//
LsrR	glpF//mhpB//norR//murQ//puuD//alaA//ubiC//aaeB//garK//
MalT-ADP-Maltotriose	sufD//alaV//ompA//ssrS//moeB//malX//sufA//gspF//pyrD//aceK//
MalT-Maltotriose-ATP	mutY//tap//frdD//ssuD//yoaC//hyaA//malM//ileT//paaC//narJ//
MelR-Melibiose	zraS//iscU//moaE//
MetJ-S-adenosylmethionine	ulaD//pgaD//zwf//chbB//csgF//yhfA//yfdE//tehB//lpxD//lhgO//aldA//hypC//bcsC//prpR//ssrS//
MetR-L-homocysteine	fixA//srlR//sohB//motA//cas2//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]	cusF//nupG//ygeA//fumA//dppC//carA//
MhpR-3HPP	mdtD//metB//gspK//nirC//mtlD//nrdD//
MntR-Cd2+	tdcG//fepG//ccmB//bcsZ//pdhR//
ModE-MoO42-	rrlG//nanC//dnaN//rpsQ//gspH//hofM//malK//ykgR//pck//frc//rimM//metC//spf//fis//crr//nuoG//ugpA//mdtD//fhuD//tdcB//cysD//lacZ//paaC//chiP//icd//fdnH//rbfA//glgA//gadC//phnH//ansB//envY//ynfH//alaT//ccmH//rbsC//tam//aceF//betT//guaB//hypF//ilvG_2//murP//chbA//astC//sxy//
NarL-Phosphorylated	yneM//ytfE//arcZ//fecA//tauC//rnpB//nanE//dkgB//malM//fhuD//crr//mhpA//fhuC//purN//glgA//csgF//secB//abgB//ydeO//preT//ydeN//yhcH//dpiA//glcA//mtlR//iraM//frc//cyoD//tdcB//hflD//paaF//ampE//allE//aceB//alaU//nrdD//ompX//yiaJ//ccmD//glmY//sbmA//napH//nrdG//phoR//sbmA//bcsC//narL//idnR//hycC//astD//tauA//trpB//rpsR//tdcG//nirD//gcvT//ydbD//copA//speB//frdA//nuoA//dgcZ//ppiA//moaC//hofB//prs//rnlA//uhpB//rutC//ompX//ackA//guaB//fliZ//phoB//nfuA//bioC//fucP//fixB//rrlD//tyrP//phoB//aer//sucB//infC//ubiC//nrfA//marB//rpsR//ydbD//fepC//allE//glyA//preA//ulaA//grpE//ileV//ptsH//fnr//hdeA//glcA//rrfD//sodA//aroM//dsdC//nikR//tdcE//phoA//hflD//mgtL//gltA//grxC//uxuB//nrdB//aaeX//atoE//yqjI//gnd//nanE//ulaE//grpE//tsaE//rbsB//nikB//crl//tam//
NarP-Phosphorylated	rrfA//idnO//rseC//gntP//yciW//glcC//yjeF//yrbL//nagE//mipA//cadB//ykgR//phoR//ydiU//trpD//metY//prpR//glnL//cheZ//nagA//nac//folE//lsrD//arcA//carB//phnJ//sucB//amtB//tauC//purC//glcC//caiF//betA//yrbL//gadC//ykgM//astD//pstB//infC//hupA//purF//cheY//uhpC//atoB//cas2//ahpC//tadA//ydeN//codA//mgtL//
NhaR-Na+	rpmC//nlpD//phoE//nusA//uxuB//mdtB//nuoA//
NikR-Cd2+	atoE//manZ//rplC//uxuR//rutF//glgX//
NikR-Co2+	agp//cynT//yhjC//aceK//bioA//araC//
NikR-Cu2+	hyfA//malG//hyfH//entC//hflD//bioF//
NikR-Ni2+	evgS//cusS//dppA//deoC//nuoF//mglA//
NikR-Zn2+	puuR//allE//fau//torA//ugpC//garL//
NrdR-ATP	bcsZ//yjcH//katE//norR//prpB//rpsI//araD//rcnA//gltU//
NrdR-Zn2+	rrlB//phnH//rpsS//hdeA//yeaR//mhpE//idnK//bioB//mepH//
NrdR-dATP	yegZ//yjeF//lacZ//malP//tdh//astA//polA//gcvP//pstS//
NsrR-[2Fe-2S]reduced	astA//rrsB//zwf//pagP//argT//fucA//ugpC//moeA//caiA//uidB//malQ//dcuC//iscU//hyfD//creB//nuoN//uidC//ydfN//oppF//rstB//glpX//yedX//borD//phoU//modB//avtA//lpxB//iscS//dpiA//ydbD//exbD//chbF//ndh//ileT//tdh//gltF//rutG//torC//nuoB//hdeB//arfB//speB//glgB//nuoB//rseA//amiB//folA//ykgR//tadA//rrfH//argT//yfbR//rrfG//xylH//soxR//entS//cydA//bamA//lysO//rrfF//iclR//pstB//galM//lsrC//pagP//idnO//nlpE//cvpA//ydeJ//malF//garL//pgaA//pstS//
PhoB-Phosphorylated	lacZ//ompW//yfaE//skp//gspL//fimF//exbD//serC//mepH//prpB//rutG//dcuS//psd//hybC//nuoK//grxD//yjiY//ompA//creB//gatY//casB//hyfD//patZ//tauD//nikC//ydhW//cusS//trxA//ydeM//mgrB//ebgA//hybC//hydN//ydhT//motA//codB//fecI//rrlE//yegR//gutM//fimC//phnK//ydhY//astB//raiA//fepA//csiD//fldA//ilvD//bamE//cas1//norR//focB//fepB//prs//fdnI//rbsB//rrsH//rstB//alaV//lpd//
PhoP-Phosphorylated	ychH//comR//mtlA//ynfF//phoU//nadC//sbmC//rhaS//adiC//yegH//gpsA//gltT//epd//ydfN//fimE//dmsA//rybB//ispE//mdtC//zraP//citX//trpC//aer//phoR//cyaR//aidB//marR//infC//nuoA//napC//cyaA//dcuR//icd//sroD//csgA//tauC//ssuE//phnD//aspA//paaZ//hpt//agaV//oppA//nrdF//ilvE//grxC//bacA//stpA//cirA//cheA//hybC//dkgB//cra//nuoA//aceA//artP//acrF//
PrpR-2-methylcitrate	pitA//focA//caiT//lsrD//focA//
PurR-Guanine	tsaE//hycG//hfq//hycD//csgB//livM//gltW//rrsH//nlpD//uhpA//rof//nlpE//alaA//frdD//cheZ//cydB//aroP//fucI//srlD//gspL//nrfA//citX//cueO//yjcH//rrsE//agaW//garR//pgaB//gapA//ynfF//uof//phoU//fucK//adiC//
PurR-Hypoxanthine	ybiT//fnrS//phoP//hofP//prpB//iscR//nrdF//dcuS//gabT//pagP//nmpC//hyaA//abgT//kbl//nanA//acrB//yojI//evgA//envY//fucK//yegH//cpxA//yfaE//pnp//tomB//cyaR//adiC//nrdH//hisM//modB//paaB//modC//fecD//ompF//
QseB-Phosphorylated	xylG//trpC//gltV//lpxA//
RhaR-L-rhamnose	gadC//purM//
RhaS-L-rhamnose	glgB//rutB//trpR//paaC//ompT//bhsA//
RstA-Phosphorylated	galM//ulaE//miaA//hisP//fucP//rpoH//rrsA//adiC//rutG//rnlA//
SoxR-[2Fe-2S]3+ oxydized	yaiA//livG//ftnB//dcuB//
TorR-Phosphorylated	ompF//rrsC//fhlA//qseB//paaJ//uvrA//tdh//envZ//sufC//glcG//
TrpR-Tryptophan	phnD//uxaC//dppF//evgS//gutM//fiu//zntA//prmC//hyfI//ppdD//allD//purL//
TyrR-L-tryptophan	nrdH//hyfD//malZ//hybC//phnE_1//rstB//glpK//grcA//fucP//trpE//tonB//torD//mzrA//rpmI//
TyrR-Phenylalanine	map//lsrG//cydD//waaH//gadC//fumB//hycB//uxuR//napD//aroG//nanT//lpd//feoA//torD//
TyrR-Tyrosine	yfdX//mdtC//casD//evgS//ychO//phoU//agp//ppiD//narH//moaC//glpQ//purH//focA//garK//
UhpA-Phosphorylated	ssuC//
XapR-xanthosine	envY//dgcZ//
XylR-Xylose	deoC//yeiP//phoA//gcvH//yeiB//phnH//
ZntR-Cd2+	tdcF//
ZntR-Hg	uxaC//
ZntR-Zn2+	cysP//
ZraR-Phosphorylated	nanC//hycG//zraS//
Zur-Zn2+	nrfA//dppC//nrfA//chiP//grpE//spf//
