#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	mhpF//raiA//yegH//rpsC//
ChbR-Monoacetylchitobiose-6P	lysC//pnp//rbsR//ugpC//napG//lpxB//
CpxR-Phosphorylated	ykgR//ompR//hycH//dctA//sufE//yaiA//icd//mhpR//ugpB//pflB//fixB//infB//glyA//atoB//ydhU//alaS//glpB//rbsK//cyoC//leuE//fixB//aroA//xapA//pagP//nanM//rrfG//pgk//fur//dppC//astE//uidB//mntP//srlB//fabZ//ompF//uraA//lsrK//mntP//prpR//asr//ulaB//rpsR//uhpT//dadX//nrdI//lsrC//yiaM//artP//marB//allE//tnaB//melB//phnL//ldtB//csgC//dmsA//mscM//napC//rpsI//entS//fbaA//crl//rmf//cysU//gdhA//metY//paaZ//puuR//purH//
CreB-Phosphorylated	artI//hisQ//mutL//paaF//pitB//metA//rutA//murP//fadH//
CueR-Ag	grpE//dcuD//rpsP//glrR//astC//yfdX//rpsS//
CueR-Cu+	cysG//cyaA//rplV//fucK//nanC//ebgA//ydfN//
CuerR-Au	mdtA//modA//malI//paaK//spy//cynS//dsdX//
CusR-Pasp	metY//gutQ//tar//hdeA//yhiD//sbcC//hypD//glcA//caiC//hdeB//yfdX//lysA//
CynR-Cyanate	citD//fixA//katE//lsrK//
CysB-N-acetyl-L-serine	ugpB//grxD//malE//feoC//sbcC//tolC//mdtB//ampD//sufS//sufB//gspH//tauD//gabP//chbF//hisQ//trpL//caiD//xylR//hslJ//cpxR//lsrR//cpxR//melA//cysP//cheA//mtlA//hemA//purR//mdtA//fimG//
CysB-O-acetyl-L-serine	hypC//gltA//mhpC//xdhC//dapD//chiP//paaZ//araE//lsrR//malE//gntK//chbF//gltA//alaA//torD//entE//ynfH//tfaQ//yfaE//hflX//ilvG_2//hofC//rrfD//livG//ssuA//rutE//ccmC//fixC//rbsA//arcZ//ynfF//
DcuR-Phosphorylated	rpmC//cysA//oxyR//ldtB//nmpC//degP//dppD//bcsC//lysO//
DnaA-ATP	ilvD//deoD//grpE//aidB//cusS//torC//nmpC//iscU//sgbU//yiaL//fnrS//fadJ//
DpiA-Pasp	pstB//preA//mtlR//mhpC//cusF//appB//aaeB//acnA//hyfA//tyrA//glcD//
DsdC-D-serine	glgP//rplS//araE//
EvgA-Phosphorylated	murP//creD//yhhY//glpC//tauB//phoH//hofO//sucB//hybF//rrsA//mhpA//lsrR//rhaS//fucK//argO//
FNR-[4Fe-4S]2+ reduced	rpsR//gspF//gltA//fecE//tauA//sucA//psd//yiaK//pagP//livM//fimA//hdeA//bcsA//mhpE//moeA//crp//pgpC//rbsR//purK//nuoK//ptsI//entF//nuoE//aaeA//paaC//sdhD//hycC//ugpE//cysD//lsrR//sufB//bcsB//rutC//betB//nrfC//fadJ//rpmI//cyaA//hycD//nuoJ//entA//bioD//glcD//pncB//prs//frdB//phnO//purA//gabD//emrY//metA//chbA//fdnH//ppiD//nanM//emrK//ydeJ//bamE//cbl//bhsA//phnK//casE//sucC//rbfA//lpxA//araD//phnG//paaJ//gntK//mhpE//tauA//pstB//xdhA//gatZ//ydhX//puuD//nikE//gcvP//hybF//citD//nrfD//narL//ssuC//aroH//mlc//fhuF//tdcD//mhpB//rrfH//dapD//tpx//soxR//ebgC//flhC//glcC//aceF//nrfE//citE//edd//fliA//hemL//allD//uidA//hemL//rplV//yfeW//glnB//allD//ilvH//metL//grpE//cdd//bdcA//ykgO//marR//glgS//marR//crp//acs//caiT//ppiA//aceB//yeaD//ubiC//moaA//qseC//ryhB//garP//cusF//nikA//mgtL//aldA//entD//gntR//malP//rutC//gspG//creD//nohA//livM//glgS//ygiA//nmpC//ybiT//fumA//ftnA//puuE//glpX//gntK//mgtA//mgrR//creA//purC//adiC//aaeB//moaE//uxaA//hycE//alkB//garL//oppA//srlE//ulaF//yiaL//zraR//ychH//glpF//pepT//gltU//pgaB//rplV//xapA//dnaE//srlE//gltD//csgE//ispE//pheT//frc//puuC//dcuB//metI//srlE//frdC//nuoN//yiaL//fimG//serA//aceF//ccmB//rstA//hdeD//ugpE//cysI//ihfA//pdeF//yjeV//purK//chbB//galP//ilvM//paaD//abgT//sufB//gspD//ydbD//hypF//purB//uidB//rhaS//dsdA//sodB//napG//nikB//kbaZ//ydeO//napA//ygaC//lpxB//ahpF//oppA//ldtB//gspL//nrdI//mntH//narX//atoA//acrB//dusB//tomB//casC//ogt//yfeW//tehA//nrdD//artQ//livJ//xdhB//trmD//metC//priB//rrsE//nagB//nirD//nikD//hyfD//phnE_2//entE//entS//fimH//phnE_1//gntP//fiu//fimC//dpiA//nirB//sdaA//cvpA//rbsB//ileV//fimC//alaS//yaeP//hisM//yegH//sucC//putP//miaA//fau//hofO//ilvI//cheY//dpiB//sucA//csgG//hflD//polA//mdtA//dcuR//aroM//ascF//acrB//ysgA//cadB//nikC//gltD//ihfA//artM//mltC//secB//betI//yecR//yiaJ//map//fecC//thrV//glnD//yeaD//csgF//astD//phoQ//rplC//katG//prpE//nanE//
FhlA-Formate	cheY//yhjC//ynfE//sdaA//hybF//rutE//ybiT//ygiB//malM//appB//nuoK//nikA//iraM//aroF//spy//dadX//ompR//nuoG//fecC//rnhB//agaV//manX//xdhC//exbB//hisP//ubiG//astC//malT//ptsG//fimC//
FucR-L-fuculose-1-phosphate	umpH//livM//gadB//dnaN//glnD//sgbH//rplM//
Fur-Fe2+	gntR//prfA//cheZ//cheY//argG//ynfE//icd//yaeQ//rplP//lacA//phnD//trpE//arcA//yfdE//nuoN//fecB//iscU//yiaJ//mscM//nagA//emrY//fepA//narX//feoA//prpB//nusA//cysB//iraM//hyaC//metN//glpX//codA//lacZ//ssuA//fabZ//cstA//udp//yegH//trpC//pck//hofM//carB//azuC//gadC//fucR//ydeJ//katG//paaB//ybiT//ssuC//ogt//ilvL//nrfE//gabD//ygaC//tyrA//artQ//gltV//fepD//rplP//mdtA//zraS//hemL//pta//galS//ygiB//ulaF//arfB//dsdA//fur//mtlD//gntP//caiT//yccA//mhpD//rpsF//yaeQ//mtlA//yfiP//lacI//yjjZ//glgC//uhpA//nagE//exbD//metJ//tdcA//sbcC//arfB//nagE//rbsC//paaJ//rplM//tehB//glgC//yqaE//hyaE//hycH//putP//yiaJ//comR//yecR//nrdI//motA//aer//trxA//pncB//nagA//ydbD//gntP//ybdZ//agaW//ompR//prpE//cusF//ccmG//rpmC//cirA//gspE//nagC//ugpE//gspE//nrdH//araC//lysC//gapA//mntH//malG//nupG//xseA//yfiP//glcB//rutC//puuE//purA//umpH//gatC//ftnB//deoA//entF//
Fur-Mn2+	exuT//xdhA//lolB//oppD//gspF//hybE//fumB//mdtC//casE//mntS//dcuA//cas1//leuE//cpdB//cusB//cyaA//purF//gyrA//kbaZ//uxuR//garR//thrV//napB//soxR//pgpC//ilvH//purM//narX//prfA//alaS//gspG//modB//hofP//rbsK//ykgM//zntA//tnaA//rpsS//ilvX//purR//lsrA//dppD//phoU//citX//narH//hybE//dctA//hflC//ilvD//trpR//ivbL//phoH//gatY//cspE//rrfA//puuR//dcuD//rpmI//hyaC//hyaE//trpA//phnM//livG//nuoC//nrdD//mhpR//chbF//phnJ//sufS//nagC//artJ//malP//fadA//aroF//purE//nrdG//astE//yoaG//narX//fimC//yfeW//malT//phnG//nrfF//fhuD//deoA//ileU//cyoC//yibN//garK//ykgM//rrfF//ldtC//rrfA//bcsB//rcnA//cadC//glnD//atoE//srlE//tolC//yeiB//fdnI//purE//nhaA//nuoK//mglA//mntP//malI//gspL//lysC//argF//entD//pheM//nagB//fimG//modC//garK//ileV//phnL//hdeD//argG//patZ//fimI//glgB//phoQ//ygaC//fepB//lsrB//rof//zraP//malQ//nanM//polA//caiF//feoA//artM//malI//flhD//ascF//
GlcC-Acetate	nanA//fur//purL//tyrA//puuE//lldR//ispE//
GlcC-Glycolate	cydA//nanT//mntS//nuoF//sucA//carB//trpL//
GlrR-Pasp56	tonB//
IclR-pyruvate	rutB//ybjG//nrdB//pgaA//
IdnR-5-ketogluconate	yneM//dsdA//ccmD//hycC//bhsA//guaB//sufB//xapA//
IdnR-Idonate	phoU//nagB//fadI//gcvP//nuoH//gntX//hflC//chbR//
IlvY-2-acetolactate	hybF//csgE//
IlvY-Alfa-acetohydroxybutirate	ugpB//dcuR//
IscR-[2Fe-2S]1+	ugpA//csgG//oppB//dsdA//melA//ldtB//rplI//rbsB//ulaB//alaA//fepA//rutD//hyaE//napG//rrsE//actP//phoA//folE//yiaL//tktB//ybdZ//phoU//ynfG//dsdC//rpmI//sbmA//lacY//cysH//rrlE//ydeP//gspH//hdeB//yegH//uidB//gntK//dppC//cvpA//thrV//pdeF//gntK//bcsB//
LldR-L-lactate	srlB//moaE//livK//
Lrp-Leucine	rrfE//ndh//slyB//prs//ppiA//allE//nrdA//ftnA//acrD//trpD//aceE//tar//hypA//xseA//treR//lsrR//cysW//agaW//rrlA//nac//nuoM//nupC//tam//sgbE//gatD//aldB//ychO//nupG//dcuA//tyrA//bioC//nanC//eda//soxR//amiB//nanE//rplS//hybD//yjeV//citC//alkA//ilvA//fimH//zntA//ybdZ//prs//rstA//actP//xdhA//aroH//tolC//hofO//rrfF//pgaA//yhcH//malK//cas2//rpsP//micF//aidB//sucB//cysC//puuA//narQ//udp//ilvM//glcG//gabT//srlA//zwf//yqjA//yiaO//srlA//moeA//araG//casC//narQ//moaC//mipA//ssuB//yjjZ//fhuC//rutD//csgF//fhuE//trpL//rrlH//acrA//melR//mglA//puuB//hybO//ftnA//casA//paaB//sbcD//yebE//hycB//galK//narK//cysJ//marR//caiA//caiC//ygaC//hybO//
LsrR	pstS//yhhY//chbA//nikR//rbsA//carB//nupG//copA//zwf//
MalT-ADP-Maltotriose	glpB//csgF//rrfD//rrlD//hofC//caiD//envZ//citC//metI//betI//
MalT-Maltotriose-ATP	csgE//leuE//ycdZ//mhpF//moaB//rrfA//glpB//azuC//phoA//phnL//
MelR-Melibiose	aer//rrfB//araG//
MetJ-S-adenosylmethionine	fadD//cynS//modC//betB//sroD//modA//nuoC//bcsB//ahpC//chbC//efeU_1//idnK//fumB//ilvD//cspE//
MetR-L-homocysteine	phnD//dctA//chbG//abgB//nrdI//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]	aspA//fimD//gltA//cysC//treR//fucA//
MhpR-3HPP	metA//nuoJ//betB//ydhV//fdnI//rof//
MntR-Cd2+	argI//gspM//rutG//marA//hycF//
ModE-MoO42-	hupB//citF//metE//bcsC//aroL//yidQ//sroD//paaJ//dnaA//yhfA//pyrC//malZ//hyfF//cdd//ilvH//fecB//ssuC//nrdI//spf//sufC//ydhV//rplD//appX//rhaB//ilvH//hisM//putP//aroP//lldD//trpA//qseB//soxR//fhuD//iraM//fimA//ftnB//prfA//abgA//hybO//gatB//rybA//gatD//nirC//atoE//malX//hycH//
NarL-Phosphorylated	cyaR//hofB//paaC//rrlH//treC//rbsD//yegR//hycI//mutL//hyaD//nmpC//malT//pstS//torA//bglF//rutF//yibN//nanT//amiB//osmY//ilvX//fadL//agaV//rrfH//bamA//paaH//oppA//mtlR//csgD//pnp//purM//glpX//rnpB//sdhB//lpxB//yjeF//cysA//aspA//grcA//trpE//napB//fdnH//nirC//mutL//phnF//gcvT//truB//nusA//aceK//hemL//sdaA//cspD//gspG//ssrS//argB//dnaN//hyaA//mhpT//dppF//malQ//malG//tsaE//appX//rmf//lpxA//yeiB//ompA//cadC//flhD//nagC//aldA//fucO//yhiD//argH//borD//astB//ulaE//xdhA//metQ//lhgO//caiC//narH//cpdB//iraD//rpsF//dppA//yfeW//betI//lldR//fliZ//puuP//fhuB//yeaR//cusA//yebE//xdhA//nuoI//sgbE//nikC//treR//ileV//metK//iscA//tdh//rpmI//gspJ//nikB//oppA//ackA//yeaR//arcA//paaB//hofP//amtB//treC//hpt//cheZ//creB//aaeR//dcuS//dpiA//ssuD//cbl//nikC//paaI//
NarP-Phosphorylated	uidC//xdhB//bamE//cynT//pgaB//rnlB//kbaZ//fucO//ileU//glpF//araA//melA//slyB//nupC//hypA//bglF//tdcE//ung//sufE//atoB//cydB//leuE//ulaE//gatB//fecR//pheS//rplM//ydhY//waaH//nlpD//narQ//skp//metR//hyaE//sucC//fadL//bioA//tolC//zraR//zwf//ydfH//hycD//argF//rpsF//lldP//artJ//gntK//ahpC//umpH//yggX//
NhaR-Na+	astE//fucU//entE//osmC//cusR//hyfB//patZ//
NikR-Cd2+	rnlB//lsrK//hyfC//acrE//trpL//lldR//
NikR-Co2+	araF//galS//rplD//cheZ//priB//tdcA//
NikR-Cu2+	frdA//feoA//livK//nrfB//nagC//fumC//
NikR-Ni2+	tpx//sohB//casC//treC//atoB//mgtA//
NikR-Zn2+	yfdV//yhjC//rbfA//yfeW//cadA//cysC//
NrdR-ATP	glpG//fadD//sufB//sbcD//ilvB//metN//fau//rbfA//tnaA//
NrdR-Zn2+	hyaB//glnL//hycA//nuoJ//nagC//rof//tktB//sodA//murP//
NrdR-dATP	cysJ//gspK//infC//rrfB//yoaG//metE//rrfG//asr//ygeA//
NsrR-[2Fe-2S]reduced	yfbR//nupC//phnF//fecD//trpD//hyfD//upp//skp//hybO//rhaR//purK//xseA//mutL//znuB//aspA//torC//appC//gspL//metC//gpsA//chiP//argR//hyfG//hpt//lrp//rimP//paaH//hdeA//ileV//pgaD//gadB//trpL//casD//rpoS//frdB//fadI//oppF//sohB//dmsB//fecR//betA//abgA//focA//cyaR//hycF//glpG//aroG//ccmF//nrdH//paaC//speB//arcZ//nagB//hemA//dapD//ogt//mhpC//ydfN//fecB//creA//ydhU//yhjC//yiaK//araE//sdhB//rrlG//ryhB//hypE//astA//rbsR//gltT//rimP//glgS//
PhoB-Phosphorylated	fucA//trxA//tnaB//gntU//tdcG//rutB//moaC//frdD//fumB//grxC//chbB//bhsA//nrfC//mhpC//fdnI//acrB//dppF//serA//hmp//hupA//hyfC//paaG//cysH//pgaD//thrS//melR//glnL//napF//hofP//osmC//hypB//citX//casE//rimP//hyfB//lsrR//hdeA//ugpB//sgbU//atoA//cydC//moaD//yfeW//tdcB//azuC//trpE//nrfD//nuoF//uraA//atoE//uxuA//fixB//pdeF//phnC//dppD//ynfF//fecR//yedX//entF//lsrB//rpoE//
PhoP-Phosphorylated	garP//ugpB//ompW//crr//miaA//casC//srlD//livJ//sufB//purR//grxC//norW//nuoI//rplI//trpA//tdcD//csgB//gspG//purL//gspE//lsrD//ilvY//aceE//srlD//hflK//puuP//gspG//lacI//gntT//hyaB//yeaR//sodB//alaS//deoA//cdd//csiE//yeaD//nanA//yaiA//phnN//xylB//nanM//sufC//fes//gpmA//yiaO//paaJ//gpsA//yfiP//bhsA//nirB//ftnB//dsdX//ilvC//gspD//rrsB//phoQ//
PrpR-2-methylcitrate	yaiW//cysB//dppD//gdhA//nirD//
PurR-Guanine	fumA//frdD//citF//hflK//pflB//ileT//modB//hyaB//nrfC//prfA//dppB//lysO//nlpE//aaeA//gadB//bcsZ//marR//sufE//uxuR//phoQ//lsrA//tomB//ugpA//creD//phnK//cheA//baeS//moaC//iclR//fdnH//rrlE//ccmC//alaT//pyrD//
PurR-Hypoxanthine	yjcH//fadH//polA//talA//lrp//glgS//purN//fadB//fecA//abgT//purR//marR//sohB//purC//rrsE//xylF//glyA//eda//trpD//gutM//trpC//ycjX//prpB//rseC//feoB//frdC//ydhY//polA//bamA//malF//fepD//ygbA//tsr//nlpE//
QseB-Phosphorylated	napA//cpdB//tyrP//nlpE//
RhaR-L-rhamnose	hycD//hybO//
RhaS-L-rhamnose	uhpB//phnL//uof//mcaS//putP//rrlH//
RstA-Phosphorylated	rrsE//rybB//bioF//yebE//hyfG//ugpC//hypE//dcuS//rutF//sufB//
SoxR-[2Fe-2S]3+ oxydized	ydeA//rnlA//mzrA//casA//
TorR-Phosphorylated	sufB//ssuC//moeB//yjjZ//miaA//hypD//gspL//ihfA//fhuE//degP//
TrpR-Tryptophan	galK//fimE//prpB//hyaD//hslJ//ugpB//aldA//fau//exbD//srlB//hyfC//idnO//
TyrR-L-tryptophan	bcsZ//tsr//ybiT//trpB//rpoS//paaJ//rplS//rrlD//epd//norW//glpT//serA//ftnB//uidB//
TyrR-Phenylalanine	cysU//cydB//galM//metE//rrlA//fepD//hycG//ccmF//map//cusR//ccmB//tap//yeaR//patZ//
TyrR-Tyrosine	pnp//narQ//ppiD//malF//mpl//fecD//nanC//nuoA//rybB//secB//gatB//nrfF//moaD//ascF//
UhpA-Phosphorylated	phnI//
XapR-xanthosine	caiA//iraD//
XylR-Xylose	glgA//fecR//efeU_1//mhpA//fldA//tdcG//
ZntR-Cd2+	yedX//
ZntR-Hg	hycD//
ZntR-Zn2+	phnM//
ZraR-Phosphorylated	argP//glpC//xylR//
Zur-Zn2+	tehA//rbfA//rimP//mdtC//bacA//argG//
