#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	sdhB//pgaB//nagB//nirC//
FNR-[4Fe-4S]2+ reduced	glpD//envZ//hofP//torA//uidB//tauD//lacI//yjcH//gspC//ysgA//hyfA//rpmI//galT//ssuA//argB//phnF//ssrS//dppB//ccmB//dmsD//ptsG//ygeH//nac//xapB//phnK//rplT//hupB//cspD//malQ//malE//yhjC//cyoD//csgF//yjiY//mtr//gspE//gadB//fepE//tomB//aroH//sodA//moeA//mipA//hyaE//malS//efeU_1//fliA//alaU//rhaT//serA//treC//ptsI//trpD//ydfH//hemA//phnE_1//katE//citG//deoD//dsdC//ampE//hyfH//nikE//psd//hypF//glrR//sxy//ada//ybdZ//dnaE//rcnA//nanM//flhD//napF//allE//copA//adiC//xylB//malG//nfuA//yaiW//fucR//thrS//aaeR//rplB//codA//nuoB//narX//fimF//dpiB//hycA//alaA//sbmA//ilvX//ilvH//fucA//ssrS//znuC//ilvL//hyaA//nagC//puuE//cytR//hypB//yidQ//tnaA//xylH//aroP//kbaZ//fadB//idnK//mzrA//tsgA//purD//hisM//phnF//pheM//fadH//bioF//dcuD//melB//nlpD//ssrS//phnP//dppF//infC//pheT//aaeX//hofO//prpE//phnC//cyaA//tauB//cynX//qseB//dadX//ygiB//glgC//gspG//malG//caiB//acnA//hyfA//fucK//cynT//lysA//torD//hyaB//aldA//cusC//oppC//ung//fepG//cusF//ydeA//feoA//nrfG//yjjZ//moaD//bglB//ydbD//efeU_2//iraD//alkA//ompT//ykgR//rutA//srlB//paaI//malM//nrdG//fucA//hupA//cynT//nuoK//nanC//hyaA//bcsA//ubiX//nusA//metF//oxc//ygiA//fnrS//rrfA//uxuR//cstA//nanC//entE//cadA//entC//tdcB//ilvG_1//puuE//frdD//tnaA//ccmG//nanE//prs//alkA//codB//emrY//cysH//dcuB//rnlA//lamB//focA//ompX//betI//fecE//ulaA//lldD//atoD//ccmC//melB//marB//bcsA//rutC//rmf//ptsI//pdhR//rutA//ugpA//nanT//ssuE//hybE//fimF//ydeO//tauB//rrfA//mgtA//fimE//rnlA//malP//metY//nuoL//paaZ//acrE//phoE//dcuR//aroF//srlE//zwf//garL//uof//rrsH//hybD//torR//yjiY//bglG//lsrG//pdeF//yfdV//csgG//pheM//narH//livJ//ydiU//fucI//ileU//cheW//dppF//yrbL//ugpB//cytR//hflX//dpiB//ygiA//prpD//hybO//yaiA//ilvH//xapA//ebgA//glpE//hybF//sbmC//cydB//norV//rpsI//nuoE//purK//betI//purC//oppB//citC//gspG//fimH//actP//atoB//ulaB//phnJ//infC//rrfB//gpsA//cysC//dpiA//ilvM//hemL//gutM//gatD//moaE//rrlD//hycA//priB//
FhlA-Formate	ydhV//pheM//napG//hypF//abgA//glgX//rhaS//bioC//dmsA//zraR//serA//hycE//cusC//nirC//malF//cydC//iclR//hybB//gatZ//agaW//ynfK//moaB//rplB//deoA//sgbH//puuE//ybiT//proP//gltV//rutE//
FucR-L-fuculose-1-phosphate	hofB//metY//fhuF//mglA//phoH//trmD//srlR//
Fur-Fe2+	lldD//cheR//hflK//lpd//yfdX//ssuA//narQ//rrsB//ppiD//yedX//dsdC//hybA//argP//cas2//phoB//nagB//nrdD//glpA//cyoA//waaH//allC//purE//agaA//cysM//bamA//yhjC//exuT//treB//paaH//gspK//ackA//ebgA//prmC//yeiL//cusC//sufC//rrlE//glnD//lyxK//pstC//sdaA//malK//fimG//uhpC//phnF//yiaN//mhpC//pgk//emrK//phnF//fepD//lsrB//gatA//napD//exbD//cheY//agp//iraD//mhpT//sbmA//pdeF//yeiB//gyrA//argT//cra//ynfE//nirB//rpmI//ppiA//feaB//fiu//alaU//flhC//sdhB//guaA//yhjA//malZ//xylA//nrfA//hyfG//hupA//malP//sxy//nohA//yqjH//narJ//rrfF//xylH//sdhC//nrdF//fhuF//cpdB//nhaR//gspI//tfaQ//iscU//acrE//ubiA//fadD//nrdB//fadI//mntP//zntA//creC//marA//gatD//fecA//fimG//dgcZ//preA//cusS//metK//gltW//gcvH//rutC//betT//phnO//ydhU//sroD//acrB//nanE//garR//tam//entE//pta//rpoH//ydfN//entC//hcr//yebE//rrlE//cynX//manY//bamA//lyxK//fabZ//astA//appA//cydB//ilvH//
Fur-Mn2+	cyoA//uvrA//norV//ydeP//gspD//folA//ilvN//ubiX//tsr//cvpA//ugpE//astB//hfq//recF//envY//nrdE//galS//icd//hcr//ygbA//chbC//evgA//xylF//malX//lysA//melB//yoaG//aer//tdcG//nrfG//nusA//fiu//ispE//abgT//dpiA//uxaC//arfB//rpsJ//miaA//uxaB//glnD//yhjC//pyrC//metN//gltV//phnC//rbfA//pta//hyfE//yciW//tsaE//tsx//ygiA//yeiW//astA//glnG//xapA//nhaA//glcB//gadB//ompC//gspD//recF//mhpT//azuC//gltA//amn//mutY//yegR//metC//argB//mhpF//sodA//cheW//rutA//fis//phnP//erpA//ileT//hisJ//fixA//prmC//psiE//fnrS//phoB//mhpB//lsrB//pgaB//fimD//tdcE//nagC//sufC//metB//fis//gatD//nagC//bglG//folA//upp//uidC//sdhA//rplW//katG//tdcG//envZ//betB//rutA//hycA//gltV//dmsD//fadJ//dnaA//ahpF//csgE//hybB//fdnI//ilvB//hybE//aldA//uhpB//hyaD//tyrP//pgaC//trpL//ryhB//exuT//xseA//lsrG//bcsA//citD//soxR//bglB//livG//pheM//crl//sufS//deoC//comR//rbsK//hybO//
GlcC-Acetate	bacA//rpoS//rstB//proP//glpR//sufA//erpA//
GlcC-Glycolate	glmY//fecA//modC//melR//glgS//yiaK//yhjC//
GlrR-Pasp56	ybjG//
IclR-pyruvate	moaD//cas1//prpD//focB//
IdnR-5-ketogluconate	ascF//galS//chbR//ydhY//moeB//hypB//galT//rbsC//
IdnR-Idonate	sbcD//torD//motA//gcd//ndh//ytfE//gadC//entD//
IlvY-2-acetolactate	gltW//bhsA//
IlvY-Alfa-acetohydroxybutirate	melB//cusA//
IscR-[2Fe-2S]1+	fadA//aroM//emrY//puuP//oppA//yjcH//efeU_2//raiA//fdnH//aspA//yoaC//nrfC//ascF//sgbE//mgtL//iscU//treB//torR//lsrB//bglG//aldB//ynfG//rybB//gutM//lsrD//betA//aceA//arcZ//yfdE//icd//bcsC//csiD//purL//glmY//sucA//phoE//lolB//aroM//ccmF//nrdG//nanS//
LldR-L-lactate	carB//livH//purD//
Lrp-Leucine	trpB//miaA//marA//nrfC//dcuA//metC//hofP//gltU//glgC//napB//iscR//yjeF//rhaB//ugpC//atoA//gltD//recF//argR//ppdD//ilvI//mhpB//cyoD//gltA//fdnG//rplW//bioA//nrfG//glgX//paaJ//ilvG_1//rrfF//fimG//rhaS//gltT//pitA//caiB//hofN//zraP//bioC//phnD//mutY//napH//gspO//glpA//dadX//narK//safA//safA//rrsE//lrp//hyfA//nuoB//yibN//manA//rutC//recF//hycG//lysO//phnI//argA//purE//ompR//lsrG//rhaB//hlyE//dnaA//narH//ydhY//oppD//hyfD//mgtL//yeiL//gatB//nrdF//galP//fucA//napF//tyrB//recF//fis//ppdD//fau//yiaJ//metB//rcnA//ryhB//rpsS//lacI//preA//aaeA//cpdB//nlpD//ptsH//alaA//ykgO//sucB//ada//metH//fepD//caiT//caiT//hupB//nuoJ//nuoK//hofP//guaA//
LsrR	cydD//yjcH//puuR//rrfF//spy//nagA//uxaA//lolB//umpH//
MalT-ADP-Maltotriose	grpE//ampD//idnO//gabD//ssuA//nuoC//fhuE//murP//puuD//mdtB//
MalT-Maltotriose-ATP	lldR//recF//malQ//sdhA//garP//lrp//phnD//araH//entC//fhlA//
MelR-Melibiose	thrV//glgS//tyrA//
MetJ-S-adenosylmethionine	fadL//srlE//fecA//phnE_1//yfdV//modA//prpC//emrY//nirD//gspK//paaC//idnK//prpD//uxaC//phnG//
MetR-L-homocysteine	modC//rrlB//aceB//nikA//purA//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]	napH//malT//araJ//mgrR//cysM//eda//
MhpR-3HPP	dppD//entB//ugpC//crp//rrfE//nac//
MntR-Cd2+	pta//rmf//gspI//ptsI//ilvG_2//
ModE-MoO42-	rrfA//argH//ugpB//uhpT//chbF//yiaM//cysB//dcuA//lsrC//hydN//rpoS//norR//ompX//cheA//miaA//fdnI//uxuR//hycI//tam//mgrR//ykgM//ackA//cusR//hycB//nirD//yjcH//rpsC//paaK//trpR//rrsA//nrfF//agaA//caiB//marB//cysH//fdnH//tnaC//fdnG//nanA//rrsC//astC//dmsC//ynfF//frdC//casA//xseA//
NarL-Phosphorylated	prpD//hisJ//yoaG//rrlH//tauB//rbsA//fadA//sxy//pstA//galT//glpA//fau//ccmG//motA//nusA//fimC//glpC//mepH//ppiD//ygbA//rplP//ilvE//znuC//agaA//rcnB//gpmA//dusB//aroF//tdcD//purR//norW//hisJ//nanC//ykgM//leuE//iraD//lacI//ileV//fadI//frdC//nikA//ulaB//mglB//malT//glpK//ybdN//xdhC//mpl//malS//trpL//ccmD//cysG//hycG//feoB//fdnH//speA//cirA//fdhF//phnD//ppdD//yjcH//gntP//prpE//rrsC//tyrA//iscA//guaB//fimC//rnhB//argB//astE//lacZ//entS//evgA//malS//entD//pheM//rbsA//glcB//ybfN//ompT//yeiW//puuA//ygiA//dppB//dppF//hyaE//mcaS//manX//ydeA//astE//soxR//fhuD//tehA//lpxB//idnR//mtlR//rutD//pgpC//aer//nrdA//ada//ldtC//rrsD//rrfG//sdaA//modA//ilvC//rybA//tyrP//entD//rpsJ//ydeM//comR//comR//nagA//hycF//cpxA//yebE//tauB//speA//bioF//ssb//tdcG//ssuE//
NarP-Phosphorylated	murP//ompC//cspE//sufS//aer//zntA//ilvC//artQ//ldtC//erpA//cbl//csgE//nikB//aaeR//nagC//purC//phnM//prpB//tolC//soxR//cynS//acrD//fadI//entF//nirC//mgtA//ssrS//amiB//metY//mntP//uxaA//hyaE//nanT//polA//iscR//frdC//dcuB//narH//hisP//efeU_1//paaG//xapB//ssuC//purR//ilvX//paaB//hycC//cynR//yojI//puuA//
NhaR-Na+	guaB//yqaE//gatZ//narQ//nuoF//nuoK//hyfH//
NikR-Cd2+	gntU//nrdI//pgaB//rplP//livJ//pgaC//
NikR-Co2+	nrfA//trpE//mdtD//icd//arcA//appY//
NikR-Cu2+	bcsZ//fadI//hflD//moeA//nikC//fumC//
NikR-Ni2+	bglB//lpd//purF//yeaR//purE//ydhY//
NikR-Zn2+	napG//ybdN//ssuD//gabP//nrdB//glnL//
NrdR-ATP	glgB//aceK//hybD//lpxD//hflC//nuoI//ftnA//ssuE//ydhX//
NrdR-Zn2+	rpsP//ssuD//bioF//phoQ//iclR//fdnH//fur//mdtA//nmpC//
NrdR-dATP	glnG//gltW//norW//fecI//ydhT//ybiT//yegH//ycjF//hha//
NsrR-[2Fe-2S]reduced	gspF//ynfF//trpC//cdd//chbG//yneM//ygeA//hisJ//glpK//comR//feaR//phnO//napD//marA//manX//cynT//chbR//rnlA//infC//ilvC//efeU_2//livH//paaC//sucA//manA//chbC//dppB//uvrA//puuE//envY//cynS//speA//modA//pstC//rrfF//uxuA//hyfH//pyrD//skp//chbC//allE//osmY//mdtC//sucB//cusA//mglB//dsdX//phoP//gntX//cheZ//hybE//hflC//ptsH//trpA//rof//zraS//tsgA//iraD//nanS//rplT//pta//glpD//rbsK//feoA//tauC//argR//feoA//dcuR//rrfG//oxyR//metL//idnO//uraA//
PhoB-Phosphorylated	ppdD//ydhU//ilvG_1//yhjC//gabD//gltT//phnG//ispE//hofC//aaeB//napC//csgG//osmC//cysU//yeiW//katE//rbsB//srlD//nirC//yiaN//prpC//adiC//ydeN//hflK//fepD//yjjZ//yeiB//creD//araJ//trpA//folE//aceE//caiF//mtlD//hycG//gatZ//hyfH//ftnA//ccmE//znuA//astA//iraM//hybA//napC//mglA//ydhW//purM//nanS//yeaD//ackA//hybC//dmsA//caiE//fhuC//rutA//nikC//idnK//gltU//metR//ppdD//cas1//
PhoP-Phosphorylated	ompF//rrsC//bioA//bcsC//hofC//iscU//ubiG//nrdD//lhgO//ansB//treC//ybdN//trpL//paaK//ygeH//ilvI//casD//nuoI//grxD//phnG//hybF//gspO//srlA//proP//manX//tauB//metF//rhaB//ilvG_1//betI//aceF//allE//ygiC//mpl//tyrP//bioC//paaA//hofP//sroD//rrlH//zraS//yecR//mtlD//rrfE//nagB//aroF//caiA//caiB//map//phnK//gntP//hybA//hybG//glpQ//cynT//cysB//glrR//
PrpR-2-methylcitrate	katE//prpR//hofO//nikD//rrsC//
PurR-Guanine	ulaD//manX//arfB//prpB//exbD//csgC//iraD//hycG//mhpC//alaU//ugpB//srlD//srlA//oxyR//lpxD//cysG//hycG//nuoI//zraP//hyaB//phnJ//citE//mdtB//tsgA//nrdF//yhjC//tnaC//epd//fimC//chbC//rplC//glpE//artJ//atoE//
PurR-Hypoxanthine	bioC//oppD//rrsB//zraP//nrdA//ilvC//frdA//hyaD//bamE//nanS//gspL//cas2//xylF//metN//cysH//ygbA//sbmC//ilvH//iraM//cheZ//acrD//iscA//glpR//tdh//znuB//sgbH//dsbA//betT//ugpC//fepD//fis//gutQ//aroL//glnK//
QseB-Phosphorylated	tnaC//paaF//tdcB//gltU//
RhaR-L-rhamnose	lpxA//paaK//
RhaS-L-rhamnose	pnp//ychH//fecD//pstA//ugpA//nrdB//
RstA-Phosphorylated	sufB//yjjZ//cheZ//manA//fixC//creB//csiD//ahpF//manZ//acrA//
SoxR-[2Fe-2S]3+ oxydized	katG//mgrB//hyfR//betA//
TorR-Phosphorylated	yjiY//dppB//yggX//moaC//srlA//cheR//paaI//gutQ//metL//nrdG//
TrpR-Tryptophan	yhhY//phnP//iscA//glnA//cheY//garP//baeS//cyoD//tadA//speA//narL//idnO//
TyrR-L-tryptophan	dadX//metE//tar//sucA//hofP//hofN//lolB//mglB//uidA//lsrK//metY//fecB//murP//paaA//
TyrR-Phenylalanine	pgaD//mdtC//ydhT//nuoC//caiF//tdcE//ilvD//mntH//tar//motA//entC//ubiA//ydeM//sufA//
TyrR-Tyrosine	ykgO//lldR//rplD//yqjA//rrsH//envZ//csgD//rof//gcvT//sucA//nrdG//fur//sbcD//phnE_2//
UhpA-Phosphorylated	kbl//
XapR-xanthosine	yfaE//rhaB//
XylR-Xylose	phnM//appA//rrlA//rutG//gltV//hlyE//
ZntR-Cd2+	recF//
ZntR-Hg	rdoA//
ZntR-Zn2+	tyrA//
ZraR-Phosphorylated	ydhX//acrA//betB//
Zur-Zn2+	tsaE//bcsA//ygiB//rrfB//ssuA//yjcH//
