#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	eda//hpt//idnD//ynfE//
ChbR-Monoacetylchitobiose-6P	hdeA//mglC//yqjH//tauB//micF//cynX//
CpxR-Phosphorylated	malZ//cstA//napB//rrsH//xapB//glcC//lldP//cyoE//murP//adiC//cyoE//cheA//araF//hdeB//puuC//ppdD//aceK//ptsH//livK//motA//zraR//bglB//uxuB//allD//mltC//ftnB//garL//xylR//pstB//ompR//cheY//hyfR//nrfB//hydN//deoA//tauA//ynfH//betB//frdB//ompT//araE//priB//gntU//ileV//glcD//gcvH//treB//srlA//cirA//deoD//mhpB//zinT//tauD//hpt//citD//ahpF//csgD//cysJ//pepT//argI//bcsZ//uidA//tdcA//nfuA//gutQ//yfdE//phnG//cpdB//yhcH//
CreB-Phosphorylated	betI//moaC//murP//hyfH//ydhW//fes//hpt//nrfD//fecE//
CueR-Ag	hisM//hycI//nmpC//gltB//yecR//ybiT//nrfA//
CueR-Cu+	nuoF//uxaC//tyrR//galK//napB//ppdD//nrfB//
CuerR-Au	lyxK//glcC//rplM//gntX//polA//udp//gyrA//
CusR-Pasp	galS//metL//fadE//gcvH//uidA//appY//yiaL//focB//hycE//ilvN//yhhY//pstC//
CynR-Cyanate	dppF//torR//alaA//cheB//
CysB-N-acetyl-L-serine	aceF//frc//lacA//emrK//ysgA//bioD//mutY//gabT//uxaB//lacI//dpiA//citC//azuC//cysH//rrsG//ispE//agaA//mcaS//fhuB//ascF//araH//caiT//envZ//lolB//iscA//garR//trg//gspM//gntP//alaS//
CysB-O-acetyl-L-serine	ilvL//sxy//gntX//oxc//creD//fdnG//lpd//mglB//cspD//uidB//pflB//rplD//fepG//qseC//araF//cysI//argR//betT//artM//gpsA//rhaS//galP//soxR//hydN//zraS//gltU//moaA//fumA//dcuD//yecR//tdcD//
DcuR-Phosphorylated	rpmC//actP//talA//cyoA//ascB//artJ//glrR//motA//rnhB//
DnaA-ATP	hypB//yeaE//rrfA//osmY//pta//uxaA//rrfB//dnaE//stpA//citG//gspO//metH//
DpiA-Pasp	yfdE//mpl//hisJ//lldR//sodB//csgG//ugpC//ccmF//rcnB//glnK//narJ//
DsdC-D-serine	glgP//betI//nrdD//
EvgA-Phosphorylated	rseB//gcvP//tdcA//csgC//cysD//gltA//argH//trpL//hofP//uidA//carB//gntT//nuoC//mutY//yfaE//
FNR-[4Fe-4S]2+ reduced	melR//fumB//dcuS//ulaA//casA//mgtA//sodA//osmC//treB//argR//fepG//rrlE//fecD//citD//rybA//znuC//hyfR//bamA//adiC//hycG//ulaC//alaS//ldtC//idnO//glnG//phoE//spy//hupB//cynT//arcA//rybA//yaiA//mltC//cysW//rplV//ydhW//cysM//rhaS//ogt//mdtB//cysU//moaD//marR//srlD//alaU//nuoG//marB//ydhT//uidA//appY//mtlD//mdh//hybE//argG//glgP//cysC//dpiA//purL//ydbD//fis//feoC//glpA//rhaR//iraM//mhpA//trpD//sufS//psiF//pdeF//feaB//rrlC//hyaD//yecR//araC//ogt//nuoG//yeaD//lsrA//entA//rrfA//livF//ydfN//ahpF//lpxD//phoR//astE//appA//galM//mhpA//dmsC//edd//argP//gadB//ycdZ//appB//nrfG//rpsC//phoR//ynfF//garK//fepD//hpt//nuoA//ilvG_1//ileU//znuA//katE//metJ//abgA//hybD//cas1//rplS//purF//lysO//galP//ydeA//lrp//pflB//nrdE//ygiB//glcF//cyoC//chbA//puuB//slyB//lhgO//moaB//araF//araG//ulaF//paaF//icd//allD//ptsG//aldA//lsrA//rimP//yegH//entD//amtB//ebgA//glpA//betA//hdeB//citX//sufD//rrlB//sbmC//hyfR//nagA//csgC//phnN//phnE_2//ung//lysU//nrfB//sufA//prpR//fdnG//trmD//aroP//nikE//hyfJ//guaA//dadA//rimP//trpL//ygeA//lsrG//speA//gdhA//puuC//ssuD//ydeM//yaiA//gatB//ubiC//gspH//xylA//tsgA//zntA//dsdA//spf//ihfA//osmY//phoB//yhjA//cspE//slt//ebgA//ulaA//rrsA//ychH//ykgR//yciW//baeR//metF//purA//micF//cysN//mtlA//ascB//focA//rrsD//rseA//rplP//yaiW//gspJ//astE//glpR//glyA//ssuD//pgaD//cydB//dnaN//purC//atoA//gcvP//rseC//rbsD//nadC//modC//aldA//ahpC//bioB//hfq//lsrA//aceE//purA//phnN//pgaC//ompR//exbD//hyfD//rbfA//pstC//aldA//cynR//rrfA//ugpC//ugpC//motB//ugpB//rbsR//fliA//hybD//metK//tonB//nrfF//ccmC//hyaB//entS//sodB//gatC//ykgO//casD//csiE//nuoB//hupA//hemA//lrp//ispE//gcd//tdcB//aceE//ygiB//nrdH//rpoH//glgX//sgbE//argG//sodA//cysD//ispE//hofN//rplS//rrsE//araJ//livK//sucB//spf//copA//argI//ssuB//lldR//cirA//mgtA//adiC//casD//iscU//glcE//znuB//gltF//zraS//preT//grxD//entD//cheB//aceK//aceK//yggX//nikC//glpA//paaI//yegR//
FhlA-Formate	hyaB//tnaC//ccmF//dsdA//rybA//speC//narG//ptsG//tam//pheM//uidB//psiF//casD//eda//glcG//sbcC//hyfA//ompF//hyfF//glpR//dnaE//glpB//mgrR//paaE//arfB//oxc//ydhU//cytR//tnaA//ybiT//
FucR-L-fuculose-1-phosphate	nirD//modC//ygaC//nirC//xylA//sucA//entA//
Fur-Fe2+	napD//hpt//pheM//katE//rrfC//lysP//yaeQ//ygeH//rdoA//gspL//aaeB//dppF//ilvN//hyaB//acrA//fadE//abgT//ycjX//feoA//sodB//malI//rrfA//rrsA//yedX//fadJ//yccA//yfdX//nuoM//ydfH//nrfG//rbsK//speA//rpsC//cysB//citF//ompW//lacZ//araH//tyrR//rrfC//prmC//lolB//pyrC//phnK//galT//recF//ilvG_2//araG//oppD//metF//cadA//secB//frdD//caiC//tdcB//dapD//gcvT//hofC//fadA//caiB//ykgO//iclR//uidC//ydhW//nanK//casC//stpA//sdhB//srlE//ynfK//sufB//tcyJ//ydeP//yegR//dsdC//bglF//infB//codB//rutG//ihfA//gatC//rbsA//nrdG//fucI//serA//paaC//cstA//argP//psiE//erpA//phoU//nhaA//atoB//yhiD//argI//hofM//metN//phnF//srlE//udp//ansB//metQ//uxaB//fixC//oppC//frdC//ilvC//glnA//malE//ccmE//prpB//tpx//trpB//sufD//gabP//napF//narQ//crp//purA//yciW//trg//csgF//gatA//hyaF//ssrS//galE//chbF//rpmI//glcG//nanE//cbl//oppA//mtlA//pgaC//iscA//cbl//gltD//icd//gspJ//livF//
Fur-Mn2+	bioB//acrE//idnT//aroH//osmY//sbmA//hisM//citC//dps//hdeD//dkgB//ynfH//mcaS//baeR//guaA//ychH//nanC//glpE//metR//ihfA//alaV//casC//fhuC//bacA//gdhA//ppdD//paaI//chbG//creA//puuA//fliZ//ybjG//ilvY//galT//feoC//dnaA//tam//dppA//glgA//paaA//aroF//fliA//abgT//ada//hcr//epd//sufA//hycI//alkA//nuoE//tap//glpD//paaJ//rrsC//mgrB//adiC//yjiY//aceB//livM//osmY//nrfE//mntP//rstA//paaD//fimA//uhpB//trpE//malI//hyfF//ccmE//chiP//hyfR//lsrK//grpE//fadL//dppC//ybdN//fhlA//fadI//ygeA//ansB//purB//uxaB//phnE_1//eda//glpF//grxD//gatZ//tap//fumA//dcuA//rbsB//fepA//moaB//hydN//glnB//tsaE//purK//prpC//puuB//bioD//sufA//iscS//phnL//rrsH//hyfD//nikC//safA//rpsO//hycE//trxA//lldR//uxuA//yaiW//adiC//pheM//rhaD//lsrR//glpK//infB//fucI//zwf//mglC//pnp//tnaB//ahpC//abgB//polA//entD//arfB//hybA//motA//lsrR//hybA//fadB//paaC//nikC//paaK//fecE//iscA//
GlcC-Acetate	cusB//yibN//slt//metR//nrdF//aroA//gntP//
GlcC-Glycolate	nuoI//glpB//yiaL//ygeA//hybC//oxc//dmsC//
GlrR-Pasp56	atoA//
IclR-pyruvate	sbcD//appB//atoB//tfaQ//
IdnR-5-ketogluconate	truB//nlpD//chbC//gntX//rbsA//grxD//yeaE//fur//
IdnR-Idonate	znuC//carB//uxaB//ubiA//icd//udp//nirC//yeaD//
IlvY-2-acetolactate	puuR//cyoC//
IlvY-Alfa-acetohydroxybutirate	glpC//cas2//
IscR-[2Fe-2S]1+	ugpE//narG//lpxA//modC//fucU//ldtC//osmC//fadA//metB//tyrR//cysI//tauD//dcuC//iscR//phnD//borD//phnG//hdeB//cheY//cysN//hofN//hisQ//mgrB//nadC//betI//tktB//casA//glpB//entS//acrA//rhaA//cusF//lldR//nuoJ//lhgO//hyaF//ydhY//rnpB//yfaE//hflK//nrfB//
LldR-L-lactate	mscM//crl//rrfF//
Lrp-Leucine	astD//malS//araA//hycC//sgbE//yfiP//xylH//rplB//ssuD//rrsB//borD//frdD//metF//csgF//dnaA//ubiA//ppiD//rbsA//appB//gadC//hemL//fixC//paaG//zraR//fliA//hofO//phnO//cyoD//marR//rplV//tdcE//dppD//pta//ydhV//galE//ilvM//rutB//araJ//ugpA//araH//gcvH//aceE//crp//rcnB//fldA//glpD//sbcC//srlR//alkA//cyaA//agaV//hypE//pflB//tyrR//ykgR//aspA//hycG//ldtC//gntK//oppB//ryhB//appY//gabP//prpC//gspI//garK//chbB//rhaT//atoE//crl//trpA//aroM//hybD//znuA//cyoA//ilvX//argE//metI//grxC//phoP//nuoI//spf//crl//rybA//narX//leuE//fumB//tauD//argO//pdeF//gltV//ychO//alaV//azuC//frdA//cas2//metH//gltA//argE//infB//znuA//udp//purA//glcG//fucK//allD//
LsrR	ygiC//nuoC//metH//gdhA//deoD//purK//bglB//rhaB//nuoM//
MalT-ADP-Maltotriose	argR//galM//dppD//hisJ//yidQ//rrlE//gapA//atoA//gpmA//hycH//
MalT-Maltotriose-ATP	ulaC//arcA//fhlA//tar//manA//ynfF//hyfB//fau//argB//crl//
MelR-Melibiose	ugpE//tdcD//truB//
MetJ-S-adenosylmethionine	rnhB//csiE//bcsA//hypB//trpE//ydiU//citE//talA//safA//metL//ccmH//rseA//fdnH//citX//entB//
MetR-L-homocysteine	guaA//aspC//aldA//cspE//osmY//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]	rpmI//mhpC//nmpC//rhaA//metF//ydhU//
MhpR-3HPP	gdhA//cysD//frdB//cysH//rpsF//cysC//
MntR-Cd2+	rplM//alaS//gdhA//torR//glpQ//
ModE-MoO42-	iscR//glpF//allD//ynfH//tsr//nagC//garP//nanS//purM//mdtD//ccmG//sdhA//malZ//ynfE//xylA//yqaE//pepT//gntT//frdD//crp//csgG//pyrD//deoC//fimA//lsrD//phnM//ydeN//pdhR//srlE//ccmE//nupG//purL//puuP//zinT//malG//ndh//cstA//acrF//rrfF//gcd//napD//citD//flhC//exbB//aer//treB//
NarL-Phosphorylated	norW//phoQ//glgA//hycB//ygiB//znuC//fnrS//fimA//talA//gspH//dppD//cysG//entC//atoB//cynS//mutY//hslJ//tsaE//nhaR//hflC//cytR//phoH//qseB//cheZ//fnrS//cysJ//ydhT//fecR//bamA//hyfA//malE//fur//uxuR//yeaR//zntA//cyoE//allC//norR//yiaN//aaeB//pncB//hisM//ccmA//qseB//modA//lsrB//hyaC//nupC//bioA//fixA//putP//gspE//gspK//mntH//cysK//paaF//fnr//torC//hupA//yccA//fnrS//bamA//rrsH//yhhY//rrfD//hflX//torR//talA//aroH//rnpB//lpd//metA//prpE//galP//cusA//hybD//pgpC//phnH//dadA//ynfG//rybB//carB//glmY//hybB//artQ//hemA//yjjZ//mipA//purM//lrp//fdnG//murQ//xapB//dps//araF//sucA//appC//ampE//puuP//ydhV//yeiL//paaA//preT//trpB//cysP//dppC//mhpD//yaeQ//priB//hyfB//ppdD//ynfH//gspH//cyoE//fhuC//codB//nohA//hcr//ssuE//chbA//araG//hyfA//gltW//fhuF//idnR//
NarP-Phosphorylated	mutY//mhpT//yfeW//sufS//nagC//dppF//ubiG//gatB//umpH//mtlR//secB//ssuB//tsgA//atoE//aspC//gntK//phnF//cyaA//ssuE//puuP//cspD//torA//yeiW//rpsQ//rrfE//gspH//malX//raiA//fliA//hdeD//dnaE//purK//nrfD//speC//mntP//tehA//cysJ//hyfH//arfB//gatC//mpl//rrlD//tdcD//fnr//glpB//ppdD//rpsQ//lacI//gatY//nuoJ//
NhaR-Na+	bhsA//fhuD//nagB//narH//cyaR//mgtL//phnC//
NikR-Cd2+	mglB//ompR//malM//mdh//bamA//malM//
NikR-Co2+	puuA//fimC//hyfE//hofP//pgpC//treB//
NikR-Cu2+	hypD//dnaA//truB//argH//rof//sucD//
NikR-Ni2+	zwf//rnpB//atoB//prpD//yoaC//mipA//
NikR-Zn2+	nanM//atoA//mdtC//prfA//dmsA//trpA//
NrdR-ATP	spf//citG//trpA//cysW//cspE//pstB//motB//ydbD//ccmC//
NrdR-Zn2+	gntR//dcuS//ycjX//dnaN//feaR//mntS//yoaG//pgaC//gapA//
NrdR-dATP	lsrB//fdnH//galT//manA//dpiB//purF//deoB//ilvG_1//aidB//
NsrR-[2Fe-2S]reduced	yqjA//ssrS//hyfB//hemL//ebgA//tdcE//artP//gnd//gyrA//chbG//creA//rhaD//iscA//ydiU//rrsC//metC//rrsD//puuE//rrfC//yaeP//rbsK//marA//gltT//dppB//rpsF//soxS//yjeV//cydD//rpoE//purE//qseC//paaC//rrlB//malT//tdh//tadA//puuD//dadA//paaZ//hisQ//araF//hybE//nrdH//cadC//fimF//feaR//nagB//betA//metR//lyxK//hisM//yiaN//narL//hflX//rutB//chbF//citD//mhpE//zinT//rutC//rnpB//creA//hycB//frdC//abgA//narK//uof//rrsB//ssuE//yqjA//uxuA//fadL//tdcC//
PhoB-Phosphorylated	fdnI//nagA//rhaB//creA//metF//aroH//moaC//nikC//caiD//znuB//lldD//speC//ugpB//mdtB//fis//yidQ//ygeA//cusS//pagP//galK//dmsC//yjeF//gltT//aroP//astA//grcA//abgA//glpA//idnT//ulaE//hofN//nikB//fucO//napD//citD//ilvC//pheT//paaK//rimM//nuoN//znuA//hmp//ispE//tdcB//pyrD//borD//cyaR//rrsG//aceF//pstA//uhpT//rrfD//betB//bioB//malG//nuoI//malP//sdhD//astB//cspD//rrsD//
PhoP-Phosphorylated	oxc//oppF//dcuS//appC//fepA//tadA//rpsC//gcvT//yfiP//hyfI//pgaD//adiC//uidB//hha//mhpT//gspE//rpsQ//ispE//sucD//pstC//kbaZ//fur//mdtB//lldD//patZ//gatD//gntK//gspG//gntK//crr//ubiA//deoC//rbsD//sucA//rpsR//tap//atoA//ykgM//bhsA//gntT//phoB//tauA//iscU//melB//deoA//srlD//rpsS//fadE//caiE//metI//iscS//hyfR//rpsR//aaeX//ompF//astB//gntP//
PrpR-2-methylcitrate	artI//tolC//grcA//aaeR//phnN//
PurR-Guanine	atoE//hemL//fhuB//livG//phnK//acnB//ydhY//yiaM//alaA//chbB//tnaC//argH//ccmE//yhjC//pgaD//hisJ//yibN//uxuA//alaS//mipA//yjjZ//feoA//phnC//metJ//nrdD//efeU_2//creB//yqjI//yqjA//cysH//tonB//ydfH//aceF//arcZ//
PurR-Hypoxanthine	cyoE//allD//hyfR//aaeR//nrdI//aroM//gatC//ssb//fucP//ychH//deoD//ybjG//acnB//ada//grxC//ygaC//tyrB//galS//nirD//fnr//rutC//appY//bioB//melR//fimI//cusC//nanA//cysP//lacZ//trg//uxaC//appB//eda//mgtL//
QseB-Phosphorylated	hupA//dadA//mglC//ybfN//
RhaR-L-rhamnose	srlA//ihfA//
RhaS-L-rhamnose	dmsD//yegZ//dkgB//ulaD//caiC//yqaE//
RstA-Phosphorylated	lacY//entA//galE//rrlB//nikC//rhaA//ftnB//yfaE//fecR//rutA//
SoxR-[2Fe-2S]3+ oxydized	alaA//idnK//pyrC//malX//
TorR-Phosphorylated	mdtA//phnM//fecD//nrdH//gltW//skp//metB//gcvT//ugpB//yfiP//
TrpR-Tryptophan	fliZ//tsr//fimG//xdhC//galM//frc//dusB//nanS//hyfE//pyrD//citC//dppF//
TyrR-L-tryptophan	serC//dsbA//fadH//metN//nrfB//fimA//hycH//treR//hflC//nirC//cysG//hlyE//ulaA//tauC//
TyrR-Phenylalanine	argB//astB//fes//fbaA//chbC//phnG//nlpD//yjiY//oxyR//csgF//paaB//envY//rrlG//gspO//
TyrR-Tyrosine	rimP//yaiW//yjiY//rseA//rpoH//ugpE//ydeM//ccmF//carB//folE//norW//infC//nagC//yegZ//
UhpA-Phosphorylated	hofO//
XapR-xanthosine	ada//nrdB//
XylR-Xylose	cynX//ompC//paaK//prpR//sbcC//ilvI//
ZntR-Cd2+	katE//
ZntR-Hg	pheT//
ZntR-Zn2+	znuA//
ZraR-Phosphorylated	ynfF//uxuB//cvpA//
Zur-Zn2+	rutF//ygiB//purD//sdaA//mhpF//casC//
