#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	lysU//trpL//aceA//metQ//
PhoB-Phosphorylated	dps//bglB//pta//creB//borD//fimC//acrB//nrfE//efeU_2//gltU//fadL//psiF//astC//ybiT//yhfA//entS//fadD//araJ//hyfR//araJ//gdhA//rrlD//lsrC//comR//deoB//araG//fes//metJ//erpA//tyrB//dppA//mdtB//mutL//hycG//ssuA//ssb//entD//waaH//chiP//hycI//glgP//ydhW//hlyE//livK//pitA//nagB//rplP//hofO//yqaE//glpT//pta//tyrR//crr//astE//ldtC//amtB//hha//nanE//mhpE//mscM//yiaO//
PhoP-Phosphorylated	csgB//ldtB//pagP//pstB//oppA//preT//lsrD//araC//phnL//sxy//ssb//fbaA//tar//focA//aaeA//yaeQ//glcG//norW//fucA//glpG//fbaA//tdcF//fadE//cstA//uxuR//manX//mscM//cusC//ydbD//uraA//artJ//astB//malT//glpQ//ascF//manY//prpR//tauC//sgbH//soxS//nuoF//oppF//glgX//gntK//csgG//paaD//sbcD//yeiL//rof//cyoB//copA//prs//glpG//rrsA//mntH//ykgM//malQ//
PrpR-2-methylcitrate	mscM//fepD//rhaA//purM//nikB//
PurR-Guanine	ybdN//glnL//garK//glpX//znuB//pstB//glpX//ptsI//nuoI//nrfE//ahpC//cstA//arcA//hydN//csgC//fhlA//tnaB//hybD//fadE//lpxA//tonB//cusC//metA//modA//ybjG//narQ//hycA//dcuS//lrp//sdhC//speB//ssuE//feaR//moaA//
PurR-Hypoxanthine	appB//garK//phnO//hisJ//cheB//gabT//znuA//xapA//hofC//manX//betI//cdd//amiB//glcB//nrdA//hyaD//dapB//ahpC//glpA//caiD//nrdH//cysD//yaiA//moaC//uof//rhaA//fepE//nagA//fecB//adiC//cvpA//yfdX//yojI//lldR//
QseB-Phosphorylated	ssuB//marR//sufE//hyfE//
RhaR-L-rhamnose	yjeV//puuE//
RhaS-L-rhamnose	yaiW//hlyE//glcB//cysW//mhpE//napG//
RstA-Phosphorylated	yrbL//rpsQ//purA//pheS//hycD//yggX//puuP//oppB//ftnB//metR//
SoxR-[2Fe-2S]3+ oxydized	csgA//narG//ppiD//cysU//
TorR-Phosphorylated	spy//yfbR//marB//rplS//ispE//gntP//abgB//ycjF//epd//mtlR//
TrpR-Tryptophan	rprA//cueO//rbsC//cas2//bglB//alkA//metE//rbsD//fimC//arcA//ccmH//purH//
TyrR-L-tryptophan	hycB//xapB//cysH//motA//artQ//cysP//hslJ//ppiD//nuoK//gspK//malM//cirA//hha//nmpC//
TyrR-Phenylalanine	trpR//atoB//nirC//nuoH//dcuA//rutA//lsrF//atoA//alkA//rpsF//ygbA//cadC//srlE//rrfC//
TyrR-Tyrosine	dcuD//nrdF//proP//crp//chiP//aroG//cysN//hofC//gspF//glcF//napH//hyfI//livK//nuoL//
UhpA-Phosphorylated	rrfE//
XapR-xanthosine	ompX//ftnA//
XylR-Xylose	cyoD//aceB//malG//ydbD//pitA//tam//
ZntR-Cd2+	proP//
ZntR-Hg	envZ//
ZntR-Zn2+	rpsF//
ZraR-Phosphorylated	gatA//aldB//lsrF//
Zur-Zn2+	pflB//paaD//ydhV//cydD//malX//rbsR//
