#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	umpH//pyrD//ssuA//dmsA//
ChbR-Monoacetylchitobiose-6P	chbB//araC//csgF//lsrA//rcnA//skp//
CpxR-Phosphorylated	edd//gabT//gntR//aldA//citD//glrR//fhuE//tap//prmC//xylB//malG//nanT//nfuA//zinT//sroD//nrdI//sodB//nuoC//speA//polA//motB//yaiW//hofM//ybdZ//purB//mdh//mgtA//ilvI//garL//lpxA//speC//gatY//ascF//melR//nuoJ//bdcA//cyaA//dcuC//fbaA//sucB//focB//cvpA//yeiB//hybE//rrfA//caiF//yfdV//speB//gabT//hycC//ilvY//torA//nuoC//hdeB//xdhC//trpL//hycF//malE//dppD//nuoG//rpsJ//sroD//lsrD//dsdX//lsrA//bioD//xapB//glgX//emrK//
CreB-Phosphorylated	focA//ssuB//garK//napD//prpC//manX//oppD//azuC//treC//
CueR-Ag	trpC//betA//garL//ulaA//sufB//rrlE//rimP//
CueR-Cu+	xdhC//pncB//fucU//phnM//yiaL//gnd//yrbL//
CuerR-Au	gabD//cynX//paaK//lysP//fecR//sufB//pheM//
CusR-Pasp	tar//mltC//tyrP//prpR//nac//aidB//gltT//preT//rnlB//mltC//xdhB//xylG//
CynR-Cyanate	actP//fecD//fimD//manX//
CysB-N-acetyl-L-serine	emrY//fabZ//alkA//entS//ppiD//pgaD//folE//rpsF//epd//hyfG//sgbE//ykgO//cadB//aidB//cyoC//cadA//cysW//gadC//phoP//ygiA//fldA//ilvN//rybA//argH//uxuB//hflX//micF//xylA//cas2//amtB//
CysB-O-acetyl-L-serine	citD//glmY//leuE//metN//purL//sodA//prpB//gadC//ileU//yegR//cytR//ulaC//iscS//ynfG//ccmH//sufD//yjiY//rhaT//gspM//sbcD//lacZ//livH//iscR//ybjG//frdA//rutC//malM//prpR//sdhB//glpX//gltF//
DcuR-Phosphorylated	paaG//nikE//paaK//aroF//idnR//sxy//ynfE//rpsR//xseA//
DnaA-ATP	rybB//efeU_1//prs//ydhW//aer//moeB//rseC//paaC//rrlD//rnlA//yhjA//ygeA//
DpiA-Pasp	fimE//treB//tam//rbsD//phnO//tfaQ//lldD//sgbE//dsdX//ompT//puuD//
DsdC-D-serine	ssuD//ykgR//sroD//
EvgA-Phosphorylated	idnD//yqjA//lysA//ydeN//prpR//gadC//fliA//ybiT//narJ//dadA//znuC//gspL//yhfA//aroL//argG//
FNR-[4Fe-4S]2+ reduced	rrfC//artI//phnM//degP//artM//nikD//lrp//recF//fdnG//ydhX//fdnI//nupG//ulaF//ubiG//ygiC//cysH//cysU//ygeH//bhsA//mhpR//frdC//yqaE//infC//yhhY//crl//gyrA//mntS//norV//lpd//dcuS//metC//casB//manA//nrfE//bglB//ilvI//exuT//phnG//ytfE//map//yciW//nmpC//caiA//rutD//borD//hfq//purN//rpsQ//fucP//rpsJ//glmY//focB//rutD//argP//ynfE//lpxA//evgA//rnpB//trg//metC//aroA//gcd//tnaC//lsrR//nikR//prpB//glgP//uxuA//glnB//gadB//fadD//nrfB//rpsS//dps//acrD//yfeW//oppD//sbcD//aceK//crr//trmD//qseB//glcB//chbF//ilvA//atoA//mlc//murP//tdcA//appY//emrY//cyaA//nagE//torR//patZ//ytfE//grpE//caiT//nuoJ//ptsG//gltA//lacY//nikR//cytR//aroA//rrfA//ulaC//nagC//speB//fimF//cusA//nac//fadA//putP//norR//tolC//puuP//zwf//lsrG//ldtB//pstS//gdhA//pagP//yeaR//cheY//cirA//ascF//znuB//fimD//cydA//rpsI//atoD//rpoE//aceA//nanK//iclR//sgbU//xdhA//fimC//psd//appA//glpB//ykgR//phnD//rrfB//hemA//pyrD//cysN//ydhU//fadD//moaB//purK//nagE//fldA//osmC//nagE//tauC//yjjZ//rrfH//hlyE//pheM//hybO//nrdB//fadH//envZ//rplT//ryhB//ansB//nirC//yhjC//phoA//ompX//yeiL//psiE//sgbE//osmY//nusA//narX//ptsH//phoB//cpdB//yqaE//malX//metF//dctA//gltT//flhC//glgS//trxA//lpxD//cysI//fldA//yiaM//cynT//rnlB//arcZ//uidC//nirC//pncB//rnlB//ydhV//casC//nohA//nhaR//ygiB//ptsH//uxaB//ldtB//rrfD//feaR//cysB//lysO//ilvH//dgcZ//leuE//cysN//uhpB//dnaA//caiF//ydfH//yqjI//nuoN//bglF//hdeB//livG//hyaA//ysgA//nirB//ubiG//bglG//fimH//hflK//polA//gspG//alkA//xylF//rpsC//ytfE//torR//bioD//hofP//rutD//hydN//yfdX//fnr//casB//hcp//tnaC//aroH//cheR//yegZ//rbsB//dcuA//feoB//uxaB//purE//tdcC//yccA//phnF//araD//arcA//ilvX//sucA//rrsG//epd//mhpF//aspC//ppiD//phoB//citD//acnA//ykgO//frdC//gntT//hflX//lacI//narJ//exuT//dapB//betI//modB//zraS//malG//argF//citG//fepG//nrfE//nuoG//malT//dgcZ//lpxD//metE//chbB//gltU//mglB//yegH//aceB//ykgR//puuA//pstA//hybD//fecB//galP//araA//yggX//
FhlA-Formate	garK//phoE//glpE//rybA//xylA//sohB//xdhC//rutA//prpE//fepG//hydN//amn//borD//fabZ//tnaB//cysI//cusB//lsrK//xdhA//gpmA//sdhC//nuoN//gcvT//uxaA//lysO//cysK//rstB//ivbL//ydeO//nupC//
FucR-L-fuculose-1-phosphate	phnF//sucA//puuD//xylF//fis//mutY//fdnH//
Fur-Fe2+	rplV//napG//napF//malE//lysC//fdnH//gltT//bcsC//deoB//rutB//artM//uxuA//fimE//gltB//rhaR//gntU//hyfB//rrfB//mpl//cpxA//yqaE//psiE//tnaB//hisJ//moaE//rutA//betA//frdA//ilvM//folE//rpmC//ygeA//trpC//hyfE//entA//hofC//baeS//prs//trg//gatY//rbsC//feoA//crl//gntX//iscA//alaA//metK//ulaD//psiE//proP//nfuA//napB//folA//ldtB//acnA//iclR//citC//aroM//lamB//ascF//dpiA//mgrR//paaB//glcF//nuoE//paaD//mhpB//envZ//araC//rrfH//chbG//aspC//mglC//fucU//gspD//pck//cpxA//idnT//purA//lacZ//rpsC//caiF//ssuC//hlyE//cpdB//talA//phnG//cysB//argF//prpC//cyoE//sucD//ompR//rplP//qseB//sucB//mzrA//gspK//napD//ampD//cusC//malX//lsrB//feaB//codB//paaB//kbl//fimI//ugpC//cysJ//nrdF//lsrR//ompA//hyfH//hyfI//dapB//mntS//alkB//atoD//lsrA//ung//yqjA//nanT//metI//abgB//fiu//nanA//ilvE//deoB//livG//argC//fucO//entS//fumB//uof//galT//proP//ccmC//agp//yneM//
Fur-Mn2+	trpA//iscU//entF//evgS//lysC//metK//tnaC//rybB//ilvG_1//fdhF//glcE//napC//ygiC//hdeD//citE//ung//aldA//nrdE//ydhV//trpR//appX//ilvA//yeiW//cynS//ompR//gapA//malP//recF//glnK//puuR//cpxA//gnd//artP//nfuA//speB//rrfH//rpmI//pgaD//phnL//yqaE//yecR//yneM//narK//dadX//betB//manZ//rmf//pstB//xapA//rrlH//ccmA//serC//cadB//fhuE//rpsI//nrdB//paaK//focA//hyaC//argO//cyoB//nanM//raiA//csgC//ptsH//narK//paaI//fecR//hemL//rrfE//lldD//atoD//gatC//nikD//yhjA//malE//sucD//hflC//yjcH//fis//trpE//rpoH//cheW//nagC//hyfF//argR//torD//ydfN//aroG//nirB//gntP//tyrA//livF//yeaR//ccmG//trpR//moaD//uhpA//rseA//trxA//yaiW//hyaF//cydA//ahpC//yiaK//bacA//rbsC//ldtB//torA//gntR//entS//citG//glgP//chbC//soxR//rseB//garP//mgtL//rrlH//idnT//livG//yaiW//abgA//gatZ//hlyE//deoD//yegH//rpoS//rrfH//iscR//yjjZ//nuoB//entD//fhuC//xylR//ileU//lacY//agaW//lsrK//nanA//
GlcC-Acetate	mutL//ytfE//ilvC//phnE_1//cysH//acrA//argA//
GlcC-Glycolate	lacZ//rplB//narL//rseB//tdcG//chiP//dapD//
GlrR-Pasp56	uxuB//
IclR-pyruvate	dcuS//tomB//pepT//fnr//
IdnR-5-ketogluconate	cas1//arcA//dppC//hypC//fecC//ydeP//ykgR//xylA//
IdnR-Idonate	cysW//chbA//pyrD//ascB//guaA//hyfR//secB//torD//
IlvY-2-acetolactate	pstS//aidB//
IlvY-Alfa-acetohydroxybutirate	epd//entC//
IscR-[2Fe-2S]1+	narL//gabD//mgrR//arcZ//gspM//nikC//fur//mutL//bglB//rstA//rhaD//ygbA//agaA//metK//araA//nrfG//ykgM//dsdC//nirB//gnd//chbB//rplW//lysC//nikA//ppiA//nanS//rybA//sufC//adhE//folA//garR//creD//iraD//glpD//yfbR//marR//phoP//puuP//glpQ//ccmH//trmD//
LldR-L-lactate	araG//xdhA//gpsA//
Lrp-Leucine	yccA//eda//norW//treR//folA//bcsC//modC//puuE//moeB//gapA//cvpA//sufA//torD//galK//ssrS//tpx//chbF//rpoH//efeU_2//phnE_1//ilvM//idnT//nikA//deoA//argP//csgE//fepD//cynX//ydhU//nhaA//mgrR//ogt//tdcF//cysA//rutA//yaiA//yqjI//fucK//deoB//chbC//fldA//nuoB//lysU//glnB//cysC//purC//cyoC//asr//ompR//feaB//gatC//ssb//cysD//ygeH//allC//emrY//cysN//fepC//hflC//tdcE//alaS//gspG//gnd//grxC//lacA//glcB//rnpB//norW//hybE//acnB//hisM//ilvC//cysU//treR//nanT//appX//asr//hycA//marR//srlR//pgaC//fadI//pitA//fadH//sucA//dnaN//ygiB//rrfC//ampD//rseA//glpK//glpF//cadC//mhpD//fumB//iraD//fimC//moeB//rhaS//fepD//nhaA//moeA//rrsG//nrfE//atoD//malY//
LsrR	rpsP//alaT//agaW//rplB//malE//lsrC//glpC//nrfF//xdhC//
MalT-ADP-Maltotriose	xylR//rplD//fhuC//agaA//iscS//fbaA//gntR//chiP//nagE//melB//
MalT-Maltotriose-ATP	bcsA//hypB//cusC//fimG//ascF//xapB//dapD//norV//ccmH//glcG//
MelR-Melibiose	kbl//cynS//mdtD//
MetJ-S-adenosylmethionine	metC//sucD//ygiC//lysA//nagA//yiaL//gltF//sufC//napD//napG//phoQ//gadC//ubiA//fucK//crr//
MetR-L-homocysteine	rutC//ycjF//iclR//lysU//putP//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]	murQ//malG//ptsI//yfdV//trpR//pflB//
MhpR-3HPP	sdaA//fadA//gntR//ydbD//cas2//znuB//
MntR-Cd2+	sufD//hyfJ//hycA//metB//fepG//
ModE-MoO42-	sohB//cheW//rpsF//phnI//yoaC//fhuE//tonB//udp//aidB//ynfK//tfaQ//tdcE//rplD//purH//mtlA//nrfB//appA//gdhA//tomB//gltW//rplP//abgA//ihfA//ynfE//alkB//cyaA//ynfK//rpmI//udp//frdA//cusA//uhpB//hybA//rrsD//yaiA//puuE//gntR//deoD//rrlE//argC//ygeA//trpR//lsrA//fhuD//murQ//rpsS//
NarL-Phosphorylated	ilvD//guaB//rrfH//yegH//rrlH//safA//recF//fucR//metQ//lacA//frdC//rrlA//trpL//fur//ppiD//xdhC//betI//lsrB//gadB//sohB//csiE//rplW//aldB//ahpF//yecR//nlpE//tcyJ//argA//nadC//rhaT//bglF//nuoL//dppB//phoA//flhC//nanA//malQ//argE//rplI//glnD//sucB//aaeA//pheS//artP//nusA//araF//gcvH//uhpC//nirC//arcZ//srlD//glpB//yfeW//umpH//paaH//chbR//modC//creD//rrfH//rutE//mgrR//hyfH//rpoS//dppD//cysI//fhuE//zraR//purR//yfdE//patZ//gatD//sroD//prpB//acrA//ccmE//fadI//ptsG//lsrD//entB//hflK//nikE//mgrR//puuA//speB//csgF//ybjG//rpsS//nrfE//dmsA//rpmI//lysO//ydeP//yhjC//narG//citX//cueO//hupB//fepB//tdcA//borD//ppiD//fhuC//nmpC//nuoK//secB//nrfF//galP//tsr//appC//nikA//cadA//hupB//lysU//yqjI//modA//fadD//cpxR//entD//patZ//aaeX//gatY//folA//nikE//betT//yhjC//
NarP-Phosphorylated	treC//rrfB//ygaC//nuoF//xylH//cusC//ebgA//kbaZ//nrfG//ydhU//caiA//rutC//map//nlpE//sufD//mpl//nohA//gcvH//hybG//rrlD//exuT//preT//astA//crp//appX//phoH//mntP//mdh//appB//yjiY//fhlA//rhaT//ompW//yggX//ychO//narI//gspC//ygbA//moaA//rutF//gutQ//iscR//moeA//mgtL//amtB//entC//xapA//artM//fucO//ydeN//
NhaR-Na+	tyrR//tomB//ygiC//lamB//yibN//lsrF//purA//
NikR-Cd2+	fhuC//entH//ubiC//ilvX//xdhC//araG//
NikR-Co2+	rutG//puuB//hupA//mzrA//puuR//hflX//
NikR-Cu2+	iraM//exbB//fecR//cysI//araF//gatC//
NikR-Ni2+	trpE//cadA//xseA//abgA//fimD//entS//
NikR-Zn2+	nrdG//nupC//ccmC//mgrB//hofM//codB//
NrdR-ATP	ldtC//argI//amtB//aldA//ykgO//nuoG//motA//ssuC//dsdC//
NrdR-Zn2+	guaB//cydC//betT//ydfN//ilvG_2//xylB//stpA//ulaA//gatY//
NrdR-dATP	mpl//paaF//rplI//ulaA//hflK//bioC//cynR//uhpA//nrdE//
NsrR-[2Fe-2S]reduced	modC//aidB//acrE//csgC//hyfB//yfdE//dcuR//trg//purN//miaA//patZ//rutF//kbl//citF//mutY//gltD//cirA//yidQ//malZ//leuE//argC//rrsC//ileV//nuoA//allE//fucK//rdoA//narX//acrB//torC//alaA//pdhR//sohB//hycI//fucK//ybdN//lhgO//rnhB//pitB//cspE//fadE//tauA//yjeF//metR//dcuR//glmY//fimD//metN//nikE//hisQ//focA//yiaM//gntP//fucI//fumC//oppD//glcE//nikA//entH//baeS//hyfA//aceK//rpsP//hofO//malE//micF//livJ//galT//paaG//cydD//dmsD//rbsC//phnL//
PhoB-Phosphorylated	bcsC//hycC//oppB//fhuD//frc//avtA//fnr//ispE//dpiB//exbD//envY//ssuE//cra//napG//yaeQ//rseA//sucA//glgA//tauC//ptsG//nrdG//hupB//edd//agaW//gcvH//yjeF//cheY//dsdX//phnC//cysB//ugpA//deoB//feaR//mzrA//fdnI//ccmF//cysN//mdtA//rpsS//acnB//glpT//phnK//amn//oppA//zraS//rutF//serA//yeiB//hycI//tehA//rpsO//abgT//ydeM//rplD//yeiW//rplI//rbsR//sufD//ybiT//entC//atoE//
PhoP-Phosphorylated	pheM//cyoE//lysO//rnlB//glpD//eda//cstA//adhE//caiT//ilvH//araC//aceE//ykgR//creD//bcsC//cadB//ycdZ//xdhA//mzrA//cheW//ada//paaC//rrsH//uraA//bioF//cheW//emrY//guaB//acrB//puuD//rrlG//ssuC//rplV//lldD//slyB//hypB//adiC//yhfA//rplB//hypC//prpB//gntR//mgrR//acrE//entS//rimP//galK//iclR//cpxA//rbsA//uxaC//hycF//bhsA//phnD//fepB//ydhX//cynT//
PrpR-2-methylcitrate	phnP//gspJ//cysN//ansB//adhE//
PurR-Guanine	cas2//borD//tadA//crp//hyaD//rutB//uvrA//cysH//ydhV//yjeV//ykgM//dmsC//aroP//artQ//yhjA//mdtD//entC//hdeD//rhaR//pck//focA//ygbA//rrlD//rseC//yeaD//ppdD//mdtD//rrsE//cbl//manX//mhpF//metJ//trpB//gpsA//
PurR-Hypoxanthine	phnD//raiA//fucO//dpiA//fucA//ilvX//rrlD//arcZ//aspC//acrE//fldA//grcA//yhiD//sgbH//glrR//aceE//uhpA//mhpE//pncB//fhuC//rdoA//gadB//bcsA//sroD//appX//bioA//caiT//hdeB//xylG//malP//mhpF//ydeJ//entA//bhsA//
QseB-Phosphorylated	ykgM//fecA//napF//nagC//
RhaR-L-rhamnose	ybiT//betB//
RhaS-L-rhamnose	tcyJ//actP//hslJ//yiaK//dsbA//purH//
RstA-Phosphorylated	paaB//paaJ//glgP//marR//pheT//galT//nikE//nmpC//ydeN//glgP//
SoxR-[2Fe-2S]3+ oxydized	ybfN//yfeW//purD//tehA//
TorR-Phosphorylated	tdcB//nrdH//hycC//feoB//phnD//astA//metY//hcp//malP//moeA//
TrpR-Tryptophan	nrfG//preT//katE//tehB//nuoE//sgbU//bglF//ydhX//tdcD//ycjX//mhpE//sufE//
TyrR-L-tryptophan	astC//dppB//dcuR//rrfE//dadA//lldP//tyrB//gspI//prpD//creB//cynT//aroG//nikD//rrsH//
TyrR-Phenylalanine	marB//hycG//napA//ilvI//iscA//narK//nikB//psd//cysI//mhpT//alkB//stpA//tktB//yfiP//
TyrR-Tyrosine	preA//cysN//lldP//manY//phnG//fimA//fnrS//idnO//fimI//rcnA//sufA//argP//puuD//baeS//
UhpA-Phosphorylated	icd//
XapR-xanthosine	nrfG//dnaN//
XylR-Xylose	pgaD//fimD//zraS//phnJ//speB//atoD//
ZntR-Cd2+	rseB//
ZntR-Hg	tyrP//
ZntR-Zn2+	araF//
ZraR-Phosphorylated	manA//tomB//murP//
Zur-Zn2+	rpsF//argI//pheT//argA//nirB//glcA//
