#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	cusS//aaeX//xdhA//ssrS//
ChbR-Monoacetylchitobiose-6P	infC//cspE//trxA//sufA//nuoA//dppA//
CpxR-Phosphorylated	tehB//tdcA//amn//glnK//allE//ampD//dnaA//yqjI//argA//amtB//glnG//glpF//puuA//puuE//bglB//lysO//gntR//rplC//oppA//ulaD//aceA//melR//lldD//phnK//aceF//ybfN//feaB//purC//mipA//csgF//glmY//moaC//deoA//hyfG//pgaA//cysC//zraP//malT//tsx//lysO//paaZ//ycdZ//spy//rutC//rpsS//ilvD//cysW//ygaC//paaC//hflK//argB//atoA//flhC//ycjF//citE//ssuD//yeiL//norR//hybD//artM//feaR//hmp//hycB//fumB//tar//mglB//csiD//tnaB//ulaF//
CreB-Phosphorylated	yfbR//cusR//rhaR//ykgR//ebgA//soxR//murQ//glpR//glpX//
CueR-Ag	paaE//erpA//yebE//hflC//asr//ulaF//rpmC//
CueR-Cu+	nfuA//nac//ptsG//rrsB//glpT//metH//araE//
CuerR-Au	lysC//allE//ulaB//modC//fimH//lysO//glgP//
CusR-Pasp	osmC//ydfN//fhuC//idnO//argG//glgX//ybdZ//dsdA//ykgM//yrbL//osmC//yidQ//
CynR-Cyanate	murQ//araA//talA//phnC//
CysB-N-acetyl-L-serine	hycB//yfdE//glnB//malX//bioB//phoB//ynfG//nuoC//nanM//galM//rseA//srlR//iclR//preA//hypE//tauB//pstS//hydN//hycG//aspC//yjeF//dcuB//trpD//allC//uxaB//ilvX//rpsI//pck//mglB//dcuC//
CysB-O-acetyl-L-serine	hemA//caiA//dctA//artJ//csiE//sroD//exuT//moeB//metJ//creC//carB//asr//uhpT//aroF//rrsH//yeaE//aroH//paaD//mcaS//ryhB//nanA//rplS//cysN//dps//cbl//casC//qseC//rhaB//ilvB//tnaB//mdtB//
DcuR-Phosphorylated	alaU//gltV//yaeQ//cpxR//narI//paaK//mdtD//mgtL//hybA//
DnaA-ATP	ilvC//ada//cspE//napD//atoD//gatA//metR//malT//nrdD//tyrA//cheB//phnD//
DpiA-Pasp	hyfJ//chbF//copA//stpA//cbl//cspD//fadH//hisQ//nikA//pstA//ahpF//
DsdC-D-serine	hybD//rpsO//feoB//
EvgA-Phosphorylated	tauB//hybE//mzrA//raiA//rrsA//dppC//amtB//ivbL//abgB//exbD//yiaK//ahpC//yneM//nusA//artM//
FNR-[4Fe-4S]2+ reduced	yfeW//artQ//nrfD//lysU//speB//ygiC//rof//hha//gltV//manZ//fimI//rcnA//citC//ydeN//livJ//malZ//rpsP//tyrP//chbR//fdnG//rdoA//yiaN//gspG//dsdA//yhcH//fimA//grxD//fepB//gntX//deoD//agp//frdC//nuoK//nagC//nikC//metC//lamB//aroF//cra//motA//sucC//iraD//oppA//entD//ykgO//ynfH//yjeV//casE//uvrA//ssrS//phnE_2//ugpB//hdeB//guaA//fucU//glnD//ybiT//umpH//lldP//gatC//tdcG//cydA//sroD//norR//pgaB//phnI//aroF//manY//codA//nrdD//speC//sdhD//hybG//yhjC//sdaA//fhuD//ynfH//tonB//malQ//azuC//napG//hyfE//adiC//znuB//allD//mtlA//hyfE//amiB//cysK//hdeB//carA//glgS//guaB//ykgO//truB//yccA//fhlA//metA//tnaB//copA//trmD//prpB//hflD//carB//nanK//livM//marB//prmC//appA//glpK//nuoC//rprA//atoB//rbsC//yiaL//hybG//yaeP//sbcC//fepE//ccmH//ccmE//aidB//ompF//sufB//glpF//folA//rbsR//frdA//ysgA//argT//uidB//hofN//ompR//rplI//ccmH//nadC//ygaC//aaeR//deoC//yfaE//hisP//glgX//glgC//mcaS//csgB//yjcH//cvpA//caiC//cstA//galE//fepD//hypE//ackA//betT//borD//idnD//lsrD//yeiP//phoE//hfq//tauC//cynT//mtlR//torR//tnaB//hybC//xylF//dppC//ybdZ//pncB//cydA//nrfE//sdaA//chbR//arcZ//hofC//yfbR//argC//ptsI//hemA//citG//pitB//truB//hofB//livG//tauC//agp//fixB//dnaN//hlyE//rplP//dcuR//sufD//yrbL//yeiL//mgrR//putP//napA//norV//cyoD//cirA//sgbU//betT//ydeJ//tdcC//dnaE//glrR//tdcG//hisM//cpxR//galM//cysG//pstB//glgX//purF//motA//gnd//rrsA//fepB//tsx//pnp//gltW//paaJ//nupG//appY//hdeA//nlpE//caiE//secB//argT//hslJ//fecI//cysP//citG//phoA//ilvY//lpxB//fadB//narI//cpdB//manZ//ileT//glpT//puuE//mhpB//argG//nuoF//dnaE//alaV//cysW//galP//tonB//appC//hisP//cysH//ykgR//nirD//hyaE//nuoF//chbA//cusA//amn//alkB//argA//lsrA//ebgA//metY//rrfF//leuE//cusA//yggX//mgrR//hofN//mgtA//glcA//mgtA//malK//purB//metL//rbsA//tehA//dnaE//ompT//cynT//chbF//yciW//hcr//moaE//ileU//zinT//nikC//fepB//fimF//codB//nuoA//modB//cheA//ulaC//adiC//mhpR//erpA//epd//erpA//dadX//soxS//
FhlA-Formate	ompR//ccmC//acrD//ccmA//gspG//torR//dsbA//tktB//aroP//rrfC//ptsI//napA//entC//nrdB//dppB//metE//galP//nikR//modC//pagP//ompA//tomB//uxaA//gadC//rof//qseB//arfB//yqjA//paaI//yeiP//
FucR-L-fuculose-1-phosphate	dmsB//cyoC//idnR//malZ//pitB//hyaE//metQ//
Fur-Fe2+	moaD//soxR//phoU//nrdD//prpB//prs//ygiA//chbC//lhgO//nagB//gutM//rrfA//xylG//fixB//flhC//alaA//ykgM//tehA//pstC//yeiP//ompT//yqjI//artP//creA//carA//speC//spy//ydiU//yeiB//hypC//malZ//dcuC//nrfC//napD//dapB//phnC//prpE//napG//livG//ynfH//sroD//fucO//nupG//galT//dcuA//rplP//entC//gnd//hybD//galM//cydB//uxuA//pgaD//tdcE//lpxB//sdhB//rrsH//gspO//tdcE//crp//nanS//xdhA//lsrR//glcC//purK//mhpC//nuoA//rseA//yeiW//kbaZ//fucO//acnA//ydhU//slyB//rcnA//hyfF//rhaB//rpoE//ydhY//cyoE//aidB//aroM//rrfF//gutM//fldA//nusA//ybdZ//rbsC//yqjI//fhuD//metA//cusS//ileT//rrsD//cyoE//napB//amiB//glcF//skp//ebgC//fadJ//pncB//fimI//creC//aroP//rpmC//nikR//purK//nagB//rimP//yeaD//nrdI//trpC//casA//slt//aaeB//slt//fadA//ydhV//hyaE//argF//evgA//hofC//gntP//alaA//aspC//appA//rrlD//emrY//paaZ//glpB//paaE//nirC//baeS//efeU_2//acrE//cstA//tsr//ahpC//bglB//
Fur-Mn2+	atoD//bamE//gltA//ccmD//paaA//yfbR//pheS//ygiA//caiC//pstB//phnG//mutY//creA//lacI//bglG//dgcZ//cueO//ompX//ileU//acnA//hypE//dppA//fimG//recF//rimP//dnaN//efeU_2//gcvT//raiA//phoE//hisQ//creC//mntS//tnaB//hyfI//sxy//paaC//fimC//znuB//aceB//gntX//rplI//gutM//frdC//araC//glgC//patZ//alaA//ascF//ydiU//ulaB//metR//yccA//mhpT//argO//ompT//cirA//glnL//cysP//fadA//moaC//gspH//fucI//sucC//rutG//rstB//deoD//efeU_2//hyaE//paaZ//chbR//fumB//ydeJ//gntX//ulaE//casD//fimD//yaiW//cysN//amiB//cpxR//flhC//acrD//yjcH//rrlC//osmY//sbcC//nrfF//gltA//ychH//yaeQ//acs//metY//rbsC//hypE//ssuA//yiaO//psd//ccmC//rnpB//rbsA//dmsD//manX//dcuS//chbG//hybB//eda//marR//aer//nupG//marB//flhD//malE//mdh//nrdI//ung//glnL//gspG//dnaA//moeA//yrbL//tsr//aroH//paaG//ydhU//ilvG_1//lsrR//gltV//trpR//ansB//csiD//fecR//cusS//astD//cadA//fadE//murQ//nanM//marR//appC//
GlcC-Acetate	moeB//hycE//frdC//sufS//galS//bamA//ssrS//
GlcC-Glycolate	ybdN//paaJ//nrdA//sgbE//yrbL//glcA//gspF//
GlrR-Pasp56	lysU//
IclR-pyruvate	casE//ldtC//rnpB//cysB//
IdnR-5-ketogluconate	flhD//araE//ugpA//hycF//ygiB//ynfH//mgtL//entH//
IdnR-Idonate	cysN//focB//cysU//pyrC//fucO//hcr//sucA//chiP//
IlvY-2-acetolactate	aroH//ydeJ//
IlvY-Alfa-acetohydroxybutirate	napG//glrR//
IscR-[2Fe-2S]1+	rpsJ//rrsC//yccA//ebgC//lpd//lysC//rplS//sbcC//nagC//ssuC//tdcG//csiE//mdtC//xdhA//gabD//prpB//hybC//xylF//araD//glpT//glpR//bamA//malQ//motA//gspL//rbsR//hypF//fdnG//fepA//cheZ//sgbU//hflK//deoA//lrp//bacA//rbsR//livM//ompR//bioD//idnK//chbB//
LldR-L-lactate	glgS//cynX//rbsB//
Lrp-Leucine	mtlR//nagC//cyaA//tdcG//dusB//rcnA//xylG//hybC//truB//fepC//kbaZ//sbmA//lrp//ydbD//znuC//cysM//ilvI//nagC//sucB//sufS//yaiA//ssuA//pstS//nikC//pnp//dcuS//katG//moaD//ilvL//phnG//artM//treR//prpB//treR//purL//metF//yidQ//efeU_1//nuoA//iscU//agaW//feaR//yegZ//fldA//pheT//guaA//nuoI//hflX//yegZ//aer//lamB//csgD//dpiB//sufD//dppD//fumA//uxuB//ccmC//malX//sufE//rpoS//fadL//gatD//polA//ompX//hofP//exuT//phoE//fecI//paaJ//fumA//ascF//metJ//nac//ilvG_1//znuA//sodA//melB//hyaE//cpdB//ygbA//glgC//nuoC//bcsB//mdtB//lacA//creC//phnF//chiP//aaeX//aaeA//mtlD//argO//cytR//mhpD//glpF//aer//idnO//dcuD//ilvC//appA//ilvH//phnE_1//sohB//ompF//malI//
LsrR	fecA//tsx//fadE//hycA//tyrP//cusF//gntK//metR//map//
MalT-ADP-Maltotriose	phoR//fur//hcr//fdnG//torA//ybdN//argG//hycD//grxC//sufB//
MalT-Maltotriose-ATP	lpxD//rybB//flhD//nirD//hdeA//cpxA//rrsG//cusS//fimD//allC//
MelR-Melibiose	udp//moaD//hypB//
MetJ-S-adenosylmethionine	dcuA//rnpB//modB//xylB//dsbA//hyaD//tauC//uidC//metH//hofC//motB//manA//moaC//tonB//malQ//
MetR-L-homocysteine	fecD//mdtB//ydeN//dcuR//fhuB//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]	cpdB//yiaK//tsx//paaE//ssuA//purE//
MhpR-3HPP	phnP//hybA//yegR//moaD//ihfA//dctA//
MntR-Cd2+	csgA//paaE//fumB//trpE//fucO//
ModE-MoO42-	oppC//moaD//arcZ//cdd//puuA//fixC//treR//rplS//phoH//cheA//nikB//iraM//cpxR//agaV//chbF//uhpB//nuoB//gltF//mutY//deoD//dmsA//ycjF//folE//yhjA//nuoE//fadH//fecA//cpxA//ascF//uxaC//hha//ybiT//purL//nlpD//mhpB//glcE//gntU//recF//ulaA//bamA//lpxB//uhpB//pheM//entH//modC//bglF//
NarL-Phosphorylated	aspC//nirB//rseB//rhaT//rbsK//glrR//uxuA//mhpC//citG//mglC//artM//hemL//xylH//rutC//qseC//rbsD//cydD//narH//nadC//ybdZ//argO//cyoE//hybG//glcF//aceA//ykgR//prpB//flhD//guaB//phnO//moaE//citX//ebgC//rrlE//gatZ//rbsA//bamA//lldD//glpF//cadB//yegH//gspM//ygeA//mhpR//rrsE//idnK//nanA//yeiL//metC//cueO//nanT//ampE//aceB//puuP//glpE//caiD//aer//chbA//treC//phoH//sroD//cheA//preA//pgaC//srlB//chbF//cheA//eda//srlD//ssuB//malP//fhuE//ada//fliA//hyaB//psd//hycC//rpsR//sgbH//hycD//hdeB//yhjA//moaA//pheM//uhpA//hemA//ahpC//agaA//marA//tdh//qseB//mgtA//purF//purD//gyrA//mdtC//mtr//copA//glpF//malG//ompC//glpQ//fes//aaeA//evgA//entD//rcnA//cysK//hypB//cysK//yibN//puuE//rplT//zwf//torC//xdhA//agp//nuoC//glgX//hycE//mlc//hyfE//dadA//hofO//ascF//
NarP-Phosphorylated	csgD//lpd//argA//dsbA//sroD//sucA//fadL//aceK//glcC//kbaZ//recF//rpsS//purA//ydeP//ugpQ//actP//fimF//exbB//nuoJ//nuoE//glgA//grxC//focB//artJ//ccmF//cynX//gltV//aroM//prfA//csiE//trpC//pck//xylR//rutC//tadA//hydN//cyaR//mdtD//caiF//chbR//cysB//gatA//grxC//gatC//focB//ompW//lysA//ynfF//ompR//yeaD//
NhaR-Na+	dadA//hyfJ//cdd//argR//fhuB//citE//metA//
NikR-Cd2+	hycG//cynX//rutD//yoaC//soxS//citE//
NikR-Co2+	cysU//copA//araC//glnK//sgbU//mgtL//
NikR-Cu2+	ugpA//gntR//cysB//bioB//ubiC//yjjZ//
NikR-Ni2+	sbcC//skp//flhD//lrp//ynfE//moaD//
NikR-Zn2+	csgE//ynfE//micF//hofN//pdhR//glpK//
NrdR-ATP	map//glpX//hyfJ//metB//gadB//nanE//ubiC//phnC//rrlG//
NrdR-Zn2+	nuoG//bamA//baeS//bglB//gabT//entA//cysN//ilvX//hybF//
NrdR-dATP	hyfH//dcuD//emrY//argA//lacA//fis//dcuA//nrfD//aer//
NsrR-[2Fe-2S]reduced	speA//nrfC//mutL//purD//fucR//allE//yciW//ybjG//fucP//aspC//bioC//hemA//nikD//rrfD//moaC//napD//speC//torD//chbB//gltD//fepB//serC//hdeB//tnaC//oppF//manX//artP//cyoE//gatY//aer//cheZ//pitA//aceK//cpdB//mglC//codB//entH//ssb//glpA//amn//psd//yggX//cynX//allE//argF//sroD//uhpB//betI//ygiA//rplB//nuoJ//tauC//bioF//feaB//astA//gutM//mhpE//carB//yeaR//nagE//ydeO//evgA//dpiB//pyrC//ccmG//ydeN//mhpR//fepE//sufS//nrdE//mhpA//yidQ//gcvP//
PhoB-Phosphorylated	hycE//slt//cysC//nirB//narL//lsrK//hisQ//fecR//cpxA//casA//glpC//serC//napG//iraD//epd//hypE//infB//phoA//rpsF//icd//gspK//ydeN//metK//fepB//caiD//hydN//ahpF//dnaN//miaA//hcr//cpxR//hycH//casE//psiE//eda//ulaC//adiC//artM//lpxA//lacA//tnaC//napH//creB//ydhX//cbl//malM//sufD//nlpE//modC//gnd//gltD//hisM//glgS//hemL//rseB//amiB//rpsR//acnB//sdhA//trpL//chbB//
PhoP-Phosphorylated	cusA//tdcB//csgD//hybG//efeU_2//hybG//cyaR//entD//speB//argO//patZ//rrlB//garK//caiB//pgpC//ppiD//ilvG_1//ygaC//dadX//xylH//bioA//hypA//frdD//rbsD//cstA//rseB//lacZ//sgbU//skp//tar//nikD//puuC//ppiD//ccmC//glpA//aceB//zraS//gatD//sdhC//recF//sbcD//csgE//malK//tar//sgbE//gspK//rrlA//argF//lldP//oxyR//rutG//ilvC//fldA//fadE//hyfA//hdeD//napA//
PrpR-2-methylcitrate	rbsA//sgbU//gutM//ssuC//aceK//
PurR-Guanine	umpH//allD//rrfB//lysA//sdhD//rpsP//cysU//hha//lolB//gltV//galK//casD//adiC//fixC//tdcB//moaE//xylB//fadL//rhaD//araF//glcG//rrfE//glpB//phoB//thrV//serA//cysI//phoQ//rrfC//nusA//asr//dnaA//ftnA//manA//
PurR-Hypoxanthine	fhuA//rrfF//uxuR//rplV//hyfD//paaE//tdcE//ydhV//pepT//eda//mhpC//puuR//yidQ//nrdF//glpD//recF//caiC//infC//amtB//nikB//hupA//ppiA//feoA//ileV//lsrC//rhaA//cadB//entE//pgk//fhlA//ccmD//gspG//dmsD//rutD//
QseB-Phosphorylated	avtA//phnC//rrsG//dmsD//
RhaR-L-rhamnose	entE//gltA//
RhaS-L-rhamnose	yeiB//cvpA//hybC//puuR//bioD//chbF//
RstA-Phosphorylated	hyfC//paaI//mhpC//fumB//aaeX//betB//yhjC//fimF//paaH//nrfD//
SoxR-[2Fe-2S]3+ oxydized	pgpC//hyfI//gntU//adhE//
TorR-Phosphorylated	gabD//manX//yaiW//spf//ampD//mhpF//ilvI//ahpC//aroF//casD//
TrpR-Tryptophan	sucD//aceA//puuE//pheS//glnK//gltT//fumC//uof//pstS//sufS//infC//rplW//
TyrR-L-tryptophan	glcB//asr//creC//ynfG//glcF//betB//trpD//xylF//rpsO//pheM//ilvC//phnM//baeS//rplB//
TyrR-Phenylalanine	aceB//yjjZ//nrdA//fepA//yfiP//dgcZ//alaS//dppD//glgS//iclR//xylF//arcZ//sucD//ycjX//
TyrR-Tyrosine	ybdN//fumC//flhC//nuoJ//metH//fis//glpG//caiA//cheW//azuC//fixA//ilvC//rstB//garL//
UhpA-Phosphorylated	yaeP//
XapR-xanthosine	casA//nlpE//
XylR-Xylose	pheM//epd//fhuB//sdhA//fhlA//paaA//
ZntR-Cd2+	ulaA//
ZntR-Hg	hyaA//
ZntR-Zn2+	icd//
ZraR-Phosphorylated	glpF//purE//acnA//
Zur-Zn2+	yeiP//hyfB//astE//livM//mdh//metI//
