#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	lsrB//ccmD//tdcE//trg//
ChbR-Monoacetylchitobiose-6P	cadC//moeB//osmC//cas2//sbcD//rnhB//
CpxR-Phosphorylated	uof//xylR//fimA//rrlH//rutB//fimG//spf//pck//prmC//hcr//cysP//cspE//efeU_1//nanE//gspH//csgG//dpiB//rbsA//phnK//ilvM//fimD//abgB//tdcA//hofP//gatY//aceE//argP//alaU//uidA//nuoF//fimI//soxR//paaB//paaJ//ygiA//pitB//dsbA//ybiT//sgbU//hypB//dmsD//idnT//fumB//trpA//galM//proP//copA//cytR//bioD//lolB//aceF//lsrC//patZ//rplI//argE//pyrC//glgX//dcuS//casB//frdA//glrR//melA//rplC//ftnA//ada//ahpC//fimG//treB//alaT//
CreB-Phosphorylated	ilvX//lrp//oxc//melA//ykgM//cusA//hypE//moaA//prpC//
CueR-Ag	puuD//entE//acrF//envZ//ftnB//sodA//cysN//
CueR-Cu+	arcA//hyfE//ompA//hyfD//ispE//caiA//fadB//
CuerR-Au	ynfG//hycI//gspE//fixC//aceB//hycI//nhaA//
CusR-Pasp	gapA//hofM//srlA//rbsC//priB//serC//lpxD//ppdD//fadL//puuP//trpB//crr//
CynR-Cyanate	nrdD//ykgO//cueO//gntP//
CysB-N-acetyl-L-serine	pta//fur//chiP//gspH//galS//yhjA//glcD//xylG//mntS//gatZ//csgC//fadB//adiC//rprA//glcG//ugpQ//arcA//aspC//fimC//tdcG//pheM//ykgR//araJ//yfdV//dcuB//lysC//hyfB//entD//aceB//purF//
CysB-O-acetyl-L-serine	azuC//lacZ//hycA//yaeQ//yfeW//nlpD//hycD//serC//prpE//ysgA//narX//atoD//feaR//glcE//araE//uxuB//paaH//yaeP//fhuD//hofB//hmp//fepE//agp//citF//yfbR//yebE//dapB//paaZ//adhE//hflC//nikR//
DcuR-Phosphorylated	dctA//aceB//xapA//baeR//soxS//yaiA//hycB//livG//mtlD//
DnaA-ATP	waaH//caiA//xdhC//phnH//fnr//baeR//paaB//sufS//moeA//galK//rrlE//cdd//
DpiA-Pasp	arfB//mdtB//napH//narG//ygbA//nagB//sgbH//napC//aaeX//moeB//hycH//
DsdC-D-serine	motB//nuoI//fucO//
EvgA-Phosphorylated	trxA//cirA//bioA//puuA//fadH//alkA//xapB//caiD//ychH//malP//priB//nrfF//hydN//metI//appY//
FNR-[4Fe-4S]2+ reduced	glpF//nrdD//rnpB//fadB//puuE//hypB//bdcA//paaD//mtr//fliZ//glcB//ygiA//glpA//dsbA//citD//rplC//yiaL//rnlB//serC//malE//nrdG//yjiY//glpQ//chbA//rrsG//nrdD//gspH//nuoH//pstB//bcsB//citC//azuC//nuoE//gspE//ccmA//gntK//aspA//glnB//gcd//yaiW//dnaA//mhpD//lolB//ccmH//ssb//gltF//gatA//atoD//nagC//nagB//agaA//yaiA//glcA//feoB//hyfB//phnM//uidC//fecE//lysO//argT//agaA//creB//oxc//dmsC//comR//citE//fimD//glnA//sucD//dmsD//serC//arcA//rpsO//rseC//ileT//hofC//purC//appA//glcE//agaV//codB//actP//bacA//iraM//gspH//tomB//hyfR//rrlE//acs//cas1//mntH//lsrG//allD//cas1//ynfE//malZ//rrlB//oppF//nuoB//uidC//galE//rpsR//nrfB//garR//nrdD//cdd//xylH//ydbD//csgF//fau//paaZ//napB//narJ//pstA//ihfA//chbA//cysW//acrD//hybE//tolC//rplB//torC//pnp//argB//galE//nhaA//fadJ//rplS//rrsD//phnK//cpxR//ascF//ycjF//livM//hyfI//hyfC//rdoA//ebgA//atoA//gnd//pgaD//cyoA//ybiT//mglB//puuA//paaJ//rbfA//gspL//rplI//galP//csgE//mhpE//uxaB//deoA//yccA//nac//pgaD//aldA//rstB//ilvM//paaC//speB//cysW//znuB//glcB//paaZ//ackA//hdeA//nrfF//ompR//ugpB//tdcG//chbR//gltD//skp//lysP//rbsA//mepH//ascB//pgaD//focB//nuoE//pstA//cusA//metC//nanK//gutQ//acs//fucI//metI//astE//modB//glpC//dmsC//trpE//efeU_2//caiT//torC//hybE//araD//mscM//ompA//ccmD//rrfA//rplD//mhpD//tomB//degP//hycE//metL//fimD//kbl//rpmI//sucD//hycH//livF//dnaE//ydbD//glrR//agaA//fdnG//nrdG//fliA//hdeA//moaA//acrD//gltW//paaG//lysP//hofM//xdhC//torC//gutQ//yfdE//rdoA//rnlB//atoE//glnL//metN//ydfN//pncB//yrbL//pitB//hlyE//dnaA//glcF//patZ//leuE//nlpD//hyfA//gatY//yiaK//dcuC//argB//metJ//hycG//ygiA//aroG//ynfG//ydhY//paaB//yaiA//pta//ychO//erpA//gatA//xapA//srlD//fucA//cusB//phnD//tap//appX//rbsK//tdcG//cysN//feoB//ynfG//betB//nirC//bglB//bglG//pstA//cytR//yneM//fepA//ilvX//atoE//ptsI//cydD//rpmI//napG//hyfH//torR//rpsS//acrF//ilvE//hyfH//ogt//fumB//fixA//araH//ssb//ybdN//mtlR//
FhlA-Formate	ilvC//napC//rpsJ//idnT//nrfF//osmY//spy//ssuC//cysK//ydbD//dppF//efeU_1//rseC//cas1//rrsH//purA//hcr//pitA//chbA//cvpA//ldtB//argC//livK//pgaD//cynS//gadB//leuE//cueO//gatB//lpd//
FucR-L-fuculose-1-phosphate	araE//pstC//araD//bioF//dnaE//prpR//metH//
Fur-Fe2+	marB//nagB//rrfB//mhpD//araA//hyfI//lpxB//ompW//tar//gdhA//metC//srlE//lysC//prfA//sufC//dcuD//malX//ydhW//dcuA//ydeN//melR//guaA//edd//lacI//csgG//dadA//pck//allC//acnA//malX//frc//ycdZ//ydeO//uxaA//nanS//araF//sucA//ilvD//hisM//ygeA//micF//gspK//yfdX//narH//melB//katG//cydD//infC//rimP//rrlE//ygiB//hflK//tonB//yeaR//dsdA//yibN//ydeJ//ilvY//hypE//sbcC//tnaB//gapA//puuB//envZ//hofO//purA//safA//thrS//puuP//uxuB//bioD//nuoH//livJ//hyaA//dctA//map//nuoK//csgC//chbA//uidB//tfaQ//ilvI//ilvI//ysgA//codA//znuA//hdeB//ydeJ//galE//lpxD//tdcB//cheB//dsbA//nrfD//trpR//znuC//casD//hyfI//garL//ssuC//znuB//fldA//rhaB//avtA//rbsK//gatZ//fhuC//nuoK//dcuB//lsrK//argP//ysgA//glpE//mntP//gspH//astB//tdcG//sbcC//prpB//yaiA//infC//nuoJ//melB//rhaT//glyA//artI//mhpD//hyaB//treC//aceE//mhpE//yeiP//ssb//gspJ//osmY//ydeM//mdtC//grpE//polA//appY//
Fur-Mn2+	xdhA//caiC//cas2//ssrS//yaiA//citX//metI//bioD//malI//ilvM//ykgR//glmY//kbaZ//rplT//phoU//lpd//pgaC//nupC//gntR//cstA//rrlD//sufE//entF//tauD//cydB//nrfE//glcA//trpE//phnK//glpD//cspD//proP//nadC//yoaG//fimC//map//oppB//guaA//acs//rcnA//udp//uraA//alaV//aspA//fucA//glpC//rplM//hypD//rrfD//ubiC//fhuE//yiaM//cspD//fdnG//mtr//paaA//trxA//metA//sufE//cheY//argI//fadD//yeiB//soxS//tsx//sufD//araB//hdeA//argB//gltU//feoC//nrfE//garL//bamE//tyrP//znuA//gdhA//ubiG//yfdV//zraP//dppC//gspD//tehB//hyfB//chbC//nadC//csgD//yqaE//purN//rprA//phnD//copA//artJ//paaE//ygiB//tdcD//citG//chbF//ygiB//tdcD//gltU//fucR//hyfB//ccmB//spy//galP//hyaC//cstA//fhuE//folA//hisM//uhpC//hyaD//fadA//dgcZ//appB//metN//gspH//aaeA//aspA//trmD//tsaE//gntP//ebgA//hyaA//zntA//ygeH//fdnH//lsrD//gspC//galS//ygiA//ftnB//osmY//hdeD//gltV//nuoF//spy//napF//napH//
GlcC-Acetate	mutL//tsx//artQ//priB//ppiD//lpd//mhpA//
GlcC-Glycolate	fucP//rrfG//nhaR//rhaT//tauD//dctA//napA//
GlrR-Pasp56	caiD//
IclR-pyruvate	purF//ulaC//nmpC//rutF//
IdnR-5-ketogluconate	casD//mhpF//gltT//caiD//citD//tcyJ//icd//dppA//
IdnR-Idonate	nohA//paaG//dsbA//xdhB//argO//sucC//mntP//fimC//
IlvY-2-acetolactate	aaeX//torC//
IlvY-Alfa-acetohydroxybutirate	manA//crl//
IscR-[2Fe-2S]1+	ygaC//abgB//gatC//sbcD//rutE//ahpC//fucU//entD//metL//putP//prpD//glnB//dkgB//bacA//gspG//fiu//sgbH//slyB//paaE//crl//phoB//yaiW//paaA//baeR//rimM//mcaS//yeiB//tsx//yccA//mhpR//torC//yiaL//ilvG_2//amtB//nanC//znuA//yfdX//idnD//amn//dgcZ//uxuB//
LldR-L-lactate	cpxR//moaA//moaA//
Lrp-Leucine	actP//nuoA//adhE//ldtB//speA//cstA//rrsB//ydeP//nikE//malZ//psiF//mdtD//ssuA//nuoG//gspL//fadD//purB//dmsA//csgA//nanA//ilvY//amiB//rrfC//nuoN//lsrA//nupG//phnN//ung//rplB//hybO//fepC//napC//malI//csgG//gcvP//tpx//rpmI//mipA//ydhW//fadI//rpoH//erpA//fucR//mhpD//spf//rrlC//cirA//garP//hyaB//lsrA//ynfF//agaV//csgG//tnaC//pepT//tadA//aspC//aroM//livJ//metQ//xylR//glgS//rrsA//ansB//uxuR//yhfA//bglB//napC//hybG//napH//ilvE//erpA//rcnB//bglF//adiC//nhaA//tsaE//glpB//rhaS//napH//dps//nanT//hisJ//glpR//livG//lolB//cpxA//uvrA//puuD//atoE//rnhB//ychH//treB//rpoS//rrsE//uxuA//cydC//sufB//glcC//dpiA//rimP//fadD//osmC//malG//tauA//murP//
LsrR	cueO//marA//cydB//codA//tehB//moeB//ilvL//mntS//gntR//
MalT-ADP-Maltotriose	glnA//cynS//ccmA//mgtA//abgT//flhD//nuoB//soxR//arcZ//raiA//
MalT-Maltotriose-ATP	yeaR//tdcB//frdB//fixB//ileV//ssrS//metA//ssuA//rpsC//efeU_2//
MelR-Melibiose	tdh//malZ//fdnG//
MetJ-S-adenosylmethionine	purL//entS//acrD//lacZ//ybfN//iscR//tomB//oppA//nhaA//nirC//tomB//hisM//fepB//gatY//speA//
MetR-L-homocysteine	napC//hyaC//napH//carA//tfaQ//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]	prfA//nuoL//astC//cysD//araF//hyaF//
MhpR-3HPP	slt//ppiA//galS//glgC//nanE//ssrS//
MntR-Cd2+	crr//fecI//uxaB//nrdF//metL//
ModE-MoO42-	metA//znuA//rcnA//rrfG//acrB//fepC//polA//tdcD//gltA//fimI//rrsD//rutB//fixB//aaeX//rplB//norV//hslJ//speC//fucK//ahpF//yqjI//nrdA//dppA//hyaF//ndh//carB//sucC//hyfB//ygbA//speB//puuB//prpE//mtlR//yiaL//fucP//grpE//hyfD//citF//cpxR//lolB//tehB//alaV//micF//rpsQ//cydB//citD//
NarL-Phosphorylated	nrdB//fbaA//paaF//lsrF//tadA//motB//purA//pflB//uidA//fdnH//ssuC//gltW//priB//fhuF//ydfN//fucK//fucU//citG//yjiY//ispE//lysA//rplI//gltU//allD//ompC//talA//frdC//hisM//nrfG//cysM//zraP//yfaE//serA//manZ//ybdN//citX//lsrF//ilvY//caiF//motB//pgaC//ivbL//yidQ//dmsA//rrlH//norW//purR//rpsP//hycF//alaS//cpxA//dsbA//argF//mgtL//hycG//ispE//ydhW//soxR//hofP//mgtL//acrB//ydiU//nikD//tap//ssuA//pitA//paaC//modA//ccmE//glpA//alaT//tsr//secB//rrsC//metE//rrlC//purM//fadL//nlpE//fadA//hyfJ//fecB//ptsG//narI//ompR//focB//acnB//narG//ilvN//ptsI//nuoJ//citC//phnM//rnpB//napG//pgaD//pgaA//fhuE//ccmH//appX//ryhB//rplD//abgB//sodB//hyfJ//ftnB//gapA//artJ//mepH//polA//glpR//ldtC//exbD//sufE//ompF//rplC//glnA//frdA//ygiB//glyA//lsrR//argI//fimF//fadI//sbmC//
NarP-Phosphorylated	rrsA//yiaK//hycA//nfuA//cysG//gntK//pheM//entE//fimH//ompR//adhE//pepT//garR//yjeF//idnO//ccmE//hycE//araJ//aroL//ccmA//marA//nupC//aroF//nrdE//citF//bcsZ//uxuB//rpoE//gcvP//cas1//chiP//polA//aroP//aer//tauC//malS//pepT//mglA//pepT//fnrS//pheM//rhaT//infB//fucR//patZ//acrB//paaD//rutD//malX//ppdD//
NhaR-Na+	nuoJ//iraD//xylG//yfdE//caiC//moaD//rhaR//
NikR-Cd2+	map//yaeQ//phoP//hybC//cusA//cyoD//
NikR-Co2+	hdeA//folA//cpdB//crl//csiD//ebgC//
NikR-Cu2+	pheM//tdcB//cyoD//livH//rrlG//glpE//
NikR-Ni2+	nanE//ydeA//gntK//rutG//glpT//oppA//
NikR-Zn2+	rseA//hyfE//fau//gcd//fucA//lpd//
NrdR-ATP	pstB//rplW//frdA//cas1//rplD//hybC//frc//rhaA//gcvH//
NrdR-Zn2+	casC//iraD//lsrD//araF//yjeV//puuC//rrlH//dnaA//fucR//
NrdR-dATP	agaA//ompA//yhjC//lysO//narJ//uraA//lysA//rpoE//yggX//
NsrR-[2Fe-2S]reduced	ompC//creC//speA//srlR//cyoA//lolB//rnpB//ptsH//cvpA//oxc//fhlA//hypB//tauD//hyfJ//rrsE//lacZ//rhaR//phoB//araA//atoD//citE//glpX//phoB//rpoS//lacY//bacA//hycI//zraS//rpsF//serA//nuoA//bglB//phoR//cpdB//mdtA//gntX//hflD//xapA//fecR//gntR//uhpA//motA//umpH//cysN//rpmI//gcvH//rrfD//trpB//zraP//hmp//nanC//prpC//hupA//yedX//abgT//creA//pheS//araJ//ccmC//mtlA//mglC//cysG//cheB//fdnG//gatA//cvpA//fucR//ompF//cynR//mipA//idnD//ahpF//hyfH//
PhoB-Phosphorylated	ompF//rseB//rpsF//hlyE//acrE//hyaB//puuB//gnd//ptsI//livJ//glgX//crl//nadC//feoB//argA//ppiA//kbaZ//aceF//ydfN//glpQ//dgcZ//prfA//ilvG_2//ampD//paaG//glgP//malI//galM//idnT//ydeJ//rutB//ulaD//mgrR//cynS//yegZ//codA//fecE//creC//phnE_1//glnD//dppB//hyfC//csgD//osmC//tdcG//patZ//bhsA//gntR//soxR//lacI//frdA//nanA//phnN//rplI//ilvG_2//exbB//pgpC//tauA//aceK//sdaA//purC//
PhoP-Phosphorylated	hflK//bamA//yrbL//cysB//zraS//pdeF//talA//tauB//ssuC//cusF//argA//treC//tehA//puuE//napH//nmpC//fucK//oppA//dapB//znuC//fixC//ydeA//ygbA//uxaB//hofB//aaeX//rhaA//rpoS//zinT//cysI//glpE//mntP//rplV//nirD//hisP//gspI//thrS//aaeX//sufA//codA//betA//ccmA//narX//rpsF//entD//dmsC//fliZ//cyoD//fucK//acrD//rof//ybfN//narG//hybC//mhpT//rcnB//rbsC//
PrpR-2-methylcitrate	lsrC//xseA//atoE//hypE//ung//
PurR-Guanine	ydeJ//purD//sgbE//hyfE//purF//yhcH//rrlD//argF//agaW//cysN//phnD//rpsO//gabT//manZ//pgpC//mtlA//gatZ//ppiA//nuoN//agaW//yhjA//mscM//allE//cspD//mdtA//cspD//prmC//hyaD//trpB//focB//modC//lsrA//yedX//serC//
PurR-Hypoxanthine	hslJ//hofB//iclR//erpA//bamA//xdhC//tnaA//zntA//yegH//tdcE//thrV//bamE//crr//ulaF//rcnA//casD//treR//frdD//tdh//rrsB//yneM//malP//hybA//phnJ//lysO//yiaJ//glyA//ydeA//cirA//uidA//nagC//rpoE//upp//argD//
QseB-Phosphorylated	malX//ycjX//phoB//purH//
RhaR-L-rhamnose	csgA//aldB//
RhaS-L-rhamnose	frdD//puuB//fabZ//ldtB//rrlA//rrlD//
RstA-Phosphorylated	psiF//ybjG//hlyE//puuA//cheR//hybA//cynS//fixA//trpR//nusA//
SoxR-[2Fe-2S]3+ oxydized	lsrF//cysC//atoA//rpoS//
TorR-Phosphorylated	cheA//melR//nikD//puuD//csiD//ilvB//truB//paaC//efeU_2//hflC//
TrpR-Tryptophan	epd//cpxR//citX//aroF//livJ//fnr//serC//cynS//puuD//pyrC//rplB//udp//
TyrR-L-tryptophan	pyrD//ydhW//phoU//guaB//idnR//mglC//rrlA//ilvY//alaT//nrfE//nrdG//purR//sufE//dpiB//
TyrR-Phenylalanine	hisQ//puuC//map//hupB//dusB//uidC//yiaK//speA//pflB//ilvG_1//fliA//purC//recF//malT//
TyrR-Tyrosine	fau//gspK//hisJ//preA//ackA//yneM//lysA//gspF//fhuF//qseC//thrV//dapB//mntP//hisQ//
UhpA-Phosphorylated	umpH//
XapR-xanthosine	ugpQ//efeU_1//
XylR-Xylose	rrfD//ompT//fis//livM//ugpA//fimF//
ZntR-Cd2+	bglF//
ZntR-Hg	deoA//
ZntR-Zn2+	infB//
ZraR-Phosphorylated	arcA//araE//ilvL//
Zur-Zn2+	ilvC//sodB//ilvG_2//cheZ//ilvG_1//nuoK//
