#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	uhpA//paaE//phoE//tsaE//
ChbR-Monoacetylchitobiose-6P	citX//glgS//rrfH//tauA//ydeP//glgX//
CpxR-Phosphorylated	hyaC//hyfJ//rplI//pck//iscS//nohA//malP//dcuD//ydhW//cysA//dnaE//umpH//gabD//pstS//yjjZ//rprA//chbB//trpA//hybD//nlpD//motB//hybG//melA//aspA//dmsA//trpR//galP//gatD//nuoC//dmsD//yeaR//serC//mhpT//tyrP//miaA//bioF//rplS//cstA//astE//glpT//gltU//entS//caiD//purR//recF//copA//ahpF//bamE//nuoM//paaH//ilvC//glpT//nrfA//galE//pgpC//pyrD//sucD//livJ//gltT//ysgA//phnP//gcvH//iscR//bamA//rbsR//gcvT//narK//ompF//hypC//
CreB-Phosphorylated	cyoB//cpdB//metJ//dapD//dsbA//exbB//ivbL//rseA//osmY//
CueR-Ag	rplI//moeA//bamE//hyaC//entB//gltB//gadC//
CueR-Cu+	cydC//serA//hflK//fnrS//argR//fadA//cheA//
CuerR-Au	cra//cusF//nrdB//lolB//purK//lpxB//tnaA//
CusR-Pasp	hyaF//modC//astB//yaeQ//ycjF//artP//malT//torR//dsdC//ycjX//melR//tauB//
CynR-Cyanate	aceF//umpH//rpsO//artI//
CysB-N-acetyl-L-serine	betT//rrsH//dppF//bioA//uxaA//hyfH//ptsI//sufB//lysA//glpX//ilvD//galS//comR//grxD//nhaR//metC//alaT//ybfN//gatA//paaK//atoB//fimD//tpx//sgbE//cydA//gcd//appB//efeU_2//ascB//sufE//
CysB-O-acetyl-L-serine	ompF//ilvB//hybG//yiaO//ykgO//ilvD//borD//frdA//ada//cydA//fecA//melB//yfeW//argI//malQ//chbA//metI//gspK//lhgO//ompC//prfA//ysgA//fabZ//rpoH//tnaB//norW//ilvX//bglG//feaR//ftnB//fnrS//
DcuR-Phosphorylated	cynX//fumA//pstC//gspO//rimM//ydfN//livH//crp//glpA//
DnaA-ATP	adiC//atoB//garK//evgA//rcnA//sohB//ebgA//ileV//nrdD//cyaA//sufB//rseA//
DpiA-Pasp	mzrA//avtA//cynT//mgrR//prpE//aspA//speB//nuoI//dcuC//bcsB//srlD//
DsdC-D-serine	prpR//mgtA//hyfF//
EvgA-Phosphorylated	citE//ccmE//ygiC//rrlE//ung//rplB//garR//pagP//abgT//cusS//sufC//hofO//mhpB//idnK//nanK//
FNR-[4Fe-4S]2+ reduced	lhgO//lacI//nupC//tdcG//rplW//umpH//artI//nuoC//pyrD//sgbU//nuoN//yhjA//narL//lyxK//phoE//nusA//phoR//zraP//nhaR//dppB//rutE//mpl//ycjF//argP//pheS//zntA//fepA//rstA//uidA//manY//nanT//dapD//uvrA//asr//argE//fadI//feaB//hypD//rplV//ynfF//emrK//araH//ybjG//evgA//paaC//puuA//sbmA//cysM//tsgA//yaeQ//yjcH//iscR//hmp//acrF//cysU//yeiW//mgtL//gspI//fliZ//metY//psiF//artI//manA//gpmA//fur//appB//lsrR//soxS//tnaB//sufC//mltC//araE//rpmC//paaK//preT//ygiB//casB//rrfA//ydfH//dnaE//mscM//modC//ycjX//gnd//bdcA//pitA//tsx//rrsH//hycH//nusA//oppF//sgbE//lysA//cusB//grcA//cvpA//phnG//hycF//ldtC//rbsC//fes//pitA//yiaN//gcd//ccmA//bdcA//cirA//yfaE//sroD//yeiP//waaH//acrD//yciW//rrsA//motB//ompC//fepD//frdD//aroH//motA//hdeD//ung//entC//oppA//ppiA//pstS//hybA//dppD//yciW//csgD//allC//nirD//frdA//purB//pgaA//pyrC//lsrB//cynX//aceK//glnK//cynS//fhuC//pta//gntT//pheM//prpD//uhpA//bioC//yibN//borD//rrlE//tpx//mutY//chbC//ybdN//ilvB//yfdV//glgC//agaA//ygeH//rrsB//mhpF//nikE//ygiB//flhD//acrF//hofP//livH//lpxD//fadD//creB//ydhW//evgA//mutL//dusB//exbD//lpd//hypC//ygbA//phoE//mtr//ugpE//bacA//mepH//uhpA//dmsA//bcsZ//fucR//avtA//gntP//artP//hupB//xylH//garP//galP//lysO//sucA//puuE//trpC//tauA//bacA//fadD//norV//pitA//dsdA//phnF//yebE//betI//xylA//metB//yjeV//rpsS//ydhY//paaB//tsaE//pstC//hyaB//rpsQ//alaS//yhcH//fldA//ccmA//rybA//nanS//phoR//lacY//aroL//narQ//yjiY//araE//ydeN//zntA//ompR//glcA//mdtD//iraM//ssuD//uidB//nupG//acrB//pstB//puuC//abgA//pta//sufC//feoC//argP//dnaA//cspD//adiC//fbaA//fucK//acs//yfeW//aaeA//nrdI//ybdZ//guaA//hyaF//iscS//uhpT//codA//hypB//mlc//casC//fur//mdh//speC//nuoG//yaiA//udp//pheT//phnN//hupB//dadA//moaE//chbA//dcuB//hycD//cysI//galM//yeiW//hybG//yccA//lysA//ompX//mepH//trpR//fumC//tcyJ//cytR//tomB//hybB//gltV//waaH//hypA//rbsK//fhuD//rnlA//pta//fiu//yggX//nuoN//uhpB//ynfH//
FhlA-Formate	ynfF//garP//hyfG//yqjA//mepH//folA//aidB//artI//entC//lacA//ulaB//sgbE//gabD//hyaA//alaS//ulaB//rpoE//mepH//phnM//rplD//betB//tyrB//alaS//ilvC//pstB//rbfA//csgG//lolB//cysD//fabZ//
FucR-L-fuculose-1-phosphate	abgB//ahpC//ulaD//yaiA//uidB//map//nirB//
Fur-Fe2+	yfaE//bioC//soxR//ccmG//gspE//torA//yeiP//preT//alaA//fucU//tdcB//purN//ilvN//znuB//mgrB//rplC//bamA//ssuB//ugpA//alaV//mepH//ydhT//uxuB//putP//iraM//ada//malQ//rcnB//xapA//xylG//aceK//fimH//fhuF//chbG//hypB//entB//glnL//rrsC//skp//rbsB//psiE//cheA//ssb//nrfE//phnD//gspG//metJ//envZ//paaG//atoA//yeiP//nrfD//nrfD//ptsG//rhaS//uhpA//glgP//rnpB//lacZ//focB//lsrB//degP//fimF//nikR//casA//adhE//ulaB//rrlE//yaiA//azuC//nlpE//yeiL//sufD//atoE//hybF//cyaA//rhaD//hofM//trg//hypF//cvpA//ydeJ//rplB//gadB//oppB//prpD//yhiD//dmsC//lpd//creB//yeiP//cbl//hyaA//mdtC//hyaD//fadL//nrdB//tsaE//yhfA//hybO//nrdE//nikC//uvrA//amiB//evgA//pitA//yiaJ//abgT//lsrD//rplW//fumA//livM//ynfG//lpxD//hybC//xdhC//argI//focB//trg//rrlB//codB//aroM//caiT//ydhU//napH//nuoJ//chbC//rbsD//mntP//tomB//manA//cynS//mhpA//putP//rplB//narH//nanM//rrfH//hofC//ebgC//
Fur-Mn2+	rbsR//ackA//gcvP//xylR//tfaQ//gcd//sdhC//dadX//phnJ//yeiL//caiE//edd//yibN//tdcC//ugpQ//dcuA//hpt//dsdX//hflD//melA//hybO//yaeP//yhhY//metI//norW//guaB//hypF//tdh//rutE//adiC//ileU//rbsD//chbB//nlpD//udp//lacI//rrfH//mhpC//cysU//chbF//rimP//ompA//yaiA//nuoN//znuA//bcsC//trpA//icd//sgbH//cynR//aldB//nirC//yeaE//mcaS//gspO//yegH//nrfE//cydB//cusF//araE//cheY//cysK//sbmC//ydhV//cstA//csgD//entF//gltW//dmsB//dcuR//cadC//fabZ//dcuR//mhpT//rbsD//ccmH//yhcH//oxc//grpE//hypC//sucD//xdhC//lsrA//uraA//cyoE//rrfD//napG//ivbL//hycB//lacY//flhC//cheB//nmpC//sxy//sohB//hisJ//puuD//glpA//yfiP//ycjX//cysI//bacA//pnp//frdD//hcr//cysM//hpt//yqjA//ompF//modA//rrlE//gspF//micF//baeS//ychH//caiE//tauC//tyrR//ssuC//artQ//envY//cysM//adhE//melR//phnH//fabZ//umpH//tyrP//phnJ//moaB//safA//glnK//ybdN//ydbD//mhpC//paaJ//oppA//yhcH//aspA//sdhD//
GlcC-Acetate	aroM//yibN//deoA//mdtC//fepA//xapB//malY//
GlcC-Glycolate	pta//fimF//dmsB//nirD//pepT//glpF//mipA//
GlrR-Pasp56	envZ//
IclR-pyruvate	qseC//ysgA//hmp//oppB//
IdnR-5-ketogluconate	rhaD//norR//tdh//phnG//dcuC//malF//yjeF//rplM//
IdnR-Idonate	mdh//yjjZ//tyrP//rpsR//nuoA//aceA//bioC//malS//
IlvY-2-acetolactate	livJ//amtB//
IlvY-Alfa-acetohydroxybutirate	glpC//infB//
IscR-[2Fe-2S]1+	ilvY//ynfK//yciW//aceE//xylG//caiC//nrfE//nuoJ//xylA//fnrS//ulaE//fau//aceA//yfiP//ulaD//amn//cyoD//nrfE//ugpE//nanS//sbcC//rrfF//paaB//nrfD//torA//tnaA//murQ//bglB//phoE//garL//oppD//lyxK//puuP//yidQ//srlR//iscR//moaE//ygiB//ccmE//rutC//frdC//
LldR-L-lactate	zraS//hycD//dadX//
Lrp-Leucine	yegR//purC//napH//fepG//aaeR//gspJ//nrdB//rrfC//malX//grpE//aldB//gspH//lysP//yidQ//modA//phnD//envY//dsdX//betI//hupA//modA//ydeP//malF//agaA//narI//uxuA//citX//rrsB//lsrD//emrK//rhaD//moaD//lldR//puuE//sbmA//hyaD//asr//rrfE//lysA//appC//yjeV//casB//micF//ulaB//nrdE//pta//livJ//gspG//hdeA//norW//melB//fadE//purK//uraA//hmp//rybA//caiE//dppA//nadC//cusR//yaiA//metH//nuoN//gcvH//carB//crr//ilvN//adhE//cyoA//nanK//cysJ//rbsR//lsrC//metJ//malK//rplW//rutE//ykgR//ynfF//tadA//hflX//fadD//fimD//yqjA//nrdE//hemA//atoB//csgC//ybdZ//leuE//purC//puuB//preT//baeR//yeiL//sucA//araJ//fepC//chbA//galE//hybE//rcnA//cydB//glpC//chbC//cydA//
LsrR	zntA//azuC//csgB//mtr//ldtB//dcuD//gabD//sdhD//ilvX//
MalT-ADP-Maltotriose	nuoF//nagB//gltB//metK//ybdZ//fecE//cyoD//ydhT//alaT//crp//
MalT-Maltotriose-ATP	fepG//nhaA//qseB//lacY//malP//preT//lsrC//rutD//ydeJ//cysB//
MelR-Melibiose	idnR//ahpF//aroM//
MetJ-S-adenosylmethionine	rpsQ//cusR//tsr//aaeR//deoC//hofM//hycD//purF//lpxA//csgE//glgA//glpB//hyaD//abgA//nuoA//
MetR-L-homocysteine	rdoA//emrY//livM//rhaS//araJ//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]	ubiX//argG//yrbL//lpxD//phoQ//fliA//
MhpR-3HPP	caiA//ykgM//gspI//hycE//map//rbsA//
MntR-Cd2+	cysB//ilvN//lldP//sxy//citG//
ModE-MoO42-	prpB//iclR//fadD//adiC//chiP//nrfB//phoR//guaA//zinT//nrfC//nhaA//hyfD//aldA//cadB//baeR//yeaR//bamE//ssrS//cra//fhuA//ompF//prfA//phnL//ascB//yibN//pyrC//ssuE//ugpE//hisM//cynX//rhaB//pitA//tktB//motA//glnG//casE//speA//hupB//cydA//tdcA//phoR//rrfA//nanS//glpC//fecA//glpQ//
NarL-Phosphorylated	codA//ilvL//ccmB//hyfF//phnE_1//acrB//ydiU//napD//gatD//hypF//fhuC//mpl//caiD//nuoC//iclR//tnaB//bdcA//ompF//cytR//galE//pgaD//garP//lacZ//mdh//cysM//puuA//ada//fhuD//dsdA//hybO//crl//nanT//melA//hybO//hdeD//ccmD//yidQ//ydhW//fliZ//casE//gcvT//speB//xapA//rpsR//cusA//dps//gltU//hisJ//dctA//yfdE//fecC//napA//glmY//emrK//rbsA//glgS//gltV//fhuB//paaJ//citC//fixX//znuB//gltT//garR//cydC//rpoE//pstC//hycE//csgD//udp//tauD//yegR//rpsI//nanC//fimG//metK//cydC//rutA//hybB//gspI//qseB//sucA//paaE//purB//ydhT//xdhC//hycG//fepB//aaeX//yqaE//allE//araC//paaE//rplB//fecD//gpmA//metE//yrbL//rpmI//uxuB//prpC//fucR//uxaC//tsaE//galK//crl//phnF//galS//hyfF//casD//acrD//ydeO//narJ//tehB//gltV//nrdD//pstB//rrsA//gspD//yrbL//evgS//glcG//fbaA//rybA//argI//
NarP-Phosphorylated	yeiB//mgtL//dctA//yccA//uxaA//ydhW//pstC//xylB//qseC//hycA//ybiT//efeU_1//gspK//entC//fiu//paaD//rof//crl//nrfD//epd//chbB//iscA//soxS//lsrA//araA//tfaQ//moeA//cpdB//ascF//serC//alaA//grxC//hpt//fnrS//ppiD//allE//phoB//psiE//guaB//hyfG//ftnA//cspE//rpsF//udp//pitB//tfaQ//argT//aldA//phnI//entE//
NhaR-Na+	speB//phoH//acnB//nrfB//yggX//yiaM//rbsR//
NikR-Cd2+	prmC//yggX//ssuA//rrsH//rrlE//csgD//
NikR-Co2+	tauA//agaA//oppA//chbF//ilvB//asr//
NikR-Cu2+	rrsE//ygiB//moaE//nanC//ydhW//nrfA//
NikR-Ni2+	fadH//creA//lysA//map//glnG//amtB//
NikR-Zn2+	fimF//uraA//bamA//creA//ynfG//dgcZ//
NrdR-ATP	aroH//yeaR//uidA//patZ//manA//fadH//sucC//pgk//ydhX//
NrdR-Zn2+	yegZ//cysA//rseC//glmY//pyrC//ogt//nlpE//ccmC//rrfE//
NrdR-dATP	artM//ldtC//oppA//narX//tktB//hycA//fepB//malY//cysM//
NsrR-[2Fe-2S]reduced	cytR//hycH//ascB//lacI//yjiY//focA//hyfJ//gdhA//gntP//fis//gspE//ung//frdB//qseB//dppA//fnrS//gltD//modA//gcd//folA//dnaA//ompC//cyaR//acrB//ndh//malF//araF//fldA//safA//codB//adiC//pck//rnhB//sbmC//ydfH//lpd//flhD//paaC//ppiD//tcyJ//ydhY//paaJ//phoQ//nuoL//glpC//hofM//idnD//znuB//cysC//dppD//agp//dsbA//rutB//argG//pgpC//hofC//safA//ubiC//ndh//cysA//nupG//katG//nuoN//ydeM//fumA//feoC//gltA//xylF//ilvG_2//cysK//garL//cydB//ugpQ//
PhoB-Phosphorylated	yjeV//tar//purC//rplV//degP//tauB//cynS//phoQ//xapA//dsbA//nanM//umpH//tsgA//rpoH//glgB//folA//ykgM//lysP//cysJ//hofC//sufS//folA//guaA//nupG//purK//rplC//ydeA//fhuE//spy//cas1//ryhB//comR//livG//citF//murQ//envY//phnG//ygeA//hupB//fhuE//fdnG//rstB//bioB//cheW//lldR//aroF//rpoH//nadC//sufA//sgbU//zraR//yedX//ycjX//ileV//torA//ebgA//recF//agaA//avtA//znuB//trpE//
PhoP-Phosphorylated	fucK//ileV//nusA//hycF//yojI//yeiP//nhaR//gspF//rpoS//acrD//rrlH//mdtD//hycD//fiu//ebgC//nanA//oppB//phnI//glnG//torR//ebgC//nusA//aceK//mglC//rdoA//rrsB//fadA//ung//mlc//uxuA//argD//lldP//dnaN//malI//yfdV//lsrB//crp//speA//ydhT//crp//bioB//appX//pgpC//cyaA//yggX//sodB//codA//fepG//rrfC//purC//puuA//sodA//malX//yoaC//bcsB//glnA//puuB//
PrpR-2-methylcitrate	skp//tfaQ//ascB//hcp//mhpR//
PurR-Guanine	phnO//uidA//fadD//acnA//galK//sucB//mhpR//chbR//rrsC//yqaE//glpQ//pstB//speA//ung//cydC//ykgR//aldB//rrsE//xylF//rplW//yqjH//livK//ilvA//yggX//glpK//nrfA//truB//rplP//rrsH//glnB//galK//hofC//ybdN//fimH//
PurR-Hypoxanthine	galK//glpC//yeiW//evgA//fepG//znuA//hybE//dcuS//tdcB//rutF//napF//creA//iscR//hyaA//gcvP//lacZ//motB//fadA//ascF//lyxK//glpG//ilvX//rplC//yjeV//prpR//tolC//cynS//manY//mtlD//glgX//lsrF//yeiL//acrB//waaH//
QseB-Phosphorylated	ilvA//gabT//ppiD//trpB//
RhaR-L-rhamnose	dsdX//treC//
RhaS-L-rhamnose	gntT//purL//fdnI//amn//ychO//rpmI//
RstA-Phosphorylated	yiaL//narJ//fhuD//mntS//appC//prfA//nrdA//tap//hybC//aroH//
SoxR-[2Fe-2S]3+ oxydized	dapB//glmY//cysW//caiF//
TorR-Phosphorylated	yhjC//uhpT//yhjA//hisJ//torA//hybO//xdhA//alaS//entA//artI//
TrpR-Tryptophan	mhpF//sucC//srlR//nhaA//folE//ppiD//nuoI//nuoN//tsaE//phnN//feoB//moaD//
TyrR-L-tryptophan	slt//gntU//fadH//yrbL//ilvL//entC//metY//narL//rpsO//hofM//fepD//narQ//nuoF//bhsA//
TyrR-Phenylalanine	ubiC//fadD//copA//prs//ygiB//narK//csgC//carB//dnaE//deoB//spy//xylB//fucI//mtlA//
TyrR-Tyrosine	oppB//fecA//ychH//gadB//yciW//rseB//dctA//mgrB//fucU//ompR//sgbU//safA//sufA//mdtD//
UhpA-Phosphorylated	lldP//
XapR-xanthosine	yhfA//gntX//
XylR-Xylose	bglG//manX//ebgA//pflB//glgX//appA//
ZntR-Cd2+	metR//
ZntR-Hg	aaeA//
ZntR-Zn2+	yqjH//
ZraR-Phosphorylated	tdh//feaR//yibN//
Zur-Zn2+	cysG//grxD//gspH//paaA//nupC//ugpA//
