#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	nuoJ//rutE//csgF//hypC//
ChbR-Monoacetylchitobiose-6P	ilvB//yaeP//ompX//ivbL//agp//trpE//
CpxR-Phosphorylated	rpsJ//fecA//phnD//purM//adhE//hofC//hyfE//galE//azuC//lacA//agp//ryhB//efeU_1//emrK//murQ//psiF//srlB//rpsR//nhaR//cysA//treR//crp//idnT//yegZ//rrsG//cysW//metA//ccmF//mgrB//phoR//lsrR//ccmG//pstC//ygeH//fldA//purL//srlE//gltF//tdh//araC//tsgA//ilvM//sucB//pepT//nagC//hfq//artP//metE//osmC//malQ//allC//appB//waaH//oppD//argD//glcD//yqjI//sdaA//malQ//metA//feoC//proP//ycjF//uhpT//nagA//fecE//zraR//rbfA//phnM//
CreB-Phosphorylated	uidC//phoQ//codB//hycA//lsrA//lsrK//yjjZ//puuD//bioA//
CueR-Ag	csgB//sgbU//livK//bioD//tdcG//iraD//fbaA//
CueR-Cu+	xseA//yccA//pdeF//ubiA//purD//lyxK//bcsB//
CuerR-Au	rrsH//casE//dcuR//tcyJ//mzrA//zraP//oppB//
CusR-Pasp	pgaC//cydD//thrV//purF//yciW//yeiW//purR//fucR//caiF//paaG//cusC//rrlG//
CynR-Cyanate	nuoK//ndh//phoQ//yeaE//
CysB-N-acetyl-L-serine	yhcH//sufS//ynfH//cysG//tktB//chbA//cheA//csgB//yeaR//copA//ytfE//csgC//hofP//infC//sufS//glcD//gpmA//lysA//alaU//pck//pheS//hfq//purR//mgrB//dps//rcnB//dcuA//ulaD//nrdH//hybC//
CysB-O-acetyl-L-serine	ccmE//cysA//mhpF//rpmC//csgE//mipA//entB//fimG//fumC//fepG//arcZ//cheY//actP//hdeD//fhuD//csiE//paaC//tsgA//ilvN//trpR//cusA//ahpF//umpH//pgpC//rimP//napG//cysP//ccmF//carA//dapB//rseA//
DcuR-Phosphorylated	yccA//rrfF//gspJ//frdC//paaH//uidB//lacA//fucI//lacI//
DnaA-ATP	cpxR//idnO//metF//ileT//fur//cysJ//araJ//ydeO//dmsB//artI//puuD//nadC//
DpiA-Pasp	chbA//rnhB//rrsD//fhuC//zraR//ssuD//xapB//narL//uhpT//hypC//glnA//
DsdC-D-serine	paaJ//dcuS//bcsB//
EvgA-Phosphorylated	cysU//glpX//ynfK//glmY//gpmA//narI//cysI//narH//yhcH//gltU//hemA//rutA//hycI//lpxA//yjjZ//
FNR-[4Fe-4S]2+ reduced	moaE//hycI//pnp//mntH//epd//ynfG//fepA//marA//oppF//phoP//oppB//puuB//lysU//hcp//yeaR//glnB//ompC//entS//rrlG//iscS//fimF//tadA//purE//mepH//ascF//manY//tauC//metB//creD//lsrA//malS//osmY//garP//mcaS//betB//mltC//srlD//dadA//ileT//ydiU//cysB//ansB//yoaG//trmD//pta//purF//ydeJ//tdcC//malI//glpX//guaB//gspG//iscU//aceK//glcE//metE//purN//hyfA//appB//acs//zinT//ytfE//alaV//rutF//astA//glpA//csgA//purA//aroL//mutY//hflK//garL//deoC//ychO//frdD//rpsS//nanE//fimG//chbG//yaiW//fbaA//hemA//rhaS//fucO//dppF//pstB//puuD//trpC//malQ//csgC//ppiD//lsrG//feaB//hupB//adhE//yccA//mepH//appY//ynfH//phoA//hofC//uidB//caiD//lldP//rpsP//nohA//citD//fhuE//prpD//sucD//argP//purR//aroF//crl//argF//fumA//pgk//pgaA//phoQ//agp//iclR//entS//actP//tauA//ilvB//aroP//lysU//fdnH//nrfC//sgbU//oxc//ynfF//osmC//phnD//cpxA//oxyR//hypB//rplS//nikA//gatD//hisJ//artI//casB//ilvB//ssuE//araB//yhhY//yjiY//nusA//rseC//dmsD//mglB//metL//mhpR//dadX//cra//nrdF//ycdZ//artJ//mgtA//rstB//rpsF//ygeA//atoB//iscA//rutE//yeiP//gdhA//tdcG//cydD//fucR//napF//entF//tdcG//hycC//purF//sufE//caiB//ada//hycF//borD//rplM//narJ//napF//cysB//rimM//argO//fadI//melA//phnH//fiu//yqjH//srlB//lsrG//efeU_2//amiB//nuoG//murP//paaJ//gutQ//metF//hyfA//ssuA//nrfG//hmp//mgtA//yojI//truB//fiu//cysU//pgpC//aaeB//srlB//ada//ynfH//phoU//bdcA//dcuR//thrV//napB//ynfG//sufD//cas2//pck//bamA//fimA//cvpA//metB//dppD//glpB//hycI//dppA//mgtA//rrfE//fur//yfdX//comR//dcuD//garL//dpiB//iclR//rpoS//phnE_2//yegR//iscU//nanK//gltW//metQ//rseA//xdhB//lpd//cheZ//ulaE//ugpE//paaZ//puuE//nrdG//dcuC//sucA//csgA//argD//gatB//oxc//rplD//uxuR//talA//deoD//rhaR//rhaR//aceB//tauA//yqaE//idnR//cyoC//nikE//hybG//gntK//trpR//csgD//fecI//fepE//glnA//frdA//alaT//trmD//modA//tsgA//yaiW//gspJ//gltF//prpC//fecE//mpl//hflX//metF//cspD//puuE//mutL//nikR//paaA//uvrA//cheA//ascB//hypA//zwf//
FhlA-Formate	malM//hyaA//dppD//hybE//pitA//cra//glpF//tsx//sucD//yoaC//xylH//preT//nagE//purM//nirB//borD//nadC//tomB//rplI//yfeW//rstA//gspD//mhpF//gntX//dapD//hycH//yhiD//prpD//araD//allE//
FucR-L-fuculose-1-phosphate	pheM//rprA//alkA//hybA//tsgA//dmsB//artM//
Fur-Fe2+	trpR//moeA//phnG//acnA//ivbL//carA//mntH//malE//puuR//moaB//tauA//cvpA//dmsC//nuoG//ompR//phnG//phoH//argD//infB//sohB//metN//manA//rstA//fumB//recF//rpsJ//hypD//cynS//lldP//fucK//gatC//aceB//hybG//nrfA//hyaB//tonB//miaA//deoD//casB//uxuR//acrA//nfuA//ydeA//hybO//nrfC//dcuC//mhpE//tktB//malQ//rrlG//glnG//moaE//cadB//purL//sucA//cysH//dcuC//ilvD//malE//bcsZ//ilvC//rrlB//dnaA//infB//tktB//gspG//fur//yrbL//torD//dcuR//dsdA//xylG//dsdX//betB//agaA//phnI//tsgA//nagE//nirB//purF//dusB//uxaA//fucR//umpH//safA//hflX//aroH//tktB//rnlA//ulaD//napH//nhaR//ykgR//pnp//modA//amiB//frc//lamB//manA//rrlH//oxc//murQ//narI//skp//uhpT//ugpQ//nrdE//ssuE//entE//narG//napF//tsgA//dcuC//melB//phoA//nrdG//ysgA//cysD//lysA//fimF//tam//rof//deoB//tnaB//bioC//ahpF//hmp//malY//upp//ynfF//paaZ//yaeQ//nikE//treR//ygeH//sodB//betT//nanT//metI//fadD//
Fur-Mn2+	ompX//gltF//gspE//cusF//rstB//hha//yccA//yqjH//dapD//fimH//ydeN//csgA//ssuD//chbR//rplS//baeR//trxA//malQ//phnF//feoC//dcuS//yaiW//prpE//aaeB//csgD//fadJ//lacI//manZ//ydhW//bioB//rpsP//hypB//truB//cysD//mscM//nadC//rutG//lacA//fhuA//lsrF//lsrK//exuT//nrdB//yeiW//ssuA//sdhD//ssuB//ydiU//hycH//phnI//iraM//speC//torC//astC//sxy//glpA//aldB//galM//rpmI//dsdC//malT//creD//zntA//dapD//grpE//rrfD//rrfA//mhpC//nfuA//dpiA//ptsI//nanK//ssuD//tyrP//hisQ//ascB//sucA//dmsD//ydhU//rrfB//purL//znuA//glnK//pdhR//purF//rbsC//entA//yqjH//epd//ydhX//yfaE//nanT//ubiA//ileV//pstS//gatC//nanS//cusA//rpmC//cvpA//osmY//tehB//gatC//nrfF//rplC//ygiC//spy//leuE//moaB//mtlR//acnB//cydA//cynX//phoP//mdtD//fhuF//mntS//purF//agaA//ilvY//frdC//yhhY//efeU_1//hyfH//mepH//cas1//rpoS//bglF//focB//rnlA//lhgO//hha//rrlB//atoE//hycB//araD//bioB//tar//argE//cyoB//
GlcC-Acetate	nrfA//soxR//ccmB//rutC//alaA//glgS//lsrG//
GlcC-Glycolate	katE//ilvL//dsdX//glmY//csgG//entC//cysH//
GlrR-Pasp56	argH//
IclR-pyruvate	yhjA//rprA//rbsB//narG//
IdnR-5-ketogluconate	yneM//ubiX//manY//araH//prpB//argO//rpsJ//nrdG//
IdnR-Idonate	cstA//ccmC//torR//yhjC//mdtD//cysP//prpB//ynfG//
IlvY-2-acetolactate	exbB//frdB//
IlvY-Alfa-acetohydroxybutirate	rstA//puuD//
IscR-[2Fe-2S]1+	tap//argA//purK//gspM//hyaD//eda//xylH//cysC//nrfC//metJ//zraS//ygiA//hofC//ubiA//ssuA//sdhA//nrfC//gatD//nupG//caiF//pflB//ompF//cyoD//lysU//sbcD//rstB//serA//ulaE//focB//fecE//gabD//ispE//yccA//livF//flhC//fbaA//glnK//infC//baeR//ulaD//cysG//
LldR-L-lactate	frdA//prpD//ccmF//
Lrp-Leucine	chbF//garL//uxuR//feaR//ssuB//sufA//glcD//lsrA//uxuR//torC//crr//yidQ//ubiC//fucK//pncB//pgpC//ssrS//hyfA//ssuC//sgbU//idnD//hycC//paaH//tyrP//sucD//pitA//hycA//lpd//argD//lsrR//fimI//iscA//trmD//metQ//malI//fau//trpE//katE//thrS//yjcH//appY//gspM//guaB//lacY//rrlH//metB//motA//deoA//nuoE//ilvN//garL//dppD//ulaF//ampE//ulaE//katE//tktB//nuoC//gltW//glrR//hycD//prs//napD//nagC//artQ//cheB//caiC//tyrR//epd//motB//metY//fimA//alaA//nrdG//tdcD//puuP//yiaM//osmY//malP//envY//cheB//alaU//glnL//artP//yeiL//galP//nohA//comR//sucD//lysP//dmsA//ubiC//comR//iraM//ygiB//ybfN//rpsQ//bcsB//paaH//bcsZ//gutM//appC//moaB//caiA//pgaD//yiaJ//
LsrR	livM//iraM//gspC//cysP//tsgA//paaG//gapA//cadB//phnH//
MalT-ADP-Maltotriose	oppD//cyoB//sucA//hisJ//frc//fdnI//rrfB//oppF//glnK//rdoA//
MalT-Maltotriose-ATP	nuoG//mtr//dsdA//mltC//hypA//dsdC//gntU//ugpQ//yeiB//yhfA//
MelR-Melibiose	ysgA//yccA//ompC//
MetJ-S-adenosylmethionine	ycjX//dcuA//gabT//comR//yeiP//bioD//hyaA//galM//hycE//speB//galK//rpsI//spf//mhpF//creC//
MetR-L-homocysteine	nirC//avtA//rrfC//pta//moaB//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]	ydhU//cysG//sucA//fdnI//frdC//rrsG//
MhpR-3HPP	yqaE//guaB//yjeF//puuP//sufB//dadA//
MntR-Cd2+	gltD//phoA//atoE//acs//fadH//
ModE-MoO42-	fadL//gdhA//cynS//hemL//pitB//idnK//pgaD//bacA//lsrA//yeiL//yaeQ//borD//betA//ilvL//serA//treC//araD//csiD//ryhB//yfdV//pepT//fumC//rplP//argP//nmpC//yedX//cynR//hycE//livH//pgk//ubiX//fiu//ileT//rrfH//fimF//mntP//upp//qseC//rplP//napA//casE//arcA//sufC//citF//nrfA//yecR//
NarL-Phosphorylated	sbcC//uraA//napH//fimF//malT//adhE//mntS//napD//hyfH//ccmA//rbsR//flhD//citC//nirD//cytR//cheZ//carA//phnP//yegR//oppA//mscM//cusC//dapB//udp//hisJ//citE//gntK//cdd//yqjH//lsrA//glpA//napD//aaeX//phnM//katE//casE//ybdZ//mscM//yhfA//hyfC//grpE//cyaR//phoH//ulaE//norV//phoP//paaK//metH//ydfH//yqjI//azuC//gadC//ebgC//rhaR//yoaC//nupC//yhiD//phnO//cynR//napA//rplI//waaH//deoD//phnL//kbaZ//yfiP//mhpA//acs//paaA//norW//rrfG//acnA//envY//sufB//narH//trg//azuC//ygbA//ompT//gapA//glnA//treB//rplM//puuE//puuC//prpC//fdnH//fecE//phoU//treR//hyaC//safA//envZ//emrK//hflC//ryhB//cvpA//nupC//acrE//lacA//cpxA//ydhW//nrdF//guaB//pgaA//hcr//garR//pyrD//nanC//focA//yibN//nrfD//sbmC//hofB//cpxA//prpD//fliZ//nikE//hycC//agaV//frdD//nrdH//rimM//sgbU//rpmI//
NarP-Phosphorylated	phnH//cysI//narH//gapA//ynfG//fimF//fadB//mhpA//hdeB//ftnA//carA//lacI//mglB//fldA//malE//mzrA//leuE//nanM//atoD//prpE//phoQ//edd//pyrD//citF//fnr//leuE//araG//fdnG//mtlD//sgbE//azuC//aroM//amtB//flhD//yqaE//ydhV//yaeQ//fimI//rpsF//cusC//casE//gltV//ulaC//chbB//chbG//ygeA//pagP//yiaK//envZ//lpxD//
NhaR-Na+	cspE//citX//yfaE//znuA//crp//cysC//hycG//
NikR-Cd2+	efeU_2//preT//dppB//cysW//melA//ilvB//
NikR-Co2+	cusA//chbG//fecC//preA//dpiB//ccmA//
NikR-Cu2+	purH//hycB//agaW//ilvM//puuD//dcuR//
NikR-Ni2+	mtr//argI//nohA//narH//trpD//ybiT//
NikR-Zn2+	metR//rrlA//baeR//crr//tktB//tauA//
NrdR-ATP	ygiB//caiE//phoA//ygaC//gatA//ynfK//fliZ//yfdE//csgG//
NrdR-Zn2+	katE//manY//hypE//hybC//mscM//rplC//murQ//araE//asr//
NrdR-dATP	nikE//gyrA//chbC//aroF//bacA//cheR//csgC//grxD//lpxA//
NsrR-[2Fe-2S]reduced	efeU_2//narH//hflX//ccmF//allD//cpdB//fiu//tehA//sucD//xdhA//stpA//borD//galK//fhuE//ynfK//glcF//sgbH//fumB//glpK//rpsO//hycC//srlR//rrfG//nirC//yidQ//mntP//marA//gspF//sucC//ytfE//rpsQ//dcuB//atoA//phoA//rplB//ahpF//yqaE//fumC//hofO//yjcH//aldA//mglB//pstB//malP//tauD//paaB//yccA//hycG//tnaC//livH//aaeR//fucK//artP//narH//glnD//katE//trpB//hisP//ebgA//nadC//gntP//yoaC//fecA//recF//ccmE//phnO//gspJ//hybA//fbaA//hyfB//aaeR//xapA//nrfG//
PhoB-Phosphorylated	yjeV//hybA//yfbR//thrV//cysN//crr//rmf//ybdN//entH//phnJ//cysN//bcsC//ung//alkA//pheT//znuA//gnd//mdh//melR//codA//ilvG_1//metJ//uvrA//garR//deoD//fecD//mglA//fldA//treR//caiB//rimP//ppiA//nuoH//tdcB//trmD//mtlA//yhjC//gatY//lhgO//gatZ//sbmC//gntT//ulaF//glpE//aspA//gapA//ulaE//nanE//ebgC//tauD//prpB//phnD//nanT//cysH//hyaD//phoE//yjeF//gcd//rbsD//cadA//hisJ//
PhoP-Phosphorylated	rrlD//ssrS//phnN//prpR//chbC//fumC//fucK//yciW//lysA//ydhW//paaJ//appY//argD//aspA//ilvN//purR//hycI//napG//ydiU//rhaD//phoB//fimC//hyfD//cysB//csgE//pitA//pheM//envY//gnd//ygeA//rstA//lsrA//narQ//serA//acrF//nagA//nfuA//dcuB//glpQ//csiE//tdcG//acnB//argA//rpoS//lsrR//sxy//bioD//secB//norW//caiE//ulaC//torR//purC//hofP//cysK//yeiP//ilvC//
PrpR-2-methylcitrate	hypD//rrsD//rplS//caiB//pstS//
PurR-Guanine	betT//ydeO//prpR//hypC//modC//patZ//mhpR//hycH//nrdG//hyfD//deoC//yaiA//ccmH//mglB//gntT//phnM//xdhA//fau//gspL//artQ//nanC//ssb//malI//bdcA//metQ//nuoB//fhuD//ascB//focB//nrdA//psiF//fhuB//bcsA//gspD//
PurR-Hypoxanthine	tdcE//cvpA//mhpB//rpsJ//hflD//casA//spy//ackA//nrfA//ysgA//betB//sroD//gcvP//nagC//sdhB//gcd//rbsR//infC//malM//glpD//hybC//rhaB//argT//ccmH//hypD//entS//baeS//oppF//artJ//phnE_2//idnK//mhpA//yhjA//malF//
QseB-Phosphorylated	focA//sucC//pitA//ynfH//
RhaR-L-rhamnose	betA//ssrS//
RhaS-L-rhamnose	ahpF//idnK//nrdD//fhuB//spf//cspE//
RstA-Phosphorylated	glpC//glpG//nuoJ//glpB//sodA//lsrC//rutB//uidB//metE//ybdN//
SoxR-[2Fe-2S]3+ oxydized	emrK//cysK//caiA//appA//
TorR-Phosphorylated	pdeF//atoD//astE//allC//napG//rbsD//ilvI//rutG//tdcB//rrsD//
TrpR-Tryptophan	cynR//lsrK//cysJ//srlR//entB//hyfD//purD//phoA//nuoN//cysD//nanK//uxuR//
TyrR-L-tryptophan	ydeP//uvrA//hycG//yjeV//cynX//aaeB//glcA//amn//cirA//yneM//cysP//argE//dmsB//uxuR//
TyrR-Phenylalanine	gltF//fau//ychH//truB//bglG//rutC//nirC//bioA//ychH//rrsA//yegH//sdhB//srlD//edd//
TyrR-Tyrosine	yeaD//hcp//rbsR//galE//ilvI//hybD//rplM//fimH//nuoL//puuP//appY//prpD//dapB//atoB//
UhpA-Phosphorylated	galT//
XapR-xanthosine	csgD//lacY//
XylR-Xylose	garL//cas1//paaB//chbG//ugpB//puuA//
ZntR-Cd2+	iclR//
ZntR-Hg	uxaB//
ZntR-Zn2+	yebE//
ZraR-Phosphorylated	mgrB//srlD//nuoM//
Zur-Zn2+	cheZ//norW//fhlA//alaU//gltD//bglF//
