#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	malI//fdnI//hyaA//infB//
EvgA-Phosphorylated	nrdG//hisM//hyfF//dsbA//yfbR//ilvB//mhpB//gspE//tpx//aaeX//cysJ//dkgB//fadI//livG//ilvE//
FNR-[4Fe-4S]2+ reduced	rseC//galK//srlB//tdcG//betI//ssuB//glmY//hdeA//yiaN//fimE//psd//purL//dcuA//yeiL//ybfN//xylF//hpt//gapA//prpC//nuoL//ogt//rhaD//phnK//rbsC//puuB//ygiB//mscM//fumA//dcuD//malM//cas1//purK//aaeX//ycdZ//adiC//uxaA//rpsJ//abgB//argC//cysM//dmsC//xapB//aceE//dcuD//feoA//frc//tauB//bcsZ//yhhY//entE//gatY//araB//kbl//tdcC//envZ//cyoD//chbA//nrfD//metB//fimH//cdd//xylA//aceE//idnT//ugpA//grxD//pnp//casC//mntH//argE//fepC//borD//ugpQ//hybA//fadJ//hypE//rybA//evgA//miaA//aidB//gspC//gltB//galP//umpH//slyB//fhuC//baeS//ccmC//yqaE//nmpC//nirB//sucC//norR//aaeB//osmY//fhuE//nrfB//malG//fiu//nikC//preA//nikC//icd//cheB//rutE//astE//gutQ//ampE//amiB//alaS//ogt//tdcE//atoE//aceE//phoA//ilvD//fbaA//aroG//nrdG//arcA//gyrA//astA//astD//acrB//dcuB//lsrA//purH//gltF//ebgC//araC//araD//glcE//dsdA//mhpR//paaJ//nadC//tcyJ//bcsC//pitB//tauC//emrK//alkB//bglF//ilvI//argD//manY//trpE//rimP//yhjC//gatC//pflB//frdD//znuA//glmY//lamB//gspO//ccmD//narK//trpA//fucI//allC//ydhV//ascB//aer//lsrR//glcA//cydB//pitB//yciW//avtA//abgT//paaB//livM//rof//mhpB//alaT//puuP//mtr//zinT//cyaA//nagB//psiE//cstA//hycB//ppiD//citX//grxD//metF//argR//cyoE//xylA//rbfA//malK//pheM//yibN//pstS//lhgO//torD//bioF//grpE//paaB//ygiA//trpE//trpL//emrK//alaV//glcB//bioA//ugpC//sxy//fau//ydeM//aaeR//fdnG//yggX//yiaM//araH//guaA//yiaK//uvrA//phnP//ychO//dmsA//ulaB//norR//napG//malM//fepC//glcE//lsrK//hfq//nrfF//rpmC//glnK//trpB//ydeP//sohB//argG//hyaB//nuoF//mhpD//ptsH//ydfH//rplW//hyfF//gutM//rhaT//galT//rnhB//yeiP//hdeD//ulaE//iscS//pgaB//sdhD//mglC//xdhB//rbsB//dcuD//erpA//nrfD//deoB//tam//fiu//fumB//fimH//trpR//arfB//pdhR//pgaC//fecE//dcuS//rpoE//puuC//rseA//fhuB//manY//psiE//nirC//gutQ//phnG//glcA//alaT//bioD//cysU//pgaC//nagA//sgbU//galP//hdeA//lysP//nagE//rutD//mhpA//cspE//ilvG_1//deoD//hybO//paaC//metI//trpD//livF//nanC//pflB//fecB//
FhlA-Formate	motB//glcC//rpsI//gatB//aroP//glnB//patZ//gutM//hybO//puuA//pgaD//trpA//fecB//narI//rbsC//araH//ilvY//citX//ansB//ssuD//livF//purL//nirC//yecR//sgbH//hflD//argD//fimI//fhuF//sgbU//
FucR-L-fuculose-1-phosphate	hybE//trmD//malI//truB//tehA//purM//yjeV//
Fur-Fe2+	betA//glpX//fhuE//mltC//hemL//gpsA//thrV//ycjX//secB//ugpA//argI//rplW//nikB//feoA//rrfB//prmC//ascB//map//fdnI//aspA//atoA//rnlB//phoQ//cyoE//marA//rpsP//creD//glcD//dnaA//hofC//fdnG//fiu//dnaE//fur//gspL//pnp//yedX//ldtC//gltA//marB//modC//fepG//feoA//yfaE//hyaF//csgG//cas1//iscS//astB//bcsB//ydeP//aroG//fimI//ydeP//speB//uxaA//atoE//iscU//gutM//ccmB//hfq//phnP//ptsI//glgX//hybE//phoE//glpQ//hofB//tsaE//iraM//rmf//prfA//purF//mdh//argA//fimA//citE//napC//glrR//sufE//cysI//metH//zntA//dnaN//dppC//ascB//hisP//tsaE//rdoA//lrp//lysO//yjeV//yegR//nrdB//rdoA//rpsR//prpC//uxaA//baeR//ulaC//argI//ydeN//argG//ychH//galT//dgcZ//abgB//fliZ//hypB//yqjA//phnF//yeiW//argE//rpsO//fes//gspF//metJ//livF//cydC//gltV//fhuC//envZ//ssuD//cheW//cysH//ssuA//fhuA//gnd//fecI//caiC//oppB//ilvD//atoD//phnC//rrlD//rhaA//hofO//ygiA//metK//ccmF//
Fur-Mn2+	rrsB//araB//grxD//chiP//citE//ilvL//sdhD//hypA//rplC//eda//sdhC//entS//rimM//ompR//tdcD//ilvB//moaD//aceE//fecR//moaE//fimC//avtA//aroL//srlR//srlB//melB//mgrR//tadA//argD//rnlA//rplW//hyaE//malK//ccmE//tyrP//fixX//glpF//rpoE//metL//fucU//atoD//gcvT//iscR//ubiA//yeiW//exbB//csgC//entH//ryhB//priB//fimA//yciW//katE//alaT//argF//cyoC//lysP//acrA//ulaD//yjeV//cysK//oppA//paaE//ydhT//aroG//lacI//metR//rrlB//puuR//paaE//rpsR//cusB//rrsH//ydhY//qseB//metH//hycC//fecC//atoA//yiaL//adiC//hofM//mgtL//truB//gapA//tyrB//efeU_1//gcvH//prpB//nrfB//mpl//rbsC//cydA//hdeD//artJ//zraP//dpiA//serC//argO//fimA//glpD//ileT//paaJ//tyrR//fadB//ydhT//hyaA//aroA//iscR//fbaA//nikA//amn//gatA//ydeO//hycH//csgA//mhpE//gpsA//mutL//trpD//tonB//aaeB//cynS//pflB//napH//mgrB//aceB//fucO//trpA//phnD//ydeO//lolB//hybB//fixA//malG//frdA//ynfE//lsrF//cvpA//gltA//
GlcC-Acetate	ydhY//rrfG//ydbD//yfiP//aroL//treC//ssuE//
GlcC-Glycolate	lsrB//pstB//dusB//hupB//acnB//hmp//bioC//
GlrR-Pasp56	actP//
IclR-pyruvate	putP//aaeR//dgcZ//bioB//
IdnR-5-ketogluconate	hybA//mhpE//pyrD//metF//rrlC//ispE//hyfB//nrfF//
IdnR-Idonate	hypA//yoaG//iscU//appA//grxC//yeaD//ybjG//fecA//
IlvY-2-acetolactate	phnE_1//fimI//
IlvY-Alfa-acetohydroxybutirate	csgA//fecB//
IscR-[2Fe-2S]1+	nanM//argP//tonB//tauD//narL//yaeQ//osmY//rutD//yiaK//nuoF//hemA//rrfH//uof//tomB//lamB//efeU_2//fucK//exuT//fimD//ssuB//mhpB//zwf//cysI//mpl//prmC//hyfC//trpA//csiE//mutY//fepC//yggX//nmpC//nirD//ftnA//rrsC//dgcZ//sbmC//sufA//sgbE//ulaA//gabD//
LldR-L-lactate	nrdA//tnaA//rrfC//
Lrp-Leucine	hofB//ulaD//purC//ykgO//rutC//entD//nfuA//napF//envZ//gcvT//ydfN//acnB//trpB//rplW//bdcA//hycI//argH//purF//hisQ//lyxK//rutA//ssuB//fur//hisM//acrD//galK//lsrD//marA//ppdD//mutY//katG//ubiC//trg//fhuC//tnaB//pitA//cysW//zraR//mhpA//dcuA//manZ//hyaD//hybO//dmsB//fdnH//mtlA//argP//srlD//frdA//xylB//uxaA//ygeA//sgbE//metJ//azuC//caiC//umpH//fnr//sdhB//lpxB//prs//araJ//napF//glpR//paaD//mhpB//chiP//nlpD//nanK//rimM//manX//ccmA//ccmE//rnlA//qseB//chbC//rstA//malG//prs//paaI//phnP//tyrR//metL//pgaD//pheT//yjcH//cadC//moaC//yaiA//yneM//arcZ//yoaC//trg//dnaA//xylG//napH//entD//actP//fadB//sdhD//nuoJ//nohA//pitB//dcuS//dsbA//hmp//
LsrR	ilvA//rstA//ynfF//malP//tyrA//ssuD//pagP//talA//argE//
MalT-ADP-Maltotriose	srlR//fldA//dgcZ//icd//casE//cheY//hemA//gspE//pstC//pstB//
MalT-Maltotriose-ATP	dmsB//ybjG//cheY//gspO//gdhA//citF//narG//rutB//puuB//allC//
MelR-Melibiose	nlpE//aroM//nmpC//
MetJ-S-adenosylmethionine	nagB//casB//dpiA//appA//metR//carA//hha//livJ//ppiA//xdhB//moaA//zraP//argP//entE//rrsG//
MetR-L-homocysteine	lsrB//ssb//cstA//idnD//cyoD//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]	bcsB//efeU_1//glrR//ampD//cra//mtlR//
MhpR-3HPP	phnJ//gabD//narX//rybA//trg//avtA//
MntR-Cd2+	slt//prs//mhpB//appC//citX//
ModE-MoO42-	infB//purN//argO//argP//nrfA//fimE//prs//flhD//entS//rbsC//ykgO//aer//mntH//gatA//artM//prs//cheB//alaS//ilvG_1//tnaB//rnhB//allC//ygaC//psiF//puuC//ompF//arfB//ilvC//cysI//fimI//bcsZ//dnaA//ansB//pstB//pyrD//hofB//sufD//hpt//rpsP//cyoB//nuoE//glmY//narG//pheS//rstA//hyfF//
NarL-Phosphorylated	gcvP//puuA//phoP//astB//cysH//acrE//ydhV//lacA//ybdZ//dsdX//oppA//yedX//phoE//bacA//mlc//fimI//mdtB//narK//paaF//mgrR//fbaA//zraR//rhaB//nuoE//idnK//prpC//fepD//citF//tktB//ydfH//allE//dctA//tktB//hemL//ulaA//ygbA//torA//gntP//rplP//moaB//hyfB//aceE//rrlB//gatD//aaeB//casB//katG//fecE//preT//citC//hmp//exbB//betI//feoB//skp//fumB//ilvI//mhpT//entS//patZ//dps//lysU//rbfA//hpt//alkA//galT//metH//xylF//bcsC//tehA//gntR//sgbU//cvpA//bioD//malS//ompR//uxuR//fadB//betB//gspK//dadA//ilvX//tnaA//malE//rrsC//rutF//malG//yfdV//alkB//tauD//tyrP//rplT//garL//cysG//purR//yaeQ//nikR//fepG//fadB//yoaG//nusA//ileT//ychO//torR//lpd//cusF//arfB//metI//gabP//rhaD//cheA//pheM//gspM//aceB//rbsK//acnA//entS//ivbL//hycD//yedX//hyaF//nuoM//entS//yiaO//nuoB//
NarP-Phosphorylated	agaW//fimA//cyaR//fnr//fixC//yeiW//ilvX//livH//hyaB//hybD//ydhW//dppA//feoA//yeiP//glyA//cyoB//hlyE//bioF//marR//yeiB//ydhY//epd//hofP//napB//zraS//fimF//narQ//hflX//rrsH//rbfA//aceA//ygiC//sucB//ssuC//phnP//lldP//nhaR//ilvX//emrY//cyoE//purF//artM//appY//nusA//lrp//ygaC//fimG//guaA//phoA//gspO//
NhaR-Na+	mcaS//gspI//malG//rseA//lsrA//manX//zinT//
NikR-Cd2+	nanM//nrdI//frdC//appX//patZ//ubiX//
NikR-Co2+	moaD//aspA//ung//citX//argR//cysC//
NikR-Cu2+	kbl//hybB//copA//nrfC//glpT//nagE//
NikR-Ni2+	mglC//deoA//gltU//pgaD//dppB//fumC//
NikR-Zn2+	uidB//rpoS//yegH//aceA//chbC//cheB//
NrdR-ATP	rrfB//modB//glpT//kbl//yeaR//mpl//lpxB//betA//nanE//
NrdR-Zn2+	hfq//pitA//phnH//aspA//citX//psd//osmY//livM//fabZ//
NrdR-dATP	chbR//cusA//hypE//yiaJ//dcuA//tsx//trpR//entB//moaA//
NsrR-[2Fe-2S]reduced	araA//uidA//rpsR//tauA//ackA//folE//araF//nrdF//atoA//dnaA//narJ//fucU//soxS//ygeH//lacA//frc//hflK//cas2//modA//nuoF//gltU//hflX//xylB//glgS//malQ//entF//ybdN//prpC//paaC//narK//moeB//hycH//nuoN//rimM//ykgR//cheA//aroM//comR//caiE//ygeA//tdcB//ung//tyrR//prmC//fucO//aspA//nrdD//entF//miaA//grcA//nrdB//ldtB//pstS//fldA//iraD//sucD//manX//icd//dmsC//ugpC//ilvM//nagC//acrA//fadL//sbcC//pagP//phoR//glgA//bdcA//dadX//lacA//lsrB//nanS//
PhoB-Phosphorylated	deoC//fecD//entE//phnE_2//artP//psiF//uidB//paaD//ompT//mhpE//infB//citG//rstB//prmC//iscS//purB//malT//dcuB//bamA//motB//ahpF//entB//uxuA//rnlB//entA//ada//paaA//focA//ada//dapB//tyrP//tdcA//hyfB//fadE//ygiB//glpB//qseB//betI//mtlA//oppA//malS//tsgA//focB//ugpE//rbsA//appA//yoaC//thrV//cysC//nuoE//lysP//malM//paaB//hemL//pstS//phnN//yecR//gltD//hypD//rrfB//tauA//
PhoP-Phosphorylated	codB//yiaN//araB//malQ//cusF//prpB//pheT//ydhW//csgG//tktB//narG//araA//creC//metL//asr//gatB//fecC//metJ//srlR//pagP//hmp//agaW//hydN//alaV//mdtB//metN//argO//dnaE//lysC//fabZ//glgA//nrfA//rrsH//thrS//rpsF//araD//nagE//csiE//metC//nikR//mtr//sbmA//phnI//grpE//ydiU//aroF//rplD//paaD//hyfF//metN//fumA//nikB//alaA//uxaA//fhuB//lldD//hyfD//
PrpR-2-methylcitrate	gdhA//dgcZ//amiB//ygeA//napA//
PurR-Guanine	fucA//uxaC//agaW//rpsP//fldA//narK//iraD//dapD//galM//gatD//paaD//dmsD//rbsD//cspD//ptsG//osmY//ydeM//fes//paaI//rrsA//mzrA//cysP//cheY//artQ//tnaB//argH//narJ//lyxK//cysI//feoA//paaE//malZ//nac//gadC//
PurR-Hypoxanthine	gspC//fucI//sdaA//lacA//slyB//yccA//ompX//rbsD//trpB//infC//rplS//nuoG//hypC//argE//sbmA//tdcF//glyA//nuoF//chbA//chbA//cspD//sxy//cynX//uxaA//puuP//tadA//nuoC//pyrD//norV//aroF//hycF//purE//ccmC//mltC//
QseB-Phosphorylated	exbD//entE//ccmD//citF//
RhaR-L-rhamnose	fucP//spf//
RhaS-L-rhamnose	rrsE//mscM//appX//stpA//nmpC//pstB//
RstA-Phosphorylated	betA//gcvP//fimG//fecE//phnE_2//ynfE//glpX//astB//map//citD//
SoxR-[2Fe-2S]3+ oxydized	norR//nuoC//nikA//focA//
TorR-Phosphorylated	stpA//speA//rpsP//fdnG//hpt//ygiA//rrlD//uraA//ilvL//sgbE//
TrpR-Tryptophan	zntA//nikB//sohB//metR//hofM//fumA//prpB//rrlD//idnT//trpB//aidB//lsrR//
TyrR-L-tryptophan	feoA//mgtA//glcF//gspD//yoaC//mtlR//pnp//tcyJ//ptsH//xseA//cirA//malZ//yhcH//rrfH//
TyrR-Phenylalanine	dmsC//mscM//bioD//murP//amn//purB//deoB//tnaB//betT//rseA//malM//yeiW//ccmA//yqjA//
TyrR-Tyrosine	mntS//mdtB//phoE//betI//tdcB//dppF//nhaA//hybO//ftnA//tehB//codA//abgB//baeS//evgA//
UhpA-Phosphorylated	raiA//
XapR-xanthosine	fbaA//yiaK//
XylR-Xylose	nanE//fumC//araH//argE//iscA//rplM//
ZntR-Cd2+	cusC//
ZntR-Hg	glpX//
ZntR-Zn2+	modC//
ZraR-Phosphorylated	gpmA//malX//waaH//
Zur-Zn2+	iscS//ydhV//lldD//zinT//ampD//ogt//
