#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	uhpA//napB//betT//gatA//
PhoB-Phosphorylated	creB//paaC//uidC//rutF//pck//rrsC//gltB//dapB//yfdV//cheW//rnpB//rprA//rhaS//ygaC//uidA//hmp//yciW//uhpA//ftnA//sufC//rutD//lsrA//tdcG//ssuD//xapB//iraM//uof//zwf//nikC//fimG//zraS//appC//ptsG//edd//proP//rutC//ydeA//argH//ldtC//fixA//ileV//rutB//fnrS//marA//rrsG//cydD//deoD//pgaB//caiD//modC//fecD//gspJ//lsrA//exuT//hemL//hdeA//mipA//pdeF//ung//osmY//malZ//
PhoP-Phosphorylated	rprA//puuR//cspD//cusA//aer//motB//pncB//dgcZ//nikD//purD//mntH//ebgA//rpsO//mgtL//tdcA//uxuR//creC//ssuD//gltU//dsdC//hybG//rrsA//mutY//rnlA//artP//puuE//ydeN//cpxR//norV//malI//yhcH//xylF//purA//mpl//phoQ//rpsI//ebgA//xapB//rplM//caiC//baeS//ileT//adiC//galT//ldtC//copA//crl//malK//glpQ//hypC//feoC//rplC//gntR//frdA//aldA//tauC//rhaR//
PrpR-2-methylcitrate	oxyR//lacA//gntR//citE//lsrD//
PurR-Guanine	aceK//fiu//ccmC//metB//creB//cas2//appY//appC//ykgM//dnaA//treC//prpR//iscA//folA//rrfH//cheY//kbaZ//ydiU//idnR//putP//efeU_1//uidB//lsrR//fimC//feoB//nagA//purM//mgtA//fimH//patZ//cusS//cstA//glgX//yaeQ//
PurR-Hypoxanthine	ychO//rhaD//hofC//puuE//paaG//rrsA//gltA//fucU//gadB//amtB//ykgO//tdcA//ybdZ//lamB//ileU//nrdH//cysH//fbaA//fepB//nagA//katG//phnC//caiD//ygeA//cusS//adiC//phnM//ygiB//hyfH//fis//sgbH//proP//phoQ//rnhB//
QseB-Phosphorylated	lysA//baeR//citG//yfeW//
RhaR-L-rhamnose	acrA//galS//
RhaS-L-rhamnose	lysU//bglG//mgrR//truB//mhpE//ykgM//
RstA-Phosphorylated	aroL//sufB//trpE//tktB//allE//cysD//glnD//argA//cysJ//phnN//
SoxR-[2Fe-2S]3+ oxydized	gcvH//puuD//cadC//trpL//
TorR-Phosphorylated	csiE//fimG//agp//galT//lsrC//phnC//malP//ugpA//phoU//alkB//
TrpR-Tryptophan	glpQ//artP//yjeF//paaZ//torC//cdd//narG//yjcH//phnD//cysI//yfbR//deoD//
TyrR-L-tryptophan	uxuR//tnaA//cysK//dnaE//cstA//hflD//yaiA//phoB//dpiA//hfq//aspC//eda//hisQ//fixA//
TyrR-Phenylalanine	aroH//ilvG_2//livG//serA//trpE//gadB//fdhF//ugpA//chbR//yeiP//pgk//citC//lsrA//paaE//
TyrR-Tyrosine	marB//cytR//tdcB//ygbA//pstB//hyfB//gabT//cyoA//rrfF//hyaE//fes//ileT//tsaE//abgT//
UhpA-Phosphorylated	dpiB//
XapR-xanthosine	astB//rbfA//
XylR-Xylose	rpsI//pstS//acrF//uidB//tyrB//bcsA//
ZntR-Cd2+	rbsR//
ZntR-Hg	cysM//
ZntR-Zn2+	tsr//
ZraR-Phosphorylated	araG//fau//chbA//
Zur-Zn2+	ssuC//malZ//tyrB//sdaA//trpC//purA//
