#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	nupC//artI//yfeW//treR//
ChbR-Monoacetylchitobiose-6P	rof//aroG//cpxA//envY//lldR//purM//
CpxR-Phosphorylated	agaA//argE//uidC//gcvT//hfq//sbcD//aidB//bdcA//idnK//fepE//priB//codB//narQ//mdh//adhE//csiD//rrlE//cysA//argO//sucC//fepG//abgT//yfdX//bioF//acrF//rpmC//betT//glgP//pstA//rpmI//ascF//nanK//sdhD//cspE//lpxD//creA//oppB//rutF//nuoJ//entC//uhpB//paaE//sucA//chbG//nirB//yeiW//nuoI//agaA//yiaM//gnd//mgtA//paaI//dsdX//yggX//cirA//moaB//hofP//znuC//gntX//phoE//caiC//fecB//argO//aldB//oppA//nanK//uof//raiA//gabD//
CreB-Phosphorylated	fadA//efeU_2//yfdE//dmsB//yhjA//epd//nirD//cysW//yojI//
CueR-Ag	stpA//ulaD//rbsD//ptsG//yggX//ychO//tsx//
CueR-Cu+	csgB//idnO//bacA//glcG//ulaC//zraR//gspM//
CuerR-Au	fimE//sgbH//hofP//skp//yeiW//purE//fecA//
CusR-Pasp	psiF//motB//cstA//bioD//serA//cdd//trpA//cheY//mutL//mhpD//malM//ygaC//
CynR-Cyanate	fhuF//ccmH//ybdN//pgk//
CysB-N-acetyl-L-serine	norW//erpA//livG//gadC//fepC//lsrB//narX//nuoC//fucO//pgk//hdeA//ompR//hemA//atoA//citG//yiaO//fecB//nuoG//argE//dpiB//ssrS//araJ//mepH//glpQ//gspI//cyoB//gspK//astA//comR//xdhA//
CysB-O-acetyl-L-serine	paaK//thrS//cyoE//phnL//putP//ulaC//ilvE//bioC//yjjZ//phnF//dmsB//gltW//rrlG//yidQ//puuR//alkA//hybB//casD//purA//adiC//nrfD//uxuR//pitB//treB//yojI//thrS//ivbL//mpl//frdC//yfdV//aldB//
DcuR-Phosphorylated	hypC//ygbA//fadJ//garR//glrR//gltA//yeiW//cydD//hisQ//
DnaA-ATP	torD//purC//mgrR//glpE//hydN//srlA//mgrR//fadA//glnK//nagE//uxaB//dsdC//
DpiA-Pasp	hycB//murQ//fimD//rimP//codB//ygeH//polA//ssuD//murP//argB//ydeP//
DsdC-D-serine	sdaA//trg//gabD//
EvgA-Phosphorylated	rbsB//rrlC//cheW//tdcF//phoE//lysP//glnB//xapA//glnL//glnB//hydN//yfeW//hyfH//livK//tnaA//
FNR-[4Fe-4S]2+ reduced	lldP//rplM//soxS//sdhB//talA//mglB//rbsD//sufA//nirC//entF//rpsR//nrfG//cydC//rrfB//livK//fixX//fimD//iclR//ryhB//trpE//prmC//cynT//nagE//arcA//cysK//srlB//yidQ//fepG//cheR//caiB//acs//csiD//mzrA//ileV//mhpB//treR//nuoI//napD//dapD//araE//hisM//nrfA//feoC//mlc//motB//ansB//mdh//yiaK//napF//paaK//trpB//mdtC//mdtB//cysI//artM//gabT//moeB//creD//glcF//yebE//mhpC//astB//rrsE//ycjX//creA//cysW//glpX//araE//entF//ilvG_2//trpC//hyfF//psiE//fucI//feoC//moaE//ebgA//lacZ//aspA//gutQ//recF//paaK//srlR//paaA//rrlE//kbl//mhpT//galK//ilvE//lsrD//paaE//rrlD//phnE_1//gltW//nagA//iraM//metQ//micF//casC//phnE_2//cyoD//oxyR//fiu//phnE_2//mhpB//nadC//cadB//ssuD//glrR//ilvC//ykgR//ampD//gyrA//ulaF//miaA//chbC//ompT//yfaE//norV//nrfG//uhpC//yojI//sbcC//nikD//cusA//uxuR//nuoL//efeU_1//hdeB//zntA//pta//glyA//alaU//idnO//artQ//rstA//uxaB//ccmF//gutQ//nirD//gspG//mutY//yfdE//trpE//dppD//galP//hha//sufA//aaeA//ybiT//ygaC//rimP//dcuB//manZ//nrdG//rplV//oppA//cusB//sxy//fau//casD//nuoB//purK//lpxA//norW//manA//acrE//grpE//yggX//chbA//katE//pagP//mgrB//caiT//paaI//phoQ//yhiD//cadB//dcuC//rbsC//csgC//mtr//chbC//rbfA//ilvM//aceK//rprA//mdtA//dppB//yeaR//cydC//ileU//rof//tdcE//paaE//argT//pitA//chiP//tdcB//argH//alaA//idnR//sxy//cyaR//yjeF//rplP//uhpB//aaeX//ydhV//tsr//nikR//cusA//fixA//phoA//hyfC//fimE//pgaB//gatY//metL//ychO//yqaE//ccmA//hisP//flhC//metR//uxuB//hflD//sodA//trg//glcB//agaV//aceA//gspD//chbR//allE//rplV//gntX//fadJ//bcsC//rnlA//fis//soxS//tehA//lldD//infC//rrlB//narX//ampD//zntA//pheM//nrdA//cheR//betT//hyaD//dctA//tauD//rrfE//citX//metR//rpsJ//gadB//garL//dkgB//fadE//purH//xylB//yaeP//cusR//astA//artP//deoD//lldP//puuB//cysW//phoB//melB//hyaB//mepH//tfaQ//gltW//ulaF//hybA//rnhB//nikA//csgC//serC//rhaR//purK//dcuR//appX//fimE//argA//lldR//idnT//dsdC//gltU//ascB//qseC//ycdZ//argR//argO//dapB//ascF//rnlB//ulaF//
FhlA-Formate	rrsG//argB//narQ//mtlR//codA//erpA//srlR//citE//cpxR//aspA//rprA//hyaF//ygiB//grpE//puuB//phnM//lolB//hycD//rbsC//phoE//ccmF//cspD//tcyJ//gcvH//fecE//ydfN//creD//cusA//narK//purL//
FucR-L-fuculose-1-phosphate	metH//atoB//pdhR//paaF//glpB//gadB//gntK//
Fur-Fe2+	ychO//nupG//alaA//rseB//glgX//hycE//ykgM//infB//fimI//ygbA//serA//yjcH//cyoA//hofC//trg//tolC//paaG//malP//appA//casD//mutY//acrF//feoC//efeU_1//uidC//nrfC//sufD//nuoK//marB//lysO//cusB//rutB//yfbR//ybiT//chbB//gatC//hybE//cadB//ada//argF//deoA//tyrA//nikD//sodB//rbsR//rcnA//astA//uxuB//rutB//nuoH//ydhY//phoU//sbcD//srlD//fiu//mhpA//srlE//cas2//leuE//rutB//hflX//hyfJ//soxR//hydN//alaT//folA//envZ//fdnI//map//galP//pck//ybdZ//xylH//lpxB//aceE//envY//citC//yhiD//caiF//cusB//fucP//rpmC//pagP//aidB//aspC//napF//lpxD//casD//yeiP//galP//napB//znuC//fiu//lysC//sroD//livF//hlyE//phnC//napD//yaeQ//yggX//paaH//cusR//yccA//aroF//yidQ//glcG//tdcG//nuoB//aer//flhC//rseA//dmsA//hyaA//uxaB//glnB//paaZ//aceA//malE//pepT//argO//cheB//norW//hypE//trpA//tam//bcsB//argH//flhC//nrdG//fdhF//mtlR//ahpC//sgbH//uhpC//ychH//cusS//ubiC//citC//ileV//
Fur-Mn2+	livJ//dps//dusB//lacZ//ompT//manX//guaA//ynfH//znuA//fldA//aroM//frdC//metF//tadA//crl//cyoD//napG//bcsA//dctA//sucD//feaB//moeA//malQ//cusF//metA//mipA//malI//norR//purH//argT//entC//fimE//baeR//gltD//fecR//degP//uhpT//napC//aaeR//eda//narI//ybfN//tnaC//prpB//mntP//mgtA//hyaA//phoB//rstA//paaA//nlpD//adhE//cynR//caiT//rhaB//csiE//ychH//glcF//bcsZ//efeU_1//aroA//ygbA//chiP//gntX//paaJ//oppA//fiu//yiaO//alaS//ygeH//phoU//mhpA//bdcA//fumB//fucU//sodA//cyoD//hpt//pstC//rutA//argI//puuR//garP//focA//azuC//gltF//tyrR//entF//cusF//ccmH//hybO//emrK//adiC//fepC//alaU//pitA//purF//cyoC//atoE//rutD//ackA//paaK//folE//csgA//hflK//hyfR//yjcH//prs//napH//yggX//fecD//dcuS//moaE//idnD//phoE//ssuD//nuoL//rrsD//flhD//mhpT//ilvN//betA//aroA//glgP//mdtC//grxD//bglB//nrdA//fecC//glnL//purM//pagP//gltV//cadC//rbsA//chbB//hyfR//alaV//napB//rrsB//
GlcC-Acetate	cusF//hcr//hyaB//paaI//yfdV//tpx//rrfH//
GlcC-Glycolate	glcD//marB//kbaZ//rutC//hyfG//nuoM//gltF//
GlrR-Pasp56	ilvE//
IclR-pyruvate	nrdA//ybdN//ynfF//rbfA//
IdnR-5-ketogluconate	osmC//dcuB//dkgB//tnaB//uidA//argO//grxD//fis//
IdnR-Idonate	rhaD//malE//rrfA//cvpA//mscM//galT//cysD//ackA//
IlvY-2-acetolactate	hypC//putP//
IlvY-Alfa-acetohydroxybutirate	tnaA//rutB//
IscR-[2Fe-2S]1+	hisM//nrfG//sgbE//chiP//hypB//carB//bglF//nrdE//hyaC//hycI//evgA//nhaA//mgrB//gcvH//oxc//epd//gntK//hybA//xapA//mdtB//ydeN//gspD//gltW//lsrB//ogt//fhlA//hofN//gutM//garR//phnD//agp//citX//fadH//cheR//casC//ugpA//chbB//truB//tcyJ//garK//citE//
LldR-L-lactate	hyfC//ssuD//nikA//
Lrp-Leucine	nagC//chbG//paaJ//yeaD//hupA//hyaD//abgB//artQ//tauB//gapA//cusS//efeU_1//ynfE//hycG//rrfA//yfeW//fucA//glgS//rpsR//phoA//nikA//preA//glpK//glnD//glpX//nuoC//gspE//nanK//lpxB//chbF//argG//rrsB//glpB//hisM//ccmE//znuC//aroA//astD//hydN//glmY//ubiC//sdhD//ynfF//tdcA//ycjX//caiE//ulaD//ydeN//trpE//emrY//citX//fadD//dgcZ//skp//gyrA//recF//napG//rutC//yegR//tonB//gcvT//hisM//rpmI//glcF//tdcA//fadD//rrfE//zraR//nrdF//gspI//ycjF//rbsB//treR//iscR//rnhB//fecB//phnM//melA//entE//codB//artJ//frc//ilvA//manX//ilvC//bamE//cydC//nrdA//srlA//sufB//uof//cadC//aceF//sxy//znuA//deoB//torA//gabP//hmp//gutM//appA//ccmG//gutM//focB//raiA//nanS//
LsrR	purF//rplM//argC//treR//grxD//rpsS//dppF//glpX//ampE//
MalT-ADP-Maltotriose	gltF//rplM//mutY//lrp//ompT//melA//aceK//glpG//rplW//phnG//
MalT-Maltotriose-ATP	edd//mgtA//spf//hisM//ydeM//phnH//citE//narJ//dppC//paaZ//
MelR-Melibiose	aceB//rrsC//tsgA//
MetJ-S-adenosylmethionine	nuoG//agaV//trg//fiu//ppdD//glcB//lacZ//csgC//waaH//appB//pitB//tnaB//caiC//puuC//nrfA//
MetR-L-homocysteine	ydeJ//ugpC//ldtC//rbsK//tyrR//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]	garK//tonB//purC//tdcG//bacA//yfdE//
MhpR-3HPP	cynX//fimC//cyoD//trpR//galS//ubiC//
MntR-Cd2+	melR//xylB//fumC//xylH//hypB//
ModE-MoO42-	pgaB//chbG//atoA//glpX//serC//rhaA//hybG//puuR//phnD//chbF//casA//yrbL//ndh//uxuR//fimD//rplD//fumA//hisM//gcvH//xapA//metJ//gadC//rutE//rpsO//dcuS//rpsP//tyrB//sdhA//ssuC//fau//bioF//trpB//hisP//purF//casB//dnaE//astE//hybC//rrsA//degP//secB//cynR//hofM//puuD//artM//rhaD//
NarL-Phosphorylated	hyfF//nikC//oppC//mcaS//mntH//rutG//rrfD//mutL//ackA//lsrD//cpxA//uxuR//uvrA//bioC//ygiB//rutF//evgS//melR//ycdZ//mdtB//yqjA//modA//fecI//phoE//ulaA//ycdZ//upp//gabD//glcD//phoU//iraD//hflD//caiT//glpX//araC//dps//baeR//ybjG//bamE//gltU//cpxR//gltW//ychO//ilvL//cysC//fbaA//ssuE//srlA//araB//speA//ispE//fis//oppC//mdtB//argH//hslJ//sxy//putP//araE//phnP//hyaC//ugpQ//ulaB//amtB//hofP//arcA//rimM//dsdX//mtlA//nuoN//glpQ//pdhR//rpsJ//frdD//ydfN//nrdI//yiaK//yiaO//zraS//nrdA//betA//nfuA//hyfI//degP//fadB//moaE//znuA//cysG//cyaA//dcuD//napF//fucI//uhpA//purD//tcyJ//nrdI//amtB//fur//nirC//uidA//dmsD//purR//ftnB//mtlD//rrsB//purL//sodB//yhjC//gatC//pitB//tdcF//ssb//hycA//lpd//glcF//srlE//yfdX//lyxK//trpA//tonB//atoA//proP//gltW//prpC//chbF//
NarP-Phosphorylated	purK//cheA//gpmA//aaeX//ssuC//ahpC//ldtC//cysK//glpK//cydD//hypB//ldtC//chbC//cheW//fixC//metI//fliA//appY//fecE//rimM//cpdB//aaeA//glgA//crl//ompF//yeiL//hofC//chbR//hofO//yeiB//glpG//lsrG//udp//gntR//glyA//xapB//yegR//ygeA//tsx//rimM//galM//idnR//acnB//rseC//nikR//ybfN//tdcC//agaV//norR//fixX//
NhaR-Na+	pgaA//efeU_2//aaeA//glnA//glcA//exbD//fepG//
NikR-Cd2+	rimM//agaA//fucA//cysC//exbD//gspE//
NikR-Co2+	napH//xapA//dnaA//hlyE//malK//rplC//
NikR-Cu2+	ygeH//rpsQ//hydN//rrsD//yegH//rbsC//
NikR-Ni2+	casE//astA//rpmC//bdcA//ybfN//tdcB//
NikR-Zn2+	ybjG//glgX//nrdF//narX//yebE//aer//
NrdR-ATP	livF//rpsC//ykgM//uhpC//trpB//rpsC//citD//murQ//ndh//
NrdR-Zn2+	phnI//hdeB//yeiL//mipA//carB//csgA//cyoE//nrfG//argH//
NrdR-dATP	psiE//guaB//hyfB//ynfF//fepG//rhaA//fimE//bcsB//mntP//
NsrR-[2Fe-2S]reduced	ydeJ//lacY//fecR//modA//argD//ssuE//pstC//idnD//narH//xdhC//lpxD//gspL//gatB//cheY//yqjH//cyaA//nuoN//dmsA//dmsD//yggX//citX//mntP//puuE//creC//frc//serC//moeA//rrfA//hypD//mgtA//glgB//araJ//metR//yhjA//hycD//uidC//lysA//nuoB//ybfN//cyoA//glpQ//nuoM//gnd//rhaB//fadE//yeaE//trpD//paaF//mscM//kbl//artJ//hlyE//trpA//gspD//chbA//fimH//yeaD//bdcA//ogt//nuoA//trpL//ilvX//gspL//gltA//ubiG//lpxB//phnJ//mdtC//ccmF//argH//hisQ//napB//torC//
PhoB-Phosphorylated	gspO//rrlB//ilvH//cysN//uxaB//nanC//fecE//dusB//ubiC//uof//bcsC//pgaA//ydbD//lysA//csiE//acnB//malK//aroL//purN//metB//rrfA//chbG//efeU_1//rrlB//cynT//gltW//chbF//yoaG//cheW//glpX//ndh//lsrK//gnd//gadB//nagB//rseB//hflC//mhpE//ynfH//rrsG//gspG//ilvG_2//rpoH//cyoB//deoB//ulaD//phnC//comR//phnJ//dcuS//rpmC//katE//chbG//tyrA//nrfA//glgB//frdD//ulaB//tdcD//tdcB//abgT//
PhoP-Phosphorylated	pdhR//gspF//aldA//yiaM//rhaR//norR//rplS//tauA//ilvL//rplD//hyfJ//malX//glgB//nagE//citC//mntP//fur//ulaD//lysU//nlpE//glpT//puuD//metF//katG//sgbE//malI//dadX//nrfE//nuoE//trpA//nikR//ppdD//nuoM//fimI//dadA//nrfB//ppiA//hdeB//glcC//ilvH//rof//lsrR//patZ//fdnI//ftnA//narH//fecR//marA//aaeA//sbmC//fdnI//rpsC//tauB//glnL//yaiW//purE//ilvA//
PrpR-2-methylcitrate	dsdX//ilvD//phnL//tfaQ//narG//
PurR-Guanine	cydA//galS//deoB//guaA//rbsK//hybB//abgT//pitA//csgC//rpsC//ygiC//rnlB//rutB//fecD//cynT//fecD//upp//aaeR//malQ//fbaA//aldB//chbF//citC//cheB//ftnA//fucR//glnL//pgaD//fepB//uhpA//ybdZ//betA//preT//rnpB//
PurR-Hypoxanthine	treB//manY//araC//napB//amiB//atoE//trg//rstB//pgpC//mglA//oppC//puuA//ebgA//mtlR//cusB//ydhV//psd//pck//fecR//serA//mglC//arfB//hypE//tar//fimH//nhaA//ytfE//xylG//bioF//grxD//metK//gnd//nuoC//yidQ//
QseB-Phosphorylated	hslJ//rhaT//rpsC//ahpF//
RhaR-L-rhamnose	pheM//aspC//
RhaS-L-rhamnose	rplC//codA//malX//fdnH//idnO//nirD//
RstA-Phosphorylated	paaI//xylR//hyfA//tdcA//fixB//yegR//malZ//fdnG//oppC//glnG//
SoxR-[2Fe-2S]3+ oxydized	ydeM//fepG//malM//spf//
TorR-Phosphorylated	glnA//nirB//gntU//argH//livG//gltU//cysW//prpC//tfaQ//ubiX//
TrpR-Tryptophan	fumC//fepD//phoR//caiB//nlpE//yrbL//ccmD//cydA//dcuA//tcyJ//prpB//phoA//
TyrR-L-tryptophan	hycE//lpxB//abgA//psiE//yojI//acrF//ygbA//puuB//rrlA//metK//puuB//purF//phnL//pgpC//
TyrR-Phenylalanine	pheT//psd//tsaE//rhaS//gabT//phnN//ompC//feaR//ogt//gpmA//cueO//glpA//acrA//gltB//
TyrR-Tyrosine	hybF//cadA//katG//prpB//cyoD//chbA//entC//ygaC//fadL//aroF//mtlD//gatA//hycH//sbcD//
UhpA-Phosphorylated	udp//
XapR-xanthosine	lpd//ilvM//
XylR-Xylose	hyaF//napB//dppF//edd//garP//feoB//
ZntR-Cd2+	cusF//
ZntR-Hg	rrfH//
ZntR-Zn2+	dps//
ZraR-Phosphorylated	hypA//caiC//hisQ//
Zur-Zn2+	cbl//nmpC//qseB//gatB//yqjI//tdcG//
