#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	rbsD//nanC//gntU//fixA//
ChbR-Monoacetylchitobiose-6P	oppD//nuoL//paaC//leuE//manY//cynS//
CpxR-Phosphorylated	yrbL//csiE//guaA//malX//yedX//yggX//pheT//cynS//zraS//yeiP//galK//osmC//nlpE//csgB//fepA//tolC//srlR//exbD//lacI//deoA//astC//sxy//fhuE//yjiY//frc//ldtC//feoB//aceB//argE//araG//hdeD//uvrA//ilvL//allC//yeiW//hyfF//tsaE//qseC//cusA//glmY//modA//malT//katG//galE//ygeA//fliA//hyaD//yhfA//fes//bamA//gcvH//chbA//cysC//ilvC//hdeA//ndh//ebgA//purL//rof//cheB//xylR//nanS//cysB//cysC//astB//ilvD//malG//amtB//csgG//
CreB-Phosphorylated	fdnI//paaF//gabP//ilvE//lsrD//crr//caiF//araF//csgB//
CueR-Ag	gntT//hyfE//glpK//eda//malE//ycjX//tdcB//
CueR-Cu+	hybE//rrlA//ileU//astE//nuoB//appC//acrF//
CuerR-Au	ahpF//paaK//citX//hybO//dsbA//glrR//psiF//
CusR-Pasp	cysN//livF//iscS//dcuC//cyoD//mgrB//gutQ//dapB//rutD//napA//ung//purM//
CynR-Cyanate	casD//csgD//nrfF//gabT//
CysB-N-acetyl-L-serine	phnL//pitA//talA//atoD//nanE//cusC//tomB//feoC//rplS//gltW//rrfG//waaH//rhaB//sbcD//nuoK//ulaA//sufC//rutC//cueO//asr//cusA//fliA//narL//argH//mhpE//paaK//nac//nuoM//srlE//sxy//
CysB-O-acetyl-L-serine	kbaZ//ileU//astC//acrA//hlyE//casD//gatZ//yrbL//yfaE//napG//cadB//ileT//puuB//rpsS//waaH//glgS//mutY//cysM//rcnA//cadA//phnE_1//bioD//rrsC//phnP//ssrS//prmC//tehB//ugpQ//fepG//malK//pheS//
DcuR-Phosphorylated	citC//ilvB//nupC//feoB//tyrP//treR//hisQ//narH//flhD//
DnaA-ATP	psd//azuC//phnD//rutB//torD//ccmA//ygeA//aroH//gutQ//proP//hofP//nanK//
DpiA-Pasp	dnaN//nanA//evgA//torC//rrsD//phnP//ampD//yiaO//nupG//nuoB//yeaE//
DsdC-D-serine	metE//pncB//ugpC//
EvgA-Phosphorylated	hybF//ccmD//uraA//fliA//glyA//araH//hyaF//rrfC//chbF//purR//malG//argT//fucU//rpmC//aspC//
FNR-[4Fe-4S]2+ reduced	ahpC//pstB//argE//galK//cheR//tdcE//yeiW//ydfH//miaA//phnE_1//atoA//xylH//manX//lsrD//uhpC//uidC//cynR//torR//pflB//baeR//tdcA//malK//creA//bcsA//ssuE//mhpD//agp//moaA//kbaZ//pstC//cvpA//hisJ//nrfF//ompW//tauB//cueO//appC//casA//yfdE//tdcA//ftnA//ubiA//yeaD//fimG//malK//livM//rpoS//fecA//nuoC//glgP//preA//hyaF//upp//malX//napB//zraR//safA//nikB//metR//nhaA//ccmB//artP//entH//glcF//rhaR//phnF//phoA//nrfC//entF//metB//stpA//mglC//mtlD//adiC//rstA//astC//cueO//lhgO//nfuA//pgpC//ybfN//gyrA//gltF//trpB//tsr//ptsI//arcA//hyfJ//nusA//carA//pdhR//rrsC//gyrA//appX//ccmF//phoB//priB//nanC//glgX//fucA//pstS//argR//frdD//gspE//srlR//ydbD//rstB//fepA//glgA//phnE_2//paaD//rrsC//glcC//paaF//cydB//rrfD//galE//bacA//ulaB//sucD//yeaR//lyxK//mipA//fadI//citD//nadC//casD//pdhR//rseA//paaE//glpE//ygiC//cadA//pdhR//nirD//pdhR//lacY//modC//purL//citC//tsr//glrR//entD//gltW//xdhC//entF//galE//trpE//nrdG//rbsD//glgP//hyfE//fepE//phnP//secB//ampD//zraP//lrp//uhpA//allC//rbsC//mtlR//bglG//ptsI//allE//ykgO//mipA//gltD//ilvH//lolB//cusC//exbB//yaeQ//glcD//gpmA//lysP//sucB//ssuA//glgC//nagE//mdtB//exbD//fixX//napG//moaE//yidQ//mtlA//sbmC//rpoE//mglC//pdhR//sbmA//artP//codB//envZ//abgT//fabZ//gspC//srlD//metN//infC//rstA//frdA//glmY//cydD//tauD//uxaA//mlc//priB//atoD//mscM//nuoL//cyoB//ilvE//dsdX//mltC//ilvC//gntU//gspF//malS//yhhY//aroM//rplP//nac//crr//nikC//gcvH//sufC//marA//mgrB//sbmC//epd//feaB//cusS//glgX//nanK//thrS//ilvH//aspA//mhpD//tonB//hyfG//napF//creD//arcZ//hyfH//caiA//prpD//micF//gdhA//gltA//hemL//ykgM//rcnA//yfdE//epd//tdcG//gspM//tktB//araE//rnpB//cpdB//cas2//aroG//galP//narH//cpdB//mhpB//ilvC//metA//hyfR//prpC//yjcH//sdhC//fimG//ldtC//dctA//oppF//astC//cysK//mltC//nrdG//tdcA//malE//aceK//casC//bcsB//adiC//cyoA//rrlH//adhE//hflC//casD//ptsG//metY//safA//ulaA//citG//yfdE//cadB//hfq//phoQ//mhpB//fabZ//fnr//
FhlA-Formate	galT//ilvD//nohA//phoE//creD//sgbE//hypB//astC//pheS//fepC//chbC//rpmI//rplI//ilvD//argP//purE//bioF//dapB//purH//secB//mdtD//glpB//ppiA//phoQ//casC//fadI//rplC//patZ//manA//argH//
FucR-L-fuculose-1-phosphate	argT//gltA//eda//frdC//alaT//edd//rcnB//
Fur-Fe2+	lsrF//sxy//ilvY//cysB//narK//gcvP//actP//malF//ptsG//feaR//melR//nanA//moeB//ompX//purR//erpA//nanM//nadC//alaV//astB//katE//aaeR//ykgO//asr//dmsD//pgaB//araE//fdnG//csgG//fepB//creD//nuoM//xapB//osmC//tar//hycB//sbmA//acs//rhaA//fau//cysH//rpmC//caiD//entD//gntT//exuT//rutD//caiB//hybB//nirD//ydeM//cspE//dpiA//cdd//sroD//crp//nrdH//mdtD//dcuS//grcA//galE//arfB//xapA//caiC//aroG//tyrB//gcvP//citG//yaeQ//purC//aceB//frdA//entD//gspM//aceE//pta//yeaR//nanC//fadB//lacA//xylA//lamB//rbsR//yjiY//tdcA//rbsC//fecA//nusA//idnD//lhgO//hemL//rrlE//phnJ//ccmC//actP//sxy//gapA//lacI//pheM//ssuC//cheB//mdtB//focA//gspO//fadB//nohA//xseA//pdeF//rplP//pstA//gpmA//narJ//norW//mtlR//pflB//ubiA//ydhU//ubiC//gutQ//rutD//gadC//yaiA//ogt//ydhT//yegZ//aaeR//mepH//fhuD//rpsF//gspE//yhiD//ydhX//yfdV//secB//rplC//flhC//nrdD//mlc//araE//fadD//
Fur-Mn2+	metI//yhcH//alaA//ynfK//ydbD//nrdA//sbcC//motB//casB//agaV//ydeM//hybB//yeaD//proP//metN//garP//lpxD//malP//ssb//rpsC//xylH//dppB//glnG//trpA//fumB//hybD//mglA//aldA//ydhY//soxR//srlR//sohB//napB//ccmE//rcnA//ybdN//qseB//betA//rimM//nuoG//fliZ//aidB//ihfA//puuB//dcuA//hypA//leuE//galS//lysP//hyaA//copA//lldP//ilvX//moaD//mltC//alaA//dsdX//hcp//hisJ//gdhA//hofB//hyfJ//napF//alkA//fdnH//galT//cas2//miaA//betB//micF//hyfI//ccmE//glpT//phnG//yfdE//rybB//yciW//puuA//amiB//cvpA//hemA//speB//guaA//rimM//rrfD//xdhA//cpdB//zraR//cusC//tnaA//rrlB//cysN//purK//rplD//artQ//murP//cysI//tadA//tolC//cysD//pyrD//ugpC//moeA//cysK//ycdZ//cyoC//atoB//grxD//gltA//frdC//hofB//puuE//csgG//gntP//bamE//xapB//ugpB//lacA//pnp//creC//yeiW//nusA//exuT//phnE_2//prmC//hofO//rbsC//cadC//cadA//erpA//hemA//zinT//entC//glcF//tap//yrbL//mntH//mglA//uhpT//arcZ//
GlcC-Acetate	galK//abgA//lsrD//gnd//creD//argC//nuoH//
GlcC-Glycolate	feoB//guaA//yedX//fecC//acrF//purR//mhpF//
GlrR-Pasp56	cusA//
IclR-pyruvate	hycA//hfq//norV//rrfE//
IdnR-5-ketogluconate	hlyE//fucA//fucR//fnrS//yegR//ptsI//idnT//gspF//
IdnR-Idonate	argO//codA//casB//nrdF//puuE//rrsB//gspD//epd//
IlvY-2-acetolactate	mltC//hemL//
IlvY-Alfa-acetohydroxybutirate	glpX//galP//
IscR-[2Fe-2S]1+	uhpA//glgS//ftnA//paaH//cysN//nrfA//yjcH//norR//fumA//ychO//purB//cadB//cirA//gcvT//dusB//lsrC//ogt//rrlB//fepE//gntT//csgB//gspC//mhpD//atoB//fucR//gatD//trpA//cyoA//fepA//acrB//fhuF//gabD//evgA//dmsD//dcuS//uidC//cpdB//mntS//torD//prpB//uidB//
LldR-L-lactate	codA//uxuA//rhaD//
Lrp-Leucine	lsrG//preA//tehA//icd//casB//malM//bcsB//malZ//kbaZ//cueO//hyaC//ugpA//artM//rpoS//tauB//yaeQ//deoB//psiF//hisJ//hycG//tnaC//rhaS//priB//mhpC//cheW//entA//trg//cytR//modC//gdhA//lpxB//mgrB//araA//dsbA//fnr//rpsI//rutB//phnD//putP//hofP//phnO//gntP//rpoH//yfiP//hyfG//bcsB//ugpA//yegH//erpA//cadC//nikD//artJ//rutF//mhpT//yqjI//soxR//bglB//uxuR//trpC//ccmG//murQ//dpiB//nrdF//nadC//acs//cyoA//araG//napH//dapD//lhgO//fixX//hlyE//norV//ssuA//xylG//srlB//yegH//glcG//pitA//gltW//srlA//mdtD//nuoF//melR//caiB//motB//ydiU//ugpE//acrA//fixC//gnd//hemL//pstS//gabD//narG//glpC//sbmC//iscA//hha//gspM//ynfE//rhaA//yfdX//bioF//prpD//treR//
LsrR	gyrA//rrfA//emrK//metL//xseA//torD//codB//alaU//motA//
MalT-ADP-Maltotriose	ccmB//miaA//cydD//aroM//ogt//xylR//astB//rpmI//tnaB//hyfG//
MalT-Maltotriose-ATP	casA//lsrA//rrfF//ccmB//nanM//hyfA//araJ//qseC//cspE//cysG//
MelR-Melibiose	glrR//idnT//cheZ//
MetJ-S-adenosylmethionine	fecI//rcnB//rpmI//fimC//ackA//focB//nrdI//paaJ//ackA//purC//ydhY//rplM//fadD//pstB//tadA//
MetR-L-homocysteine	xylA//cdd//ssuD//livG//caiA//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]	garR//phnL//dmsC//gntR//cydD//ygeH//
MhpR-3HPP	tauA//fadE//malI//garK//phnJ//tdcD//
MntR-Cd2+	gntT//yeaE//cydC//chbG//nlpE//
ModE-MoO42-	lyxK//mzrA//hyfF//csgD//idnK//hyaA//csgC//phnE_2//araC//pflB//ugpB//nohA//yeaD//ryhB//speB//gdhA//mtlA//argR//ilvM//micF//glpK//glpT//tar//araD//tolC//garK//phnJ//ydiU//csgC//zntA//ompT//baeS//gatD//dsdA//srlA//bcsZ//arcA//trmD//gabT//xapA//hyfR//deoB//fepB//ssuC//ccmC//lysO//
NarL-Phosphorylated	tyrB//garR//fadL//hyfG//efeU_1//fimI//hofB//mgrB//ptsG//cysH//mgtA//gcvH//gyrA//mgtA//hybD//ansB//paaF//nikC//hflC//pitA//caiD//hycE//dadX//cadC//trxA//norV//tyrP//yeaD//metE//abgB//serC//csgB//caiB//artM//yccA//hybO//dusB//mdtB//rbsK//nuoJ//gcvT//fhuC//pgk//polA//alaS//acrE//gltU//nagA//argT//hofN//uxaB//rstB//narG//pgaB//gspH//rrsA//fecB//fimF//fhuD//dcuA//phoQ//prs//ldtC//rplI//atoE//cra//idnO//puuC//ileV//putP//hycA//cpdB//glgA//rpsJ//efeU_1//ybjG//ssb//napB//arcZ//mdtD//glrR//lsrA//ccmE//frdD//yqjI//fepD//gadC//malY//yiaJ//narL//narQ//nikE//soxR//glcF//yebE//trpB//lpd//araC//fadL//ileV//cysD//tehA//gcvP//hyfH//uidA//fadD//rplI//ycdZ//hofO//uhpA//hyaA//cspD//garP//gltU//yhfA//rrsE//chbA//caiC//nanK//fimC//moaC//hybC//xapB//glyA//malE//
NarP-Phosphorylated	glnA//narJ//artJ//araB//ccmD//gltV//arcZ//fhuA//dgcZ//yhjC//gabP//codB//ccmC//cysB//citG//ygbA//ascF//fepG//gabT//fhuA//rpsJ//glpQ//ihfA//katE//mglB//metE//rbfA//fecI//mglA//hflK//rutB//lysC//ampD//prfA//ygiA//chbA//fucA//allD//ivbL//lacZ//paaZ//exuT//fhuF//proP//hybC//fumA//bcsZ//yggX//ptsI//phnF//
NhaR-Na+	araJ//rrlG//preA//thrV//alaU//exuT//uof//
NikR-Cd2+	gatY//oppA//hypE//nrfG//cheR//uvrA//
NikR-Co2+	casA//glpK//cra//nrfA//iscA//fucP//
NikR-Cu2+	yqjH//hisM//casC//marA//aspA//dppF//
NikR-Ni2+	mzrA//rnpB//rnpB//folE//csgA//speB//
NikR-Zn2+	yaeQ//fumB//nanK//yfdV//araE//nuoI//
NrdR-ATP	fhuE//rplI//citF//tsgA//nlpE//iscS//ugpQ//spf//malT//
NrdR-Zn2+	nanE//mltC//treC//rrfD//znuA//fdnH//ccmB//hycH//fecR//
NrdR-dATP	lsrK//hypB//araD//safA//moaA//napA//fdnH//ihfA//rpoS//
NsrR-[2Fe-2S]reduced	chbR//hflD//hcp//alaS//ssrS//hlyE//metH//phoB//phnI//iscU//hycI//paaI//creC//hisJ//casB//fucO//allE//ccmA//hypF//uhpA//entB//alaS//ilvX//phnD//hdeA//ydhV//mgrB//ilvM//glpR//emrK//cheW//paaK//lysC//ynfH//hybG//araF//tyrP//hycA//iclR//hofM//alkB//hofO//soxS//phnP//fadI//rrlH//yaiA//rnlA//cpxR//bhsA//ssb//hydN//chbG//metK//rutB//rbfA//yjeV//gntT//fadD//galM//nuoH//hofB//garP//ompW//rybB//hpt//ilvG_2//manX//sohB//ilvA//ulaA//mpl//srlE//
PhoB-Phosphorylated	ulaA//ompF//mhpR//sxy//fecC//pgaB//ccmC//ompR//udp//nrdF//sxy//exuT//sucB//bamA//sufE//nanS//uxuA//moaB//fldA//yiaM//csgA//rutF//rplW//livF//recF//ygeA//hycG//dcuD//agaA//malF//ihfA//lamB//ung//acs//phnO//cysG//caiE//ilvC//malF//hyfG//yjeF//yhhY//fhuE//fimC//nuoM//ubiX//cheA//qseB//purC//patZ//paaE//ilvA//bcsB//lacA//aceA//gspK//ydeO//csgE//ssuD//ebgA//phnK//
PhoP-Phosphorylated	ahpC//hyfG//mdtC//purE//ilvG_1//iraM//yccA//idnD//glcB//amiB//znuC//ahpF//zraP//paaI//frc//rpsQ//cvpA//cynR//prmC//iclR//rutC//pgaD//phnC//ygiC//ssrS//copA//secB//ilvL//efeU_1//hyfA//ssrS//soxR//mscM//rplT//yfaE//yeaE//ileV//glpC//pgk//gspG//paaC//pdhR//appC//aroM//rseB//bcsC//fumA//casD//rplW//tonB//dcuD//casB//ryhB//glnG//ydhX//gspM//paaF//
PrpR-2-methylcitrate	hyfF//rplD//norV//dcuR//appY//
PurR-Guanine	manX//puuB//sufA//ompF//spf//dnaA//ychO//fucK//purD//araF//dadA//araC//gspE//cysG//mntS//dcuD//gatZ//ybiT//cynR//hycC//pheS//acrA//ynfH//rpsS//miaA//fumA//bcsZ//ycjX//nohA//guaB//hycF//cysH//nrdG//rhaB//
PurR-Hypoxanthine	glcG//gatY//modC//treR//cusC//lsrG//yiaN//iscU//araJ//ychO//aceB//trmD//fepD//lyxK//cyoD//agaW//ada//hyaE//cydA//gspH//glcC//tsr//ppdD//gspL//yfdE//lysU//bhsA//zraS//yhhY//dcuC//ompA//allC//phoE//sgbE//
QseB-Phosphorylated	phnP//mutL//dnaN//pgpC//
RhaR-L-rhamnose	uidB//exbB//
RhaS-L-rhamnose	mdh//ilvE//zraP//rstB//lyxK//xapA//
RstA-Phosphorylated	sbcD//cytR//purM//puuA//efeU_2//glpR//ynfF//ompT//kbl//fimF//
SoxR-[2Fe-2S]3+ oxydized	lldD//yeiB//betA//kbl//
TorR-Phosphorylated	rprA//kbl//glgB//paaE//araH//rutC//deoC//sucB//creC//ilvI//
TrpR-Tryptophan	betA//ychH//purK//ygiB//glpR//pagP//fimH//osmY//hdeB//bioB//hdeB//azuC//
TyrR-L-tryptophan	ssrS//chbR//sufD//yhiD//metA//glpA//argG//nupG//ompF//fadI//mtlA//caiE//pck//deoB//
TyrR-Phenylalanine	sodA//gabT//rpsP//ilvB//sroD//pdhR//mgrR//hflD//yfiP//uxuR//oxyR//bcsZ//rcnA//livM//
TyrR-Tyrosine	cynS//chbF//bglF//fucI//puuC//fnr//gatD//napH//glcD//azuC//fimA//paaB//creC//fhuB//
UhpA-Phosphorylated	hofM//
XapR-xanthosine	caiT//dadA//
XylR-Xylose	ynfH//narI//argG//tyrB//araG//ccmF//
ZntR-Cd2+	pgk//
ZntR-Hg	carB//
ZntR-Zn2+	artJ//
ZraR-Phosphorylated	ykgR//nusA//hisM//
Zur-Zn2+	oppC//ygeA//hybF//ssuE//alkA//hisJ//
