#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	umpH//sxy//dadA//marA//
ChbR-Monoacetylchitobiose-6P	fimE//dmsC//glcB//ugpC//nrdH//casC//
CpxR-Phosphorylated	argP//yeaE//malF//gspG//argF//napC//yggX//astD//yjeF//gpmA//aldB//mhpA//cysM//argH//recF//nrfE//manA//livJ//ompT//borD//cyoE//dppD//livM//fucI//fimA//manZ//ybdZ//moaB//creD//acrD//rrfB//amtB//yjeF//rbsR//codA//hisJ//tdcB//nagC//mutY//argR//rrfG//cyaA//hyaF//hybB//atoB//yeiL//chbG//paaB//gdhA//glpB//nhaR//aidB//frdB//ilvL//dppB//baeS//rhaT//mhpE//mhpE//map//garK//rrsA//fhuD//uhpA//dcuR//araC//cysG//tauD//idnT//
CreB-Phosphorylated	csgA//alaU//glgX//uhpA//nirC//moaA//yqaE//appC//serA//
CueR-Ag	motB//hypB//motB//cusA//ftnA//rof//aspA//
CueR-Cu+	mdtC//mhpB//mhpC//nrdA//upp//rpsS//ydiU//
CuerR-Au	fadA//arcA//qseC//serC//hybB//glpR//gcvH//
CusR-Pasp	ydhY//nrdF//livK//dsdC//xylR//cysU//uhpC//betI//frdD//ileV//dppC//phnN//
CynR-Cyanate	argD//moaE//metE//nlpD//
CysB-N-acetyl-L-serine	sufD//uidC//znuA//mhpC//yrbL//fadD//tcyJ//caiT//hisQ//ydhY//yfdE//grxC//mdtB//paaH//ygiC//caiE//garP//napF//ilvC//tktB//araA//gabT//nuoA//cydC//zraP//dadA//fadJ//iraM//sufS//fdnG//
CysB-O-acetyl-L-serine	ileV//fhuC//paaF//ccmE//argA//phnO//rstA//dkgB//xdhA//nirD//artI//acrD//infC//entE//citE//bglB//glrR//rbsR//puuR//rpsF//proP//rstA//garL//ycjX//lysP//frdC//ychO//rrsC//yfeW//citG//pitA//
DcuR-Phosphorylated	phoB//nanS//yebE//mtlR//uraA//ugpQ//sodA//rpoE//nagE//
DnaA-ATP	uidC//galP//idnO//soxR//focB//phoR//fdhF//polA//aaeB//marR//hpt//tauA//
DpiA-Pasp	yeaE//rplT//flhC//tcyJ//pgaD//nac//acnA//dppB//amiB//malK//entS//
DsdC-D-serine	rimP//secB//dmsB//
EvgA-Phosphorylated	hyfH//gcvP//hmp//epd//ykgM//alaS//chbG//hyfB//amtB//marA//lldP//lrp//frc//cynT//hyaE//
FNR-[4Fe-4S]2+ reduced	glpT//gatC//uidC//mdtB//rrfA//stpA//yneM//nuoN//ydeO//idnR//rrsH//yoaC//phnK//rybA//appA//lldD//dsdC//ychH//nhaA//dppA//yggX//ndh//bamA//csgB//yqjA//ackA//glpG//rcnA//chbB//entA//mhpR//yjiY//glpC//nanS//mglC//uxaA//glpB//tar//entH//tehA//envY//yeaR//fdnH//srlE//oxc//paaC//oppD//treR//dapD//ilvC//dppA//dppF//gntX//crl//glgC//fhuF//tsaE//livK//rpmI//rrlG//araD//aaeB//fbaA//uof//slt//ahpC//artQ//glcB//fau//crr//ccmF//sufD//gspF//glpC//oppD//yjiY//betB//infC//treB//nikR//glcD//creB//hyaA//xapB//nrdE//uhpC//fepD//rstB//gspF//gspE//mhpE//fucO//tnaB//nuoH//agaW//bcsB//hyaA//hofM//yaeQ//yaiW//trpB//znuA//allC//dppC//ilvC//malZ//cydA//trpB//narJ//cytR//citE//purH//acrF//glnK//nrdH//fimH//grxD//metL//hyfH//phoR//infC//dnaN//argH//entS//glpE//feoB//pstA//mtlR//gspH//lysA//tdh//hdeB//chbB//aaeB//ugpB//fes//dppC//tar//purH//cysA//yegH//ptsG//nuoE//yeaE//hofB//cvpA//cysP//fadJ//puuD//pgpC//tyrA//nuoI//deoD//glpA//hisP//cysM//micF//carA//hflD//arfB//hofN//focB//rrfC//dcuC//napA//yaeQ//tsr//gltV//hyaB//nuoB//cydA//phnP//glnA//paaI//hycG//hycC//mglC//norV//hdeD//ileT//yfaE//entC//hpt//lsrR//fadJ//idnD//cas2//gatY//artQ//mtlR//rrfF//gcvT//rnpB//hyaF//entD//frdA//dadA//yhhY//fucR//kbaZ//oxyR//moaB//prpC//rcnA//garK//hybE//uraA//chiP//secB//fimI//mtlR//dusB//yoaG//aceA//gntT//hflC//katE//znuB//cpxA//sohB//hcr//dppF//sgbE//creA//dadX//aceF//csgG//nfuA//gspM//nrdA//oxyR//mhpF//manA//ugpE//feaB//metA//hybO//nfuA//prpB//bcsZ//rprA//citG//ompC//upp//dnaA//yiaK//yaiA//rpoS//nanE//cyoB//guaB//srlR//rcnB//priB//nanA//yeaE//aldB//mpl//ugpB//glpT//ileV//glrR//exbD//lpxA//slt//edd//ispE//manX//nuoJ//rhaT//agp//srlB//grxC//baeS//frdA//gltD//hyfH//tnaB//lsrD//yoaG//fecE//hybO//rrfC//alkA//pstC//hybC//pgk//cynT//eda//fadL//rseB//rpoH//sucB//glcE//purD//cpxR//ccmB//tar//katE//glpC//citF//ydhW//alaA//fdhF//tolC//
FhlA-Formate	envY//sucC//cyoE//safA//aspA//mdtD//idnT//xylF//evgS//dppB//purN//tehB//uhpT//rpsJ//cdd//dgcZ//metE//glpG//ogt//prs//hypE//fnr//fur//focB//yhcH//ascB//argO//trpC//yaeQ//atoB//
FucR-L-fuculose-1-phosphate	mhpA//dcuD//purC//tdcF//cpxR//phnF//ppdD//
Fur-Fe2+	lsrR//hcp//malG//fadE//tehA//cstA//rybA//cysG//lsrR//metY//ampE//bdcA//epd//yiaK//tyrB//argD//paaJ//nagC//rybB//hpt//gatA//gspD//sgbU//pepT//upp//nikA//ompX//nirB//gabT//rutE//deoC//nfuA//caiD//pgaC//yhfA//yaeQ//cysJ//frc//paaZ//malI//nagA//pck//ydeA//acrD//sodA//ydfN//oppB//tauA//betB//moaA//nikR//acrD//ulaC//glcC//mtlD//gabD//exbD//crr//gspM//chbC//cysA//csgG//dcuR//nrdI//appX//hyfC//gnd//speC//pitA//nrfE//katE//tdh//yfaE//borD//prfA//galP//nrdG//ydhT//argA//gspG//fumA//qseC//fimA//ahpF//mltC//yfiP//pepT//yfbR//sgbE//pta//fnr//yqjA//araD//glpD//hycH//rutA//fabZ//xylA//lamB//napA//nuoG//ubiX//dcuA//gntT//moaB//glyA//nuoA//hycD//soxR//trpL//trxA//dps//fhuE//recF//cheY//lpxD//dsbA//citC//phnJ//aspA//nfuA//cysB//allE//glnD//rrlD//tsx//qseB//metA//prpC//bamA//hyaB//hycF//yhjA//tomB//caiF//aspA//bacA//ynfK//leuE//ssuB//
Fur-Mn2+	copA//araF//glpK//fabZ//feaR//feoC//moeB//abgB//ampE//pagP//rrsE//pgpC//ptsG//mglC//sgbH//hycI//fdnI//dpiB//speC//ygeH//casD//dppB//fepG//pheM//hyaF//cysG//cynX//allC//evgS//cheZ//paaG//appX//narX//hofC//glrR//tsgA//trpL//thrS//ubiG//lpxD//thrV//mzrA//gltU//glnD//rutE//rrlD//hofC//murP//tdcB//appX//phnM//fnrS//caiA//tyrB//uhpC//nupG//slt//rplI//yqjH//ccmC//cysG//cysI//rrlE//cueO//miaA//nrfF//fecR//gntR//cysI//deoA//arcZ//ilvL//mtr//yhfA//cusB//ndh//gspJ//lsrG//dcuC//rpsJ//speC//phnD//nrdH//aaeB//lsrK//truB//chbC//dppA//tdcA//purF//zwf//crr//puuD//fur//pstB//yfdE//bioA//paaB//metF//phnF//dmsC//glpG//glnK//tomB//gspH//rrlE//mdtB//glgA//fepB//phoR//edd//yjeV//ompA//talA//malQ//puuP//hycA//hyfC//ompF//glcE//glrR//ilvX//entF//pgaA//uhpB//psd//pheS//citX//pncB//yhjA//betI//glpT//argC//glgX//hisM//moaC//nanT//tdcA//creB//rutF//
GlcC-Acetate	bacA//nfuA//ompC//yeiW//prfA//ampD//ydiU//
GlcC-Glycolate	uxuR//entH//prpC//gatA//grxC//waaH//hdeB//
GlrR-Pasp56	hisQ//
IclR-pyruvate	hybO//yhfA//nuoK//kbaZ//
IdnR-5-ketogluconate	ccmG//yecR//phnJ//uhpT//ssuA//fepC//ydhU//pgpC//
IdnR-Idonate	aldA//ulaC//argH//idnT//gltT//rbsB//rplM//fhuA//
IlvY-2-acetolactate	pstC//gntP//
IlvY-Alfa-acetohydroxybutirate	ilvL//hypF//
IscR-[2Fe-2S]1+	alaA//arcZ//galK//nuoE//evgA//dmsD//avtA//mtlD//fadE//stpA//ydfH//rrsC//tdcD//fadL//metY//argD//ydfN//ybiT//umpH//hofB//gpmA//garL//narJ//uidB//ahpF//ygbA//metL//purB//caiF//tyrA//ftnA//amtB//nrfB//paaZ//motA//nrdD//fimA//hfq//ybjG//aceE//uxuR//
LldR-L-lactate	fdnG//sdaA//dmsC//
Lrp-Leucine	gpsA//fur//waaH//ompA//chbB//ptsH//ydiU//grxC//hemA//nupG//rnpB//gatA//nrdD//zinT//sgbE//csiE//glmY//narG//hisQ//cueO//sdaA//efeU_2//cyoA//ycjX//yrbL//rhaT//focB//ilvM//metJ//trxA//ascF//rpsC//fur//mhpD//rrlD//glmY//hybE//rutA//crp//tauB//ompR//yegZ//nikB//rnpB//phoR//nuoH//bioD//recF//amtB//fliZ//ybdN//yfaE//artQ//crr//sucC//rcnB//mtlA//araH//uraA//mglB//tsr//aceF//cvpA//dsdA//ccmC//aspA//phoQ//fadH//entB//entH//ihfA//prpE//chbR//lpxB//astC//nikB//tdh//glyA//napB//nanC//rstA//map//ygeH//uhpT//nuoC//gcvT//eda//sbmC//ptsI//ynfE//slt//ompR//cdd//sohB//fucR//fdhF//rseA//galK//betA//speC//aroL//oppF//pflB//ompR//glcB//rrlH//
LsrR	norW//prpE//fadD//bioF//ybfN//edd//gntX//creD//pgpC//
MalT-ADP-Maltotriose	gcvT//pflB//pck//deoD//ynfE//ubiX//bioA//hdeA//rhaT//cysI//
MalT-Maltotriose-ATP	moaA//yaiA//phnN//mntH//tdh//dmsD//fimC//cytR//lpxD//nikC//
MelR-Melibiose	glmY//phoA//mltC//
MetJ-S-adenosylmethionine	rutB//rutE//acs//adiC//acrA//rpsS//torR//mntH//paaD//nrdB//gadB//malE//rrfH//glcD//moaA//
MetR-L-homocysteine	oppD//cyaA//prmC//bglG//nhaA//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]	priB//fadJ//yhiD//fumC//nuoG//ydeN//
MhpR-3HPP	fbaA//acnA//yfdE//osmY//cheY//phnI//
MntR-Cd2+	katG//acs//entF//nrfG//garP//
ModE-MoO42-	deoA//rpoE//cusR//caiF//nrfD//phoU//frdB//fadL//glcD//nhaR//ydhW//cheA//speB//glgP//folA//xapA//katG//rnhB//rutB//ssb//hycG//zwf//chbR//garL//araA//lysO//metY//chbG//mglB//pck//yeiW//pepT//yeaE//ampD//rhaT//nikA//tap//argD//galS//adiC//ssb//metA//fadJ//katG//tap//actP//
NarL-Phosphorylated	rrsH//aroL//ebgA//crr//nrfB//rrfD//rhaR//fimC//allC//metI//metH//dpiA//degP//nuoE//glpF//hybA//xylR//ahpF//dgcZ//astC//phoU//ulaD//glnD//priB//hypC//gcd//dctA//hypD//puuD//bioA//ygiA//feaR//tdcG//mhpB//gspM//ilvH//entD//ydbD//nagB//nirC//ptsH//nrdE//nanC//norW//entH//glpE//speB//fepG//torD//hybD//fur//nuoM//galT//cadC//csgF//ydhU//metL//marA//garK//hcp//ycdZ//ybdN//araD//qseB//thrS//cydB//ycjX//nrfE//preT//ompC//malK//phnO//hdeD//tdcC//ydeM//dnaE//hyfI//rcnA//mhpT//yiaM//rpsQ//dpiB//dadX//rplI//ccmE//paaE//ftnA//rpmC//rplT//ccmB//hyaB//metK//dapB//glmY//tnaA//cydC//thrV//dsbA//fimD//rnhB//rpsI//hyfG//cirA//iscU//tdh//cusR//gatY//argE//fldA//glnD//dkgB//hyfG//modB//rnlB//aceB//fadD//livK//fepC//napD//trpA//nanS//cheB//prpB//csgD//rhaB//
NarP-Phosphorylated	gspF//pitA//yiaL//fecB//cheB//acrE//argF//hupB//tdcC//sufE//hemA//copA//carB//cynR//nirC//fecC//yfdX//argO//rseA//livH//baeR//dnaN//purN//yqjI//agaV//aldA//cysW//erpA//nohA//rdoA//rpsJ//lacY//crr//ompC//glcF//gltF//yhiD//yhcH//ppdD//comR//metC//aroF//pncB//citC//mhpA//lldP//paaD//cbl//adiC//gspD//
NhaR-Na+	xapB//cyoA//gutQ//fnrS//srlE//ydfN//hyaF//
NikR-Cd2+	dadA//rplD//fixX//nrdI//moaE//aer//
NikR-Co2+	iraD//tyrR//sufA//ahpC//rprA//yojI//
NikR-Cu2+	cyoA//hdeD//casD//artP//alkA//lsrC//
NikR-Ni2+	abgT//gadB//azuC//pncB//bcsB//argF//
NikR-Zn2+	frdA//cysD//cynR//ysgA//puuR//mtr//
NrdR-ATP	frdB//cyaA//nrdE//mdtD//zntA//hypC//dcuR//nrdI//cynR//
NrdR-Zn2+	folE//cysG//csgC//epd//ascB//zraR//cyaR//napF//ydeO//
NrdR-dATP	hycH//acnA//nrfA//gatY//fixB//yfaE//mglC//argB//pitA//
NsrR-[2Fe-2S]reduced	moaE//tdcG//garP//pheM//fixA//flhD//cyaA//ybiT//hybC//nuoI//folA//nrdD//aroP//lsrB//pdeF//argE//yiaJ//paaK//dsdX//fecA//nrfC//yoaG//map//tyrP//agp//idnO//narX//yciW//appA//iraD//nanS//treB//paaK//citG//hofN//yfdX//deoD//ompC//prpC//gapA//phnG//hypA//rrlG//hycD//yeiL//cheY//hofB//ccmH//melA//yqjA//cysN//betT//cysG//melB//yegZ//csgA//hflC//hisQ//zntA//cheY//cadB//rrlD//tdcC//hyfH//aspA//trpC//fhlA//rpoS//pitA//purF//hyaD//nagC//rrfG//
PhoB-Phosphorylated	yiaO//gspC//argH//bacA//abgA//hycG//pck//phnF//melB//argR//nikB//aldB//ydiU//fadB//glpT//rplS//glpF//murQ//nuoC//lpd//rutC//yqjA//rhaT//lysO//rpsI//pgaA//ccmH//norW//nrdA//nac//hofO//infC//crr//mhpF//bioB//rpoE//hyfD//chbC//gspL//ccmA//mglB//rpsO//proP//nrdF//bcsC//ugpC//livJ//hycI//tdcC//glgA//nfuA//cydC//nrdB//malM//rutA//rdoA//alkB//yhjA//ompW//cvpA//frdC//
PhoP-Phosphorylated	rhaB//phoE//gltD//hisM//metE//rrfG//sufS//cyaR//arcZ//gpmA//mzrA//lldD//argB//bcsC//zraS//chbB//cusF//bioD//mdtA//allC//ndh//erpA//fadB//acrB//araF//argD//ykgM//katG//rpmC//livH//ydhV//yegR//polA//ftnB//rybA//glyA//ydbD//phoA//lacA//nhaA//ubiC//fimH//yjcH//glgA//sucB//fepD//yiaJ//aceA//uidA//glrR//tar//hisJ//bioF//aroH//ydeJ//sufA//ykgR//
PrpR-2-methylcitrate	ssuA//manZ//lsrA//oppC//entC//
PurR-Guanine	dmsA//yiaN//nikC//talA//cheW//purE//cyoA//rplP//entB//sucC//csgD//map//creC//malZ//cyaR//yoaC//phnI//ileT//allE//yiaM//oppA//fucP//tdcG//gnd//glpX//fumC//idnT//nfuA//araE//fur//nikB//rpmC//grcA//crl//
PurR-Hypoxanthine	sdaA//adiC//hybE//araC//sbcC//ilvM//ygaC//dnaN//tehB//malX//ydiU//frc//gutQ//dsdC//focB//dsdC//yhfA//rbsD//fadE//malI//cynX//rrlA//hupA//mtlD//cheZ//ogt//nirC//ccmH//caiA//rybB//glcC//oxyR//entE//purF//
QseB-Phosphorylated	ryhB//entF//ssuB//zraS//
RhaR-L-rhamnose	arcA//aspA//
RhaS-L-rhamnose	thrS//atoE//fur//argI//pheS//moaD//
RstA-Phosphorylated	ugpC//artI//exuT//cadB//hyaE//fhuE//fepD//cadB//phnG//malX//
SoxR-[2Fe-2S]3+ oxydized	gapA//agaW//glrR//srlD//
TorR-Phosphorylated	carB//dapD//mutY//polA//rpoE//glpB//fecR//dadA//fadJ//malT//
TrpR-Tryptophan	galT//norR//sufS//secB//hisJ//gatA//nuoK//malK//malG//tonB//hemL//cysI//
TyrR-L-tryptophan	degP//ssuE//fldA//ampD//fixA//ahpC//hybD//chbR//tcyJ//rbsK//ahpF//prpC//fumC//metF//
TyrR-Phenylalanine	rseA//cydC//norW//aceE//purB//allD//argO//rimM//cadB//fadJ//hofC//rbsC//nirC//creD//
TyrR-Tyrosine	lhgO//folA//rbsA//envY//cheY//hisQ//aaeX//guaA//fhuB//fixB//treB//serA//cbl//rnhB//
UhpA-Phosphorylated	sgbU//
XapR-xanthosine	astA//ydiU//
XylR-Xylose	alkA//argF//nrfA//casD//deoC//yoaC//
ZntR-Cd2+	purN//
ZntR-Hg	nupC//
ZntR-Zn2+	rbsR//
ZraR-Phosphorylated	kbaZ//yfeW//malQ//
Zur-Zn2+	ryhB//hybD//miaA//nrdB//yhcH//gabP//
