#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	rbsK//cysD//phoA//aroF//
FNR-[4Fe-4S]2+ reduced	pdhR//dadA//ccmD//codB//nuoB//secB//fumA//idnR//ansB//frdB//rrsH//mscM//ilvI//atoB//chbR//csgA//glpR//tadA//fecA//uhpC//csgB//fixB//gltB//gatY//preA//oxc//trpC//astC//araH//phoA//bamE//trpC//arfB//skp//preT//glpA//map//nrfC//nrfG//hyfG//nagA//ahpF//xylA//sbmA//purC//glyA//caiD//rrfC//sucA//ulaC//cysP//zraS//livJ//nrdB//lsrB//secB//paaJ//oppA//casC//glcC//rhaS//ilvX//cspE//nrdD//oppA//rhaB//tam//flhC//idnT//phnD//ihfA//mdtB//cpdB//fadA//nrdG//ygiA//dmsB//rhaB//hcr//osmY//sohB//modC//nikA//ynfH//phnE_1//fimD//sucB//fnr//tfaQ//cadA//cadB//gabP//paaG//ccmH//melB//hydN//astC//ileV//ilvM//psd//gspK//rybB//fdhF//norR//hyfF//hycD//qseC//lrp//feoB//yfdX//sufD//znuA//ppdD//argO//rpsO//phnF//argA//gntX//yrbL//citF//rrsE//nanC//nmpC//tauA//csgD//ssuA//mdtC//gltF//yfeW//dpiB//iscR//malY//mglA//cynS//artQ//yhiD//nanE//cheW//rpsO//sucD//ychH//hyfH//nac//katG//hycD//gatZ//entF//nirC//soxR//nrdH//purC//napD//melB//dnaE//guaB//garK//hycB//psiF//nhaA//phnD//lldP//yhfA//tyrP//mpl//gspM//soxR//glpA//cynT//bioB//citE//nrdA//rplM//rpsR//uxaA//chbR//evgS//cyoA//idnR//gpmA//lysA//uhpA//sufC//napD//idnD//modA//ryhB//purE//mipA//yaiW//purE//rplS//glnB//phnH//ygiC//fimC//ssuD//nuoH//nfuA//ilvX//sbcD//fhlA//lhgO//ygeA//ulaC//gspD//cadC//phnK//ilvC//ssuB//hdeD//rpsF//lsrF//yecR//yfdE//rhaR//serA//gltA//prpR//ilvB//tdcD//paaB//aaeB//yidQ//nuoG//dcuA//yfdV//soxS//rnpB//glgP//fucI//dsdA//cspE//rpsO//ebgC//carB//znuC//cheY//rprA//umpH//rbsA//yeaR//rpsF//astA//fimD//ulaC//gatD//ahpF//uidB//purK//puuB//yiaO//yebE//rrsA//cra//fis//gatB//rrsB//lsrB//torC//citF//casB//mhpA//purB//rutB//dcuC//feaR//deoB//artQ//fixA//yegR//ydiU//sroD//chbA//yoaG//fau//rplP//gntU//lsrC//mdtC//exbB//bglF//rhaR//trpD//cyoC//nuoA//marR//nohA//hofO//galM//csiE//agaV//yfbR//hyaB//ileT//lpxB//malY//prpB//glgS//glpT//creC//ygiA//pgaB//marR//ogt//narL//
FhlA-Formate	putP//nrdE//nikR//dcuB//glgC//rpsI//marA//dps//fucI//uof//rseC//bioD//rhaB//gabT//acrD//nrfF//ccmF//bioC//cysI//rplM//xylH//tdcD//araB//fadE//mhpB//yhjC//araC//acnA//ydeA//ybdZ//
FucR-L-fuculose-1-phosphate	glgP//yjeV//oxyR//prs//paaF//hupB//metQ//
Fur-Fe2+	puuA//argE//livG//marR//frdD//betA//rhaA//hslJ//mtlA//yeiP//livK//rbsC//ssuA//yojI//fdnG//rutC//yiaL//cspD//rimM//rbsB//bglB//manA//pstC//tdcG//bioA//yaeP//eda//ubiA//cbl//xapB//cysI//uhpC//citF//rutG//lsrF//ndh//gpmA//gntT//ccmC//gspG//bglF//cysH//araH//garP//slyB//ulaE//serA//phnE_1//ebgA//phnO//metL//rplM//bglB//ynfK//spy//csgD//aidB//hyfD//amn//mutL//exbB//tsr//dadX//metJ//paaH//gpsA//ydhW//glcG//gatY//arfB//hycD//dcuC//metF//argP//ydfN//ydiU//paaK//ilvE//iraD//nikD//astB//cysI//hybB//tfaQ//cydA//ptsH//trg//pgaB//erpA//caiD//hofP//mzrA//pck//appY//dsbA//csgG//xylF//comR//mhpC//yjeF//yegZ//rnlA//paaI//cynS//melA//lsrR//pstA//rnlA//yciW//ogt//malP//degP//fliA//ptsI//yiaN//lysU//entH//lldP//artM//citF//paaJ//amiB//hycI//rrsB//gspI//bamE//xylH//manZ//dsbA//yiaK//araG//argT//dmsB//miaA//cydD//fabZ//csiE//lhgO//tdcC//dppF//
Fur-Mn2+	pstC//uidC//ssuC//fdhF//nlpD//yeaR//melA//glyA//mipA//lacY//xylA//ompX//ppiA//sgbH//sdhA//phoE//phnI//nuoL//gnd//ydhX//dppF//tdcE//citX//rutD//rrsH//yedX//cynT//rbsD//prfA//oppF//fecB//ahpC//serA//mzrA//cysP//katG//ldtC//mhpF//mglA//rof//srlD//tpx//yaiA//artJ//casE//phnO//rplD//glcG//frdA//focA//hycC//rplV//yoaG//moeA//betT//ompT//argP//oppC//phoU//paaZ//treR//mhpB//hisJ//purB//aidB//cadA//entS//allE//yhiD//dppA//yciW//mdtC//tyrA//aceB//pstC//epd//raiA//fecR//amiB//dctA//cbl//skp//hyfG//gspJ//dmsC//aceA//araB//aceF//yojI//hyaA//glpD//rutA//narQ//sbmA//ackA//ulaF//malI//cynT//nrdF//tar//trpD//ogt//phnL//araJ//ugpB//cynT//hyaD//hycC//bglF//fepB//oppC//cysH//hisM//mtlR//acnB//gatC//yeaD//slyB//narG//narL//tnaC//creA//nuoF//hemA//glpA//glyA//mntH//ydeA//rrlD//garL//metJ//putP//lacZ//csiE//tyrP//creD//casE//livH//rpmC//entS//
GlcC-Acetate	polA//xylB//lyxK//malF//paaE//zntA//casD//
GlcC-Glycolate	uhpB//prpB//ccmA//rrsE//ogt//appB//aer//
GlrR-Pasp56	dcuS//
IclR-pyruvate	entH//aroL//idnD//fucA//
IdnR-5-ketogluconate	argR//hflD//phnL//fiu//yhjC//gatZ//yidQ//malS//
IdnR-Idonate	soxR//glnG//nuoB//hemA//hofC//nrdD//malT//nuoA//
IlvY-2-acetolactate	hypB//ybdN//
IlvY-Alfa-acetohydroxybutirate	trmD//ubiA//
IscR-[2Fe-2S]1+	caiB//metE//adhE//mglB//lpxD//ssuA//adhE//yaiA//dppA//dmsC//fadH//rimM//alaT//hupB//ydhY//kbaZ//betI//rcnA//cydC//evgA//cra//araD//fucR//ssb//lacI//gatZ//rpsR//alkA//glgP//treC//casC//narH//mpl//pck//hofM//citX//pta//uxaC//rrlA//cusS//entE//
LldR-L-lactate	rybA//prpC//livK//
Lrp-Leucine	ilvG_2//araH//csgD//ugpC//yeaE//ilvD//napB//glpD//ilvB//truB//fepC//eda//nusA//xylR//casD//dgcZ//fimH//xdhC//gpmA//dmsA//aceK//araC//ytfE//gltA//hybC//fliZ//treR//yhhY//narQ//fhuF//araA//gltA//priB//gntX//bioA//sbcD//zraP//fecI//rrlC//ynfE//ykgO//yiaJ//miaA//waaH//hyfI//xylF//infB//ydhU//hcp//lamB//stpA//yhcH//narG//metQ//xapB//iclR//cyaA//atoD//cdd//envZ//rnpB//hycH//acrF//tehA//fadL//rnlA//alaS//baeR//appY//bhsA//rrsH//narH//ryhB//znuC//manZ//tnaC//aldA//yfaE//tdcA//crl//glcD//tcyJ//araH//avtA//rutA//yjeV//hflD//tnaC//gatA//rutF//metA//nuoC//mepH//yiaK//ndh//glpC//fucU//oppD//prs//fhuE//ssrS//ileT//exuT//metB//hybA//soxR//
LsrR	tehA//ssuD//tnaB//prpR//glnK//glpC//nuoA//cra//metR//
MalT-ADP-Maltotriose	ygiA//malK//moeA//pitA//fecB//rnpB//narJ//mhpC//rhaD//rpmC//
MalT-Maltotriose-ATP	nrdF//ada//yfbR//purK//yciW//gltB//hlyE//norR//hypC//cysI//
MelR-Melibiose	ileT//fnrS//gspG//
MetJ-S-adenosylmethionine	ogt//yjeV//ascB//ldtB//narL//bcsC//fixX//fucR//srlR//edd//ydhW//sbmA//idnD//cusS//rplV//
MetR-L-homocysteine	rplD//mzrA//sufS//entE//cysB//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]	ydeN//argB//hypB//rutF//purL//crp//
MhpR-3HPP	gatY//yedX//sucB//aceE//cadC//ompR//
MntR-Cd2+	dcuC//trpR//lsrK//lrp//rrfE//
ModE-MoO42-	fhuF//mhpR//feoB//gapA//aaeR//gdhA//ygaC//malS//cusB//csgG//mglA//aroA//mhpR//moaE//hyaA//narG//tsgA//lpxA//paaA//rrlG//nac//gatB//zraS//ilvD//phoP//glgB//treR//paaB//evgA//ilvG_2//rseB//tauD//yaiA//hofC//araH//nuoG//agaV//lysC//yjcH//rbsK//fimA//bamA//ispE//livJ//oppA//rpsQ//
NarL-Phosphorylated	rrfB//cysP//ftnB//hpt//sufB//xdhB//fau//degP//gcd//gatA//rnlB//casA//yeiW//prpD//mipA//purE//livF//norV//ilvD//uhpB//alaA//purC//trg//fliZ//hyfD//nfuA//tnaC//glpF//livK//rrfF//ydhW//yaiA//soxS//cynX//srlE//gabT//hemA//sxy//hupB//bglG//icd//csgG//sxy//acnB//moaC//xylH//bglB//ampD//rof//rybB//ygiB//fimD//ccmA//moaD//thrV//argE//gspG//srlA//tdcG//hcr//sdhB//caiD//phnE_1//hpt//yojI//tsaE//allC//lsrF//tyrA//marR//narK//ydeO//alaU//glcB//pitA//yeaR//ung//hdeD//atoA//prfA//iclR//trxA//acrE//motB//tdcD//ompX//flhC//patZ//paaZ//puuE//pck//gyrA//sdhA//fucA//umpH//ogt//galK//ahpC//alkB//caiD//infB//rpsJ//dmsC//yneM//rhaT//glpE//aroH//manZ//nuoG//paaE//rrlB//hydN//purA//ykgM//rpsI//paaA//frdD//narK//kbaZ//lldP//fixC//purA//trpA//ilvN//sdhC//
NarP-Phosphorylated	tyrB//cyoB//ssuD//ompA//ssuD//sroD//chbB//nanA//rplT//sodA//yjcH//phoH//yciW//phnC//qseB//cusB//paaG//rbsA//fdnI//leuE//iclR//cadB//ychO//rpoS//hypB//pyrC//narQ//fixA//focB//ydhW//xylB//trpA//argC//rseA//ptsI//oxc//lldR//ugpE//trg//paaH//cheZ//gspC//fnrS//gatD//yhjC//pitA//rhaT//uidB//grxC//putP//
NhaR-Na+	argE//uxuB//pheT//cas1//malT//dcuR//casE//
NikR-Cd2+	fhuE//rutF//fepB//araG//aldA//trxA//
NikR-Co2+	pyrC//ompX//deoD//hycE//sufE//citE//
NikR-Cu2+	crr//exbD//mhpT//moaC//hcp//ulaF//
NikR-Ni2+	aldA//ynfH//rmf//purR//proP//ytfE//
NikR-Zn2+	hypF//ccmH//prfA//argI//ispE//rrfF//
NrdR-ATP	hcp//abgT//degP//prpC//rhaB//nuoC//gltV//nikE//tsgA//
NrdR-Zn2+	pgaB//ygeA//fadI//yfiP//ppiD//lldP//fimC//hybA//ysgA//
NrdR-dATP	hflD//lyxK//chiP//rutG//yaiA//copA//tam//sufC//thrV//
NsrR-[2Fe-2S]reduced	acrE//entS//casC//pgaD//grxC//marR//gspF//emrK//gpmA//gutQ//astA//prpR//lpd//aaeA//hflK//fimA//gcvH//dcuC//tar//phnL//mgrB//cspE//narJ//gspH//tdcD//yiaL//pgaB//uxuR//ssb//nrdB//prpB//glnA//ysgA//lsrD//araB//narQ//map//csgE//prpD//psiE//znuC//artQ//araB//hflK//glcG//xylA//lrp//hypC//paaF//fimG//nanS//gnd//dsdX//evgS//nirB//hycI//moaD//lacY//tauC//nikA//dcuS//mdtC//entH//galE//ugpC//ppdD//mtlR//lpxD//paaD//glpT//fecR//fixC//rdoA//
PhoB-Phosphorylated	srlA//feoA//xylG//argP//sucD//comR//nrfG//focA//ygiC//sdhD//araJ//metL//ydhV//ftnB//paaF//nhaR//tehA//raiA//astD//rpoH//gabT//appA//cadA//nrdI//phoA//galT//argP//cadC//pheM//rstB//ftnA//cas1//sufA//dadA//ompT//nrdB//ygaC//priB//trg//nupC//uraA//sbcC//bioA//ygeA//frdC//fepE//aaeB//ssuC//yegH//ryhB//yccA//pstB//dppC//alaT//abgT//xylA//yaiA//yhfA//paaA//map//hybG//
PhoP-Phosphorylated	hupA//mgtL//ydeA//rpoE//torR//chiP//lacI//casD//metE//yiaJ//uxaC//pheM//talA//carB//ompT//appA//fecE//casC//baeR//ilvB//nrfB//ilvE//fimH//ykgM//yegZ//yaeP//rnlB//galK//fucI//bcsA//speA//ptsI//nanC//frdC//ccmB//fldA//sroD//ynfG//fiu//treR//purE//rbsR//yegR//motA//dadX//caiB//raiA//dps//ivbL//nrdG//dnaA//fecC//ileV//hisP//fepB//gatY//tfaQ//
PrpR-2-methylcitrate	rutC//asr//codA//icd//prpR//
PurR-Guanine	ybfN//caiD//fliZ//ung//ssuA//marR//glcG//rbsD//cueO//rpoS//rplI//mglC//fhuF//nagB//galE//xapB//tyrP//mltC//narQ//lpxA//nrdF//codB//casA//hyfC//nanT//ssuC//ybjG//mhpR//focB//yiaK//fur//argP//araD//feaR//
PurR-Hypoxanthine	hyaA//rrsD//purR//moeA//glpR//fecI//tnaB//znuA//gspI//rplD//yfeW//aroL//xylA//paaJ//speA//feoC//focA//fbaA//rpsO//rdoA//hpt//malQ//agaV//motA//znuB//osmC//cueO//citX//prpB//hyfC//cysW//avtA//astB//gltV//
QseB-Phosphorylated	glcF//ysgA//spf//rrfC//
RhaR-L-rhamnose	garP//agaA//
RhaS-L-rhamnose	yggX//prpR//rutC//paaG//hyfF//gspJ//
RstA-Phosphorylated	aceB//gltT//hyaF//fbaA//ycdZ//fis//ompW//glnL//ascB//csgF//
SoxR-[2Fe-2S]3+ oxydized	dmsB//fixC//paaH//cusC//
TorR-Phosphorylated	mhpD//gntK//hypE//metQ//glpX//ugpA//yqjI//paaA//rplD//katG//
TrpR-Tryptophan	sroD//dppF//ispE//yoaG//mgtL//alaT//citG//dsdC//grcA//iscS//ygiC//hybG//
TyrR-L-tryptophan	fimC//asr//modB//srlD//phoH//hycA//aceB//rhaA//xapB//rybA//hycI//nrfB//prpD//glnG//
TyrR-Phenylalanine	hofC//mtr//srlA//fnr//gntU//ydeO//ynfK//glpE//hyaD//mhpA//hybC//bcsA//gspD//murQ//
TyrR-Tyrosine	cpxA//csgE//nuoM//lacI//feoB//hycC//sbmA//garK//entS//puuB//cbl//hofN//yqjI//hybF//
UhpA-Phosphorylated	ebgC//
XapR-xanthosine	phoU//nrdD//
XylR-Xylose	deoA//glpE//pheT//csgE//abgB//hyfJ//
ZntR-Cd2+	entE//
ZntR-Hg	nikE//
ZntR-Zn2+	araD//
ZraR-Phosphorylated	sdhA//hdeA//nuoI//
Zur-Zn2+	fucR//yegZ//yoaG//astC//tcyJ//pdhR//
