#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	hflX//putP//gntT//cysG//
ChbR-Monoacetylchitobiose-6P	uxaC//mgrB//fucA//amtB//garL//nusA//
CpxR-Phosphorylated	malS//cysG//csgA//baeS//ilvH//srlR//norV//sbcC//manA//epd//cstA//paaK//pepT//cysU//cas1//ompF//ulaD//tolC//baeS//metY//tyrP//rplT//nuoI//cheZ//ccmB//nlpD//fes//aroL//yrbL//rpsQ//ptsI//ulaC//ebgC//cynR//gntR//garL//bioC//puuE//crr//nanT//soxR//fhuD//chiP//uraA//pyrD//actP//gspH//fimI//evgS//hupA//metA//tam//uhpC//rplS//bioF//hyaA//tyrR//rprA//pdhR//paaH//mtr//yaiW//fecR//cysB//rplD//tsx//bcsA//cysP//prpB//
CreB-Phosphorylated	hisQ//glpX//mscM//uidB//ilvX//alaS//rbsB//cynT//fiu//
CueR-Ag	aceB//cpxA//gltT//aceA//ppiA//betI//ispE//
CueR-Cu+	lysC//yaeP//ackA//fadH//malE//fucO//mglA//
CuerR-Au	entA//aroF//ydeA//ilvB//degP//norV//cadA//
CusR-Pasp	ryhB//yhfA//rplB//moeB//mtr//casA//tadA//emrK//hflX//sufD//znuB//rof//
CynR-Cyanate	acrD//nupG//argT//fecA//
CysB-N-acetyl-L-serine	uxaA//ssuB//efeU_1//rrfF//creD//ybjG//hybO//dsdA//rrfD//yiaM//hpt//fadA//spy//mdtC//ilvL//preA//creB//artM//bdcA//cynS//gadC//cas1//lolB//nuoA//tdcD//yoaG//argD//glgA//psiE//gadC//
CysB-O-acetyl-L-serine	ygiC//frdC//phnF//ssuC//norR//ung//purN//uhpC//fucU//mglC//rnlB//gltD//rcnB//alkA//fixB//tauA//sdhB//glnA//zraR//cysA//nrfG//nuoJ//purN//mglB//gltU//gpsA//nanT//melB//ccmE//srlR//gapA//
DcuR-Phosphorylated	cusC//ydeA//glpK//rcnB//comR//ileU//fhuE//exuT//agp//
DnaA-ATP	exbD//malZ//abgA//mipA//argI//hycA//fepG//rbsK//pgaD//glcF//yccA//pheT//
DpiA-Pasp	hypF//fepA//micF//guaB//gcvH//rnlB//metI//gspG//glmY//artM//rhaS//
DsdC-D-serine	nhaR//stpA//napA//
EvgA-Phosphorylated	rplT//ftnB//rpsJ//recF//frdB//araA//fepG//cheZ//fepB//narQ//gltD//rybB//appA//rpsO//micF//
FNR-[4Fe-4S]2+ reduced	feoC//ssuC//ydhX//nrdG//znuC//prs//rrlD//ansB//fadL//hyfI//ompR//rrfH//nrfD//acrA//phnN//hycG//fnr//hupA//trpC//ygeH//lsrK//purF//asr//xdhA//tauB//glgP//waaH//dmsD//fimG//nusA//rhaT//tauA//nuoE//casA//tdcG//ydeA//livK//cydB//artQ//rhaS//fepD//livM//priB//ilvI//ileU//ileU//trg//amn//gyrA//lldR//fimA//rrsA//creD//tadA//aldB//xseA//nanE//emrY//tsaE//cysW//galM//tehA//mzrA//tcyJ//crp//rrlB//yjcH//narG//nirB//napG//fliA//rrfA//phoR//glpT//entE//rmf//ompR//modC//ynfF//bcsZ//hmp//appX//pgk//trpL//hycF//astD//alkA//uhpB//mhpB//astE//araE//tehB//mgrR//crr//dsbA//cysG//rplT//soxS//sohB//degP//phnH//xylF//nuoI//ilvL//lpxB//fadL//rpsC//puuR//trmD//fabZ//ydiU//gltA//yeaE//ansB//glpK//pgaD//appY//chiP//nrfB//dcuB//puuP//rpmC//speC//rpmI//evgS//hypC//dppB//metJ//sgbE//nikC//lamB//rseC//yqjA//exbB//yfdE//citC//nusA//lpxB//deoA//fhuD//frdD//trpC//livK//ugpB//tnaA//torC//hybF//aspA//rpsI//araE//yiaO//lysA//aroG//moaB//rrlD//cheZ//safA//yegZ//fixA//cysW//fadL//entH//cusA//tsr//glnA//purN//citF//ugpE//astE//ugpB//lysA//nuoG//mhpF//grcA//malT//artM//oxyR//ulaD//entE//lyxK//lldP//phoE//mhpD//ndh//nagB//ynfF//sxy//ompC//malS//astC//astC//malM//aidB//feaR//rseA//ilvE//caiF//entA//fliA//fepA//ygeH//ccmH//ompC//yfbR//ulaA//hyfD//pgaB//dsdX//nlpD//metR//nanC//gspL//citE//livG//cheZ//ssuB//lpxD//cysW//pstB//rpoE//dmsC//ygeH//nrdA//hyaC//exbB//aroM//pitB//dgcZ//deoC//gspM//ugpQ//mglB//sufB//ampE//ilvC//rseC//gntK//ydiU//edd//nirC//sdhA//argR//ubiC//pheM//zraP//xseA//yeiL//psiE//hypF//deoD//fepG//efeU_2//cheA//gltT//gltV//slt//hemA//trmD//purA//fucO//cydD//proP//nfuA//trpR//fadB//yhcH//ileT//yfdX//acnB//cas2//ychO//dppD//bioF//napG//chbR//gutQ//atoB//ulaB//galK//tyrB//chbF//betB//dcuC//hypF//dusB//cstA//garL//hybD//mipA//lsrD//tar//srlB//garR//sucD//ptsH//epd//hofB//edd//appA//rmf//polA//narQ//trg//hypF//livG//
FhlA-Formate	norW//phnL//metK//mntH//chiP//abgT//pstB//tyrB//cusS//hyfE//sufC//entD//metI//ppiA//bdcA//tauC//glgC//cydC//fdnH//eda//hyfG//mepH//idnT//alkA//uxuB//lsrR//rrfF//phnJ//rpsQ//rrlD//
FucR-L-fuculose-1-phosphate	caiF//xylR//caiT//rimP//cpdB//atoE//mutY//
Fur-Fe2+	agaA//malE//nrdA//ugpA//glcG//gutM//uxaA//sodB//nuoC//argE//ldtC//abgB//artP//uxuB//gnd//ygaC//mgrR//rstB//gabP//uxaB//acrA//melB//motA//tauD//ccmD//alaS//malT//cusR//hypA//trpC//artJ//yaiA//aceK//fadI//cpdB//lysC//hpt//stpA//sbcC//phnM//cysU//trpE//fis//dmsC//casB//guaA//dcuS//nrfF//ssuB//cas1//nuoM//fadL//phnO//fecR//ubiA//chbB//marR//pepT//skp//ilvX//yedX//chbR//nanA//hemA//paaE//narJ//yqjA//hybB//upp//dpiA//envY//rrfG//ssuC//ybiT//yedX//iraD//fur//puuP//sbcD//sucD//astB//gcvP//focB//fhlA//lyxK//fhuF//aroF//gntX//fecD//casA//gltA//rstA//lolB//cusC//cas1//bioD//glpD//sgbH//metQ//mhpE//cynS//argR//lldP//uvrA//argA//abgT//rrlE//mutY//dppA//ada//nohA//nuoL//metC//rhaB//yaiA//xylA//rrfF//pgaB//raiA//gspK//csiD//grcA//hycI//efeU_1//tyrP//nrdF//mdh//torR//purF//narI//ileT//degP//adiC//feoC//uidC//uhpT//lacY//nuoB//ydeN//hmp//
Fur-Mn2+	oxyR//glnL//tyrP//rbsB//sroD//nuoG//dcuC//glpK//ilvG_1//nrfC//fadI//manA//dpiA//metQ//idnK//rplP//gltA//rrfE//moaE//osmY//argP//cheA//rrlE//tfaQ//mhpB//mcaS//rplD//iscA//betT//nanE//rrfH//trpB//mscM//aroM//mtr//rplV//nanK//dmsB//ytfE//nagC//raiA//mzrA//nirC//yegR//pstS//azuC//rpsJ//cspE//ilvG_1//aroP//gapA//gltA//napB//mgrR//tauC//sbcC//phnE_2//purN//gnd//purB//cynX//dcuB//rhaT//cheA//pitB//melR//cusB//pgaC//tdcB//yiaN//iclR//dgcZ//gspC//creD//fecD//ycdZ//paaB//purA//ydfN//rcnB//entD//tyrB//yfeW//moeB//mglC//metF//trxA//tauA//nuoK//yoaC//ndh//moaB//yiaK//entA//ygiA//ampD//ompR//chbB//tfaQ//entF//manZ//malQ//gdhA//nrdD//rplT//tsaE//mtlA//nrdI//entF//modA//feoA//guaA//lldD//mcaS//dcuC//ppiA//mhpB//folA//argC//mpl//fixB//eda//feoA//casC//hofO//ppiD//casB//ugpB//yiaM//csgG//infC//frc//mhpC//uvrA//ccmA//narQ//uxuR//yeiL//yfdX//ftnB//
GlcC-Acetate	rutB//malG//cpxR//katE//cyoB//phnE_1//dcuR//
GlcC-Glycolate	hyfH//focB//ccmC//fdnI//garL//nikA//yecR//
GlrR-Pasp56	rrfH//
IclR-pyruvate	livK//phoB//dadX//hflC//
IdnR-5-ketogluconate	rutD//puuR//gspI//feaB//paaB//yhfA//hflX//fepA//
IdnR-Idonate	prmC//cysH//glnD//aceK//fecE//bioA//rpsR//atoB//
IlvY-2-acetolactate	napG//hflX//
IlvY-Alfa-acetohydroxybutirate	yhjA//ilvX//
IscR-[2Fe-2S]1+	ompW//cyoE//tdcF//ydhU//dppD//nrfC//cheZ//oppD//nagE//csgC//fumA//proP//tdcE//cheY//metI//artM//lacA//argR//efeU_2//purF//cusR//glpB//prmC//zntA//artQ//ydeP//yfdV//phnH//mgrB//envZ//csgB//umpH//sroD//glgB//mgtL//csgA//ilvG_1//cheR//treC//rmf//rutA//
LldR-L-lactate	ynfG//lysA//casB//
Lrp-Leucine	agaV//puuP//ilvN//cdd//yojI//hemL//rrfC//ydhT//gspD//dgcZ//ascF//modC//cadC//glnB//tnaB//ihfA//stpA//cydA//flhC//oppB//moaB//gatA//yegR//moeB//grpE//emrY//psiE//uraA//narJ//garP//nlpD//hflD//nrdI//uidC//napC//abgA//nagC//gspF//glgB//paaE//yjcH//katE//gcvT//adiC//betB//aceA//glgS//aroM//tsaE//hycF//ssrS//acrE//acrE//narG//rhaD//glcF//nrdD//lysU//proP//infB//azuC//ivbL//frc//mlc//aldB//dnaE//ppiA//acrA//phnH//mdtB//nikE//nuoL//hyfH//marR//malP//lpxA//gadB//icd//acs//trpR//fimC//trpL//nrfG//napG//aaeA//raiA//gspF//xapB//soxS//xylG//garR//phoR//hisM//aldB//serA//hyaC//ung//astD//rpsP//casB//metY//nuoI//fecA//purK//ilvG_2//mdtC//
LsrR	malQ//fucK//dsdX//hypC//hycD//purB//glgX//aldB//flhC//
MalT-ADP-Maltotriose	creD//preA//ysgA//fecR//ygiA//lpxD//ccmC//hybO//bioF//gpmA//
MalT-Maltotriose-ATP	csiD//phoQ//galT//oppC//lsrG//ydhW//csgB//ydbD//pgk//ygeA//
MelR-Melibiose	puuC//rpsR//pdhR//
MetJ-S-adenosylmethionine	mtr//fhuA//rrlB//nrdB//rutC//moaD//rrsB//yqjA//xylA//iscA//ulaA//prmC//ulaD//aaeR//gatB//
MetR-L-homocysteine	tpx//deoA//entD//lpxD//yeaD//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]	ynfG//aidB//cynS//ydeP//spy//argI//
MhpR-3HPP	cydB//mgtA//sdhC//uxuA//leuE//fhuC//
MntR-Cd2+	atoE//rhaS//hycE//ygiC//malY//
ModE-MoO42-	rstA//uhpC//fiu//rutF//lsrA//araJ//hflC//tam//sgbU//rhaD//dppF//phnL//tdcB//pepT//gspJ//gapA//hybE//gntT//nrdH//ansB//hha//cydD//moaB//spy//torA//rrlB//ydfH//xylH//icd//rbsA//amn//proP//tnaB//glnD//mcaS//fabZ//modA//qseB//ileV//eda//znuB//efeU_1//nirB//astE//zntA//glgA//
NarL-Phosphorylated	srlD//gltD//napH//ygiC//amiB//mtlD//feoC//puuR//rpmC//gspK//flhD//lsrB//caiF//xapA//ryhB//yjjZ//cysH//lysO//fimA//ydfH//cysH//phoR//metB//uhpT//sohB//cysP//ygiB//lsrB//araB//yrbL//paaF//feoC//garK//puuP//tehA//ascF//yeiB//oppA//astC//napB//paaH//napD//gadC//yojI//nuoA//hypC//ygiC//slyB//phnP//abgA//xdhC//nrfD//casE//rcnA//rutF//nrdI//nrdD//metQ//xdhA//fepD//nhaA//pstB//feoC//xylH//cydB//sdhC//appC//hflK//nrdB//fepG//envZ//fhuF//araG//cas2//fecA//glcC//gyrA//bcsB//hyfA//rrfG//sufC//tar//osmC//gntX//casD//phnH//cyoD//astB//prpR//mgtA//trxA//fucA//pyrD//lldP//hyfR//tyrR//emrK//yccA//gspI//hdeD//glpR//oppC//glpT//srlD//prpE//artP//ydhV//ahpF//rutG//phnO//aroM//agaV//preT//pgaD//grpE//ilvL//idnK//nanK//phnF//trpB//marB//nuoF//rpsQ//hybG//mdtD//
NarP-Phosphorylated	cpxA//lysC//oxc//aroF//alaS//rybB//rplC//rcnB//ccmB//rpsC//psd//feoC//rpoE//mdtB//ansB//rrlB//udp//fumB//ccmA//metI//sgbE//araC//prs//malY//degP//tolC//yfaE//hfq//ygaC//nikD//ileV//chbA//tolC//rrfG//treC//yaiW//moaE//csgF//glcG//mntP//rplM//uxuR//acrD//aroG//mhpE//trpD//cusC//nrfA//rutC//trmD//
NhaR-Na+	cpxA//glpR//rpoH//rnhB//udp//tyrB//nlpE//
NikR-Cd2+	fhuB//rrfD//fecR//ydbD//hupA//carA//
NikR-Co2+	cra//yeiP//gnd//mdh//glnB//glcE//
NikR-Cu2+	fadD//glgB//glgA//prpR//rhaT//prfA//
NikR-Ni2+	tadA//ompC//ysgA//bcsA//ccmF//norW//
NikR-Zn2+	aceE//xylA//glcA//sdhB//cysK//icd//
NrdR-ATP	pgpC//hycD//nrfA//glnB//ubiA//nlpD//srlB//hybO//mglC//
NrdR-Zn2+	rplS//chbG//ssuB//dcuR//psiF//puuB//cdd//uhpB//feoB//
NrdR-dATP	paaZ//acrF//puuR//fliA//nmpC//glpA//yeiL//yaiA//ilvE//
NsrR-[2Fe-2S]reduced	truB//zwf//cyoB//hyfR//rpoS//hyfB//rbsR//cirA//fixX//lsrC//caiA//narG//yhjA//nuoI//galP//map//sdhD//modA//phoQ//mhpF//phnN//psd//ychH//malY//fur//cyaR//lysC//cheR//yojI//fimC//pheS//cydA//paaG//acrE//cadC//slt//tar//nuoK//fliA//rutF//zraP//carB//rutC//glnA//iscR//glcD//raiA//ydhY//rrsE//narQ//marB//cydC//mntS//icd//ynfH//guaA//csgE//glnL//hycG//betB//grcA//metB//norR//livJ//yoaG//ydhT//ilvA//lysA//pdhR//rimM//prpE//sufS//fadH//
PhoB-Phosphorylated	yjiY//csgE//sgbH//yoaG//torC//lysP//cspE//casA//cysU//cyaA//hybO//uhpC//tauD//dkgB//yeiB//citE//livK//sodA//sroD//narJ//feaB//pgpC//frdA//lpxB//ihfA//metF//metR//trpB//hyaB//nuoG//csiE//tsx//comR//fhuB//norW//srlD//yiaM//ybdZ//ptsH//dmsB//argE//malK//cheY//infC//baeR//mtr//gspJ//glpQ//nikR//xylF//hycI//rrlE//rrlA//hycD//phnL//efeU_2//fecD//iscU//uxuB//pgk//rrlD//
PhoP-Phosphorylated	gatZ//znuC//rrlE//mhpT//uraA//pagP//uxaB//ilvI//osmC//exuT//cynS//focA//hslJ//nuoK//dkgB//cysP//spy//feoA//moaC//fumA//tdh//xseA//gcvH//arcA//yaiA//yeaR//xdhB//ssrS//tfaQ//pheM//nanT//upp//rbsR//yaiA//ada//epd//prfA//nuoC//nanT//sucA//melB//hybF//gpmA//cirA//fepG//manY//hflC//nikA//nuoB//ygbA//narG//yggX//glgA//dsbA//motB//phnL//glpB//
PrpR-2-methylcitrate	dnaA//bglF//prpD//csgD//napH//
PurR-Guanine	acs//yjeF//torD//rplM//fadD//aspC//alaA//paaI//dusB//prpC//csgG//ykgO//prmC//ispE//nupC//glcE//dppD//purK//puuD//glgS//glnG//phoH//nagC//ileT//tdcB//paaI//prs//iscU//bacA//srlB//speA//bcsZ//malQ//yegZ//
PurR-Hypoxanthine	rpsR//fadH//tomB//yiaM//paaF//hyfI//fadL//cusA//yhjA//entC//fepG//acrB//rpsS//napH//bcsZ//metR//uhpT//metI//ompW//appY//kbl//treR//ampE//rseB//hisM//ndh//kbl//glpQ//spf//gspI//ebgA//pgaD//glgS//araG//
QseB-Phosphorylated	pstS//rhaT//argH//sodA//
RhaR-L-rhamnose	modC//acnB//
RhaS-L-rhamnose	rnhB//hyaD//zinT//rutB//fnrS//modA//
RstA-Phosphorylated	miaA//rnlB//hlyE//mpl//tdcB//iscU//hycB//cadA//purE//dppB//
SoxR-[2Fe-2S]3+ oxydized	gabP//nrfG//cynR//ulaB//
TorR-Phosphorylated	tnaB//glcA//yeaE//trpE//entS//tar//gadC//trpL//rhaT//pepT//
TrpR-Tryptophan	psiF//trpA//fimH//trpR//yeiW//ynfG//pgaB//creD//bglF//tauC//cynT//hofP//
TyrR-L-tryptophan	gdhA//pgpC//yecR//puuC//sufD//hypE//appY//cusF//citD//yeiP//yciW//dcuD//hypD//rhaS//
TyrR-Phenylalanine	bamA//cydA//cysI//hflK//nrdD//dppB//cydD//hycG//entS//rnlB//fucP//gntP//chiP//hybO//
TyrR-Tyrosine	gntX//actP//aroH//malP//yaiW//xylA//hycI//argR//phnJ//nadC//ppiA//glcB//fadD//rrsD//
UhpA-Phosphorylated	osmY//
XapR-xanthosine	trpD//focA//
XylR-Xylose	xylF//fucK//dadA//nrfG//ugpB//hflK//
ZntR-Cd2+	mntH//
ZntR-Hg	bacA//
ZntR-Zn2+	frdB//
ZraR-Phosphorylated	uxaC//fecD//srlD//
Zur-Zn2+	tyrB//aidB//tomB//rbsR//artM//polA//
