#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	srlB//lysA//ulaA//dcuS//
ChbR-Monoacetylchitobiose-6P	nuoJ//dsdC//ilvX//bacA//phoH//truB//
CpxR-Phosphorylated	nirD//yeiL//srlD//fhuC//fnrS//nrfB//lhgO//gspL//ygaC//yneM//cysJ//cysW//bacA//manA//lamB//melA//casB//tsr//tfaQ//ccmA//ygeA//ldtC//cydC//ygbA//ccmC//nanC//lsrD//cynX//atoD//sufS//argG//glpE//glpF//glmY//rplP//dmsC//fumB//lsrR//gabP//glpR//tdcF//alkA//ftnB//hybB//hycE//grxC//speC//rrfC//hisP//cusS//ydiU//cyaR//ybdZ//mglC//ykgO//lpd//puuC//nanK//treB//dcuC//osmC//dsdC//betI//yhfA//ubiA//hypD//alaA//yfiP//yiaM//
CreB-Phosphorylated	exbB//znuA//soxR//fixC//rpsS//astB//hemA//infB//hupA//
CueR-Ag	alaA//argR//metJ//caiD//ompR//hflD//argO//
CueR-Cu+	baeR//betA//rrsD//idnR//lolB//fepG//nanM//
CuerR-Au	dsdX//ebgA//yqjA//yeiP//yeaE//dsdA//araD//
CusR-Pasp	bcsB//agp//serC//cydC//glnB//yeiP//appX//gdhA//metH//yjeV//nuoJ//cusF//
CynR-Cyanate	rutC//artQ//paaH//acnB//
CysB-N-acetyl-L-serine	trpE//moaB//rbfA//thrS//ugpE//rbsA//nrfF//raiA//appB//aer//yiaJ//ihfA//nanS//cadB//metC//dsdX//dppB//thrV//nlpE//ugpA//rplC//glnD//modA//qseC//hypB//rrsH//nrfB//frdD//gatD//fepC//
CysB-O-acetyl-L-serine	dapB//hflK//napF//rpoE//purN//yciW//metF//alaV//hflX//caiD//napB//argF//nrfC//uraA//paaA//aidB//rrsD//bglB//gspH//arcZ//trpD//torD//pstA//rrfC//fixA//priB//rpoH//hisQ//ogt//srlD//mgtL//
DcuR-Phosphorylated	ccmG//nrdB//lamB//crp//rrsA//xylG//entD//rrsC//lsrG//
DnaA-ATP	yecR//rplP//cusC//fnr//metE//torC//dppA//ilvG_2//ahpC//ssuA//malZ//fadL//
DpiA-Pasp	hypF//skp//lsrB//kbl//azuC//ydhY//narG//hycA//glpC//fadB//uxaC//
DsdC-D-serine	nuoC//slt//nlpD//
EvgA-Phosphorylated	tdcD//slyB//hyfH//rplV//appA//bdcA//araB//atoA//ppdD//nrdF//gspC//tyrR//hisQ//bdcA//citD//
FNR-[4Fe-4S]2+ reduced	talA//yegZ//nhaA//hycI//phnP//srlE//fliZ//citE//bcsA//paaH//qseB//malT//phnC//osmC//narJ//uxuA//deoB//srlR//nrfF//acrF//cra//sohB//dadA//manA//hcr//gutM//nohA//ung//acnA//trpC//fliA//paaG//glcE//pheT//eda//csgD//rrlC//hemA//caiA//yqjA//rmf//lysO//trg//znuC//narG//fixB//fucR//hycG//rybB//ilvX//agaV//ileT//rpsO//pflB//yedX//prfA//copA//gltT//yeiP//citC//garR//gspG//phnP//caiC//moaA//tdcB//glnK//iraM//rpsJ//argH//hflD//nanK//glpF//livK//upp//araB//hyaF//cyoB//cspE//aroL//cysK//rprA//tdcG//lysP//ccmB//manY//pgpC//nusA//nanA//gcvH//srlA//ydeO//purL//serC//infC//phoP//exbD//gntR//fucI//lsrB//araJ//moaD//gspJ//lacA//gabP//glpK//erpA//manA//nohA//nrdA//yqjH//fnr//glpE//nuoF//caiE//dnaE//sohB//atoD//ccmH//dppB//hyaC//cusF//araF//ynfK//pgk//caiD//bioA//talA//hupA//nupC//oxc//ihfA//hemA//envZ//cysW//gltA//nuoH//yeaE//aceF//mtlR//entE//hofM//phoR//mlc//rbfA//ilvG_2//moaC//araA//uhpA//fdnI//zraR//codA//cusF//ybdZ//sgbU//gabP//mipA//livM//ccmC//cpxA//cyoD//nrfG//emrK//mgtA//aspC//hycA//sohB//hisM//mdtA//ynfE//tdcC//ubiX//tyrP//argR//lsrB//tnaB//nuoL//tehA//argA//xapA//metE//soxS//rcnA//ydfH//ccmC//argT//cynS//ydhU//kbl//tap//nmpC//frdA//metB//ydhW//cpxA//osmC//nrfF//adhE//pitB//yjiY//rdoA//hycI//ugpB//phoU//mntS//pgaA//nuoB//nuoE//yjiY//araB//rrfC//hyfC//paaC//cysI//rplW//nrdG//rof//aroM//ugpB//nuoL//nirB//aroP//ppiD//hcr//deoC//hofC//fumB//safA//yjeV//fecR//tsr//fepC//aroA//hycG//nikB//cadB//hycI//melA//phnE_1//rhaB//phnC//purE//ynfE//cyaA//aroM//moaD//fepA//araE//aspC//glpK//fimG//dsdA//alaA//map//modC//dcuC//hcp//narI//nagE//hdeB//gcvH//fabZ//manZ//nuoE//ygeH//pepT//epd//narI//yeiP//iscS//fecC//gabT//metK//glnG//ompX//nrfD//yojI//dnaE//hypE//trmD//abgT//hdeD//gltA//cyoE//crl//icd//lsrG//ccmE//dkgB//ileV//ydhV//xylB//icd//ftnA//yiaL//fecI//puuR//astA//norW//fhuB//fucU//hycI//pnp//glgB//dadA//
FhlA-Formate	rpoE//gspJ//nrfB//frc//rutB//galS//cysC//artP//slyB//fixC//torR//ykgM//uxuR//cysW//aroM//znuC//gadC//amtB//rof//aceA//glcF//cusS//iscS//dmsC//csgG//preT//fldA//hyfD//malG//prpR//
FucR-L-fuculose-1-phosphate	nhaR//puuP//envZ//rhaB//argE//napA//lacY//
Fur-Fe2+	phoP//yciW//cadB//bhsA//malZ//ydhX//yoaC//yccA//sbmC//hypB//trpD//ydeA//cvpA//rhaD//fucA//yidQ//tsr//bcsB//rrlA//yjeF//ldtB//puuA//hyfG//hyfG//pyrC//glpC//garK//upp//oxyR//moeA//trpD//glpA//ydeN//glpG//torD//nrdI//hslJ//ascF//zraS//metB//rrlC//rutB//malS//galP//amtB//garK//rhaA//emrY//hycA//cysI//tdh//nrdB//araF//hybO//astB//nrfB//rpsS//ydiU//zinT//asr//sbmC//mdtC//hyfF//entA//ulaF//fdhF//yneM//fdnG//ykgO//ompW//rpoE//casE//hycH//dcuD//gltD//hybE//ilvX//nuoA//mlc//rpsC//idnR//hycI//gcd//rybA//nrfC//malM//rhaR//hflD//mpl//psiF//cysM//pgaC//dcuD//ptsI//iscR//hyaB//nirD//nuoM//ccmE//envZ//hycI//betT//serA//icd//rplS//mtr//paaE//hyfD//murQ//phnM//cydB//fbaA//alaS//aroP//adiC//yhjA//artM//ilvM//puuA//pta//fliA//yiaM//hemL//ebgC//arcZ//mlc//metN//metN//lsrB//tdcE//phnH//pagP//grxD//gltA//dmsC//agaV//livH//hyfR//chbG//leuE//
Fur-Mn2+	fadJ//abgT//pgk//pncB//rplP//nhaA//yiaO//glnK//fecA//fecC//znuC//cynT//aroF//sufD//phoA//mdtA//tdcB//dapD//puuE//ugpB//araF//folA//trmD//atoB//pheS//nadC//fepG//gatZ//spf//gspO//rimP//hybC//aroM//melR//ynfE//cysB//fecB//fadA//gntU//hycE//exuT//arfB//cheY//aaeB//livG//priB//srlD//lacZ//gabD//ulaB//yjeF//gntT//hypE//agaV//fadB//rutB//cheZ//ampD//modC//polA//argH//sodA//melB//entD//gltT//fumC//nikD//dsdC//prpD//yeaE//nanT//yhcH//tehA//glcC//hybG//fiu//fepD//rrfF//dsdC//mdtC//tfaQ//mhpF//trpA//ppiA//rutE//puuC//pagP//ccmC//caiF//glcF//uxaA//xdhA//melR//oppB//entE//sucA//mhpF//cysN//araF//infC//caiT//nikE//nrdF//hyaB//tyrP//xdhA//argC//ydeA//tauA//rrsA//zwf//acnB//hfq//metI//nrfC//melA//bamA//rpsP//gspL//paaB//citC//nikD//xapA//torA//argF//osmC//cheZ//rdoA//citD//mpl//srlE//dmsB//hybB//glnL//astC//rpoS//argR//hyaD//ygiC//bcsZ//
GlcC-Acetate	hemA//glpG//garL//tyrA//mdtA//moaD//acnB//
GlcC-Glycolate	bamE//cra//phoQ//malZ//frdD//gspL//fadH//
GlrR-Pasp56	tsx//
IclR-pyruvate	hlyE//citD//narK//sucC//
IdnR-5-ketogluconate	ydeP//gntK//lacA//metR//exuT//cadA//hfq//sbcD//
IdnR-Idonate	napG//yggX//alaS//infB//ftnA//mglC//uxuA//hyfF//
IlvY-2-acetolactate	cynX//pflB//
IlvY-Alfa-acetohydroxybutirate	oxyR//cpxA//
IscR-[2Fe-2S]1+	hyfJ//garR//deoA//hofO//gntP//ilvH//chbF//rrlA//metN//gyrA//hofO//nagB//nagB//ccmA//ygiB//rrlA//aroH//tehB//sohB//dsdC//fadH//ftnB//ampE//treC//yidQ//fadA//acrA//dcuD//bcsB//glpA//csgA//tehA//hpt//bcsC//araD//rpoE//dnaA//phnP//fucP//slt//uraA//
LldR-L-lactate	murP//tyrR//mpl//
Lrp-Leucine	lpxD//fhlA//iraD//hdeA//cusC//cstA//thrV//fepC//pflB//erpA//ampE//hyaC//astD//rbsB//rplC//sufD//nrdH//argG//copA//lpxB//nuoA//phoH//pyrC//ccmH//rrfD//paaI//cueO//thrS//tyrP//nanK//sdhA//mipA//gabT//dusB//oppF//yhiD//truB//metQ//narI//mgtA//nagC//phoU//narQ//bglG//slyB//slt//mgrR//cadC//kbl//acrE//rimP//rutB//atoD//nanM//alaA//nuoJ//oppF//preA//garL//acnA//chbG//phnL//rrfH//ileT//arcA//serA//trpD//nrdH//katG//pheT//rhaD//spy//rrlC//hcp//tdcD//nrdD//motB//phoU//envY//fur//uidB//ansB//mhpT//rhaA//spf//mhpE//araB//zraP//aroA//hypB//hupB//malX//cysU//priB//ybfN//rrfA//xylF//allE//mpl//ycjF//alaV//mtlA//napH//waaH//ppdD//alaA//
LsrR	rrsC//cysU//rrfD//tonB//tnaB//tar//ebgC//agaV//tdcB//
MalT-ADP-Maltotriose	ilvH//iscR//lldR//ssuC//entH//xdhA//nanC//emrY//dadA//frdA//
MalT-Maltotriose-ATP	fixB//purN//srlR//gabT//csgC//gltT//aldA//dsdC//malS//purR//
MelR-Melibiose	puuC//frc//iraD//
MetJ-S-adenosylmethionine	nuoF//bglB//sroD//tsr//ilvG_1//gnd//trpA//prfA//cydB//ulaD//xylG//tap//uraA//tsr//dapB//
MetR-L-homocysteine	uvrA//argA//yfiP//gltD//cbl//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]	astC//glcE//araB//rutA//rrlA//ybdN//
MhpR-3HPP	ydfN//rcnB//nadC//malY//sgbE//moaA//
MntR-Cd2+	narQ//gntX//yjjZ//xylG//gltF//
ModE-MoO42-	ompW//efeU_2//nmpC//rhaA//hyfC//yfeW//sufC//entH//lyxK//gltF//ssuC//betI//ilvI//ychH//norR//polA//adiC//rutC//lsrB//ubiA//tnaB//caiT//ynfE//aroF//metB//mzrA//hydN//fimA//yecR//spy//ompT//araE//gatB//nanC//ybfN//creD//ynfG//rrsA//ldtB//mglB//gspJ//carB//ybdN//dcuS//pgaC//hyaB//
NarL-Phosphorylated	rrsH//motB//rutE//aceE//purM//csgC//leuE//hybB//hisM//nrfA//fimG//dnaE//chbF//bioF//marR//baeR//osmC//yccA//rbsC//tyrA//murP//fimF//fhuE//adiC//dppA//purM//hyfA//mcaS//uxuB//lsrC//rmf//argG//casB//atoD//mutL//fepA//lpxD//ompX//caiA//tdcA//entF//nohA//cysM//aidB//ccmG//rbfA//artM//uxuB//metN//phoB//glpX//hcp//ssuC//hypA//napA//ubiG//nikR//ychO//chbC//lpd//hybE//gadC//yjeF//glpC//thrS//gntK//argG//ldtB//yiaJ//sufB//cpdB//hycG//glpR//yqjA//gntP//agaW//nuoB//dppF//gpmA//argF//entD//bioF//nanA//dapD//nanC//sufS//mcaS//hycF//citG//rbsR//pgpC//astB//rplP//nuoJ//ygiA//mgtL//caiC//mntS//mhpR//gabP//purN//araE//ydhV//metL//hpt//gapA//azuC//citX//paaD//metY//bglB//prs//hyfG//yqaE//lacY//cheB//gutM//upp//cspE//idnD//phnC//ilvI//hyfJ//dapD//efeU_2//
NarP-Phosphorylated	lacY//yeaR//ccmF//ssb//hyfD//ychO//rhaR//chbF//lacI//aer//gltA//rrsC//nrdB//hdeD//ysgA//ilvY//hofC//ascF//tyrR//caiT//kbaZ//gltB//nuoC//rpmC//osmC//gcd//entE//prpE//trpA//mgtA//ubiA//betI//rrfB//nuoI//cadA//iscA//norV//rpoH//tnaC//nagC//acnA//ulaF//gspH//oppB//norR//dkgB//astD//focB//nirC//cydB//
NhaR-Na+	ybiT//yrbL//fecI//hypF//hycF//phoA//ygiC//
NikR-Cd2+	ccmB//ydhV//glgB//ygbA//fnr//yjiY//
NikR-Co2+	yfeW//gpmA//phnH//efeU_1//micF//ydfH//
NikR-Cu2+	lsrB//guaB//malI//tyrP//cheR//cas1//
NikR-Ni2+	mgtA//cysM//fhuD//ygeA//rrsC//dcuB//
NikR-Zn2+	mdtD//ybdZ//argF//fimD//hybF//cytR//
NrdR-ATP	rpsC//mhpA//alaV//cpxR//fimH//oppD//pitA//gapA//gcvT//
NrdR-Zn2+	glpA//lysA//hypB//epd//idnR//lysA//rpoS//entS//cusB//
NrdR-dATP	cheW//alaV//yaiA//fur//lysO//xylA//bioF//speB//envZ//
NsrR-[2Fe-2S]reduced	serC//gntP//phnL//fadH//nuoH//glnL//prpC//glnL//uxuB//argA//mhpF//rpsC//uxuB//treB//psiE//ubiC//rpsS//caiT//fadI//pgpC//araC//uof//phoH//cusB//yeiW//glgS//rnpB//cyoC//napF//ryhB//yeiW//glnB//aidB//cas2//udp//cusC//malY//nrdI//sufB//uhpT//yfbR//tadA//chbG//hdeB//fepA//lacI//nuoN//glgS//patZ//nikR//mhpE//ynfE//modC//arfB//trmD//ybdN//fhlA//mglA//garL//bioF//moaE//rseB//aspA//emrK//cusA//purA//preA//cysU//manZ//dpiB//gutM//hyaA//hyfB//
PhoB-Phosphorylated	glpQ//fucA//atoA//hlyE//nrdA//lpxA//gutQ//ilvC//rplI//acnA//rpsQ//yhfA//cysA//codB//cyaA//feaR//lsrC//cysW//galT//fecB//cysP//metR//lrp//entE//paaI//hpt//puuA//bioC//lysA//fdnI//bioC//xylH//fldA//hfq//mhpR//gabT//sbmC//rnpB//glpX//rcnA//agaW//ybfN//casB//mgrR//deoD//glcF//xylB//fadA//hypE//hflX//hflC//gspD//alkB//yedX//degP//yeaR//fur//focA//spy//gspE//dpiB//
PhoP-Phosphorylated	agp//yciW//csgC//hdeB//ydbD//oppC//infB//mgtL//uhpC//rhaS//rplP//nikR//prpC//hha//mglC//hofN//ccmA//alaA//cas1//glpR//tauB//nrdF//tsr//cysC//rpsF//hyfB//hyaA//rutD//gabP//artM//caiF//fdhF//lsrA//gltB//tauA//cspD//lysA//ybdN//cadC//rpmI//betT//fdnI//csgE//lacY//malK//mglA//astC//purA//galM//yqaE//agaA//rnpB//folE//feaR//astC//rpsF//aldA//
PrpR-2-methylcitrate	znuB//oppC//rrsH//yqjA//araH//
PurR-Guanine	ydeM//nupC//ychH//rrsA//bcsB//glgB//artJ//edd//cysK//gspI//prpD//argG//ilvN//tauA//rplS//purL//ycjX//fiu//fimH//pyrC//araA//ygiB//lpxB//oxyR//fimI//gcvT//garK//yrbL//oppC//rnlA//mntH//ldtC//envY//hypC//
PurR-Hypoxanthine	torC//ynfE//fadD//aceF//raiA//mcaS//rrlB//metE//cynT//citE//baeS//ydiU//alkA//appB//yqjA//rseB//dsdA//fliA//gntP//trxA//hyfF//casE//tomB//dppC//ychO//dmsC//yaeP//yoaC//yiaO//dppB//tauD//dapD//skp//hdeB//
QseB-Phosphorylated	bglB//fnrS//rpsC//pnp//
RhaR-L-rhamnose	phoB//yjeV//
RhaS-L-rhamnose	ykgM//sdhD//ldtC//alkB//rprA//actP//
RstA-Phosphorylated	edd//fimF//sufE//znuB//paaH//lpxD//cysC//csgF//yaiA//slt//
SoxR-[2Fe-2S]3+ oxydized	pheM//dapB//nikB//frdB//
TorR-Phosphorylated	nupC//iscS//yqjA//marR//ydhX//cyaR//pgpC//gpmA//fldA//mglB//
TrpR-Tryptophan	sgbE//nrfE//trpB//narJ//ybiT//aroP//fau//mhpC//xylB//fecB//cysG//kbaZ//
TyrR-L-tryptophan	cydD//ilvD//entE//ydhU//tnaC//pheT//ccmG//miaA//cysH//avtA//gatD//tpx//gcvT//phnF//
TyrR-Phenylalanine	ybdZ//appB//nuoK//yaeP//napD//preT//phoQ//fepA//nlpD//tauB//cusS//emrY//yjjZ//malS//
TyrR-Tyrosine	yiaK//ybfN//pitB//dcuD//ilvL//phoE//crl//purL//ubiC//marR//ubiG//rpsJ//emrY//puuE//
UhpA-Phosphorylated	yfdX//
XapR-xanthosine	tcyJ//slyB//
XylR-Xylose	fadA//fecI//gcvP//acs//atoA//rpsR//
ZntR-Cd2+	csiE//
ZntR-Hg	fimH//
ZntR-Zn2+	efeU_2//
ZraR-Phosphorylated	spf//uidC//aceK//
Zur-Zn2+	phnD//xdhC//rof//aaeX//gutQ//phoR//
