#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	cydB//grpE//nikR//cytR//
FNR-[4Fe-4S]2+ reduced	rrlH//fnrS//eda//phnK//mhpC//dppB//nrdD//ydbD//slt//purA//ugpB//ubiG//yfbR//tsaE//lpxD//flhD//csgC//puuR//pheM//gspK//mpl//betA//sucC//dps//sohB//garK//lacA//galK//gspF//glgB//fimC//glpB//nrfD//sodB//lldP//xylB//ilvA//yggX//astA//nrdI//motA//fhuE//appX//mdtC//evgA//fhlA//dcuS//astB//rplD//nanE//pnp//iscR//hflX//prmC//ilvN//idnK//appA//mhpE//pck//xdhC//cpxA//rseC//ycjX//rseA//hycB//csgA//garL//phnM//mntS//fliZ//gspF//sxy//nanA//gspD//argE//ascB//puuA//moaD//cheR//sxy//ynfK//thrS//rhaA//fadA//araD//bioB//appA//glcB//nikR//gntK//yeiP//livG//hdeA//fiu//gdhA//ydeJ//napF//nrdE//paaH//codA//aldB//nrdI//entS//argE//glcD//rrfB//proP//hypF//alkA//oppC//trpR//trpR//cvpA//sucB//gspJ//narX//metR//lsrF//ompX//fadH//fldA//pnp//yfdV//oxyR//fau//yqjI//yeaE//rseB//rrlG//yiaK//phnM//pncB//hybE//fhuE//idnO//rrfD//cheR//cynS//trpD//bamE//rutC//rrlH//rpoS//yegZ//cusB//sbmA//ygiC//ssuC//mpl//glpX//cspE//allD//hyaD//glpG//focB//yibN//nlpE//casD//ompT//fecI//tsaE//glgP//aceA//livG//ynfG//hycI//paaF//creD//ygeA//ugpA//aroM//nuoA//bioA//cydA//idnO//ftnB//map//tyrR//nikB//fadB//mntH//trpR//glgC//nikR//astC//yiaL//miaA//rbsB//ubiC//dkgB//lacY//tnaC//ygiC//puuD//fimD//hyfE//yegR//glpB//rhaD//citE//mltC//gspG//melR//purN//putP//sbcC//dppB//hydN//speA//csgB//mdh//yccA//agp//cyoC//gspD//ahpF//lsrD//yjeF//nanM//ybdN//phnO//nuoE//sufD//guaA//ftnB//aroA//hyfA//glpQ//phnF//ybdN//znuA//phnD//phoE//adhE//ilvE//paaB//tauA//glpT//hycD//ileT//amtB//rpsF//mglC//aaeX//uvrA//rrfG//dmsC//uhpC//acrA//mcaS//garP//gntR//purC//metK//phnP//ryhB//ispE//phnF//ybdZ//cas1//cysB//nanE//paaA//fhlA//lsrK//rpoH//glgS//nikR//garL//ampD//fepG//bhsA//bglB//fecI//oppD//paaG//degP//sucC//cydD//nlpD//lsrK//hisP//sroD//ygeH//fucK//gltV//ilvC//aceB//phoP//artP//nmpC//ulaA//malS//ydhX//citD//psd//tar//livK//lysA//fnrS//ryhB//adiC//mlc//dmsC//ptsH//
FhlA-Formate	cusR//adhE//evgA//glpK//pdeF//tsx//abgA//hcr//mhpE//yccA//ccmB//phoA//ychH//yjcH//dcuS//rrsA//ilvA//ompA//rpsQ//dadX//ygeH//ompC//tyrP//cynR//yaiA//sbcD//ftnA//cyaR//serA//ygbA//
FucR-L-fuculose-1-phosphate	focA//sucD//rutB//hycI//xdhB//pyrC//alaA//
Fur-Fe2+	lysU//hycB//cdd//mdh//ysgA//metY//tfaQ//hpt//galP//rplM//xylG//manA//chiP//hycA//zraP//cyoE//mntH//pitA//acs//aspC//hypC//pgpC//phnE_1//zwf//entE//aceB//nanE//ptsI//idnD//hyfJ//trpA//ychO//envY//trxA//rhaD//phnO//ynfH//ydfH//patZ//uof//grcA//betT//paaH//yiaJ//tdcC//cysN//nhaA//cpxR//spf//yfiP//bamA//tehA//rrfD//lsrF//yoaC//argB//psiF//paaE//bglF//aroM//nrfE//paaA//pheM//gatB//caiE//ansB//fadH//allD//rbsD//codB//hofN//nrfC//hycH//argT//rplS//caiF//uof//rutG//metJ//patZ//pheS//argF//fldA//amiB//atoE//lhgO//nirC//sufC//gltW//sufB//pyrD//iscU//metK//moaD//yidQ//glpK//narK//gspK//dkgB//csgC//cspD//glcB//mglA//feoA//sufD//ompW//napA//trpL//fecI//nohA//cydB//tsgA//mdtB//osmY//dnaN//gntP//gcvH//rutD//rybA//folA//aroM//pnp//gadC//entE//ackA//mdtC//rrlC//lldP//metI//yccA//dapB//focB//soxS//glcG//ccmC//mzrA//actP//efeU_1//bcsA//xseA//
Fur-Mn2+	osmC//paaK//araE//speA//tolC//yqjA//xdhB//metJ//map//glyA//spy//phoE//rbsA//dppC//dsbA//malY//metE//fadH//ccmD//paaE//aroM//ubiC//rrfG//rpsP//melA//yfdV//borD//hofN//yfdE//rhaB//glpQ//chbA//pgaC//carB//frdA//appY//malF//entD//rbsR//fabZ//glnG//pheS//gdhA//hyfH//mipA//fadJ//mdtA//bcsC//dppB//deoC//trpB//tam//rrsE//prs//gltF//caiD//mhpC//fixX//hycI//fiu//tdcF//pagP//gpmA//sucD//glcG//metI//glyA//nikB//lsrF//creD//fucU//aceF//ansB//rpsJ//rseC//fixC//gabP//uhpA//rrfB//nuoI//hha//fhuC//nagC//ilvH//iraM//yeaE//ldtB//hyfC//argO//cysB//grxD//xylG//infC//entC//mntS//mgtA//puuB//malZ//rpsF//cysD//tauD//pitA//mcaS//leuE//glcB//focA//uidC//yfdE//rhaB//casA//atoA//paaZ//yaeP//rutG//ahpF//fadH//csgE//citD//malY//gspE//hyaE//chbC//gdhA//aspC//tehB//aroL//glpF//mhpR//hofM//dnaN//yhcH//rplP//yhhY//fimH//cadC//cynR//argH//aspA//nlpE//nrfF//
GlcC-Acetate	metQ//tauD//fucU//arfB//phnP//rstA//rbsD//
GlcC-Glycolate	astD//codB//chiP//cyoC//nikB//rpoS//mtlR//
GlrR-Pasp56	tfaQ//
IclR-pyruvate	artJ//yqjA//fau//nanE//
IdnR-5-ketogluconate	nrfF//torR//glpR//speC//araJ//mgtA//phnE_1//rrlD//
IdnR-Idonate	ynfH//nmpC//lpxD//paaA//atoE//sdaA//gadC//cusC//
IlvY-2-acetolactate	mtlA//yfdX//
IlvY-Alfa-acetohydroxybutirate	acs//gdhA//
IscR-[2Fe-2S]1+	crr//rnpB//cyoC//uxuR//xylR//zinT//agp//aceE//paaI//pgk//yiaO//dgcZ//gabT//chbF//malE//hfq//sufE//livH//mhpD//tauA//infC//modB//purB//ysgA//gspJ//dsdC//frc//nupG//gatA//phnE_2//hycD//srlD//leuE//caiF//hybG//mltC//tar//purM//gspJ//glpA//yiaJ//
LldR-L-lactate	feaR//nupG//bglF//
Lrp-Leucine	malQ//exbD//acrB//tnaA//lrp//ompC//ssuE//metJ//folE//cpxA//yfbR//fumA//sgbU//cheA//srlR//gspG//fhuD//cyoC//purD//aldA//sbmA//tam//feaB//lhgO//sbmA//yebE//nrdE//ssuD//xseA//ugpE//fucR//ydeP//pgpC//dadX//narL//rutD//efeU_2//cbl//chbB//allD//tap//galK//pstS//aroG//hdeD//yhjA//rpsP//mhpC//priB//appX//glnK//ssrS//ybdZ//yqaE//yidQ//malK//hyfC//modB//ldtC//gspI//aldA//malX//aer//ybdN//emrY//hyfC//glcG//bcsA//nhaA//rplC//cas1//garL//ygaC//ugpQ//hofP//appY//ilvL//gntP//uhpC//yaeP//casA//rhaS//rrfE//betB//arcA//atoE//hupA//fau//comR//fdnG//putP//csgA//fepD//ilvE//rrlB//rutD//prs//metE//preA//purK//chiP//sgbH//phnL//gltV//phnO//feoB//
LsrR	yfiP//sdhB//azuC//garR//yfbR//phnI//metE//rseC//nirC//
MalT-ADP-Maltotriose	ung//ilvC//codB//iraD//rpsR//dcuB//napA//tdcF//aroF//artM//
MalT-Maltotriose-ATP	araA//narL//ackA//rcnA//waaH//iclR//nlpE//nrfE//purL//purA//
MelR-Melibiose	yibN//fhuD//nuoL//
MetJ-S-adenosylmethionine	hyfH//tktB//rhaD//bamE//iraM//sufA//tdcF//nikR//feaR//nmpC//rbsK//hybF//gatC//oppC//aroG//
MetR-L-homocysteine	rplC//trpB//rrfC//dmsB//hflK//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]	sgbE//nuoK//creC//trpC//tdh//rhaA//
MhpR-3HPP	cytR//rutD//dsdX//argP//pgaA//cysU//
MntR-Cd2+	ompX//ryhB//fucA//puuC//grxD//
ModE-MoO42-	yegH//ssuC//ydeM//rpsO//hyfH//rmf//gspJ//yfaE//ilvE//glgC//gltD//fepA//rbsK//csgD//nrdB//azuC//dppA//aceK//rutB//atoE//ftnB//ydeJ//dapD//gcvT//phoR//ftnB//ascB//cyaA//metF//dnaN//malT//sdhC//flhD//rpsF//argC//lsrF//oxyR//mglB//yqaE//rrsB//rrsG//fbaA//copA//modB//waaH//cydB//
NarL-Phosphorylated	argD//speA//rrsE//dcuB//yqjH//paaH//citG//nanT//idnK//mdh//rrfD//cytR//hydN//mdh//sbmA//cusC//nikD//livG//atoD//rrlC//waaH//fldA//bglG//phnF//lldP//ogt//srlD//talA//dsdA//ilvH//yfbR//ssrS//napB//malF//rpsP//fhuE//cysK//ilvI//manX//ppiD//uvrA//tonB//mhpE//waaH//agp//sufE//pdhR//lsrK//alaT//fes//metR//xdhB//map//ydiU//ompW//rplV//aspC//crp//rrlB//sodA//rutB//azuC//rhaR//ccmB//mntS//tehB//hofN//rpsJ//gntR//feoC//paaA//glpK//astC//sgbU//cyaR//dkgB//sgbU//trpC//dmsA//patZ//ygeA//citG//nuoF//ilvY//hycG//ilvB//glcF//purM//mutL//ptsH//purM//safA//gspD//gntR//qseC//appY//xylG//rplM//purN//alaS//gltW//yeiL//yjeV//nuoB//yaiW//glnL//gdhA//phnP//emrK//hypD//pflB//gltU//nrfG//ccmB//avtA//rstA//efeU_2//metA//ftnB//cueO//yfdV//bglG//melR//fhuB//rmf//
NarP-Phosphorylated	yhhY//narQ//znuA//cysD//glrR//ynfK//tdcE//hisM//hyaA//livM//truB//tolC//yjeV//hybF//ydeJ//pheM//bhsA//cyoC//aaeX//yqaE//mgrB//ygeH//fnrS//cusF//uraA//gatZ//dsdC//gapA//nrfE//oxyR//nhaA//rpsJ//glpQ//yfdX//alaT//fepG//nuoI//gspI//arcZ//nagA//cydA//tadA//ulaB//astC//argD//ilvI//bglB//rrsE//rrfD//ilvH//
NhaR-Na+	gatB//thrV//paaF//sohB//fis//alaV//dppD//
NikR-Cd2+	gspH//hofO//emrY//hybA//bcsB//yiaM//
NikR-Co2+	fucK//ompC//fliZ//acnB//agaV//lpd//
NikR-Cu2+	fdnH//abgA//gcd//ychH//rutB//acnA//
NikR-Ni2+	lacZ//ilvG_2//gspG//fhlA//purC//mdtA//
NikR-Zn2+	xylB//hypF//aidB//rpsF//nuoN//exbD//
NrdR-ATP	phnN//cynT//mltC//recF//rhaS//ulaC//hofP//hycH//sbmA//
NrdR-Zn2+	mhpA//hisJ//malT//soxS//yoaC//tdcB//yiaO//yhcH//bamA//
NrdR-dATP	fepA//gltD//paaC//erpA//glpQ//astA//cas2//efeU_1//bioD//
NsrR-[2Fe-2S]reduced	sucD//rplI//fliA//hdeB//sufB//yhcH//dctA//creA//bioF//norV//marR//gabP//sohB//araC//hofM//bamE//lhgO//phnN//ygaC//speA//nikE//yaeQ//lldR//tauC//acnA//xylA//rhaR//yiaK//mhpR//manA//marA//fepC//nikR//ykgM//alaA//galE//hcr//mhpF//metY//glyA//glpK//nikR//yaiA//ilvH//cynT//codB//rrsE//ssuB//tcyJ//pitA//fimI//ompF//paaH//hyfH//fepA//tar//glcE//nanS//glpA//metK//gatD//idnO//hfq//araB//fecI//araD//leuE//garK//purR//ilvL//dsbA//prpR//rybA//
PhoB-Phosphorylated	fucO//infB//moaE//hyfF//aspC//hdeB//rbfA//hcp//ssuC//nusA//yhfA//gatA//entD//thrS//sdhB//galP//rrlH//dps//alaS//dpiA//ugpB//argF//thrS//rpsO//lsrG//aroM//ygiA//fucU//alaT//aceE//ompT//ulaB//nhaA//gspE//malX//alaU//zraS//artP//hlyE//trpB//acrE//grcA//dppD//katE//rrsA//nrdB//mzrA//torD//mlc//cysG//glnG//gatB//fldA//cpxA//cysH//fhlA//argR//yiaM//bglF//hyfA//speA//
PhoP-Phosphorylated	betT//grcA//modC//phnI//bcsZ//gspH//aceB//rpoS//murP//alaT//alaV//mutL//uof//cydA//phoR//metB//citG//putP//lsrG//alkB//gatY//sucA//lysO//gltB//hyfF//chbA//cyoD//ccmH//prpD//glcC//yeiL//yoaG//aaeR//cyoC//ilvG_1//cheY//nupC//rpsI//mhpD//aaeX//nfuA//exbD//yqaE//hyaF//tyrR//cvpA//carA//araB//thrS//glcF//hpt//rbfA//cydC//nuoN//ycjF//yfiP//entB//
PrpR-2-methylcitrate	hofN//ynfF//cheB//yeiP//slyB//
PurR-Guanine	qseB//crl//hflK//rrlD//psiE//hdeB//dppB//rpsP//alkA//gltF//tsgA//nrfE//cyaR//cynS//ydfH//aer//norW//entD//mglB//ccmC//lhgO//yqaE//ompC//iclR//oppF//ompT//tonB//phnN//argC//xylH//aceA//ykgR//ssuA//fbaA//
PurR-Hypoxanthine	gspD//glyA//csgE//tonB//purH//cvpA//csiE//acrE//gspD//fdhF//pheS//nrdH//fhuA//fadI//mntS//artI//malY//acrD//hycB//malI//aroL//hypA//tyrB//rcnA//rplW//dapB//adiC//bacA//phnE_1//yqjI//prpR//artJ//bcsB//artM//
QseB-Phosphorylated	ydeA//glpR//yhiD//codA//
RhaR-L-rhamnose	yiaJ//allE//
RhaS-L-rhamnose	nrdD//ydeA//nuoG//pgaA//rybB//alaV//
RstA-Phosphorylated	rplW//yaiA//gntR//hfq//nuoC//gpsA//aldB//crp//allC//priB//
SoxR-[2Fe-2S]3+ oxydized	ompC//fdnG//nrfB//nanT//
TorR-Phosphorylated	lsrB//argG//citX//araB//fabZ//infC//gadB//ygiA//hycG//oppC//
TrpR-Tryptophan	hybG//marB//hofO//metL//aldB//waaH//nikC//nrfC//secB//phoU//argA//tsaE//
TyrR-L-tryptophan	lsrK//oxyR//yeiW//oppF//rpmC//dadX//tdcF//idnO//malM//lacI//nrfF//pstB//yegH//sdhD//
TyrR-Phenylalanine	ccmH//iscS//tehB//yciW//cspD//argE//tap//phnM//ydhV//glrR//ydiU//ndh//chiP//aroM//
TyrR-Tyrosine	ppiA//rutB//xdhB//hybB//chbG//garK//gatB//narK//tnaA//glpC//nuoK//tdcB//rrlE//fis//
UhpA-Phosphorylated	alaU//
XapR-xanthosine	aroM//nagE//
XylR-Xylose	nhaA//bioA//deoB//focB//yfiP//ybdZ//
ZntR-Cd2+	polA//
ZntR-Hg	hybD//
ZntR-Zn2+	folE//
ZraR-Phosphorylated	nagB//purR//rpsQ//
Zur-Zn2+	nanT//katE//tam//argA//fumA//fucO//
