#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	sdhC//hisP//osmC//fldA//
ChbR-Monoacetylchitobiose-6P	sxy//gspO//fhuD//ada//nrfG//rutE//
CpxR-Phosphorylated	hyaA//appA//ansB//fhuE//gatZ//mutY//ycjF//ada//aaeR//mzrA//ssb//cvpA//ilvD//ychH//ppdD//glgB//cpxA//rdoA//artM//bglF//fumA//dctA//ydeP//gabT//iscA//cueO//hflX//glpC//yqjI//rmf//envY//ptsI//csgF//manZ//asr//livM//rpsJ//mcaS//deoD//gcd//fnr//astA//ppiA//aidB//hybF//metB//gabD//sucD//glgP//yjcH//citE//oppD//hmp//trpA//exbD//aroL//tomB//nmpC//treB//prpD//tyrP//sufC//fdnH//purF//lsrF//zntA//cueO//hflD//uxuA//
CreB-Phosphorylated	artI//qseB//abgT//gntR//sucC//ilvM//acrA//amtB//casB//
CueR-Ag	yjiY//yojI//rpsI//gltU//frc//ppiD//yiaO//
CueR-Cu+	rbsA//caiA//cysD//tam//yggX//fimD//ychO//
CuerR-Au	spf//ileT//nikC//paaA//umpH//yibN//casA//
CusR-Pasp	nrfF//hdeD//asr//yhcH//hybG//ompW//ulaA//fepG//waaH//lysU//rpsC//argC//
CynR-Cyanate	hypF//aer//artM//nuoI//
CysB-N-acetyl-L-serine	hemA//mcaS//chbR//pgaB//soxR//hycC//qseB//guaB//glgP//hmp//ssuE//mzrA//tyrP//hybO//glcC//iscS//aidB//feaR//ydeA//nrfE//ydfH//cyoC//glpX//murQ//ivbL//fepB//tyrB//hyaB//gatB//ilvB//
CysB-O-acetyl-L-serine	cyaR//malK//fis//mdtC//ptsI//aceA//ccmD//abgT//hdeB//bcsA//ynfH//hypE//gnd//skp//uidA//lsrD//citF//codB//rhaD//cueO//chbF//hycG//map//cas2//purB//hycD//fnr//pyrC//rrfH//torA//gltB//
DcuR-Phosphorylated	yeiP//iscS//lsrF//torD//ilvG_2//gltF//rrfD//glpR//ydbD//
DnaA-ATP	cysK//mpl//pepT//uidA//yciW//rrlG//chbR//ycdZ//hyfH//dcuR//trg//dkgB//
DpiA-Pasp	yhjC//flhD//iscA//epd//metK//hycD//fdnG//phnO//malF//ydeO//sufC//
DsdC-D-serine	motA//fucO//yegR//
EvgA-Phosphorylated	yqaE//rprA//caiB//mdtD//pgaA//gltA//iraD//cysP//hycB//fixA//tdcB//tomB//abgB//mhpE//rimP//
FNR-[4Fe-4S]2+ reduced	caiB//livJ//pncB//ppiD//fixC//deoA//nuoJ//deoA//ascB//dsdX//entD//baeS//mutY//prpD//nuoA//metI//dcuA//hyfH//ynfF//rrlE//ynfF//nrdF//codB//hypA//metL//emrK//phnD//rmf//csgA//tam//cysD//chbC//pgaD//ileU//yjjZ//prpE//ybiT//bcsA//oppB//yqaE//rrlA//ykgO//ilvA//dsdX//metY//rplV//ldtC//iclR//glpB//yneM//frdD//sucA//nanS//napH//bcsB//cysA//hofB//bamA//mdtC//hupB//yhcH//mutL//ccmE//asr//ysgA//polA//prpR//uidB//creA//truB//tsgA//gltU//rplC//pgaA//cydA//mntS//manZ//tdcB//cysG//ompR//avtA//bdcA//pstS//ompR//dcuR//pstA//cyoA//betB//fimF//ybdN//gntT//ynfH//gltA//nanE//mtlA//acrD//rybB//pheT//fnr//lysU//lacA//narG//cdd//deoC//tam//phoP//entH//hypE//nagE//cysA//lysU//efeU_1//acrE//guaA//tyrP//cusC//uidB//dadA//caiB//dppC//mdtA//acrF//gpmA//paaG//marR//creB//hofO//fadJ//yjcH//rhaB//uhpT//phnN//frdC//puuD//pgaD//mgtL//fixC//mepH//narQ//rrlE//gspC//ccmH//ulaC//bglB//pheS//ilvE//phnE_1//yibN//araJ//casD//purM//argB//rpmI//rpmC//cas1//hyfG//iscA//ycdZ//nuoL//nanK//hyaF//yiaK//nusA//tdcD//citF//hyfC//phoP//mgtA//frdC//carA//paaE//sbcD//entA//fepC//rrfH//cyaR//adhE//pstA//gltV//puuE//gspF//cheW//pepT//rutF//nrfE//sufE//rseB//yciW//fecR//pheM//mhpA//cstA//yhjA//malK//yiaM//deoD//cysB//araF//tyrB//rrfA//hupA//fixX//lpxA//modC//yiaK//creB//fimC//tdcD//glpG//pnp//creB//ssb//gatY//rplS//tktB//rpoS//fecR//uvrA//dmsA//gdhA//glpE//tolC//metH//ahpF//moeA//gatB//tdcG//phoE//mntP//gltW//aaeR//gadC//dmsC//hcp//soxR//fimI//gatC//rrlB//cra//fecC//yaeP//metL//mltC//dppB//lsrF//glrR//gatZ//hisJ//caiA//creC//mtr//sucB//codB//araC//glcE//manA//zntA//gatC//nagB//fecR//csgG//cydA//rnlB//citC//tsx//nrfD//metB//flhC//tonB//feoC//nuoF//tpx//mcaS//phoP//nagB//caiC//norR//ubiG//proP//tauD//gpsA//fixA//ompF//preA//ynfE//cheR//argA//rhaT//rbfA//fepG//mpl//emrK//tnaA//cysI//mhpT//cydA//cydB//bglB//acnA//entE//cysB//nuoF//fecD//livM//rybA//
FhlA-Formate	ydeA//baeR//pitB//rutE//nfuA//waaH//entC//rbsD//araB//malT//speC//gatY//rseB//yrbL//ccmH//rutC//ptsI//ulaB//glcB//lsrF//glgB//nuoK//ssuE//purH//ompF//amn//marB//psiF//lldD//aaeB//
FucR-L-fuculose-1-phosphate	gspF//fimG//trpB//srlA//rrfH//csiE//ydeP//
Fur-Fe2+	pstA//yiaL//uraA//feaB//fumC//gntK//iscS//pitB//caiA//gadC//alkB//adhE//hyaC//idnT//rhaS//cyoC//yoaG//mdtB//rrlG//fadA//acrD//rpmC//acs//argP//napF//serC//pta//gspE//phoQ//sbcD//osmC//rplB//hflC//ugpA//nikB//nrdE//sucA//tauD//treR//rnlB//sucB//napG//agp//cheZ//rutG//rplT//uxuA//modB//ilvA//argB//acs//guaA//preA//tdcG//manX//tauC//hisQ//bcsC//abgB//hflC//frdD//napB//rrfG//uhpA//rpoS//raiA//csiD//sucC//dadX//nikD//glcC//purB//hpt//hyfH//gcvP//glgC//dnaA//actP//csgB//hfq//ada//katG//hisQ//arfB//dnaE//araD//yhcH//gntR//cusC//hdeD//rbsB//ynfK//glnD//yegR//rdoA//casA//katE//pheT//nrdD//nirC//cyoC//dctA//yhiD//fiu//glpQ//focA//livJ//mhpE//csgB//abgB//cadB//acrE//dmsC//bglG//yhfA//trmD//garP//moaD//glcC//moaA//mlc//mhpF//dmsA//hfq//fliA//yqaE//ubiX//fadH//nuoB//oxyR//erpA//ydeN//yiaN//fimF//alaU//nrfE//mdtD//hyfG//dppA//yjeV//
Fur-Mn2+	sufA//aceB//nrfD//chbC//rhaD//entD//yaiA//dmsD//nuoJ//nrdA//chbF//astA//srlE//fimH//tap//yfbR//ugpA//phnN//dnaN//purN//rstB//entC//ygaC//ycjX//glrR//rhaT//malX//xdhA//rpsS//ydiU//rbsC//ydiU//gspK//fimF//tdcA//flhC//phnL//creA//lysO//yebE//gspO//dmsB//fdnG//fimH//ascB//chbC//rrfF//idnD//puuR//sdhC//cyaA//rrlE//hemL//acrE//cheA//aceK//hycA//psiF//ompF//argP//argR//ilvM//sucB//nuoA//phnL//gltU//ilvG_2//gabT//rrfD//envZ//motA//nrdD//dsdX//lpxA//fhuC//fucI//gcvH//norW//nrfF//ugpQ//gadC//nagE//livH//lsrD//rplT//spf//sgbU//cysC//hisM//hycI//ssb//spf//cas1//cynS//fdnH//alaV//iscU//csgE//carB//uidB//oppA//prpB//grcA//metE//yegH//cysB//glpT//ynfG//phnI//aceA//napB//lpxB//ychO//acrF//hdeB//fur//tsx//fhuC//sgbH//nikE//fepB//ilvN//pncB//hlyE//trg//cpxR//leuE//gspE//gspH//tauD//evgS//cynS//fepC//cueO//yrbL//hflD//rhaR//cusF//cysM//mgtA//
GlcC-Acetate	citX//dgcZ//glgC//gltA//fdnI//napB//argI//
GlcC-Glycolate	yqjA//rbsR//tdcC//tdcF//nuoL//ygbA//frdD//
GlrR-Pasp56	artP//
IclR-pyruvate	hypE//hdeD//exbB//yqjI//
IdnR-5-ketogluconate	fes//modC//fdnG//dps//erpA//cheB//paaH//mglA//
IdnR-Idonate	ybdN//fecB//fadA//frdC//recF//ychO//hyfC//pstS//
IlvY-2-acetolactate	fadD//sufA//
IlvY-Alfa-acetohydroxybutirate	glpD//narI//
IscR-[2Fe-2S]1+	mglC//gspH//glnG//moaA//emrK//glrR//metH//rutA//polA//gnd//nikA//metF//uxaB//sdhC//motA//glpR//fixX//ydhX//zwf//polA//rybA//hyaD//ugpE//rplI//tdh//argR//dmsC//cadC//codA//cheW//hypF//napB//hycG//citX//sucC//casC//gcvP//bhsA//ilvG_1//nrfD//mhpF//
LldR-L-lactate	yhiD//dpiA//rhaD//
Lrp-Leucine	rpsJ//uidC//fucO//tsgA//tsr//ilvM//gatY//dgcZ//actP//metK//rybB//truB//trpC//caiB//araC//grcA//aroL//fliZ//rutB//trpB//rhaD//nikR//hyaB//fdnG//torD//glpQ//rrfH//fimF//nuoG//pheM//tolC//metI//metQ//motA//aaeX//csgC//murQ//lsrC//rrfD//yegR//fdnI//rrlG//yqjI//tyrB//pta//metJ//talA//udp//ldtB//idnK//cueO//sucA//aroA//tyrB//cysH//garP//appX//hybE//carB//cirA//znuC//sgbH//csiE//aspC//entF//purN//alkB//hyfI//fadB//acs//aroA//bioD//leuE//copA//chiP//osmC//lpxD//map//napF//cyoC//ydeA//rrsD//erpA//psiE//purF//dcuD//cas1//purD//paaA//mtlR//hyfJ//ubiC//psiE//pgaD//ccmB//pyrC//nrfD//astC//nanT//nhaR//uxuA//phnL//ftnA//ilvG_2//rrlE//galP//
LsrR	acrF//atoD//ccmC//aldB//hyfG//zinT//caiB//ulaD//metN//
MalT-ADP-Maltotriose	rnlB//rrfH//hyfF//phnI//purC//tdcD//nirD//mglA//rpsJ//paaB//
MalT-Maltotriose-ATP	napA//tnaA//map//nirC//ccmC//kbl//dmsC//xseA//comR//sbcD//
MelR-Melibiose	fhuC//recF//hyfJ//
MetJ-S-adenosylmethionine	ygiA//gspC//glpX//paaC//gabT//casD//zwf//ycdZ//lysC//rhaT//envY//trpR//fabZ//ulaD//ugpE//
MetR-L-homocysteine	sufB//fadJ//acrE//dcuB//tyrP//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]	qseC//rutE//grxD//lldR//efeU_2//rbsB//
MhpR-3HPP	mlc//aceA//entA//dpiB//deoB//hupA//
MntR-Cd2+	oppF//rrfE//phnD//rnlB//entH//
ModE-MoO42-	fixA//ccmF//alaU//gltU//tauA//cueO//ycjF//dgcZ//entB//malT//cyoB//malE//manZ//fumC//lpd//pitB//nhaA//frc//alkB//cirA//aceB//gspM//glmY//dnaN//gspF//cusF//torR//cpxR//ilvG_2//bioF//rpsS//tyrP//ynfE//fabZ//sbcC//fepG//garL//ysgA//nikD//lacI//nuoB//gcvP//napF//prfA//hybB//ulaB//
NarL-Phosphorylated	psd//malE//rseB//fdhF//yojI//ygeA//rutF//glcB//cysH//mdtB//fimC//dps//cheY//yjiY//ybdZ//ahpC//livF//efeU_1//galE//ssuD//malT//tauA//infC//napD//dnaE//gltD//acrB//paaB//sgbU//lpd//rrlH//yeaE//aldB//folA//alaS//gltF//cysK//gspF//mhpA//metL//gltA//hdeA//envY//fixX//nmpC//nanE//nuoE//trmD//speB//edd//phoE//iscA//ugpC//citC//pitB//ugpC//rpmC//argI//cheZ//narX//ugpE//cusS//rrlB//hemA//gyrA//zraS//phoQ//ydeN//ygiB//guaB//phnF//gltV//nanT//iclR//nlpE//srlE//envY//paaE//katE//ahpC//abgA//rplV//hemA//dkgB//yneM//napC//phnO//bioB//nagC//hybC//bglG//prpC//cheY//dmsB//nanC//lacY//cysJ//caiF//slyB//rmf//lpxB//azuC//arfB//hyfR//motB//fimC//yhiD//gdhA//ydeN//argO//argG//hflD//yhjC//artJ//gcd//xseA//tauA//yfdX//phnK//pstC//ccmG//grcA//flhD//malZ//ynfE//
NarP-Phosphorylated	hyfA//aroP//puuA//dcuC//glpQ//glgX//cusB//glpG//malM//speC//thrV//puuC//tktB//pitB//znuC//hyfR//fimC//metL//malF//gadB//ugpE//ydeA//trpA//rhaD//gspO//dcuC//mhpC//srlB//cdd//ynfF//puuP//xylH//adhE//aaeX//idnD//hycG//nfuA//spf//ispE//csgC//fhuC//pdeF//tdcC//tpx//glgA//nlpE//rplP//hybB//tdh//hyfI//
NhaR-Na+	cpdB//ychH//lysP//yggX//cpxA//rstA//cpxR//
NikR-Cd2+	rrfC//rrfF//ybdZ//ykgM//hybC//rpsC//
NikR-Co2+	pagP//dppB//betB//yedX//paaE//rplB//
NikR-Cu2+	glcF//amiB//rutD//mntP//xylF//amtB//
NikR-Ni2+	mpl//nuoB//envY//nlpD//gatY//lsrC//
NikR-Zn2+	nagB//lsrK//lysP//pdeF//dmsD//aroM//
NrdR-ATP	gspL//lsrF//dpiB//polA//gatC//pgpC//garP//fabZ//fliA//
NrdR-Zn2+	napF//rpmI//glpB//dppA//nikA//gltF//mglB//asr//speA//
NrdR-dATP	ccmG//ebgC//ompW//rrfG//yjcH//gatC//epd//livM//hybF//
NsrR-[2Fe-2S]reduced	uidB//cysK//manY//hyfJ//fixC//ilvD//copA//cysH//pstC//tsgA//tdcF//ccmH//agaV//trxA//caiD//yciW//fliZ//lacA//sbcC//ispE//yccA//pyrC//araE//rhaB//ydhW//hybB//allC//phoP//raiA//csgF//tnaA//gspK//ansB//trpD//rplI//xylA//ycjF//oxc//lysU//fhuF//rpsC//chbC//nanK//rrfG//betA//dmsD//glpK//dsdX//ydhW//fadL//rbsA//trpC//appC//dpiA//ccmC//yiaK//rrsG//gatY//metB//narQ//caiB//ssuA//hybG//nrfA//glnB//tdcD//nikC//focA//phoQ//dps//yiaJ//metI//hyaF//
PhoB-Phosphorylated	rcnA//infC//rybA//rpoE//dcuA//arcA//ybdN//srlB//ugpE//yfeW//ykgR//bamE//cusF//dps//hypA//tnaC//fimF//ybiT//metB//dppC//glpQ//fecD//argI//motA//appB//dnaA//hofN//bglF//phnM//katE//sufE//emrK//casA//lacA//fecD//lacY//phnN//napA//araB//slt//purM//astC//paaG//iscS//zwf//codB//mpl//ulaE//marB//tdh//nuoB//astB//cusR//ihfA//ugpE//hybG//argO//tauA//cysC//ppiA//yiaN//
PhoP-Phosphorylated	glnK//uidC//metE//yjcH//codB//gspE//truB//astD//envY//hupA//ychO//nanK//ndh//yjcH//fhuA//glnK//dctA//hyaC//argC//sdaA//fecD//yaeP//ybdZ//avtA//hybG//ccmB//aroP//hypE//mgrR//galM//caiA//casC//ilvD//hisJ//glrR//citE//ccmD//hyfJ//lldR//nupC//rrfE//metR//cusA//nrdG//malM//guaB//argB//rpmC//yeiL//mdtC//livF//yhcH//argG//ulaF//yegZ//dnaE//pstA//
PrpR-2-methylcitrate	hemL//ynfE//tsr//yecR//trpA//
PurR-Guanine	yaeP//pgk//ulaF//ompA//folA//phoB//torA//rplD//xapB//gltD//glnK//gyrA//lsrG//treC//guaB//manX//yhfA//yiaK//rutG//paaZ//yfeW//cysJ//astB//rpsC//oppD//dmsD//fucK//ilvC//chiP//fimH//spf//tap//nlpD//yjjZ//
PurR-Hypoxanthine	mltC//efeU_1//ftnB//rutD//grpE//yhhY//stpA//hyfG//yjiY//rhaD//rpsQ//araJ//bacA//mipA//pitB//mlc//cpxA//paaA//fimI//osmY//hofB//bioF//nanT//rpmI//cydC//pstS//norW//rrlG//frdA//zraS//srlD//glpT//bioF//rnlA//
QseB-Phosphorylated	treB//cysU//metR//nuoI//
RhaR-L-rhamnose	aroF//gdhA//
RhaS-L-rhamnose	pstS//abgA//galM//ldtC//aroG//ccmC//
RstA-Phosphorylated	hyaB//hycB//mgtA//cusF//caiT//proP//fdhF//ilvG_2//yjcH//ompA//
SoxR-[2Fe-2S]3+ oxydized	lsrC//alaV//pta//mglC//
TorR-Phosphorylated	manX//soxS//dadA//fdhF//feoB//sohB//rpsO//azuC//allD//uhpA//
TrpR-Tryptophan	rbsA//hycI//mipA//marA//yegR//trpA//mgtL//secB//rnhB//rrlD//ygiC//ldtB//
TyrR-L-tryptophan	bioD//gntX//tonB//upp//argB//garL//feoA//phnL//waaH//deoA//entE//lrp//ybiT//ubiC//
TyrR-Phenylalanine	yhcH//appY//prpB//ynfF//paaZ//malF//gspG//lysP//chbC//gapA//narH//cysB//treC//rimP//
TyrR-Tyrosine	sbmA//fucI//phnH//ydfH//hofN//yqjA//fumC//cysU//bcsC//hyaE//micF//tauB//hybC//trpA//
UhpA-Phosphorylated	astA//
XapR-xanthosine	agaW//dnaA//
XylR-Xylose	rrlC//malT//ilvG_2//srlE//ccmE//lamB//
ZntR-Cd2+	metY//
ZntR-Hg	hyfR//
ZntR-Zn2+	nanT//
ZraR-Phosphorylated	nrdI//pgaD//fumA//
Zur-Zn2+	tktB//preT//ygiB//cysP//cheR//lysU//
