#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	fucI//fimD//srlB//zntA//
CpxR-Phosphorylated	gyrA//avtA//yeaE//frdD//mhpB//entH//nrdH//prpR//dcuA//nrfF//aceA//ampE//rybB//ascF//trpA//dmsD//metK//rbsB//ydeA//tpx//feoB//hybA//tktB//glpB//mntP//mdh//fhlA//iraD//ydiU//yegZ//napC//xylG//tar//trmD//gntX//bioC//pdeF//uxuA//eda//paaB//yiaK//malT//mntS//rstA//trpR//tsx//rhaR//entH//nagE//lsrK//nuoK//citX//gatA//phoP//nanA//hofP//ahpC//pstA//hyaF//alaU//ycjX//sbmA//pagP//trg//phnC//ccmE//yegZ//sxy//hemL//
CreB-Phosphorylated	pncB//rrfH//aaeR//sdhC//lysU//dnaE//gspD//dsdA//dsbA//
CueR-Ag	araF//ssuC//ydbD//purH//malI//appY//ssuC//
CueR-Cu+	argH//fdnH//dps//galP//sbcC//ilvI//caiT//
CuerR-Au	rrfD//fadH//lldP//feaR//adhE//dcuR//sufC//
CusR-Pasp	azuC//dadX//cynX//ynfG//galM//ebgC//citE//cyoC//hcr//dsdA//rrfD//nanK//
CynR-Cyanate	mdtD//yaiW//dppF//argH//
CysB-N-acetyl-L-serine	rmf//ybjG//phnD//rrsB//ubiG//ubiA//qseC//mtlA//nrfA//acnB//rprA//ugpE//dsdC//bioB//hflD//sgbH//paaF//cysW//sucC//paaB//dcuR//speB//creA//cysI//glpQ//gdhA//nagA//manA//glpT//nupG//
CysB-O-acetyl-L-serine	tdh//frdD//napG//agaV//phnN//motA//ssb//rmf//hfq//gutM//hybD//hycA//hypF//malM//nrfF//cyaR//dmsD//pgaD//sdhC//astE//hycE//fdnG//sdaA//metY//atoB//tpx//fis//hypE//amtB//soxR//hofN//
DcuR-Phosphorylated	nlpE//appC//citF//hisP//hyfB//gatA//yfeW//fimH//yedX//
DnaA-ATP	yoaC//nuoK//rpoH//hypF//motA//nadC//ebgC//ycjF//fldA//nagE//bioA//glgX//
DpiA-Pasp	rpsO//yiaK//tap//dsdA//marA//ygbA//yfaE//dapB//chbR//srlE//alaA//
DsdC-D-serine	exbD//yeaE//ynfH//
EvgA-Phosphorylated	cynT//ssuB//yneM//betA//degP//artJ//hyfG//tehB//tdcD//torA//fbaA//hha//pheS//znuB//dmsC//
FNR-[4Fe-4S]2+ reduced	rutF//rseC//dadX//nanM//nirB//aceB//nagE//cheW//fiu//rbsA//uvrA//xylF//srlB//uxaC//ilvM//ybjG//murQ//iscS//livK//entB//nikE//paaI//ubiG//fimG//moaB//puuC//hdeA//rrlE//flhD//astD//rbsR//ydeA//yoaG//nuoF//glpG//fliA//aldA//arcA//gspG//gnd//yqjI//metN//gnd//nikR//ftnA//cpxR//cueO//glpE//hfq//nanE//agp//tap//ubiC//tdcG//emrY//entH//astD//glpC//dpiA//gcd//rutG//galE//pck//entE//ulaA//rrlC//tktB//argP//ulaE//purH//livM//modC//nhaR//gatD//csiE//pstS//araH//cysC//entA//actP//nupC//cysI//nanK//atoA//sodB//ydfN//trg//mlc//galM//malP//hyaC//sgbU//rrlB//citX//dsdA//argC//nuoK//nikB//ybiT//yoaG//feoC//tdcD//hupA//adhE//sucC//hycA//tonB//fabZ//argA//dgcZ//cas1//moeB//hybG//fadJ//ubiG//hyfR//napD//arfB//rhaS//flhC//idnT//argG//hyaA//pheM//gspD//ydfH//fepD//fimC//mhpE//ysgA//gspI//fiu//dnaE//argD//ydeO//ssb//dsbA//purD//fadI//cirA//ebgC//hmp//cynR//serA//galT//moeA//yaeQ//casD//pitB//dsdX//argE//aroL//fixA//ahpF//yfdX//dapD//znuC//ebgC//nikD//tsgA//fecE//cas2//tdh//gltA//aldB//allE//fbaA//ilvH//ulaA//lhgO//gntR//purB//secB//mtlD//galT//sufS//uxaC//rrfB//mtlA//fepG//hflK//modB//argG//hupB//prpB//uhpT//secB//cusF//fucR//tehA//amn//cueO//nuoA//oxc//ugpA//cspE//trpR//caiA//aroP//fucI//nagA//cadB//waaH//ebgA//nikA//moaE//yqjI//chbC//pgpC//uhpC//glpE//cadA//amn//metQ//sgbU//dkgB//ycdZ//ubiA//tyrR//casA//cvpA//nrdG//nuoN//cadB//srlB//hyaB//pstB//xylR//cydA//adiC//yibN//napC//ascF//appX//gspJ//torD//acrA//ychH//gspJ//cbl//cyoC//ynfK//rrlA//aroH//frc//cusF//yiaL//gatD//ccmF//dppA//emrY//cydB//hcr//hycI//bglG//mhpT//entD//ynfK//purL//csgC//pyrC//rpoH//astC//ssuD//cydA//hflX//ldtB//mdtC//fucP//fucA//malG//hisQ//arfB//norV//caiT//ldtC//nrdH//mgtL//nikE//artI//nlpD//fdhF//argP//mdtC//uxaA//modC//malF//cynR//fucK//hofB//astD//entA//pepT//dsbA//dapD//ccmG//galK//rrlE//narL//melA//narI//csgD//glgC//frdB//acnA//
FhlA-Formate	ilvN//aspC//nanM//speB//pgaB//efeU_2//bioB//deoD//metJ//cysG//erpA//casE//phoQ//ansB//cpxR//gspI//nuoE//nlpE//feoA//yneM//gspG//napD//yeaD//acnA//tdcF//lamB//glcF//motA//gatB//csgC//
FucR-L-fuculose-1-phosphate	ydhT//yjcH//bioB//argE//artJ//aldA//paaD//
Fur-Fe2+	artQ//yiaL//cusA//cspE//nfuA//chbG//trpE//gutQ//nupG//ccmH//dcuR//fucU//fdhF//nikR//yeiW//sgbE//nuoB//adhE//glgA//purN//ubiA//pitB//tsr//napD//rrsG//pheS//ubiX//ilvM//folE//purB//ndh//sbcD//chbF//mhpT//yccA//sdhB//astC//lyxK//glpC//mhpA//iscS//hyaA//betI//nanC//glpA//purN//bcsC//ccmG//glcA//malK//ahpC//dkgB//citC//hybO//serC//bglG//citC//recF//rpsR//sodB//nadC//fhuF//artJ//cusA//phnN//sbmC//pgk//lacA//hyaC//rrfE//torR//acrD//garR//nagC//iraD//prs//arcA//hyfF//ascB//napG//metK//lsrG//zraP//mdtB//rbsD//phoB//ysgA//ynfG//tsaE//prs//tyrP//focA//cysH//glnD//ydhX//aaeA//pgaA//araD//moaA//hmp//citX//xylG//narX//nikA//dnaE//pta//rrsH//alaA//agaV//paaD//ssb//oxc//phnC//allC//rmf//glpT//cyoD//nohA//ykgR//rrfH//rhaR//idnD//carA//nrfC//nuoM//lacA//rrfG//hybA//fldA//malY//abgA//glpD//hlyE//dpiA//xylF//glnG//hisQ//fixC//ugpC//tnaC//
Fur-Mn2+	acnB//ebgC//narK//purH//rpsC//agaA//artM//fnr//rutA//metN//uhpA//lsrA//cynS//caiF//fixB//trpA//rhaD//yhcH//pstB//gatC//fepG//rhaB//oppF//chbB//hdeB//cadC//ccmF//glrR//hlyE//dsdA//prpD//deoD//sufA//narJ//cysH//argC//pdhR//cysN//tsgA//glcA//ykgO//nrfG//dcuS//dppF//moeB//osmY//tolC//phoU//entE//codA//fucR//psiE//puuP//hflD//ldtC//idnD//ftnB//araB//purD//alaS//rrfD//gapA//lysA//ugpA//tauB//ccmD//soxS//phoB//paaH//rplI//ptsG//ssuA//rpoS//sodA//acrA//glgX//rpoS//yedX//rplM//lpxD//nrfA//nagE//ygiC//rbsR//xseA//yaeP//prpE//cas2//paaD//ilvI//ychO//rutD//yaeP//glgX//oppC//metF//fadL//gspF//frdA//hybO//gspJ//lldP//dusB//tdcF//evgS//fepA//paaJ//folE//yegR//ulaA//nirC//ydfN//feoA//tktB//dsdA//pdhR//acs//yggX//osmC//mhpR//ydfN//tar//dnaN//gpsA//arcA//ydfH//motB//napC//garL//paaC//glcE//torD//hyaB//soxR//uidA//ykgO//ydeJ//yfdE//ygeH//emrK//
GlcC-Acetate	malT//yhjC//rpsP//hycH//malG//hycE//sdhB//
GlcC-Glycolate	metR//proP//glnG//araE//grxD//glgS//udp//
GlrR-Pasp56	sdhB//
IclR-pyruvate	marR//ilvA//cirA//xapB//
IdnR-5-ketogluconate	gabD//mhpE//napF//cpxR//rrlC//mhpT//lacY//yiaN//
IdnR-Idonate	hyfJ//dmsC//rbfA//malF//puuB//yaeP//dgcZ//gatB//
IlvY-2-acetolactate	hycI//galT//
IlvY-Alfa-acetohydroxybutirate	cirA//tdcF//
IscR-[2Fe-2S]1+	aceE//fnrS//gutQ//gntR//rrsA//flhD//pstA//dppD//glpQ//phnE_2//gadC//purD//gspC//idnD//creD//lsrC//leuE//gltA//lysU//gatZ//hycE//hyfC//bioC//fimE//pgaB//alkB//ygaC//sufA//dadA//idnK//rpmI//entH//iraM//nanA//rutD//tyrP//ynfE//gapA//pflB//marR//argR//
LldR-L-lactate	rhaA//bcsA//chbC//
Lrp-Leucine	pstS//hybC//erpA//kbl//hupB//envY//galS//zraR//garK//rplV//baeS//fliZ//napF//norW//aldB//fhuA//ygiB//phnN//sdhA//appB//bioC//dsdX//uvrA//gntT//ybjG//tdcD//entS//yiaO//sgbH//glcB//oxyR//fecE//ynfE//nuoG//moaD//ycjF//bhsA//rprA//map//yidQ//tyrP//rrlB//asr//gspH//infC//ydiU//sdaA//torC//znuC//ivbL//cheA//fimD//uhpA//mdh//sxy//argF//psd//rprA//tnaA//nfuA//araA//argO//glpK//rrlA//mtlR//fucR//lldD//phnG//cspD//puuC//fimH//aroM//rpoS//grpE//livH//yeiL//dnaE//srlB//ycjX//ycjF//phnC//chiP//fucK//yjcH//sgbE//tap//mhpC//grxD//bioF//mhpC//mgtA//tyrB//araF//sufE//mlc//tap//ulaE//rpsJ//rpmI//ccmA//yqjI//ebgC//nanT//ccmG//glnK//tsgA//
LsrR	ampE//hypF//aroF//lldR//rpoS//mglB//rrsE//bioF//moaA//
MalT-ADP-Maltotriose	rseA//glnA//cysN//borD//oppF//cpxA//fabZ//rrfH//metI//lldP//
MalT-Maltotriose-ATP	glrR//rhaD//hyaA//psd//comR//hflD//fhuB//rrsE//ompW//cysI//
MelR-Melibiose	mhpB//uxaC//yiaJ//
MetJ-S-adenosylmethionine	feoA//fhuE//glpX//trpE//appY//fnr//dnaN//gatD//tehA//rrfH//rcnB//tolC//nirB//fucA//betT//
MetR-L-homocysteine	ahpC//nrfB//fnrS//ydiU//evgA//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]	yecR//katE//cysD//fadA//feaB//rplT//
MhpR-3HPP	hflK//csgF//slt//yegZ//srlB//hfq//
MntR-Cd2+	rrsH//hslJ//nikB//ileU//serC//
ModE-MoO42-	glgA//rybB//artM//cusA//ulaE//ogt//pstB//treC//hybC//fadH//sdhC//metK//gspF//frc//cas1//narI//tdcD//yfaE//rrlG//frdC//glgP//paaD//hybG//malE//dmsD//purE//araF//yrbL//citG//puuC//gdhA//glpD//mdh//garK//focB//aceK//nuoH//iscU//ccmF//paaI//sufD//frdA//cysJ//prs//polA//fumB//
NarL-Phosphorylated	ugpE//aceB//mglA//speB//ccmE//paaD//ybiT//fdnG//secB//rnlB//yrbL//prpC//mtlD//rhaT//lsrF//hcr//xylB//aceA//mpl//cynR//fhuB//fnr//hycE//zinT//hfq//lpxD//znuB//frdC//speC//malI//phnJ//csiD//ompT//rutF//gdhA//hcp//mdtD//deoD//cynT//aceA//mhpR//glpR//feaB//napF//livM//melR//leuE//speA//rybA//rutF//sucC//prfA//yiaN//pgaD//caiC//nanA//mntP//chbR//amiB//hisQ//trpR//pstA//tdcG//paaD//hybD//citF//mhpF//entA//hycC//nuoK//xylR//hofN//pstS//hcp//rrlD//fepD//ybdZ//codA//malF//rpoS//rrsE//garK//feoC//cydA//fimH//hisJ//malY//livF//mgtA//zinT//xylB//agaA//nuoC//yeaR//ytfE//appC//hupA//yfbR//sgbE//artI//argP//astE//lldD//rof//rpsQ//fadB//cusC//entA//gltA//fepC//sdhB//rrfG//tehB//fepG//iscS//tap//rhaA//metN//gatA//thrV//metF//hypD//cyoD//tsgA//zntA//
NarP-Phosphorylated	tyrR//ldtB//hcp//deoD//aroM//nrdE//rutC//fecI//alaT//narI//nanE//tauA//yiaK//sbcC//napA//gatB//hslJ//tomB//rybB//lsrC//rstB//phnG//rseB//baeS//hyfF//gspL//atoA//gabT//hyfF//cheA//tsr//nrfA//ugpQ//fliA//grcA//artM//metC//melB//raiA//nuoC//chbG//fucP//pepT//rof//hdeA//narK//sucD//mntP//fnrS//lacA//
NhaR-Na+	fadJ//hdeD//casD//cvpA//ogt//nupC//cusS//
NikR-Cd2+	yeaD//puuE//cvpA//chbF//ygaC//rrfC//
NikR-Co2+	ileU//cspE//ilvL//appX//xapB//yqaE//
NikR-Cu2+	rrlA//nrdG//cheR//paaD//purC//cvpA//
NikR-Ni2+	fdhF//ptsI//uxaA//nhaR//gntP//manX//
NikR-Zn2+	hyaC//argD//lsrK//nuoC//narX//glcG//
NrdR-ATP	dcuS//idnD//tcyJ//acrF//ung//yiaL//hemL//cirA//nrdF//
NrdR-Zn2+	paaG//oppC//rrlB//moaD//rutE//yciW//lacY//csiD//slt//
NrdR-dATP	sdhB//metF//nikC//ybjG//hcp//norV//yqjH//rrfC//purR//
NsrR-[2Fe-2S]reduced	envZ//gspD//baeS//grcA//pstS//yiaN//frdA//idnK//cysD//psd//lldD//yedX//ebgA//hflK//purH//fucU//rrsC//ileV//hypD//iscA//hycC//ccmA//malX//torD//glrR//metI//grpE//phoA//trpL//metN//nrdI//lolB//artI//mtlA//metK//pck//cytR//metL//ulaF//oppB//ppiD//cheY//actP//prpD//exbD//hdeD//cirA//pstS//argT//rybB//argC//katE//cyoB//dcuB//argP//bioB//fis//dsdX//tsaE//mglA//yeiL//arfB//ilvI//hydN//epd//murP//hycF//mhpA//ansB//torC//envZ//ugpE//glmY//
PhoB-Phosphorylated	dnaA//citE//torR//paaD//rhaT//ptsI//fhuF//guaB//rhaA//rseB//tauA//ascF//hmp//phoH//artJ//sodB//entE//ygiA//cusA//mdtC//phnN//napH//aroA//mhpF//cysN//dcuS//hofN//baeS//lysC//melB//lsrF//cysM//gapA//ascF//atoA//nrdB//rpsQ//tdcF//cstA//ompR//feoB//idnK//comR//cheA//dcuC//purH//trmD//mtr//bhsA//ygeH//fdhF//cyoC//rmf//nrdD//ssuD//nohA//fhuE//acnA//appX//sucC//rseA//
PhoP-Phosphorylated	phoH//hyaB//rrsH//mhpB//appA//nanS//csgB//rutF//motA//pncB//nikR//cysG//malF//ampE//yegR//argE//fucO//ssuA//ccmF//speA//rrlH//grcA//dnaA//amiB//pgpC//gadC//hlyE//guaB//hpt//tfaQ//aspC//carB//purA//icd//yciW//malF//entH//atoB//nadC//livM//tomB//yaiA//talA//rhaR//fimH//alkB//atoA//nagC//creB//dnaA//gatY//lldP//uxaB//rimM//rrsD//dcuR//thrV//
PrpR-2-methylcitrate	moaA//aaeA//nuoJ//znuB//ubiG//
PurR-Guanine	hybD//lysP//entA//yoaG//hyfE//nikC//chiP//map//frdA//tnaC//hisQ//fepD//nikE//gntX//carA//rrfF//hdeA//ascF//alaS//phnC//rimP//paaH//rhaT//aceF//spy//bdcA//gcvH//uxuB//fadJ//rstA//flhD//rhaD//sbmA//znuC//
PurR-Hypoxanthine	ompX//ysgA//cydB//yoaG//lysA//dsdX//rseA//hybF//dsbA//fixX//paaC//srlD//codB//lldR//nrdB//fadL//fixC//rrfC//rbsA//fixA//nrdH//ftnA//yiaN//putP//metC//mhpC//hflC//fecR//lacZ//bamA//moaB//bglF//rrsA//agaV//
QseB-Phosphorylated	grcA//mdtC//hypA//ndh//
RhaR-L-rhamnose	mntH//oxyR//
RhaS-L-rhamnose	yjeV//uxuA//yqjH//cyoE//norW//ulaA//
RstA-Phosphorylated	rrsA//mhpB//flhC//talA//glgB//yegR//malK//phnF//tsx//glcA//
SoxR-[2Fe-2S]3+ oxydized	casA//ptsH//ykgO//gpsA//
TorR-Phosphorylated	ugpC//lpd//gspD//allC//ygbA//phnP//sufB//map//nuoM//csiE//
TrpR-Tryptophan	bacA//amtB//nfuA//rrfA//thrS//rbsC//srlR//bioC//ispE//tsx//rprA//gdhA//
TyrR-L-tryptophan	sroD//betB//tehB//mutY//glpT//fimD//fucU//phnI//ydiU//uidC//tnaB//rprA//rrfD//grxD//
TyrR-Phenylalanine	csgF//lysO//acrF//yiaN//sufS//rseB//ilvY//gntT//uhpA//rpsP//dgcZ//fhuE//tsr//ybjG//
TyrR-Tyrosine	rrfB//comR//fimI//abgB//rrfE//yeiP//ygiB//frdA//hyfH//ccmH//glpE//livM//exbD//dmsB//
UhpA-Phosphorylated	yfdE//
XapR-xanthosine	cusC//gpmA//
XylR-Xylose	metI//araA//lldD//artJ//truB//aroM//
ZntR-Cd2+	tolC//
ZntR-Hg	glpC//
ZntR-Zn2+	bcsC//
ZraR-Phosphorylated	ccmH//glpA//rdoA//
Zur-Zn2+	yfdE//dmsB//agaW//gpmA//mtlR//nuoM//
