#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	mntP//micF//nrfB//hybG//
ChbR-Monoacetylchitobiose-6P	crl//gltU//ilvL//ynfE//uxaA//hyfE//
CpxR-Phosphorylated	ssuB//caiC//rybB//ybdZ//chbB//lsrA//cynS//fucR//manY//frdC//cheZ//napC//iclR//mipA//sdaA//cyoA//cydC//araC//amn//cysK//nohA//soxR//rrfF//fbaA//cynT//fnrS//mhpT//torD//malM//rseC//znuA//pgpC//nikR//mglA//nikD//rrsD//yggX//mhpE//fhuF//ubiG//ompC//hha//ompA//ybiT//puuA//lsrR//trpR//pta//metF//baeR//deoB//recF//pgaD//nuoF//tehB//ptsG//oppB//rrsH//lhgO//ppiA//sgbU//acrB//rpmC//ansB//yjcH//cyaR//purN//hypF//dapB//
CreB-Phosphorylated	hyfB//casC//mutY//mntS//aldA//pheM//mhpF//dppD//argC//
CueR-Ag	hyfC//tsaE//cysA//fhuD//gatA//tomB//lldP//
CueR-Cu+	narG//caiD//nlpD//grxC//agaA//fur//purE//
CuerR-Au	chbA//rutG//lsrR//gyrA//rimP//dcuA//cheY//
CusR-Pasp	fucI//nadC//araC//fepC//fadA//napC//bdcA//ynfE//livK//ulaE//galK//ubiC//
CynR-Cyanate	manY//nuoJ//mltC//argP//
CysB-N-acetyl-L-serine	rutG//torD//purB//moaE//bioA//sbmA//cirA//ygiA//yhjA//osmY//cysJ//fecE//gcvH//rplD//hlyE//nrdB//rrfA//entH//tyrR//rpsI//lsrB//caiT//icd//pgk//yoaC//evgA//rseA//yidQ//fucA//entS//
CysB-O-acetyl-L-serine	thrS//idnO//ascB//fdhF//ccmA//fixC//purB//fecC//phoQ//dcuC//zntA//fumC//caiE//malS//ihfA//lysU//ybdZ//napA//galE//yeaR//mhpC//lacI//gntU//paaK//rrlD//evgA//idnD//glnG//pncB//qseB//ptsI//
DcuR-Phosphorylated	uxaA//ackA//nupG//fnrS//yebE//ychO//lyxK//rrsG//hofO//
DnaA-ATP	srlB//galP//pstC//rhaT//nuoJ//aceK//rplM//fecD//ydeN//rplC//pgpC//lrp//
DpiA-Pasp	puuP//hyfH//tnaB//idnO//malE//patZ//azuC//xylR//yeaR//phnC//xylR//
DsdC-D-serine	rrlG//rhaA//tehB//
EvgA-Phosphorylated	rplV//araH//citX//hyfG//mdtA//sdhC//nikR//glcA//glpX//pheS//lysO//yrbL//uxaC//lacY//yegH//
FNR-[4Fe-4S]2+ reduced	ybjG//yfaE//glyA//fdnG//puuE//rrsC//dppF//livK//dmsB//lpxB//nanE//puuE//ileT//yiaK//argC//tap//aceK//cyoD//malX//rseA//yjjZ//hybC//glcF//melB//gpsA//fhuD//malZ//fadI//araG//paaB//hyfI//soxS//dsdC//nrfB//cysC//feoA//zraR//hycB//arcZ//srlA//rutF//hyfD//yaeP//gntU//fhuC//grxC//caiC//rbsK//hisM//araC//malM//focA//nuoF//sufE//bioD//dsdX//hflK//fdnH//glpB//sdhA//mhpE//ydhW//ugpB//ccmA//gnd//fepD//bcsC//envZ//qseB//tolC//fhuB//araG//modC//cheZ//mhpF//yfdV//mpl//fecR//ryhB//zraS//ykgO//cheZ//lldD//glnA//actP//tdcE//rrfF//cyoA//phnO//lsrC//hyfR//fau//yeaD//entD//yjiY//aroA//cheW//rbsB//paaE//ubiX//preA//artI//bacA//sohB//napA//mutY//iscA//alaV//hemL//creD//tyrR//csgC//nrfB//codA//aceF//fadB//hflK//cydB//glnL//ldtC//treR//ompT//glnK//malX//galM//fadE//gcvT//hpt//puuC//tdcA//ompC//cytR//ycjX//nagA//marA//malQ//melB//bamE//garK//rseA//tar//phoQ//mgtA//uidB//ubiX//fucA//ybfN//yhiD//guaA//nrdG//aldB//napH//dppC//evgS//uidC//glcE//ubiA//bioF//nuoN//hofP//ydbD//livK//malF//rpsP//allE//deoC//pgpC//entS//mhpE//map//entA//casC//narG//argG//livF//osmC//gntK//uxuA//arfB//phnD//mutY//frdB//dcuA//yiaK//ytfE//ygiB//bdcA//pnp//ppdD//rrsE//ugpQ//glpC//lpxB//hycB//glnL//hofM//hycG//pheM//narH//phnC//lysA//fhuF//tehB//rhaR//secB//fadH//cysH//nuoN//astC//cpxR//rutE//codA//creB//bamE//sufC//glpD//yeiW//nagB//tsr//udp//nuoE//hyaD//iraD//xylR//pnp//mepH//rybA//emrK//micF//fixB//hdeA//ilvE//rbsR//mdtC//sufB//fixX//ybfN//ileT//ulaA//cynS//psiF//srlA//yegZ//mdtD//iraM//zraR//nmpC//uidB//hha//frc//yiaL//hycI//hdeB//chbB//aer//modB//nuoG//argO//argD//araJ//glcA//ubiA//nikC//srlA//ompX//tnaB//garR//agp//purN//micF//yfdE//ileT//hyaF//nupG//focA//putP//bioD//moaD//gltW//oxyR//arfB//aidB//fes//ybdZ//dppA//cusF//caiE//ada//nuoG//nuoA//nrfD//yjcH//moaC//hlyE//uidA//casD//lolB//prpC//ulaE//borD//ilvM//nuoH//baeS//nuoJ//mdtA//
FhlA-Formate	skp//paaE//purR//hisJ//paaC//umpH//hypF//pgaC//ssrS//napH//hycH//paaH//rseC//ilvM//ygiA//zntA//hybC//psiF//cysD//mhpD//pgaB//glgS//codB//preT//paaK//rbfA//fadL//phoR//cysC//puuD//
FucR-L-fuculose-1-phosphate	dmsB//arfB//sucA//codB//uxuR//fadH//ebgA//
Fur-Fe2+	grxD//cydB//yqaE//agaA//hdeD//aroM//yjcH//allC//dcuA//nanE//sucD//sgbE//argF//phoP//pgpC//dnaA//yciW//phoH//dapB//rhaT//rcnB//yneM//metK//nlpD//yjiY//pheM//nrfB//dcuD//bioC//lldD//ilvG_1//gntK//malZ//metJ//fldA//feaB//hyaB//hcp//fucK//purN//glpG//paaH//ydeP//exuT//hisM//gltB//fiu//hha//araA//rrfB//garL//srlB//purB//rrsD//rrsH//grpE//ydeO//cysM//prpC//umpH//gspJ//dcuS//rpsI//nhaA//fucR//nuoG//paaE//xapA//nohA//marB//oppC//preT//xylG//ogt//argT//tsr//fliA//nrdA//zraS//nrfF//idnT//gntP//ryhB//degP//fucP//carB//hybD//emrK//narK//csgC//paaF//rpsI//yggX//glnA//aroA//citC//uhpB//lsrF//iscR//pitB//modA//ahpC//bioB//cheZ//rrfG//gntT//aroP//sgbH//paaE//paaD//ccmD//nirD//lldP//purM//glpF//aldA//rrfD//rrlH//metY//ydeN//puuP//gspI//cheZ//ydhW//metR//caiB//phoA//dmsB//xdhC//cysN//dppD//secB//abgB//nanK//lysU//putP//glnD//ppiD//phnE_2//pitA//
Fur-Mn2+	ulaF//ydhY//csgG//lpxD//gabP//casD//tadA//tyrA//argH//gadC//rhaT//srlE//gspC//purC//slt//tdcD//hyfD//hupA//fimH//hyfR//nirC//tdcD//phnP//sucA//hslJ//gltA//bglB//mdtA//gatA//glrR//hybE//phoA//fecE//malM//cusR//frdA//entD//glcC//tcyJ//ysgA//prpC//cysP//rbsR//gutM//prs//yiaJ//hyaB//fiu//metE//speA//mhpD//betI//aroH//acs//rdoA//emrY//yiaM//lysO//cheZ//manX//bioD//dpiB//narK//purB//serC//pgaA//purH//codA//fecD//metK//nohA//norR//hyfE//cynX//acrA//ilvH//araB//phnI//fepC//hyfF//frdC//arcZ//napB//glcC//phoQ//prfA//nuoK//aroF//argC//ubiA//entS//aaeX//argB//uxaB//rpsC//bhsA//ynfK//lpd//cusA//ydeO//rhaS//glcA//yibN//bacA//ompF//nrdI//treR//yiaM//rbfA//rrlB//hha//rplC//casE//micF//rbsA//cyoE//moaC//hyfC//codB//glmY//ptsH//fdnH//ccmD//dgcZ//rof//atoA//fadB//motB//hypB//rrsE//tpx//hdeA//paaK//pnp//hofC//cysB//prpB//xylH//atoA//pgaC//
GlcC-Acetate	paaZ//hyfC//dppB//mntS//hypC//ompT//entH//
GlcC-Glycolate	sbmC//fecD//sufB//rseC//ybdZ//ompA//gcvP//
GlrR-Pasp56	fadD//
IclR-pyruvate	cueO//ybfN//creC//malX//
IdnR-5-ketogluconate	gltV//rpmC//exbB//hflK//lsrK//yjeV//nrdF//entC//
IdnR-Idonate	puuC//sbmC//gntX//hofB//nusA//uxaB//prpR//purD//
IlvY-2-acetolactate	ldtB//yiaN//
IlvY-Alfa-acetohydroxybutirate	entE//araE//
IscR-[2Fe-2S]1+	allE//acnB//mntH//flhD//aroA//aroP//nlpE//nagA//manA//ygbA//rbsK//hyfR//dctA//pyrD//ugpE//ivbL//ulaD//phnM//yiaN//idnT//yhhY//gspF//metB//patZ//ynfG//malX//rimM//lpxD//hdeD//xylH//yfeW//rrsH//citF//yhcH//guaB//phnM//cydC//gltT//hyfR//flhC//gntX//
LldR-L-lactate	ydeO//hyfR//psd//
Lrp-Leucine	livF//modB//sbmC//crr//fiu//artM//norV//gutQ//prs//cysP//phnM//fliA//moaD//nuoH//yedX//ubiX//hyaA//fepC//xylH//csgC//rpsO//metR//nuoK//ilvH//sbcD//cynT//rhaD//yaiA//citE//astA//sxy//ugpQ//fadA//cysM//pepT//fliZ//paaZ//ascF//ugpE//pta//tpx//qseB//phoP//fepE//micF//uhpC//infC//zraR//prpR//mgtA//hybO//astD//katG//hflK//hemL//csiD//hycH//pepT//rimM//tadA//rrlG//entA//ydeA//treC//metE//moaC//lacI//ssuA//rplD//araG//dkgB//mhpD//sbmA//grpE//casC//yfaE//iraM//bglF//guaA//mcaS//hyfD//nuoI//zntA//purD//fadD//ryhB//csiE//rplI//glpD//phnL//rbsA//mutY//borD//crr//phnE_1//aceE//cysI//pagP//iscR//nuoA//yhfA//ssrS//yrbL//envY//dcuR//hha//
LsrR	ygeA//hybB//hupA//malX//paaH//hycC//sufS//cydD//sucA//
MalT-ADP-Maltotriose	fimC//tsgA//dnaE//rrsE//fecB//yeaE//gcvP//actP//murQ//rpsS//
MalT-Maltotriose-ATP	fucI//ogt//glpT//nirD//ulaA//livJ//ccmC//argF//polA//hofC//
MelR-Melibiose	atoB//dsdA//serA//
MetJ-S-adenosylmethionine	talA//glrR//osmC//hupA//yfdE//aidB//trg//gcvT//mscM//nrfB//pepT//tomB//phnF//cyaR//glpG//
MetR-L-homocysteine	xseA//ydeJ//hypD//yeiL//purL//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]	phnK//tar//yhhY//narJ//melB//guaB//
MhpR-3HPP	metK//paaZ//ssrS//bcsB//rpmC//tauA//
MntR-Cd2+	nuoH//codA//paaD//mzrA//fhuA//
ModE-MoO42-	livF//cheB//nuoE//murP//trpL//ubiA//purR//pitA//nanT//metY//zraR//paaK//caiE//rrlD//emrK//acs//folE//hofO//glpQ//csgE//paaZ//ilvD//tnaA//ileV//ispE//cusC//glcC//dnaE//kbl//nrdH//amtB//nlpD//asr//tyrP//mgrB//pgaC//purB//tcyJ//srlA//ysgA//fimA//malE//dcuS//torA//metH//csgC//
NarL-Phosphorylated	fhuB//fadB//hupA//crl//manY//allE//rplW//narH//gltV//dcuA//trmD//purD//eda//galP//araD//astB//ccmF//fadE//ompT//aroF//nirB//hycE//pstS//ccmG//astE//rybA//mhpD//glgB//fecE//torC//ileV//mdtD//gdhA//mdtD//cysK//moaA//fimI//hypA//nanM//mlc//fnr//fumA//rrsD//ilvB//ompC//aspC//gabP//galM//paaK//ugpB//ydhV//bioA//betA//yggX//aroP//nuoH//hisM//hypD//manA//yeaE//napG//rutA//copA//ugpQ//znuB//fecA//hypA//moaA//uidC//gutQ//bglG//safA//creA//mscM//fucP//hyfF//rplP//ilvY//phoA//argG//puuP//glpB//glpF//talA//acnA//phnG//gcvT//ybfN//mzrA//ssuE//rhaT//trpL//fecR//cysM//lsrF//puuA//puuC//aaeB//rplP//serC//idnR//puuP//napA//mltC//tyrB//sbcD//nhaR//metC//gcvP//ubiA//yeaR//sufS//phnM//gltV//ptsG//aceF//argA//bcsC//cvpA//aroF//zraS//appC//speC//araA//artM//
NarP-Phosphorylated	cydB//nuoG//torD//dppA//purB//argT//motA//tdcG//manA//nanS//moaE//artP//mtlA//cysK//glpQ//ydeP//gntR//ilvH//ompT//hycE//ubiX//ompT//lysU//ompF//prfA//hslJ//araH//ydhY//dcuR//cysP//norR//adiC//rrsC//yegH//yfdE//cheA//rnpB//phnH//nanM//cysW//cynS//argO//narG//pyrC//nuoI//malK//sbmA//fucP//trg//ygiA//
NhaR-Na+	phnE_2//livJ//baeS//ccmA//dmsA//chbA//rbsA//
NikR-Cd2+	grxC//alaU//dsdC//rrlH//uof//manZ//
NikR-Co2+	putP//bamA//cysN//polA//ygeA//tap//
NikR-Cu2+	caiA//araA//ynfF//hdeB//nikR//ychO//
NikR-Ni2+	rrlG//hypC//rrlH//mltC//hybO//murP//
NikR-Zn2+	rrfE//agaW//cyoB//rpmC//betB//ugpC//
NrdR-ATP	tfaQ//fepB//rbsB//speC//hpt//agp//ytfE//pgpC//ydeP//
NrdR-Zn2+	srlR//prs//glgC//fau//casA//hycF//ivbL//mhpA//glcB//
NrdR-dATP	melA//ompX//mtlA//emrK//aroH//hypC//gutM//rutB//hyfF//
NsrR-[2Fe-2S]reduced	hycA//tktB//ulaF//bglF//hdeD//phnF//narJ//paaJ//pitA//yhjC//ydeJ//hypC//manA//ydeN//gltA//crp//ompR//mntH//cheR//malK//rnlA//dsbA//ilvH//yidQ//azuC//nfuA//aroH//mntH//bioB//sufD//tehB//ygiB//ydeM//xylA//sodA//spy//speB//iclR//metN//pdeF//pagP//rplM//mhpD//cysP//cydD//ybjG//gltF//safA//sucC//hycC//tsgA//ptsI//fimC//azuC//fhuF//codB//rpoS//metF//gntX//moeA//rplP//alaT//yegH//prfA//fabZ//yiaJ//ykgO//ybdN//pgaB//cas1//csgA//galM//yggX//
PhoB-Phosphorylated	dppB//metL//trpL//ileT//phoA//cynS//ygeH//lyxK//metL//hmp//rplC//thrS//araG//crp//bglG//arcZ//prpC//murQ//ynfE//chiP//chbG//prpB//paaH//aldA//degP//yggX//sodA//ulaF//fhuD//nrdB//deoA//sdhD//aceB//cusS//uxuR//bacA//uxaB//dsdX//zinT//hslJ//hemL//nuoG//ccmA//ugpA//lsrF//bglF//uhpA//dcuR//napF//uidC//raiA//cysG//ubiG//mgrB//rrlC//ugpB//malY//ugpQ//tdh//glgP//bcsZ//
PhoP-Phosphorylated	yoaC//efeU_2//chiP//lhgO//araF//rutF//rplM//slt//aer//puuA//rcnB//uidA//avtA//aroL//ileV//rhaA//dnaE//mglA//cpxA//emrK//cusR//torA//yeaE//paaA//aceK//serC//puuB//argB//lpxA//grcA//nlpD//rpoH//feoB//sbmA//cydA//pagP//manZ//crp//caiC//dusB//cadB//pyrC//waaH//hyaF//stpA//aroH//tfaQ//dmsB//mhpA//avtA//appB//gspC//mutY//csgA//mntP//treC//skp//
PrpR-2-methylcitrate	ansB//rbsR//ptsH//hdeB//icd//
PurR-Guanine	hypB//galT//purC//ykgO//rrlD//ppiD//ydbD//lysA//ugpA//nanA//caiT//cyoD//fecD//nrdG//xylR//flhD//cheR//tdcF//napC//creC//aceF//tdcB//tehB//ybdZ//narL//aspA//uraA//alaS//aaeX//narQ//hdeA//yhhY//cdd//cheZ//
PurR-Hypoxanthine	hisM//pstS//hypD//yhjC//sucC//mtlR//yhhY//citC//emrY//nuoB//yeiW//pgk//aroP//proP//dcuS//fiu//agp//csiD//chbG//dgcZ//iscR//xapA//cysJ//csiE//atoA//sufE//gspE//yiaO//ompA//srlB//caiE//metA//paaJ//aroA//
QseB-Phosphorylated	csgD//envZ//ompF//cysN//
RhaR-L-rhamnose	alkA//uhpA//
RhaS-L-rhamnose	glnK//pstB//gadC//hslJ//dppB//glgX//
RstA-Phosphorylated	ygbA//tauB//manX//xapB//ascB//azuC//gntU//glgB//fau//ulaE//
SoxR-[2Fe-2S]3+ oxydized	lolB//paaD//torR//dkgB//
TorR-Phosphorylated	hlyE//rhaS//livG//motA//prs//fadI//nanE//qseC//hflD//ssuE//
TrpR-Tryptophan	lacY//ilvA//cpdB//ubiA//idnT//mgtA//rybB//zwf//bioF//hyaF//fimH//gdhA//
TyrR-L-tryptophan	argO//zwf//adiC//nrfA//cysM//rhaA//hdeD//ivbL//nagC//yneM//prs//nuoI//rpsO//ogt//
TyrR-Phenylalanine	bioB//cyoC//idnT//phoE//ydeO//ulaF//icd//deoA//phnK//csgA//thrS//aaeR//rplM//raiA//
TyrR-Tyrosine	creB//phnH//lhgO//ydeP//rof//lhgO//gspH//moaE//ileT//yeiB//pepT//motB//metH//hyaC//
UhpA-Phosphorylated	trg//
XapR-xanthosine	yfdV//ysgA//
XylR-Xylose	lsrC//raiA//hyfC//yegR//nanE//araC//
ZntR-Cd2+	hyfJ//
ZntR-Hg	pnp//
ZntR-Zn2+	gspC//
ZraR-Phosphorylated	metB//recF//glpF//
Zur-Zn2+	yiaM//iscA//tnaA//ampD//hyfG//bcsC//
