#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	cusF//ydfH//malZ//gcvP//
ChbR-Monoacetylchitobiose-6P	hisJ//casC//qseC//tehA//appA//phnO//
CpxR-Phosphorylated	gntK//ydhU//udp//feoA//hflX//garK//dcuA//pheM//ydeN//ydfN//fhuA//gspJ//garL//malE//phnL//dgcZ//rrsG//dkgB//cyoB//glrR//malG//lacY//iscA//ftnA//hflC//ygiB//sgbH//ftnB//cysD//tyrR//lyxK//gabP//envY//efeU_1//acrE//nrdH//csgC//pagP//creB//dusB//cusA//glyA//abgB//ilvI//fucO//iscA//cusS//paaD//sbmC//rutF//pepT//gntX//hycB//hofO//aceK//fumB//mtlA//exbB//purD//emrY//phnO//cyoE//ygbA//lsrD//phnO//aceK//fucO//map//tauC//
CreB-Phosphorylated	fepD//hybB//pdhR//xylA//napC//katG//ubiG//gntR//ccmD//
CueR-Ag	hycE//tdh//nusA//lacY//ppiA//dcuS//ptsH//
CueR-Cu+	fucA//purN//ryhB//tap//uxaC//feoB//fdnG//
CuerR-Au	appX//fimE//gadC//metE//paaK//pepT//mhpD//
CusR-Pasp	glpT//feaB//rimM//agp//tnaB//tauB//ydeA//ogt//paaK//csiD//xdhA//gdhA//
CynR-Cyanate	csiD//fecR//argB//napG//
CysB-N-acetyl-L-serine	gspE//rnhB//yecR//bglG//uxaC//glpC//cysI//lpxB//cheR//leuE//sgbU//sufE//mgrR//lsrR//trxA//psiF//pdeF//ynfK//qseC//mglC//dcuR//tdcE//ilvA//glpX//pstC//tdcA//cheW//uxaA//nfuA//aroH//
CysB-O-acetyl-L-serine	ydfN//idnK//yjcH//gspF//ydeA//araH//metI//comR//pagP//gatD//yfbR//ldtC//preA//lysO//iraM//pepT//aspC//tauA//ogt//motA//nuoG//astE//nanK//galE//ndh//ynfK//hyaC//hypA//lyxK//mhpD//aroP//
DcuR-Phosphorylated	sgbE//miaA//gatC//mtlA//acrB//fecD//sohB//hemL//phnO//
DnaA-ATP	rnpB//pgpC//feoB//zntA//amn//hflD//fadJ//nlpE//mtr//cstA//epd//speC//
DpiA-Pasp	hdeA//serA//manX//mhpF//ygiC//nrdH//galK//lsrR//hyaB//rnlB//deoB//
DsdC-D-serine	mglB//srlE//napH//
EvgA-Phosphorylated	mglC//ugpC//fdnG//raiA//nrdE//ugpC//psiE//chbF//cysK//yegH//hypE//ryhB//dmsB//sufE//hypC//
FNR-[4Fe-4S]2+ reduced	iscA//aceK//gltU//rrfF//gatA//oppF//artI//gatD//phnK//ydbD//purE//rhaT//preT//gntP//fimD//cheR//mhpF//dcuD//ugpB//casB//ygiA//ubiX//hpt//bacA//ysgA//rrfH//ccmC//mhpT//yjeF//acnA//agp//amn//infC//ansB//hupB//entS//csiE//trpE//nanT//emrY//cysH//fdnI//nikR//hyaD//ssuC//sbmC//ybdN//fldA//fadE//abgB//nrdI//hycB//caiB//bcsC//atoD//gntT//yhjC//casB//ssuC//hyfJ//pgaD//amn//manZ//gatD//srlR//pgpC//feaR//gutQ//bhsA//rpsI//fimE//gatA//putP//ydeP//mntP//phoA//rpoE//metQ//rbfA//rrfE//bcsB//ispE//fhuB//yhiD//oppB//malF//nrfG//cynT//phnH//gspM//dmsD//rplT//ssrS//hupA//agaV//recF//nagB//nrfB//fur//ynfE//atoE//allE//mhpT//fau//rrlH//ytfE//sufS//tomB//uidA//acrF//dcuA//map//hflX//prmC//metA//hofM//melR//gspI//znuB//nikD//rseA//sdhC//torR//rybB//ryhB//bcsB//hofC//slt//hpt//sgbU//cysJ//ykgM//rbsD//rbsC//pstC//dapD//nuoB//cusA//cysB//hemL//hybO//fur//fadE//guaB//gntX//yaeP//motB//nikA//frc//mhpD//srlD//ulaA//baeS//fecE//yqjI//glpE//sdhC//cysN//rutC//pstS//rplP//yiaJ//serA//fdnG//narH//hfq//yhfA//napF//purF//aceE//fumB//prpC//evgA//sucA//abgT//sbcC//astA//astD//hyaE//phnE_1//fhuE//fimC//hybD//rimP//ptsG//znuA//sbcC//napC//ompT//argP//fecE//fucO//xylA//gatB//gdhA//bioA//galK//yeiW//aidB//lacA//cra//hypC//pheT//gabT//gabP//ugpE//ompA//rhaS//idnK//carB//cheY//mdtB//ugpC//argA//nuoH//nikD//focB//slt//acrB//livG//fimF//yaeQ//dpiA//lpd//gspD//ydeJ//flhD//aroG//mhpE//sgbE//nikE//norV//caiE//glpQ//yqjA//oppB//yqaE//tauB//fhuE//fepG//rybB//ftnB//sbmC//metY//fadI//melB//ygeA//psd//yfbR//secB//fepG//rhaS//rrsD//yjeV//hycH//tam//gpmA//metC//glmY//mhpC//galT//ppdD//yecR//pepT//lacY//gspD//rrsH//hdeD//hyfB//yqjA//citX//nhaA//tsgA//nirC//gntT//purR//gdhA//ybjG//ysgA//tsr//cynX//hycE//xdhB//evgS//paaB//rrfB//lsrG//cysB//rhaA//ulaF//znuB//aidB//hyfI//xylH//treR//yqjH//glgC//pnp//fepG//grxD//hha//hycA//malI//pncB//motA//
FhlA-Formate	phnM//dppC//sbcC//tsr//speB//melB//hybE//exbB//glgA//fimA//feaB//thrV//hybE//rseA//frdB//alaT//bioD//gltU//yeiP//cstA//rof//dcuR//prpC//exbD//infC//fucU//ansB//metY//dcuA//hflC//
FucR-L-fuculose-1-phosphate	aldA//hyfD//aceF//yfeW//yiaK//yiaK//fes//
Fur-Fe2+	rrfD//mdtD//fadL//tdcD//fhuA//hycI//lacZ//rrfB//metH//hyfR//entB//focB//fimA//pgaB//galT//nanS//edd//gspM//ccmE//ycjF//dsdC//gspJ//cysU//manX//ssb//yfiP//iscR//phoB//prpD//dcuA//bcsB//hypD//glpQ//cysC//cysU//citD//hyaF//rpsF//yciW//napG//atoD//tnaB//ydeJ//znuA//dcuD//cysU//araD//idnK//hofO//entD//nhaA//ompT//cysB//livK//fucP//malZ//malS//bamE//yaeQ//hdeB//napH//argB//purL//recF//gltA//ilvG_2//fdnG//speB//oppA//nrdH//aroA//metQ//gltV//lpd//rrsH//ilvX//caiF//aceK//phoE//dgcZ//cysW//pnp//cysH//sroD//rrfF//ldtB//alaU//gspH//atoB//rstB//sucB//tpx//narX//frdC//phnC//ilvY//zinT//malQ//purB//cra//focA//yqjH//ebgA//purE//fecC//modC//hfq//astD//psd//prpR//rimM//treR//fimG//mhpF//yqjH//crl//fadA//fadA//rplI//glpC//gltT//hcp//hycE//ileU//cpxR//frdC//ugpE//ygeH//ychH//rplS//entC//rplB//yaeQ//hyfI//phnE_2//hypC//hpt//betI//rstB//phnC//
Fur-Mn2+	hybE//ybfN//mgtL//nagA//narX//tdcD//fiu//fldA//ybdZ//rpsJ//fdhF//bcsZ//fimA//nanT//gpmA//gatA//astC//araC//tadA//pepT//fecE//nadC//lsrF//kbaZ//tonB//bcsA//phnJ//caiT//glnG//rimP//moaD//ahpF//artI//speA//gatD//ppiA//ompX//fadL//gpmA//yhiD//fdnH//hfq//eda//csgG//metA//nanA//preA//fbaA//fur//entC//hyfR//pta//murP//agaA//tdcC//gapA//argE//yqjA//bglG//ssuD//yhhY//gcvP//prs//ccmC//sucC//mgrB//prpE//crr//tnaC//hemL//nhaR//rbsK//bdcA//bioA//oppA//hyfH//marA//phoH//alkA//cynR//xdhB//aspA//cysA//pnp//glpE//mntH//ileU//dcuC//creC//ilvC//ykgR//treB//cusC//betI//fecB//malX//dcuC//rdoA//rof//ispE//rbsB//ykgM//araH//nusA//argR//tdcF//purA//hybG//hyfH//motA//ybfN//tnaB//fucR//ubiX//lsrD//casC//gntP//dcuR//gadC//infC//rrlH//ydeJ//alaV//pstB//argD//uvrA//ilvX//ebgA//allC//entB//chbA//ilvM//artJ//pitB//metR//thrV//phoH//rrlD//sucC//udp//
GlcC-Acetate	manA//prfA//nagA//aroH//ynfK//hybB//fur//
GlcC-Glycolate	rutF//uxuA//phnM//ppiA//hydN//chbC//csgC//
GlrR-Pasp56	edd//
IclR-pyruvate	metY//livJ//nuoC//cysJ//
IdnR-5-ketogluconate	cynT//cysN//hflC//abgA//acrB//casB//amtB//ada//
IdnR-Idonate	sufC//bamE//oxc//ydeM//glpC//narX//ilvM//hycH//
IlvY-2-acetolactate	manX//fiu//
IlvY-Alfa-acetohydroxybutirate	ycjX//moeA//
IscR-[2Fe-2S]1+	rrsH//rrlE//codB//trmD//azuC//cysD//fhlA//purK//phoB//ccmE//preT//ydeO//fhuF//xdhC//lysP//hfq//hybB//betB//fimG//trpE//gltF//fadA//ubiC//uidC//gntK//stpA//spy//citX//gspG//map//ydhV//fnr//narG//gutQ//uhpB//osmC//cheR//miaA//malY//ilvG_1//yjcH//
LldR-L-lactate	acrF//garK//serA//
Lrp-Leucine	rimP//purH//mutY//baeR//atoD//hyfH//pitB//ynfH//prpE//nagA//gabT//artI//modC//hflX//zraP//norR//nanC//garR//rmf//cydD//moeA//pdeF//yhhY//recF//hdeD//hisM//xseA//puuP//casE//gdhA//dcuS//xylG//ilvH//iscR//pdeF//mdtC//murP//lacY//fucO//purD//tsgA//sufC//yiaL//hycC//mutY//gcd//tpx//speC//spf//mutY//evgA//csiD//pitA//dnaE//uraA//ynfH//uidB//bioF//ompT//purK//prpD//ilvX//ydeO//hmp//fumA//acrB//trpD//modB//nlpD//narX//hdeA//ackA//xylB//ahpF//rplV//sgbU//yegH//argE//rutG//rbfA//lacZ//gatB//entF//aldA//fixX//malK//glpA//csiD//manY//araB//argF//metK//citG//adhE//qseC//tdcB//galK//hyaF//purN//malQ//rrsB//ydeO//ubiG//nfuA//cheA//fepA//
LsrR	focA//rutG//phnJ//cysN//uidC//ulaD//hycB//stpA//glpT//
MalT-ADP-Maltotriose	focB//napF//rplS//phnE_2//psd//ygiB//mhpT//alaU//nrfF//cueO//
MalT-Maltotriose-ATP	puuC//rrlA//lysP//uidA//rpsP//sdaA//modA//argC//glpC//dnaA//
MelR-Melibiose	dsdC//fhuF//ydhX//
MetJ-S-adenosylmethionine	ydfN//sgbE//hybA//hofN//osmY//mtlD//alaA//hyfI//tauB//amn//cheW//caiD//gpmA//feoB//garP//
MetR-L-homocysteine	cadC//nfuA//hfq//cusA//metK//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]	rprA//allC//hemL//baeS//moeA//gltF//
MhpR-3HPP	upp//fimI//cysM//cysH//envY//aceF//
MntR-Cd2+	xdhB//yjjZ//ychO//rcnB//dmsC//
ModE-MoO42-	nrfA//bcsZ//ada//udp//fis//guaB//lsrA//paaZ//napG//zinT//gcvP//oppC//ogt//fimH//srlD//fadB//cysD//gltB//guaA//fhuE//malT//amn//dcuR//tnaB//ampE//hypF//phoH//pta//preT//dcuD//cynS//hycC//citD//rrsB//nrfA//rnlA//ydeJ//paaZ//phoP//alkA//cysA//malF//sufA//rseC//fucR//znuB//
NarL-Phosphorylated	tktB//nrfG//glcD//feoC//nirD//rnlA//trpA//fadA//fliZ//idnO//rybA//purF//nuoB//nuoG//ccmF//hyfJ//emrY//psiE//glnA//nuoH//manA//efeU_1//sodA//pgaA//ycjF//mhpR//purN//gcvT//yaiA//rplW//tdcC//malZ//hyaF//phoU//nuoE//amiB//argA//appY//cydA//fadI//rutC//sucA//nrfE//malT//paaK//aroM//hycB//cadC//mhpR//gspE//ykgR//ompA//rprA//arcA//citE//lsrG//ygbA//rcnA//lacI//yeiL//udp//uhpT//fadJ//sufB//glpG//ilvM//livK//manA//ilvD//ndh//puuE//uhpA//zwf//sucB//ygiA//trpB//cytR//hypB//degP//phnK//patZ//cyaR//appB//napB//amn//mglC//lsrK//casD//citD//aaeX//gabT//cstA//deoA//uhpB//bcsA//ydeP//rnpB//metH//rplM//recF//livH//ileU//rplI//nikD//nanM//livG//rprA//preA//garK//murP//entA//pepT//rrlE//oppC//rnhB//ompX//caiC//fadA//pheS//yiaJ//tauD//ilvH//rutB//hha//ihfA//
NarP-Phosphorylated	exuT//ccmE//nagA//appC//mglA//nuoK//purF//fadD//purA//hypF//entH//chbF//ampD//csiE//casB//alaT//pheM//umpH//modC//tomB//fixX//envZ//fadH//hcr//gltB//mtlA//hybD//serA//fldA//lldR//csgC//lldR//pdeF//phnK//rnlA//acnA//gspJ//nuoI//mdtA//codA//dmsD//aceA//trpC//phoH//galT//ygiA//marR//tsx//hyaE//hydN//
NhaR-Na+	rrlB//thrV//yjeV//fbaA//motA//iscR//phnN//
NikR-Cd2+	gpmA//nrdB//yfdE//pagP//citX//iscR//
NikR-Co2+	cvpA//aaeR//ugpB//icd//aceA//phnL//
NikR-Cu2+	paaZ//cra//mzrA//ubiC//yjeV//ynfH//
NikR-Ni2+	cusB//phoQ//fhuE//dsdX//aaeR//hisM//
NikR-Zn2+	dsbA//thrS//glrR//bioA//nikA//trpR//
NrdR-ATP	lamB//hisJ//erpA//nrdI//nuoM//hflX//emrY//proP//fdnG//
NrdR-Zn2+	araB//xapB//gltF//umpH//betA//rstA//gltV//nagB//lsrK//
NrdR-dATP	nuoF//nanM//speB//modB//rnhB//hisQ//entD//casB//pyrD//
NsrR-[2Fe-2S]reduced	dcuA//yqaE//ydfN//mdtD//ubiC//csgA//ydeM//lldP//hofP//hmp//speC//pgaB//cysC//zinT//srlE//fecD//glgB//codB//hisQ//rplT//melB//mltC//rrfG//dctA//rseA//ydhU//hypA//leuE//bioC//hybO//yegR//narJ//yeaD//gcvT//yiaK//hemL//hycH//mcaS//ssuE//baeR//glcG//hyaB//moeB//dapD//ydhW//modC//betI//ccmG//rrlD//gnd//rrlA//norV//torA//pck//sdhB//yhcH//rrlE//mhpD//kbl//nhaA//yqjA//yiaJ//ydhY//napG//tsx//rhaD//tfaQ//hycF//ascF//gltB//dsdA//sbmC//fadI//
PhoB-Phosphorylated	entF//glpK//hybE//lpxD//ybdN//fhuD//ycjX//marA//cpxA//glpT//hybO//fucI//cvpA//uxaB//deoC//mdtD//csiE//mtlA//entA//hmp//guaB//nirD//fadH//hflD//cydD//mdtC//dapD//ydhW//fdnI//dpiB//hybA//fhuB//yedX//evgS//alkA//motB//sufD//fepD//nuoK//ulaA//sdhA//rbfA//zraR//purC//ilvX//phnC//mdtA//ydeN//hisM//hisQ//truB//prpE//tdcB//bglB//sgbE//tyrB//nanE//mhpT//ynfK//preT//csgE//
PhoP-Phosphorylated	zraR//metR//talA//gapA//yfaE//hha//ycjX//mutY//gspG//allD//narL//efeU_2//fadH//sucA//nuoB//fadB//ccmH//yjcH//xapA//slyB//yecR//glpK//yecR//tomB//gltF//idnK//atoA//agaA//aidB//tadA//hyfJ//rpsC//phnE_1//hflX//entB//nrdB//flhD//pdhR//rplB//ilvH//tar//fimA//chbG//nrdG//tonB//metC//mhpF//xseA//ilvA//bamE//fumA//bioF//qseB//fabZ//trmD//grxD//zraR//
PrpR-2-methylcitrate	gdhA//cheW//phoE//pitB//yeaE//
PurR-Guanine	gnd//rrfG//cvpA//araH//rhaA//ynfE//creD//trpC//fnrS//metL//gltV//aldB//livK//polA//aroP//fliZ//tnaA//hcp//ydhV//lsrF//cysD//glgS//dmsB//pdhR//hycD//cysG//narL//folA//rybB//nagB//ompR//ccmF//cstA//fecR//
PurR-Hypoxanthine	dmsB//puuC//iclR//lsrA//gntU//rbsC//nuoK//betA//bglF//artJ//cadC//glnB//hcp//dppC//gatY//nrdB//sbcC//fumB//slyB//deoC//idnT//fhuF//astB//mntP//adiC//ybiT//ulaA//nrdF//mhpF//secB//oppD//phoP//rutD//cydB//
QseB-Phosphorylated	infB//tdh//fhuC//norR//
RhaR-L-rhamnose	narG//yjeF//
RhaS-L-rhamnose	tdcB//sbcC//feoC//cusF//fucI//marR//
RstA-Phosphorylated	hflK//ftnA//adhE//envZ//prs//rrfA//phnP//yrbL//eda//ybdN//
SoxR-[2Fe-2S]3+ oxydized	xylG//fadD//melA//cysC//
TorR-Phosphorylated	yfdX//fliA//ulaC//lsrK//allE//csgD//ompA//qseC//malI//ugpA//
TrpR-Tryptophan	trpL//fimE//hydN//gatC//lldD//tdcE//hycF//fucI//mhpD//dcuA//purE//torA//
TyrR-L-tryptophan	amtB//caiE//rrlA//ompX//hcr//aroA//yrbL//uxaC//xylB//tehA//nanK//metR//dctA//qseC//
TyrR-Phenylalanine	betA//uxuA//fixB//glcA//phoP//hybA//mscM//pgaC//lpd//glpK//sxy//phnM//yqjH//hofM//
TyrR-Tyrosine	ydhV//feoB//dsdX//yfdV//efeU_1//motB//mutY//ynfK//purF//nikB//ygiA//paaZ//ygiA//gabP//
UhpA-Phosphorylated	yiaM//
XapR-xanthosine	ccmG//rplS//
XylR-Xylose	rmf//bcsZ//oxyR//aroG//dsbA//ftnB//
ZntR-Cd2+	cpxA//
ZntR-Hg	lldP//
ZntR-Zn2+	glnK//
ZraR-Phosphorylated	garL//cysB//hofM//
Zur-Zn2+	rplV//pta//ldtB//purE//napF//paaI//
