#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	yqaE//serA//uxuR//rrsC//
ChbR-Monoacetylchitobiose-6P	rpoE//fucI//gspC//nagC//mzrA//katG//
CpxR-Phosphorylated	creB//trpB//narQ//deoD//phnP//ubiA//purC//pyrD//atoD//trpC//gcvH//rpsJ//serA//ccmB//ilvL//ompC//glnA//fimI//yeaR//nikD//argR//cynR//fecA//zraP//alaT//betT//creD//flhC//nrfE//rimP//ilvC//artP//prs//ubiA//adiC//citC//bioF//metN//hybO//sdhD//lpxB//rplP//xdhB//citD//tktB//tpx//nrdD//edd//araB//ybiT//fadH//ssuB//rhaA//garR//pstA//ilvN//yeiW//bioC//pgpC//rplI//melB//norR//hfq//nanS//borD//mtlR//gatZ//ung//puuP//
CreB-Phosphorylated	fdhF//trmD//gspM//mtlD//caiA//marA//gspK//fabZ//nrfG//
CueR-Ag	sdhA//purB//aspA//rhaD//norR//metB//hofO//
CueR-Cu+	fimG//ynfG//nuoC//dctA//pdhR//gspD//tsgA//
CuerR-Au	crp//puuA//mhpD//rpsC//mdh//nrfB//yfaE//
CusR-Pasp	rbsC//lysO//folA//livF//nuoC//rseC//mutL//uvrA//yqjA//rpsQ//nagE//malY//
CynR-Cyanate	cyaR//fecI//tauC//phoE//
CysB-N-acetyl-L-serine	lldR//gspI//nlpE//galM//ilvD//trmD//sxy//hyfG//tyrP//purM//casE//puuP//entF//phoU//malE//melB//pstC//ahpF//gatD//cyoD//xylF//rplM//hfq//nhaA//moaA//ynfH//yidQ//tonB//idnK//trpE//
CysB-O-acetyl-L-serine	acrA//fumB//tam//hycE//lyxK//aaeR//fabZ//nagB//nuoK//rpoE//hfq//cueO//motA//yjeF//ompC//oppC//rplP//lpxA//xdhC//purA//patZ//ftnA//phnC//lsrF//cadB//glcC//sbcD//malY//tauC//hcr//tap//
DcuR-Phosphorylated	nusA//alaS//modB//ssuE//tauD//nuoB//rcnA//sdhA//metY//
DnaA-ATP	paaH//talA//rutF//fimG//fepG//puuP//galM//gltV//ubiC//paaF//tonB//mutL//
DpiA-Pasp	artP//mhpA//yjeV//yeaR//trpC//yfdV//rrsD//rybA//trpD//ynfF//mgrR//
DsdC-D-serine	hupA//tnaC//ydeN//
EvgA-Phosphorylated	mhpD//nanE//gadB//znuA//argB//arcA//aroM//treB//ptsI//lsrG//ilvG_1//appB//gnd//rbsC//araE//
FNR-[4Fe-4S]2+ reduced	yaeQ//glpR//ssb//metR//chbR//yhjA//uidB//ackA//ilvB//lamB//cydC//fepE//livM//argC//nusA//fimF//dctA//rpsJ//agaW//bioA//cspE//nadC//entS//rnhB//ydiU//raiA//rrlG//cysM//astE//gatD//mcaS//murP//sufE//raiA//ilvM//gspF//uhpA//fes//hycF//glpK//rrsE//zraS//napB//hofP//ssuA//ccmD//rrsE//gspL//cyaR//ytfE//rpsR//rcnB//ampD//gspD//gltF//gadC//trpE//moaD//adhE//pstB//sdaA//aroG//atoA//ynfG//dmsD//lsrC//yqaE//hybA//hha//phnN//nrdB//tdcF//lpd//csgC//pgpC//hydN//ampE//ydbD//tolC//ada//oppB//avtA//moeA//hybD//nrdG//nuoA//hyaB//rrfC//mgtA//yeiW//ilvG_1//phoU//iraD//livJ//psiF//aspA//nagA//mdh//csiD//aroA//ccmF//argB//ygaC//phnE_2//lolB//norR//rcnB//paaK//yiaL//hdeA//sroD//ilvG_2//hyaC//gltV//cysD//gntU//srlR//tsx//araG//ccmD//gdhA//tar//ulaF//rnlA//micF//sucA//gntR//atoE//csgF//bioB//puuD//ysgA//ccmA//appY//cydA//evgS//nrdA//fau//phnG//puuP//ssuA//glcE//ssuD//ydhX//bamE//emrY//rrfE//ydhV//rpsI//cadB//aroM//paaH//ygeA//rbsD//ascB//ybiT//rbsA//appC//argT//yibN//yiaL//cusS//nuoH//fhuD//pnp//uidB//malQ//pyrC//puuB//amtB//gatA//cyoC//yfdX//upp//pheM//ybfN//uxaC//atoA//bamE//alaT//sbmA//nfuA//secB//hflD//yeaD//tsr//phnI//phoP//gpsA//casE//ydhT//allD//feaR//napA//malS//dnaN//treB//ampE//gatB//melA//cysJ//nikB//sgbU//rrfA//fecA//uxaC//yiaN//rplS//oxyR//livG//yneM//rhaT//rbfA//astA//cydB//hisJ//ilvC//pflB//gnd//pgaB//rpsQ//glnG//lyxK//hycG//lsrA//murQ//phoU//metK//pyrD//ydfH//phnN//grpE//acnA//fecD//metE//aaeX//cysA//tnaB//rbsK//paaB//dcuS//pgaB//allC//glgC//dsbA//pagP//yfdX//waaH//atoE//cysA//folA//paaJ//ilvI//paaK//glgX//phnJ//ampD//ampD//aceK//alaU//cueO//malM//cueO//prpD//csgD//sgbH//nrdH//rrsH//yegH//nirB//sodB//fucR//ilvH//rhaA//gabD//nuoN//ygbA//tdcG//glnL//yegZ//spf//rpsP//artJ//yegR//cadA//tsx//entF//paaH//emrY//pagP//cynX//moaD//gspD//tdcE//cas1//trpE//mscM//ebgC//dppB//dps//ryhB//nrdA//gutM//fimH//gatB//
FhlA-Formate	cvpA//yiaL//tnaC//nupC//mdh//rbsD//napG//gdhA//ndh//rutD//gltW//rpsF//ybiT//yiaN//dapD//frdC//rrfH//sufC//xylH//srlE//bamE//patZ//glpQ//cyoE//rrsH//paaK//rplP//gltD//mglA//torA//
FucR-L-fuculose-1-phosphate	bioB//mutL//flhC//ydiU//yaiW//exbB//rrsB//
Fur-Fe2+	cydC//yoaC//rplC//ychH//rplS//ydfH//bioC//ampD//yqjA//sufE//ansB//argR//yqjI//pflB//gdhA//ahpF//argA//pck//artM//actP//hofP//yeiL//phnC//gspF//rplI//ampD//prpD//ychH//rplI//fimH//lsrF//phnD//bdcA//frdC//metE//dnaA//fucR//betI//feoC//srlD//nac//serC//rrlD//fnrS//pflB//frdA//iscS//yojI//mhpF//livG//hlyE//proP//fnr//pagP//malT//ydeO//mhpD//lacZ//sufD//uxaC//ubiG//gspJ//creA//bioC//ybfN//fucP//cheB//icd//tyrB//hyaD//fecC//dmsB//dppA//rplB//lsrF//infC//dppA//yfaE//bdcA//ugpB//cas2//aroP//rpsP//idnR//yiaN//hfq//tdcG//murQ//yaeQ//rnhB//cyaR//ygiB//rhaD//waaH//purR//hupA//mlc//tar//casA//nuoC//ptsI//grcA//hemL//aldA//cusA//yfdX//lolB//gabD//ccmE//prpR//napH//cysA//hybO//nrdG//ldtB//modB//yggX//bcsB//garK//hdeB//ryhB//ulaF//srlD//yccA//yfaE//glcC//lacZ//lyxK//malZ//acrF//mntS//phnJ//ccmH//ugpQ//phnM//cheR//creB//cyoE//prpR//malI//
Fur-Mn2+	argR//mlc//raiA//rnhB//glpB//rrfH//hyfR//creB//fldA//gatB//sufS//glgC//tap//aaeA//metF//galP//ykgO//lrp//fucA//yhiD//rrlC//tsr//fadB//bglG//rbsR//nikA//fucK//ynfF//phoP//livH//casA//trpD//ubiG//rpsF//allC//fdhF//pdhR//hybG//phoP//fhuF//csgD//soxR//skp//araF//puuA//ilvD//rplD//purD//rplM//galT//mdtC//moeA//rnpB//yfdV//aaeA//cueO//tehB//paaB//appB//manA//argO//hypE//livM//preT//lsrB//paaZ//metQ//murQ//mepH//feoC//rbsR//micF//ulaA//yqjH//ppdD//argF//rutG//yiaK//paaF//fixC//ilvE//ilvC//fhuA//tap//sroD//caiF//nikB//codB//ygbA//paaG//hyfI//uxaA//ynfF//adiC//sdhA//yaiW//argI//xdhA//marR//phoE//fimH//garL//tonB//glrR//argF//ccmB//iclR//fnr//fhuD//preT//gpmA//puuR//ryhB//cheW//treR//dcuC//gpmA//ugpE//phoR//paaA//dppD//hypA//rplP//phoH//metI//mhpF//paaA//paaH//glnG//puuR//oppD//ompW//psiE//ygeA//yibN//evgS//napF//frdB//cysK//argR//
GlcC-Acetate	pdhR//fadH//hfq//rrfD//trpC//idnO//nanK//
GlcC-Glycolate	fepB//pgaA//hemL//crr//tyrB//trpR//treR//
GlrR-Pasp56	deoA//
IclR-pyruvate	gutQ//rrfC//hycI//agp//
IdnR-5-ketogluconate	mhpD//araE//nuoJ//yiaN//fadE//yiaL//lsrG//yneM//
IdnR-Idonate	fepE//astE//yegZ//fnr//puuB//fbaA//pgaB//galP//
IlvY-2-acetolactate	rrfG//fumC//
IlvY-Alfa-acetohydroxybutirate	frdB//malI//
IscR-[2Fe-2S]1+	moaC//rrfD//hlyE//sbcD//sdaA//tsr//ispE//acrB//nirC//fhuA//ptsH//fucO//nanS//paaD//ccmH//dkgB//dgcZ//stpA//sbmC//glpB//narH//prs//hofO//hycF//ychO//dsdC//malP//trpE//hycE//tauC//oppC//rrfA//katG//ndh//ileU//nrfC//crr//dmsB//flhC//nikA//chbF//
LldR-L-lactate	rrlD//fucK//ychH//
Lrp-Leucine	csgA//lsrA//araA//caiD//fhuE//narH//umpH//mutY//exuT//cheA//pstC//phnM//phnM//ygeH//garP//cheA//erpA//artJ//mipA//cyoE//narJ//priB//tsaE//gpsA//glpA//truB//gspE//sdhB//ssuA//mepH//betI//csgC//prfA//tsx//ydeM//upp//argG//tehB//mgtL//aldB//alkB//glnB//malS//glcF//ugpQ//ebgC//sohB//rplB//hyfG//torC//ybfN//nirC//xylR//agp//prpE//cstA//nuoC//gatB//rybB//mhpD//umpH//cysM//sufB//phnJ//phnL//nfuA//ynfE//uidB//glpD//alaT//bcsZ//baeR//livJ//hisQ//chbB//dppC//nhaA//rpsS//nuoG//cusF//rbsK//aspC//treR//chbC//ccmE//lsrF//hycH//dppD//znuA//dctA//nrfB//ebgA//puuC//napG//caiT//yqaE//metN//ygeH//ulaF//cysK//aroF//gntR//ppiA//metA//uxuB//chiP//
LsrR	nrfE//torC//ulaC//oppB//nagC//ycjF//xdhA//guaA//skp//
MalT-ADP-Maltotriose	ybdN//fldA//araF//mpl//rrfE//glgC//paaD//glpD//lhgO//hycB//
MalT-Maltotriose-ATP	alaA//ubiC//xylB//tar//kbaZ//yjcH//aaeA//livJ//gutM//malK//
MelR-Melibiose	livJ//nagA//tonB//
MetJ-S-adenosylmethionine	cadB//atoE//moaE//glgS//carA//sucD//nagE//ydhX//oppA//tyrP//fnrS//cydC//treB//grxD//cynS//
MetR-L-homocysteine	yneM//sgbU//caiT//dcuS//purA//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]	argE//efeU_1//rybB//rmf//fau//yaeQ//
MhpR-3HPP	envZ//dppA//moaE//fimH//cyaR//preA//
MntR-Cd2+	zraP//stpA//sufA//cysD//srlB//
ModE-MoO42-	yfdX//spy//gntR//casB//gpsA//fepG//rbfA//grxC//zraR//chbA//cyoB//hypD//hyaC//aceF//sgbH//ilvN//pck//gabT//aaeX//rrfH//acrD//argA//osmC//torA//appY//dadX//ssuA//gcd//guaA//ryhB//citX//ygiA//gatA//asr//rrfD//uhpT//csgA//rybA//pstC//uidB//yhiD//gntX//ampE//yhfA//ycdZ//iraM//
NarL-Phosphorylated	rof//lldP//csgC//ilvM//dnaA//yeaR//manX//cueO//malE//araA//rplP//argB//adhE//phnD//aidB//abgB//gspK//metI//casC//trpR//manY//fepG//bioD//dsbA//nagC//qseC//ccmH//ahpC//caiA//nanK//phnD//map//dcuR//cysN//phnH//phnP//rnlB//gltU//serA//cydA//ilvN//manZ//lacY//mzrA//glcE//tomB//fes//ydeM//sodB//marR//fumB//emrY//tyrB//asr//rstA//rbsK//cpxR//gntP//fimC//fucO//actP//lldP//treC//codA//astB//grcA//gspH//hdeB//rstA//gcvT//malT//galS//yiaJ//fau//purM//rrlD//trg//hofC//gspO//torR//exuT//napG//ugpA//fdnG//deoA//uvrA//mdtA//napG//dppD//hyaD//rbsK//mutY//prpB//acnB//ycjX//purE//nuoL//gyrA//yhfA//hofM//evgS//tsx//gltD//glpF//citX//rpsI//treB//gspD//fur//nrfC//xylH//ilvD//cdd//ccmE//narI//qseB//gspJ//udp//hfq//idnR//cra//narQ//cyoA//ptsG//prpC//
NarP-Phosphorylated	tolC//melB//hybG//phoU//astB//hyfC//hyfA//gspF//adiC//fimG//moaD//dgcZ//uxaB//ompX//modA//sufC//sbcD//gspD//uxuB//livJ//aer//arcZ//kbaZ//waaH//spy//fau//dppA//gltB//fadE//nrfF//lsrG//purB//paaD//mtlD//ascF//cusF//dcuD//ydhU//narJ//cusR//hybC//ispE//miaA//fnrS//gcd//rrfE//rrlB//sufE//rybB//ppdD//
NhaR-Na+	glpB//raiA//agaA//fumC//cusS//rpoE//ykgO//
NikR-Cd2+	rrlH//spf//gntX//ilvG_2//malM//agaV//
NikR-Co2+	garL//narG//exbB//tdcC//ackA//ygaC//
NikR-Cu2+	rrfA//dmsD//priB//spf//gatD//artI//
NikR-Ni2+	hybG//rhaA//nuoL//pheM//dmsC//purA//
NikR-Zn2+	lysC//xylR//gspM//dcuA//gatA//gntP//
NrdR-ATP	malQ//ykgM//malK//sbmA//rstB//sodA//hofP//preT//modC//
NrdR-Zn2+	lysU//gnd//tauA//tyrP//aaeB//cheB//comR//gltA//csgF//
NrdR-dATP	fimC//pagP//ccmB//rrsB//glcB//fabZ//gatZ//nlpD//rrfE//
NsrR-[2Fe-2S]reduced	tdcA//entE//ydeA//ilvN//metY//atoE//lysO//tsaE//deoB//nirB//hybA//thrS//preT//cyoB//nirB//cynS//hflD//hflK//serA//cysU//deoA//cydC//cdd//ydeM//rnpB//flhC//cirA//hybB//bioC//ivbL//osmY//hybC//tehA//pdeF//fecB//dps//pncB//hemL//lpxD//rhaR//crr//rseB//rseC//gabT//mtlD//crp//chbF//ldtB//hpt//argO//gadB//narK//nrdH//ilvB//tauB//glcF//gltA//tauB//tauC//grxC//spf//fucP//thrV//ssrS//rbsK//rpsC//nagE//grpE//phoR//nikA//torA//fliA//ihfA//
PhoB-Phosphorylated	glpF//aroP//hybG//tnaB//mgrR//abgT//paaZ//cytR//cheY//hcr//fecR//metJ//tauD//cbl//nuoI//cysM//phnE_1//nirB//pagP//cysC//purN//malZ//fdhF//nagE//purL//gadC//malS//sdhB//cysW//napH//metR//argO//glgX//cpxA//csgG//narG//nanA//gspH//aroH//zinT//caiA//glpK//gatZ//grxD//rnlB//sbmC//sxy//aldA//sdhD//malE//waaH//yeaE//uhpT//mhpA//rhaD//ogt//mdtA//nrdH//metQ//metK//tdcD//
PhoP-Phosphorylated	dapD//ydiU//malM//ilvL//nuoB//puuR//hflK//cysM//feoB//argT//fhuD//ldtB//trpC//soxS//rrlB//rplP//yqjA//sucD//phnM//yjiY//nagA//psiF//hycE//bcsA//arcZ//paaC//cysP//rpoE//mhpB//comR//narI//dppC//caiD//nupG//frdB//yaiA//xylB//rpoH//hpt//artJ//astB//cysB//araG//osmC//tdcG//fecI//ptsH//rstA//deoA//mgtA//chbG//caiE//rpsO//cynX//phoP//rrsC//ykgR//
PrpR-2-methylcitrate	argE//hslJ//hlyE//ebgA//rpoH//
PurR-Guanine	cynX//bamE//hyfB//nuoC//dcuS//arfB//galE//rplV//yhiD//grxD//dmsA//actP//nrdG//uxaC//sbcC//creC//rrsC//priB//fadJ//miaA//hflX//atoB//crp//csgC//yiaL//grcA//lhgO//cysK//lacA//idnK//dmsD//fnr//hypE//tnaC//
PurR-Hypoxanthine	atoB//glgX//araE//yjeF//mdtB//phoQ//gltA//baeS//caiT//evgA//gntX//entC//gspO//rpoE//aspC//acnA//malI//citX//ada//pstC//ampE//garR//trpC//hflC//oppA//aceE//idnO//nohA//dcuR//prpB//amn//ubiG//pgaA//thrV//
QseB-Phosphorylated	pheT//yhcH//ulaC//yiaM//
RhaR-L-rhamnose	creC//tdcG//
RhaS-L-rhamnose	xylB//fes//cynT//caiC//mglC//yhjA//
RstA-Phosphorylated	entA//hyfB//dadX//sohB//mpl//rpmI//abgT//lacZ//hycC//hisM//
SoxR-[2Fe-2S]3+ oxydized	feaR//metE//fepB//trpB//
TorR-Phosphorylated	edd//ulaD//prpR//sdhC//icd//sucC//aaeA//ydhX//nuoK//hycA//
TrpR-Tryptophan	rhaR//sdhC//slyB//fixA//ybjG//casC//sufS//yegZ//ilvG_2//aceK//tdcF//entB//
TyrR-L-tryptophan	pyrC//mglB//aroA//ebgA//csiE//fecB//tehA//fimH//dppA//rrlC//norR//cysA//phnG//xylB//
TyrR-Phenylalanine	sbmA//torC//rrlH//fucP//ydhV//gltT//bglF//nrdG//hycB//glpT//hyaE//sufS//ydhT//cheA//
TyrR-Tyrosine	yjjZ//csgG//cyoC//hyaB//rbsA//hflX//hypC//argE//fhuF//livK//glgX//rplS//atoD//hofN//
UhpA-Phosphorylated	napC//
XapR-xanthosine	ilvG_2//fdnI//
XylR-Xylose	malP//rutF//icd//cysJ//rbsR//nrfE//
ZntR-Cd2+	rpmI//
ZntR-Hg	cyaA//
ZntR-Zn2+	gspL//
ZraR-Phosphorylated	cysB//metN//cas2//
Zur-Zn2+	abgA//nuoE//hyaE//csgC//secB//rrsB//
