#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	garL//livJ//metE//paaA//
CpxR-Phosphorylated	trpB//rybA//xdhA//gspC//ydhT//gnd//trpB//mtr//cra//sbmC//rutC//rrlD//grxC//gcd//narI//phnK//ilvG_2//cydB//hyfI//nhaR//hdeD//patZ//hybF//agaV//hisP//metR//ysgA//copA//rpoE//rrsD//glmY//pstC//nagE//oppA//aroM//glgS//yiaJ//fimF//nrfC//rplS//aceA//lsrB//hisP//ybfN//rrfF//ynfK//lldP//pitB//kbl//cdd//ydhT//paaC//argA//mhpB//fadD//oppC//trpB//mhpF//prmC//cusR//sucC//mhpT//gutM//metR//livG//preT//zraP//nanE//grpE//
CreB-Phosphorylated	norV//lpxA//rybA//ydbD//mtlD//gntU//trpE//nuoI//guaB//
CueR-Ag	rpsQ//sxy//oppA//malK//ilvL//aceE//yiaM//
CueR-Cu+	appC//fhuC//citD//znuA//rrfG//exuT//hlyE//
CuerR-Au	rutG//lolB//rplW//acrA//rcnA//napD//rpsO//
CusR-Pasp	lolB//dsbA//gspH//pyrC//metF//mhpC//caiF//yhhY//uxaA//nanS//modB//mtlA//
CynR-Cyanate	metR//gltD//hycH//dpiB//
CysB-N-acetyl-L-serine	sodB//ahpC//argG//tnaB//appY//rseB//paaE//ftnA//uhpA//astA//betT//focA//pstA//umpH//uxaC//waaH//sufS//manX//rpsQ//tfaQ//hypB//rmf//purF//hycF//degP//tam//yccA//nirB//aroA//nirC//
CysB-O-acetyl-L-serine	ydbD//malS//crr//artI//glpE//phnM//uhpC//mgtA//tyrP//gltA//rbsR//rbsD//nrdD//fucI//fumA//gspI//slt//bglB//waaH//entB//cirA//fixX//lacY//bcsA//nrdB//creD//murP//slyB//napB//arfB//metI//
DcuR-Phosphorylated	dadX//phnM//hybO//ykgM//nirC//katG//trxA//bglF//yjjZ//
DnaA-ATP	metQ//qseC//dkgB//yidQ//yiaK//glcA//rplS//argE//feoA//sucC//appA//mgrR//
DpiA-Pasp	caiA//cyoD//ilvI//ryhB//tfaQ//ssb//gntP//nac//gspD//fadA//ebgC//
DsdC-D-serine	ompA//manY//creA//
EvgA-Phosphorylated	purE//eda//rhaS//rpsC//uidB//codA//glpF//glyA//oppA//gspJ//ydhU//ascF//ilvD//glpC//glpD//
FNR-[4Fe-4S]2+ reduced	rhaA//hofM//phoB//fhuE//fepB//hycB//csgC//glgP//lsrF//ompR//nrdH//hemA//ccmH//amn//uxuR//ulaC//moeB//argG//tdcC//galS//cysJ//fes//ilvA//glpK//soxS//bacA//acnB//narH//pstB//nikR//araH//hofP//rrlC//hupA//srlD//prs//uhpC//xylH//pstC//ulaB//cirA//yhjC//amtB//caiE//phnE_2//cysA//nrfA//mtr//marR//hyfC//metL//yneM//rpsC//tsr//deoD//preA//iraD//lyxK//gatY//creC//purD//yccA//fadE//nuoJ//glcF//tauC//hha//argE//ilvA//zntA//tdcB//emrY//epd//guaB//mhpF//cpdB//mglA//appB//fepD//cheY//acnB//zraS//mpl//dmsB//frdC//abgT//lsrK//rpsQ//comR//metF//xapB//degP//hyaD//pheT//iclR//xdhB//srlE//tnaC//phoA//safA//araB//cysU//degP//idnK//yiaN//entH//lysC//envY//creC//metN//fucI//tomB//codB//nanT//rbsC//idnR//napA//ugpB//hypB//gatC//gltU//yiaM//treR//lsrA//ulaE//tomB//trpR//phoQ//udp//ykgR//acrE//idnK//glpF//adiC//metJ//norW//fbaA//mhpC//aceB//tyrR//cueO//ybfN//gspC//hyfR//ftnB//ubiA//pta//entF//cheW//cysW//hofM//sdhA//skp//phnK//rhaR//entB//cdd//cyoC//hisM//dmsA//cheB//yojI//nagE//lysO//mglA//cpxR//mipA//ulaF//lyxK//ubiC//purB//ytfE//cysD//yhcH//nuoE//tktB//mhpC//csgC//glcD//hycC//nirD//tdcC//rpsR//aroL//mntH//yciW//rprA//ptsI//glnK//fepA//yfbR//lolB//ilvC//purD//lpd//cspE//prfA//prpC//malK//napH//aer//tehB//gspM//pnp//ebgA//rpsP//frc//sbmA//yfdE//grcA//xylA//paaF//ssrS//malT//moeA//nagE//chbA//rrfB//fadD//dcuB//ychO//paaJ//fimG//malF//idnO//xdhA//gpmA//waaH//upp//bcsB//paaH//gabP//fixC//xdhB//fepE//gltF//dppF//ybiT//argA//argC//fimG//hyfI//nanA//yjiY//waaH//nuoK//rpoS//tdcB//nuoN//mepH//carB//araH//ldtB//cadB//ykgM//yegR//crr//fbaA//gabP//rplW//ftnB//ynfK//trpB//nadC//cysM//trmD//iraM//fumB//gspC//nanT//fucA//preA//acnB//trpD//iraM//ccmF//yrbL//rplI//fadA//casA//fepB//alaU//tauC//glyA//ahpF//cadC//nmpC//dps//cyoB//glcA//agaV//phnE_2//cydC//hisP//glcA//rbsB//gspJ//dgcZ//aceA//cynT//ascB//fumA//glnK//cynX//pncB//
FhlA-Formate	entS//oppA//sodB//purM//hyfD//exbD//tauB//caiC//rplS//rimM//ugpE//cysB//marB//fimD//malG//rrfB//hflD//xdhC//malI//cysD//infC//ydbD//argP//aroM//yaiA//ydhX//glnL//glgP//aspA//fucU//
FucR-L-fuculose-1-phosphate	gcvP//fecC//gcvP//dcuA//lysA//lsrA//arfB//
Fur-Fe2+	mtlD//evgA//gcvH//yaiW//cydD//dppB//deoA//metK//hyaE//cusR//yqjI//araE//nrfC//lsrF//speC//grxD//tdcC//carB//mdtA//cysG//fimH//prpB//srlE//rplS//cynT//garR//phoR//gatZ//fecR//ilvY//envZ//fadJ//dppC//appC//lacA//casB//mglA//rrfB//paaG//gltD//appY//cyaR//artP//tnaA//cydC//fhuF//prfA//map//paaJ//ydfN//bglF//glcD//cueO//mutY//cysW//sufD//lsrK//xylA//oppD//dadA//rrlA//asr//soxS//dsdC//prpE//fur//glcE//araF//ahpC//yoaC//treR//rrlA//srlB//ykgM//nanC//metA//hisJ//safA//serA//cheZ//rrfH//pagP//ilvA//rutF//glcA//mntH//purD//gcd//hyfE//dgcZ//livG//gspE//nuoI//gcvT//mcaS//envY//fbaA//ygbA//nac//lsrB//hyfF//agaW//yiaN//purK//sucB//purD//ebgA//yfiP//ppdD//fdhF//metA//xapB//ydeN//argO//idnR//ygiA//fldA//psd//mntH//tsgA//norR//xapA//purA//glgX//fucR//ccmA//fucR//gutM//betB//gnd//metC//amn//cyoD//asr//csgG//fau//betI//azuC//nirB//yiaN//
Fur-Mn2+	nagE//phnL//yaiW//phnH//nagC//fumB//nrfD//glpA//cbl//iclR//astB//phnE_2//yeiW//hupA//prfA//ycjX//srlE//lldD//rrsC//caiF//fau//psiE//srlE//cyoC//ssrS//gltU//carA//tsr//csiD//caiF//malZ//codB//bdcA//ihfA//nanM//lamB//gutQ//glcA//hofO//hyfF//appY//rrlG//iscA//gntP//chbA//rrsC//puuA//araA//feoA//tadA//ydhY//hupB//cysD//ugpC//idnT//alaS//dpiA//mgrB//rimM//hemA//focA//gapA//mntS//tnaA//tauD//citX//pdeF//cysP//exbB//rbsC//tsr//araD//treC//bioA//rseC//caiA//fucA//ryhB//fdnH//cra//hyaF//dppA//emrK//fepA//mhpT//tyrB//glgX//metC//deoD//galK//rrfH//argC//astA//bglB//mtlD//rpsS//glpK//rstA//oppD//argF//metL//astB//lacA//chbA//exbB//ilvG_2//ilvA//cysC//appY//rbsC//nrdI//alkA//napA//tehA//sucB//actP//norR//rybA//evgS//hyfG//nrfA//sohB//nuoK//uhpT//rhaR//efeU_1//iscA//glpQ//exuT//malG//ybjG//gltU//mltC//talA//aaeA//ydbD//exbB//pitB//hybO//trpD//
GlcC-Acetate	tyrP//rrlA//tpx//aceK//guaB//srlB//cysI//
GlcC-Glycolate	hypB//argC//nanA//lacI//ogt//tyrB//nupG//
GlrR-Pasp56	sohB//
IclR-pyruvate	crl//rpsJ//rpmC//mglB//
IdnR-5-ketogluconate	ileT//dsbA//fadJ//argB//frc//hypC//ydfH//dnaN//
IdnR-Idonate	entD//rhaT//moeB//rstA//murP//safA//cusR//araA//
IlvY-2-acetolactate	ssuA//rhaB//
IlvY-Alfa-acetohydroxybutirate	glpE//azuC//
IscR-[2Fe-2S]1+	tauA//trmD//crp//fecB//treC//alaT//yoaG//metR//fepD//cusC//prmC//sucD//hyaF//sxy//rpmC//dmsB//artI//rpsQ//lsrB//pitB//mutL//nrdG//xseA//ogt//ydhU//gabP//pgaD//safA//ccmG//rpsO//narI//glcD//oppD//malE//rstB//yiaL//rrsA//sdhD//phnL//treC//metJ//
LldR-L-lactate	gspF//aspC//acnB//
Lrp-Leucine	uxaB//cyoA//rrlG//fecB//rhaS//ssuD//trpC//aer//tyrR//marA//sgbE//ilvA//purC//yjiY//ygiB//hyfF//mhpD//kbl//rrsB//fimC//glgX//hybF//fimH//allE//paaG//metN//ilvG_1//caiB//uxaC//nikE//fucU//artP//nuoL//hcp//phoP//nagC//malE//citF//fhuA//fdnH//garR//cysA//hyaF//ycjF//gatD//argF//hyaD//gltU//ebgC//uxaB//mpl//ssuD//dsbA//cyoE//cysB//fucK//narI//hydN//nagA//aaeB//glpR//hycB//rseA//carB//codA//ykgM//speB//pitA//ilvG_2//aceK//ychH//nanA//glpA//hmp//ygiB//gltW//hyaC//xylF//cysI//feaB//aroL//guaA//cysW//csiE//emrY//bacA//rutE//creC//yfaE//bioB//nagE//lsrK//sbmA//araA//ydeA//hofO//bcsC//ryhB//fecC//aroM//xylR//dapD//gatC//hdeD//bcsZ//tsx//
LsrR	dcuS//dnaN//torC//argG//guaA//cheA//mhpE//torC//glrR//
MalT-ADP-Maltotriose	puuC//tyrA//cysP//yeiW//zwf//mglC//citD//cpxR//hdeB//rplV//
MalT-Maltotriose-ATP	thrV//astC//galT//bdcA//bglB//sgbE//ilvD//ytfE//hyfR//gspK//
MelR-Melibiose	fbaA//acnB//gatB//
MetJ-S-adenosylmethionine	cysN//nrfC//rpsS//malG//sucD//yhiD//ugpA//mhpE//lldD//rpoH//livH//gyrA//ugpB//aaeB//alaS//
MetR-L-homocysteine	uxuA//rutD//lldR//rhaT//fadB//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]	rstB//ulaB//cusR//ycjX//tauA//hyaF//
MhpR-3HPP	uxuB//creB//nrdA//ptsH//agaV//cysJ//
MntR-Cd2+	yccA//lhgO//raiA//dapB//dppF//
ModE-MoO42-	araA//hypF//sbcC//mglB//alaA//napD//lsrK//nfuA//rrsH//paaZ//cadA//hyfH//moaC//bglF//cpxA//fixC//manA//torC//speB//csgC//rpsS//hypC//gcd//nagB//ytfE//agaV//gatC//zwf//cirA//frdD//sdhB//cvpA//ampD//slt//appY//purN//uhpA//nuoH//cyoE//nrfD//rrfA//serA//yeaD//hyfC//ulaD//lpxD//
NarL-Phosphorylated	entE//chbF//fecE//tyrP//rutE//alaS//yoaC//lysP//trpC//nikE//astB//mgtL//phnF//hypC//recF//nadC//gltW//hyaC//ompC//ssuA//hflX//bhsA//paaG//ugpA//ydfH//alkB//nhaR//hyfF//abgB//treB//rrsE//glpQ//narJ//yccA//tdcA//bioA//dppC//yecR//hofC//ilvH//xylF//mdtA//phnM//ompA//dcuC//bglF//lldP//trpC//yeaR//cusS//cheR//yhhY//yiaK//hyfH//pstB//hdeD//paaH//gspC//tar//fbaA//leuE//hisJ//leuE//narX//oppF//ydfH//norR//dsbA//yrbL//ptsI//ryhB//appX//cadC//cydC//cysP//aceK//sdhA//speC//allE//lamB//rrsC//tdcD//ldtB//citC//rrlG//norV//ycdZ//cydB//ydiU//glgS//narI//astA//glgC//pck//hyfE//ydeA//nuoJ//gspM//ulaD//sodA//ulaC//yeiL//osmY//pflB//fadD//puuA//mdtC//iraD//argR//betB//ilvI//nfuA//yibN//rseA//artP//hybD//tar//hupA//trxA//hupB//tauA//creC//ybjG//nanS//raiA//
NarP-Phosphorylated	hypC//gnd//gcd//fdnG//fliZ//ilvE//mltC//fhuE//cysA//malS//metI//alaV//gabD//nrdD//rrlG//ybfN//tsaE//bioD//glcF//galE//ileV//bioF//rhaT//zinT//ansB//cyoA//fhuB//yoaC//argD//grxC//cpxA//ihfA//arcA//rplP//manX//nuoF//actP//sroD//malT//tsx//hyaA//tsr//ubiX//iscS//modB//fdnH//cysG//tolC//gadC//lysP//
NhaR-Na+	pdhR//caiD//mutY//tsgA//nrdH//aldB//entS//
NikR-Cd2+	fdnG//gspI//degP//yiaK//aaeA//kbaZ//
NikR-Co2+	livK//deoD//rpsQ//modC//pgpC//nirC//
NikR-Cu2+	entD//mhpC//cysU//ompC//glyA//moaA//
NikR-Ni2+	nrfB//iscR//zraS//napF//cheZ//ssb//
NikR-Zn2+	rpsR//mhpT//phoB//yoaC//yfbR//gspE//
NrdR-ATP	bioB//nrdH//ybiT//nagC//napG//ung//yggX//sucC//appC//
NrdR-Zn2+	phnF//osmY//fimA//amiB//gspM//phnG//nuoB//mglB//atoD//
NrdR-dATP	hyfF//puuA//frdC//thrS//grcA//sucB//rhaD//dcuS//artI//
NsrR-[2Fe-2S]reduced	uxaC//nuoL//yhcH//yoaG//fecA//ssuB//yfbR//uidB//aldB//rplD//ydeA//pgk//ptsI//tsx//ompF//paaF//lysO//csgD//hycD//phoQ//gatA//yeiP//ugpC//torC//gltT//exbB//ugpB//pheT//sufS//gltF//ilvB//gspO//glgP//agp//raiA//phnE_1//galT//rcnB//thrV//napB//recF//fimA//purF//rrsB//acnB//hypA//yedX//fimI//csiE//mgrR//nanM//chiP//araG//abgA//trxA//prfA//ycdZ//uraA//malE//narH//caiC//nlpE//idnO//ccmF//rnlB//pstC//ompX//torC//ycdZ//mhpA//garR//paaA//ssuE//
PhoB-Phosphorylated	emrK//sdaA//mgrB//fimI//hofC//rrfH//rutC//glpT//fliZ//hycF//glnK//gspF//paaJ//hslJ//dps//eda//tnaA//ubiX//acs//rmf//lhgO//ugpA//ydhX//cynS//ynfG//leuE//fucR//rhaA//atoB//ilvA//argI//mgrB//glnG//prpE//ogt//yiaJ//moeA//hflC//argP//glpT//phnC//yiaO//hofN//hofP//cynR//rutD//kbl//phnG//frdB//malZ//abgT//ftnB//chbF//rrsC//phoA//dmsC//entA//nagE//ynfH//rpoS//edd//
PhoP-Phosphorylated	yegH//deoC//cadA//yfbR//livK//tauC//mntP//cusR//cusC//hycG//dcuA//dadX//gutM//acrF//chbR//lsrK//rplM//tyrR//purB//hyfJ//phnP//yaiA//nuoK//ptsG//exbB//norR//cvpA//efeU_2//rpsC//rrlC//serC//gatC//cadC//garL//fucR//rpsP//gapA//puuR//yidQ//araH//udp//rnpB//mpl//rplT//yedX//cydC//cydD//uhpB//glyA//araG//gabD//fepC//hisM//yaeP//chbC//paaF//yfdV//
PrpR-2-methylcitrate	tktB//fumB//argT//ssuD//nadC//
PurR-Guanine	mtlD//idnO//amiB//hofB//puuD//ccmA//moaC//speB//pyrD//citG//yhcH//rrfB//dapB//malP//cyoD//trg//lsrG//cspD//yegH//yeaR//yhhY//metQ//galM//pgaB//fnrS//ssrS//hyaA//lhgO//deoA//gadC//ogt//trpA//dnaN//rrfG//
PurR-Hypoxanthine	mhpR//araJ//prpD//rplV//ilvE//uidC//metC//cstA//dsdA//malK//ftnA//moaA//glpC//gatC//livK//bcsZ//cheW//yiaK//gutQ//slyB//ydeP//fepB//ybjG//aaeA//ugpE//gatD//gabP//ampE//ahpF//ydhT//rbsR//cheB//crp//nrdI//
QseB-Phosphorylated	fecE//nlpD//ilvB//manY//
RhaR-L-rhamnose	rplM//dcuA//
RhaS-L-rhamnose	tnaB//ihfA//ulaD//pepT//gcvP//rhaA//
RstA-Phosphorylated	nagB//gatB//nuoB//malQ//map//ompW//sucC//rplT//tsgA//ompX//
SoxR-[2Fe-2S]3+ oxydized	grcA//qseC//nupC//nuoG//
TorR-Phosphorylated	marA//ybdZ//lsrF//pgaC//yeaR//moaC//glpT//glpD//gatC//ccmE//
TrpR-Tryptophan	torD//uxaB//hybA//fixA//creC//srlE//lacY//fimD//fnrS//cusS//dapB//rplS//
TyrR-L-tryptophan	yegR//pitA//nanC//mtlR//uidB//hycB//focA//glpK//csgA//pheS//galS//ydbD//ychH//fucI//
TyrR-Phenylalanine	paaB//erpA//ilvN//lacI//yaiW//cra//paaG//agp//nmpC//hslJ//tehB//rhaB//uidC//frdA//
TyrR-Tyrosine	mdtC//malZ//osmY//casD//dppC//rrsA//rrlE//frdA//acrB//dadX//ycdZ//sufC//agaW//lysU//
UhpA-Phosphorylated	ilvA//
XapR-xanthosine	purB//hyaA//
XylR-Xylose	rof//ydhT//gltA//ptsG//tonB//focA//
ZntR-Cd2+	ydhU//
ZntR-Hg	ebgA//
ZntR-Zn2+	narG//
ZraR-Phosphorylated	glgB//speC//oppB//
Zur-Zn2+	zraS//paaA//fliA//fumC//aroA//hlyE//
