#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	ompF//aaeR//raiA//yojI//
ChbR-Monoacetylchitobiose-6P	folA//glpD//metR//pyrC//ptsH//hdeB//
CpxR-Phosphorylated	frdD//actP//fadI//hemL//livJ//guaB//csgD//yhjA//rutB//sodB//puuC//hofB//ynfK//mglA//hypA//metK//rybA//rprA//ampE//cas2//napA//fucK//malQ//yaiW//nrfC//amiB//speB//abgT//hycG//mepH//sdhC//hcp//yfdX//preA//phoB//ynfH//rutA//mhpA//hycH//dgcZ//ygiC//carA//fdhF//yeaR//gcvT//appY//casA//trpL//tdcB//rplP//betI//yfaE//psiF//lsrB//rnhB//frdB//fur//exbB//bacA//ssrS//glpT//ihfA//sdhD//nagA//livJ//ygaC//emrY//cirA//frc//
CreB-Phosphorylated	lpxA//dppB//efeU_1//tonB//rrlE//asr//nikD//folA//csgF//
CueR-Ag	grxD//malS//nlpE//cysG//xylA//citC//fadL//
CueR-Cu+	metB//nikE//borD//srlR//chbA//abgA//metB//
CuerR-Au	nuoN//rrsC//tdcG//purR//cspE//fumC//cpdB//
CusR-Pasp	purK//nanT//entH//chbB//pgpC//paaF//acrD//gspI//tnaC//garP//deoB//ulaD//
CynR-Cyanate	malK//fimA//betA//nuoM//
CysB-N-acetyl-L-serine	purC//xylA//motA//xdhB//glcD//csgE//baeS//hofN//uidA//gabD//rrfE//citX//skp//livF//fixC//rplC//nmpC//pdeF//crr//fecR//ugpQ//moaC//mgtA//hdeD//treC//osmY//tcyJ//metA//casD//tdcD//
CysB-O-acetyl-L-serine	ydeM//fadB//bcsB//rplW//efeU_1//hyfC//cusF//hyfI//citE//yhhY//alkB//gadB//fimD//yjjZ//yecR//cra//mdtD//phoB//hofN//artQ//fecR//dppD//ppdD//mntS//metH//motA//slyB//nikC//chbF//iclR//uhpA//
DcuR-Phosphorylated	trmD//ppiA//yeiP//cysM//aceA//hyfI//treR//livH//yfdV//
DnaA-ATP	yfdX//gspC//dsdX//narI//gspK//paaD//malY//mtr//nirC//pstA//pitB//ada//
DpiA-Pasp	tdcE//deoD//prpR//narJ//appY//metN//lysC//rpmI//srlE//napG//gntX//
DsdC-D-serine	hycF//galS//acrE//
EvgA-Phosphorylated	rpoE//mglC//chbF//ilvB//hyfB//tfaQ//ulaE//bacA//chbF//idnO//azuC//cysC//rrsB//cheB//caiA//
FNR-[4Fe-4S]2+ reduced	yiaN//pgk//ahpF//marB//bioD//idnK//xylR//pgaA//paaG//nrfE//livJ//argT//nlpE//sucA//mdh//sgbH//tehA//grcA//hpt//ycjX//csiD//gspD//yebE//sucB//allD//argP//nagA//cdd//bglF//pgaA//rof//stpA//paaI//erpA//hybA//agp//guaA//psiF//trg//ftnB//torC//hycA//feaR//dkgB//yjiY//rpmC//garR//glnA//bdcA//gadB//tyrR//moeA//tpx//gspF//sdhD//mgrR//arcZ//exbB//hfq//glnD//prpR//cyoB//treC//mcaS//aroP//gatC//metQ//yggX//dcuB//ndh//lacI//casB//gatC//fumB//hyfA//idnO//aceB//flhC//speC//astB//ampE//phnC//sufE//tehA//malF//leuE//prpB//dmsC//rbsB//galS//pstC//dppC//speC//astE//glpF//fdnI//nuoK//ppiA//lsrA//puuC//ompW//glmY//acrF//hypF//glpB//rbsC//hyaA//mscM//aaeR//citC//ccmD//tehA//ugpA//malF//cysG//lysO//nuoM//mdtC//hycA//degP//tonB//gcvT//cysC//phoE//araG//aspC//phnE_1//iscR//flhD//alkA//csiD//aroL//cysG//serC//fucO//atoA//puuA//ispE//cysU//motB//nikA//pheS//nrfB//manX//hemA//ilvN//emrY//fucK//psiF//truB//yjiY//glnL//cpxR//malK//rutE//nupC//napG//tar//ogt//soxS//aroH//ydeM//dps//rpsC//lysA//cspD//hcp//fnr//livJ//tsr//fhuE//adiC//fadJ//ccmD//pncB//cysD//tyrP//ilvY//alkB//tomB//creC//atoA//hyfD//rrlB//rstA//paaG//nagB//paaK//oppF//emrK//hemA//yidQ//hyaD//phnP//ydhU//mzrA//frdA//lacZ//speC//lldP//nanT//bglF//fadD//fadA//rrsG//casB//bioA//uxaB//glpK//dppA//glpT//araF//fliZ//ccmE//betA//cydD//aroP//ebgC//grpE//ompX//caiB//dpiB//malT//phnK//garK//lysC//gspG//creB//prpE//malK//dsdA//hofO//degP//cspE//metI//narJ//phoU//rpsO//ppdD//glpG//hupB//rseC//tdcG//yiaM//acrD//ydfH//pitB//tfaQ//sufA//napA//nmpC//yjiY//dsbA//fecC//glpE//yfiP//tdcF//gatD//upp//hisQ//abgB//crp//yjeV//hofO//borD//citX//gutQ//lamB//pgpC//dmsD//ilvD//yeaE//glnL//upp//ssuB//glpA//xylH//fimI//nrfA//uhpC//mgtA//hlyE//mgrB//malS//rbsK//marR//dadX//hofN//mntH//hpt//pgk//cysK//lacA//ynfE//sodA//rhaA//crl//caiA//ompF//yidQ//ykgM//cdd//rbsC//lpxD//metI//
FhlA-Formate	gspF//paaI//uvrA//entA//nac//ysgA//emrY//ilvH//truB//ileV//livK//cirA//rrfA//hycH//hyfH//napF//pgaD//glyA//gspG//csgD//srlB//rnlB//mhpD//metF//araC//alkA//ilvC//efeU_2//sodB//ugpQ//
FucR-L-fuculose-1-phosphate	astE//galM//aceA//narQ//artM//tdcE//rbfA//
Fur-Fe2+	uhpA//csiE//aspA//cysU//ydfN//lysP//nikE//purK//ada//sdhD//yfeW//aroP//rhaT//nagA//rplV//uhpT//dmsA//sgbE//gatA//yegR//puuP//fhuA//envZ//flhC//fepC//rpsF//cheW//ssuB//osmC//fixX//ftnA//mtlD//metB//xylB//chbA//ycjX//uhpC//yfdV//dppB//livM//lysP//tdcF//caiE//argA//skp//aidB//nagB//bioB//mipA//lysU//hyfF//caiA//tap//tolC//dgcZ//srlA//ydeA//mipA//rseC//bcsZ//nuoK//metR//yeiL//dadA//fepE//napC//ubiG//hisM//rutA//gyrA//nirD//patZ//dmsC//araG//yqaE//moaD//cysC//gatD//araG//yaiA//rcnB//ilvL//fdnH//malI//purK//tdh//ydfN//fucO//rplS//melR//dcuD//dmsB//rrfG//purN//paaF//nrdG//yhiD//rbfA//caiD//fucK//glcE//caiF//nikA//galT//glnA//map//ilvB//rrsD//dapD//patZ//ppiA//paaC//ppiA//acrB//rhaT//narI//gspJ//gatZ//cstA//alaV//ssuC//hyfC//sohB//srlA//recF//znuA//glpB//ompX//cyaR//abgA//lysA//purD//malK//hemL//paaJ//nikD//yiaN//hybC//mgtL//spf//
Fur-Mn2+	mhpC//fimD//murQ//fau//gatZ//pstA//tadA//metC//rpsF//yoaC//araC//pstB//ileU//appC//gspJ//yiaM//speC//ptsI//sucC//abgB//puuR//rseB//iscA//gspL//hcr//ampD//ebgC//tonB//mzrA//csgA//hyaB//iscA//bamA//glcC//yiaN//psiE//oppA//garP//rpmI//moaE//fumA//alaS//nuoI//purE//pgaA//ccmF//lysA//lacI//mntS//zwf//nuoG//purC//cyoC//livH//hofC//rbsD//yhcH//rhaB//aaeX//yegZ//baeR//ygiB//entF//yeiL//cysC//hupA//mutY//csgB//ccmD//gspL//nuoH//uxaC//sodA//yfaE//yeiB//cyaA//ssuD//soxS//oppD//yoaC//mhpT//aroP//nanM//dmsA//ilvL//frc//pstA//lrp//csiE//rhaA//mtlD//murQ//cusB//tadA//livF//ompW//ftnB//yhiD//allD//yaiA//frdB//adhE//ompF//rcnB//rbfA//paaD//fliZ//recF//hcr//dcuC//rhaB//sucD//nrfE//ycjF//tehA//appA//ssuB//ubiC//sxy//gltT//gspK//gspC//hflX//glpT//purH//rpsC//glpX//metL//sbmC//hypC//hisQ//uhpC//gltW//ackA//nikC//nirB//phnO//mscM//grcA//kbaZ//
GlcC-Acetate	flhD//ybdZ//ygiB//glpX//argB//nirC//aaeR//
GlcC-Glycolate	sdhC//ahpC//kbaZ//yhjC//mcaS//yegR//moaA//
GlrR-Pasp56	trpB//
IclR-pyruvate	malQ//purE//srlB//napF//
IdnR-5-ketogluconate	ompF//gltF//hyfA//rseB//ilvG_1//sdhC//gatZ//melA//
IdnR-Idonate	pheM//yfbR//nadC//nrfB//nanS//glgA//uxaB//spf//
IlvY-2-acetolactate	cpdB//dsdX//
IlvY-Alfa-acetohydroxybutirate	deoA//phoA//
IscR-[2Fe-2S]1+	puuC//pnp//trpL//recF//ugpB//cyoA//bglF//gntX//mdtC//caiT//lsrB//uraA//oppA//araC//malE//glpG//sucB//chbR//yrbL//katE//fhuB//fhuF//serC//pitB//fecR//pheM//ftnA//hslJ//gspG//yfeW//cysJ//ihfA//pgpC//ydiU//ompF//fhuF//puuA//fixB//citX//cysA//oppF//
LldR-L-lactate	aaeR//hycG//folE//
Lrp-Leucine	mepH//paaF//ugpE//trg//ubiC//dnaN//yjcH//gabD//hycA//glgX//nuoE//tonB//glpG//putP//mhpR//cysC//glrR//gltD//glgX//metK//casE//ybdZ//trpD//galP//tpx//safA//kbaZ//tdcD//cbl//pepT//xylB//yhiD//bglB//csgB//raiA//alaV//acrB//puuB//phoA//cheY//hybD//bglF//gadB//purR//sdaA//moaE//gltF//exbB//gnd//tap//fadD//sdhD//aroH//mltC//atoA//gcvH//ahpF//xdhB//glnA//caiC//nuoM//rimM//nupC//ssuC//motA//ycjF//mglA//copA//hupA//fecC//lldR//oppA//fimE//yfeW//tauC//fhuF//nrfC//hslJ//zraP//rrsD//glpC//rplV//allC//ccmF//ilvD//phoB//efeU_1//psd//proP//gntT//phoH//tadA//prfA//tomB//malT//garR//prpC//phoP//secB//modB//carA//iscU//cusA//tsx//bioB//tdcB//
LsrR	nrfE//rpsI//phnH//abgB//cirA//oppF//torA//guaB//rutB//
MalT-ADP-Maltotriose	gdhA//acrD//puuP//cyaR//spy//sbmA//asr//metY//nrdG//appY//
MalT-Maltotriose-ATP	feaR//metJ//purM//nuoI//malE//tdcF//aroG//serA//motA//yaiW//
MelR-Melibiose	nuoN//fucR//srlD//
MetJ-S-adenosylmethionine	dmsA//thrS//lacZ//fliZ//sucD//gnd//rhaB//prpD//mdtB//arcA//gntT//ccmA//caiC//nhaA//rcnB//
MetR-L-homocysteine	glnG//fnr//rnpB//modB//gatD//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]	lacI//rybA//patZ//aldA//cdd//sxy//
MhpR-3HPP	bioA//mltC//yeiW//tdcG//iscS//gcd//
MntR-Cd2+	cysA//phoU//alaA//prpC//serC//
ModE-MoO42-	metQ//gltV//rhaS//creD//chbF//fadD//efeU_1//fhlA//phoU//malQ//fucA//atoB//hflX//fabZ//melR//paaF//cusB//creD//dadA//mhpF//malM//entD//hypE//galK//gspH//xylF//argR//argA//nuoI//trpR//garP//lsrR//adiC//amn//tsaE//nuoB//ompC//fepD//ydfH//dsdX//livK//ccmE//yccA//nuoC//rimM//dps//
NarL-Phosphorylated	sbmA//glcF//lsrK//hybD//csgA//mhpR//cyoD//rrsE//cheW//glgX//yhjC//hupB//lrp//cydC//uxuA//rseA//rpoS//pstS//purL//yiaJ//hypA//yedX//metE//rimP//glgA//phoB//cysJ//malG//hofB//hflD//phnC//paaA//pheT//csgE//rnlB//nlpD//flhD//ugpE//rplS//baeS//nrdI//purM//oppC//rpoE//lhgO//hycG//argF//fhlA//aaeR//rpoE//cadB//moaE//argP//sucD//pgaC//recF//deoC//puuC//rhaA//cstA//rrsB//rutE//cstA//hofO//speA//ydhT//ebgC//rhaS//frdC//sodA//creC//fdhF//melR//ascB//folA//carA//aroM//psiE//tauC//glcG//glgP//murP//waaH//exuT//phnL//azuC//oppD//fau//guaB//rprA//moaC//malX//yjeV//cynT//nrdB//chbA//mhpF//mepH//ampD//rplW//pstS//cstA//ykgR//sohB//rpsF//ccmB//yaeQ//soxS//paaE//ssuA//mdtC//lolB//yaeQ//yiaM//malQ//metY//argR//ebgA//mglB//gntK//tdcC//udp//lysU//csgF//pyrC//
NarP-Phosphorylated	cusR//yfdE//fhuB//dmsD//glnL//rbsB//gntU//hflX//mscM//yfdX//nanA//motA//tdcB//yhiD//mepH//mipA//dmsC//aer//gntP//pstB//rhaB//cynT//rybB//yjjZ//ilvE//frdC//nuoA//appB//lpxB//hflC//xapA//dppA//arcA//degP//nrdF//glpE//ykgR//cusS//hslJ//gspJ//casA//tauC//ppiD//hybF//sufB//tsaE//ygaC//dnaA//rpoE//crl//
NhaR-Na+	rbsA//ihfA//cysI//cydB//gabP//rbsB//fucA//
NikR-Cd2+	rutG//ilvA//uxaA//hisM//yaeQ//gabP//
NikR-Co2+	glnD//yeaR//hcp//phnM//purA//pgaC//
NikR-Cu2+	caiA//gpsA//gutQ//yjeF//cpdB//hypB//
NikR-Ni2+	yjiY//nanS//grcA//rnlA//ompR//atoB//
NikR-Zn2+	livG//exbB//chbF//trpC//aroP//fumC//
NrdR-ATP	rpmI//sgbU//fes//araG//rbsA//phoR//tcyJ//cstA//fucR//
NrdR-Zn2+	cydC//uxaA//dapB//mgtA//hyfD//fecR//rbsC//yneM//fiu//
NrdR-dATP	iscA//rrlC//hisJ//tyrP//speC//puuE//fadJ//moaC//sroD//
NsrR-[2Fe-2S]reduced	pgaC//hybC//rrsH//fdhF//qseC//paaD//lsrB//moaD//ydeA//fucU//glnD//zinT//hflX//yeiW//bacA//rseA//fimF//abgA//ugpA//rrfH//psiE//fecC//gntR//nrfF//malP//purL//manY//dgcZ//galS//uidC//malK//rhaD//ytfE//malZ//nac//ubiX//idnR//phnN//mhpE//gabD//icd//fadB//micF//mutY//bcsC//csiD//ihfA//ynfE//iscU//cysD//feoC//ubiG//gltF//malS//grcA//ebgC//aidB//exbB//livH//hyaA//zinT//emrY//phnL//frdC//gyrA//hycG//ykgM//gcd//hyaF//micF//mdtD//cyoB//rrlE//
PhoB-Phosphorylated	norV//puuC//nmpC//rrsE//lpxD//lamB//rybB//oxc//envY//ynfK//serC//rbsC//fecC//rhaA//puuR//yggX//srlD//hycF//serC//mntS//grxD//mgtA//yeiL//ileU//fimF//phnC//narH//ygiA//yhiD//iscA//caiF//ilvA//ptsI//fucO//skp//serC//ynfG//chbG//nuoM//ycjX//znuC//bioC//thrS//preT//sufA//yeiB//cpxA//manY//glnA//garP//rpmC//purK//mdtD//ybjG//fecC//dcuD//gcvH//hyfJ//bcsZ//exuT//nuoC//
PhoP-Phosphorylated	nlpE//ompX//rpsC//katE//rpsJ//ccmD//artJ//zraP//narJ//aceA//nrfG//argG//dsbA//creB//lysC//ubiC//ccmA//treB//infB//alaT//hyaD//napF//glpG//narX//gnd//ileT//thrS//leuE//acrF//hybD//gntK//metY//torA//glrR//hyaC//bamE//glpC//yjeV//gltU//ileU//iraD//gntP//hycB//metL//cysC//cysP//appC//mscM//ampE//ompA//motA//ada//glnB//osmY//cydB//mlc//cynT//
PrpR-2-methylcitrate	hypF//argF//dsbA//gltD//aaeA//
PurR-Guanine	tauA//ykgO//torD//yecR//tadA//nlpD//pepT//abgA//yaiW//grxD//csiE//lysC//nrdB//ilvH//tar//manZ//hofB//cheA//fadH//pstB//cysK//phoP//ulaB//ycjF//kbaZ//yegZ//gntR//rplS//uxuB//cydA//rrsB//fur//nrfG//puuE//
PurR-Hypoxanthine	dsbA//argG//rseB//phnN//gutQ//katE//bcsZ//idnR//rnpB//ompW//tsaE//crp//hyfJ//phnD//fepD//yedX//ompT//modA//xapA//prmC//araH//hemL//ompF//ebgC//torC//tdcB//hyfG//xdhB//pstB//cysG//guaA//znuB//hyfR//prpD//
QseB-Phosphorylated	dpiB//sufS//ydhW//phoA//
RhaR-L-rhamnose	rplW//fimA//
RhaS-L-rhamnose	fadA//rpmC//gatA//arfB//ascF//grxC//
RstA-Phosphorylated	aspC//ompW//phnK//zraS//aaeR//phnI//yhiD//yegH//baeS//napH//
SoxR-[2Fe-2S]3+ oxydized	rbsR//aroG//trpC//yjcH//
TorR-Phosphorylated	phoU//hycA//gltA//mhpD//glcD//rhaT//kbaZ//gspK//ihfA//mntP//
TrpR-Tryptophan	argP//glgA//deoB//cusF//agp//ileT//yiaJ//lldP//fucP//rutB//flhC//deoD//
TyrR-L-tryptophan	ebgC//tauC//argP//araE//yhjA//ubiC//trpR//iscS//cyaA//rutG//ychH//malE//purM//talA//
TyrR-Phenylalanine	araF//tap//treC//rrfA//hcp//rimP//cstA//carB//srlA//fepG//hupB//melR//yegH//lysA//
TyrR-Tyrosine	trpR//puuR//feaR//hyaB//appC//trpC//envY//ybjG//glgA//rrlG//citX//ulaB//yegR//yfiP//
UhpA-Phosphorylated	nac//
XapR-xanthosine	alkB//glpD//
XylR-Xylose	hofM//spy//cirA//rybB//hyaB//dusB//
ZntR-Cd2+	lsrR//
ZntR-Hg	nuoL//
ZntR-Zn2+	ycjF//
ZraR-Phosphorylated	rpoH//soxS//fixC//
Zur-Zn2+	yfiP//serA//rhaD//cyaA//ygeH//ahpF//
