#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	cydB//ilvB//patZ//tap//
ChbR-Monoacetylchitobiose-6P	napA//glpD//fepE//sucA//casC//yegZ//
CpxR-Phosphorylated	pyrC//uhpB//dpiA//rplM//nikA//ygeA//nuoB//torC//focA//murP//mhpB//fimC//glpC//gspE//tyrB//fucU//csgA//chbG//fepE//sufE//ldtC//hofB//hofC//phnM//prpE//yfdX//entC//livM//rprA//rplP//amiB//uhpB//safA//yfdV//caiF//rpoH//paaD//rrsE//cysH//ilvB//sufS//paaG//sucC//paaK//hyfR//ebgC//cirA//cynR//sdhD//citX//nfuA//hslJ//cysU//katG//pdeF//fepE//pheM//nlpD//citG//aroL//dadX//argO//ybdZ//dcuA//frdA//yjeV//ulaE//acrE//astD//
CreB-Phosphorylated	tdcE//pepT//nrfD//pgpC//ugpE//cysG//betT//dnaE//murP//
CueR-Ag	ndh//hofN//fliA//lpxA//bioC//ubiA//hybB//
CueR-Cu+	torA//metH//ileU//hemA//gatY//cysJ//mntP//
CuerR-Au	fhuD//dsdX//recF//envY//aroF//acrF//motB//
CusR-Pasp	tsx//phnP//yeiP//nrdB//bcsA//malK//rseB//malG//baeR//mhpB//entE//fimC//
CynR-Cyanate	eda//fimH//atoD//focA//
CysB-N-acetyl-L-serine	dcuB//hofN//yibN//deoA//glyA//ycjF//rplM//rplS//srlR//rcnA//mltC//artP//nanK//paaI//xylG//ampE//yedX//csgG//cheW//iscU//nikA//gspC//rrsG//feoC//phoR//katG//rplV//frdA//hyfF//amiB//
CysB-O-acetyl-L-serine	fhlA//paaI//rcnB//citC//hybE//yecR//yfiP//glgC//aceB//fecE//uxaA//fimE//rrfF//deoD//emrK//actP//ung//mlc//hybA//ftnA//mntS//nrdG//citX//garL//ydeN//puuA//rrsB//citC//tsgA//bamE//fepE//
DcuR-Phosphorylated	astE//purL//cytR//mntH//nrdD//nuoE//nrdE//hisP//argG//
DnaA-ATP	fepA//yhcH//nikB//yiaN//aidB//glcC//lysC//kbl//araF//ispE//fadA//cysM//
DpiA-Pasp	nrfE//fur//psd//lsrR//araB//nuoK//glgB//yaiA//fhuB//yiaJ//asr//
DsdC-D-serine	feoB//araA//glnG//
EvgA-Phosphorylated	rrlB//lyxK//exbD//mipA//uxaC//lsrK//codB//mzrA//gntU//dgcZ//casA//yhjA//hyfI//nuoF//dsdX//
FNR-[4Fe-4S]2+ reduced	ssuD//allE//codB//hisP//casD//preT//betI//bcsA//folE//torD//nuoB//hflK//artI//argA//gspC//gpsA//aaeR//aroM//qseC//betI//cysA//talA//araA//tolC//pstS//hybA//aroF//aidB//rrlG//ydeP//galP//nanS//glyA//cysH//uxaA//creB//fis//idnD//glpK//ybfN//modA//cvpA//stpA//ilvG_2//rmf//zntA//serC//ulaF//tdcA//acrE//hyaA//astC//casA//rutG//phnF//creA//tdcB//mutY//fimC//mdtD//yidQ//gltV//dmsB//yeiP//creB//mdtC//xapA//rhaD//abgT//fimF//motB//mglC//araF//yfdV//paaC//xylH//ftnB//metA//chbC//rbsA//adhE//ascF//argI//napG//tap//dadA//gspM//nrfE//lsrD//hybA//pdhR//tomB//aceA//glcC//gntX//fes//yeiL//gltF//arfB//entA//entD//cysM//entF//cydD//hyfA//sdhD//mntH//hisQ//argF//treC//fadA//prpE//tauA//phnE_2//ykgM//fau//pncB//dcuD//chbR//fecA//skp//melR//alaS//efeU_1//fhlA//yjjZ//rplS//ansB//uhpA//folE//lrp//ugpE//sufE//gcvP//gltV//purM//pnp//nuoG//hybO//prs//galS//fhuE//nuoM//fixB//lyxK//yeaE//phnD//narH//xylH//fumC//rrsH//creA//rrlG//osmC//gltU//dpiB//rpoE//deoA//rhaS//lldR//acrF//xapB//marR//upp//sufE//nirB//trxA//ompF//yjeV//phnD//hycB//rrfB//feaB//moaC//hemL//ascF//phoQ//hofM//malP//gatZ//rrfB//mutL//citD//hyaD//amn//fdhF//casA//rseC//nuoL//znuB//cdd//soxS//ydiU//citG//metH//dppB//tauD//livH//ompX//yfaE//betT//deoB//talA//yaeQ//cpxA//gspF//sufC//nuoJ//uof//amn//phnF//treC//rdoA//pflB//degP//hyaA//lsrK//fimC//mtlD//hemA//ybiT//tsx//gltF//prmC//cueO//ydhY//metR//livG//asr//dcuC//nuoA//artJ//araC//moeA//azuC//argR//glpE//phoQ//tolC//comR//glgC//deoB//fhuB//hybF//metA//glgA//idnO//dppA//phnC//idnD//aldA//araE//caiB//yhjC//rpoH//fadL//mglA//fecE//tauC//glpC//ugpE//moeB//cvpA//dadA//narJ//rutA//soxS//nagE//modC//appY//mntH//cyoB//bamE//lsrD//ulaB//lsrR//ubiC//fis//rprA//nupG//deoB//polA//hofO//prmC//pyrC//mntP//manZ//ynfE//phoB//gntT//tcyJ//nanT//cusB//narQ//cirA//nlpD//nrdE//alkA//evgA//ldtB//moaC//yaiW//trpR//rrlC//rdoA//
FhlA-Formate	phnM//priB//ndh//iscA//aldB//ydeM//srlB//gatY//ydhX//chbA//citC//rrsE//xylH//melR//rpoE//ydhV//gpmA//hycE//hycC//dcuA//citG//nrdF//lysA//dpiA//dpiA//pgaC//gltF//mntP//paaK//yiaM//
FucR-L-fuculose-1-phosphate	ykgR//idnT//gntR//livJ//gcvT//hyaB//soxR//
Fur-Fe2+	casE//norV//gabT//frdA//rutA//allE//ybfN//metB//alaS//yfdE//yeiP//malP//glnD//napC//uxuR//dppF//sbcD//mhpT//malT//ybiT//narK//appA//cheY//gapA//phnN//paaA//preA//yfaE//allC//cynX//dgcZ//paaB//yibN//cheA//rpmC//crl//rhaT//leuE//trpR//znuB//rrsG//prpR//qseB//envY//argA//ubiC//malY//metL//cheZ//ahpF//agp//gdhA//ydeJ//ugpB//mutY//sodA//aspA//rrfF//ynfH//infC//yecR//sufA//gabP//rseC//yoaG//gpmA//adiC//cynT//cadA//gspO//paaC//ascB//amiB//exbD//cysH//puuR//ugpB//caiD//manZ//fucO//idnD//tam//nlpE//tdcA//puuA//slt//lolB//gatD//appB//dmsB//araD//metJ//cpdB//osmC//puuD//bcsZ//hyaC//ndh//osmC//hycF//kbaZ//mcaS//glgX//qseB//idnR//rplW//rpsR//ung//ydeM//hyfF//ygiA//purH//paaK//lsrC//glrR//gltT//adiC//zraR//ebgC//yaeP//purF//nuoA//glgX//malK//abgT//metQ//uvrA//ydhU//acs//znuA//ilvY//rpoH//argH//tyrA//allE//hyfC//yaiW//alaV//hdeA//fucA//
Fur-Mn2+	hupA//sodB//araJ//xdhC//ydeO//raiA//cheA//mlc//yaiA//hcp//rplW//sbmA//nrdD//frc//baeS//gltA//abgB//fliA//pck//rpsP//lsrA//glgP//ybjG//murQ//ulaF//cra//glnG//araG//tdcC//nuoF//tktB//oppF//nlpD//lsrF//zraR//ssuD//nuoN//nuoK//alaS//rseB//glcD//gabP//evgA//rseA//glgS//nikR//hha//raiA//rpsC//cydB//cysB//abgT//creA//nuoF//hupA//tauC//glcE//uidB//mscM//mhpE//araG//ung//lldP//feaR//torR//creD//fumC//napF//nupC//rutD//waaH//argH//dmsD//nrdH//hpt//uxuA//phnP//yfdV//pgaB//alaA//nuoF//casA//nagB//gntK//nrdI//ykgO//malE//lsrK//mdtC//sucA//gspG//fimH//rrsG//hflD//mhpE//frdC//tfaQ//chiP//ilvX//uof//mglB//emrK//ybfN//sxy//nrfE//gltW//hpt//ychO//hflK//iclR//csgF//sbmA//moaA//ilvG_2//iclR//purC//dcuC//ebgC//pheS//aspC//rutF//hcr//nusA//zinT//hfq//cpxR//purD//lacA//norV//cysN//hflX//grpE//metC//yibN//alaT//bcsA//phoQ//gltB//nlpE//ulaF//
GlcC-Acetate	ftnA//hybC//cysD//hcr//tdcF//rplC//efeU_1//
GlcC-Glycolate	katE//hisJ//ybjG//cheW//fdnG//rnlA//cas2//
GlrR-Pasp56	chbF//
IclR-pyruvate	rrsH//allD//rpsF//fdhF//
IdnR-5-ketogluconate	moaB//phnI//phnJ//mcaS//rybB//uhpC//csgE//astE//
IdnR-Idonate	fbaA//ybdZ//uof//aroL//hydN//rplD//ampD//rrfH//
IlvY-2-acetolactate	phoH//hycF//
IlvY-Alfa-acetohydroxybutirate	ygiB//ygeH//
IscR-[2Fe-2S]1+	yoaG//rnlA//hybE//purN//xdhB//trxA//preA//hcr//hycB//nirB//xapB//rrfB//pagP//yaiA//livM//nrfG//evgA//lsrF//nuoA//paaA//sufE//yfeW//slt//ccmD//xylR//ybdN//ydeA//phnL//tcyJ//mhpC//ubiA//bioD//dmsD//rrfG//yfiP//ilvY//ahpC//phoB//malT//gspL//sgbU//
LldR-L-lactate	rbsK//marB//hisQ//
Lrp-Leucine	sucA//yaeP//cysC//gltU//nuoK//dppD//rrfA//chbA//uhpA//rplB//atoB//lsrB//tauA//rrlH//modB//mntH//bioD//creD//dmsC//ilvL//rybB//ileT//iscU//yfiP//yaeP//marB//crl//argD//yaeP//yibN//gspI//xdhC//pnp//lldR//argP//astE//cusF//phnI//fimE//malQ//dcuD//hyfF//hyaE//slyB//phnP//acs//manX//cspD//fepB//acrD//araH//sufA//tdcA//betI//rcnA//rrlH//ubiG//qseC//fadE//rcnB//abgT//nanK//pheT//melR//ugpQ//yjjZ//moaE//hslJ//cirA//purD//zraS//rrfA//ugpQ//gspC//fdnI//napB//allE//gspJ//nuoF//glpA//dps//ygiA//sdhB//casE//appC//focA//sgbE//dnaA//tdcE//gltA//mdtB//glcE//cstA//rplW//nirC//fepE//paaK//feaB//aaeR//aspA//argO//cydC//ydhT//ygiC//argA//caiA//
LsrR	metB//oppF//cysI//ascF//melA//glcF//hybE//rhaR//epd//
MalT-ADP-Maltotriose	bioD//paaK//uhpC//hofM//rhaR//feoC//trg//prpE//rplV//caiT//
MalT-Maltotriose-ATP	rcnB//hisP//rseC//phnG//ileV//feoB//cusA//fadH//stpA//glnL//
MelR-Melibiose	melR//ilvD//frdD//
MetJ-S-adenosylmethionine	ynfH//phoQ//glrR//glpE//pgaC//hlyE//galT//yiaK//trg//hdeB//fiu//sufE//dmsB//ppiD//ilvH//
MetR-L-homocysteine	glgB//iscR//cysH//acrE//ugpB//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]	argG//sgbU//spf//moeB//purH//rof//
MhpR-3HPP	rbsD//murP//rrfH//iscS//argO//entC//
MntR-Cd2+	ackA//gpsA//rplS//gatY//sufD//
ModE-MoO42-	citC//hfq//trxA//fau//ccmH//ulaD//aceB//yoaG//puuA//metY//rseC//glrR//cydD//ahpF//dnaN//prs//nagA//rplC//alkA//nikA//rpsQ//nagC//lhgO//rplW//fepA//mhpC//ycjF//amtB//hypB//pgaD//lpxD//araA//marA//ydeN//nusA//yaiA//paaH//sgbU//evgA//cusR//avtA//tdcC//lpxD//manA//dcuR//phoQ//
NarL-Phosphorylated	glgA//sufA//idnR//glpB//allD//erpA//pagP//ygeA//aaeA//caiC//ynfK//malT//rrlB//yiaJ//malQ//sbmC//hemA//metN//fepB//gltT//nrfA//mhpC//dcuC//sufC//fadH//araH//fucP//alaS//nrdI//phnI//nanC//ssuA//fhuD//napG//nuoJ//manA//ugpA//gntP//acrF//metJ//ilvI//ilvB//hyfF//ydfH//phoA//yneM//rrfG//hcp//nikE//trpE//cysD//osmC//araB//mdh//asr//ynfH//caiC//cheR//xdhB//grxC//ptsH//yeaE//lldP//glpR//patZ//artJ//efeU_1//glgX//pgk//bglG//dcuS//ahpC//casC//speB//nanA//ftnA//livH//ssuA//gntR//paaB//fecD//rpmI//glpQ//mtlD//ykgM//zraR//entF//abgB//csgC//appB//mtlA//pgaC//proP//dapD//ccmA//gcvT//tyrP//yhjC//bamE//betB//fadD//nikD//mntP//nrdD//speC//fimC//nrfE//thrS//fdhF//spf//uxaA//fecB//cyoA//malP//moaB//yiaK//ugpA//cynS//trpC//fixX//gltF//yfdE//rrlH//alaS//psd//
NarP-Phosphorylated	mepH//fucU//phoU//marA//dpiA//chbC//sbcC//narI//deoC//hdeB//artQ//dppD//malM//pflB//psiF//nupC//csgA//rrfG//ascB//phnL//hyfH//malS//mntH//argT//pgaA//rplM//nuoK//phnH//ptsG//ycjX//rrlE//mhpT//tnaC//bdcA//fucR//fabZ//gnd//rpmC//garR//ccmD//nrdD//gatC//glnG//rbsK//caiF//fadH//trpD//ilvG_1//feaB//paaZ//
NhaR-Na+	pck//bcsA//appA//cysB//trpA//glpC//malZ//
NikR-Cd2+	rrsH//soxR//csgF//purN//yeaD//glgS//
NikR-Co2+	gatZ//cysU//oppC//sgbH//hflD//tfaQ//
NikR-Cu2+	ygiB//lpd//rplV//mcaS//araH//pitA//
NikR-Ni2+	yggX//malT//mdtC//purC//hyfJ//yhiD//
NikR-Zn2+	prpR//ugpB//rutG//trg//yhhY//tsgA//
NrdR-ATP	trmD//mltC//fecC//allE//rbsD//yfdE//malZ//psiE//azuC//
NrdR-Zn2+	lacA//modB//lrp//dcuA//malY//fixB//lpxD//yiaO//asr//
NrdR-dATP	sdhA//puuP//yiaL//tfaQ//lpxD//fabZ//ccmB//lpd//gcd//
NsrR-[2Fe-2S]reduced	patZ//oppB//lolB//uxaB//ilvG_1//glnK//idnO//hyfD//mglC//idnD//gutQ//caiB//fldA//cysN//bglF//preT//hycG//carB//mdtD//gabT//ykgO//hflK//yfbR//bamA//speC//mglA//cas1//ptsI//nanE//appA//fhuF//gdhA//argO//borD//purD//atoE//nirB//rpsJ//mpl//cheA//hisQ//acrF//mdtA//metK//ybfN//hdeB//miaA//phnI//hisQ//dppF//tdcG//gspK//gatB//araC//nirD//ssuE//feoC//oxyR//rplV//entA//araA//glnB//idnT//chbB//sgbU//ompT//polA//torR//bcsC//nanA//dppD//ispE//yggX//
PhoB-Phosphorylated	csgE//nrfC//fhuD//entB//gntP//deoD//cysI//rdoA//uxuB//phnE_2//dcuS//entF//livK//sdhA//nuoC//ygiC//fdnH//metF//murP//soxS//ulaE//dapB//psd//zwf//abgB//malM//amiB//lsrK//pstB//pgk//sgbU//glpX//citG//rcnB//paaG//ilvC//fixX//moeB//narH//mdtD//fadD//moeB//araD//rplD//paaC//bcsB//fhuB//argR//hyaE//trpE//rrsD//rnpB//livJ//nuoF//metA//gspC//fimG//betB//serC//bamA//prs//
PhoP-Phosphorylated	hyaE//psd//glcG//glpC//recF//cirA//fepB//nuoJ//fadA//acrD//uidC//malT//uxaB//gpsA//ydeP//fecD//allD//emrK//comR//sroD//pyrC//hypC//grxD//fdnI//yecR//fepD//melB//xseA//bcsB//ftnB//cysC//ilvG_2//ilvB//rpsF//rnpB//cydC//ptsH//aceB//fadB//rmf//phnO//thrV//cysD//hofN//cusB//hyfA//nrfA//serC//galT//fumC//yfeW//livG//gutM//ppiA//moaA//atoE//torR//
PrpR-2-methylcitrate	puuB//hlyE//nhaA//glnB//rof//
PurR-Guanine	crr//fhuE//metF//soxS//dusB//dgcZ//ybdN//melR//skp//rbsK//rplI//hlyE//feoA//nikD//nrdF//rrlC//nmpC//yhhY//gltW//mepH//ugpB//udp//ygiA//hslJ//alaU//iscS//oppB//dpiA//ompT//metC//hyfD//mutY//ydeP//hypE//
PurR-Hypoxanthine	pstC//hybD//gutM//mhpF//rrlA//ynfH//tyrR//rhaT//edd//ccmC//fbaA//hdeA//mhpR//dpiA//livF//glpF//abgT//fecA//metH//tam//galM//malE//rpoH//metH//lsrD//purK//allD//tsgA//cynS//ndh//acrF//caiD//uhpB//mhpA//
QseB-Phosphorylated	aaeX//argG//aceB//galP//
RhaR-L-rhamnose	yhiD//phoR//
RhaS-L-rhamnose	ykgM//fumC//aaeB//yiaO//exbD//emrK//
RstA-Phosphorylated	murQ//fhuF//yfdV//yjeF//cysU//tyrB//mglB//ampD//nrdF//sufS//
SoxR-[2Fe-2S]3+ oxydized	glnL//lldR//fadH//entD//
TorR-Phosphorylated	phnD//epd//mdtD//ampE//dadA//nfuA//yhfA//tdcG//glnB//mhpB//
TrpR-Tryptophan	ssb//agp//ccmH//araB//csgE//uvrA//ilvG_2//rmf//fixB//ygeA//glgX//srlE//
TyrR-L-tryptophan	metC//alaA//ccmE//csgD//mtlA//ydeA//motA//fecC//nuoC//citD//zraP//lacI//uxaC//tsgA//
TyrR-Phenylalanine	ygiA//araC//fdnI//araF//sgbU//recF//yegH//aroG//ybiT//fliZ//patZ//tdcD//malM//fau//
TyrR-Tyrosine	dcuA//xseA//hycH//rpsR//malE//xylR//kbl//dgcZ//deoC//deoB//gspF//hycA//yneM//rnpB//
UhpA-Phosphorylated	astE//
XapR-xanthosine	rrfE//nhaR//
XylR-Xylose	ilvN//yhiD//cueO//fimA//gntR//nuoM//
ZntR-Cd2+	nagC//
ZntR-Hg	srlE//
ZntR-Zn2+	cpxA//
ZraR-Phosphorylated	oppD//bamA//cysC//
Zur-Zn2+	yggX//pyrD//mlc//purE//mgrR//argI//
