#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	gpsA//tnaA//iscR//glgC//
ChbR-Monoacetylchitobiose-6P	rimM//iscS//prmC//ybdZ//sucC//yhfA//
CpxR-Phosphorylated	creA//folE//dpiA//glnD//cheY//ynfH//ysgA//fucP//ccmG//allD//glpF//envY//ompC//paaF//ogt//rrfF//malK//yfdX//hfq//marB//nuoC//yedX//tar//alkB//glrR//gabP//yiaM//prpC//cheA//uhpC//narL//prs//cyoE//metK//hyfB//purB//ccmH//cyoD//citG//yqaE//mhpB//hemL//puuB//bamE//galE//glpC//phnN//ilvG_2//yqaE//lpxA//allE//pstC//sufC//ompC//fes//carA//rpmC//fimH//gltF//purR//mltC//phnG//serA//astA//galS//dcuD//fixX//ilvA//fadJ//
CreB-Phosphorylated	hyfR//araG//napG//nanE//mgtA//uidC//fadB//phoH//ebgC//
CueR-Ag	oppA//gntX//yhcH//focB//srlD//fixA//rrlH//
CueR-Cu+	yegH//flhC//ynfH//soxR//glnL//nupG//oppA//
CuerR-Au	spy//ryhB//hflX//caiC//dapB//ygbA//preT//
CusR-Pasp	garL//nohA//ccmF//artP//napG//galK//bioD//nrfD//bcsC//ilvC//ebgC//nrdE//
CynR-Cyanate	idnT//mhpE//nrdH//fecD//
CysB-N-acetyl-L-serine	ccmG//waaH//ilvD//creA//arcZ//tnaA//pdeF//tnaB//lysO//moaE//dusB//dmsD//purL//pncB//gcvT//ydhY//oppB//uxuB//creC//tauA//entF//mhpF//osmC//prpD//hflX//pgaD//zraP//dppF//cas1//codB//
CysB-O-acetyl-L-serine	narG//aaeX//yfbR//dadA//kbl//argF//codB//fur//srlE//yaeQ//sbcD//gntT//grxD//nadC//pgk//mipA//betA//gltF//rplM//hypD//zraS//manA//nohA//tyrR//paaG//metY//tomB//prfA//gatB//caiD//garK//
DcuR-Phosphorylated	araB//aldB//ysgA//artQ//infB//trxA//cydC//gspL//cusF//
DnaA-ATP	fadE//fimH//glgX//zntA//ydeA//ansB//treC//rplW//ppiA//tam//cydB//spy//
DpiA-Pasp	gspH//fecB//yjeV//paaF//hycF//malX//metC//gntR//srlA//phnO//cyaA//
DsdC-D-serine	paaC//paaE//yjeF//
EvgA-Phosphorylated	yqjI//gspJ//umpH//psd//feoB//nuoJ//ulaC//argT//dppA//nmpC//tpx//ansB//malG//oxc//tonB//
FNR-[4Fe-4S]2+ reduced	ilvB//rrsA//psiF//sucD//argD//pgk//fucO//napB//psiF//chiP//betA//caiF//dsdC//paaG//rutD//fimC//ldtB//uxuB//bioC//edd//actP//rrfB//yhjA//rseC//thrS//gspM//phoP//lsrA//hyfH//yneM//amn//pgpC//malM//rpmC//creA//grxD//lacZ//puuB//rutE//gatB//cirA//chiP//moaB//raiA//lpd//tyrB//gnd//pnp//cadA//ogt//yegR//metH//yeiB//trpL//cirA//trpC//cydA//hycC//hyfB//fecA//fimC//yaeP//nuoE//bioD//hflX//yhjA//nanE//mtr//qseB//moaA//hisP//appY//rseC//ulaC//paaB//fhuD//pgaB//glnL//rrfG//rseA//ftnA//mpl//betT//dppA//preT//yibN//rpoS//deoD//mdtD//entE//hofB//azuC//fimF//puuR//rutE//aroP//rpoH//ilvY//acnA//gltT//iscA//adhE//rdoA//purD//soxR//yeiW//cysP//glpD//malY//nusA//cyaA//uof//sohB//ispE//ygaC//ascB//rrfD//hyfF//glcD//fecD//pstS//codA//fdhF//cheA//purF//alkB//fldA//hslJ//cspE//rrsG//dgcZ//hmp//lacZ//codB//xdhA//feaB//ybdN//gntU//ssuB//dmsC//ompW//tcyJ//rnhB//narX//treB//lacI//tehA//zraR//galM//cheR//fdnG//yidQ//ybiT//acrD//glcC//metC//ssuD//phnG//bcsC//malK//gspC//lldD//csiE//pgpC//hdeB//glgS//ptsI//ydbD//fixC//argT//cysN//gntX//ppdD//nrdB//argI//gatD//frdB//fau//ilvG_2//glpC//mtlD//ilvA//hslJ//feoC//trpB//rybA//stpA//glpF//appA//hyaD//puuP//chbA//sbcC//focB//motA//yhjA//nirB//ompW//lsrC//mhpF//hybB//torC//nuoK//yeaR//umpH//hybB//argI//atoB//trpR//leuE//puuE//yhhY//prpD//mhpE//glpD//rpmC//degP//ilvX//emrK//ilvD//guaB//ulaE//appX//hyaA//lyxK//cirA//nrdD//ilvG_2//fnr//gspM//flhD//ackA//phnK//paaC//metI//rpmC//hupB//moaE//yojI//allD//chbF//map//chbC//dps//yqjA//mdtA//rstA//melB//yhiD//carB//glpQ//aroL//lsrG//manX//aaeX//melB//fepG//purM//dmsA//trpD//nirD//pgaB//envZ//hisJ//gcvP//abgT//livM//mdtD//ilvL//araB//ampD//rpmC//yecR//prpB//nuoM//ygbA//allE//phnI//lolB//acrD//safA//alaV//xylA//rpmI//alaS//srlA//rseC//glpA//galK//ugpB//hycA//ccmD//ydeN//folE//ackA//trpB//alaA//caiD//lacA//map//nac//bioC//sufE//aaeA//rnlB//
FhlA-Formate	hycB//creD//rplT//cusF//astE//dppD//melB//artQ//yeaR//cysD//mtlD//treR//nrdI//fixC//iclR//nuoF//fdhF//lpxB//garR//rnlA//glgA//slyB//livG//phoA//fadL//artI//sodA//xseA//melR//ubiG//
FucR-L-fuculose-1-phosphate	glcB//livK//aroL//rcnB//cusA//dcuS//carB//
Fur-Fe2+	dsdC//ssuE//ccmE//sgbE//ynfH//trpA//rbsC//rhaD//phnP//rrfE//hupA//nusA//xseA//nuoC//paaG//nrdF//tauB//efeU_2//fimH//rplV//csiE//rrsH//rcnA//abgA//grcA//mhpR//sodA//fimI//bioF//hyaB//cynX//pheS//caiA//uvrA//hyaE//caiA//xylG//cpxA//mscM//murQ//iscU//gcvT//nac//iscA//rbfA//fes//purN//dcuC//moaD//cysW//lrp//hofC//napC//thrS//paaB//chbB//cdd//rrfB//hyaC//ldtC//tsgA//gadC//torA//sgbU//cbl//rbfA//thrS//mutL//sufE//yjcH//metK//fucR//uraA//malM//folE//cheZ//cynR//rybB//gspL//betI//avtA//astC//nlpE//srlE//fimA//moaC//gatB//cynX//glmY//xapB//spf//allD//cadC//nanC//fadJ//tsgA//rseB//hofC//ahpF//ebgC//casB//hyaB//fabZ//yaeQ//nikE//lacA//ompR//gatD//talA//mglA//gyrA//aroF//dnaE//ybjG//nrdE//yjeV//nikR//cspE//gutM//rrlG//dppD//aaeB//comR//torA//uidA//bhsA//uhpB//sbcC//grcA//yqjA//pitA//lysC//cyoC//srlD//gatY//gspM//bcsZ//aer//fimE//grcA//
Fur-Mn2+	yiaK//yhiD//cheW//pitB//cusC//hybF//umpH//rutB//hofO//yeiP//rbfA//aroM//adiC//metK//nikC//cydA//sgbH//rrfH//speA//xapB//acnB//citX//codB//aidB//gdhA//glgA//ppiA//treC//rpoE//motB//mhpF//atoA//csgA//hyfA//fadD//galT//degP//puuE//cas2//spy//malY//rbsK//cusR//mdh//rrsG//gntP//idnT//codB//ynfH//glpC//ompF//ompA//deoB//nrdE//citF//feoA//casE//nikB//gspE//hyfA//cysD//yebE//rstB//gntR//narI//ssuE//hycI//tdcE//thrV//yhiD//rutA//sbcD//sufA//nuoB//yjjZ//uhpC//yaiA//infC//nhaR//glrR//tadA//ssuD//acrE//malI//fucI//lsrC//tpx//speC//bcsB//mntP//tyrA//phoU//ccmC//gspD//gcvH//metA//cysG//ilvN//chbR//araB//nirC//cytR//nagB//rstA//cysN//hyfC//talA//comR//hisP//ygiC//gcvP//ascB//ycdZ//yfiP//cas2//treR//yidQ//rutG//rybA//rpsR//nuoF//atoB//flhD//rhaR//rseC//hyfD//znuA//manX//aceA//abgA//dctA//hdeA//xapA//lsrC//yaiA//sufA//metJ//lamB//deoB//napD//
GlcC-Acetate	phnP//ilvC//yeiP//galS//paaB//chbF//sdhC//
GlcC-Glycolate	malI//glyA//rof//nanA//spy//icd//feoA//
GlrR-Pasp56	tdcC//
IclR-pyruvate	fliA//spy//slt//cysB//
IdnR-5-ketogluconate	ssuE//yeaE//uhpA//ygiA//torA//srlR//fepC//lolB//
IdnR-Idonate	edd//guaA//nirD//rplM//yhhY//adhE//bglB//iscR//
IlvY-2-acetolactate	cynX//hyfG//
IlvY-Alfa-acetohydroxybutirate	metC//cheR//
IscR-[2Fe-2S]1+	hisM//speC//nikD//rrlH//ldtC//ompR//nupC//rnlA//slyB//prmC//tar//astE//phnE_2//carA//cydC//malP//fhuD//prs//tsr//acrA//paaG//lsrK//paaD//hypB//yhiD//appB//aspA//yiaN//ilvG_2//hofO//sucD//bioF//sufA//yqjA//phnC//fadJ//trpD//motB//chbA//metH//oxc//
LldR-L-lactate	zraR//astA//rseB//
Lrp-Leucine	yqjH//hfq//fimA//cusR//yccA//pflB//motA//purK//fecC//infC//moaD//znuB//proP//truB//ydhT//pheT//mhpF//exuT//mtr//galM//nrfC//chbG//tktB//bioB//sucC//gntK//ackA//ygiC//nuoM//feaR//arfB//fis//uxaA//manA//tktB//adiC//fhuB//rrlA//nuoJ//fumC//miaA//nohA//ynfE//trpB//dmsC//gatB//rutG//srlA//degP//dppC//creA//glnD//purA//hupA//talA//mepH//cydB//aaeB//cysW//gspC//citD//yjeF//kbaZ//ssb//pheS//gntU//sbcD//ynfF//gntT//hdeA//torR//yciW//fumB//gspK//bamE//sufD//rrlG//paaK//ulaC//ilvG_2//nikA//slt//hyaB//mntP//phoE//narI//ilvE//torA//fldA//dkgB//yccA//uidB//sbmA//nrdD//fhuC//evgS//ydhV//degP//sodA//dcuB//cusA//galP//uhpA//grcA//yjiY//gatB//
LsrR	udp//ygiA//paaG//sbcD//hybC//tktB//nrfE//metB//nuoB//
MalT-ADP-Maltotriose	yiaO//gspE//ycjX//yhjC//yqjA//treC//argP//hycC//fadL//adiC//
MalT-Maltotriose-ATP	puuC//ldtB//aroA//feaR//flhC//gspO//betT//iclR//artI//glmY//
MelR-Melibiose	dadA//entF//cusA//
MetJ-S-adenosylmethionine	idnR//cysH//napD//dapD//gutQ//prmC//tonB//sucC//ssuC//hslJ//pgpC//fes//lysC//marA//gutQ//
MetR-L-homocysteine	slt//argG//crr//purB//hypA//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]	zntA//cueO//argO//puuE//hpt//cheW//
MhpR-3HPP	psiE//cheA//glgA//araE//dppF//dctA//
MntR-Cd2+	pdhR//fadB//glgB//glnK//acrF//
ModE-MoO42-	glnG//yfaE//hyfJ//arcZ//livF//hycC//glpQ//bamE//rrsE//tdcF//katE//glgP//ansB//trpC//rutD//livJ//rprA//argA//tdcB//tehB//ygbA//rplM//micF//ugpQ//mepH//fecI//serA//ydhW//mdtA//phnJ//lysU//ubiC//metE//yeiB//mltC//cas2//tauC//astB//thrS//arcA//spf//pstB//melA//yoaC//napF//rpsF//
NarL-Phosphorylated	guaB//malY//mglC//hycI//hisQ//manZ//trmD//rhaA//exbB//gyrA//atoA//hflD//araF//hypC//yfbR//deoA//cynT//ydhT//livF//tnaA//lysO//lamB//murQ//amiB//livM//hisQ//tauB//dmsA//rpsP//fadL//tdcG//rplW//puuA//appB//nuoN//nagA//cas2//purC//dgcZ//sroD//tauB//nrfF//baeS//ssuC//glnK//mdh//gadC//ychO//ychH//argT//creC//grcA//cusS//sufC//glrR//nagC//gspM//mntH//fucR//speC//rybB//fadA//hyaE//ccmG//hofC//bioF//rstB//cysJ//napA//trpR//map//exbB//rutE//yiaK//ccmH//leuE//purR//oxyR//purA//ompA//mgtA//acnA//dapD//ccmC//ynfG//prpC//rrfC//hisQ//nuoH//tnaB//paaJ//qseC//uhpT//csgF//modB//tauC//uxuR//uhpT//purE//glpG//yiaK//hha//yedX//entD//entD//metI//rbsB//nuoA//fecI//chiP//ulaE//lolB//caiC//idnK//gspD//nuoB//serA//ppiA//lldD//hyfF//fdnG//fepD//csgE//feoA//betB//
NarP-Phosphorylated	ynfH//rrfB//yfdV//gntU//soxS//mdtB//fdnH//gspG//tdcG//glrR//stpA//adhE//purH//astE//araA//rrfA//glnB//ptsH//idnO//mpl//hdeD//dcuB//nikE//feaB//hyfB//ptsG//mhpB//mtlD//paaA//dppA//yeiP//aroH//cysK//nanC//nusA//hybE//thrV//phnC//fbaA//ompA//casD//mltC//ilvG_2//mglC//oppC//sdhD//purR//dcuD//fhuC//fecA//
NhaR-Na+	livM//ydiU//appY//azuC//garK//bglB//phnP//
NikR-Cd2+	astC//fadB//yeiB//pgaB//hybC//napD//
NikR-Co2+	tktB//bglF//malG//cusS//gntX//idnO//
NikR-Cu2+	nfuA//gatC//yaeP//yiaM//cynT//rhaS//
NikR-Ni2+	lacA//ldtB//fucA//bamE//ynfE//proP//
NikR-Zn2+	araA//fadH//tsx//gltT//gspI//glpA//
NrdR-ATP	purH//amtB//fucR//malX//ygeH//glpQ//psiF//appX//tdh//
NrdR-Zn2+	aroA//narI//moeA//uxuA//moaD//rplI//ubiA//idnT//fliA//
NrdR-dATP	rrlB//glcF//soxS//hyfI//garP//astB//nuoJ//rplC//oppF//
NsrR-[2Fe-2S]reduced	rplI//gltB//sdhB//mtlA//tyrA//napD//cyoB//galK//yaeP//gspI//gapA//rutE//napB//tauB//cysK//pitA//cadB//dsdX//cadA//nuoN//chbF//nuoA//rnhB//nrdF//fliA//sdaA//napC//hdeD//nikE//nuoC//moaD//codB//mtlD//cusR//rstB//lysU//borD//metY//treB//cadC//rhaA//katG//yeiL//phnF//narJ//argG//exbD//nuoN//cysG//acnB//skp//cysH//ygbA//napG//hybF//hyfC//ccmH//alaV//cynX//fadE//fucO//ilvD//casE//mntS//phnG//hyfG//purK//ygiB//proP//chbA//rseA//trpL//focA//
PhoB-Phosphorylated	deoB//ansB//gltU//nrfE//argI//nrdG//phnM//lldD//phnL//csgB//tdcA//nanT//narG//yggX//cysD//phoP//lolB//hypB//aceE//focB//artJ//uidA//dusB//rutB//ynfK//gspJ//phoR//sufA//pgaC//ugpE//rimM//hfq//phoR//csgA//uxuB//yiaN//ileT//gpmA//cydD//nikD//ulaE//cadB//creC//ilvN//prpB//argT//cusF//tsgA//metY//gltD//nuoM//metY//rplV//agaV//napB//bcsB//ascB//cspD//fumC//csgD//rpoE//
PhoP-Phosphorylated	cynS//glgX//gatB//fdnI//uidC//sodA//slyB//yaeP//sufE//acrD//mdtC//gntX//cysD//uhpT//ydhV//yecR//rbfA//znuB//nrdB//speC//grpE//dusB//rpsR//safA//ompW//fecD//hfq//ybfN//grxC//fucO//hflK//ndh//tyrP//glgX//ilvH//yccA//livK//fepC//yfaE//fimC//gntU//phoP//cydD//phnI//rpsP//fixX//infB//entF//sufE//cas2//gltB//feoA//glnD//entC//galK//bioD//deoD//
PrpR-2-methylcitrate	yeaD//rrlB//rnpB//argP//argB//
PurR-Guanine	hycE//mntH//nikE//ygaC//gltD//astA//aroH//rpoS//lyxK//uraA//dctA//caiE//tsaE//phnN//lysC//uof//ryhB//puuP//nupC//rrfF//nikD//comR//ung//ybiT//pgaD//flhC//argG//gspE//dsdC//talA//tomB//rpsR//hdeB//glcG//
PurR-Hypoxanthine	abgT//zinT//dapD//rrsC//psd//safA//cydD//nuoJ//phnF//bioF//nirB//hybA//grxC//phoQ//napC//yccA//allC//nikR//yeiP//phnL//gabT//paaJ//iscU//rpsO//trpA//aceA//yhcH//pck//arcA//rbsD//sdhC//mglC//uof//ssb//
QseB-Phosphorylated	fumC//fimA//xdhA//hyfB//
RhaR-L-rhamnose	treR//uhpB//
RhaS-L-rhamnose	nikR//deoC//argI//envZ//malP//ynfE//
RstA-Phosphorylated	chiP//ydeO//idnK//rrsC//glcD//rrfF//bioF//baeR//araG//aceA//
SoxR-[2Fe-2S]3+ oxydized	kbaZ//yegH//pflB//rrfH//
TorR-Phosphorylated	tam//glpR//hyaE//rrlB//argD//nikC//cpxR//grcA//actP//rpoE//
TrpR-Tryptophan	rbsR//metB//yqjA//talA//napF//zraP//appB//nlpE//rrlD//rpsF//appX//bioB//
TyrR-L-tryptophan	gspO//phnC//pgpC//gltF//casC//sbcC//xapA//rbsD//astE//yedX//garR//cpxR//trpD//astC//
TyrR-Phenylalanine	dmsC//gltV//ssb//puuP//sdhB//gltD//puuE//ampD//aroL//sucB//cpdB//ybdZ//cysU//rnlA//
TyrR-Tyrosine	lldP//glpA//appB//nrdB//moaB//caiF//abgT//gatY//hycE//gapA//caiC//rplB//uhpA//argH//
UhpA-Phosphorylated	mepH//
XapR-xanthosine	fucI//glpX//
XylR-Xylose	cynX//fecD//rpsP//exbB//gatY//yfaE//
ZntR-Cd2+	sdhB//
ZntR-Hg	osmC//
ZntR-Zn2+	yeiB//
ZraR-Phosphorylated	argF//pitA//yciW//
Zur-Zn2+	ilvD//rnpB//folA//xapA//fabZ//ptsH//
