#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	mdh//lsrR//ompT//dppF//
Fur-Mn2+	pgaB//aidB//cysM//xylG//napD//treB//yedX//aceK//ychO//dkgB//yneM//astB//nuoG//ilvA//ampE//malZ//cyoD//ilvG_1//pstA//ilvN//aer//lacI//cirA//betI//cysN//metE//hpt//amtB//yfdX//sgbE//trpE//narH//csgE//rrlC//creA//tolC//evgS//erpA//cusF//nrdI//ptsH//guaB//atoA//yaiW//phoQ//artP//cysK//gntK//bioD//feoB//caiB//hybD//rrsG//gltA//hyaF//hyfA//appY//sufE//rmf//soxS//agaW//hyfG//astA//lysA//nuoF//treR//nuoB//ccmD//sufS//trpR//ompT//betA//oppB//zwf//citF//rrfH//araD//eda//fumA//hha//nrdG//araJ//xdhC//artQ//dapB//hupA//pstA//hyfF//qseC//sodA//ynfE//acnB//casA//bacA//abgA//ilvL//uxaC//allC//yeiP//amn//gspD//appC//rrlC//preA//cysP//aceE//treB//rutD//nagC//ydhT//evgA//mgrR//cdd//argB//prfA//malS//ompT//lpxB//ilvG_2//gyrA//rpoS//glmY//appA//nagC//hisM//hpt//dnaE//yedX//nrdD//nlpE//rhaD//gspL//rplS//puuE//yidQ//ybdZ//rrlG//galS//ugpE//hycG//
GlcC-Acetate	arfB//citE//ccmG//ispE//chbB//livH//fepG//
GlcC-Glycolate	aer//grcA//napB//gatA//rbsC//psiE//aceE//
GlrR-Pasp56	trpA//
IclR-pyruvate	mtlD//mtlR//rhaD//aidB//
IdnR-5-ketogluconate	malZ//ptsG//ccmE//nuoJ//pheS//raiA//csgG//tyrB//
IdnR-Idonate	livF//ispE//glnD//alkA//exbD//phoR//adiC//purF//
IlvY-2-acetolactate	ychH//gabD//
IlvY-Alfa-acetohydroxybutirate	napB//glcF//
IscR-[2Fe-2S]1+	dpiB//pgpC//yegH//nuoN//yjeV//fumA//cheY//adiC//citG//tap//atoD//ccmA//hyfD//glgX//ydeM//paaG//putP//rrfA//galE//ilvG_1//glnL//glgP//entH//aspA//hisM//ugpA//bcsB//znuC//oppF//yeiP//feaB//edd//malE//cysA//dmsD//torC//fumA//ivbL//narX//aaeA//paaE//
LldR-L-lactate	glnA//acnA//fur//
Lrp-Leucine	hcr//ahpC//mdh//baeR//rimP//malX//codB//qseC//aidB//hybB//idnO//lsrR//serA//gcvT//metB//metY//hyfA//glpK//rseC//psiE//araG//tdcB//phoR//fdhF//rplT//nuoB//gltD//tfaQ//sohB//astB//metY//hflK//ydbD//uidB//yegZ//ppiA//feoA//edd//glpT//yeiL//glpQ//moeB//dctA//yhiD//nrfA//cysW//gntT//icd//glcE//tauD//comR//tsgA//rrsB//ulaB//cytR//ugpC//ilvI//pncB//dmsA//cusF//ilvE//casC//lldD//gntP//nirB//bioB//fecA//hdeA//phnI//chiP//spy//phnC//purK//nhaA//alkA//araG//xapB//edd//pflB//glpX//ccmE//artI//spf//efeU_2//fes//dppD//hycA//ydhW//yegR//rhaS//hupA//tadA//ydfN//raiA//mscM//fhuB//phnM//acs//hybD//cydB//hisM//creC//cyoC//yfdX//argB//galS//
LsrR	torC//tyrR//trpE//gutM//galM//uhpB//serC//yedX//uidC//
MalT-ADP-Maltotriose	gltT//ygeA//prs//moaA//fadJ//gpmA//paaI//araA//epd//entH//
MalT-Maltotriose-ATP	gspJ//nikD//sucD//ptsI//ackA//araJ//galK//fhuD//rcnA//yhhY//
MelR-Melibiose	ydeM//argD//sufA//
MetJ-S-adenosylmethionine	cas1//gatY//mgrR//gatC//focB//lysP//yfbR//uof//purE//gspE//pgaA//fixA//acrF//hyfB//iclR//
MetR-L-homocysteine	ccmA//fixC//lldD//deoC//ada//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]	rplS//aer//nrfG//ogt//feoB//citC//
MhpR-3HPP	dcuA//glpA//yaiA//csgE//chbR//phnN//
MntR-Cd2+	abgB//mltC//ynfK//argB//trpR//
ModE-MoO42-	fimD//puuC//erpA//dsbA//cydB//lpd//amtB//rbfA//yqjI//dmsA//alkB//cheR//sdhA//modC//hcr//dusB//cusR//tnaA//allE//aroG//dsdX//chbA//pstC//gltD//lsrK//rrsC//aaeB//marB//aidB//pstS//marA//phoE//tauD//lsrF//argC//glpX//focB//patZ//bacA//betI//ascF//bioC//livJ//trpD//hpt//raiA//
NarL-Phosphorylated	hofM//tpx//alaU//rnlB//gspC//glcG//rrlD//cysH//tnaB//atoE//rrlH//nrdG//glgB//xapA//casA//cheZ//cadC//ccmD//cusF//artM//sufD//rrfC//araA//ahpF//trpR//ihfA//evgS//dpiB//rrlE//fixX//ampD//tktB//pstS//dadA//glpT//lamB//glpG//treC//hypB//abgB//agaW//hyfD//umpH//folA//dsbA//aidB//pheT//paaF//allE//narL//cysB//cynT//metQ//ompW//caiD//gatC//degP//nohA//phnG//iraD//frc//mcaS//alkA//gntR//glcB//codB//paaZ//cusF//rbsB//metE//caiF//nikR//rrsH//fucK//aroA//caiB//efeU_1//ung//rpoS//malZ//ugpQ//lsrK//sdaA//rpsR//rutB//phoU//nagA//fepC//allD//ygaC//crr//mutY//napC//motA//gyrA//metH//dsdX//psiE//guaA//hyfH//caiT//gcvP//znuC//ytfE//rrlB//mdtC//dcuB//fadB//hyfJ//ybdN//rseA//secB//cusS//narJ//lpxA//ygeH//ssuB//prpC//cspD//manZ//hyfH//cheB//ftnB//rrsB//ykgR//
NarP-Phosphorylated	mgtL//fucA//fadI//paaA//ompF//artI//ldtC//pitA//mglB//mltC//rseB//mdtB//entF//cdd//hyfE//gltU//yaeQ//gspL//cysI//gatD//ygeH//moaB//ytfE//nrdI//rbsK//katE//artJ//fecD//cydA//ydhV//galK//rnlB//bdcA//hyfA//paaK//uxuA//ndh//atoB//ytfE//araJ//pheS//fucR//nusA//hypA//efeU_1//casB//metK//tadA//pstS//modC//
NhaR-Na+	nlpD//pheT//puuB//fdnI//yegH//gcvH//trpB//
NikR-Cd2+	cvpA//lsrK//trpC//oxyR//malI//crr//
NikR-Co2+	pta//upp//phnM//cheZ//nanE//nrdA//
NikR-Cu2+	casC//rrlG//phoB//hybF//tcyJ//glpG//
NikR-Ni2+	artI//uxaC//amtB//znuC//fliA//sodB//
NikR-Zn2+	nhaR//oppC//yeaR//argH//tcyJ//guaB//
NrdR-ATP	entB//pgaC//alaT//mhpR//fepA//entF//paaF//map//hybD//
NrdR-Zn2+	malY//cheB//paaC//udp//lhgO//metE//uxuR//nrfB//nrdA//
NrdR-dATP	pncB//srlA//malP//glpK//edd//rcnA//rbsR//chiP//lpxB//
NsrR-[2Fe-2S]reduced	cysJ//rhaR//pnp//xapA//puuE//malK//phoA//ilvC//purF//galT//glcD//cysD//hyfE//purM//rnpB//cadB//cueO//yqaE//gatB//fimD//galP//pdhR//glmY//tdcE//dcuA//pflB//ynfE//melA//lysO//metY//fadE//rseC//glcF//ydfN//purF//nrdE//pdhR//astE//nanA//speC//ycdZ//glgC//murQ//abgA//araJ//motB//ppiD//fis//phnN//hybE//acrE//betB//fixX//ydeO//ybdN//trpA//efeU_2//fldA//trmD//ygeA//prpC//nohA//ppiA//cysN//yeiW//ydfN//cusB//infB//gspD//ilvE//truB//lpd//yqjA//
PhoB-Phosphorylated	narI//bioF//metF//nupC//gspK//uidC//narJ//yeiW//recF//fecR//acrF//nrdA//rrlA//argO//treR//aspA//puuE//lpxB//hybA//metA//rrfA//lysU//caiF//betI//ybdZ//cheZ//moaA//uhpC//rrfF//yfdX//napF//hlyE//ldtC//yedX//lacA//aroM//malE//atoE//bioC//ychO//ccmG//pstC//hflD//rnhB//hyfJ//gutQ//deoA//iscA//phoP//crl//astD//napH//livK//arfB//aroL//infC//hybE//gltU//ccmC//cheW//aaeX//
PhoP-Phosphorylated	fecI//fiu//nuoI//gntX//ilvL//yaeP//cyaR//gcvP//malY//fadI//fimG//pyrD//yegZ//lpd//purL//hdeA//ydeM//phoH//fepC//phnD//lysO//atoB//nrfB//hybF//crp//tap//osmY//cysP//rof//hofP//ilvA//csiE//speC//fucI//phnK//nuoI//baeR//ftnB//trpA//narK//xylF//fadH//tauB//prpC//aroL//nirD//fimE//pgpC//xapA//moaD//gspH//tauA//rpsQ//nirC//acs//sufD//moaA//
PrpR-2-methylcitrate	cusA//rplM//nuoG//flhC//rpoS//
PurR-Guanine	creD//fecD//garP//deoB//fixX//ybjG//ompC//dcuC//rof//ynfG//priB//ilvG_1//cadA//xdhB//lldD//hybO//sdhC//rutD//puuP//mtlD//upp//yccA//katE//azuC//preA//rrsC//gltT//rpsP//appB//metA//marA//bcsB//acrE//napC//
PurR-Hypoxanthine	pitA//uvrA//argI//psd//nanA//creA//hypE//ppdD//dadX//astA//phnE_1//sufC//ilvB//yjeF//mipA//lysU//caiF//fhuF//tolC//yedX//cyoC//nrdH//tyrP//malP//hyfF//cspE//yeaE//sucB//ubiA//trpA//mhpB//metR//yggX//ogt//
QseB-Phosphorylated	acnB//ssuC//csiD//creB//
RhaR-L-rhamnose	cyaA//rseC//
RhaS-L-rhamnose	mgtL//ansB//zntA//betT//pstS//fumA//
RstA-Phosphorylated	sdhB//lysP//manA//malS//edd//cbl//gspM//ubiG//mgrR//casB//
SoxR-[2Fe-2S]3+ oxydized	fucI//yeaR//hofO//cas2//
TorR-Phosphorylated	rutA//feaR//garK//uraA//nrdG//csgD//ynfG//rplM//casD//ygbA//
TrpR-Tryptophan	gabD//astA//srlR//trpE//putP//aceK//aldA//caiB//rcnB//nagE//glpT//malE//
TyrR-L-tryptophan	nrdA//livJ//yfdE//citD//rutG//nadC//abgT//uhpB//nadC//torA//hdeB//rhaS//gltA//napG//
TyrR-Phenylalanine	miaA//cra//livG//hycI//pgk//hydN//ssuD//rrsG//srlD//rhaS//gspK//nagC//nlpD//glpF//
TyrR-Tyrosine	hflK//cpdB//oppD//fliA//nusA//tdcA//rnpB//cra//tsr//ilvD//livK//fecR//oppF//dctA//
UhpA-Phosphorylated	garR//
XapR-xanthosine	mdtC//cyaA//
XylR-Xylose	purN//betI//tsx//nrdI//exuT//ydeN//
ZntR-Cd2+	marA//
ZntR-Hg	sdhB//
ZntR-Zn2+	metQ//
ZraR-Phosphorylated	tehA//narI//fimC//
Zur-Zn2+	rpsC//avtA//fucO//hemA//stpA//cysD//
