#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	aaeA//ilvX//glpD//cusS//
CynR-Cyanate	rbsK//nanK//sdhB//ulaE//
CysB-N-acetyl-L-serine	phnP//yeaD//ftnA//csgA//pstA//polA//hflC//comR//ytfE//idnD//entH//fhuA//nrfF//rutD//gatZ//paaB//iraD//hflX//glcB//phnK//pstA//rbfA//iclR//entH//fucP//hybF//nikD//lacI//hofP//yqjI//
CysB-O-acetyl-L-serine	rbsA//tyrP//phoH//araF//cpxA//zraS//oppD//phnL//gntU//galS//xylF//pflB//rpsC//infB//malF//metL//rbsD//astD//arcA//ygaC//malE//bioD//fepE//mglA//ung//actP//edd//artI//malI//ydhX//yqjI//
DcuR-Phosphorylated	glpA//melB//fdnG//cas1//dadA//gltD//ackA//tsr//cysM//
DnaA-ATP	yiaK//nrdB//rpoH//dsdC//hcr//tyrA//hyaE//nanE//yiaK//murP//nmpC//uxuR//
DpiA-Pasp	cpdB//prpD//yiaK//putP//nrfE//gcvH//rutE//entD//yhjA//rcnA//ccmB//
DsdC-D-serine	glpG//focB//oppB//
EvgA-Phosphorylated	evgA//bcsZ//rpsO//mglC//hyaF//purN//lysA//cvpA//malQ//purK//bioD//fldA//ybjG//hyfI//gltU//
FNR-[4Fe-4S]2+ reduced	srlA//dnaN//rutE//yaiW//ompC//ackA//astB//casC//feoC//pnp//tadA//lysO//cadC//nanE//hyfI//amtB//uof//rbsK//polA//fhuC//malP//rimP//hyfB//bcsC//hisJ//cyoB//metN//bioF//rrfD//tnaA//glnL//bioD//fadL//cynS//oxc//melR//idnR//ydeO//cysC//zinT//dkgB//nupG//lldR//hslJ//ulaF//paaK//cdd//borD//fecE//rrfB//fimH//ftnA//glnB//kbaZ//hofO//hycH//glnA//rplP//cyoE//marB//dnaE//phnM//ssuB//rpsJ//tsgA//hflC//moaD//cusB//hdeB//iscU//yojI//recF//nanT//treC//purB//fdhF//tyrA//nrdB//cysK//srlB//entS//appY//prpB//amiB//rplI//fepD//znuB//cra//aceE//melB//phoP//yqjH//lldR//malQ//melA//araC//cysD//ydiU//glgC//pstA//aceE//ptsH//cydD//puuA//yiaM//sufE//moaE//gntK//ubiG//glpT//ugpB//recF//hyfR//uhpC//tdcB//gcvT//rplC//cyoE//glpR//hupA//glpX//codB//mntP//melB//ssuD//yfdV//ybiT//psiF//yneM//kbaZ//nuoI//purM//fucR//napC//aceE//fucI//aroL//psd//hybG//mgtL//tyrR//tpx//gspL//codB//rpsF//sufS//sucA//ynfF//fixB//yfeW//psiE//gabP//sgbH//allC//frdB//fixA//fhuC//allE//fumB//slt//rstB//rbsD//entC//secB//hycF//dnaN//prpD//ccmD//torR//metI//gspJ//fdnI//skp//lpxB//iclR//alaU//metH//nanC//dcuR//fadH//tolC//cynX//ybfN//csgA//mgrR//rhaT//appX//glgP//nirD//znuC//cysJ//gltT//nanC//artM//rhaA//betB//actP//aaeX//garR//hyaB//casA//oppD//ampE//livM//manX//livF//hisJ//ulaD//dsdA//rpoE//narQ//infB//cysA//xylF//uxuB//cusB//glpA//crr//mgrR//emrY//malQ//caiA//nrfB//xylA//frdB//purF//nfuA//yjcH//arfB//hyaC//hflK//fepE//cyoA//malX//metI//rplM//nmpC//yjjZ//hybB//ilvE//araG//aroG//yiaK//cas2//evgA//fimC//cysM//trpD//dcuR//garK//phnC//mhpT//ccmD//nrfC//prpR//ascF//nuoB//bglB//lpd//aroF//tauD//citF//sufC//murQ//galE//aaeA//gapA//hypD//glgS//glpA//fdhF//ulaA//phoU//gntK//phnJ//cusR//psiE//cas1//marA//malS//znuA//yecR//frdD//sohB//lldP//nrdD//fimF//yhhY//csgA//phnO//rrfB//mhpR//frdC//hlyE//tdcB//amn//bdcA//yedX//bioC//gadB//cas1//grcA//recF//glcF//phnG//
FhlA-Formate	rbsD//casA//cysM//proP//cynT//ssrS//hycF//yjeF//gdhA//entD//srlB//tdcA//ugpQ//dpiA//narJ//arcZ//rplD//treR//hyfC//rmf//slyB//rhaR//ccmC//dmsA//aspA//gntR//ygiB//nfuA//frdA//speC//
FucR-L-fuculose-1-phosphate	ptsG//yjcH//araF//ccmB//ssuD//moaB//rrlA//
Fur-Fe2+	iscR//uof//cheB//safA//mdh//treB//cstA//pitA//appC//truB//creC//rplM//rrsE//rutE//uhpC//fabZ//fdhF//trpE//nrfB//fixX//hycA//yccA//metK//lsrF//malK//yhhY//ptsG//casC//fixC//ssuB//ptsI//modA//rhaB//dctA//nrdF//bioD//hofO//acrA//phoB//treC//tauA//speA//bamE//cvpA//cyaA//folE//rutB//hdeD//cyoE//cyoD//yccA//yiaN//ahpF//alkB//rplT//grpE//sxy//fixB//feoC//znuC//metH//tehA//ompC//puuE//rrsD//hofM//paaA//codB//metA//hypC//lsrR//narH//nirC//gadB//argE//ackA//fixA//evgA//araH//rrfD//sohB//gspL//nagE//malI//melR//uidA//cas2//malG//mutL//fimG//metF//argE//mhpE//malT//nuoM//appC//paaA//hybD//glcG//gspJ//hflD//fadJ//codA//emrY//ompW//ydhV//phoU//fdnI//hyaE//aspA//livK//agaA//moaD//cirA//osmY//dnaA//malP//hofO//pheS//fdhF//fnr//acnB//hypF//tdcC//znuA//stpA//dcuS//glgS//uraA//metY//sufS//phnN//ycjF//rplT//fimE//nuoB//trg//rybA//cyoA//narL//
Fur-Mn2+	abgB//aaeX//cdd//fixX//glpA//rrfH//ykgR//araE//qseB//rplT//sbcD//mntS//caiT//xdhC//murQ//purM//iscR//lysP//hemA//gatC//tolC//pgaA//pta//xylA//fepB//oxyR//xylR//galT//nmpC//prmC//glpC//argF//trpL//paaJ//ilvD//hisP//hflC//baeS//yqjA//hcr//ascB//avtA//livJ//fepA//glpE//paaE//iscA//carA//hisJ//glpF//rplD//rutB//astD//ynfE//mhpA//uhpA//iscR//fucI//lysA//cynT//cirA//ompX//treB//kbl//yfbR//pncB//glrR//glnA//ilvA//hyaF//zraP//ssb//ahpC//lacI//infB//nikA//hofM//mcaS//araG//tdcD//prfA//ppiD//zraP//cusS//lldP//uhpB//phnI//dmsB//rprA//cynS//glcE//nuoI//cysM//erpA//citC//metN//efeU_2//sdhC//malE//gabT//baeR//purH//xylG//bglG//trpE//rpoS//nrdD//dps//fliZ//bioA//phnM//rbsB//cydB//rrlD//yiaK//modC//uxuB//fadE//glgX//nuoF//nuoK//purR//srlE//nrfD//deoA//sohB//nrdH//narI//bioF//treC//hisQ//chbR//chbR//purR//cyoD//aceA//acrB//caiD//lacY//tonB//
GlcC-Acetate	hha//rrfE//pgk//yjiY//trxA//ychO//rnpB//
GlcC-Glycolate	yeaD//idnR//cyaA//copA//hofC//ascB//psiE//
GlrR-Pasp56	artJ//
IclR-pyruvate	rplD//ppiA//pyrD//fepC//
IdnR-5-ketogluconate	spy//hofC//ispE//dnaN//sroD//tap//tauC//yccA//
IdnR-Idonate	pflB//lldR//mntP//csgF//rof//nanM//gcvP//rplI//
IlvY-2-acetolactate	rutA//bacA//
IlvY-Alfa-acetohydroxybutirate	lsrB//fimI//
IscR-[2Fe-2S]1+	melR//phnL//yeiL//aroF//ilvG_2//phnM//ugpE//fes//nohA//ndh//infB//melB//ompT//oxyR//artI//uidB//fepE//phnN//acnA//cyoA//ydhT//glpG//cspD//prpD//yeiB//guaB//glpR//fixX//appA//flhC//sucC//glnL//nrdA//ahpC//exbD//galM//argB//bacA//phnG//cysA//gutQ//
LldR-L-lactate	csgD//dapB//aaeX//
Lrp-Leucine	azuC//rplC//nrfA//yfbR//ulaB//pyrD//lysC//appA//zntA//pncB//nuoK//nmpC//rstB//metY//nrdD//tam//fhuD//tdcF//caiE//sdhA//araF//pgk//garL//mgtL//lsrR//livM//casC//ybjG//nuoB//rrfA//gabP//rbfA//tehA//dusB//allD//ybdZ//ung//ssrS//rstB//hybA//hyfR//rplW//metC//yeiP//xylB//entD//betA//cyaA//ulaB//yecR//puuC//hyfH//hisM//fucU//comR//entC//galT//pgpC//ilvY//frdC//tomB//fimF//napA//nagE//fhuC//fecE//spf//ilvH//cyaR//gspF//speA//zinT//dusB//garR//talA//fbaA//lacA//narX//tyrB//xylR//yibN//yqjI//gcvP//bcsC//rutD//xylH//fbaA//ydbD//nanE//tonB//hupB//phoE//fumB//betB//sroD//rimP//xseA//hupA//ssuE//hycC//gatD//osmY//mlc//stpA//cyoE//gspD//
LsrR	acrD//mutL//bioA//trpB//gltW//purH//arcZ//metY//astA//
MalT-ADP-Maltotriose	yfeW//glnB//ompA//ssuB//malM//mutL//bioC//sbmA//hycF//rnlB//
MalT-Maltotriose-ATP	fixC//modB//yhfA//glnL//lsrC//creC//cirA//hybA//fucO//glcD//
MelR-Melibiose	cadC//idnO//xdhC//
MetJ-S-adenosylmethionine	fhuD//nrfF//slt//paaF//casA//tnaA//treC//envY//pnp//uhpT//ycjX//melB//frdC//dppB//yfeW//
MetR-L-homocysteine	nuoA//hybC//gspG//lacZ//tdcD//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]	fucK//ilvE//zraS//csiD//chbR//bcsB//
MhpR-3HPP	hyfA//rrlA//modB//fadJ//pyrC//idnD//
MntR-Cd2+	araF//yaiA//purL//caiD//deoA//
ModE-MoO42-	rybA//osmC//glpT//aaeA//rnlA//tdcG//alaV//nhaR//crr//fimE//mntP//ileU//rrlE//ulaC//hyaF//modB//dsdA//mipA//paaH//ptsI//nagC//rplM//rplI//nhaR//fecC//ccmE//dpiB//glpF//fabZ//narX//gdhA//gspO//ybiT//feaB//fes//dnaA//rutB//idnD//gutM//rplM//yeiW//glcA//dppA//csgE//upp//psd//
NarL-Phosphorylated	lysP//psd//uxaC//cyoB//glcF//srlD//dppD//fucO//rpsQ//yhjA//purH//safA//aroM//cyaR//tyrA//tnaA//srlD//mtlR//gcvP//xylF//modA//cas1//actP//phnM//yaiA//gntK//glpX//casD//oppC//ccmC//cpxR//csgF//ybjG//rpoE//mscM//gatA//glpE//glcA//tolC//acrB//mglA//fldA//fucU//nrfF//dmsA//xylB//argF//lyxK//tfaQ//napA//gatD//frdC//dmsA//purA//yhjC//grcA//grxD//narK//betB//yfbR//bioD//caiF//dgcZ//dusB//mutY//ppiD//gspO//hisM//nirD//metC//nhaA//gltA//hybB//nuoA//creB//mgtA//psd//baeS//malM//kbl//metQ//entF//livH//qseC//abgB//livJ//ygiB//borD//paaD//spy//pheT//napG//murP//actP//hofB//ptsH//dsdX//yhjC//norW//argH//map//mglA//glcG//sufC//ivbL//nrfB//pnp//lacA//mhpT//frc//alaV//rpsR//modB//azuC//trpA//dppC//rnhB//dcuD//rbsK//nirB//bioB//hybB//tnaC//uxuA//cspD//
NarP-Phosphorylated	nikE//lsrA//hycB//hyaC//cstA//tdcG//rrfD//ilvE//cysW//lsrD//ytfE//rseB//motB//gspL//phoA//rrfA//hslJ//ygeA//nusA//hupA//argC//lhgO//tonB//fadD//malG//ppiA//nuoI//rrlB//creC//paaD//focB//ycjF//adhE//hyfC//appA//ndh//artI//tfaQ//zraR//dmsC//fadA//trpA//creA//metN//grpE//hflC//yojI//csgE//galE//livH//
NhaR-Na+	hofC//gspO//metJ//metF//fucK//uhpB//bcsZ//
NikR-Cd2+	alaV//marA//mlc//gntU//ynfF//evgA//
NikR-Co2+	baeS//ulaB//dmsA//fes//csiD//nrdE//
NikR-Cu2+	melA//fixX//alaT//metY//phnP//glcA//
NikR-Ni2+	creA//rstA//ydeP//napF//cra//gcvP//
NikR-Zn2+	ykgO//yoaC//nuoE//rpsQ//adhE//fliA//
NrdR-ATP	bamA//torR//ugpA//yhjA//uxuR//upp//ompF//dppA//citF//
NrdR-Zn2+	metQ//fixA//hyfJ//rseB//fimG//lolB//amtB//fumA//ugpC//
NrdR-dATP	cusC//yfaE//frdA//ompA//glpB//zraP//erpA//trpR//mhpR//
NsrR-[2Fe-2S]reduced	speB//rbfA//udp//hypE//nikC//carB//ppiA//hdeA//rimM//tdh//cas2//icd//moaC//aceA//xylR//cyoE//hycD//fimC//katE//efeU_1//alaV//phoQ//cysJ//dcuS//cydC//mutL//prpB//entC//nirD//xylR//gltU//dnaN//lsrK//allD//caiE//ackA//tauB//tauB//metQ//rnhB//purK//mdtB//gabP//hyaE//acnB//tehA//yeaR//fucU//rbsK//ynfG//yiaJ//argG//puuR//hyfE//glrR//ompR//dsdA//osmC//garP//iraD//aroP//araE//betA//frdB//treB//uidC//livK//mntP//yjjZ//yiaN//cyoD//sufB//xdhB//
PhoB-Phosphorylated	alaS//ptsI//pyrD//rrsH//cheZ//gspM//paaI//pgaD//frc//ychO//glcG//rseA//mntS//glmY//fimG//betT//fecA//glrR//gltU//psiF//ykgR//fiu//gltW//sdhD//rpsC//cyoE//nrfE//mgrB//hcp//yoaG//lsrR//ydeJ//srlB//galS//ilvG_2//codB//ybdN//deoD//bcsA//ycdZ//rrlB//phnC//rutE//malF//fecC//fecC//infB//ilvH//phoU//ompR//galE//idnD//alaU//entC//preT//malK//cirA//prpD//dmsC//ybjG//flhD//
PhoP-Phosphorylated	betI//glpT//gspK//argE//nanM//dsdA//glgP//oppA//rbsR//caiF//yciW//kbl//speB//polA//paaG//kbl//livH//mgrR//rybB//chbR//cvpA//pheT//hycB//rrsC//iraD//fimH//tyrB//yciW//bioF//cyoA//deoB//citF//phoU//flhC//cyoC//ssrS//spf//hycI//exbB//bdcA//mgtL//fadJ//cydB//csgB//ilvG_1//yiaM//gspK//cas1//ppiD//iscU//rpoS//pitB//glgB//caiC//artQ//moeA//sodB//
PrpR-2-methylcitrate	gspO//oxyR//rutF//fecA//feoA//
PurR-Guanine	gpsA//rpsF//glpB//frc//gspH//ilvM//nrdA//tdcC//rhaA//aer//purB//yeiB//cysJ//glnD//fepE//nlpE//trpB//rrsD//hlyE//nirD//cspD//nanS//gpsA//hycF//modA//aaeB//gntT//pstA//sdhC//ulaA//marB//iraM//tam//rhaT//
PurR-Hypoxanthine	puuP//iraM//purD//cusR//fhuF//argG//yfdX//araA//ptsI//gcvP//mutY//rrlE//hyfD//chbF//nirB//livM//agaA//paaF//avtA//cyoA//torR//rrlH//znuB//yiaL//zinT//rpoH//hyfR//ompR//rof//aspC//ccmB//glgP//xdhB//grxC//
QseB-Phosphorylated	paaJ//grxC//exbD//caiA//
RhaR-L-rhamnose	aroH//ygaC//
RhaS-L-rhamnose	metR//yhjC//ilvE//acs//betT//allC//
RstA-Phosphorylated	aroM//araB//tsx//grxD//azuC//fucA//ugpC//phnD//ssb//mgrR//
SoxR-[2Fe-2S]3+ oxydized	gcvH//gnd//cydA//phoQ//
TorR-Phosphorylated	creA//purL//nadC//xapB//cstA//nuoM//yqaE//hypA//trmD//narI//
TrpR-Tryptophan	nrdA//fnr//glnL//nlpD//lacZ//mglA//fecA//glcE//gatC//yeaE//lsrA//psd//
TyrR-L-tryptophan	ilvY//fadI//dmsA//exbB//mpl//emrK//yfdX//sohB//galT//nikD//ascB//astD//pnp//fadB//
TyrR-Phenylalanine	pgaC//pgaB//gntT//trpA//cyoE//puuA//metR//cysA//iclR//gyrA//glcC//xylF//ygaC//tnaB//
TyrR-Tyrosine	frdD//micF//glcC//hyfA//nanK//aceE//idnD//serA//ydeP//rcnA//yfaE//rpsQ//nrdH//rrsB//
UhpA-Phosphorylated	gltF//
XapR-xanthosine	rnhB//srlB//
XylR-Xylose	glpX//nuoN//cheW//ulaD//csgB//nirC//
ZntR-Cd2+	bdcA//
ZntR-Hg	tnaC//
ZntR-Zn2+	ssrS//
ZraR-Phosphorylated	moaB//comR//hemL//
Zur-Zn2+	rnlA//ampD//betA//cheZ//ackA//cspD//
