#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	fepD//alaA//rseC//rseB//
ChbR-Monoacetylchitobiose-6P	ileU//gltD//alkB//ppiA//tar//hydN//
CpxR-Phosphorylated	narH//manZ//ftnA//ompA//degP//glgA//casD//ydbD//hyaA//nrfF//phnN//fhuA//entC//purL//alkB//paaA//dppF//prpE//yegR//gcvH//dnaA//tauC//deoD//purE//dppF//ubiC//napA//fadL//hyaF//ulaB//purR//purK//fhlA//argO//thrV//rpsI//cysW//nrfG//gatA//fepA//mglC//phnG//trpC//yhhY//raiA//malZ//yjcH//malE//ppdD//fucP//csgB//ccmB//araB//umpH//ycdZ//ivbL//nuoM//casE//phoE//pheT//metA//fbaA//ydhY//ytfE//deoA//tnaC//polA//tauC//rplB//
CreB-Phosphorylated	cas2//gadC//kbl//tnaB//mglB//rrfF//rrfF//mltC//malT//
CueR-Ag	alaA//fucR//metF//cysW//norW//argR//agaV//
CueR-Cu+	cysD//epd//hybA//uhpB//hisJ//prmC//ilvY//
CuerR-Au	lacZ//nikD//dcuC//emrK//infB//avtA//hisJ//
CusR-Pasp	ogt//pagP//ccmB//gspH//atoB//katE//phnG//rmf//exuT//fecI//gspF//ygeH//
CynR-Cyanate	tsr//cueO//mcaS//puuE//
CysB-N-acetyl-L-serine	micF//chbA//glpD//rcnB//moaE//napG//cysH//atoD//fucP//xylR//lsrC//gabD//fecR//fecB//fimD//emrY//cheR//hslJ//tdcA//emrK//cynS//baeR//ugpQ//gntR//caiA//exuT//srlE//yeaE//exbD//amiB//
CysB-O-acetyl-L-serine	napH//infC//sucD//fecA//purD//pyrC//argG//ileV//citC//rutA//narL//nuoH//uhpC//mtlA//ydeM//tcyJ//motA//araE//acnA//artM//lsrD//crp//phoU//katG//xdhA//ilvH//ydhT//ygeA//bdcA//phnI//fadJ//
DcuR-Phosphorylated	hyaA//nanS//mhpC//glpC//ompR//sdhC//hypA//agaW//ileT//
DnaA-ATP	napA//gdhA//nrdI//aer//ugpC//hflD//nikC//arfB//cyoC//tdcA//cspD//mntH//
DpiA-Pasp	lsrF//lyxK//fimD//bcsA//yoaG//mtr//mgtL//oppA//gspI//dppB//carB//
DsdC-D-serine	yeiL//fucU//lsrC//
EvgA-Phosphorylated	mtlD//rrlC//lysO//patZ//galM//rrlE//rutG//purN//bioF//zraS//lsrG//mzrA//alaA//ydfN//hflK//
FNR-[4Fe-4S]2+ reduced	nanC//rhaR//bioD//efeU_2//fecA//gspO//betI//cheW//oppD//trg//pdhR//cydA//dsdX//hyfI//znuB//narJ//uraA//idnR//ccmE//hflK//bglG//pdhR//mtlR//ssb//fimG//purA//ybdN//ppdD//fimG//fimC//katE//eda//aceE//uhpC//deoD//sdhA//rutA//narG//phnK//entS//yegZ//crr//rutG//phnJ//sucC//cydA//hisQ//caiB//ccmG//pta//evgA//nagB//abgT//napC//acs//ykgO//oppA//gspI//idnD//moaB//mscM//cspE//araB//truB//uidA//acrF//acs//hslJ//prpR//yqjH//cyoA//yiaL//pncB//malS//dadA//atoD//speB//fliA//trmD//metN//mzrA//puuA//hypC//mdtA//fucO//pgk//oppC//fes//znuA//lpxB//sdaA//mhpR//ynfK//miaA//yggX//borD//ccmD//manA//nagB//ssb//oppA//gpsA//cytR//preT//tap//ynfK//edd//hypE//gcd//yeaR//mepH//mglB//gdhA//yfeW//hslJ//zinT//preA//prmC//rpsP//paaC//ygiC//fhuA//flhD//hyfE//glpG//ssrS//hycE//csiE//mhpE//emrY//lldP//argI//narI//ybjG//rybA//zntA//rplV//rrsB//mutL//mglC//dadA//guaB//fixC//pitA//uxaB//lsrK//gatZ//mtr//yebE//argD//ccmC//gspI//nuoN//yqaE//gntK//dgcZ//glgP//nanE//entA//znuC//fdnG//ydiU//ubiC//fdhF//rpsS//gspE//yiaO//csgD//actP//iclR//bcsB//gcvP//ugpQ//purE//torD//dcuC//hofC//gcd//nuoI//lysP//sucD//mgrR//nrdD//raiA//paaG//rrfB//rutD//pncB//treR//frdD//avtA//trmD//cheW//trxA//hycH//phnE_1//cadC//infB//ysgA//bcsA//phnG//hyfH//glrR//cysH//tcyJ//rpsR//lacY//acrA//garK//gspK//yfiP//mhpR//mglC//xdhA//glpR//eda//hisQ//torC//cadA//hyfJ//fimD//fucU//rrlB//glpF//mgtA//hyfH//rrsG//phnO//murQ//chbA//xylB//appB//ccmC//evgA//trxA//tdcE//ssb//aaeX//alaV//xylF//preA//sxy//adiC//crr//psiE//frdD//hycH//fiu//ilvA//tauC//rpsS//hybG//dnaN//acrE//paaH//napG//metB//rybB//paaE//purB//rutC//tdcF//mscM//phnG//nanK//uxaA//dsdA//ccmF//hyfR//gutM//uidB//mntP//yojI//creD//oppD//hyfJ//uxuR//fadH//iscA//gspE//argF//edd//nmpC//umpH//fucA//ynfE//rdoA//malK//yeiW//hybO//priB//galS//hisJ//zwf//betA//gltT//upp//yebE//lolB//astD//fdnI//motB//yojI//entH//ilvI//
FhlA-Formate	rrfE//pstS//hisQ//tam//araE//ampD//adhE//murP//lacY//hofO//torA//rhaA//dppC//hflC//nlpD//gabT//zntA//tehA//pheM//ivbL//speC//gspK//acrB//phoH//dcuC//dadX//dps//rrsE//ldtC//ilvH//
FucR-L-fuculose-1-phosphate	lldR//appB//malY//sodA//appC//acrB//tehB//
Fur-Fe2+	rnlA//uhpA//glnL//lldP//nrfE//ppdD//glpD//csgE//agp//speA//nanE//gspD//betT//exbD//fepE//cusF//artP//pgk//chbB//ydhY//treB//ilvI//argD//caiA//cysM//infC//tyrA//amiB//katE//phoP//astA//entH//xylF//argB//pheM//sufD//ygeH//rrsC//ascF//nlpD//ygeH//prpC//efeU_2//alaA//yibN//hfq//rpsO//rpsO//nagA//ilvE//ileT//mdtB//aceB//yegZ//csgF//yrbL//hycD//entC//hflD//nirD//ydeP//srlR//rbsA//cysG//cyoD//ydfH//aceK//envY//ompW//fixB//fimD//nrdD//cra//tsgA//aaeX//chbG//caiF//paaB//rstA//ppdD//sucC//ykgM//ssb//zraS//nohA//yaeQ//tdcG//cusA//ccmA//bamA//csgF//yccA//bioF//nadC//ccmB//pgaC//rpoE//udp//alaA//cheB//osmY//fixC//paaZ//gatZ//hydN//acrD//galT//sucB//argT//fur//cusF//chbF//ulaC//yeiB//udp//ada//norW//ackA//kbl//rhaT//gcvT//iclR//amiB//gnd//stpA//fepD//astC//ampD//flhD//caiA//carB//torD//cstA//phnH//ung//speA//umpH//pck//argC//nrdD//
Fur-Mn2+	rrsH//betT//amiB//ynfG//xylR//cyoD//malQ//motA//gutQ//prs//casC//hmp//cusC//metY//znuA//pitB//torA//tdcB//oppB//carB//mtlD//rstB//rhaR//argG//nhaA//galP//cusS//gspD//pdeF//lpxA//csgC//torD//evgA//uidC//yqjH//hfq//hyfA//rrfE//cysH//lysA//torD//infB//metK//aroL//narI//talA//mglA//fucK//atoB//lpd//lyxK//rhaD//lysO//cysH//xseA//actP//yrbL//znuB//envZ//purE//fabZ//ydeP//aceA//emrK//yojI//lpxB//carB//pnp//garL//fepC//cirA//lysC//cyoD//rrsD//sbmA//hyaE//gcd//actP//rbsR//hmp//livJ//ilvG_2//yjjZ//acnA//melB//hpt//yhfA//mntP//dadX//bamA//nrfC//narQ//yfiP//livH//nrfD//tdh//avtA//paaH//entF//srlE//thrS//alkA//ugpC//avtA//metI//chbB//lysP//rrsA//ccmA//fabZ//entF//rplP//sbmA//marR//treB//purL//rutG//cheZ//nrdH//yoaC//aaeX//glcC//ynfK//tsr//ugpQ//moaE//melR//glcF//nrfD//metC//fnr//fadD//mtlR//gadC//rnlB//borD//galS//trmD//glgA//pnp//
GlcC-Acetate	malM//mtr//mtlA//cvpA//galK//yebE//nikA//
GlcC-Glycolate	mgrB//ygeH//aceE//phnL//exbD//rhaB//ssb//
GlrR-Pasp56	betT//
IclR-pyruvate	manZ//ispE//bglG//narL//
IdnR-5-ketogluconate	hofB//glpT//yeaR//metH//rybB//allD//rplW//manA//
IdnR-Idonate	argF//hybD//fixB//csiE//fecB//hyfG//melA//yfdX//
IlvY-2-acetolactate	cysC//udp//
IlvY-Alfa-acetohydroxybutirate	nuoA//rplV//
IscR-[2Fe-2S]1+	argO//narQ//kbaZ//lldP//fepE//envY//cysW//fumC//purD//malM//lysU//fbaA//narI//gspF//gcvT//xdhA//narI//ydhX//glpQ//norR//dgcZ//cadB//ompX//entS//yeaE//ccmE//trg//artP//allC//paaG//ynfE//cyaA//hdeB//uxuB//ssuC//mglC//sgbE//dmsD//dapD//hfq//cysG//
LldR-L-lactate	ugpC//melB//aer//
Lrp-Leucine	ydeP//xseA//csgA//thrS//rplS//thrV//fdnG//rrfE//fepD//gpmA//dkgB//purH//napB//tdcB//ynfE//gspH//hslJ//dadX//fepB//ivbL//efeU_2//chbF//psiF//modB//allC//acrA//emrY//mltC//rhaA//lysA//treB//rpoE//phnJ//argO//dppC//sufB//rpoE//guaA//nrdF//crr//modA//xylH//cysD//ccmF//upp//tsgA//bamE//aroA//fdnH//dcuS//mdtC//dppA//tpx//rpmI//ygeA//ygeH//pstB//nusA//csiD//rutA//efeU_2//fixC//ssuC//aroG//chbA//lysP//raiA//ascF//artJ//tfaQ//yeaD//fecA//ung//folA//ssrS//rnlB//citF//codA//chbA//frdC//appB//hisQ//rcnB//glmY//sucC//moaB//ychH//hdeD//fadH//ycdZ//cas2//atoD//pgaD//rrfB//glpE//comR//rstB//yjcH//purB//ccmC//ynfF//puuR//xapA//cysW//napC//casC//
LsrR	fiu//sodB//hofC//nuoI//phoR//zraS//yhhY//cynR//treB//
MalT-ADP-Maltotriose	bcsA//rrsB//hyfH//ccmB//csiE//hofO//agaA//rnpB//ydeJ//melR//
MalT-Maltotriose-ATP	yegR//ldtC//nirC//gatC//ftnA//citF//dkgB//glnA//iscA//ompR//
MelR-Melibiose	lpd//yfdX//mhpR//
MetJ-S-adenosylmethionine	tsr//guaA//amtB//hybO//yfdV//metI//degP//purL//ydeP//trmD//ilvN//dmsA//rbsC//sodB//pdhR//
MetR-L-homocysteine	glnD//rplP//melR//betT//fimD//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]	nrdD//nikC//pheS//nikD//dctA//lysP//
MhpR-3HPP	csgD//phoA//sohB//pgaD//hyfC//iscR//
MntR-Cd2+	caiB//ydeO//araC//narG//fhuB//
ModE-MoO42-	cyoD//ugpE//motB//katG//norV//abgB//ompW//gpsA//pitB//ileT//glnA//fadA//malS//fepE//hycC//phnG//ldtB//yeaE//ssb//puuD//gntK//gspE//frdC//astA//gltU//cynR//gltA//cysD//iraD//hlyE//acnB//caiD//phoA//eda//mgtA//pdhR//dcuR//yccA//pitA//nrfE//puuC//acs//ccmD//aceE//lpxD//umpH//
NarL-Phosphorylated	ydbD//hyfA//glpF//aroH//rimP//malG//dps//entE//pstS//ccmE//rprA//phnG//gltW//waaH//nuoN//uhpB//yfaE//artP//trg//argT//rbsK//nrdE//creC//rrsE//ampE//aaeA//patZ//ptsI//purM//glpF//ccmH//crr//manZ//iraD//norR//ssuE//rpmC//aroF//rhaT//glnG//thrS//hycB//pdhR//mgtA//pstC//gabD//dppB//casA//gspF//citG//cpdB//rplM//ynfH//aroG//metL//qseB//yibN//purD//lhgO//phnL//rseA//gntT//agaV//guaA//zraP//rdoA//alaS//aroL//trpD//ampD//fucP//fumA//ugpC//dmsC//tcyJ//pck//csgE//astE//puuA//cyoD//exbD//metY//ychH//yiaJ//exuT//hyfE//melR//tdcD//rpsJ//murP//allC//yjcH//aceK//moeB//xylR//moaB//astA//feoC//purK//nagB//ubiX//araE//araJ//mtlD//ndh//uhpB//fimH//gspD//cstA//dkgB//nhaR//ilvM//frdC//fhuE//pyrC//hybA//pepT//puuP//purR//sucB//hofO//ydhW//lsrG//cynS//lsrA//
NarP-Phosphorylated	rhaT//psd//glpG//rnhB//mhpR//crr//hypC//ybdZ//nrdD//nagB//cadC//cheR//polA//tyrB//ydfN//aaeA//tyrA//mhpR//borD//cysA//paaZ//gpsA//nuoH//iscU//casE//ftnA//paaD//mdh//ychO//hypD//paaZ//lacZ//glnL//gspL//hisQ//gcvH//argH//creA//nupG//pheT//sdhC//narQ//garK//ynfF//mhpT//metR//appA//cra//ybdZ//zraS//
NhaR-Na+	hycA//paaF//rcnA//lldD//argA//casD//pheT//
NikR-Cd2+	bcsA//tehB//rpmI//xseA//aaeA//nagE//
NikR-Co2+	aroH//cirA//hpt//marR//fepB//ulaB//
NikR-Cu2+	pdeF//rimP//azuC//bcsZ//creD//hypA//
NikR-Ni2+	phnC//hflD//chbG//phoB//nadC//ldtC//
NikR-Zn2+	glmY//yhiD//gcvH//csgG//ilvG_1//tsaE//
NrdR-ATP	ychO//fepA//hflX//nuoF//patZ//rpsS//xylB//fucU//cusB//
NrdR-Zn2+	gatD//ysgA//norW//tar//rpsO//iraM//pgaB//osmY//allE//
NrdR-dATP	hflD//norV//rseA//sbmC//ivbL//hycD//exbD//argB//gyrA//
NsrR-[2Fe-2S]reduced	ubiX//qseB//rrfB//feaR//dgcZ//rpoE//pgaA//astA//hyfH//rbsB//yhjA//tktB//rutE//tktB//aaeR//ulaB//nanA//chbG//ynfG//rrsG//mgrR//mglA//xdhA//glcE//slt//trpD//fepC//nuoB//rplW//rhaD//galP//dusB//mzrA//malX//agaA//pitB//mgrB//ssuD//pagP//purR//hycE//moaE//metF//cynR//cusB//rybA//crr//ahpC//frdB//yaiW//nagC//pagP//metQ//fucU//gatA//ccmB//fldA//nuoA//rrsG//prpD//norR//chbF//yrbL//pdeF//nrfC//paaF//fadL//feoC//agaW//yeiB//dsdX//fucU//carA//
PhoB-Phosphorylated	ygiA//ydhU//cpdB//ccmC//srlA//rbsC//garR//entB//rbsA//amtB//hha//feoB//purF//bhsA//araJ//nirC//lysA//sufD//gabT//nrdA//acnB//xylG//hyfR//uxaC//prpC//cynS//adhE//torC//rrsC//yfeW//cusS//ydiU//yqjA//dps//hybC//murP//nuoA//betT//prs//nirC//nirD//galM//yqaE//prfA//cheA//rrfC//rnpB//entC//sdhA//metI//glgP//phoQ//malM//rplC//hyfG//codA//hofB//rhaB//caiT//fadL//erpA//
PhoP-Phosphorylated	xylG//dadX//acrF//gltV//hofO//preA//ihfA//iscA//gntU//udp//spy//bcsB//puuR//frdC//alaT//lacA//tauA//soxS//yjiY//ygbA//proP//yebE//yfdE//preA//rrfB//nuoB//malK//ubiC//yiaN//glnL//glcC//adiC//nuoC//torR//infC//xylF//fliA//ansB//bhsA//tyrR//dadX//nagB//nuoG//purL//yhjC//agaW//glgC//ileV//araJ//mglC//nrdE//entC//purB//sgbU//gcvP//hycE//bglB//
PrpR-2-methylcitrate	tap//glnB//nupG//napA//uvrA//
PurR-Guanine	dpiA//dsbA//dppB//tehA//udp//pitB//creC//yaeQ//hflK//folE//kbl//ilvL//hycC//fhuF//lsrF//ubiA//cysC//artI//lsrB//ycjX//hfq//nagE//fucU//tyrP//nrdF//mgrB//glpG//aroP//folE//rbfA//grcA//yciW//prpB//lpxB//
PurR-Hypoxanthine	uidC//nuoC//araF//fumC//purH//rutA//lyxK//nirC//argE//yhfA//efeU_1//uvrA//ppdD//araH//nirB//hyfI//melR//hemA//cysW//fhuD//ybfN//hybE//avtA//aceB//exbB//nanE//yfdE//rnlB//gspE//agp//garL//treR//fixC//rrfG//
QseB-Phosphorylated	prs//phnC//leuE//ldtB//
RhaR-L-rhamnose	glpG//prpB//
RhaS-L-rhamnose	agaV//mntP//hofM//ndh//ompW//katG//
RstA-Phosphorylated	malI//acrB//rutF//rplV//lsrG//mdh//yecR//glgA//ybiT//sufA//
SoxR-[2Fe-2S]3+ oxydized	ydhV//hemL//hypA//hslJ//
TorR-Phosphorylated	folE//prpR//sdhA//galK//gntR//nmpC//phnC//ilvG_2//yedX//lpxB//
TrpR-Tryptophan	rbsA//rybB//ybfN//modB//glpA//hyfI//ybfN//yeiP//hypE//uxaA//caiD//pitB//
TyrR-L-tryptophan	ssuC//rplP//ompW//glcF//appB//ldtB//ygbA//uof//aroA//artM//osmC//glgS//nagE//hfq//
TyrR-Phenylalanine	dppD//appB//cpxR//hofM//puuB//mtlD//glpG//phnE_1//argA//frdD//argH//rrfA//rpmI//malF//
TyrR-Tyrosine	marR//paaK//rutE//hypD//infC//folA//gnd//livF//fepD//rrsA//phoB//ilvH//caiC//uidA//
UhpA-Phosphorylated	tolC//
XapR-xanthosine	copA//phnG//
XylR-Xylose	lysA//lacA//casC//fau//ansB//serA//
ZntR-Cd2+	fepC//
ZntR-Hg	thrV//
ZntR-Zn2+	xylR//
ZraR-Phosphorylated	cas2//hflC//yeiL//
Zur-Zn2+	emrY//cpxA//xylB//rpsI//sufA//xylH//
