#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	torR//uxuA//fhuE//dmsB//
FNR-[4Fe-4S]2+ reduced	metA//alaV//gatB//fecC//fucR//gspE//ulaB//treC//dmsA//cysU//lacA//melA//fecI//acrE//sbmC//aroH//tauC//ynfG//sbmA//galP//dsbA//pstB//melB//moeA//glpX//glpK//hycH//chbB//yneM//manX//tsgA//tehB//yeaE//slt//ccmG//exbB//paaB//napA//paaG//murQ//araF//argE//ygbA//aldB//rplC//ssuB//ccmB//rrlB//malK//lysO//galT//aroA//caiD//fecC//ydiU//nagB//ilvA//oxyR//dcuB//hycE//bioD//rpsC//deoC//murQ//metN//lsrR//cspE//ssuA//pgaC//ampE//dusB//fepE//manA//feoC//agaW//xapB//purD//hfq//ynfG//glgS//hypD//metK//fepC//mtr//acs//rplB//alkA//cysA//acrA//gapA//tehB//ygeH//dsdA//alaU//deoC//hycC//sufB//asr//hofP//aroF//napG//ychO//prpR//dppA//trpB//hybA//sufB//sucC//nanE//allE//glgB//xapA//malQ//lpxB//hisQ//glpA//ydeP//rpsR//actP//artP//trpB//dpiB//rpsO//zraS//rbsR//gatZ//iscS//arcA//gspK//ugpB//xseA//tcyJ//cusA//mgrB//gspK//xseA//hflD//hypC//fimH//tonB//hyfR//skp//gltD//malE//erpA//ilvY//folA//emrY//gcvP//sucA//rpsF//fecI//hybC//soxS//cyoB//cynX//gcd//gltD//rutF//araC//aceA//hyaF//ileU//ssuD//nirC//ydfN//csgF//treR//aroF//motB//ydbD//chbA//argO//ssuC//fldA//uhpC//hybC//sucD//ubiG//ilvE//araG//ycjX//tdcF//oppB//nagC//zwf//rpsO//slt//metA//galP//xdhB//prpB//sufE//gpmA//pstC//hofP//yeiW//pheT//argP//pdhR//purD//fdnG//baeR//aroH//ileU//agaA//mutL//cpxR//araG//mdtB//infB//metF//tnaC//nrfC//ydfH//agp//metQ//tnaC//lysA//ihfA//ynfG//feaR//phoP//lacZ//feoA//puuC//treC//sdhD//lldP//argE//phnL//oppD//gspF//treR//abgT//sdhB//yhjC//fabZ//pagP//hisQ//malT//tolC//rplC//csgD//exbD//xylB//uxaC//mhpE//cyoD//cirA//ompR//rrfC//oppF//alkA//trpD//yfaE//trpC//fecD//appB//lsrF//truB//nrdF//aroM//spf//csgA//hlyE//trpD//citX//astD//phoR//pepT//ychH//ndh//ada//narH//thrV//nirC//gspJ//hyaF//hofP//nuoF//tnaA//araG//araC//fucU//hybD//gspO//dsdA//phnE_2//xdhA//fixA//yqaE//safA//purL//nanT//sdhC//lhgO//tpx//appY//rutC//rbsA//argD//nuoB//nuoM//tpx//
FhlA-Formate	grxC//trpD//rutF//lysA//pyrC//hyfR//rrlH//recF//ogt//tyrA//uvrA//ilvG_2//malM//mlc//hyaF//mutL//sdhA//tsx//rplM//bacA//iscU//malM//uhpA//rrfB//ptsH//rrfE//idnO//cysW//ssrS//acs//
FucR-L-fuculose-1-phosphate	purA//hydN//nrfA//yiaJ//argC//hofM//gspG//
Fur-Fe2+	marA//acnA//cas1//idnD//rrlA//ascF//artQ//fur//ebgC//polA//epd//adiC//gyrA//trmD//sroD//rrsE//malQ//ryhB//modB//dmsD//fecR//argI//yhfA//dppC//comR//malG//yhcH//prfA//rseC//rrlH//gdhA//fhlA//lrp//ssrS//hycI//argG//fadA//sgbE//lpd//fixX//phoQ//cadA//lldD//phoB//sohB//aidB//murQ//rimM//idnR//ppiA//paaK//xylR//cas1//polA//hyaC//nupC//hofC//hycC//glcE//tolC//araC//trpB//rrsH//qseB//motB//yfdV//gutM//cusC//caiT//acrF//hpt//fhuC//metE//mhpD//narI//mglB//gspJ//cvpA//hycH//cysM//hofP//yrbL//frdD//proP//mutL//purR//fadB//prpC//yegR//ldtC//abgB//exuT//cirA//narQ//tauC//lysP//paaJ//yaiW//rplW//grpE//ascB//livG//dcuB//fumC//mcaS//yiaL//gspM//purE//uraA//alaU//bacA//dapD//gutQ//paaI//glcF//argB//citD//yiaK//nagB//glpR//torD//ilvN//manA//araB//yhcH//ubiG//nrfB//argI//gatA//emrY//rrfB//tolC//glcD//lsrB//rrfH//ccmC//xseA//nrfF//fadJ//dnaA//
Fur-Mn2+	mtlA//dsdA//tdh//fimD//pck//yiaJ//arcZ//hisP//fadL//fucP//aer//citX//araC//gspC//agaW//yeiB//carA//glnA//lpxB//ansB//lolB//dps//tfaQ//hycB//malF//eda//ilvA//hdeD//ytfE//metF//crp//nuoK//pstB//argG//mntH//hycG//tolC//rrfE//pgpC//cysP//rpoS//dcuC//glyA//lrp//ftnB//tdcF//gpmA//rhaS//iclR//efeU_2//motB//prmC//ccmD//feoC//nikA//codA//adhE//miaA//ansB//purL//yjjZ//nanM//xapB//srlB//norR//cynX//iscR//puuE//xylA//dmsA//rhaR//rbsC//norV//pgaD//bcsZ//tauD//phnM//bioC//rrsE//yaiW//ydeN//ubiA//nuoB//rrsD//hycH//sucB//napG//hyfI//glcG//mntS//eda//ilvG_1//prmC//metK//chbG//ackA//dcuB//ilvB//ung//yiaO//zraP//ybfN//rutC//napB//cysH//malK//agaW//nhaA//xylB//nrdF//fadE//ydiU//nagE//tdcB//cyoC//cspD//csiE//ulaB//ompF//modB//lldR//yfbR//phnP//ssb//tpx//nanK//phnC//nuoC//lysA//ccmC//fdhF//uxuR//xdhC//phnO//fixA//rbsD//lsrC//rutD//metL//bacA//
GlcC-Acetate	betT//recF//malK//moeA//glpD//hypF//ulaD//
GlcC-Glycolate	dppA//hfq//gntK//talA//yeaR//folA//ssb//
GlrR-Pasp56	yeiL//
IclR-pyruvate	cspE//lsrC//norW//nrdB//
IdnR-5-ketogluconate	pyrD//baeS//phnE_1//pheT//hcp//xdhC//araB//artP//
IdnR-Idonate	uidA//entF//glpX//sufA//cynT//rpoH//srlD//sufA//
IlvY-2-acetolactate	infB//hycI//
IlvY-Alfa-acetohydroxybutirate	nanK//bdcA//
IscR-[2Fe-2S]1+	alkA//gapA//ftnA//glpD//nagE//oppA//nrdD//purF//avtA//yojI//ygeH//sufA//napA//hyaD//rbsK//yqjI//feoC//fepD//ilvA//tomB//ykgM//caiT//nrfF//hemL//manZ//cynS//tdh//ydhU//dadX//phnP//mgrR//rutC//srlD//xdhA//glnL//ppiA//ilvH//gpsA//metL//paaI//idnD//
LldR-L-lactate	nrdI//yoaG//rplP//
Lrp-Leucine	uxuA//hycF//pck//ydhW//lacZ//astC//rybA//tyrB//tonB//casC//actP//hyaD//sdhC//aer//crr//chbG//lysU//dpiB//soxR//gspG//betT//rnhB//mhpF//csiD//yjeV//mtr//ogt//rrlB//livH//gntP//rplV//aidB//guaA//cdd//rplC//glyA//mdtA//yfeW//metI//amtB//mtr//zinT//cusB//ynfF//csiE//map//lsrF//malY//yjcH//betB//fbaA//mgtA//glnL//actP//rpsC//fumC//ybfN//aidB//cusC//metR//puuB//glpD//ydeO//acrA//gntP//ydhW//epd//rnhB//lsrR//katG//yaiA//fadL//cydC//galE//metJ//tktB//phoH//rcnB//csgB//yjiY//lpxD//cysK//ygiB//lysP//uxuB//preT//fadA//phnH//malF//appB//dkgB//ascF//rpoH//phnF//tsgA//rutG//citC//paaB//rrfF//uxuA//iscR//purA//leuE//ydbD//ogt//araH//
LsrR	arfB//fdhF//tdcD//tdcA//exuT//appB//nrdH//tnaB//grxD//
MalT-ADP-Maltotriose	astC//priB//argO//entB//srlE//gapA//hybD//ndh//rutD//hybB//
MalT-Maltotriose-ATP	allC//mhpB//glpQ//efeU_2//csgD//sohB//phnL//yggX//evgA//ynfE//
MelR-Melibiose	uxuA//glmY//hflX//
MetJ-S-adenosylmethionine	ccmH//hypB//lrp//iscS//ompF//micF//mhpC//rrsH//rpoH//rseB//deoC//phnC//uidB//manY//rnlB//
MetR-L-homocysteine	nanK//entS//melB//mscM//galE//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]	lrp//map//yfiP//yhjC//tdcE//nagE//
MhpR-3HPP	purE//rpsI//trg//yojI//paaI//hofN//
MntR-Cd2+	kbaZ//hupB//ybiT//astE//bioF//
ModE-MoO42-	tauB//rrlC//rhaB//exuT//ydbD//ulaA//nuoM//paaG//fadH//galS//phnH//bamE//rybB//tauC//proP//mzrA//citD//hofB//psiF//nac//gpmA//feoB//hypF//gcd//ydfN//frdA//speC//sufB//rhaD//narK//zraP//frdC//nadC//hybO//phnF//fecB//astB//rrlE//hyfG//gspG//agaV//tauB//phoE//tdh//ycjX//dppA//
NarL-Phosphorylated	narX//agaW//ilvY//frc//fnrS//ilvY//fdhF//yggX//argB//hycB//nagB//cusF//fur//cstA//prs//hflD//casD//gspK//mltC//ysgA//aaeA//phoU//csgG//katG//glcF//hybE//ihfA//tolC//aceA//gspO//cheW//fdnG//narQ//caiT//ptsI//bhsA//fabZ//glnL//prfA//nuoI//fimF//kbaZ//argF//sbcC//rpsP//ybjG//alaT//lolB//glnD//dpiB//fadH//artI//hybF//glcC//cydA//narG//epd//truB//codA//motA//ftnA//ykgM//tdh//prpC//cheY//cyoB//dsdA//gatB//thrS//feoB//zraR//znuC//pheT//metJ//metQ//nuoJ//rutF//pgaC//gspC//acrE//araA//rhaA//nfuA//caiD//ynfF//araJ//tdcG//araF//infB//erpA//ompF//tyrP//hycE//hybE//tdcE//hupB//dapB//manX//cadB//chbG//rpsJ//yqjI//ampD//nuoH//ccmF//hyfR//torD//puuP//fau//waaH//galE//alaU//artI//gpsA//frc//ygiB//malQ//fecA//phoR//dps//rrfC//ilvG_2//rrfA//melB//dmsB//
NarP-Phosphorylated	glcF//purA//tauC//dppD//glpR//copA//fumA//bioD//sbcD//bioC//cysH//pdeF//ssb//rbsK//creA//mlc//upp//ynfK//citX//gatY//glpQ//soxS//modA//malQ//exbD//hyaE//livK//feaR//ilvX//malQ//aroL//pta//tomB//map//glpT//fur//tap//ydhT//betI//hcr//cysJ//dadA//rplP//yrbL//nanT//cydD//hypD//malG//ackA//sufB//
NhaR-Na+	gltF//galM//trmD//ppdD//betI//zntA//glcB//
NikR-Cd2+	crp//nirD//evgA//yibN//araJ//uxaC//
NikR-Co2+	argG//hemL//ilvH//cydA//rnlB//ebgC//
NikR-Cu2+	fnrS//fadJ//mscM//rrsH//tyrR//paaD//
NikR-Ni2+	dsdX//gnd//tdcF//mhpC//ileV//modB//
NikR-Zn2+	rplW//galK//metR//qseB//focA//tomB//
NrdR-ATP	qseB//hupB//ung//rplV//hyaC//purL//dkgB//yojI//sroD//
NrdR-Zn2+	chbR//mdtD//fimC//phnM//aroL//abgA//borD//purL//rrsA//
NrdR-dATP	argE//hyfF//uhpT//zntA//mdh//ccmB//nirC//cyoE//rimM//
NsrR-[2Fe-2S]reduced	bcsA//ompR//ulaB//glpG//tap//rbsA//astB//mhpF//miaA//uxaA//csgB//fdhF//ydhY//mglB//nuoK//arcZ//dadX//alaA//glnA//lsrC//carB//ydeM//rbsR//bcsB//fimI//uidA//yfdX//pagP//rrfE//treR//cusF//nupG//argG//narH//yfdV//phoA//cyoC//gntU//ryhB//hemA//rhaB//ompF//phnK//uhpB//guaB//moaB//nikR//dcuA//nagE//treR//sucB//hyaC//spy//yebE//baeR//ykgM//yjiY//xdhB//rbsD//abgA//cydA//appX//yaiW//dcuA//lolB//fur//allC//lsrF//fucR//garK//lsrA//yeiP//paaC//
PhoB-Phosphorylated	entD//cheY//sucC//paaA//gatZ//malS//fecD//erpA//yfbR//pgaB//fdnI//tdcG//cheA//cysI//nrdI//moeA//yfaE//rimM//entB//copA//rdoA//entH//lacZ//ebgA//uhpC//rseC//idnT//araF//lpxB//hyaD//hypC//focB//fes//uhpC//ccmE//entE//rutG//hycD//malZ//ygiC//appC//cynS//gspF//cysC//paaJ//bcsZ//ytfE//fhuB//cadA//ydeM//uxuB//aceA//hdeB//ppiA//ynfG//aroL//nrfG//yqaE//livJ//fimD//sufE//
PhoP-Phosphorylated	ahpC//ydhW//lyxK//mgrB//yeaE//cyaR//hdeA//chbG//ccmD//fumA//fecB//phnM//sucC//safA//rrfG//nikR//sgbU//erpA//csgD//treB//aceA//nfuA//pnp//yqjH//cheA//ackA//entH//sgbH//frc//frdA//hyfE//ytfE//trxA//mtlD//rrsB//lpxA//cydA//gatD//tonB//hemL//nirC//lldD//alaA//sufS//leuE//rhaT//oppF//mutL//metI//malM//ftnA//cyoC//astA//ssrS//modA//ygiC//napG//
PrpR-2-methylcitrate	xylR//nuoG//pgaB//cusA//bamA//
PurR-Guanine	mgrR//lacA//yqjI//alaA//feaB//rhaT//sroD//araF//cheA//gadC//dadA//chbG//ptsI//ssuA//hybC//glpR//tnaA//kbl//csiD//gspJ//hycC//gabD//fecI//yciW//gutM//nuoG//phoQ//crr//cyaA//purA//ygeA//sufC//fadI//appX//
PurR-Hypoxanthine	xapB//phnM//treR//exuT//gapA//fhuD//iscR//dmsA//casB//ynfE//ptsI//yedX//srlE//glcA//gcvT//soxR//glgC//spf//cysW//fadH//fhuB//xapB//fliZ//phnM//bioC//ydfH//nrfB//mhpD//lhgO//uxuB//chbF//atoE//frdC//fucI//
QseB-Phosphorylated	yegH//hypE//yjcH//sbmC//
RhaR-L-rhamnose	gltD//arfB//
RhaS-L-rhamnose	xylR//purK//nrfA//aaeX//glgX//gcvT//
RstA-Phosphorylated	yfeW//fumC//purF//rplC//speB//ulaA//dnaA//hflC//garK//rpsI//
SoxR-[2Fe-2S]3+ oxydized	phnC//feaB//lacI//entF//
TorR-Phosphorylated	ulaA//srlE//zntA//srlD//ulaC//sufS//astA//codB//ilvN//exbB//
TrpR-Tryptophan	ccmG//grpE//hybE//malX//galS//mntP//ilvA//deoC//phnF//pyrD//hslJ//cysP//
TyrR-L-tryptophan	gltF//appC//motA//cheW//atoB//melA//idnT//argF//appX//uxaC//casE//nagC//cusF//moeB//
TyrR-Phenylalanine	dcuA//gspE//paaD//mhpE//aspC//appY//cdd//motB//tdcG//rrfH//prpB//aaeR//tktB//araB//
TyrR-Tyrosine	tyrP//iraD//glpR//napB//hyfJ//hypF//gspG//modC//uvrA//cspE//fucI//ydeO//sufC//idnT//
UhpA-Phosphorylated	gntT//
XapR-xanthosine	tsr//nmpC//
XylR-Xylose	glgS//pheT//ppiA//purK//nrdB//ydeA//
ZntR-Cd2+	ilvX//
ZntR-Hg	ydeA//
ZntR-Zn2+	yedX//
ZraR-Phosphorylated	nuoB//mntP//hycD//
Zur-Zn2+	fecI//miaA//narJ//sbcC//ilvB//ychH//
