#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	cyoE//galT//srlA//sufE//
ChbR-Monoacetylchitobiose-6P	yccA//purL//aroL//malG//glcD//glcE//
CpxR-Phosphorylated	gapA//znuB//glcF//ssuB//hypB//lldR//rhaS//agp//fhuC//dppA//casC//focB//dcuA//fixB//hflC//hycD//frdD//puuA//alaT//ulaB//hisP//crr//mhpF//phoP//bioA//dsbA//rrsA//nuoB//ldtB//fdnI//pstS//mglC//amtB//phnL//metN//ppiA//lsrR//hisP//pstC//rpsP//ssuB//nanK//lpxB//tauB//mtlR//marA//phnE_2//yccA//ldtC//allD//tdcE//lsrB//fhuF//manZ//alkB//rpmI//nrfE//puuR//uidB//sdhD//ulaF//appX//mntP//yfdE//ubiC//tdcG//rpmI//gpmA//degP//
CreB-Phosphorylated	entA//prpC//chbG//acrA//malI//rrlH//rpsR//rplT//sodA//
CueR-Ag	oppD//tyrA//fucP//cydC//zraS//dmsD//thrV//
CueR-Cu+	ubiA//araJ//fadE//trpC//ilvE//lsrK//glcB//
CuerR-Au	purR//sucC//torC//baeS//yiaO//metI//exuT//
CusR-Pasp	nupG//ynfK//zntA//yeaD//fepG//paaI//yaeP//ygbA//metJ//fucI//aroL//rpoH//
CynR-Cyanate	tauC//hycD//actP//phoE//
CysB-N-acetyl-L-serine	ygiB//rpsS//ydhW//idnO//aceE//rseC//tyrR//ybdN//glpE//dsdA//mcaS//phnM//paaH//rhaT//artJ//nuoH//tdcG//cusR//psd//casB//soxR//nrfF//dctA//ysgA//fucP//glpQ//ebgA//ygiB//fhuC//trmD//
CysB-O-acetyl-L-serine	rpsR//pitB//abgT//iraM//osmC//ubiC//glgA//ptsI//citC//manY//thrS//casD//rrlB//kbaZ//ftnB//rplV//mdtA//actP//zntA//dsdA//ynfE//abgA//glpC//fixC//entC//pyrD//dcuB//mgtA//fepE//zinT//entD//
DcuR-Phosphorylated	mutL//alaS//cynT//hha//cpdB//phnN//sbmC//mtlA//carA//
DnaA-ATP	ahpC//gatZ//fucI//pstS//phoA//chiP//entE//hybO//lpd//pheM//fucP//ygaC//
DpiA-Pasp	melA//ycdZ//dadA//alaS//slt//rrsE//pgaC//uxaB//gabP//nagB//metA//
DsdC-D-serine	tauD//cysD//mtlD//
EvgA-Phosphorylated	metF//flhD//gadC//ynfF//cydB//purA//osmC//oxyR//puuB//yqjA//gntT//cynT//ada//caiT//caiE//
FNR-[4Fe-4S]2+ reduced	nikD//rrlD//uhpC//cas1//dppB//acrA//phnN//ccmB//glpA//uxaB//dppB//nrdE//yfdV//yiaN//bcsB//cas2//glrR//lpxB//yaiA//gltW//uof//psiF//slyB//trmD//ldtC//fhuF//uidB//ivbL//tyrP//fimI//nanT//glnD//sufE//arfB//fadL//prs//sdhD//alkB//tehA//preA//abgT//cheY//tyrA//lpxD//purN//agaW//yhhY//grxD//mutL//hyfH//yfbR//ilvG_2//norV//hypE//sdhA//hmp//cra//pflB//acrD//fadJ//hycD//glgC//nupG//cheZ//rplT//nfuA//paaA//ompC//rrlA//actP//phoA//grxC//tonB//yjjZ//nrfD//fau//phnN//nrdH//bglB//tdcA//gspI//cusC//yjcH//mglC//cyoA//nanS//astC//argC//entH//fucP//astB//rrsG//guaA//rutC//mhpR//argG//lacI//guaA//galP//fecA//evgA//tyrR//yaiW//ulaB//aceK//ynfH//aceK//cysK//tsaE//trmD//marB//ydeP//chiP//livF//rpsS//ychH//proP//malM//malM//lldD//ygiA//norW//nadC//astB//motA//tauD//entS//fumC//yeaD//fdhF//gcd//rbsK//nuoG//lsrC//fimA//srlD//phnP//ugpE//nuoC//trpC//uvrA//yeiL//rrlG//envY//ascF//rhaA//gspL//tktB//abgT//hypC//exuT//prs//leuE//ykgM//ccmC//mntP//fnr//rhaD//sgbH//glyA//cysJ//rbsB//pepT//ygbA//rrlA//rhaD//fepG//yjeF//csiD//garR//aspA//ssuE//yfdX//gcvP//zinT//araB//hdeA//fepB//rrsD//malX//ndh//safA//gltV//fliZ//safA//chbB//pck//rpsR//tomB//hypF//fecR//dcuA//casC//yeiW//nirB//umpH//rplW//agp//rpsS//lsrF//fecA//prpC//carA//gatB//metK//icd//soxS//hflC//trpA//bglF//ynfH//dgcZ//fhuC//citE//cydA//caiD//uxuA//ssuD//dsdC//rybB//fixB//metF//melA//chbC//nuoA//lyxK//gcvT//sdhC//alaV//serC//metY//glpA//phnP//gltF//fucR//rpsC//rutG//mzrA//glpB//iraD//ydhV//nuoA//dmsA//degP//lsrB//baeR//pgpC//fimG//ydhX//gntX//mpl//cueO//fucI//sdhD//argI//nrdG//uxuA//oppB//purC//rrlE//rutB//hyfJ//rbsB//phnC//safA//tpx//galE//iscS//hyaA//moaC//aceE//hdeD//ugpQ//rplI//trpE//actP//hisM//rrfE//glcG//sdhD//aspA//hofB//ccmB//yfiP//sbmC//garL//hyaC//rplI//yiaM//ycjF//rbsB//infC//malX//nagB//ubiC//aaeX//garK//gltF//nrdI//oxc//oppF//ada//rbsD//proP//yeaD//
FhlA-Formate	znuB//zraS//narQ//fadL//fucK//cirA//dmsB//gapA//gatZ//phnE_1//eda//ulaE//malY//glcA//aroM//tdcB//cdd//adiC//nagE//mhpD//avtA//entF//fadJ//rpsO//dapB//rpsC//erpA//glpX//nuoN//gltD//
FucR-L-fuculose-1-phosphate	mglC//arfB//fbaA//ptsG//ivbL//napC//lysA//
Fur-Fe2+	rhaT//trxA//tyrP//sdhB//tyrB//dsdX//rimM//ydiU//gltU//slyB//lysU//rutC//ssuD//tnaC//gntX//paaG//purL//glgS//rrsD//agaA//hyfA//gspO//caiF//idnR//csgA//treB//trmD//fhuB//phoP//uidC//rpsP//rrsE//gcvP//ygaC//treR//galE//rrlA//cyoB//tsr//hyfH//pgaA//leuE//allC//priB//ahpC//lsrA//pheS//malI//hypB//atoB//casA//idnT//dcuC//glgB//rpsI//glpG//ccmG//aceB//glpF//yjeV//yoaC//creB//hybE//fepE//yhhY//ycjX//hypE//abgT//mglB//pgaA//mhpC//prfA//rpsF//nuoL//fdnG//aaeB//napH//rstB//hycI//ryhB//acnA//idnO//rplT//ybdZ//ybiT//dusB//entD//cyoB//argF//rrsB//ydhX//glpA//sxy//nuoJ//fbaA//bhsA//gspD//fucP//gntX//lysP//sucC//rhaT//hyfB//yqjH//paaE//idnR//phnN//sdhA//rutE//rseC//mepH//lpd//ssrS//hycC//uidC//mhpT//dcuR//fucR//astD//nuoG//fixX//ebgA//galP//glcD//sgbE//mtlR//xapA//gntR//actP//glgP//csgD//phoR//ydbD//cysD//waaH//yjjZ//uhpA//puuD//phnH//norV//
Fur-Mn2+	ilvN//prpD//gutM//napH//glcB//katE//rnlA//rmf//hybC//betT//yhiD//bdcA//phnN//gpmA//malF//frdA//nrdB//uhpC//glpA//uof//yeaE//pheT//cysU//ugpB//manA//modC//rhaA//hofM//pdeF//cirA//nuoG//spy//bioA//bamA//mglC//phnI//yfdV//metR//rbsK//ychH//ugpB//gntU//agaA//ilvD//artJ//yegR//sucB//thrV//ilvA//dcuR//glcD//folA//tomB//lacI//sbcC//mntH//fucO//cysK//narJ//yecR//dnaA//csgE//ugpE//gltU//arcZ//hybE//tyrP//hyaF//modA//dnaA//rpoS//proP//argE//yfaE//argB//ygiA//prmC//artP//mutL//atoB//norW//rrfB//aroF//livH//rstA//yccA//creD//tar//tehB//lsrK//ilvC//alaT//fepA//ubiA//livK//entD//entB//abgT//fecE//hypE//dppA//gcvT//gltA//exuT//glnK//aaeR//citD//purB//dcuA//nuoA//hofB//metE//fecE//ssuE//araA//acrA//aldB//dppF//melA//paaA//argE//ykgR//pgaC//yfeW//sgbU//yiaL//dnaE//alaU//astA//yjcH//hybE//yfdE//bglG//recF//ilvX//alaV//tktB//cynX//ykgM//citC//
GlcC-Acetate	ygeA//pck//uxuB//oppA//rrsB//hybF//agp//
GlcC-Glycolate	hslJ//narX//glpB//paaD//mntS//hisQ//casD//
GlrR-Pasp56	tauC//
IclR-pyruvate	ycjF//patZ//tcyJ//lsrB//
IdnR-5-ketogluconate	yggX//nmpC//rpsQ//ydfH//yfdE//psiE//deoC//spy//
IdnR-Idonate	nuoE//fhlA//cyaR//soxS//trpD//rmf//phnE_1//glnL//
IlvY-2-acetolactate	rpsP//dnaE//
IlvY-Alfa-acetohydroxybutirate	phoA//hyaD//
IscR-[2Fe-2S]1+	cyoD//ybdZ//cynR//gabP//ybdN//dsbA//aaeR//citX//pgpC//rimP//narI//glcA//glgP//fimD//argD//norV//ackA//ryhB//metY//yrbL//cysG//tauD//lpxB//sohB//grxC//appY//sgbU//araJ//grcA//tehA//tnaC//aroP//iscS//gspK//mhpT//narJ//galP//pheM//phnL//ilvB//ydeM//
LldR-L-lactate	rbsR//arcA//fldA//
Lrp-Leucine	mgrB//appA//ivbL//galM//ynfF//gltB//fhuC//metA//mepH//znuB//thrV//glnL//mscM//hycF//frc//lsrC//caiD//micF//caiB//fecR//nrdG//fimH//yjcH//mpl//serA//argA//lpxB//aceK//hyfB//gspJ//ilvI//zwf//uidC//fumA//gltA//trg//xylR//glgX//hisP//lacY//rhaA//phnJ//alaS//rdoA//paaJ//dapB//ackA//yfdX//trpL//casB//preT//narK//fhuA//araJ//lldR//nuoJ//rpoS//mepH//caiF//yidQ//hpt//bglF//yqjA//lpxA//ccmG//napF//hycF//uhpA//marR//cynX//degP//yiaM//ydhW//pflB//hdeD//paaE//hycI//metA//nanC//sbmA//pheM//fecE//rnlA//lldD//sdhD//tdcD//sufE//osmC//fnr//dkgB//aceB//slt//hycH//araB//rplD//cheW//hofM//ccmG//flhD//marB//agaV//phnG//ompC//pncB//hybC//fdnI//
LsrR	hybE//glpB//gntU//malX//lldP//gltU//adhE//dcuC//glpB//
MalT-ADP-Maltotriose	glmY//tsgA//phoQ//bglB//malS//sgbH//ung//torD//hyfA//purK//
MalT-Maltotriose-ATP	pepT//aroP//ybfN//pflB//ebgA//yccA//tdcG//glgP//gatA//fecD//
MelR-Melibiose	tyrA//bcsC//bioD//
MetJ-S-adenosylmethionine	ydeO//iscA//dnaN//rrsD//chbC//sxy//yeiB//fimG//hupA//nikD//hyaB//creD//metF//rrfD//flhD//
MetR-L-homocysteine	gntX//ssuC//gnd//artI//mtlA//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]	allC//murP//iraD//trpB//dpiA//lldR//
MhpR-3HPP	rstA//csgC//dppB//envZ//mtlA//phnE_1//
MntR-Cd2+	rplT//malS//sgbH//fimF//hofO//
ModE-MoO42-	sodB//paaA//livH//hflK//ampD//napF//trpD//malF//ssrS//sucB//araH//xylG//ynfH//yibN//ssrS//efeU_2//paaE//truB//glnL//dadA//nohA//prpR//ilvN//manZ//dppD//ihfA//hyaF//fumC//gltW//ydeO//araA//caiE//ydhX//metI//yojI//fepB//hyaF//ahpF//fucU//hycF//mtr//caiA//nhaA//pyrC//nanT//nanT//
NarL-Phosphorylated	hyaE//glrR//sufE//yeaE//xylF//abgT//cysB//fecR//asr//rimP//hypD//gspH//nuoB//argE//psiE//gltD//idnT//caiA//yqjH//ybjG//mltC//bcsZ//alaT//purD//gabD//hfq//ptsG//lldD//focA//rimM//entC//frc//hyfF//appA//rutB//lacA//udp//hycB//thrV//pheS//fucP//aer//mntP//bglG//rplB//pncB//mzrA//metI//chbF//uxaB//gltU//acrB//hofP//uhpC//argP//lpd//glnK//cytR//aroF//rplI//tdh//hypD//dsdA//ftnB//caiT//ygiC//rrlA//nlpD//cpxA//safA//nanM//narX//chbG//uidA//trpD//appB//ilvI//astE//rnlA//nuoB//efeU_2//ilvI//ssrS//purL//srlD//glcD//hofC//ssrS//csgE//dsbA//hycD//puuE//xapA//hypF//ogt//nuoM//ydfH//xylR//garL//argH//ackA//dsdC//miaA//uraA//ogt//cyaA//trpB//sucA//fadH//rplM//rrfA//nikD//gutM//ompT//fixB//ynfF//phoU//ilvX//phnM//soxS//gadC//hyaF//narG//dppF//hycE//
NarP-Phosphorylated	phnK//fadJ//phnE_1//hofC//acs//ygaC//ssuA//phnO//glcB//malK//ryhB//fimG//ileU//ilvX//moeB//yqaE//ydhW//csgE//csiD//deoB//argE//galS//hycE//rrfA//argF//uxaC//leuE//mglB//nirD//cysI//entC//nrfD//yfdV//rpsI//argD//rseA//ldtB//hpt//sgbE//guaB//lsrK//phnE_2//ihfA//aroF//bioF//ackA//rpsS//yoaG//map//uhpA//
NhaR-Na+	creD//ompF//pstB//yaiW//glnD//ivbL//mdtB//
NikR-Cd2+	hisJ//fdhF//nirD//ybiT//rplB//phnJ//
NikR-Co2+	yiaJ//hybB//ccmE//glpD//tadA//tcyJ//
NikR-Cu2+	pdhR//moaA//hupA//puuD//hemL//pheM//
NikR-Ni2+	glpE//sdhD//trg//lsrB//malX//dppF//
NikR-Zn2+	gadB//glnK//entS//argP//sroD//rstB//
NrdR-ATP	fadE//ompR//ubiC//manX//rrlC//purR//fur//bamE//tfaQ//
NrdR-Zn2+	psiF//flhC//artI//hflK//phnE_2//rstA//modB//sxy//tyrA//
NrdR-dATP	comR//glpD//napG//dppD//trpA//nhaA//phnH//nuoH//focA//
NsrR-[2Fe-2S]reduced	aaeX//ccmG//ptsH//nuoH//codA//fliA//fecA//acrA//tdcA//miaA//astE//metL//sbmA//deoC//thrS//cstA//ilvM//tnaC//crl//gnd//fhuF//rpsQ//serA//yhcH//pepT//cadB//ugpA//thrS//patZ//tfaQ//amtB//hisP//yqjA//hyfJ//nirD//glpQ//cusC//phnC//appA//mgtA//hofC//modC//serA//hyfF//yiaJ//speC//hflK//ompA//paaC//cyoD//tauA//cadC//edd//gspE//livM//hyaC//murP//narH//rhaT//yfeW//napC//idnR//micF//murQ//rdoA//oppA//puuC//mpl//uxaC//aaeA//xapA//cspE//mhpF//
PhoB-Phosphorylated	trpC//cynS//hyfJ//mntH//melR//mhpD//ygiC//entF//lacY//idnD//fhuB//rrsA//uhpT//arcA//fbaA//ssrS//dsdC//uidC//ytfE//rplM//gatZ//carB//hyaB//ychO//cusC//comR//phoP//ydfH//argF//mntH//hybG//cra//ccmC//entA//tdcA//nrfD//cysG//ydeA//paaI//ilvG_2//pstC//malY//argO//fumC//norR//sdhC//skp//dppF//yqjI//appA//cheA//alkB//srlE//raiA//astD//rbsD//aceF//napG//gpsA//cysB//tap//
PhoP-Phosphorylated	ccmE//fis//cyoE//sroD//nuoH//ilvX//nuoM//gpmA//dmsA//yciW//lsrK//marB//yegH//tsr//bioF//bcsB//crl//cysM//dcuB//abgT//grcA//nrdF//fadA//purD//gspL//ilvN//srlB//tdcG//baeS//alaS//lsrK//cra//glpK//caiF//cyaR//astA//gabD//xylB//rseC//astC//rpsO//baeR//fdnG//dkgB//dcuD//bcsC//nrfD//idnK//xdhC//ychO//alaA//rbsR//tdcE//marA//chiP//yqjH//gabT//
PrpR-2-methylcitrate	azuC//fimC//aroP//rplV//gntK//
PurR-Guanine	mhpF//tnaA//glmY//rhaD//lldP//nuoF//glgS//uof//fixC//phnN//pitA//rplB//malT//proP//yggX//appY//speC//fimD//pstS//acrD//appY//fau//nikB//fnrS//yhjC//pdhR//fhlA//gcvP//pgaA//csgF//idnK//tsaE//iscS//gspL//
PurR-Hypoxanthine	znuB//sxy//galM//glcD//nrdD//hlyE//preT//mgrB//glgA//napA//zinT//ftnA//ychH//pheT//creD//iclR//purD//sbmA//rmf//fumC//rrsE//fimC//ynfG//yiaL//mdtC//lysO//aroM//appC//grcA//zraS//ulaE//exuT//narH//tdcC//
QseB-Phosphorylated	yecR//rutA//hyfH//rrlG//
RhaR-L-rhamnose	rbsD//cusA//
RhaS-L-rhamnose	entD//mlc//mdtA//rstB//dapD//puuP//
RstA-Phosphorylated	udp//yegZ//mntP//ompA//ompC//hybA//caiB//qseB//aceE//tnaA//
SoxR-[2Fe-2S]3+ oxydized	ompC//phnL//map//cysM//
TorR-Phosphorylated	yfdX//ydhU//aaeA//pyrC//purR//fliZ//uhpT//dcuD//ubiX//gyrA//
TrpR-Tryptophan	yhhY//sgbH//ydeJ//fhuD//rrfG//idnO//torD//ptsI//cirA//paaF//hupA//garP//
TyrR-L-tryptophan	yedX//torR//motA//yeaD//garK//nikA//purM//uof//yojI//hycI//spf//polA//dcuD//ynfG//
TyrR-Phenylalanine	rstB//pgaD//lpxD//cdd//crp//purA//tauA//fimH//malE//hybA//hyaB//dppC//csiE//ygiA//
TyrR-Tyrosine	hyfI//cysB//fadH//zraS//dmsB//dkgB//micF//lldR//cyoD//metA//rrlE//gabD//nanM//fhuC//
UhpA-Phosphorylated	glcE//
XapR-xanthosine	glpE//citG//
XylR-Xylose	grpE//rhaT//paaB//cysP//caiE//cas1//
ZntR-Cd2+	idnT//
ZntR-Hg	hycB//
ZntR-Zn2+	gpmA//
ZraR-Phosphorylated	yebE//livK//phnD//
Zur-Zn2+	bioF//frdB//aroF//glpR//citG//prpR//
