#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	xylF//thrV//tnaC//yibN//
ChbR-Monoacetylchitobiose-6P	frdD//iscS//yhcH//rnlA//hycD//sufC//
CpxR-Phosphorylated	tktB//tehA//glgP//yegZ//ydeJ//aspA//yhjC//cadA//hemA//alaA//lacA//pck//ugpC//rrlH//cydD//ompT//ihfA//gltA//livG//fhlA//cynX//slyB//ahpC//entF//cysC//gatC//sufD//rnhB//tyrB//cydC//lysO//rnhB//aceA//mhpA//idnK//casA//gabD//crr//cusS//arfB//hybG//rseB//amtB//purA//ydhW//mglA//nikD//folA//nikA//yjjZ//ilvX//artQ//nrfF//yrbL//cusA//puuP//slyB//fhuB//fadE//motB//gnd//nagB//ssuC//rutE//bcsZ//hypD//citF//ygaC//grcA//
CreB-Phosphorylated	atoA//araA//rrsA//cheY//glcE//fes//gspF//mdtB//argE//
CueR-Ag	glcG//phoU//fhuB//abgT//lysU//bglG//nuoC//
CueR-Cu+	nrdI//secB//allC//malZ//nohA//prpD//fucR//
CuerR-Au	uvrA//efeU_2//phnD//narX//dpiB//tauD//cynS//
CusR-Pasp	ygiC//appC//aldB//tehB//ydeO//prpE//phoE//tnaA//moaE//sdhD//purN//gatY//
CynR-Cyanate	iclR//yqjH//gcvP//glcC//
CysB-N-acetyl-L-serine	mhpT//ycjF//ppiA//nrdD//tyrR//aer//pta//cysB//appB//hybO//sbcC//eda//phoA//aaeA//entB//hypB//moeA//allC//cysK//cysD//malT//rnlA//entE//oppA//ssb//uidC//mgrB//emrK//yeaD//adhE//
CysB-O-acetyl-L-serine	dsbA//cysW//uidA//putP//lsrF//entS//purM//oppD//exuT//yrbL//idnR//murQ//glcD//glgP//mtr//glpF//appX//aceE//atoD//entD//uxuR//lyxK//iraD//csgD//rrlA//fixC//tdcA//glgA//chbR//napG//gspL//
DcuR-Phosphorylated	purE//nrfF//fucI//rimM//rprA//cysN//lysC//ada//alaA//
DnaA-ATP	rnhB//tdh//yfdX//preA//bdcA//tsgA//glcA//lsrB//cusF//iscR//ptsH//araG//
DpiA-Pasp	cheA//rseB//hisP//rrsD//tonB//lpxD//rrlD//frdA//mntP//ynfH//cydC//
DsdC-D-serine	napG//rstA//torD//
EvgA-Phosphorylated	gnd//cas1//pgaA//caiC//lacZ//rrfH//ppdD//ulaD//tnaA//sucD//garL//sodB//zntA//aceK//nikR//
FNR-[4Fe-4S]2+ reduced	mtlA//skp//glgP//phnP//lacZ//yciW//pnp//ccmC//atoD//tdcF//purB//yebE//rrlB//fepE//paaJ//pdhR//yiaM//cheY//dnaN//xapB//oppC//gabT//iscS//lyxK//hcp//dadA//mdtD//glpG//ydhT//copA//ychH//lysC//nirB//cynS//yqjH//marB//epd//hupA//arfB//hybA//yjjZ//gltV//gcvH//rmf//sbcD//rutC//yrbL//gspJ//mgrR//pta//modB//bcsC//rpsP//fimD//sbmA//miaA//purR//frdB//glcD//oppB//dsbA//bglG//cyoA//rplS//sroD//chbA//fecB//caiF//mltC//hyfA//sohB//gatB//ydiU//sdhB//chbB//gcvP//mntP//purD//alkB//malM//cusB//rbsD//rplP//ygbA//comR//bioA//rpsJ//cyoA//hybG//sufS//ulaF//yegH//lsrK//rdoA//marB//idnD//agp//cusS//torA//dapD//ssb//edd//cysP//nuoH//iraD//dapD//guaB//rrfB//phoR//nrdA//pheS//rstA//moaC//polA//rrsE//artP//tnaA//hofO//argB//nrdB//glpE//cadB//sucC//ybfN//yhhY//nhaR//cadB//feoA//prpD//galP//mdh//gntK//yeaE//nuoE//argE//argH//metN//hyfA//rhaA//uidC//ppiD//tdcE//lacA//agaV//cra//moaA//yccA//mltC//ilvA//malX//glpE//betA//lsrK//tdcD//trg//ynfE//yiaK//hofC//uhpB//uxuB//metH//appC//ompT//uxuA//hypB//lldD//qseB//fhuD//yaiA//aaeB//cyoB//hyaE//rpmI//serC//yeiB//pitB//sroD//fimC//betA//ftnA//dpiA//rrfD//atoA//argI//moaE//cysG//moaA//ileT//puuB//umpH//hofO//ynfE//cysJ//glpR//oppD//ykgM//fis//dapD//znuC//cydD//iraD//ssrS//sgbE//gspI//pyrC//yccA//lrp//cusR//thrS//lpd//ubiX//evgS//ydfH//bcsB//oppD//rutG//ygiC//gltU//ilvY//fepA//sxy//murQ//allC//cheR//nuoE//hfq//cheB//prpB//secB//ansB//betA//rbsR//argB//xylG//sbmA//exbD//paaF//sgbE//ompR//ydeJ//arcA//cydC//cydA//cadA//folE//rrlD//phnM//tsx//paaZ//gltU//xylR//ompA//zinT//yjcH//mdtC//tdcE//manY//uof//fixX//glcD//entS//hlyE//ynfF//alaA//mcaS//hycG//yegR//fadL//moaE//rseA//prpC//marR//alaU//ompF//rrsB//cysC//tauD//ygaC//mtlA//nuoF//ilvM//hisQ//crr//gntR//purN//rbsB//malX//hyfI//fadJ//mglA//cyoD//yiaK//ftnB//psiF//betA//glnK//csgB//argF//ydhV//fepD//ydhX//cyoB//metH//yqjH//mglA//
FhlA-Formate	zwf//cas2//ftnB//mdh//ydeA//cbl//malQ//soxS//bioD//lacY//baeS//torA//livF//rof//entC//aaeA//rpoH//rimP//yqaE//osmY//trpR//entB//lysO//uraA//pepT//acrE//rutA//ydeN//rybB//fixX//
FucR-L-fuculose-1-phosphate	rbsB//hyfJ//pheT//ytfE//dmsB//asr//malP//
Fur-Fe2+	thrV//araC//rrlH//phnJ//mdh//ilvG_1//aceA//alaT//moaB//uidB//rnlA//guaA//ilvY//rrfA//creB//ugpC//metY//efeU_2//preA//acs//rrfF//ugpQ//araE//patZ//sucD//artP//fixC//rrfH//gntT//xylA//ilvG_1//oppD//metE//thrV//gntK//bglB//alaV//ahpF//purN//fadI//yhiD//hypB//gatB//hypF//xylG//csgD//rrfC//glpA//sodA//ppiD//gltT//rrfD//yiaK//betT//ychH//ybdZ//acrF//ydiU//oxyR//atoA//umpH//preT//rpmI//lacA//narK//uxaA//fadE//bcsB//bioD//nagB//cyaA//nuoB//cysK//hupA//sdhA//ulaC//frdB//oppF//hyfB//stpA//ldtC//atoE//nuoA//allC//gpmA//xylA//fepA//grxC//entA//iscR//grpE//glcG//garP//hupA//pitB//gspH//dsdA//glcF//norV//rpmI//melA//emrY//ubiC//appC//hyaD//abgB//dadX//fucR//yoaG//puuA//bdcA//priB//phoQ//rhaR//hybG//cydA//fnr//arcA//frc//ccmC//evgA//metY//gspE//fes//fixX//entS//fadJ//cspE//ssuE//fadA//ycjF//moaE//bcsZ//ybdZ//ftnA//rnlA//mhpE//tyrA//avtA//oxc//
Fur-Mn2+	rpoE//argI//fimG//citC//betB//pncB//rnlB//osmY//arcA//ydeP//soxR//glpT//hofC//motB//frc//melR//cydC//argO//lacA//gntT//ilvG_1//fur//nrfC//ompR//fucR//pheT//creA//mdtD//nrfF//malX//chbC//ispE//mutL//cheA//cusC//deoB//tyrA//lamB//glcE//ccmC//rutG//cbl//lacI//fdnI//dmsC//ytfE//fucI//fadD//prpR//carB//fdnG//nuoF//aceE//fecI//atoA//marR//moeA//mzrA//metC//gabD//pgk//hyfF//metN//cysN//narK//srlA//xdhB//citX//cysB//rrsA//lsrC//uhpC//dcuC//appX//ynfH//cysC//xylR//aer//dps//yaiW//gcvH//rimM//hcp//araH//cyoA//rutB//ccmD//dps//astB//nagA//preA//nhaA//malK//mipA//lacA//cynS//narJ//fecA//rpmC//metN//ilvX//qseC//rstB//rhaR//sgbU//acrB//qseC//flhD//rpoS//folA//nusA//narG//manZ//prpD//phnN//amn//pgaB//rrfC//mepH//purL//nirB//nagC//ccmC//ompW//frdD//hybO//betI//slt//sgbU//pdhR//citD//hyfD//yfdE//fimC//gltA//abgA//phoE//hycE//grxD//ilvN//
GlcC-Acetate	alaA//ppiA//moaB//yhiD//ykgM//aaeX//grcA//
GlcC-Glycolate	argI//fadE//uvrA//serC//frdC//amiB//nagB//
GlrR-Pasp56	tdh//
IclR-pyruvate	motB//rbsK//gcvP//ilvI//
IdnR-5-ketogluconate	sucD//aroA//rplP//phoB//rutG//aceA//folA//ivbL//
IdnR-Idonate	mhpA//evgS//alaU//trpE//hflX//znuA//aldB//oppB//
IlvY-2-acetolactate	ycjF//ulaD//
IlvY-Alfa-acetohydroxybutirate	sufS//lysC//
IscR-[2Fe-2S]1+	tam//sgbU//hofN//deoB//icd//yeiB//purF//sdhB//tyrR//hemL//cysA//zntA//hydN//hypD//cysB//pgaA//cyoC//paaG//entD//metR//yedX//flhC//sroD//ulaF//hyfB//degP//hypD//tadA//bcsZ//dpiA//entB//ldtB//asr//casE//prpR//melA//alaU//nuoH//fucO//ydiU//dppF//
LldR-L-lactate	sbcC//pnp//rpoS//
Lrp-Leucine	yiaN//eda//pyrC//metY//yecR//torD//napG//borD//mscM//yedX//zntA//torD//sdaA//ung//alaS//ykgO//evgS//chiP//mglB//envY//evgA//bcsZ//slt//hycC//artQ//feaB//pgaC//yfiP//prfA//pgk//safA//cspE//ulaA//ilvD//katE//lyxK//rbsC//sufA//grpE//rpsP//grxD//pgaC//gatC//hyaF//malG//csgE//hisP//nuoI//cheB//aceE//phnF//hemA//rplC//csgA//phnH//xseA//yjjZ//gdhA//dpiA//idnD//lldP//malI//rpsI//gspI//fucR//purH//gcvP//uxaA//trpA//fixA//astD//astA//srlB//yfdE//folE//pheS//pitB//xseA//moaC//phnI//gspI//csiD//lldD//yoaC//cysI//mdtB//pnp//gltW//dppF//ssuA//entE//fis//cadC//araH//srlR//mdtA//nrfE//appA//hypA//hofP//borD//allD//ndh//ulaF//argP//purC//
LsrR	rrlA//fumA//fis//hyfC//hybA//csgF//cynR//fadI//fepB//
MalT-ADP-Maltotriose	sgbU//abgA//ndh//yccA//glpA//metL//carA//hisJ//sufE//astD//
MalT-Maltotriose-ATP	fixA//dsdC//serA//xdhA//moaD//napH//argR//sdhB//ascF//hofC//
MelR-Melibiose	aldB//hypF//araJ//
MetJ-S-adenosylmethionine	upp//rrfH//psd//ilvX//csiD//rprA//sufA//fadJ//ydfN//phnP//ppiA//mglB//malM//tehA//metC//
MetR-L-homocysteine	rybB//moaA//yiaK//yibN//manY//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]	fdnH//rcnA//rnpB//paaZ//cusB//glpT//
MhpR-3HPP	rplI//garK//uhpA//rhaB//hha//trmD//
MntR-Cd2+	glpD//csiE//cusR//rrsD//fucO//
ModE-MoO42-	motA//udp//ykgR//actP//hyaB//rutB//puuC//psiF//rrfD//oppB//feaR//csgE//ccmD//hflK//efeU_2//acrA//csgD//rpmC//rpsS//yibN//hflD//hycH//rpsI//yhfA//ychO//nac//glnL//rmf//ompF//nikA//fimA//spf//fldA//speB//garK//purB//nrdF//pnp//rstA//sgbE//narH//napB//hupB//alaS//phnK//lldP//
NarL-Phosphorylated	uof//nanM//hypE//ydhT//codB//yfeW//pgaB//folA//ebgA//purM//carA//aceB//ahpF//garK//qseB//ulaD//fixX//nrfB//fucR//hupB//ilvN//rplB//ygiB//lamB//bioC//gspI//tyrP//gspJ//abgB//tsgA//nikD//narG//cydA//cydB//hdeB//amn//mscM//nac//nuoI//purE//ulaB//tsx//ynfE//gltW//ahpC//artJ//truB//cstA//acrE//yqjI//manX//ydhX//katE//ascB//pitB//glmY//hycD//abgA//rcnB//atoE//kbl//yeaD//manZ//gutM//yfdE//ada//sufA//rimP//cysC//uraA//fucA//fnrS//dps//srlR//stpA//fixB//rnpB//bcsB//fucR//thrS//grcA//slyB//rpmI//pflB//carA//lsrB//xylB//yfdX//nrdD//nuoN//grpE//yfdV//chbG//allD//napG//lysO//tdcB//rimM//uidB//aroP//glpQ//tnaC//nrdF//phnC//pflB//nanA//dppC//argI//fhuE//gspG//mhpC//yaiW//zntA//alaU//ybfN//ndh//argG//trxA//betB//dsdC//tar//metY//metK//yfdE//sgbU//
NarP-Phosphorylated	rplT//mhpD//araE//rcnB//yeiP//yeiW//glcG//lysU//hofM//rrfC//exbB//hycG//csgB//bioF//lysO//phoB//fepE//grxD//bdcA//rbsK//ssuA//astE//chbG//efeU_2//nmpC//slyB//nrfB//uhpB//phoH//mtlR//nrdE//deoA//nikA//ydbD//prpD//rseA//mhpA//metY//metF//umpH//fhlA//ompR//dsdA//osmY//cheB//mhpR//hyfG//gpmA//tar//ygiC//
NhaR-Na+	znuC//guaA//cra//cpdB//cheW//fucA//ydhV//
NikR-Cd2+	carB//mscM//ccmE//treC//ilvG_1//betT//
NikR-Co2+	zwf//hybA//cysI//marA//lolB//creB//
NikR-Cu2+	ulaA//cheW//uxuR//ykgR//sufA//sufD//
NikR-Ni2+	hisM//gnd//pdeF//rhaS//ychO//ansB//
NikR-Zn2+	aaeB//udp//cydC//gltV//hyfG//rnlB//
NrdR-ATP	cydD//mpl//ihfA//rimP//sucA//paaC//gltU//ssrS//rpsP//
NrdR-Zn2+	tehB//yjeF//sufE//moeA//appB//cadC//araF//rrsD//aroM//
NrdR-dATP	cheR//rnlA//dctA//fhuC//lysP//fepA//entC//allD//nhaA//
NsrR-[2Fe-2S]reduced	livF//phoU//ilvL//cysJ//feaR//nuoJ//cynX//ompF//nusA//tsaE//araJ//artM//csgE//livF//pyrC//gatC//acnB//cpdB//fadB//adiC//ulaB//udp//sodB//argP//aceE//yfdX//argR//feoB//appA//cydD//tauC//phoE//csgF//mntH//hyfR//tdcB//mglB//fiu//ilvC//narI//fecI//nirC//crr//allD//puuR//rpsS//fucK//ivbL//gspE//prmC//phnD//puuD//sgbE//hpt//ydfH//leuE//entS//gltV//lysA//oxc//glpB//nuoM//glpD//ydeM//ompR//fadA//spy//cysK//lacY//cusB//cusC//nuoB//rutE//
PhoB-Phosphorylated	uraA//hycE//lacA//astA//argO//mglC//livJ//caiC//purE//rhaS//pgpC//ycjX//fucR//nupC//frdC//bglF//lldD//phnG//ccmG//nagE//proP//dkgB//znuA//fepB//glmY//glnG//hyfJ//glgA//glgX//xdhB//hycD//hdeB//dcuD//atoB//phnL//allE//atoD//hdeD//rrlE//tyrA//ndh//nuoC//frc//puuR//ugpA//map//pnp//speA//caiE//rplM//gatB//rplD//dnaE//ydhY//glgC//aceE//argI//icd//ydeN//napB//rrfH//
PhoP-Phosphorylated	oppC//nuoE//yjeV//malX//aceF//csgG//yfdX//fumA//rcnA//glcG//carA//yiaJ//fadL//nagB//yidQ//ilvA//malQ//cynS//oppF//acrD//rof//rbsK//fhuB//ykgO//fes//gapA//rpsO//yjeF//sdaA//rcnB//entF//ldtB//fadD//artJ//glgS//cydA//uvrA//dadX//rplP//rrfC//upp//rrfG//mtlD//fadA//mhpT//abgB//ilvN//acs//atoD//alaS//agaA//phnJ//gutM//araJ//hyfG//ysgA//tyrR//
PrpR-2-methylcitrate	glnK//bioD//safA//grxD//lacZ//
PurR-Guanine	rplW//pyrC//cysJ//abgA//pyrC//mdh//sdhB//ugpC//gspK//emrK//cheB//appX//metA//phnE_2//znuA//phoQ//fepD//glgB//norR//waaH//torR//ydhV//nrdA//aspA//rrfD//rplW//ilvX//paaB//fepE//yeiL//ascF//flhC//purA//ccmH//
PurR-Hypoxanthine	zinT//rbsD//aceK//gcvT//sxy//mglA//alaA//treB//sucA//uhpB//hslJ//fhuD//betA//sufB//priB//ugpC//malF//stpA//entB//folA//tpx//rrfG//purE//phoQ//iclR//hofN//nrdA//copA//casB//agaW//ugpA//appC//mntH//ugpB//
QseB-Phosphorylated	sxy//phnD//hyfR//aceA//
RhaR-L-rhamnose	treC//citF//
RhaS-L-rhamnose	hupA//rrsE//sgbU//gyrA//ychH//ldtC//
RstA-Phosphorylated	adiC//lsrK//paaC//patZ//erpA//gltU//alaS//fadL//fepC//yaeP//
SoxR-[2Fe-2S]3+ oxydized	xylR//ascF//ilvA//cysH//
TorR-Phosphorylated	tauD//mpl//galS//gntT//torR//dmsA//pheS//tnaC//ptsH//cheY//
TrpR-Tryptophan	fnrS//astB//bamE//fadA//ydhY//fimG//ampD//sbcC//yeiP//sgbU//csgB//argI//
TyrR-L-tryptophan	nirC//dmsB//iraD//agaW//phoH//eda//fliZ//rcnA//cyoC//icd//nikD//ugpQ//nuoK//baeR//
TyrR-Phenylalanine	cyoC//phoU//ykgR//psd//ygaC//yhjA//yegR//nanK//rplI//fau//oxyR//sucB//ydeO//phoQ//
TyrR-Tyrosine	cysK//fumB//ydiU//yiaO//torC//preA//astC//paaK//fadD//rpsJ//gcvP//fnrS//ompA//hfq//
UhpA-Phosphorylated	glpA//
XapR-xanthosine	gltA//argA//
XylR-Xylose	ilvG_1//ybiT//tdcF//yiaM//gltA//cadC//
ZntR-Cd2+	mlc//
ZntR-Hg	ynfG//
ZntR-Zn2+	napH//
ZraR-Phosphorylated	ompF//dnaE//phnH//
Zur-Zn2+	betI//iraM//stpA//glrR//torC//xylF//
