#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	treC//srlE//paaI//nac//
ChbR-Monoacetylchitobiose-6P	aceK//tauA//ssrS//rrfF//rhaS//caiD//
CpxR-Phosphorylated	caiB//emrK//copA//glcG//yjeV//pgaD//fepD//ansB//metN//uxuB//ilvH//hyfG//fimI//livH//xylF//rpsP//sbmC//mntS//pheS//prs//fdhF//mglC//abgB//nusA//livF//fdhF//alaV//yiaK//mhpC//lsrC//casE//ileT//glgS//csgE//rpsI//cynT//yhjC//phnK//glcB//hflC//galE//ygbA//ccmF//sucC//glpX//stpA//mutL//icd//entC//cra//abgA//yojI//moaD//mltC//slt//leuE//araA//cydB//glpK//rhaD//ogt//yebE//cyoE//moaB//dpiA//pgk//csgG//ybdZ//fecD//
CreB-Phosphorylated	nikE//nikE//lpxA//entS//lsrF//patZ//grxD//spf//ndh//
CueR-Ag	ilvI//rpsC//rpsR//mdtD//moeB//narG//ychH//
CueR-Cu+	chbB//cdd//yiaM//ssrS//livJ//yneM//rnpB//
CuerR-Au	frdC//nrfE//priB//upp//nmpC//norV//ccmG//
CusR-Pasp	guaA//murQ//rhaA//abgA//ilvN//spf//rpsJ//entB//gspI//ilvM//csiE//baeS//
CynR-Cyanate	gatA//glcF//purF//entF//
CysB-N-acetyl-L-serine	galP//glgS//purB//rbsC//motA//yoaC//cspD//gatY//rhaT//gspG//agaV//ilvX//glgX//moaB//rpsR//rrfD//ybjG//grpE//cydD//purF//cpdB//astC//hyfD//truB//pgaB//ompC//acnA//cyoC//rmf//marB//
CysB-O-acetyl-L-serine	ygiA//argG//sroD//rbfA//dctA//purN//nrfF//fimI//tktB//fes//motB//hybC//fepE//uvrA//idnR//napC//lldP//acrD//fumA//nrfC//chbG//betI//uidA//xylR//fecB//gntR//creA//livM//cysB//nuoB//torR//
DcuR-Phosphorylated	nagA//purM//ybfN//csiD//marR//sgbE//pgaB//creB//malG//
DnaA-ATP	ppiD//uidB//yggX//mtr//baeS//nrfG//ompA//rplI//rutC//narQ//malG//gltD//
DpiA-Pasp	nikE//nrdG//lacI//fnr//grxC//rrsE//cysA//glnG//glnB//rhaA//rrlG//
DsdC-D-serine	nupG//ebgA//yhcH//
EvgA-Phosphorylated	entS//glpF//manX//safA//fimI//nanM//ompT//mdtD//fimI//fixB//pyrC//cdd//cyaR//cheB//trpE//
FNR-[4Fe-4S]2+ reduced	asr//csgB//moaE//ilvX//ygeH//dnaN//fnrS//cusF//exbB//glpK//fdnG//lolB//rcnA//aroH//mgrR//fhuD//alaU//tpx//grcA//paaK//sdhB//mgtL//lpd//ykgM//ydhW//carA//ilvL//phnC//ilvY//atoE//lpxA//dctA//creA//cysG//glgC//norW//pgaA//chbA//sufD//ilvD//ydiU//fucU//rrlD//aceA//cysB//yfeW//ihfA//rpsJ//iscU//yfdE//rrfC//cas1//adiC//hyaC//tauA//dps//xylF//ydeJ//chbA//tcyJ//nrfE//hycC//ilvN//gltV//rbsD//aceB//metR//oppC//preT//nmpC//fhuA//focB//citD//csgG//fliZ//astE//mntS//iclR//csgG//metC//cheA//xapA//baeS//treB//mdtB//ydeN//infB//lsrF//murQ//dadA//entC//arfB//gatY//metH//entE//motB//ssuB//pdhR//gapA//nrfF//rbsB//caiD//manA//fepG//livJ//dmsB//rplC//pck//hyfG//atoB//lacZ//purM//katG//purA//xdhB//asr//metI//spf//fdnH//metI//znuC//avtA//chbF//xseA//prs//ilvI//gatY//bdcA//ccmA//cpxA//lacI//hdeD//dcuB//mgtA//arcZ//abgB//glpX//adiC//uxaB//nupC//katG//mntS//trg//xylA//metB//uhpA//fabZ//hisQ//bdcA//xylA//hypE//ytfE//arcA//psiE//araJ//fiu//phnG//ydhV//allC//rhaA//agaW//katG//prpC//ychH//glpX//phnO//cysA//yiaN//ivbL//hybE//rpsI//gadB//yegR//xapA//mdtD//ykgO//rutE//cytR//malM//caiA//glnA//ybiT//ilvH//hypA//hybD//serC//moaA//sufA//yiaO//flhC//bamE//purE//cas1//betT//bamE//dsdX//ydfN//ysgA//rrlE//aroP//entC//phoQ//uhpA//glnL//hyfA//bglG//garR//entF//allE//paaE//nagB//nikB//rrfD//ykgR//gcd//cydC//ybjG//folE//csgE//fdnG//tsx//ftnB//tsr//fimG//fecR//nhaR//mcaS//nac//ydhU//cysU//sucC//xdhC//cusB//yfdV//gspI//hfq//exuT//cas2//ppiD//ubiC//betT//phoE//rutG//fimC//yjiY//hycA//nlpD//fecB//cysC//yqjH//astE//hyaC//abgB//dcuA//betT//nfuA//norV//nanT//fumA//ydeP//allE//tsx//purL//cra//lsrK//phnH//ccmA//entS//yqjH//glcB//mutL//dcuR//amiB//mhpA//fucI//mtlA//oxc//csgF//ycdZ//yfiP//znuC//fecB//yqjH//argC//degP//yhiD//appA//lacY//rcnA//mutL//dpiA//trg//lysA//ilvB//ydfN//ydeP//aaeB//rutC//hypB//purL//trpD//ompC//fhlA//cysK//nanC//
FhlA-Formate	ytfE//ugpE//gadB//rplD//hofB//alkB//fdhF//xdhA//dnaN//hofM//uxaC//ubiA//deoC//yjeF//pgk//ulaD//yiaK//narK//ulaC//miaA//lysU//cyoD//rprA//pgaB//iclR//tauA//tdcG//gltW//ahpF//znuC//
FucR-L-fuculose-1-phosphate	artM//nrdD//betB//dpiA//rrfE//aldB//entS//
Fur-Fe2+	gntT//astA//manY//nhaR//arcA//gltF//cydA//yegZ//skp//ilvB//raiA//narK//rpoE//slt//cpdB//dnaA//ynfE//gnd//znuA//uxaB//ivbL//aroG//ydhU//hycA//mcaS//ldtC//purB//zraS//hycA//tdcF//nrdG//sufE//ygiB//metL//rrlD//baeR//focA//acnB//torC//paaE//hflC//purD//csgC//hybC//rhaS//gntU//ygbA//abgT//katE//yjjZ//rplW//ybdN//cbl//nfuA//ilvC//evgA//ispE//sufB//caiE//idnT//yjeF//gpmA//malZ//emrY//argD//gatB//yjjZ//metK//pdhR//entF//fabZ//motA//acrF//yhhY//rutC//puuR//ompA//fabZ//fbaA//uxuA//arcZ//truB//preT//speA//yciW//yjjZ//uidC//nrdI//narL//entD//paaC//fumB//phnK//cysB//skp//xylF//xylG//csgF//rplW//pagP//focA//pepT//pheS//pyrC//cdd//sucD//fepD//upp//emrK//yeaD//phnG//lldD//rpsF//gspJ//paaG//gntR//metQ//ebgA//creD//rnlA//artP//fadB//iscA//hpt//phnM//evgS//glpD//moaB//dnaN//hyfB//fadA//znuC//trg//moeA//treB//ycjX//aspA//iscA//nrdD//rplD//
Fur-Mn2+	psiF//rbsC//sufS//rof//bcsC//acs//fumA//entA//rbsD//speB//rutA//phnM//cysB//sroD//trpD//rbsD//bioF//ugpB//sroD//nrfE//puuC//ompX//dusB//livH//fadH//uof//nrfA//cyoB//marB//hybG//bglB//srlD//fadA//cydD//narX//rpmI//phnE_1//trxA//efeU_2//yfdX//nuoC//hybG//ydhW//cysJ//micF//aldB//rplD//malM//fepE//appC//rpsQ//araG//rpsS//tehA//csgD//zraR//avtA//purK//phoU//metY//mzrA//yegZ//ychH//tehA//rpoE//uhpT//gspE//malF//nanA//ilvI//yoaG//alkA//lsrD//rybB//glnG//sroD//mglB//cadA//norV//metI//hyfF//hypB//gspL//purB//ompT//appY//rpoS//glpQ//marB//glnD//nhaA//gabD//hyfH//gabP//rrlG//modB//yjcH//tsr//lacZ//citC//lsrR//fucA//mzrA//livM//folE//fes//idnR//rrfF//tdcC//gpmA//yfdV//ulaF//prpD//puuP//cbl//nanM//pgaC//yeiW//mglB//modC//mgrR//psiF//sdhD//dppC//yiaO//aspC//deoD//nrfG//dppC//ybdN//caiB//tnaB//fes//betI//uidA//tar//nuoK//zraS//pheS//csiD//
GlcC-Acetate	nrfA//gltV//focA//ompA//gspM//amiB//yegR//
GlcC-Glycolate	ccmE//cspD//lacY//bioD//ubiC//pgaB//lpxB//
GlrR-Pasp56	ppiA//
IclR-pyruvate	epd//rdoA//murQ//napB//
IdnR-5-ketogluconate	kbaZ//lysC//nagC//nirB//araH//nrfC//acrD//malY//
IdnR-Idonate	mgtL//glpC//csiE//ssb//tdcA//pgpC//csiE//rplW//
IlvY-2-acetolactate	gntR//aroP//
IlvY-Alfa-acetohydroxybutirate	cyoA//trpD//
IscR-[2Fe-2S]1+	fucK//uhpT//lysC//aroP//cspE//baeS//srlB//ulaF//ygbA//nanS//ppiD//cydB//sbcD//fucP//ydeO//gpmA//malF//yaiW//rutF//rpsF//acrE//mglC//fimG//bioD//skp//rybB//rrfF//tsr//yeiW//cydB//envZ//argD//hyfG//flhD//upp//phnP//yhcH//fucI//iscR//bcsC//glgB//
LldR-L-lactate	ybfN//ygaC//pgk//
Lrp-Leucine	yegR//rrlG//dcuA//metF//glpE//ynfH//napG//lpxD//argB//ftnA//araJ//cstA//dnaA//entH//glcB//arfB//sufS//yciW//cheZ//tam//rrfE//slyB//trpE//iscS//ccmB//bcsA//tfaQ//trpL//hofM//lysP//caiD//glcB//mhpD//gspF//acrE//gabD//uxaC//fimC//chbB//ppiA//sgbH//ilvG_2//prpB//ydhY//ampD//srlB//rpsF//sufD//prs//paaJ//metQ//rrfG//nrfC//rrlG//patZ//mhpF//aroH//tdcF//trpE//rybB//csgG//rstA//mhpF//grxC//gltB//argG//miaA//raiA//ulaC//trpB//appX//fliZ//treC//gcvT//sdhC//hycB//cysD//ptsG//pyrD//idnR//cadB//cyoA//argG//astC//yiaK//malE//casC//acrA//phoP//nikD//rhaR//rpsQ//metY//bioB//tnaA//rseB//yeiL//exbD//fixC//icd//exbB//hyfG//yeaE//rrfH//puuE//cytR//
LsrR	hofB//metN//phoP//cheW//nrdF//gcd//iraD//pyrD//ugpC//
MalT-ADP-Maltotriose	garL//ydhY//bamE//tdcE//csgF//nuoG//araA//avtA//agaV//sucC//
MalT-Maltotriose-ATP	nadC//ssuA//nlpE//rbsA//oxyR//torR//rpsI//atoA//csiD//yjeF//
MelR-Melibiose	gatC//fimF//alaT//
MetJ-S-adenosylmethionine	xapA//rrlA//mzrA//gntU//ilvI//dadA//argH//ytfE//ftnA//mhpB//ompX//hemL//gntX//gltA//rpoS//
MetR-L-homocysteine	ilvY//fixX//rrsG//thrV//fumB//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]	zraP//cvpA//fimI//tnaA//phnL//purE//
MhpR-3HPP	gltD//gspE//envY//yjeF//ilvX//ydeP//
MntR-Cd2+	purA//frdC//ybfN//hdeB//moaE//
ModE-MoO42-	dnaN//alaU//marR//fucI//ompX//puuB//allC//fumB//puuE//gutM//ycdZ//yfaE//atoB//yjeF//trmD//tauA//gntT//nfuA//pagP//gcvT//uof//zraR//dapB//folE//pgaC//nrdB//acrF//sucD//yaiA//gspD//atoA//malS//manZ//atoA//mlc//cvpA//pnp//rpoH//zraP//lysA//deoB//astC//tdcD//hybF//cas1//hycB//
NarL-Phosphorylated	nuoJ//fau//fadL//galP//slyB//argE//mntS//hyfD//dmsC//rrsG//ompW//araF//mhpB//rrfF//alaT//artI//nuoA//hmp//entA//garL//yrbL//uxuA//rimM//actP//mgtL//sufE//malS//bdcA//pyrC//rbsA//tsr//epd//phnN//degP//gpmA//napH//pstA//guaB//fimI//nuoA//ahpF//truB//narX//hslJ//phnK//aroA//trxA//srlB//copA//iscR//chbA//nlpD//arcZ//tehA//fhuF//rbsC//miaA//ynfH//acrA//paaJ//nrdA//azuC//cysA//ulaF//nrfE//hyaC//glpK//csgE//fhuF//metN//mhpR//nikC//fucO//araA//dusB//aroF//hha//araJ//ampD//glnB//gatZ//gltF//uxuR//puuP//hcr//phnP//argF//bamE//amn//ygiA//napA//tdcD//crl//bcsC//lsrR//mtr//folA//entS//srlR//adiC//crr//nuoK//mglA//hyfC//rutF//gntR//mdh//tehB//nanM//araJ//lysP//purH//sbmC//uxuR//lacI//ilvG_1//chiP//creA//hyaC//pagP//tonB//ssuC//amn//yccA//mgrB//
NarP-Phosphorylated	rbsA//lpxB//moaA//tehA//envY//cadB//rplI//rrsE//creD//frdB//cas1//copA//ilvY//tpx//aroA//metR//ccmA//astE//sdhD//bcsA//araH//rpsR//treB//fnrS//rof//aspC//bioF//infB//phoA//phnM//pncB//focA//mglC//metQ//metQ//livH//argA//ulaD//fdnI//glmY//tyrB//fldA//lysP//gutM//allC//bglG//hyaA//ilvM//fdnH//csgG//
NhaR-Na+	livF//yegR//nuoG//citC//rnpB//acs//cusA//
NikR-Cd2+	ydeA//lsrK//purK//flhD//cydB//abgT//
NikR-Co2+	puuP//eda//zinT//cysB//dppD//mdtB//
NikR-Cu2+	caiB//dsdA//hybC//dmsB//glpB//uxuR//
NikR-Ni2+	cyaA//cadA//idnO//sgbH//nuoJ//epd//
NikR-Zn2+	alaA//fimD//lsrF//nrdF//deoC//sdhC//
NrdR-ATP	norW//tyrP//melA//argE//puuA//metJ//narI//artI//hupA//
NrdR-Zn2+	pta//ppdD//fadB//sgbE//ugpC//bioD//pnp//erpA//fnr//
NrdR-dATP	galM//rhaD//atoA//atoB//ytfE//araH//phnJ//hyaE//caiD//
NsrR-[2Fe-2S]reduced	dppC//grpE//psiF//hofB//livJ//hybA//yiaK//mtlD//cysB//nuoM//ileV//rbfA//fimI//hupA//nlpE//ydeM//lsrA//tyrA//ccmC//citD//rseC//iscA//hflK//phnN//hydN//fiu//ycjX//xapB//ppdD//exuT//fdnG//glpD//lsrB//glcC//gatB//bamE//torC//casB//ydhW//aldB//sohB//lacZ//azuC//hisJ//rpsQ//ilvN//phoH//hydN//fumB//nuoF//torR//purN//thrV//moaB//ung//cynR//artJ//lsrC//melB//ykgR//lsrC//uxaC//mglB//ogt//tnaB//aer//pheT//pdhR//tonB//narQ//yiaN//nanE//nuoL//
PhoB-Phosphorylated	ycdZ//cyoC//appC//ldtB//dcuS//appX//gltU//yfdE//motB//malX//lacZ//fhuD//rbfA//fecI//yhhY//fadB//trpR//codA//hflK//soxS//rplB//fes//hupB//fimG//sodB//fau//gspH//gyrA//mdtA//citC//dnaN//ykgR//purK//fucO//lpxD//tdcC//putP//malY//lsrG//pnp//yeaE//cusR//gltD//mepH//bcsZ//yecR//zntA//pdeF//avtA//oxyR//tyrA//metF//glpB//yfbR//carA//uhpB//rcnA//crp//paaG//hyaB//tktB//
PhoP-Phosphorylated	narQ//pyrD//nuoK//ulaB//cadC//deoB//rimM//manY//ydhU//gcvT//yjeF//mpl//napB//frdD//ychO//nrfF//sgbE//mdtA//nhaA//chbR//fdhF//ftnB//betT//yggX//feoB//metR//bioA//paaK//argA//gspD//idnT//ykgM//cusB//glcF//ykgR//ulaF//fimA//hisQ//srlB//osmY//nmpC//narL//mcaS//crr//argG//ybjG//preA//fumA//borD//nanM//deoD//flhD//agaV//yhiD//frdA//rutB//iscA//
PrpR-2-methylcitrate	cheB//lsrR//creD//tsx//cysD//
PurR-Guanine	argR//rrfB//yhiD//moeB//torA//casD//entF//garL//atoD//nrfF//yiaM//amiB//cytR//pepT//sxy//pstC//guaA//ilvY//uxuB//rrsC//priB//nupC//ulaD//phnL//guaB//treB//gcvP//rutB//xylH//narH//hflK//puuR//marA//lsrC//
PurR-Hypoxanthine	cydD//cyoA//fepD//nrfE//grxD//rbsK//gntU//yiaK//dctA//tpx//cysP//ilvA//malI//umpH//pgaB//rmf//rstB//ulaB//ygbA//hyfB//rseA//paaA//hypB//paaH//fucI//xylF//nlpE//rutC//yeaE//upp//spy//cvpA//pdhR//paaE//
QseB-Phosphorylated	fbaA//yrbL//nadC//fimD//
RhaR-L-rhamnose	sdhB//yeiL//
RhaS-L-rhamnose	cysA//ftnB//dnaN//pgaA//ygbA//ompC//
RstA-Phosphorylated	phnH//gatY//cirA//sroD//gntU//talA//hyfG//mntH//yhfA//nrfF//
SoxR-[2Fe-2S]3+ oxydized	rplB//malE//mtr//purF//
TorR-Phosphorylated	purL//ompT//argF//ybdN//rrfC//fimI//spy//alaU//rpsF//malE//
TrpR-Tryptophan	nuoF//xapA//fepG//glnG//fhuE//bhsA//ampE//raiA//cheA//fdnI//pitB//torC//
TyrR-L-tryptophan	cydB//moeB//malM//nanK//lsrB//gabD//csgG//psiE//lysO//gltF//mdtA//yegZ//uidC//csgD//
TyrR-Phenylalanine	znuC//mltC//rhaT//yggX//lamB//hybE//mtlR//ompW//rplM//nmpC//xylF//hybB//glcG//yeiW//
TyrR-Tyrosine	rnpB//arcZ//paaJ//mhpR//paaF//mtlA//crl//tauC//malQ//ptsI//moeA//araJ//speB//pgaB//
UhpA-Phosphorylated	hofC//
XapR-xanthosine	efeU_1//sucB//
XylR-Xylose	yiaL//purR//yiaO//dcuA//rutE//yoaC//
ZntR-Cd2+	moaB//
ZntR-Hg	appY//
ZntR-Zn2+	srlE//
ZraR-Phosphorylated	cadA//ynfE//csgF//
Zur-Zn2+	zntA//uxaB//hyfJ//hybD//fepG//malG//
