#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	phoU//cysN//gadB//rhaD//
ChbR-Monoacetylchitobiose-6P	iscR//upp//lacY//malG//marA//ilvN//
CpxR-Phosphorylated	glnA//nanM//garR//hupB//rstB//ccmF//nagC//sdhD//rrfE//sucA//xdhB//glpX//ilvX//cadB//fixA//hdeD//moaB//xapA//ssuB//artI//nanE//rplW//malY//nrdA//metJ//yhcH//hofB//yhjA//aaeR//preA//artJ//prpE//csgF//purE//paaI//mglB//aceA//trxA//erpA//ulaE//psiE//dusB//fecE//xdhA//feoB//frdD//rbsK//dpiB//caiF//nuoB//artQ//ulaE//erpA//bamE//rutA//galE//hofC//frc//rbsC//gltB//fepB//mtlR//dppF//hisM//entA//betA//cysU//dcuD//malX//
CreB-Phosphorylated	phnK//fepA//ccmC//modB//tauD//entB//manZ//idnT//osmC//
CueR-Ag	rrlA//uxuB//pgaC//argD//emrY//sbcC//hybF//
CueR-Cu+	marR//napH//lpxD//uhpC//torA//fecI//cheY//
CuerR-Au	rrlE//murQ//xdhB//nuoF//lpxB//csiE//casE//
CusR-Pasp	melB//ascF//casA//mltC//oppB//fepB//micF//pheS//ydfN//yiaM//entC//lldD//
CynR-Cyanate	thrS//hycH//paaG//aroH//
CysB-N-acetyl-L-serine	mcaS//casC//purL//ydhU//rutG//thrV//psiE//malQ//hemA//stpA//hycH//nagE//hycB//lldR//hofC//talA//melA//sufB//glpQ//glgA//tdcA//cysW//zraR//ccmG//ubiG//manX//araD//citC//hofN//aroP//
CysB-O-acetyl-L-serine	ydeM//rrfA//cheB//lacZ//cadA//nrdB//phnN//manA//nrfB//hyfC//alkA//cpxR//grpE//metN//tktB//nrdH//glnK//galE//rhaB//cysW//rplP//astE//sufC//nanK//sdhB//nikA//cynS//sufD//rplD//phnK//hmp//
DcuR-Phosphorylated	mpl//rpoH//glcE//malS//rnhB//tomB//ccmG//hofO//ykgO//
DnaA-ATP	yebE//ydeA//nrfE//paaB//truB//entA//fucR//pstB//dapD//casA//fes//yciW//
DpiA-Pasp	galM//ygiA//rutE//yiaM//purF//hofP//allE//alaT//appY//caiT//yeaE//
DsdC-D-serine	astC//yojI//gntK//
EvgA-Phosphorylated	narH//prs//appY//rpsS//purA//znuC//ulaF//ilvN//exuT//sufE//araB//ftnB//serA//fecE//pstS//
FNR-[4Fe-4S]2+ reduced	fadH//ccmB//uidC//dnaA//paaI//malK//glcE//gcd//entA//fdhF//glgS//glcB//dsdX//livJ//nuoC//hypB//caiA//araA//bacA//puuD//tsx//spf//trg//ccmB//efeU_1//rseC//purE//glcD//nirC//uvrA//yjeV//fumA//rrlC//znuA//avtA//gcd//xapB//gspL//yhjA//znuC//argP//psiE//hydN//hofN//sdhA//uxaB//lsrK//ccmB//ssuC//cueO//cysI//argA//glgS//tar//yecR//sufE//iscR//carB//nirC//narQ//yfdE//ung//nhaR//infC//acrF//soxR//aceK//argH//cpxA//dppF//allE//acnB//ssuC//nuoK//mhpE//ubiG//fumC//ccmH//rplV//gspC//gltU//hybA//glpB//gabD//rhaT//bacA//ilvH//bdcA//gntX//idnO//hyfD//umpH//phnC//iraD//livM//citC//rrsB//uhpT//casB//rrlD//caiF//miaA//napH//deoC//glmY//nikD//ascB//rpoE//cysC//fiu//fhuE//secB//mhpT//exuT//dcuC//ebgC//entA//hydN//hyfB//ccmB//fucU//yneM//prpB//hlyE//amiB//ydfN//yrbL//mpl//mntS//cydA//metB//rbsD//yfeW//yeaE//dctA//gabD//phnF//ompR//dsdC//uof//safA//uxuB//puuR//glpK//csgD//allC//dsdC//ilvE//abgA//csiD//asr//oppC//znuC//rrlC//ygiC//aidB//lacZ//nrdB//sufS//phnH//rhaD//hyfR//yidQ//cysB//cyaR//mhpT//yqjH//glcC//ygeA//tdcE//yiaJ//bglF//fecD//ilvX//cysG//yhfA//exuT//agp//napF//secB//treB//torR//hybF//nrfF//gcvH//yaiA//puuB//speA//bamE//malQ//nrdH//fadD//nirC//gutQ//glcB//rplD//phnN//bglG//glpG//ytfE//ytfE//betA//rpsO//tdcA//infB//rseA//preT//artI//glpR//tyrR//moaB//glcB//cra//argD//focB//glcE//uhpT//rplS//codB//tpx//prpD//ccmH//grcA//yjeV//mhpF//napB//iraM//flhC//grxC//tyrP//dadA//rhaA//puuR//carA//rpsQ//araF//phnE_2//paaI//fur//ysgA//mepH//sbmC//sucD//phnL//glpT//glcA//rutE//hofN//rpoH//pgaA//trxA//gadB//tyrB//fimD//betA//hyfA//pepT//fdnH//dppB//artI//cheW//rimP//fiu//narG//abgT//infB//gspJ//hflX//norV//ydiU//rof//creB//yqjI//frdB//malF//paaA//hflX//trpB//cydA//srlD//cyaR//gspG//fixA//atoD//ebgC//carA//cysM//cbl//nikE//hyaA//artP//cysD//ccmE//hycG//yciW//entE//ssuC//uof//xylF//srlE//pstC//mgrB//yeaE//ycjX//yrbL//
FhlA-Formate	hyfB//gadB//ileV//cusC//degP//yneM//aceA//pgaD//argR//paaJ//phnD//fadA//hybO//nirB//agaW//prmC//entS//rrfB//mutL//uof//ilvC//norV//frc//alkA//rrsA//nikC//rbsB//prpD//mhpE//ybdN//
FucR-L-fuculose-1-phosphate	adiC//phnM//upp//sufS//nanE//tyrA//mutL//
Fur-Fe2+	malX//nrfG//treC//rplI//ftnB//gntU//araB//atoB//rbfA//napA//rhaT//tsgA//eda//ppiA//yaiA//nikB//cysM//ybdZ//yegH//soxS//tsx//chbC//ynfE//gpmA//hisP//ileV//chbG//ftnB//cydA//nac//entB//rplS//mzrA//deoB//allD//slyB//proP//amtB//rutF//yeiW//ilvY//rpsQ//hycB//fhuC//ycjF//ompA//gntX//lsrF//phnN//yeaR//gnd//cynR//citC//lsrF//araC//cysK//ulaC//avtA//gltB//hycI//ssuE//ompC//ydhW//ygiC//hydN//argE//dsbA//appX//fadD//ychH//uxaA//nrdH//modC//fixA//fepB//dppA//rpsR//puuC//cyoB//dmsC//idnK//abgA//dcuD//abgT//priB//phoR//moaD//tsaE//dcuC//hybF//hflK//cirA//yjeF//citX//glpG//cspE//tar//folE//gcvP//arcZ//tdcG//hyfC//ccmH//nikE//qseC//gntR//tauC//hypE//rrsA//mgtA//citG//mntH//napA//gspG//fucA//cdd//ssuD//ugpA//eda//hycB//yibN//rpsF//hcr//fumB//xapB//nusA//feoB//mpl//ynfE//ptsG//adhE//ydiU//srlB//rpsI//yneM//puuB//yidQ//yecR//bcsZ//glcA//
Fur-Mn2+	sufD//ompX//casB//fadB//fadJ//mgtA//alaU//glgX//phnG//tehA//gntU//phnE_2//sbcC//appX//feoC//serA//frdA//pck//fhuC//rutG//pitB//cysI//focA//codA//nuoB//hyfH//ulaF//phnC//acnA//gspF//purA//ydhW//allC//mgtA//aldB//aldA//exuT//ackA//lysO//phoQ//murQ//idnO//deoB//dgcZ//phoA//tsx//fepA//sdhB//mgtA//aroL//paaA//nagA//gspM//ynfE//lsrB//araE//alaU//fadA//torR//fnrS//metN//trxA//marB//ydfH//entC//feoB//pheS//rbsK//abgB//betI//ubiA//gabD//cyaA//xylF//lsrC//glpE//cusR//araF//yjeF//truB//creA//fiu//cusA//infB//focB//ygbA//hyfG//mpl//cynS//appA//nikC//gspF//hyfC//araG//aceK//ugpQ//metL//stpA//rpsS//aroH//rpsR//fucO//cytR//mutL//bcsA//putP//cas1//araB//purH//appX//rpoE//yeiW//hypB//citF//gdhA//fepC//hybF//torD//safA//rrlC//phoQ//slyB//nuoH//purB//fhuB//rrfE//tap//glpT//frc//lacA//aceF//fdhF//entE//yidQ//glgC//rplW//gnd//tdcF//gspH//pstC//
GlcC-Acetate	ompR//psiF//mutL//acnA//sbcC//cvpA//rhaT//
GlcC-Glycolate	entA//casC//nanS//oxyR//rrlA//creA//hyfA//
GlrR-Pasp56	appA//
IclR-pyruvate	gspJ//nikE//pgaC//appY//
IdnR-5-ketogluconate	creA//speA//citF//betT//purL//fabZ//rbsA//lsrD//
IdnR-Idonate	hycI//rrfC//fiu//nuoK//yeiL//trmD//hupB//metR//
IlvY-2-acetolactate	ychO//glpC//
IlvY-Alfa-acetohydroxybutirate	ulaE//pstS//
IscR-[2Fe-2S]1+	mglB//hcp//gltV//fliZ//fadI//crp//acrE//agp//rpsO//safA//gntP//fucA//garP//bglF//caiT//hpt//entH//paaC//nrfF//sbmC//rcnB//yeiW//rutE//ftnA//fhuB//cdd//fimE//azuC//rbsB//fhuD//argO//rnlA//cheB//sucA//yjjZ//glpQ//phoP//cytR//rrfA//dcuS//pyrD//
LldR-L-lactate	nac//glpK//crr//
Lrp-Leucine	flhD//cheB//artJ//bhsA//epd//mgtL//rutC//puuA//argG//tyrB//gatY//edd//xseA//nikA//cyaA//cysD//caiB//glpX//moaC//ynfG//malM//yneM//thrS//tdcF//purD//agp//dsdX//iscS//proP//fimE//entC//fumB//hfq//alaT//fhuB//sbmA//artQ//yjcH//hybC//rimP//uidC//yhcH//azuC//dcuS//yfeW//yegH//treC//ssuD//znuA//prpE//moeA//fimD//cysI//sdhD//puuD//map//alaU//aceB//araE//ydbD//hypE//cysI//casC//uxaC//melB//uxaA//dcuS//manZ//fucR//bcsB//dpiB//xylB//creD//narX//rplV//hypE//sxy//fnr//uhpT//fadH//glnB//tdh//malK//cueO//infB//tsx//nuoK//yoaG//purC//hcp//dsdX//prmC//glnG//gltB//feoC//yhiD//rrsE//galK//ftnB//yggX//rutA//agaW//phnF//livJ//betB//narQ//
LsrR	caiA//ynfG//cyaA//dcuA//srlA//zraR//gntK//dppC//aroP//
MalT-ADP-Maltotriose	sbcD//moaD//ompA//fucO//ugpQ//mhpA//rnlA//map//safA//cheB//
MalT-Maltotriose-ATP	lsrK//rplV//lamB//fhuA//rpsP//mgrB//oppD//araA//fadJ//torD//
MelR-Melibiose	nikC//nmpC//phoQ//
MetJ-S-adenosylmethionine	appY//ydeJ//cysA//comR//appA//exuT//hyfC//rrlG//cusF//hycH//glgB//puuC//entA//lacI//araH//
MetR-L-homocysteine	aaeA//dadA//rimP//nrfE//znuA//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]	tauB//puuB//moeA//uhpT//pstC//ccmA//
MhpR-3HPP	qseC//moeB//mutL//ubiC//cysW//sbmA//
MntR-Cd2+	bioC//fhuA//marB//ssuE//gspO//
ModE-MoO42-	rnpB//nuoE//dcuC//citC//rpsF//pgaD//bglF//mdtD//hypE//iscA//dapB//pgaA//oppD//glcF//lpxB//narK//yjeF//hflD//phoR//hyfR//phnO//lldP//fimE//argI//torR//osmY//acs//ilvG_2//cpdB//caiC//pgaD//xylA//mtr//entH//yibN//rutE//ydeP//uhpA//rseC//agaW//hybA//tap//treB//ykgM//eda//aceE//
NarL-Phosphorylated	livF//ygiB//fnr//cusF//arcZ//speC//betB//argT//eda//galK//pdeF//fadJ//hyaA//ycjX//nupG//frc//ilvG_1//lldP//rprA//rhaB//fadD//speB//lpxB//yiaN//cyoB//uidA//nanC//melB//acrB//gltA//tsr//caiE//hisQ//caiD//flhD//efeU_1//rpsJ//agp//hybE//bioB//alaU//yggX//iclR//tnaC//astA//pflB//fepE//mhpE//acs//napF//thrS//rimM//tnaA//ydhT//talA//ybfN//idnK//cstA//oppB//melB//azuC//atoB//norW//rpsJ//torR//bcsC//argC//yqjH//serA//evgS//sxy//arcA//tnaB//araF//aaeX//sufB//creD//ansB//gabT//yebE//fecC//yiaO//glcF//astA//edd//codA//oppF//glcD//lpxB//oppC//phnG//cydC//nanM//ydeO//yaeQ//caiF//csgG//yecR//evgA//gltB//aroH//ubiG//appA//gntP//fliA//nrfA//napB//yrbL//tsx//guaB//comR//ugpA//phoQ//tauD//fdnH//rbsA//melR//gatZ//zraR//yidQ//phoQ//katG//hofB//ilvD//araC//
NarP-Phosphorylated	pdhR//emrY//hyaD//hybB//treB//ilvL//guaB//grxC//hycI//fumB//csiE//rrfG//manY//pdeF//iscU//hypD//yqjH//fiu//nikR//preT//rpsQ//nrdE//rpoH//carB//gapA//rrfC//lacI//ascF//yaeP//glgA//metQ//yfdX//rybB//pgaA//xylG//mdtD//modC//mdh//cysU//xylR//purK//codB//hflC//glcD//actP//ulaA//ppiA//codB//fhuB//rhaB//
NhaR-Na+	fur//fhuD//ulaF//yiaK//sdhA//allD//napC//
NikR-Cd2+	sodB//glpX//betT//mlc//ybjG//yhiD//
NikR-Co2+	abgT//cysU//casC//pgaD//sdhC//rhaB//
NikR-Cu2+	puuC//caiA//betI//alaT//udp//nagA//
NikR-Ni2+	citX//katE//trg//bglB//frdC//ompW//
NikR-Zn2+	dppA//aroL//cusA//pgaB//malG//rrsB//
NrdR-ATP	fucR//rutC//ilvN//rpsJ//rrfH//bhsA//zwf//glrR//fliZ//
NrdR-Zn2+	fecD//pdhR//gspJ//csgE//rrsB//yiaN//ascF//yfaE//csgG//
NrdR-dATP	galT//hofC//nhaR//paaC//rrlD//argI//sucB//rrfF//bglB//
NsrR-[2Fe-2S]reduced	ybjG//lacI//tdcG//ptsG//argE//yqjA//moaE//tyrR//hcr//prpE//livM//nagC//pstC//avtA//focA//sdhC//marB//grxD//narJ//phnI//rrsG//rrfA//deoA//pnp//sucD//ulaA//rplC//cysB//bcsZ//ptsG//ybdN//frdB//rseB//hydN//abgT//ada//garK//treC//tonB//pstS//phnL//cheA//rrfD//glgB//uxuR//tdcF//appA//psiF//tyrA//melB//iscR//ileT//hycB//malY//narK//rbsC//fecC//astC//astD//hycB//hofM//ynfK//tomB//cysI//rpsF//purD//hdeA//acrA//nrfF//aroG//uxuR//xylF//mhpC//
PhoB-Phosphorylated	fhuD//glnL//bioD//polA//gltV//ilvG_1//mzrA//murQ//cysH//nuoI//truB//nirC//csgE//rseA//glcD//grxD//cspE//serC//casE//hycG//sbmC//aroM//yiaO//gadB//betA//argI//nirB//hycB//tpx//fepG//pstC//araG//paaC//cytR//hisP//dapD//dadA//ykgO//hyfF//yneM//napH//livF//rbsR//fhlA//oxyR//tauC//narK//gntT//entF//ydeM//hybF//gpmA//nuoM//entC//agaV//mipA//cheR//tauD//hyfA//manY//cyoD//
PhoP-Phosphorylated	prpB//ompF//ygiC//cra//srlB//cyoA//guaA//gspL//pstB//napF//dsdA//metR//yfdE//rhaB//oxc//dctA//fldA//hycB//bamE//gltB//hofP//malI//ccmG//sucC//uhpB//cyoB//rpsC//yaeQ//napD//rbsD//recF//dppB//hisM//nrfD//mzrA//hcp//fdhF//cpdB//acrB//malG//mdtD//serC//gspJ//uxaA//malE//lrp//purM//nupG//norV//tsx//ascB//nanM//rprA//bhsA//pdhR//tdh//yjeF//
PrpR-2-methylcitrate	rpmI//ileU//nuoK//rplW//ulaB//
PurR-Guanine	treC//aidB//yiaJ//cusS//purK//nanA//csgF//glnB//malF//gatB//nrdA//nrdE//entE//abgT//dppF//oxc//allC//caiD//tnaA//pgaD//phoP//csiD//rpsS//paaG//thrV//upp//ygbA//mhpD//ynfE//uof//acnB//alaV//tauA//hofP//
PurR-Hypoxanthine	rhaS//dcuC//malK//bglF//livH//cysC//treR//hyfA//ileU//lysP//ynfK//argB//hybO//livF//hycA//metQ//glpB//astE//gapA//ilvD//rimM//nrdG//nlpE//rutE//ung//tdcA//ilvD//cyaR//tdcC//aroG//nanC//hcp//deoB//casC//
QseB-Phosphorylated	allC//yegR//hyaA//cadB//
RhaR-L-rhamnose	pgaB//modA//
RhaS-L-rhamnose	nirD//manA//yfiP//araA//ybdN//yqaE//
RstA-Phosphorylated	dppC//chbR//gspD//gspO//fucI//flhC//rimP//azuC//mdtC//ynfG//
SoxR-[2Fe-2S]3+ oxydized	truB//ycjX//yhiD//cysK//
TorR-Phosphorylated	rrfE//lacI//rrfC//acrE//pgaB//betI//allD//ccmG//hcr//fixX//
TrpR-Tryptophan	acs//ilvC//ydeA//degP//rplM//rrsC//atoB//xylH//yfeW//pyrC//ydeO//lysC//
TyrR-L-tryptophan	rrlH//yqjH//fecD//ftnB//ydeO//yfeW//acrF//tdcE//trpA//cysU//yfdX//arfB//arcZ//dpiB//
TyrR-Phenylalanine	malQ//metF//nuoC//ubiG//feaR//alaV//fumA//livK//entH//torA//hcp//nuoE//glnA//chbR//
TyrR-Tyrosine	gspC//tam//tar//torA//gspL//rnpB//hyaA//degP//tauD//bamA//rplB//metJ//cra//rplT//
UhpA-Phosphorylated	glpB//
XapR-xanthosine	frdB//fadE//
XylR-Xylose	stpA//ydhY//yeiP//xseA//fadL//rnhB//
ZntR-Cd2+	gspD//
ZntR-Hg	ilvA//
ZntR-Zn2+	cyoC//
ZraR-Phosphorylated	rutA//mgtA//yfdX//
Zur-Zn2+	glpR//moaE//nagC//ygiA//nrdB//rplP//
