#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	narH//hofO//dps//alkA//
ChbR-Monoacetylchitobiose-6P	tnaA//oppC//lldD//gspE//uidC//rrsH//
CpxR-Phosphorylated	rutC//cpdB//gatC//murQ//zraS//gatY//glpG//crl//chbB//cysW//phnH//lacY//hypB//paaB//ftnA//speC//phnE_2//ilvY//norV//frc//narH//phnN//tktB//dcuD//phnH//hflD//malS//casD//entS//waaH//nupC//cysW//copA//xdhB//malZ//rhaR//glpC//evgA//csgB//cusS//ynfE//artI//hyfI//cheR//glnD//fbaA//hybE//cbl//mcaS//nuoB//tpx//gltF//puuA//gadC//sucA//alkA//cusS//lacI//caiC//rpoS//nuoJ//hupB//norW//hofC//lldR//atoE//rnlB//gltT//frc//
CreB-Phosphorylated	umpH//motB//hycH//hyfH//manX//glcG//ulaB//zraP//rstA//
CueR-Ag	modA//katG//ilvM//dkgB//nuoF//purH//cynX//
CueR-Cu+	cra//ldtC//citF//nikD//astA//dsdC//trpD//
CuerR-Au	gcvH//narL//acrA//nirD//argF//idnR//uidC//
CusR-Pasp	rplI//malX//rutD//katG//secB//ptsI//idnO//mntH//glcA//nrfA//yiaL//hydN//
CynR-Cyanate	yfdV//argO//casA//prmC//
CysB-N-acetyl-L-serine	ssb//xdhB//glnK//puuB//rrsE//metA//ccmD//lsrC//tsx//uidA//prpC//efeU_2//paaZ//glnK//pstS//dnaA//rnhB//ysgA//hybC//dsdC//mscM//paaZ//narG//phoA//citX//talA//gnd//cydC//bhsA//mdtC//
CysB-O-acetyl-L-serine	ompW//zntA//actP//dapD//chbB//ldtB//aroA//agaV//hycC//thrS//uvrA//sbmC//pdhR//patZ//glmY//ccmA//entS//ebgC//glgS//nrdD//pgaC//malZ//fliA//tadA//glpE//glcB//secB//fecB//aer//ychO//puuP//
DcuR-Phosphorylated	soxR//nupG//safA//rnpB//pgaC//arfB//ydhU//entD//rutA//
DnaA-ATP	gutQ//aldB//fdhF//glgA//fadL//mpl//rrsH//aldB//rrlG//ccmB//fecB//aroA//
DpiA-Pasp	dcuC//rnlA//tdcF//betI//rrfC//bglG//nuoA//yfaE//treB//purL//pitA//
DsdC-D-serine	ynfE//ygeA//lsrR//
EvgA-Phosphorylated	treR//rplD//yhcH//cvpA//fepA//sucB//tyrP//fumC//appA//prfA//yegZ//napC//artP//rplI//fhuB//
FNR-[4Fe-4S]2+ reduced	bhsA//yeiW//cysW//uxuR//chiP//tpx//arcZ//iscS//mhpR//mhpC//caiA//phoA//uidB//bdcA//casC//csgF//yqjI//rrlA//spf//hcr//chbR//uidC//gspM//gabT//xseA//paaA//pgaC//yfbR//aceA//caiA//phoA//alkB//marR//napD//uxuA//rplW//pitA//hisM//hyaC//rpsS//asr//aceE//nuoK//mhpE//trmD//iraD//nuoK//ilvB//ompR//guaB//lsrA//yqjH//sbmC//ebgA//ptsI//dusB//metN//hybA//sxy//qseB//iscA//hycB//exbD//spf//hemA//nrdH//yebE//dppA//rrsC//rbfA//cdd//casB//metB//glpQ//aceA//zntA//acs//frdB//ssb//gcvP//paaF//feoC//glpE//rutA//rplT//oxc//rpsQ//entB//fecE//exuT//phnC//metE//betB//flhC//ulaF//guaB//aldA//ugpA//tyrB//rutD//uhpT//yggX//cdd//fiu//cysC//gatC//lysU//tnaC//hybE//emrY//cusF//casC//alaS//torR//trpA//hycB//malY//yjjZ//ivbL//ompC//aer//asr//astE//cyaA//ileT//sdaA//fucO//hydN//oppF//trxA//treR//glgC//fepE//fepB//yhjC//gatC//pagP//dcuD//dnaA//aidB//hisP//fepE//fixC//iscU//tktB//metC//ulaE//evgS//mhpB//grxC//fecC//aidB//gltF//artJ//ccmA//pitA//ycdZ//glrR//mpl//argC//rbsA//ydfN//yhhY//rseC//nupG//envZ//ccmE//sdaA//glpG//malQ//napD//ulaE//glnB//tar//glpK//phoB//srlB//mgrB//rrfD//tsx//talA//rrfC//uxaB//pheT//nirD//metH//aaeR//uxaB//hofO//betB//efeU_2//fes//fimH//yeiL//ilvL//serC//melR//gadC//glrR//narL//pdhR//gspI//dusB//entF//fumA//aaeX//cueO//katG//galT//ygbA//xylR//oppB//ydeP//modB//yoaC//acnB//hybE//napC//cytR//cydC//hybG//rhaD//ccmB//yiaO//hemL//gltT//rbsK//rpmC//ygaC//rrfC//hupA//lpxB//caiE//srlE//yhfA//cheB//oppA//rimM//idnD//sucA//entF//mdtC//fadI//evgS//glpG//hybG//cadB//mglC//sufA//trxA//cysM//yjcH//yeaR//pnp//ompW//gdhA//alkA//yebE//znuB//citE//livJ//pstS//polA//ascB//gadB//alkB//bamE//ynfE//sufD//cspD//ilvL//gspO//fimC//phoQ//ydfH//lysA//soxR//gutQ//xylH//gspG//ydbD//fimG//hyfB//actP//galK//yaiW//sgbE//yoaC//betB//cbl//fixA//argO//aldA//hycI//cusR//dppC//gabT//glcC//ugpB//focA//ileV//gabD//ccmB//rybB//zinT//
FhlA-Formate	ccmE//rrlD//ygaC//phnP//narX//hyfB//ygiA//puuE//narL//ychH//purF//lpd//marR//xdhC//cytR//rbsA//ompT//rrlD//fimD//cdd//lacA//yoaC//rbsR//murP//argG//caiE//astC//yaeQ//cynR//trxA//
FucR-L-fuculose-1-phosphate	hyaD//sucB//fadD//rrsA//cheZ//idnO//hcp//
Fur-Fe2+	ydeP//agp//yoaC//yqaE//gspE//fhuD//lpd//creD//marR//hofP//rrfF//metQ//nirD//degP//ygiA//dctA//yiaJ//tdcG//lsrB//frdD//lolB//hyaD//fumC//ascF//gatZ//narX//dppC//xseA//chbR//gapA//sbcD//fis//cadA//udp//dppD//phnN//tap//phnF//hybE//gltA//nfuA//rutC//uidC//lysU//ydfH//metB//narH//yiaN//ptsH//hyaE//ysgA//sufB//rrfB//carB//entC//ybiT//rpsI//ppdD//nanT//hlyE//gatC//purD//gabT//artM//tdcA//rrlC//nuoE//cheY//dadA//cysH//ampE//ccmD//rpoH//aspA//yegH//betI//gspD//dppA//mgrB//fixX//cyoB//ykgM//tolC//rrsE//ugpQ//aroL//hyaF//caiF//casE//ydeN//puuB//speA//ykgM//paaJ//serA//yfiP//trpR//hisQ//gspM//sgbE//mlc//serA//uxuR//ykgO//csgG//glcG//ccmC//rhaR//bioF//rrfH//fecB//proP//bioD//ynfH//cadC//dcuC//rplW//pflB//rutF//chbR//paaE//dgcZ//hycE//lysA//gatC//lsrC//rnhB//appA//ptsH//cusR//fimH//glcA//grxD//gatC//bacA//metF//yeaD//tcyJ//nikE//ackA//
Fur-Mn2+	pgaC//mlc//paaJ//phoH//cas2//lsrD//dppD//glrR//metQ//fecR//idnD//sucC//evgA//folA//uxaA//rhaS//yoaG//cusS//yecR//ynfK//rrsD//nhaR//yneM//trpD//cusA//ackA//mlc//ccmG//cas1//cheW//aaeA//baeR//aroF//metQ//csgB//gatZ//caiB//appA//fis//yfaE//mntS//nrdF//garP//glpK//aroL//betI//infB//hyfB//cysM//tdcA//asr//fiu//phoB//rimM//hcp//yccA//ugpE//leuE//hcr//modC//ldtB//argB//yhjA//ytfE//edd//micF//fucR//yaeP//uidA//entF//nusA//znuC//yiaN//murQ//phoP//astA//nlpE//trg//ompR//envY//ompC//ccmH//trpA//ilvC//gntX//rbsD//oxc//yiaO//ydeJ//glgA//ynfG//znuA//nhaA//chbF//agaW//frdA//metN//fhlA//fimI//ccmA//xylH//glcC//hmp//argR//yqaE//ilvG_1//hyaD//napF//fecA//ykgR//lyxK//xseA//manZ//thrV//rnpB//ygbA//ychO//cynS//soxS//cusS//cyoA//rrsD//mntS//tdh//ygaC//xdhB//melB//murQ//malZ//copA//tomB//ydeP//ompA//umpH//hybE//nac//fliA//zntA//tdcF//narI//
GlcC-Acetate	dmsC//lldP//cysH//csgC//rutE//gspM//entD//
GlcC-Glycolate	lolB//zraR//slt//cheY//ihfA//mgrB//gltT//
GlrR-Pasp56	treC//
IclR-pyruvate	prpD//leuE//cusB//fnrS//
IdnR-5-ketogluconate	osmY//safA//lyxK//copA//narX//uidA//hflC//prfA//
IdnR-Idonate	gltD//ppiD//gcvH//betB//srlA//cheW//nuoJ//rutA//
IlvY-2-acetolactate	yqjA//fhlA//
IlvY-Alfa-acetohydroxybutirate	entS//lysC//
IscR-[2Fe-2S]1+	gltV//bioD//glnG//bcsB//yeaD//ysgA//lsrK//grcA//rplS//nuoC//ccmA//norV//uidA//rrfG//ulaC//alaT//fimH//rrlB//caiB//fixC//yebE//dmsB//gcvH//gltT//glnB//gspI//rpmI//metL//csgE//hyfJ//lacI//oppB//gntU//ndh//ilvM//caiB//rrlD//nhaR//ccmE//acrA//zraS//
LldR-L-lactate	ulaD//ydhW//rdoA//
Lrp-Leucine	rutA//nuoF//aroG//ilvL//napF//cysD//yqaE//yiaJ//araG//ynfK//hofN//exbD//metB//nanK//zraP//dapB//gntR//pstC//soxR//evgA//bdcA//upp//ygeH//moaC//argB//uvrA//xdhB//acrF//yegH//yeaD//uraA//mglB//phnD//mdh//uof//fbaA//ybfN//nrdA//hyfC//envZ//manY//napD//gnd//epd//gltA//gspD//gatD//sxy//bamE//tauA//gadB//paaH//pgpC//nuoM//rbsK//nirB//ldtC//sufD//iscS//cysG//narJ//truB//narJ//ydeJ//mhpT//borD//puuC//gltB//garK//dcuA//phnK//preA//sdhB//prpR//hyfB//patZ//yciW//mhpR//metB//oppF//rbsB//gspJ//ulaB//polA//dcuR//malI//treC//adiC//yhcH//ogt//oppB//argF//ccmH//treC//tehB//bcsA//infB//dpiB//cynX//nanT//nikE//hycH//prpD//purK//yfdV//aaeA//
LsrR	dppF//hybF//ydeO//uxaA//atoE//cbl//rrsD//tdcD//tap//
MalT-ADP-Maltotriose	napC//malI//zraR//betB//arcA//atoA//phnN//trpB//norV//slyB//
MalT-Maltotriose-ATP	rplS//amn//nrfB//citG//uof//tdcB//uhpA//ivbL//phnL//purC//
MelR-Melibiose	caiF//leuE//katE//
MetJ-S-adenosylmethionine	melA//treB//cysI//malP//bcsC//phnF//mtr//fhuD//nanS//guaA//chbR//yeaR//glpA//asr//astC//
MetR-L-homocysteine	rrfH//pck//metY//hha//ydfN//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]	nrfG//guaB//tyrR//ilvA//ynfE//ompC//
MhpR-3HPP	xylA//rrlG//fimC//yqaE//rrfA//garL//
MntR-Cd2+	yaiW//atoE//agaA//dpiB//ptsI//
ModE-MoO42-	mhpE//atoD//rrlD//dadX//hycD//glgC//cirA//glpG//rpoS//tsaE//cas2//sufA//csiD//fadA//csiD//glpQ//soxS//sodA//purL//nupC//srlD//ahpC//bioA//modB//cysC//hyfG//paaI//phoU//phoQ//nrdA//gatB//astD//ilvG_1//efeU_2//raiA//mtlR//napG//ppdD//paaK//yegH//cadC//norV//aaeX//ugpE//mglB//cytR//
NarL-Phosphorylated	yfdX//ulaF//sxy//tdh//ryhB//acnB//ilvD//rrsH//glpQ//araB//ccmE//yhhY//waaH//trg//yhiD//fucP//ilvH//rpsP//purD//glpE//iscA//nanK//glcD//nrdG//cytR//gdhA//zraS//hofP//livK//emrY//mscM//rrlE//yccA//xapB//aspC//tauA//sdhD//hslJ//avtA//fhuA//pheT//araJ//yiaO//dgcZ//folA//rrlD//fnr//nrfE//rrsB//narI//livJ//rhaT//rnlB//tyrA//marA//yfaE//cysK//melA//napG//rpsO//mhpF//gpmA//malI//moeB//glgB//creB//mtr//yneM//astE//purD//aceE//gntP//mntP//ygeA//trxA//gntX//hisM//yegR//artM//soxR//phnK//cyoB//tadA//glcA//gadB//soxS//lsrK//chbG//appC//casC//cpxA//gntT//ilvC//yaiA//ubiG//sbmA//rbsA//dppD//ubiA//pyrD//yhhY//lsrF//bamE//dsdA//srlA//hydN//oppB//mglB//rutG//srlD//znuA//argG//cspE//ychO//rpsC//nuoE//hypA//betB//fhlA//galT//yhiD//aceE//paaG//aroM//ilvE//
NarP-Phosphorylated	ydeJ//hofP//phnF//pstC//cpxR//sodB//yciW//tnaB//sucD//patZ//uhpA//paaZ//ileV//tap//livM//tktB//araF//pgaC//tauD//nuoH//treC//tauD//fabZ//gabD//yeiP//erpA//dpiB//pheT//napB//pgaB//gltW//ybjG//hycD//rplS//ileU//nuoI//ydeA//ynfE//caiB//iclR//yegR//exuT//napH//proP//asr//casA//tnaC//yggX//murQ//malG//
NhaR-Na+	ompR//hyaF//nrdA//iscS//yidQ//fimE//narJ//
NikR-Cd2+	paaG//kbaZ//cheA//caiT//yfdX//tdcF//
NikR-Co2+	lsrR//folA//nagA//yccA//ilvE//phoR//
NikR-Cu2+	hypE//rnpB//lldP//iscR//fadI//rrlD//
NikR-Ni2+	hflK//phnI//idnO//iraM//fimH//hydN//
NikR-Zn2+	ubiA//glnD//bioF//rutC//gltU//rnlB//
NrdR-ATP	rrlA//caiF//rhaB//dmsC//trpR//narI//rplP//spy//phnP//
NrdR-Zn2+	ptsG//dgcZ//rrfA//agaW//hisJ//ybdN//astD//ynfK//rrlG//
NrdR-dATP	hyaB//hyaE//cra//bcsB//cheW//torC//csgE//ptsG//lacI//
NsrR-[2Fe-2S]reduced	hyaE//araA//arcZ//oppF//gltA//ada//nanS//gspL//preT//iclR//ybfN//torA//abgB//cyoC//aceF//narG//cyoE//metC//ycjF//oppD//nusA//znuA//qseC//prfA//fimD//cydA//paaK//alaS//rrsH//rrlD//rhaS//rutF//fhlA//spf//tnaC//nrdF//araJ//yfeW//mutY//fimG//bioB//grcA//hemA//fhuD//hofN//mhpB//napC//ndh//glnD//ugpE//cyaA//tauA//hycC//fimD//ftnB//feoC//yeiW//sdhA//slt//torD//rstA//caiB//fliZ//fepA//tolC//rplB//purH//aroL//iscR//ccmH//nuoA//hyfE//araC//
PhoB-Phosphorylated	ccmH//rimP//cysG//glcF//dapB//artQ//map//yiaO//rrsB//adiC//ahpF//tnaB//yfdE//trg//manZ//gpsA//nrdE//araE//galM//sdhD//dppF//glcC//pyrD//sgbE//cadA//fimC//dcuD//fiu//yegH//nhaA//dkgB//purK//qseC//galS//oppF//araD//metY//pstA//cheA//malG//betB//lldD//fimG//znuB//ybjG//fhuC//rrfE//nikR//trxA//glcA//cysK//agaA//purE//phnJ//cysB//hybG//sucD//caiT//uhpA//grxC//yeaE//
PhoP-Phosphorylated	cadC//secB//metQ//lamB//caiT//dppD//nrdF//sbmC//entB//hflK//glpA//napG//idnT//casB//guaB//prfA//dppD//nuoH//cbl//stpA//hybC//lysA//ydhT//rnhB//gltB//atoE//acnB//betI//ygeH//ilvG_2//bcsB//rimM//mhpT//caiE//ftnB//gatB//frdC//tdcC//aaeB//hybE//aceE//ydfN//glnD//paaK//uhpA//hisJ//bioB//cpxA//paaZ//lrp//aspC//fadE//crp//cas1//fepA//gspG//hofB//
PrpR-2-methylcitrate	narJ//azuC//glnK//yjjZ//erpA//
PurR-Guanine	pstS//ycjF//yccA//argR//garR//tpx//hyfI//ccmC//polA//norR//cstA//rplT//serA//ivbL//glcB//nrfC//folE//rrfE//grpE//cysM//ynfH//atoB//fimF//ssrS//baeR//rnhB//bamE//rpsS//phoB//csgC//ugpA//argH//oppC//mutL//
PurR-Hypoxanthine	paaF//yfdE//narG//aspA//agaW//aldA//tdcG//srlD//ilvA//cyaR//napF//cydA//mdtB//crp//aer//fepD//nhaA//hypC//ilvD//rpsR//cas2//bioC//uof//frdB//nanM//malP//entA//rhaA//malE//sbcD//epd//moaA//phnF//frc//
QseB-Phosphorylated	marR//hybA//nrdD//sxy//
RhaR-L-rhamnose	avtA//alkB//
RhaS-L-rhamnose	rpsR//fucR//fnrS//araJ//serC//metK//
RstA-Phosphorylated	napH//xapA//ygeA//tauD//znuA//acnA//lamB//malG//ampE//psd//
SoxR-[2Fe-2S]3+ oxydized	citX//agaW//napA//malZ//
TorR-Phosphorylated	entC//citG//hycC//dcuC//rutE//talA//thrS//hyaC//ubiG//malY//
TrpR-Tryptophan	lpd//zinT//hha//sbmA//xseA//rrlD//fiu//polA//phnF//speA//lyxK//bamA//
TyrR-L-tryptophan	fepE//yegH//fepC//ybfN//cytR//mhpE//deoA//aaeR//sbmA//deoB//metL//xylA//marR//fadD//
TyrR-Phenylalanine	aldB//atoB//lamB//citD//gapA//rrfD//dppA//nrfD//phnE_2//mgtL//nagB//lldR//rrsC//pncB//
TyrR-Tyrosine	pyrD//yeiL//entF//epd//marA//purL//mtr//hemL//glrR//rimP//marR//pgaA//arfB//gspC//
UhpA-Phosphorylated	yqaE//
XapR-xanthosine	yfbR//uxaC//
XylR-Xylose	oppA//ssrS//hofM//caiB//malS//rprA//
ZntR-Cd2+	gltF//
ZntR-Hg	purC//
ZntR-Zn2+	pdeF//
ZraR-Phosphorylated	rhaS//gltT//sodB//
Zur-Zn2+	frdB//bioC//lysA//lolB//nohA//rpsP//
