#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	cysK//yidQ//actP//upp//
CreB-Phosphorylated	ahpF//tdcC//fixC//sdhA//hofC//nanK//ydfN//napB//acrB//
CueR-Ag	fur//cas2//zinT//malZ//araG//nikD//crr//
CueR-Cu+	ccmH//acrB//xylB//cynT//nrdE//exbB//cysC//
CuerR-Au	epd//rhaS//mzrA//glpQ//gspK//cyoB//tolC//
CusR-Pasp	ykgO//casE//bcsC//rhaR//glpD//micF//rrsA//gatD//cysK//hybC//priB//fadB//
CynR-Cyanate	nikC//pitA//uof//moaE//
CysB-N-acetyl-L-serine	argH//cydA//acnA//lsrC//gspI//yibN//guaB//ssuE//yoaC//yegR//mhpE//ilvA//hyfB//gntK//rrlB//dcuR//yjiY//ppdD//glcB//gspO//hybA//rrfH//infB//yjcH//mpl//nfuA//soxR//bacA//astD//secB//
CysB-O-acetyl-L-serine	srlR//fepG//tauC//tdcB//rhaA//carA//narQ//glgS//yoaC//melA//fixC//mntH//entC//uvrA//dnaN//rplD//glcA//lysC//fecI//sufD//malZ//ccmE//malY//xseA//bcsB//dppC//feoA//rrfF//cusC//rpsR//sohB//
DcuR-Phosphorylated	rcnB//malP//glcA//grxD//ompT//envY//paaE//grcA//hemL//
DnaA-ATP	manZ//entH//ppiA//malM//rrlH//nuoN//hypD//fucA//ndh//eda//oxc//mglB//
DpiA-Pasp	paaI//lysO//glgS//purK//appY//gatB//ulaF//oppB//ycdZ//fimD//yhjA//
DsdC-D-serine	paaC//nrdG//moaA//
EvgA-Phosphorylated	ybdZ//fes//hypF//rplV//tehA//purD//uidA//thrS//aceE//sdhA//fliZ//puuC//ychO//xdhA//tdcB//
FNR-[4Fe-4S]2+ reduced	ysgA//phnG//gnd//tdcC//cysH//lpd//livM//trpD//glpG//ccmC//gspG//aceB//mtr//gspI//dpiA//bglB//trpE//argB//ychO//trmD//dmsC//tap//fimD//pstS//ygbA//dps//pdhR//rpsR//glgP//mgtL//fucO//fimH//soxS//mtlD//cdd//glgB//rpsO//pstB//rrsC//norR//yjiY//yneM//csiD//purN//ykgR//garL//ydeJ//sufB//rrfE//dps//infC//ccmH//folA//hyfJ//ssrS//puuE//lsrD//manX//guaA//hslJ//moaB//gspM//fnr//ompC//aroP//rnlB//baeR//ydeN//dkgB//nanK//moeA//agaA//glpD//pstB//xylG//dgcZ//dcuB//ynfH//talA//yedX//ydeM//aroM//mtlD//lsrR//ydbD//kbl//ulaB//dmsB//nrdF//treC//aceK//hycC//fhuC//oxyR//glpC//bamE//aspC//rnpB//lpxD//moeA//paaK//glpX//hydN//rbsD//nuoJ//xylA//alaV//paaC//uxaC//alaU//lrp//cusA//malP//dkgB//sufD//lldD//frdB//mglC//uidC//lldP//xylF//dnaA//soxS//tsaE//lsrF//pheS//dppA//murP//rplD//rrlG//malM//entD//rrfC//gntP//cdd//malZ//nuoL//uxaC//dgcZ//ung//cysM//hyaB//cadB//feaB//ydeJ//frc//yegZ//aspC//cheA//cydC//tdh//citC//rrsH//cyaA//osmC//hofO//csgB//idnT//pgaA//fes//entE//aroF//ydeO//astE//yjiY//cydC//glcF//ompX//oxyR//pitB//hyaB//gpmA//oppD//napB//dcuA//paaA//srlR//ssuE//acs//yhfA//slyB//fucK//ileU//crl//rseA//fucU//creB//hypF//sodB//pitB//phnL//rutG//qseC//metY//ccmD//aceB//hisQ//yeiW//ubiC//rpsJ//ulaE//rplT//galM//idnK//hofP//hofM//lsrD//casA//hyfJ//hybD//lyxK//nanA//gatB//idnK//tsx//srlE//metY//ilvD//serA//araD//rpsF//folE//nac//hybA//yhiD//ydhU//acnB//atoE//bcsA//yiaK//tsaE//tam//iraD//hybO//trmD//paaJ//aroH//malQ//glpT//alaU//ompR//fumA//csgC//gltV//ydhY//rplW//cyoB//glrR//entF//guaB//cvpA//allE//dcuS//argD//phoH//pheM//lsrG//acs//speC//nrdD//prpE//cheB//nrdD//creD//tyrR//metA//casE//tpx//gspH//tauB//dmsB//borD//prpB//acrF//mhpC//crp//ssrS//cusS//malY//xdhC//bioF//thrV//mntS//thrV//rrsD//fucU//gntX//sdhD//mhpT//marB//fadE//yqaE//metL//cynS//ugpB//hslJ//nuoL//glnK//nac//hflC//appC//rutB//carA//rmf//glpB//
FhlA-Formate	fecB//serC//serA//aceA//ydfH//purR//aceF//hupB//gatD//sbmC//rpsJ//nrfE//zntA//yciW//paaJ//aceF//pgk//ugpQ//yfiP//phnE_2//ulaE//tnaA//gntX//yjiY//tnaB//ileV//pgk//mgrR//baeR//lsrG//
FucR-L-fuculose-1-phosphate	gltD//ssb//creD//caiT//yfdX//nfuA//ldtB//
Fur-Fe2+	cstA//zntA//bglF//yqaE//ygiC//iclR//motB//malT//truB//atoA//tsx//narH//glgX//hflX//yjeF//rutD//lysC//metJ//hflX//livH//yaeQ//serA//hyaF//ydhV//speA//cadB//yfbR//aroG//purE//pitB//hdeB//nrdH//tdcA//csgF//cstA//malQ//actP//rrfF//priB//cspE//appA//eda//araA//oppF//hycA//argD//rrfG//tdcD//artQ//yiaM//gspG//ykgO//trxA//hycC//cysC//chbA//mtlD//rplI//alaV//grcA//hemA//dsdX//cpxR//chbC//edd//gspE//rpoS//nuoK//ilvG_1//tdcE//cysA//hybC//cynS//mdh//rrfG//nadC//ssuC//ccmA//cheA//cadA//zinT//phoQ//ampE//fis//chbF//cysI//osmY//rrlD//carB//phnF//sroD//phnE_1//phoQ//argA//feaR//rrfC//acs//csiD//idnD//lsrD//yaeQ//uxuR//fdnH//aspA//mhpA//frdC//rrlA//nikD//rrfA//hisM//feoC//hycC//nrfE//pitA//bioF//gpsA//lsrB//tnaB//tauC//ppdD//napD//fadA//nuoM//ydhT//ygiA//purM//dadA//casA//proP//psd//fimC//argR//gltV//idnK//torD//ileU//purL//glcB//idnK//fliZ//
Fur-Mn2+	ubiA//phnE_1//paaE//bdcA//dcuD//baeR//ydhT//pitB//rrlA//rutG//metH//feoC//mdtA//ubiG//cydD//atoB//cheB//yegH//yiaJ//metF//purN//qseB//ilvB//ppiD//uxuB//kbaZ//hyfD//iscS//pstC//hyaB//hycH//gltD//mltC//acrF//nrdD//ulaF//nikD//rplP//nirD//rbsC//rcnA//chbR//rrfD//icd//dusB//aceA//nuoH//exbD//gntR//soxR//yeaR//fliA//dsdC//nhaA//marB//citX//ynfK//gatC//glnG//yegZ//mtlD//fumA//prs//trpD//dgcZ//gyrA//galE//envZ//nikC//cysI//norR//acnB//dps//cysM//yoaG//rhaR//feaR//ybiT//citD//hemL//gabT//glpT//ydeP//galK//bcsA//mntS//cysU//dppC//recF//pheM//nagA//ygiA//yqjH//tsaE//rof//gspK//rrsE//ompT//gatD//znuC//sdaA//ptsH//fadI//csgE//aroM//uxuB//cyoB//hisJ//marR//nikE//tyrR//fecA//mcaS//mdtB//trpE//phoU//pgaA//rpsQ//nrfA//cadB//cyaA//fimG//glpG//alaV//yegH//comR//galS//malM//csiE//hofN//nagC//rutB//casE//ileU//hemL//ampD//ilvE//ompX//alaT//ompF//
GlcC-Acetate	hybE//mzrA//nohA//ycdZ//uidC//envZ//ssb//
GlcC-Glycolate	gspJ//torA//trxA//cysC//ydhV//osmC//agp//
GlrR-Pasp56	rstB//
IclR-pyruvate	aroL//ycjF//phnH//alaV//
IdnR-5-ketogluconate	pnp//waaH//torA//cpxR//fucR//lsrK//psiE//glcE//
IdnR-Idonate	preT//ydeP//casB//guaA//xdhC//acrB//ilvM//glpC//
IlvY-2-acetolactate	fhuA//torC//
IlvY-Alfa-acetohydroxybutirate	chiP//hycF//
IscR-[2Fe-2S]1+	lpd//ssb//cadB//deoC//focA//hypF//gpsA//gntR//yrbL//malQ//efeU_2//araF//hycD//hyfD//yegR//uxaA//mlc//glpK//phoU//rseC//cysA//rbsD//gntP//ykgM//envZ//dnaE//tyrB//mtlD//fdhF//purD//ascF//cbl//argH//bioA//nmpC//arcA//torD//aroA//creB//psd//tyrA//
LldR-L-lactate	cysJ//oppD//nanA//
Lrp-Leucine	pgpC//fimG//sodA//lldR//tnaA//gabD//hyfD//pyrC//aidB//rnlB//hyaB//envY//fhuD//motA//tadA//pitB//folA//cas2//mhpE//gutQ//adhE//atoB//hpt//yjeF//lysC//paaZ//cheR//fau//safA//yjiY//fdnG//rrfF//tonB//bioA//norW//ahpF//mdh//hdeB//grcA//tpx//nagB//rbsC//artI//aroA//yegH//ampD//prmC//pyrC//entH//cysJ//ubiX//pagP//nac//gadB//yeiB//trpA//oxc//truB//glrR//entC//fumC//marB//feoB//dsdC//frc//folE//pheM//paaD//mipA//sufS//deoC//ilvI//bglF//manX//glcF//bhsA//appB//paaI//crr//cusB//uraA//lpxB//cysK//rpsQ//narJ//nohA//cspE//tauA//xdhC//ubiG//xylF//fepE//bhsA//feaB//nac//pyrD//prmC//hisM//hemL//nuoH//ydiU//ydeJ//nuoJ//secB//tonB//yfdE//
LsrR	hyfF//dppA//ccmF//fnrS//treC//uhpC//lldP//phnI//mdtC//
MalT-ADP-Maltotriose	aceF//creC//yoaG//yhhY//murP//arcZ//puuC//phoR//rpoS//pstS//
MalT-Maltotriose-ATP	hycB//sdhC//icd//gntR//exuT//lhgO//spy//znuB//uhpA//yhiD//
MelR-Melibiose	narQ//fumB//narQ//
MetJ-S-adenosylmethionine	ychO//tadA//iraD//gspO//yqaE//alaA//ydhY//mepH//prmC//grpE//yjjZ//narH//rhaA//ileU//trg//
MetR-L-homocysteine	ynfH//carA//fecC//nikB//melR//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]	mutL//purL//glnK//paaF//cysH//fumA//
MhpR-3HPP	araD//purA//entD//hofM//tauB//lsrA//
MntR-Cd2+	sufE//araB//ung//fhuC//ydeO//
ModE-MoO42-	mgrR//cdd//ugpA//cas2//hyaD//yaeP//puuC//nrfG//gltT//nuoM//yhjA//pitB//cyaA//treC//grxD//xseA//zntA//csgC//bamE//tolC//bamA//gltA//malE//cytR//yoaC//hyaB//iscA//sxy//rmf//lsrK//cynS//thrV//phnI//betA//rplS//purF//rrfA//paaH//glnB//tsaE//cpxR//fecD//chbA//mhpA//trpA//entA//
NarL-Phosphorylated	nrdI//tfaQ//putP//ulaF//fucO//napB//epd//ygeH//gcvT//ccmD//puuE//nikA//gutQ//fecE//metH//katG//agaW//casE//lsrB//flhC//atoE//fumA//phoU//nikR//aaeR//tsr//ilvM//kbaZ//rrfB//cysM//lysA//dnaE//paaG//lsrK//aroF//betT//slyB//phnO//ubiC//rrfB//ydfN//hofC//tnaB//tnaB//sucC//trpA//artQ//yiaK//rimM//acrA//truB//dmsA//gcvT//xylR//nfuA//manX//yoaG//rdoA//rnpB//rrfG//hypB//lldP//fimE//paaI//marA//yjcH//livG//fixA//feaB//yiaO//mtlA//glgB//csgA//motA//dsdX//nfuA//trpL//ppdD//fbaA//chbR//secB//fucU//alaS//moaD//cusS//araD//ugpA//uhpA//sufS//cydC//bioF//hyfF//yeiP//erpA//uxaC//ilvB//csiE//ybdN//yciW//yiaM//recF//rpsQ//sohB//grxD//lolB//glgX//pyrD//ulaD//gutM//nusA//ampE//casD//kbl//acrA//hha//ilvX//araE//dmsD//infB//sxy//codB//phoQ//argE//sbcC//nuoL//
NarP-Phosphorylated	dcuA//nrfG//fadL//ugpA//fdnG//fadI//livH//ascF//phoR//gntU//cyaA//rutC//bcsA//entD//rseC//purD//nrfB//oxc//dkgB//yjeV//dppF//rplT//actP//paaD//borD//paaG//glnK//rpoE//stpA//ldtB//puuA//rrfE//phnC//acrA//pgaA//ccmE//srlD//nrdH//thrV//metC//csgA//xdhC//astD//citD//entD//gapA//ebgA//melR//frc//hyfH//
NhaR-Na+	nuoB//ulaE//creD//ccmH//livG//dgcZ//fhlA//
NikR-Cd2+	rpsC//mhpD//nusA//yeiP//fldA//trxA//
NikR-Co2+	cheB//lrp//iraD//cysW//aldA//yjjZ//
NikR-Cu2+	allC//polA//caiE//folE//bglG//amn//
NikR-Ni2+	hybD//yqaE//speC//xylA//napH//ompC//
NikR-Zn2+	cyoB//ccmD//glgS//rrfD//yjeF//pta//
NrdR-ATP	mhpT//deoB//manX//gntR//paaJ//prpE//paaK//deoA//micF//
NrdR-Zn2+	yhjA//amtB//gatB//manA//yaeP//cysN//rrfG//motB//chiP//
NrdR-dATP	tdcB//preA//artJ//xdhC//tdcA//malZ//dapD//sxy//glgX//
NsrR-[2Fe-2S]reduced	sxy//puuB//argC//zraR//pnp//alaT//baeS//cysB//ydfH//dmsD//cysM//phnD//amtB//ccmB//tyrP//tyrP//glnD//artM//creD//aaeR//gntX//xylR//purD//map//ybfN//trpC//metA//polA//fecA//araB//fumB//rpsC//dppF//hycF//hcp//yiaL//prpR//fdnI//mtlA//yaeQ//srlE//fepE//gltF//fes//rrfE//zinT//cueO//nuoF//manZ//narH//sdhD//rrsG//xylG//hofC//yegZ//lacI//purR//ryhB//mhpD//purB//rpsQ//narH//fecE//ydeO//rseA//ygiC//hyfG//paaJ//abgA//mhpT//glgX//cyoD//phnP//
PhoB-Phosphorylated	ccmD//sgbH//pgaC//metY//araF//rmf//rpmC//lacZ//fadD//aceF//srlB//mltC//glcC//emrY//tdcD//guaB//artM//tfaQ//ydeO//sdhD//entC//cyoC//mltC//yhjA//ompA//pgaC//cusB//dnaA//emrY//tehA//sufD//yfdE//caiE//gntK//ccmC//rcnB//metR//ygiC//hypB//argP//idnO//appB//mhpB//murQ//glpR//hupA//gltT//uidB//fimA//flhD//argH//yiaK//aroL//glcB//hflD//ydiU//galT//gntK//focA//argD//cydB//
PhoP-Phosphorylated	stpA//adiC//ycjX//lpxB//dpiB//skp//csgD//yfaE//casB//kbl//ynfG//livH//ygiA//hypD//fbaA//creB//fimH//ygeH//csgD//caiA//yhjC//allC//paaD//purA//purM//yoaC//ompA//casC//glpC//copA//cyaR//bcsZ//ccmG//codA//zraP//ompT//ynfG//gltV//crr//hofN//astE//uof//iraD//ycjF//ybjG//hyfG//lpxD//hypF//purA//nhaA//nirD//tdcA//ssb//aspC//hyfR//hdeB//acrF//
PrpR-2-methylcitrate	cysK//ydeM//qseC//ynfH//rutB//
PurR-Guanine	hyfD//citE//ydiU//paaI//acnA//efeU_1//tyrP//appY//ynfK//cydB//fimC//tsgA//hofP//borD//citG//iclR//aspC//xdhB//ydhX//tonB//cra//ydhU//yjjZ//glcC//ansB//appB//cusA//bioB//lrp//hycE//dcuC//rpsR//livK//narH//
PurR-Hypoxanthine	garK//focA//glgC//rrfE//yfiP//fixC//hycF//araF//purA//exbB//ftnB//torD//cysP//fimF//sufE//nikA//cynR//mdtC//lhgO//ampE//bglG//rseA//ascF//tyrB//rrlG//ugpA//phnE_1//nagC//ompT//rpsP//tsx//cynT//rpsP//nanM//
QseB-Phosphorylated	hybB//galT//abgA//rrfF//
RhaR-L-rhamnose	malM//bioA//
RhaS-L-rhamnose	cstA//xylF//rcnB//evgS//ispE//csgA//
RstA-Phosphorylated	yjiY//hypF//casA//hycD//moaC//dctA//uof//mtlD//zntA//ubiX//
SoxR-[2Fe-2S]3+ oxydized	rrlG//malS//alkB//nirC//
TorR-Phosphorylated	creD//sdhB//bcsC//tdcE//phoQ//thrV//mgtL//tam//appC//ompC//
TrpR-Tryptophan	gntK//nanA//mhpT//araJ//bioA//yojI//hycG//carA//sufA//znuC//hemL//idnR//
TyrR-L-tryptophan	puuE//alaT//citC//yeiP//mtlR//ydfH//dadA//gspG//abgA//nanM//alaV//fadI//nanM//hha//
TyrR-Phenylalanine	rplP//hycD//yfdV//sucC//uidB//lysU//hlyE//amiB//gntU//ascB//uof//dapD//mhpB//rplB//
TyrR-Tyrosine	glcB//hflX//fixX//malG//nagA//nuoK//glcD//amtB//galS//artM//malF//treB//citX//oxyR//
UhpA-Phosphorylated	rbfA//
XapR-xanthosine	fucP//metA//
XylR-Xylose	icd//paaJ//zntA//ugpA//mutL//betI//
ZntR-Cd2+	ygaC//
ZntR-Hg	pagP//
ZntR-Zn2+	modB//
ZraR-Phosphorylated	cheA//hyaD//metE//
Zur-Zn2+	ydeM//rhaD//ppiD//mhpA//hypA//paaG//
