#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	srlR//ung//rpsJ//rbsC//
ChbR-Monoacetylchitobiose-6P	ilvA//bcsZ//astC//hypF//gapA//trpL//
CpxR-Phosphorylated	pheM//prpB//recF//aaeX//hisM//zraR//focB//hypE//tcyJ//ynfG//yeaD//napF//cydA//rhaS//puuD//yegZ//rpsC//iclR//tar//hupB//moaD//cdd//alaA//aceK//gltW//rrsH//rpsC//oppF//glcB//bcsB//crl//yiaK//csgG//torC//citX//paaH//ydfH//lysC//fhlA//sufS//cheW//cas2//cspE//osmC//tdcD//murP//acrA//glpB//grxD//ahpF//fimE//dadX//ssrS//paaC//glnL//puuR//chiP//dgcZ//yjiY//trg//fucO//deoB//glnG//mtlA//cheB//glcE//uxaB//fliZ//glpR//
CreB-Phosphorylated	glpE//fixC//moaE//rplC//yjeF//csgC//metL//fiu//fhuE//
CueR-Ag	ompX//gcd//iscA//casB//ulaE//cysP//appX//
CueR-Cu+	aaeR//yeiB//ugpE//prmC//nuoE//evgS//argT//
CuerR-Au	ascF//mntS//hypA//dpiA//cysM//copA//glpC//
CusR-Pasp	metL//rplI//dsdA//cydD//fimG//rutE//spf//fucO//ihfA//serC//glpK//purA//
CynR-Cyanate	bioD//rpmC//nanM//ydeO//
CysB-N-acetyl-L-serine	mdtC//fucI//cysK//rrfD//arcZ//gnd//hslJ//lysU//pheS//borD//ynfH//aceE//napD//ccmH//rhaT//napF//manY//thrV//tdcE//evgA//azuC//hofB//chbC//artQ//argG//cas2//rrlA//fadD//ivbL//xdhB//
CysB-O-acetyl-L-serine	pgpC//ydfH//hyfH//metQ//ydhU//rhaA//umpH//sohB//nadC//tsaE//puuE//hyfR//yhjC//marB//rrfH//ykgM//fabZ//tktB//nikE//rplM//narI//ebgA//appC//torR//hyaE//frdC//citE//entE//rplT//mtlD//ftnB//
DcuR-Phosphorylated	tsx//prpR//atoA//rimM//fepE//sufS//lsrK//rbsD//hycI//
DnaA-ATP	rmf//hemA//metY//lysA//mltC//argC//nagA//gspI//psd//phoB//citF//fhuF//
DpiA-Pasp	zinT//purK//nadC//truB//pstS//cvpA//hdeA//carB//arfB//fdnH//sgbE//
DsdC-D-serine	cspD//talA//phoB//
EvgA-Phosphorylated	nuoK//hofO//bioF//bcsB//yidQ//marB//rrfA//adiC//prpC//ilvI//artM//srlR//tyrB//dsbA//dsbA//
FNR-[4Fe-4S]2+ reduced	livJ//gcvH//hupA//katE//sodB//gspM//rhaT//ydbD//baeR//paaK//sufC//flhC//pagP//yqjI//rrfF//fiu//hyfR//carA//fadJ//dcuA//yecR//yeiP//nrdH//fucA//tauD//crl//slyB//zraS//fucU//galK//slyB//prpR//hha//ynfF//yaeQ//malQ//trxA//gspG//truB//mepH//cadC//pgk//nuoG//hyfD//nirB//rybA//rrfC//lsrG//glrR//fucI//yccA//metA//malX//speA//ybfN//fdnI//thrV//appA//idnO//cusS//cysM//nac//focA//mpl//fldA//mltC//yggX//garR//talA//rpoS//gspH//metA//motB//fis//rrfG//yjeF//paaE//sucC//sufE//pitA//acs//ydeM//tdcC//cusR//gspI//cheW//ptsG//ssuD//cusA//aspA//uxaC//gadB//lysA//narL//hflD//lldR//araC//oppA//iclR//ftnA//zntA//gspE//mntS//gspL//epd//entE//glgC//nuoG//ccmH//oppB//fadI//treB//entS//phnH//cydD//fadI//dapB//lyxK//rrsH//phnN//mgtL//purD//fadD//tyrP//grcA//galM//malF//glgX//hlyE//fecB//qseB//lrp//nuoN//cdd//cysB//xylA//betI//ynfH//uxuB//bioF//hycH//iraD//dppD//entA//dgcZ//mglB//gltB//melB//ykgM//yqaE//tdcF//aceB//glpX//dps//hisJ//acrB//glnL//purE//livF//norV//glpK//phnG//hslJ//aaeB//mglA//nhaA//aldB//hybO//fimE//metA//rpsO//ugpQ//galE//cytR//ubiA//rbsA//argH//dmsD//yqjA//gspD//cusC//artI//aroG//modC//yeiW//rcnB//ulaF//citE//yaiW//astD//ydeO//truB//ydiU//qseB//rplM//cysB//glmY//garR//udp//yhhY//pgaD//gntX//ykgO//efeU_2//serA//metR//hycD//spy//manX//nuoL//araC//nrfE//sohB//lldP//appY//dcuS//leuE//znuC//fnrS//psiE//malG//argR//yfeW//norR//phnG//betB//csgD//caiB//purF//fepC//frdB//manY//ygiC//gltT//pnp//ivbL//carA//fadB//fliZ//rnpB//soxS//xylF//nagE//paaJ//nuoJ//ycjF//deoB//csiE//yeiP//rrfD//phnI//tdcB//fimG//lacZ//galP//tehB//mhpF//tadA//hyfF//cysP//argA//caiB//hybF//pstA//ilvL//cydA//gpsA//nagB//garK//ybjG//feoA//moaA//fhuA//lpd//adiC//citC//fimH//lsrC//fadH//rbfA//fadJ//nikC//cyoA//malG//gutQ//gcvT//trmD//ihfA//mntP//ydhT//trpB//rrsG//cynT//yojI//napD//dcuA//allC//gspI//glpT//sgbE//dpiA//fimA//hha//aroA//glmY//
FhlA-Formate	manY//purE//ccmG//osmY//hcp//mhpE//dnaN//aaeR//mhpE//iraM//ilvI//fhuE//mtlR//sbcC//glcD//mglC//phnE_1//crp//napC//nuoL//uxaB//iraM//ogt//phoR//yeiP//ppiA//rplW//fdnH//ycjX//ydhX//
FucR-L-fuculose-1-phosphate	pck//ugpQ//ssuA//preT//ebgA//yqaE//marA//
Fur-Fe2+	metY//efeU_2//rutD//cpxR//rybA//deoA//fimD//nrdI//upp//ldtC//ynfH//livG//araA//dmsB//caiB//ascB//ssuB//araB//tehA//rpsO//fecR//rpoS//dppF//hyfJ//folE//yhfA//malE//fabZ//rnpB//arcA//glpC//galS//argB//sgbU//hfq//ilvX//trg//aroF//glcE//ychO//ssuC//erpA//mtlR//glyA//yhjC//epd//yaiA//artQ//caiC//hofC//gdhA//galS//proP//casA//cysP//tnaB//katG//ccmB//cstA//araG//gatD//nuoC//mdtA//dmsD//nrfA//ebgA//hycH//csgA//ubiC//ysgA//yggX//ptsH//oppD//galE//fepA//nuoG//hycA//ryhB//gspL//ilvB//cysK//pstB//cra//nohA//sufB//ycdZ//gspL//hofP//iraD//paaK//cysU//sucA//phnG//fucP//trpE//yfiP//creA//bioD//ndh//ilvH//ybjG//oppA//rbsA//cysP//paaI//guaB//mtlR//rnlB//cusC//phnF//cyoB//uhpA//rbsD//ccmH//guaB//sbmA//nohA//fhuB//codB//tsx//glnB//bglG//glpK//malE//aroG//mutY//tnaA//rutC//cysJ//bcsA//mtlR//galS//acrD//purE//nanE//degP//yqaE//znuB//gltU//ilvD//
Fur-Mn2+	fur//alaV//gspG//uidC//nanA//dsdX//speA//rstB//gatA//moeA//fimG//cydB//argR//sufS//ssrS//trpA//cpxA//hyfI//cas2//rplS//efeU_2//fimF//cirA//yhcH//hydN//citX//nuoF//garP//purH//paaC//rbsC//argD//fis//tyrP//yjiY//hycF//rbsA//yeiL//gspO//gntR//ygbA//gltU//ynfF//tauC//nikE//uxaC//azuC//fepE//lacI//acnA//fimF//galE//glpR//glgX//metI//ccmF//garL//dsdX//metE//gspK//zraP//malG//melB//malT//rrfF//ulaC//glcE//lpxB//phnG//ilvG_1//chbA//artM//artP//fepG//hcr//hisJ//priB//ynfF//modA//fadD//tsaE//metK//avtA//citD//deoB//ptsI//rhaD//glpG//appB//hyfI//adiC//alaS//ulaE//osmC//mdtA//gutQ//yebE//fnr//dusB//astC//mutL//mhpC//rrsE//glcB//livK//phoH//csgF//adhE//ubiX//hofB//idnT//map//amiB//iraM//glnA//fucA//bcsA//argA//fixC//fucK//melB//ebgA//focA//rpsO//glgS//ulaD//ptsH//efeU_1//ubiG//rrsC//ompX//hycH//fimI//argR//pck//rrfD//oxc//xylH//glgX//xylH//
GlcC-Acetate	ptsG//glcA//ynfK//feoB//oppC//chbB//fadL//
GlcC-Glycolate	umpH//fepD//sbcD//lldD//argO//hflC//hydN//
GlrR-Pasp56	nuoG//
IclR-pyruvate	ydeA//dpiB//sbcC//nanC//
IdnR-5-ketogluconate	ykgR//cyaR//aroL//rpsS//lsrB//yojI//exbB//hycG//
IdnR-Idonate	ybfN//fnr//fepB//astD//nfuA//araH//sbcC//lsrF//
IlvY-2-acetolactate	glpK//nuoF//
IlvY-Alfa-acetohydroxybutirate	cheW//rnpB//
IscR-[2Fe-2S]1+	ileV//appX//dctA//glpT//tyrR//ulaC//glpC//ugpC//hisQ//aldB//rbsC//glcE//betA//ynfK//rplC//tyrP//fixA//aceA//ynfK//ybdZ//feaR//fdnI//lacA//motB//yecR//cyoE//cysG//manA//xylG//cusC//deoC//rcnA//gcvH//cas2//modB//srlD//cysN//guaA//ryhB//cysI//malT//
LldR-L-lactate	fadD//rpsS//gltF//
Lrp-Leucine	ykgR//alaA//lpxB//ompX//ycdZ//exbB//melR//trxA//agaV//tfaQ//astA//ycjF//hybE//malM//rutF//tyrR//yeaR//ytfE//manY//dcuR//mgrR//fimG//lyxK//caiE//trpC//metC//yfeW//acrB//fabZ//ascF//rpmC//dppA//nuoH//nikR//motB//bhsA//ilvD//bcsA//rhaS//mgtA//lacA//hypD//ytfE//rplV//iscA//nagC//nirB//cas1//rpoS//nrfE//fau//ubiA//yeaR//nrfF//motA//aldA//rpsF//ynfH//qseC//ackA//mutY//iscS//fecA//bcsC//ompF//ileT//metF//aldA//chbA//rplB//efeU_1//aceF//ldtB//phoE//uxaA//uhpA//melR//gabP//hypA//chbB//puuB//hycA//nrdB//artM//prpR//trpA//garP//pstB//pgpC//atoA//rplT//metJ//iraD//pgpC//ulaC//metI//ilvG_1//glcE//creB//yaeQ//zntA//prpD//nagB//purM//serC//xapA//
LsrR	zntA//cvpA//comR//fucA//iscU//modA//ynfE//glpE//prpB//
MalT-ADP-Maltotriose	fixX//tomB//modC//cheA//glcG//yaiW//caiE//gutM//aldA//hycF//
MalT-Maltotriose-ATP	ydhV//yjjZ//glcB//ubiX//ykgM//icd//fliZ//agaW//fepE//ndh//
MelR-Melibiose	paaI//mhpR//napH//
MetJ-S-adenosylmethionine	ulaC//ugpA//arfB//paaJ//appB//alaU//metJ//trpD//ilvD//ydiU//rplB//lpd//phoP//hyfI//preT//
MetR-L-homocysteine	metY//xapA//cysU//glnD//rpsF//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]	purL//rrfA//napD//xylB//ulaB//waaH//
MhpR-3HPP	paaA//zinT//crp//dps//glpF//torA//
MntR-Cd2+	hfq//glcD//yfdX//creD//cusB//
ModE-MoO42-	hypD//hybA//fixB//cysG//ilvD//nuoC//ilvL//mdtB//rpoH//glpK//adiC//napD//sroD//paaB//nhaR//uidB//tdcC//dmsA//rrlC//rnlA//yfbR//lysP//kbaZ//ilvY//pta//ydhV//rdoA//mglC//cpxR//ynfH//narI//mdtD//ilvL//hyfF//hdeD//mtlA//argR//yaiW//nuoC//hupB//rplP//nrdH//hdeA//pyrC//dppA//metL//
NarL-Phosphorylated	nirD//bcsA//frdB//srlA//acrF//hisP//rrlC//glpQ//hycD//idnR//lysA//lysP//rplM//creC//ppiA//tap//fnr//tsgA//argC//argB//xdhC//focA//ygiA//aroG//nikA//yjiY//phnP//sbcD//alaV//argC//rutB//lysP//infB//yegH//ydeJ//moaA//csgF//yciW//mhpE//amiB//idnT//rplM//udp//manA//rrsG//yoaC//dmsB//rbsA//yjcH//uidC//rpmC//yegZ//mdh//rrsB//nikR//ebgA//aroM//sxy//nupC//dppF//fldA//pck//guaA//gltV//idnT//ydfN//hyfC//idnO//gatC//fucI//infC//rrfC//metC//bioA//narX//xylG//nagE//glpT//mglA//zntA//mdtC//gntR//soxS//codA//yhjC//rplS//flhD//hycD//grxC//deoA//moaD//nhaA//rrsG//ptsG//hycD//ryhB//prpR//yebE//lolB//aceF//zwf//acs//ytfE//polA//fnr//dapD//metB//argP//aer//hydN//sufA//pitB//paaK//gdhA//xseA//cpdB//ilvG_2//metR//cynT//envY//fepE//garP//lldD//rrlG//cyoA//
NarP-Phosphorylated	purM//yjiY//tdcB//fimC//appY//hyfB//mntS//marR//nikC//napH//icd//moaE//talA//rseC//melB//mhpT//cirA//fhuF//cydB//creC//xseA//arcZ//fhlA//hyfE//yfdE//envZ//mdtB//ansB//fumB//cbl//fumA//tsgA//psiE//xylF//folA//uhpA//trpR//xdhC//lsrK//ybiT//napB//dsdX//narK//yhhY//ccmH//paaK//amn//yeiL//cydC//rrfE//
NhaR-Na+	ydbD//nrdG//ybiT//oppD//rplT//metQ//cysC//
NikR-Cd2+	baeR//cheW//feoC//ackA//hyaD//betI//
NikR-Co2+	qseC//nanA//udp//nupC//csgC//hypC//
NikR-Cu2+	lrp//cheA//dcuR//ynfF//srlR//dcuA//
NikR-Ni2+	rpsQ//uof//puuD//cyoC//gdhA//nhaA//
NikR-Zn2+	ompT//metC//ascF//gntR//mntS//rpsO//
NrdR-ATP	gapA//paaB//thrV//rimP//dgcZ//aer//nuoJ//udp//tsx//
NrdR-Zn2+	rbsK//livM//ppiA//ampD//hypD//yjiY//phnF//yiaL//atoB//
NrdR-dATP	hybE//abgA//tdcB//fadB//znuC//fhlA//lamB//iscU//paaZ//
NsrR-[2Fe-2S]reduced	argP//fepB//hofP//hycB//hypF//agaV//tonB//malY//hypD//lacA//feoB//hyfJ//astA//secB//fecR//rbsA//ulaA//cyoC//argD//yggX//nanT//yjiY//ppdD//nlpE//sgbU//ndh//mhpC//glcB//ppiA//caiT//patZ//galK//cydA//chiP//aidB//gltT//rybA//nohA//hyfR//phnI//gspI//yiaO//hcr//idnR//rseA//ccmG//fnrS//ssb//envZ//dsdX//torR//cyoB//modA//bioF//iraM//xdhC//iscA//bdcA//csgE//spy//ydhU//tdcG//tnaC//fadD//kbl//gutQ//grxC//entS//dcuA//hycI//glcG//acrA//malP//
PhoB-Phosphorylated	uxuR//recF//prfA//eda//lysC//ebgA//rplW//lpxA//proP//rrfG//uxaA//fucI//nuoL//purC//galS//ccmB//cpxA//znuB//nuoG//srlA//cyaA//hisQ//gntR//modC//phnH//ydiU//bdcA//cydB//torA//glcG//cra//phoU//trpL//fepD//rimP//cynR//rutE//citD//oppF//codA//livK//fdhF//pflB//entF//narI//gatD//prmC//rrfD//tar//hyfD//ccmD//yecR//rhaB//pitA//psiE//kbaZ//gltU//phoA//rrfC//fucR//pnp//
PhoP-Phosphorylated	gspK//tsaE//mutY//yeiB//yhcH//sdhD//tnaC//dadA//pflB//zraS//betI//ilvE//ugpQ//aer//cspD//tsaE//ssuD//psd//hcr//flhC//alaA//gspJ//cheZ//dgcZ//gspO//frdD//tnaB//araC//chbC//ychH//fucO//lacZ//gspH//adhE//ompC//phnE_1//gspK//qseB//rrsE//efeU_2//sbcD//glgS//pstS//acrD//fnrS//paaI//puuE//galK//nusA//gcvT//pgaB//glmY//entB//sdhA//evgA//pepT//hybE//
PrpR-2-methylcitrate	grxD//alkB//aceE//cyoE//ybdZ//
PurR-Guanine	ihfA//argP//mglC//alkA//dppA//umpH//galT//pitA//gabT//borD//lyxK//fixA//spf//baeR//dppF//yfeW//rdoA//cpxR//cadC//zraS//ilvG_1//hycI//entD//rpsF//dmsC//bamA//fimD//csgB//galK//srlE//rpsP//dps//aceK//araG//
PurR-Hypoxanthine	dppF//moeA//actP//hofN//fhuC//sucB//moeA//yjcH//gspG//garK//speB//preA//gltW//dppF//cusF//purN//nhaR//phnJ//hypC//xseA//pheT//dcuA//phoU//trg//hybF//agaV//bioB//codB//hmp//safA//hyfF//rcnB//tauC//nrfA//
QseB-Phosphorylated	ykgM//astD//hypB//ssuB//
RhaR-L-rhamnose	murQ//aspC//
RhaS-L-rhamnose	metL//emrY//spy//marB//dnaA//pgk//
RstA-Phosphorylated	folA//mdh//ileV//nikA//udp//cysI//hybB//dsbA//fepD//agaA//
SoxR-[2Fe-2S]3+ oxydized	uhpC//sgbU//murQ//preT//
TorR-Phosphorylated	nuoE//cysJ//yccA//rhaT//rrsE//alaT//pitA//hybO//yjcH//rmf//
TrpR-Tryptophan	pepT//glpG//nuoL//yggX//narQ//znuB//cpxR//chbB//rnpB//garR//yiaO//phnE_2//
TyrR-L-tryptophan	gyrA//rbsC//paaB//feaB//livM//metC//ydeM//fixB//gntU//malS//cysD//ispE//ung//alkA//
TyrR-Phenylalanine	livG//garK//gspH//fucR//hybD//galS//caiC//fhuB//sodB//mglC//yfaE//cadC//rutB//purC//
TyrR-Tyrosine	chbC//oppF//fimH//cysP//ompX//sdhA//gntT//yfeW//sdhD//ulaE//manX//hyfJ//gadC//glnG//
UhpA-Phosphorylated	folE//
XapR-xanthosine	casB//metA//
XylR-Xylose	gspG//galS//ulaF//nrfD//rnpB//gspJ//
ZntR-Cd2+	hypC//
ZntR-Hg	csgA//
ZntR-Zn2+	paaJ//
ZraR-Phosphorylated	rrfB//tauA//manX//
Zur-Zn2+	dppF//dkgB//murQ//yciW//upp//ugpQ//
