#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	rpoE//astD//pgaA//fecD//
ChbR-Monoacetylchitobiose-6P	efeU_1//livF//dmsC//ccmB//cysH//norR//
CpxR-Phosphorylated	hyfA//baeS//pncB//hyfF//yaiW//bglG//carB//mhpF//araJ//napC//livM//yebE//fixA//rplM//malX//cueO//phoB//cheA//mdtC//mutL//nuoF//alaU//gutM//glpT//sodA//hisJ//bglG//paaD//nuoN//yoaG//pnp//glpD//ung//puuC//dcuB//ilvX//tnaB//yoaG//ulaE//yiaL//gnd//pncB//gltD//rhaB//torA//fdnH//pdhR//nuoK//gatA//yfaE//mdtC//casD//nuoI//bioB//tehA//metA//ydeO//bglF//gspI//cra//appA//nuoC//pflB//cusC//fadD//bcsB//hyaF//tonB//mntS//
CreB-Phosphorylated	dcuB//alaV//yfiP//mlc//paaF//malY//idnK//erpA//yqaE//
CueR-Ag	bhsA//cusF//phnG//idnD//pagP//metL//yqjH//
CueR-Cu+	tolC//xylF//hycC//fepC//envY//mhpR//hyfD//
CuerR-Au	phnO//caiD//nanS//rhaD//mgrR//torD//prpR//
CusR-Pasp	yeaE//prpR//ynfF//alaA//infB//skp//rdoA//secB//aceB//purB//nikA//nikA//
CynR-Cyanate	sbmA//rutE//paaF//tam//
CysB-N-acetyl-L-serine	cyoE//ompF//rpsQ//feaR//secB//fiu//iraD//nupG//xylG//chbC//hisM//lysU//nhaR//hemL//metA//livH//araB//hdeB//metY//bglG//mdh//fecD//arcZ//aceA//ugpA//fbaA//napD//gltD//rrfE//icd//
CysB-O-acetyl-L-serine	yqaE//modB//paaJ//nlpE//frdC//mtr//rrfG//dsdC//glpK//mhpE//rpoE//cydB//cyoE//ynfH//narH//ccmG//pgk//cynR//yhjA//rrlG//ydeJ//mntH//ispE//phnP//iscU//agaV//iraD//uxaC//cadA//bglF//nrdI//
DcuR-Phosphorylated	ileU//paaF//arcA//rpsF//ybdZ//hemL//mhpD//putP//fixA//
DnaA-ATP	deoD//mtlD//sroD//mscM//phnM//hofB//ybdN//ilvD//appB//sdhC//rpmI//aceE//
DpiA-Pasp	nrdA//nikC//entS//dsdC//fdnI//rpmC//citX//rprA//mhpA//alkA//hha//
DsdC-D-serine	cysI//bioB//tonB//
EvgA-Phosphorylated	tktB//yaeQ//aceA//nuoM//napB//ybdZ//argR//hybD//astC//pgaA//nrdH//tyrR//uxuA//yiaO//metY//
FNR-[4Fe-4S]2+ reduced	hycD//gcvT//caiC//glgS//yiaM//nrfB//zinT//nagB//ompC//serC//trpR//ompW//pheT//glnL//nhaR//caiB//fiu//cheZ//ilvY//hemL//nrdI//lsrF//purB//nrfD//rutG//ynfK//deoC//prpE//fixB//rutG//alaT//fliA//ilvH//uidC//secB//cydD//pnp//xylH//pflB//nuoA//iscU//astB//fdnG//pgaD//rbsA//cynT//gatC//glgB//trpE//mdtD//ygbA//dadA//cysP//rbfA//nanA//mhpD//iraM//astC//astB//cysC//uhpC//ygiB//bcsA//rutE//rplD//aroM//phnJ//trpE//fdnH//yjcH//csgC//lsrD//mutL//cysA//cas1//sbcC//ryhB//psd//dcuR//lsrD//frdD//puuD//phnP//rplV//aaeR//rrsE//citG//yojI//abgB//hycC//sdhC//tktB//ycjF//gabP//hycF//yneM//cysU//nuoM//dmsD//yeaD//purD//dusB//guaB//ulaD//fecB//fimC//nuoF//fecD//prpE//hyfH//sdhB//glgS//fiu//dpiB//cysK//arfB//paaH//ackA//copA//crp//entB//gspI//degP//rhaD//edd//infC//hyfE//galS//fadJ//fimC//envZ//alaV//prpR//mdtD//nuoI//rpmC//norR//ilvE//ada//fadD//bhsA//rmf//leuE//hpt//tap//cusS//prpD//feaR//alaA//casE//yhjA//appX//hyfA//sufA//dppF//sucC//lpxD//nrdB//ytfE//rprA//lldP//ycjF//bioB//sgbE//lysC//yegR//gatA//grxD//hycC//nagA//hyfF//ilvY//fepE//nagE//ndh//zwf//srlD//tam//rbsA//cusF//aaeB//acrF//ftnB//mntH//carA//entC//ydhT//hyaB//yeiB//fbaA//envY//creA//yfbR//tauA//lrp//rpsC//gspD//ilvE//phnH//mcaS//tdcF//udp//yjiY//ilvL//hybO//fadJ//hyfR//ynfK//alaU//rrlC//speA//ydbD//hslJ//appC//cpdB//pheT//yhcH//cysP//paaC//nikA//fadJ//srlB//phnL//rbsD//iscU//malE//malZ//rrlA//fadA//preA//crr//acrE//gspJ//glpR//gnd//phoU//cpxR//caiB//cusC//ydhU//guaA//puuA//melA//purD//rmf//gntK//rrfH//purD//lsrR//nupG//rpsS//ssb//betA//ompX//rrfE//tdcF//ydeO//phnF//ygiA//moaD//yibN//pitB//cheB//speB//glpX//borD//malE//acrE//argF//kbaZ//rpoE//glcF//hycA//ydhV//araB//csiE//rpmC//fumA//rimM//rutE//gabP//betT//xylB//ubiC//glnA//abgT//glcC//tyrR//ygeA//nikD//lrp//mhpA//yaiA//fis//cysC//rrfC//cysN//chbA//ygbA//yaiW//malG//hypF//bioA//napG//ascF//
FhlA-Formate	phoB//polA//pgaC//paaA//gabT//ygiB//cyoB//gspH//rpoE//mutL//abgT//caiT//mlc//rimP//fepC//frdA//purK//gntK//araJ//micF//sroD//argO//dapB//manZ//feoA//upp//gatA//tyrR//mdtB//phnP//
FucR-L-fuculose-1-phosphate	rseA//tnaC//rpsP//citE//gabD//tfaQ//yfdV//
Fur-Fe2+	feoB//lpxA//aceA//gdhA//ryhB//lpxD//acrB//cheZ//baeS//gutQ//rrlE//gltW//gspL//agaW//csiD//dusB//exuT//cadA//pncB//kbaZ//iscS//creC//glcE//aceK//dapB//paaE//xylG//asr//ileT//csgG//entC//glgC//cas1//hyaB//bglG//nuoK//nagE//sufD//phnN//torR//rpsJ//gltF//entS//entB//lsrR//cheA//nupG//paaF//creC//bcsC//gabD//fhlA//sodB//entA//malG//murQ//feoC//ugpB//rseC//fau//nanM//uvrA//ydhX//purK//hypD//fecC//fhlA//aceE//yiaM//tktB//cysJ//moaB//fiu//gyrA//mipA//aceB//hyfF//rplD//patZ//fumC//gcvP//entA//moeA//rrfE//oppF//bglG//bioD//idnT//fadE//ulaD//bcsB//ydhT//arfB//cheY//iscA//ycdZ//narH//sbmC//fadB//mntS//ytfE//rhaS//ssuD//gspF//puuA//yeaD//araC//hybC//araG//agaA//dcuR//phnK//glgB//hybE//nuoF//bioC//mlc//rhaA//hybD//putP//arfB//dmsD//hdeB//hyfR//rseC//hlyE//tcyJ//paaK//yhiD//putP//garL//ahpC//atoA//alaS//ompR//yegR//cyoB//tdcD//metJ//aidB//
Fur-Mn2+	rybB//ulaB//glmY//bamA//yoaG//nrfE//fur//abgA//argG//murP//tehA//ilvB//atoD//galT//dcuB//lsrB//phnN//fucP//ssuC//caiT//malY//ccmD//trpB//ssuD//casC//crr//rbfA//napH//rrsA//citX//rutD//zinT//paaH//artI//nuoF//pyrC//pyrD//gpmA//cysD//gadC//lsrR//allC//hypA//yhjC//hdeA//argP//gspE//alaV//srlE//metC//nadC//cvpA//rrsC//cysH//cynS//hisJ//sufC//yeiB//gatB//ykgM//gntP//artI//dps//dmsA//pitB//priB//mdtB//yeaD//puuP//iraD//phnE_1//citG//rplC//nanE//casA//upp//rrsC//ccmF//rpsS//acrE//mltC//yiaJ//upp//hycH//psd//narQ//argO//nrdD//exbB//iraM//gpsA//hofO//araH//crr//mtlA//degP//tnaA//hybC//narJ//ulaA//gspH//tyrR//araC//yneM//glgP//frdD//yaiA//moaB//fliA//gabT//gltF//nuoE//cysM//citG//frdC//ynfE//nuoK//ynfK//modB//ccmD//envY//livK//paaD//ubiA//phoU//hofP//ccmD//astD//deoC//nuoM//rhaS//entS//cbl//rhaB//mgtA//napA//metC//atoA//artJ//rpsS//
GlcC-Acetate	gspG//pncB//iraM//tsgA//pstC//pnp//acs//
GlcC-Glycolate	entB//iscU//ulaB//micF//aroH//gpmA//dmsD//
GlrR-Pasp56	sbcD//
IclR-pyruvate	caiD//nanC//uraA//ilvG_2//
IdnR-5-ketogluconate	ynfH//xylB//creC//bglB//bglG//epd//yqjI//arcA//
IdnR-Idonate	garK//entA//ydeO//cydC//nrdF//gdhA//bcsC//nrfE//
IlvY-2-acetolactate	prmC//pyrC//
IlvY-Alfa-acetohydroxybutirate	mtlD//tyrP//
IscR-[2Fe-2S]1+	nikB//crp//cusF//soxS//hha//citX//yecR//ahpC//entF//lhgO//motB//gltF//yibN//puuP//ugpQ//rmf//cheB//cheR//ccmH//exuT//rrlE//lacY//fadB//cbl//bioD//rplC//fnrS//mdtB//prfA//ychO//pyrD//gspI//tomB//cvpA//entB//ydhY//mntS//ybiT//hslJ//yegH//gspI//
LldR-L-lactate	pgaB//fumA//hofM//
Lrp-Leucine	glpG//uhpT//nrdG//ccmC//bioD//nagA//mntS//hyfF//hyfJ//nuoF//nrfA//mhpE//ulaF//efeU_2//ilvM//ompF//carA//fimE//rpsJ//glcA//narI//hypC//nuoI//galK//ubiG//yiaO//dusB//infC//rpsF//appB//manA//alaA//trmD//spf//hflC//rrfE//fucK//purH//mhpE//garR//ydeP//caiF//gatZ//paaZ//pstS//proP//xylA//sodB//mntH//tehA//gspF//motB//exbB//hcp//alaU//aaeX//oppC//acrE//trg//rrsC//aaeB//malM//ulaB//gcvH//frc//nrfE//bcsA//mscM//cusA//araD//rseB//alaU//fimI//hofP//nanS//dcuR//appY//gatY//malY//ulaA//cheW//bacA//ndh//appX//gntK//ykgR//fecA//focA//csgF//fur//fadE//srlE//dnaA//metF//hofM//ileV//modB//yjiY//rplW//nlpE//aspC//gntP//livF//gnd//yeaE//purB//
LsrR	rrfH//moeA//ssuD//flhD//xylB//hybA//fhuE//creC//hypE//
MalT-ADP-Maltotriose	fimA//erpA//norR//nrdG//phnC//rpsF//fnrS//torR//avtA//norW//
MalT-Maltotriose-ATP	purN//oxc//garR//trpD//crl//deoB//rbsR//mlc//hyaF//manZ//
MelR-Melibiose	ubiA//malM//kbaZ//
MetJ-S-adenosylmethionine	metQ//flhD//pnp//gatZ//gltF//cheY//rstB//lysC//murQ//gutQ//hycD//prmC//mhpT//yaiW//nuoL//
MetR-L-homocysteine	nanE//gltF//moeA//purF//hybC//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]	zinT//fixA//araD//yebE//xseA//tyrR//
MhpR-3HPP	rdoA//malE//lysO//idnT//hyfG//kbl//
MntR-Cd2+	rrsB//tar//evgS//uxaA//bcsZ//
ModE-MoO42-	napF//erpA//ansB//yecR//purC//tehB//paaB//cbl//tdcF//metE//miaA//rplB//acrE//yeiL//avtA//rrlC//uhpB//paaZ//fixX//fur//serA//gdhA//livF//iraM//pitB//chiP//paaH//qseC//rybB//yeiL//csgE//uidC//fldA//emrK//dppD//pgaA//nanA//csgE//yibN//sufB//pitB//aldB//oppD//hyaC//ompR//creC//
NarL-Phosphorylated	ansB//lsrB//gutQ//aaeA//metR//nuoE//ybdZ//fepC//hycE//hha//yfaE//fdnI//fdnI//dppD//marA//nuoA//hyaE//aroA//ugpQ//lolB//cyoA//ygiA//entS//lsrA//artQ//dpiB//pdeF//galM//ada//pgpC//cpdB//rnpB//focA//pitB//ydhU//hofM//ompA//rrlE//ahpC//ompW//ubiG//lsrG//caiD//cusA//secB//rpoS//entH//hofC//grpE//hcp//fadD//rpsF//phnJ//galE//ssuC//phnO//dsdC//preT//fumB//fucO//dusB//glnK//hyaB//efeU_2//gcd//norW//rrlA//oppC//fhuC//csgA//codB//pitA//cirA//fdnH//stpA//aspC//trpL//cydA//uxaC//trpB//xdhC//ygeH//malP//ompF//cusC//bamA//nrdD//ygeH//malT//fis//agaV//hyfG//fau//manZ//gadB//yqjH//glnK//edd//glyA//phnJ//dsdC//hybO//torA//nrfF//acrD//dppD//uidC//ynfH//hyfJ//rstA//ydeN//dnaN//sucA//hslJ//sgbE//mntP//xylR//rrlB//hyaA//yjeF//ulaB//gatZ//nrdE//ynfK//gntP//
NarP-Phosphorylated	glgB//nrdB//malE//caiA//glyA//fixA//baeS//speB//ybjG//rplT//slt//nlpE//aldA//yegH//mhpF//exbB//icd//abgT//glgP//gltA//glcG//cysJ//nfuA//casE//grpE//grxC//lsrA//cysU//artI//dcuS//xapA//hycF//cspD//nanK//srlA//aaeR//paaZ//hybE//cstA//fliA//hydN//dgcZ//hisQ//csgC//fadE//mdh//srlB//ugpE//narI//umpH//
NhaR-Na+	ilvG_1//galM//dsbA//uhpT//nagA//pdeF//mdtB//
NikR-Cd2+	agaV//rpsJ//rutE//nuoM//ilvC//xdhB//
NikR-Co2+	aspA//mdtA//ycdZ//ygiA//gntU//yhfA//
NikR-Cu2+	lacI//sucB//ubiG//rrfD//casE//treC//
NikR-Ni2+	gspL//ugpQ//tadA//priB//appC//rprA//
NikR-Zn2+	gntX//rutE//arfB//dnaA//araE//degP//
NrdR-ATP	deoA//argB//ulaC//nuoN//yhhY//deoC//ahpF//hybB//yidQ//
NrdR-Zn2+	micF//tauD//aaeB//grpE//ydeJ//atoD//hcr//gntT//manA//
NrdR-dATP	chbG//dctA//glpK//phnP//ydhY//purK//malQ//pdhR//dnaE//
NsrR-[2Fe-2S]reduced	prpE//yhjC//rutF//fliZ//yjjZ//cyoE//purD//bioB//flhC//glpQ//yojI//rbsB//patZ//hyfF//norW//ydhU//cydA//casB//chbF//alaT//hflC//sgbU//rpsI//fepG//cusA//ptsI//glcC//norV//prpR//rplC//nanT//sdhD//appY//chbG//erpA//fecI//rrsC//mepH//dpiB//rplM//deoA//rprA//pyrC//narI//purH//cysU//cbl//nagB//fumB//prpB//yaiA//ptsI//mglC//nrdH//ydhY//cheA//trg//hofO//metF//oppD//rplI//hflC//malF//rhaB//argH//pnp//paaG//znuA//metF//yjjZ//cirA//ssuA//hupB//
PhoB-Phosphorylated	hybF//cydD//glcE//phoE//yqjI//yiaM//dmsA//hypB//ccmH//cysK//frdB//mhpE//mscM//idnO//nikD//mtlA//gntR//tyrR//hflX//malY//srlB//malZ//nikB//tdcA//galP//pstA//citC//puuC//hupB//creB//fimI//dmsA//napB//ybjG//ilvH//uxuA//yiaM//agaV//hofP//cpdB//xapA//mcaS//gatC//nuoI//gspE//tsgA//paaE//yibN//livG//malP//rbsR//purE//ascB//glgP//nac//glrR//acrE//carB//ilvD//araE//rbsR//
PhoP-Phosphorylated	gspM//caiA//fucA//zraP//bamE//chbF//gabT//arcA//xylF//abgA//fumA//fucU//galM//trpA//fucI//ompW//galS//lacZ//norV//purC//cysM//moaA//ompT//gadC//ykgM//paaE//prs//rybA//grcA//paaA//safA//mipA//tap//glpX//moeA//trpR//trpE//nagB//mepH//glgB//fepD//tehB//nlpE//manX//sucA//glpG//nrdI//znuB//ynfE//glrR//trpB//tnaA//rutE//fdnH//moaA//cheZ//yeiW//
PrpR-2-methylcitrate	arfB//oppB//nrfB//cysI//sdhC//
PurR-Guanine	fliA//treC//glcB//hycF//tpx//infC//phoU//hyaC//livM//rmf//gntU//ompT//speC//lhgO//cydB//pta//lldR//gltA//hycB//livF//hyfR//yfaE//xylG//narX//phnP//yqjH//cysP//lsrK//psiF//cadA//nrdE//yoaC//narX//fau//
PurR-Hypoxanthine	fur//folA//rutB//rhaD//livF//mglC//lamB//lldP//cyoC//nrfB//hycD//cyoE//fixB//ilvG_1//rplT//flhC//nrdB//glgX//srlB//cysJ//ilvI//ysgA//artP//phoH//mutY//hyaE//argP//soxR//yjeV//comR//yidQ//fadI//moaD//metN//
QseB-Phosphorylated	infB//aroF//hyfD//dcuS//
RhaR-L-rhamnose	xdhC//ydbD//
RhaS-L-rhamnose	fnr//yjcH//garP//garK//hycA//rhaB//
RstA-Phosphorylated	rcnA//mgtA//glpR//gcvP//hflC//yhfA//tsr//hofC//ilvD//hyaB//
SoxR-[2Fe-2S]3+ oxydized	modA//mcaS//hyaA//galS//
TorR-Phosphorylated	rrlC//narQ//hofO//rimM//tdcF//yiaK//entE//leuE//hlyE//fixB//
TrpR-Tryptophan	ugpE//csiE//idnK//phnP//nrfA//cynS//narH//ppiD//glgS//modC//borD//agp//
TyrR-L-tryptophan	glpX//xapB//ygiC//cpxA//fdnH//srlA//argC//ebgC//lysA//phnI//flhC//ccmD//sohB//dapD//
TyrR-Phenylalanine	yoaG//melB//ydbD//caiT//rbfA//abgB//fliZ//cysG//motA//acrE//purN//gatD//rseB//pheS//
TyrR-Tyrosine	purD//glnG//gutQ//manX//tsgA//hyfE//upp//ykgM//nirC//lysA//rbsA//udp//ilvL//yiaM//
UhpA-Phosphorylated	cas1//
XapR-xanthosine	rseC//sohB//
XylR-Xylose	copA//entS//mutL//malQ//iscA//nuoL//
ZntR-Cd2+	bhsA//
ZntR-Hg	gltT//
ZntR-Zn2+	araD//
ZraR-Phosphorylated	gspG//paaI//allD//
Zur-Zn2+	acnA//nrdE//mglA//chbB//cydC//sbmA//
