#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	ryhB//entE//cyoB//casB//
ChbR-Monoacetylchitobiose-6P	nuoL//artM//citX//ilvI//pyrC//aceA//
CpxR-Phosphorylated	ulaA//rrlE//udp//uhpA//pstS//moaA//cas2//purN//appX//fepB//ugpE//paaH//truB//tyrA//yhhY//yaiA//dnaE//bhsA//yaeQ//ulaF//gapA//ybfN//glpK//glgC//ydhT//malS//zinT//paaF//gadB//phoH//phoU//sgbU//hemA//speA//ydhY//ulaD//hyfC//rrsA//ompR//ahpF//hybG//yaeQ//ilvN//rplM//umpH//cheA//phnC//hdeB//rhaS//rutA//exbD//ygbA//narG//ugpQ//carB//yiaM//alkA//garR//bcsZ//fixC//adiC//alaA//ulaB//caiB//cyaR//gntU//hybF//deoA//malM//
CreB-Phosphorylated	ydbD//hupA//glnA//rhaA//gntX//cbl//dps//rrlH//yegR//
CueR-Ag	hemL//nadC//leuE//gcvH//creC//rmf//tpx//
CueR-Cu+	rrsH//bglF//ftnA//phoR//tdcB//znuB//mgtL//
CuerR-Au	hyaA//fimD//dapB//gatD//arcZ//rstA//lsrB//
CusR-Pasp	sgbU//astE//pdeF//artQ//hdeD//iscA//astA//ilvG_2//araE//erpA//cirA//rhaS//
CynR-Cyanate	glnA//garP//frdC//cyoA//
CysB-N-acetyl-L-serine	acnB//hisP//ansB//ydeO//entB//allE//trmD//baeS//ihfA//malG//nrfE//citX//ydhV//chbA//nrdH//nrdI//sucD//yneM//lsrR//aaeA//trxA//melR//prpB//fepA//cstA//cysW//glgA//lldR//slyB//rrsC//
CysB-O-acetyl-L-serine	citE//ssrS//gntX//tktB//tehA//cueO//rrfF//rpoH//manZ//entA//rpsO//gabD//nuoI//rpsC//mglC//ilvC//creC//speC//ydeA//glgA//glnG//metN//fucA//baeS//pflB//ydhV//caiT//sodB//aroM//phnO//casB//
DcuR-Phosphorylated	hybA//yjcH//glgP//ryhB//asr//paaD//trmD//ycdZ//zraS//
DnaA-ATP	acs//pnp//metF//xylF//hdeD//ptsI//feaB//ugpE//sgbU//ysgA//srlE//eda//
DpiA-Pasp	ilvB//livH//trpD//ydiU//nuoF//phnI//bglG//pgaC//ilvD//acs//xdhB//
DsdC-D-serine	fnrS//gntU//acrA//
EvgA-Phosphorylated	chbF//cusS//katE//galP//glgC//purR//mutL//yqjH//yjcH//puuA//sroD//cra//caiF//ompX//argT//
FNR-[4Fe-4S]2+ reduced	leuE//mhpT//aroM//hyfH//prpD//xapB//phnI//phnF//rutA//phoU//pdhR//hypF//acrB//nuoE//yidQ//entA//puuD//alaS//melR//rpmI//gspE//psiF//cyaR//cyoC//hybB//cstA//deoC//hypE//ydfH//purN//bcsC//hyfB//yiaO//aroM//sohB//osmC//lsrG//ilvD//dcuC//purH//hisQ//entD//pyrD//rhaB//borD//moaB//ulaC//glgB//ilvY//cysU//casE//bcsB//oppF//rnpB//sohB//paaK//psiF//ogt//fhuD//hdeD//phnE_1//citE//glgS//lysC//ftnB//dnaA//nhaR//hybC//gltF//guaB//pck//arcZ//cueO//gatZ//yfeW//paaC//iraD//sxy//aaeA//fliA//rpsQ//ilvE//rpsO//hycH//rhaS//astB//cysM//uxaC//pgaA//ygiB//dmsB//ivbL//caiD//tdcD//nikB//betA//tdcF//cysC//rrsB//hydN//hypA//agaV//gltT//atoA//tdcE//ygiC//fhuA//lpxA//cysJ//prpB//metA//evgS//hyfR//ada//ilvM//gabP//livM//pgaC//purH//fdnG//tsaE//fucP//creA//hdeD//uhpT//hisJ//chbB//gcvP//tyrB//pta//fepG//fadE//ydfH//frdC//yhjC//hofB//yeiW//glpQ//rpsS//metR//fucI//uof//aspA//srlA//allE//grxD//hisP//pstB//fadD//glcD//ccmB//nagB//rrfE//cvpA//lsrR//sxy//ompT//ilvN//hycH//bcsC//alaU//astC//puuC//fepC//yqjA//nuoI//gcvT//torD//malK//ychH//phnG//cheW//norR//lysO//tomB//tomB//puuE//carA//nlpD//osmC//sohB//chbA//moaA//metL//nuoF//ydhY//ycjX//speB//nupC//phnL//nrfC//moaB//yeiL//rbsA//cusF//ftnA//cspE//nrfC//torC//uidC//lysP//betB//paaK//gadC//torA//iscS//serC//srlR//cirA//sbcD//glpC//dppA//dgcZ//araB//hofN//guaA//phnD//tar//appB//lsrK//gyrA//fdnG//hyfJ//serA//aceK//tomB//tcyJ//cysG//artI//dsdX//betT//araH//grxC//yiaJ//ydhT//gcvP//hybC//carA//nanT//bioC//deoD//cytR//csgG//trpB//nanE//caiE//pgaC//adiC//dmsB//cysA//gdhA//xylA//znuC//mgtL//guaA//puuB//gabD//lsrR//araH//ubiA//guaB//purF//paaH//ccmA//nac//motB//rrlB//glpC//modC//tnaC//cusR//gyrA//alaA//dsdA//lacZ//napA//cheB//ivbL//astB//phoB//rutG//rplS//ryhB//trg//tauA//bhsA//livH//galP//fucU//mglA//tyrR//csgE//ynfH//malF//ulaE//yojI//ogt//nuoJ//feaR//pheT//appC//tyrR//fliA//hyfI//torR//
FhlA-Formate	sdhC//hmp//soxS//gatD//lacZ//astC//gntK//ada//hflD//appC//moeA//rybB//araG//moaD//ispE//ilvE//ccmC//hyfF//caiT//xdhA//fhuD//metR//gcvP//yiaJ//sufB//arfB//fis//exbD//metE//rhaB//
FucR-L-fuculose-1-phosphate	ychH//tnaB//hemL//aer//acrF//argG//bcsA//
Fur-Fe2+	copA//kbaZ//nuoJ//gspG//gapA//rrsH//rrlA//csgF//galP//ldtB//envZ//ccmF//yhjA//cra//hyfI//entB//entS//glpF//phoB//livF//phoP//arcZ//ubiX//ptsI//citF//metB//malE//lacA//xseA//pgaC//puuB//csgF//yojI//argO//hofC//metL//rrlH//rrsG//pheS//alkB//phoB//metN//alaT//tnaA//cpdB//tpx//stpA//entC//frdA//casC//zraS//caiB//rnlB//phoQ//feaR//hupA//ileU//phnE_2//malP//rhaA//ugpC//adiC//uhpT//paaC//mepH//rhaB//trxA//folA//oppC//rrfF//ygeH//gatD//acnB//rplI//ada//ilvH//preA//alaS//iraD//cas1//ppdD//fau//hycI//argI//hemA//xylR//acrE//ubiG//murQ//tsx//lyxK//astE//cysG//ulaC//rpoS//paaG//chbG//csgC//slyB//rrlE//manZ//sucD//guaA//glpQ//gspH//yeaD//murQ//purB//yjiY//appB//casE//napF//csiE//dppC//nanM//entC//nuoL//nrfF//argT//rutG//ulaF//abgA//xylH//rybA//yeaR//ssuA//pgaB//creB//crp//livG//copA//tar//sbcC//ubiC//ptsH//sbmA//lysU//cysU//ldtB//atoB//
Fur-Mn2+	astB//ulaA//cynS//gspH//miaA//nac//ccmE//ompF//nanC//hdeB//nrdB//preA//ynfK//nuoN//argC//nirC//hyaC//lyxK//pheM//gltU//hisM//baeR//araE//mdtD//yqjI//narH//purE//nrdA//ilvY//pstA//modA//mhpC//tolC//metE//thrS//truB//oxyR//pheS//fixA//rybA//lacA//purD//rseA//nanS//yeiW//sucB//nagE//yneM//dmsA//tap//sucB//betA//dmsA//uxuA//hofM//yiaO//yhhY//treC//srlA//tehA//nuoC//soxS//caiB//sbmC//yaiW//cstA//malI//ycjF//bdcA//ssb//hyfI//argT//ilvY//rpsP//preT//tauB//entS//astC//mhpT//mpl//mntH//trxA//umpH//glgX//yccA//rutC//fumA//abgB//lsrA//puuP//moaC//aroL//tsx//appC//puuD//mltC//torD//prpD//uhpT//ccmG//tpx//xylB//iscU//hydN//malI//argR//betI//srlR//allC//yqjH//argD//sroD//rutC//hdeA//caiD//rrlA//glcD//yneM//oxc//ubiG//lhgO//napC//phnP//hyaD//hha//yaeQ//glpQ//fnrS//adhE//hdeB//hyfI//appA//sufB//paaE//glnG//modC//fhuD//glgX//fixA//malX//
GlcC-Acetate	hflC//malQ//gntK//cueO//iscR//sufD//rrsH//
GlcC-Glycolate	dpiA//dps//phnE_2//nuoM//rbsA//garL//rhaS//
GlrR-Pasp56	araA//
IclR-pyruvate	rrfE//hybF//gspH//glpR//
IdnR-5-ketogluconate	fixC//phnD//safA//yegH//nrfF//ydhW//rrlE//pflB//
IdnR-Idonate	ansB//ydhX//ygiC//tehB//yfdE//serC//bamA//tyrR//
IlvY-2-acetolactate	lacZ//srlE//
IlvY-Alfa-acetohydroxybutirate	mltC//melR//
IscR-[2Fe-2S]1+	yjeF//speC//mglB//fau//fhuD//glmY//glpT//hdeD//caiA//gpmA//dnaE//yaeP//dppD//sohB//fadJ//gabT//mscM//galK//dcuD//csgF//ccmH//tap//lacI//cpdB//gapA//rplV//speA//chbB//artI//ydiU//rcnA//cysC//nrfC//uraA//yegZ//nrfB//cynS//csiE//hybF//fumB//fimI//
LldR-L-lactate	argB//cheW//paaK//
Lrp-Leucine	xdhC//lsrK//ygiC//rhaA//speB//metQ//cusB//nrfA//napA//lacZ//bcsA//narG//modA//gatC//tdcC//rhaA//nrdG//ydfN//phnI//mntH//argC//dcuR//hdeA//nlpE//ykgO//casC//cydA//ndh//yjiY//nuoE//purE//iscR//phnE_1//paaE//araA//ubiX//astA//ileT//hycI//pheS//sodB//ccmF//betA//ynfH//mtr//sdhB//rutA//serA//creC//uxuR//astA//amn//skp//infB//crr//baeS//mipA//ndh//yqjI//lysO//lsrB//ygaC//entH//dppB//hycI//cysI//folA//torA//rhaT//deoB//rseB//cysA//sufD//borD//fhlA//adiC//phoU//metQ//feoA//argB//idnT//pdeF//nrfB//ftnA//malY//mipA//dmsC//cysM//znuA//aceF//speC//rpsQ//lysC//sucA//purL//sufS//hcp//puuP//hycB//cadB//rrlE//nikR//rmf//nadC//puuP//osmC//
LsrR	gabP//cysA//hfq//araA//psd//purB//nuoH//glcF//gspH//
MalT-ADP-Maltotriose	ykgR//znuA//infB//nrfA//sodB//purH//yfaE//pyrD//ilvG_2//caiE//
MalT-Maltotriose-ATP	feoC//rbsC//appC//narL//hypA//paaZ//deoC//glpC//argO//fldA//
MelR-Melibiose	gltA//ykgM//phnM//
MetJ-S-adenosylmethionine	gltV//phnN//tdcF//ilvE//gatY//cysK//purD//cynS//lpd//mhpC//mepH//atoD//hyfC//nirD//fepC//
MetR-L-homocysteine	rrfH//glpF//csgG//cyaR//hypD//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]	xdhB//rseA//torR//moaB//fecI//hypA//
MhpR-3HPP	purF//entS//aroP//chbC//manA//amn//
MntR-Cd2+	hycG//moaC//oppD//nanC//alaV//
ModE-MoO42-	melR//gspG//rrlC//argR//artQ//tauD//hflK//rbfA//mglC//garR//entA//yoaG//cirA//fdnG//alaS//talA//evgS//csgF//pta//rutA//glnK//mgrB//mntH//aaeR//lsrD//rplP//trpA//moaB//ydhU//rstB//fucR//metC//malX//rrlE//cdd//mzrA//ynfG//ssuC//ilvI//ybjG//codA//fliA//guaA//alaV//xylH//glyA//
NarL-Phosphorylated	nadC//pheT//uhpA//tar//rrsG//astB//cynX//ygeA//melB//glnD//napC//codB//trpL//ubiG//gabD//yqjI//ydiU//hycC//fimE//moaB//rrsA//rpsR//rutC//ykgM//lpxB//tfaQ//paaJ//entC//xdhA//hypA//puuB//mntS//paaZ//rplS//yaiW//aceF//appC//gspH//phoH//fepG//rhaT//bioF//chbF//caiT//deoA//paaF//yhhY//guaB//ssuA//rhaS//zntA//tauB//entC//purE//feoC//paaK//rhaS//deoC//psiE//napH//phnC//csgG//fldA//puuB//idnD//garR//yiaM//metC//ubiA//moeA//fnr//lpxB//rhaA//pdeF//phnC//ykgM//ugpE//fis//argA//xylF//fbaA//aspC//tnaC//uidC//dpiB//dmsA//dcuR//ydeN//deoB//grxC//borD//nadC//trpD//livJ//tsgA//folA//ahpC//rplD//sgbE//yegR//mglB//ydeJ//glpB//ykgR//sohB//tfaQ//gcvH//rbsD//torR//yeiL//nuoB//hisJ//rplT//metI//lysO//caiF//yegZ//ompF//yjjZ//moaA//purN//cusA//hyfA//nanK//speA//
NarP-Phosphorylated	dmsB//napA//cysB//yeiW//ompC//tsr//livJ//dnaE//gltA//cydD//dcuA//rrsB//glpD//aroL//miaA//entB//tauA//fecE//rutF//glpR//fbaA//deoA//rnlA//phnG//alaV//nanA//glpC//bioD//ydhU//dcuC//yegH//cusS//aroG//lsrG//glgS//citX//gspF//acrF//nhaA//codB//dgcZ//mipA//metL//aspA//tyrA//iraD//rhaR//rhaA//tomB//fumC//
NhaR-Na+	nanE//lpd//srlR//glpA//yeiB//tktB//phoE//
NikR-Cd2+	oxc//priB//fimC//gspF//iscS//mglC//
NikR-Co2+	ihfA//ssrS//rbsK//caiC//purL//torC//
NikR-Cu2+	gspL//rseB//galT//yiaO//hupA//pck//
NikR-Ni2+	sucD//srlD//ulaF//cvpA//rrlG//thrV//
NikR-Zn2+	yibN//gcvH//paaI//dcuS//ydeM//phnP//
NrdR-ATP	rpoH//sroD//dadA//rseC//xapA//nuoC//bdcA//tyrP//hyaB//
NrdR-Zn2+	znuC//fnrS//dppA//tonB//yecR//edd//rybA//rpsP//bcsA//
NrdR-dATP	cydB//trpE//speC//aaeA//aceA//tyrP//manZ//pgaB//fliZ//
NsrR-[2Fe-2S]reduced	ybfN//malE//rhaT//rplP//fnr//nuoH//fadJ//trpB//dpiA//mhpF//nagB//ybdN//aspC//yhcH//fucI//torR//yfeW//psd//ynfG//dppF//nrdB//nagE//mhpC//sufD//abgA//phoP//chbA//hyaC//rstA//pheM//yhiD//hmp//casB//yfdV//artP//fepB//fecI//napH//argH//yeiL//mcaS//glgP//yaiA//rutE//prpB//prpC//mglB//katE//hofP//pncB//uhpA//ygeH//folA//sufA//fes//pitB//ndh//araA//argO//prs//hyfR//casB//hycB//fecR//cynX//ulaE//glgC//paaZ//purD//fixA//hyfD//glnB//betI//
PhoB-Phosphorylated	dnaA//deoA//nikE//moaA//skp//gspJ//dadX//hybO//hpt//gpsA//nrfG//lsrF//grpE//glgB//codA//lsrG//ilvG_1//secB//hybE//purR//glgX//mscM//galK//malQ//rrlC//fau//baeS//dsbA//hlyE//ogt//phnM//alkB//cusB//xdhA//abgB//glpG//modC//csgA//gltB//malY//ccmC//ulaA//xylH//argT//hemL//metK//agp//fecB//fepB//hycF//rplV//pstA//gntU//prpB//ispE//tdcG//alkB//dsdC//yfaE//ilvB//tsr//
PhoP-Phosphorylated	hyfB//fepC//dsbA//fnr//glyA//hisJ//hycE//ssuB//puuA//nagE//arcA//priB//melB//dppD//acs//rcnB//ygiB//entE//mntP//bioF//hycA//rhaD//xylG//speA//yhcH//yqjI//aroH//guaB//rhaS//gatA//manZ//dcuC//nuoM//speB//tar//lolB//fadI//dppC//cydC//caiT//glnA//bacA//rbsD//nrfC//amn//ydfH//caiE//metR//nanC//fadJ//argC//crl//lpxA//znuA//ivbL//cynX//ileU//
PrpR-2-methylcitrate	fixC//gatD//yaeQ//sbmC//yjjZ//
PurR-Guanine	ynfF//nupC//gspC//safA//paaJ//pgaB//yecR//patZ//chbG//betA//narK//tktB//phoA//fimA//hflD//cadA//galE//gntU//ihfA//tsx//nuoM//malP//putP//rpsQ//xylA//lsrG//polA//dgcZ//hisP//uof//fnr//alaA//napH//speB//
PurR-Hypoxanthine	nohA//argP//narG//rrsE//nrdD//paaE//cheW//norV//cirA//sufE//rplM//uxuR//modB//metQ//moaB//acnB//trxA//rmf//yhjC//phnP//feoC//csgD//trpB//nrdD//rrlC//frdB//ilvD//mltC//cysB//ygeH//srlR//argC//ihfA//yjeF//
QseB-Phosphorylated	oppA//cueO//rrfG//cytR//
RhaR-L-rhamnose	prpR//yiaJ//
RhaS-L-rhamnose	psiE//phnF//hyfJ//puuA//napA//deoB//
RstA-Phosphorylated	fepB//ascB//mdtC//hycI//cusR//dmsB//narX//serC//metL//appB//
SoxR-[2Fe-2S]3+ oxydized	metL//pepT//ampE//zraR//
TorR-Phosphorylated	pflB//uxuR//cadA//rutB//mdtA//lacA//glgP//sucD//adhE//hpt//
TrpR-Tryptophan	adiC//rpoH//purH//frdB//gspM//galK//nikE//slt//ugpQ//feoC//glgS//uxuA//
TyrR-L-tryptophan	gltU//nrfG//chbB//ileV//sgbH//nikA//ilvB//metI//melR//cspE//phnL//hcr//puuE//cysG//
TyrR-Phenylalanine	rimM//bioA//dkgB//argT//rnhB//lacZ//csgC//chbB//ihfA//sucA//nirD//fecD//cysA//uraA//
TyrR-Tyrosine	rstA//chbA//mltC//ileU//rutC//sucD//nrfC//yjiY//yqjA//ahpF//moaB//metY//galP//hycE//
UhpA-Phosphorylated	hyaE//
XapR-xanthosine	xapA//narL//
XylR-Xylose	tauA//glmY//creB//nrdE//uhpC//ubiC//
ZntR-Cd2+	glnA//
ZntR-Hg	yhfA//
ZntR-Zn2+	paaE//
ZraR-Phosphorylated	glpD//mipA//casE//
Zur-Zn2+	glcA//napG//ugpE//exbD//degP//alkB//
