#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	gspF//bioD//avtA//hyfE//
ChbR-Monoacetylchitobiose-6P	dsdC//aroG//tyrA//nadC//sgbE//gspC//
CpxR-Phosphorylated	sbmA//ssuC//acrF//lhgO//uxuB//adhE//cpxR//hyfD//hdeD//argT//paaB//sucD//yfaE//cynS//ygaC//appA//lsrG//acrF//zraR//ahpF//mhpT//araC//yibN//emrK//mhpF//fucK//rrlD//cusA//envZ//entB//uidA//aaeR//deoC//yhiD//malK//ydhU//nrfG//carB//ybfN//ydeN//galK//sbmA//nikD//lysP//bcsA//slt//fucU//fucR//alaT//gatZ//nirC//cysJ//rrfF//rrsE//aceK//rprA//hyfJ//cyoB//alaV//ascB//mdh//ppiD//rutA//rnlB//rrsB//murQ//entD//lldD//nirB//
CreB-Phosphorylated	aceK//yegR//rplC//dadX//iraM//cas2//astB//artM//sbmC//
CueR-Ag	alaU//gutQ//hypA//glgC//hofC//ssuE//ydhX//
CueR-Cu+	cysI//phoH//narI//phnH//gntK//mlc//ilvG_1//
CuerR-Au	fdnI//srlB//tehB//csgB//rplB//alaT//moeB//
CusR-Pasp	gdhA//lrp//nrfD//aceA//hyfR//ampD//cyoB//acrD//gltA//thrS//napD//dmsB//
CynR-Cyanate	rcnA//aspA//metR//moaC//
CysB-N-acetyl-L-serine	gutM//pnp//pitA//rplD//idnT//nanA//yegZ//hofO//fadL//appA//hypD//nuoK//ompT//ivbL//ampE//aroH//ebgA//argE//csgE//edd//rplW//gatY//purB//paaE//torD//fhuE//alaS//hfq//xdhA//hyfE//
CysB-O-acetyl-L-serine	rstB//casE//ahpF//cysB//atoA//nrfD//acrD//nirB//mdtD//ilvX//rpsI//rutG//ygaC//hdeD//argT//cynS//hofM//preA//hdeA//entH//flhD//ilvX//rbfA//glpT//yojI//prs//lolB//srlR//znuC//hyaE//fepC//
DcuR-Phosphorylated	hflC//galP//metL//gabP//ybdZ//emrK//sdhC//focA//paaB//
DnaA-ATP	rplB//gatY//ascB//nagB//rbsR//nrfA//bcsA//entA//gltV//folA//acnA//trpD//
DpiA-Pasp	gspL//rrsD//cdd//dppD//cas2//hybC//iscS//cysM//oppA//ccmE//raiA//
DsdC-D-serine	aroF//rrlD//ybfN//
EvgA-Phosphorylated	fepC//sufS//fadJ//ppdD//yegZ//envY//trxA//purD//sufD//dusB//fadI//rplI//sufD//bacA//iraM//
FNR-[4Fe-4S]2+ reduced	glpX//rimP//nanT//gltV//dppB//soxS//fecC//fimI//phoH//cspD//lsrA//sdaA//mtr//purF//purL//nuoL//bioC//rbsD//yibN//phnE_1//purD//mhpA//safA//abgB//malK//gatC//phoU//yhcH//csgE//thrS//gntT//uidA//lysC//frc//motB//hfq//sdhB//iclR//cyoA//fdhF//ebgC//mhpF//nikE//hyaC//recF//mtlD//phnD//sodB//ogt//rhaD//ydhV//cynT//rimM//hyaB//yaiA//nikR//ptsH//araC//chiP//rnpB//ybjG//metY//purR//chbF//pgaD//hybE//ydhV//napB//livM//dppC//ampE//nrdH//rutE//grxC//pgaB//prfA//nanS//aaeX//ccmD//tsgA//gltW//bioC//fadD//qseC//pgaD//dcuB//fepA//rbsD//moaD//lysO//gntT//bglF//glgX//hisJ//paaF//upp//glpX//glpA//marR//dcuC//cydC//ppdD//metJ//deoD//codB//uxaC//sucB//galM//nanA//acrD//rrsC//lysA//uhpC//nrfF//nuoF//murQ//iclR//moaD//phoQ//pepT//puuD//grpE//ppdD//infB//rutD//lacZ//dmsD//pagP//map//yfeW//fnr//glpK//cysN//hyaB//hyaA//mhpD//exuT//creB//ykgM//fadI//pheM//yqjI//rseA//trpD//glpF//livJ//ynfG//nrdH//ydhX//yeiB//ulaD//ydeA//rrfF//yciW//ompR//hupB//sohB//znuC//rrsG//ybfN//xylF//rrlH//ung//livK//phoH//sucD//preT//malF//grxC//fecR//prpR//ompT//ampE//purA//tehA//cyaA//purN//degP//ileV//rhaB//argF//trpC//dpiA//yciW//zntA//dps//trpE//rrlH//fbaA//rhaD//psiF//tdh//ybiT//sbcC//hyfH//purD//zwf//xdhA//trmD//bacA//ilvC//ubiG//secB//norW//hyfA//paaD//chbR//ppdD//acrA//infC//dadX//crl//phnC//phnL//agaA//rseB//glcD//citD//speB//gadB//mdtA//iscS//pta//purR//envZ//paaJ//slt//nirD//paaF//priB//ynfH//cyoD//speB//tsr//yaiA//hslJ//bcsB//mutL//efeU_1//nrfC//glpE//tolC//phoH//galE//tyrB//garL//yjeV//pdeF//gadB//baeS//nanM//livM//aldB//xylB//gspE//cydD//feoA//mglA//cheW//ptsG//tyrR//gltW//purB//melA//astE//nrfC//ccmG//upp//fadE//entS//tyrR//fumB//puuB//tdcG//tdcF//aspA//fecE//srlD//rof//speA//argT//hisQ//rrsA//soxS//fadB//preT//focA//atoD//nrdD//bcsA//sucC//zraP//caiB//znuA//rpsS//lysU//rutF//udp//norV//rbsK//sdhA//fhuB//fadB//zinT//nrfF//
FhlA-Formate	zinT//ilvB//nuoH//narK//cas1//cynR//dmsA//icd//cysN//paaJ//rybA//glnK//rplD//gpmA//sroD//hha//znuB//paaE//fimF//yeaD//arcA//sbmA//rrsA//glpA//frdD//mltC//marB//trpC//prmC//ytfE//
FucR-L-fuculose-1-phosphate	tam//yaiW//glcF//gltF//araB//hdeB//envY//
Fur-Fe2+	hflD//sbcD//cyaA//uof//ascF//mhpF//mcaS//comR//malE//uxaB//pagP//purB//moaD//uidB//murP//napH//cpdB//ackA//nuoL//yfdE//bacA//rhaT//ydhV//iscS//paaC//glnK//ebgC//nuoB//tnaC//ptsH//purL//ssuE//glcF//nrdA//rpsJ//sufE//cysG//citG//nlpD//ygiB//aldA//csgG//aroP//flhC//entC//rrlC//sufE//lsrR//ydeP//xdhB//torC//manX//bcsC//nikA//aldA//uhpB//glgB//codB//araG//talA//ulaE//artI//bhsA//argA//casA//caiA//trpD//araJ//nikE//hypA//hfq//gspE//hflX//soxR//uidB//purK//moeB//lsrD//lacY//galE//fldA//moaA//csgF//serC//cysP//paaJ//hypA//galM//actP//csgB//phnP//araG//ompA//hyfD//ubiX//fhuC//artP//tam//ulaF//amtB//phnD//fixX//narK//treC//rpoE//glmY//xylF//sdhC//trpA//nfuA//tdh//fadL//nirD//cadA//metR//xapA//dsdA//trxA//glpA//garL//malM//yecR//ytfE//nusA//rnlA//manZ//trg//arcA//ldtB//aroL//glgP//ygaC//rhaR//cyoC//hyfI//fdnH//bcsA//lysP//yjcH//nirB//
Fur-Mn2+	fimG//oppD//tauD//tadA//treB//fecI//ssuB//tcyJ//sroD//idnR//narI//ydfN//ompW//marA//rcnA//aceF//uhpT//stpA//csgD//hisM//pstS//ubiG//fucR//nirD//garR//fecB//dcuA//citD//mpl//nuoE//entE//rplP//ascF//cysD//lldP//ygbA//galM//oppA//yqjH//hisQ//rcnB//rrsC//zwf//ynfK//rrsD//glnG//dpiA//hflC//gspI//ilvG_2//asr//focA//purA//yibN//rrfA//araJ//icd//ung//frdD//purC//ugpC//ykgM//nikB//yaeQ//xylF//phoB//ybdN//actP//hofO//fdhF//caiD//malP//yhiD//adhE//sdaA//entB//livK//nmpC//ileU//glpA//murQ//ubiG//rrfA//srlA//rutE//rpoH//fdnH//sohB//lolB//dpiB//purB//dmsA//napD//ryhB//folA//mhpE//xapA//malS//rrfD//dsdC//pgaB//rhaA//mhpD//gntR//preA//rrfD//fadJ//exbD//nfuA//hycD//fepC//glmY//acrF//ydfH//glpA//rrsH//purE//gspE//paaC//ygeH//ykgR//truB//lpxA//dppD//nrdH//gadC//ugpE//ydeM//mhpD//ygiC//pstS//marB//uraA//waaH//crr//rrlG//rpoS//argR//ilvM//nusA//
GlcC-Acetate	fur//garL//preT//rrlD//pitA//cirA//rrlH//
GlcC-Glycolate	uxaA//rpsF//grpE//manA//pyrC//livG//uidB//
GlrR-Pasp56	nac//
IclR-pyruvate	ugpB//yqaE//csgF//tauC//
IdnR-5-ketogluconate	acs//cyoC//uhpC//qseC//xapA//napA//tpx//ynfG//
IdnR-Idonate	agp//entB//sgbH//purE//speB//xylR//rcnA//sbcD//
IlvY-2-acetolactate	sbmC//gltT//
IlvY-Alfa-acetohydroxybutirate	spy//psiF//
IscR-[2Fe-2S]1+	dnaN//ydhU//ynfE//feoB//bcsB//mntS//feaR//csgG//rplP//araG//rnlB//ldtB//cstA//bglG//dppB//nuoE//fucK//ascB//rbsD//aaeB//acrD//pgk//paaE//tcyJ//uhpB//cspE//fimH//yidQ//lldD//nrfG//nikD//lysC//glpQ//lpxD//murP//baeS//mhpC//mdtD//aroP//napH//fucA//
LldR-L-lactate	alaV//cusA//hflK//
Lrp-Leucine	purC//lacZ//phnM//ptsI//ulaE//grxC//phoH//cusB//dppC//gnd//glmY//aer//mhpR//lysC//rhaR//entC//tadA//yjeV//galE//lrp//moaD//paaZ//dcuA//folE//emrY//fepC//fimC//icd//aroA//lldR//rrfH//rseA//glpT//dmsA//tolC//tcyJ//fimC//gltF//appC//mscM//tyrA//metR//tpx//cheW//appX//thrS//sgbE//fecB//napC//purM//gltT//nupG//degP//uvrA//tktB//yiaJ//gatZ//nlpD//yjjZ//astE//fhuD//tdh//yjjZ//ulaA//cysB//ilvX//nrdI//rpsS//hemL//pitA//pgaA//hisQ//gltW//phnP//yaeP//gspL//pitB//hycC//metF//csgB//tsr//araE//baeR//mhpC//spy//artM//sucD//chbC//nrfE//rpsO//lacZ//motB//cusA//fadI//phnE_2//dmsB//fhuE//argG//bglB//mhpR//hdeB//xylH//ulaD//gntP//trpA//glnA//
LsrR	hflD//dapD//ychO//rrlH//infB//recF//galE//ycjF//pagP//
MalT-ADP-Maltotriose	phnE_2//aceE//oppF//rrlH//cysU//hycB//dppA//argG//tar//grxD//
MalT-Maltotriose-ATP	argC//yecR//caiT//csiD//yhiD//cheW//uxuR//tdcF//mpl//cpxA//
MelR-Melibiose	tdcD//pgpC//cyoE//
MetJ-S-adenosylmethionine	exbB//cusR//galK//ampD//tdcF//pyrD//hmp//ilvE//cvpA//yqjA//dcuB//nuoI//ilvB//nikC//rseB//
MetR-L-homocysteine	udp//rimM//norV//actP//ilvA//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]	ampD//aldB//yiaM//fepB//rrfC//dcuR//
MhpR-3HPP	uhpT//frdA//cynX//hypD//cyoB//hisQ//
MntR-Cd2+	avtA//ung//glmY//rutC//ygiA//
ModE-MoO42-	aaeR//rnhB//moaD//rrsC//purB//cysB//ppiD//dcuC//tdcE//dnaN//nagA//entC//ileU//rnlB//paaA//aldB//znuC//grcA//puuA//yeiL//oppF//acrD//grcA//zntA//feaR//yaeQ//glpF//mutL//purB//cheZ//fadA//feoB//entS//ychO//nagB//ilvE//prpR//ldtC//entC//fecR//appY//csgA//cyoD//rbsD//fixX//yidQ//
NarL-Phosphorylated	deoB//envY//crp//nikD//hisQ//bglF//ulaB//gcvP//nikD//alkB//ykgO//cusC//nanS//norW//ykgO//fdhF//acnA//yiaN//fhuE//murQ//feoA//entC//guaB//ompR//hupA//hflC//rstB//lacA//ychH//xylH//eda//napD//lsrB//tam//lysU//hyfD//ccmB//hmp//oppC//psd//ulaC//cysA//fhuD//nlpD//tdcD//yiaJ//manZ//cdd//yebE//prs//zraP//nrdA//malY//yciW//yibN//csgE//ldtB//lsrK//pncB//yqaE//ilvA//aroM//aroA//ilvD//yeiW//glgA//caiF//hycA//lamB//narL//dcuD//acrF//gltT//phnG//frdB//yfdE//slyB//hycB//yfdX//fepA//cheW//mdtB//xapA//ykgR//fis//fimH//torA//sbcC//rplI//glyA//alaS//trpL//baeR//araC//tyrB//phnK//abgA//mscM//sufE//trpA//fadL//rrfD//fliA//abgT//tauD//aaeA//ydfH//hypD//rseC//creA//ogt//qseB//lsrA//allD//ilvG_2//gltD//hmp//glpF//xylA//araG//hypB//phnE_2//abgT//nohA//fau//
NarP-Phosphorylated	dsdX//murQ//nanS//mgrB//rbsA//dcuC//artM//thrV//yggX//folA//ygiA//dnaA//chbF//gspC//spf//priB//glgC//argO//speC//yiaJ//amn//gltU//glrR//dkgB//fadD//mntH//fnr//oppF//tsx//hofB//yhjA//malG//ybdN//iraD//gspM//argC//entS//casD//phnM//bcsC//fecR//fimC//argG//nlpD//tonB//ynfF//hybA//metK//iscA//rutD//
NhaR-Na+	hypF//ascB//csgB//rutD//malS//frdD//purL//
NikR-Cd2+	cyoA//gpsA//grxC//malQ//nuoJ//trpB//
NikR-Co2+	ackA//fucA//fucO//glpD//fecD//pdeF//
NikR-Cu2+	hha//phoE//gntK//bacA//aroF//lpxD//
NikR-Ni2+	fixB//ydiU//rrfD//zinT//cspD//zinT//
NikR-Zn2+	bioF//csgE//hemA//xylF//ccmF//purF//
NrdR-ATP	purK//ccmA//tehA//psiE//yjeV//ybjG//lsrD//uhpC//paaB//
NrdR-Zn2+	guaA//malT//rpsR//phnN//ydeJ//purM//glgB//icd//ilvG_2//
NrdR-dATP	lsrK//iclR//sdhD//fecR//pgaB//yegR//nrdH//abgA//lldD//
NsrR-[2Fe-2S]reduced	hdeD//acrD//chbF//hybA//sufE//psiE//hycA//dpiA//rrfA//yhcH//cydC//rstB//rutD//murP//cpxA//paaI//glpA//hyfF//ugpA//phnG//citE//dppF//livM//fliA//dkgB//kbl//yaeQ//rmf//hofP//yeiP//ompC//nrdA//fdnI//serA//tdcB//rhaR//nrfE//slyB//zinT//rutD//livF//fadJ//fecE//phnM//abgT//fepG//trpL//hofP//qseC//glnD//fepA//patZ//dcuC//metJ//yaiA//citC//pstA//waaH//livF//astD//puuA//narH//fucA//yeaE//argB//lacZ//hypF//comR//aceK//aceA//tdh//paaB//ybjG//
PhoB-Phosphorylated	gdhA//cysU//ccmD//glgS//citF//lsrB//pflB//rplB//dcuA//argC//rplB//talA//galS//entH//pgaC//appX//casE//glgS//fucA//sucD//cbl//ydhX//hyfJ//glpD//aldB//ubiC//uxuB//argC//prpE//rrfE//exbD//ykgR//tam//yjjZ//artI//dcuS//glyA//mlc//caiD//fucK//marR//hyaD//nagE//idnR//fdnG//sgbE//acrB//gntU//fecA//alaT//gatD//torA//abgA//astE//ompW//aroH//torC//cheY//rrlA//fabZ//ycdZ//
PhoP-Phosphorylated	gspE//pdeF//gadB//baeR//cysI//bcsC//purL//mhpB//purC//yoaC//cyoB//hypA//alaV//cyaR//cusS//hyfI//hyaE//entF//sxy//entA//uidB//pepT//oppC//yfdE//nupG//phnG//prfA//ackA//rhaS//citX//grxD//chiP//nikR//nrdG//mpl//rpmC//sdaA//cysH//cytR//ileT//lacZ//mutY//rrfB//dcuR//rplD//tcyJ//hyaE//acrA//hyaC//hybG//nikR//cusS//yeiW//fucK//sohB//fau//mutL//
PrpR-2-methylcitrate	rrfA//nmpC//nrdE//pstS//hypC//
PurR-Guanine	fucU//ynfK//yjjZ//rrfF//ackA//tktB//yeiL//srlR//fadH//gabT//sufC//lldD//argB//purN//ilvG_1//ahpF//moaB//aroH//ybiT//tam//rrfH//mtlR//grpE//nirB//yiaJ//fixX//yfdV//hybB//paaZ//rrsH//cheZ//gspI//rpsJ//paaK//
PurR-Hypoxanthine	cirA//ygaC//nuoE//ugpE//phnM//cysJ//metN//hyfG//tfaQ//mutL//rpoE//dpiA//idnD//fhuE//modA//cysD//yeaE//paaB//casE//ygiB//gltD//rmf//mhpA//ompT//trpA//argO//hflX//ychO//moeA//chbA//cadC//rhaT//tnaC//phnF//
QseB-Phosphorylated	ugpQ//patZ//dnaN//moaE//
RhaR-L-rhamnose	appX//agaW//
RhaS-L-rhamnose	aaeX//araE//mhpC//ytfE//uvrA//hybA//
RstA-Phosphorylated	carB//yjiY//paaH//napC//ilvX//yfiP//csiE//ompR//fadH//nuoF//
SoxR-[2Fe-2S]3+ oxydized	hflX//cysK//cheA//edd//
TorR-Phosphorylated	mtlD//fixX//entS//paaI//agaA//fhuC//cynT//rpoE//azuC//ilvM//
TrpR-Tryptophan	soxS//emrY//fes//zntA//ilvG_2//recF//yeiB//sbmA//xylF//moeA//cysU//nuoM//
TyrR-L-tryptophan	yeiP//baeR//hflK//ynfE//oppA//nuoN//rhaT//hyfC//malS//yaeP//cheW//cysP//feaR//yegH//
TyrR-Phenylalanine	rrfC//fecA//ccmA//rrsE//ftnA//slt//cysG//artI//cysP//tauA//metJ//dnaE//pta//phnE_1//
TyrR-Tyrosine	ybfN//agp//thrV//fhuF//rplD//ccmH//yiaN//fixA//uidB//yhjA//iclR//ogt//argP//phnP//
UhpA-Phosphorylated	dcuB//
XapR-xanthosine	xapB//glcA//
XylR-Xylose	fbaA//cysK//ssuA//dpiB//caiF//norV//
ZntR-Cd2+	pyrD//
ZntR-Hg	acrA//
ZntR-Zn2+	gspK//
ZraR-Phosphorylated	rrfB//creB//acnB//
Zur-Zn2+	livF//mpl//glgB//infB//rnhB//hybB//
