#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	yegZ//erpA//uhpC//lacI//
ChbR-Monoacetylchitobiose-6P	ugpE//aaeX//acs//crl//efeU_1//caiT//
CpxR-Phosphorylated	ccmD//dmsD//yeaD//rseC//srlB//atoB//idnO//frdA//rybB//galP//amn//nuoB//araF//tap//yeaE//nrfG//phnP//zinT//hflD//nrdA//creA//argT//zwf//ycdZ//nrdE//glcA//argA//nanS//ybjG//rrsE//yeaR//araF//purE//ycjX//aaeA//ychO//ilvL//gcvH//chbB//gspG//astE//rrfB//rplW//rrfA//yiaM//rrsA//rpmC//malS//lpxB//arfB//mdtA//uhpB//betT//bioD//acrF//znuA//entH//nanS//pgaB//mltC//lsrC//actP//gatD//chbF//sgbE//priB//yiaJ//yiaK//ubiG//
CreB-Phosphorylated	cydA//entE//rpmC//ygiA//rmf//waaH//nuoM//norV//cadB//
CueR-Ag	puuA//amn//ygaC//ycdZ//yaiA//hcp//leuE//
CueR-Cu+	sucA//metC//fucI//ugpA//phnF//trpR//gltF//
CuerR-Au	argH//ivbL//cysH//bglG//hybG//csgF//ydhY//
CusR-Pasp	rbsB//entS//zinT//idnD//csgG//ybiT//aspA//purH//chbC//mtlD//torC//yhcH//
CynR-Cyanate	acnB//ccmH//ccmF//skp//
CysB-N-acetyl-L-serine	yhhY//ynfG//csgG//trxA//rrlE//rbsB//cydA//argT//argH//phoE//hycA//mipA//preA//rutE//srlA//rplT//caiD//argG//ynfF//rrfA//nagB//yhcH//ugpE//rpoH//deoA//flhD//garP//ryhB//speC//phoB//
CysB-O-acetyl-L-serine	yiaM//lacA//cysJ//mntS//narQ//napC//adhE//dadA//napB//fimI//ygiC//rrsD//rpsO//rpsR//lysC//soxS//glcE//garP//ptsH//ubiX//sodB//appY//erpA//narH//hyfB//zinT//fucU//fabZ//narL//fhuF//acrB//
DcuR-Phosphorylated	hupA//tonB//kbaZ//gspK//metB//gadB//melB//prpD//envZ//
DnaA-ATP	nanK//lpxD//bamE//soxR//ssuA//lrp//trg//pgaD//lysC//mdtD//srlR//dps//
DpiA-Pasp	cas2//cspE//cytR//gltD//yaiW//astD//yedX//yqaE//csgD//glpA//zraP//
DsdC-D-serine	metA//yaiW//mgrB//
EvgA-Phosphorylated	nac//araJ//allC//hypA//preA//rrsD//modC//nupG//soxR//hyfA//napF//gspG//tar//rdoA//bglF//
FNR-[4Fe-4S]2+ reduced	yhfA//melR//fimE//hycG//mntH//preT//fimE//bcsC//nrfF//dcuS//nuoE//kbl//puuP//gntU//abgT//pstC//hyfI//rrsD//hycD//znuA//argA//ydeA//sufB//entS//mgtL//nrdB//metC//gspK//fimG//rrsG//yiaK//sbmA//ssuA//rnlA//qseB//pnp//fadL//ydhW//glpG//malT//dadX//paaG//murQ//gspC//glpD//cirA//phoE//ebgA//glnB//cysJ//oppD//hemA//yeiL//sxy//tauD//nagB//ycdZ//chbA//xdhC//ldtC//cspE//uvrA//malM//yhfA//araF//dsdA//cusB//map//cadC//paaJ//envY//creC//moaA//lysU//appB//agaA//hyaA//grcA//betB//sufD//entA//lhgO//pgaD//envY//rutE//puuP//gabP//yebE//znuB//tyrR//gapA//raiA//cusF//csgA//trpD//baeS//betI//icd//purB//artP//malK//cadA//csgC//tnaB//xseA//puuC//fiu//cysH//speC//moaA//cdd//upp//glgC//gadC//glpA//gnd//cueO//gpmA//gspE//pck//rpmI//napC//mgtL//araF//tdcE//pheT//xdhB//ubiA//ccmG//focB//yeiB//hyaA//thrV//nrdI//ydfN//mdtD//fucU//ccmG//dctA//idnK//citD//rpsC//gntP//rrfE//sufA//gspJ//mglB//rutB//psiF//fimC//tnaC//modC//yoaG//yfiP//trpC//entC//gabD//fliZ//gatD//mipA//metR//casE//cheZ//ydbD//fepC//thrS//envY//ybjG//tauC//yfeW//sucA//ldtB//pheS//rpoE//mcaS//fumC//spy//casA//cysP//narX//glmY//ndh//ydhW//cheW//gltA//nanA//narI//cysW//gspL//ascB//narL//nrdD//hslJ//acrD//cysJ//purK//melA//phnH//fadH//malZ//narJ//idnT//caiD//trpA//azuC//idnT//citX//ydhX//fixX//nuoK//citE//nagC//lacY//rpoS//fadA//casB//oppC//tdcA//xylH//emrY//paaC//lysC//glnD//yfbR//rrfH//rcnB//napA//paaZ//lpd//gltD//lpxD//malP//rbsC//moaD//dmsD//ydfN//mgrR//ydhT//appC//argH//nirC//ugpC//mtlA//atoD//acrF//tauD//aroA//puuB//galK//lrp//ansB//gspF//sufD//ynfF//astB//dnaE//ivbL//ubiG//ynfE//purK//fimI//focA//ychH//dsbA//amn//micF//ydhX//appC//frdC//hflC//cysG//rrlC//malG//tnaC//fadJ//gntT//aaeR//purD//mntH//cpxA//yegR//glcD//fepC//cusR//yiaL//srlR//nuoN//ydhW//tyrA//gspI//exbD//cas1//glpK//sxy//garK//ydhW//glpE//phnE_2//grcA//fimG//ompT//srlA//glpC//rutC//hupB//
FhlA-Formate	hfq//acnA//lsrC//trpC//entE//lysC//paaF//hycD//moaC//tauB//dusB//trxA//glrR//glcC//casB//appA//leuE//nfuA//lldP//zwf//garK//ubiC//rnhB//alaV//mtlD//ompT//rbsA//pheM//gpsA//ugpA//
FucR-L-fuculose-1-phosphate	mlc//ryhB//grpE//putP//glgX//lsrC//srlB//
Fur-Fe2+	atoB//fecR//malS//pdeF//cirA//manY//chbR//rpsR//rpsR//rrfB//rutF//modC//ileV//oppC//katE//rbsC//glpC//hybC//livG//pgaD//mutL//ubiA//arfB//thrV//argC//moaE//tfaQ//ulaF//nikR//ydfN//puuP//infB//yiaL//gatC//phnM//fixA//tsx//bhsA//narL//bglF//tsgA//tdh//glpA//yjiY//gntU//livF//ilvN//fecI//glcD//phoB//tauB//rrsG//purN//sdhB//pstA//rpsP//nagC//gspI//lsrR//thrV//rpsO//aceK//lsrR//pta//casE//artP//motB//rpoH//csgC//malI//ydeA//glpX//gabP//nrdI//phoQ//yegH//ilvA//rprA//nlpD//amn//oppD//aroF//cysW//xylA//alkA//caiA//glpQ//xdhA//glgS//manA//ilvI//borD//hypB//pdeF//sufE//sgbH//hisQ//metQ//fixA//tar//ynfE//sufD//ulaE//galS//sgbU//glcE//yeiL//hyfG//glcB//ilvA//pnp//csgA//rbsK//fhuD//oppB//gatY//cdd//preA//purC//ompX//paaD//tonB//prpC//mgrB//hemA//sbmA//nac//cynX//ileT//creB//yjcH//actP//fixX//sohB//moeA//yhjC//gutQ//phnO//cpxR//glnD//
Fur-Mn2+	entS//xapA//ldtB//dnaE//yoaC//glgP//psiF//malK//rpoS//erpA//fepD//ugpQ//metA//phnN//hofO//moaE//rpoS//fhuD//ybdZ//yeaR//cas2//ccmE//lamB//lacI//hdeA//ldtC//hdeA//agaW//cydC//murP//ulaE//rpoE//glcA//gntR//bioB//tauA//nikE//dcuD//pgk//gspH//frdC//yegH//rrfE//glpR//galT//fiu//ydhU//hybF//cysA//fadL//phnM//feoA//fes//mhpE//rrlB//sucC//tsr//gatZ//fucK//tsaE//glpF//rrsG//appY//kbaZ//malG//serC//glgP//hyfJ//rpsQ//glpC//fimE//yfdX//yedX//srlB//glpK//erpA//prs//hyfD//adiC//ppdD//yebE//phoE//cysA//trpL//leuE//prpD//purN//entC//cpdB//artM//galP//gntX//hflC//metC//nikC//bioA//uhpA//gspF//rpsS//ynfK//nohA//mglA//fdhF//yiaJ//tpx//raiA//rnhB//gadB//araD//nusA//nanS//gatC//metN//entC//ilvY//hybD//fhuA//mgrR//fepA//ybiT//rrsC//glpD//fimG//ldtB//pyrD//miaA//yeiL//paaD//hybD//argC//ompX//araF//purM//mepH//caiT//ahpC//yegZ//hupA//rpoE//hybF//
GlcC-Acetate	ydeA//puuR//ompC//putP//mdtB//glyA//rpmC//
GlcC-Glycolate	narX//eda//envY//moeB//yaeP//yhfA//nmpC//
GlrR-Pasp56	gutQ//
IclR-pyruvate	gntR//rbsA//glpA//fimC//
IdnR-5-ketogluconate	rpmC//ilvC//xylA//mlc//caiF//hyfG//ssb//exuT//
IdnR-Idonate	aroF//fhuA//focB//rrfF//citF//hycB//bioF//ccmC//
IlvY-2-acetolactate	sbcC//grcA//
IlvY-Alfa-acetohydroxybutirate	cydD//gatY//
IscR-[2Fe-2S]1+	gatY//xylA//nirB//ytfE//rpsS//metF//paaB//nuoI//tdcC//purB//gntR//sgbH//hyaD//rseB//gspE//rutG//prpC//yfiP//focA//gspO//yrbL//map//pheS//xdhB//puuB//nikD//cirA//hyfA//aroG//aroA//rimM//citG//sgbE//cysB//norR//ssuB//hofP//astA//pheT//pstB//icd//
LldR-L-lactate	sgbU//uvrA//torA//
Lrp-Leucine	bioB//ydhV//rbsB//ydbD//aldA//ccmE//baeS//ygiC//pflB//abgT//ccmH//feoA//moaA//rseB//bcsC//alaT//gcd//ykgR//exuT//uraA//ompR//nirB//uhpT//bioC//nirC//tktB//rrfH//amiB//glgP//gabD//mglB//hofO//ogt//hyfC//rplT//araH//garL//deoC//napB//torR//ydeM//glnD//rybB//lldR//uidB//fur//garL//ytfE//nagE//cydB//crl//hcr//creD//ydeM//feoB//gatY//lysU//nrfF//artM//cusC//frc//nhaA//epd//araB//cas1//ydfH//norV//zntA//yaiW//paaA//paaB//yedX//emrY//nanA//mhpD//fucO//sbmA//argE//fixA//tauB//rnpB//ldtB//fimD//spf//trpL//rrlB//degP//araA//ompW//trg//ppdD//actP//cadB//hybB//yqjA//ydhW//rimP//ygbA//katE//yidQ//sucD//rseB//argC//flhD//nac//ulaC//
LsrR	nanM//eda//abgB//yiaO//dsdX//fabZ//dps//nuoB//rrsA//
MalT-ADP-Maltotriose	astD//hypD//melB//yfeW//sufS//gspL//rrlB//sohB//rrsH//gntU//
MalT-Maltotriose-ATP	mpl//aaeB//dkgB//cstA//alaS//yjiY//torR//narX//malZ//mntP//
MelR-Melibiose	metR//gspG//malT//
MetJ-S-adenosylmethionine	rrsD//cheB//hslJ//hcp//hyfB//fadA//guaA//galM//hyfC//yfbR//cydA//cheB//rbsR//rrlA//araH//
MetR-L-homocysteine	gspE//ssrS//mutY//puuC//ptsI//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]	mntP//cpxR//yhhY//yidQ//phoH//pdhR//
MhpR-3HPP	pheS//rybB//psd//rutD//moaC//galK//
MntR-Cd2+	narL//yeaD//fecB//fucI//gabP//
ModE-MoO42-	argO//phnM//dcuB//livF//hemL//pstS//hybA//hflX//entA//sgbE//fadA//caiE//hupB//cysM//ompC//osmY//nac//udp//yjeV//bamA//rplD//mscM//hypA//fimE//rpsI//hemL//rplI//sbmA//yeiL//yfaE//murQ//ugpE//moaB//nuoI//bcsB//prmC//pheM//yhfA//gpsA//nikR//arfB//puuP//gatY//entS//aaeR//csgG//
NarL-Phosphorylated	rpsI//fau//artJ//codA//prpE//ygiA//tdcA//betT//ilvA//mntS//narH//fucK//hisP//gcvT//fimH//dapD//fumB//mntH//appC//rrlD//argA//mlc//pstS//ada//argI//pheM//purC//mcaS//gcvP//nagA//ydeO//fadI//hemL//agaA//glnG//fepA//allE//rpoS//ompF//artQ//nhaA//hyaA//purF//ndh//gadB//hofN//hyfA//cvpA//emrY//nikD//gltF//fimI//fepA//cusA//rrlA//rutF//nusA//sucB//iscU//ugpB//feaB//pepT//csgG//yrbL//zraS//galS//upp//crp//codB//uxuA//uidC//malG//sufD//napB//tam//rrfD//nanC//tomB//cusC//metI//hemL//argA//fucR//glpA//cyaA//dmsC//gdhA//degP//gabT//casB//rplW//eda//avtA//argF//argR//rutD//rpsS//bcsC//moaA//ynfF//agaA//argP//ung//yjiY//casE//grpE//qseB//grxC//alaA//hdeA//rrsA//betI//ynfF//ptsG//rplC//cusF//gltT//aldA//murP//purD//cyoE//acrA//fadI//iscR//ilvN//
NarP-Phosphorylated	uhpA//evgA//epd//gspL//nuoL//fdnG//napH//argT//rrlC//hcr//mdtD//cusA//torC//astA//yeiL//frdA//skp//phoE//uxuB//treR//ndh//galS//pgaC//gpmA//artP//gspF//fumC//argR//galP//phnD//mepH//ycjX//dnaE//cusF//paaD//tehA//appB//zntA//kbl//gspI//bioD//ada//appX//mhpT//tdcC//rplD//argF//rpsJ//efeU_1//narI//
NhaR-Na+	fdnH//oppC//phoQ//cyoE//aspA//ydfN//ydbD//
NikR-Cd2+	tpx//ydfN//paaG//manZ//hybO//nadC//
NikR-Co2+	ugpE//ndh//fecC//rrsG//hycH//cheA//
NikR-Cu2+	rbsC//tdcG//gcvT//cyoA//hycE//narJ//
NikR-Ni2+	uxaB//dusB//gspC//phnL//csgA//gltA//
NikR-Zn2+	dnaN//gadC//treC//betA//trxA//mhpC//
NrdR-ATP	yhcH//motB//ssb//chbA//mutY//sbcD//allC//prpR//caiA//
NrdR-Zn2+	aaeX//carA//cysD//glcA//lysC//yjcH//gcd//rutA//gntR//
NrdR-dATP	dmsB//uxuA//nikB//tnaC//napF//sbcD//deoB//cysA//napF//
NsrR-[2Fe-2S]reduced	cytR//phnH//gspC//uxuR//caiF//fhuD//gltA//putP//nadC//yeaR//tauC//ileT//proP//pheT//slyB//malS//creA//ihfA//ccmF//yjiY//sodA//narX//rplI//hybE//ccmH//hyaF//tomB//caiF//entE//hha//glnD//entB//sucD//bglF//sbcC//betA//dcuR//torR//pgk//amiB//tdcD//csgE//ynfF//araH//marB//nuoM//folA//ileU//lolB//csgC//micF//uxaC//caiA//glpD//lldP//pncB//cyaR//norV//trpA//yfiP//emrY//livG//manY//rhaS//cyaA//galE//livF//glnG//rbsB//prfA//osmY//tauA//lysA//
PhoB-Phosphorylated	psiF//sdaA//aceB//astA//purR//ygeH//ssuE//ilvG_2//uvrA//rbsR//ssrS//xdhB//tadA//putP//iclR//ahpF//astE//fnrS//oppB//csiE//artP//csgA//ydfH//hyfB//ilvX//paaG//ansB//dnaN//rnpB//azuC//srlD//cspD//ccmD//acrD//cynT//ydeP//yegR//idnR//atoE//gspM//ydiU//crr//rpoH//feoC//mlc//araJ//fldA//modB//dnaE//fliA//purK//gadC//manZ//glcC//gcvP//casC//napD//glmY//fbaA//cusR//nagC//
PhoP-Phosphorylated	ynfK//phoR//rpsF//pitA//speC//yjiY//nhaR//casD//yoaG//lhgO//hyfA//cyoD//appX//malZ//nrfF//ydfH//alaU//xdhA//phnH//hflC//metI//rplB//mhpR//ycjF//citC//gspI//ptsG//hybE//ompW//lysU//tauC//arcA//ampE//livG//idnO//ydhU//ccmC//hmp//ykgM//glnB//hypB//lacY//hofP//kbaZ//xapA//rutG//metI//gntK//serC//fliZ//trxA//tehA//lamB//paaZ//rbsC//uxaB//rpoE//
PrpR-2-methylcitrate	gltW//rnhB//lhgO//ascB//acrB//
PurR-Guanine	treB//ybfN//hypD//aldA//malI//cueO//glnL//deoC//nagA//caiC//ihfA//ccmA//ulaA//argO//nuoI//hofO//gspG//ybfN//ompW//fimG//fimH//ydeM//trpA//yeiB//tsx//pgaC//secB//sufC//ybfN//fecB//alaU//hofC//aaeA//rrlE//
PurR-Hypoxanthine	lsrF//gcvT//xylA//bglB//rutE//aroP//ppiA//aceF//dmsD//yeiP//hyfA//lrp//metB//citE//chbR//ychO//gspD//polA//rplC//paaZ//fumA//fimE//uvrA//fimI//dppB//sufS//rhaA//ada//nanE//frdD//talA//tehA//chbC//ygiC//
QseB-Phosphorylated	puuB//pgaB//cpxR//caiT//
RhaR-L-rhamnose	cvpA//lysP//
RhaS-L-rhamnose	prpR//rhaS//astE//raiA//trpD//fdnG//
RstA-Phosphorylated	nuoK//rbsC//glcA//ahpC//hyfA//rplB//argP//puuA//bamE//nuoA//
SoxR-[2Fe-2S]3+ oxydized	glgC//mpl//ptsH//ilvN//
TorR-Phosphorylated	idnT//hcr//paaF//cyoD//dsdA//chbG//yeaR//tap//gabT//mntP//
TrpR-Tryptophan	fadA//cheR//mdtB//ebgA//metK//mpl//cas1//rhaR//gcvP//efeU_2//yfdX//rcnB//
TyrR-L-tryptophan	yciW//paaB//betT//rrlE//moeA//aroL//tfaQ//uhpT//acrE//lolB//fur//tauD//rrsH//nupG//
TyrR-Phenylalanine	fadA//srlA//pck//metH//bioB//speC//malI//yoaG//ybdN//rnlB//paaB//fnrS//polA//fumC//
TyrR-Tyrosine	rprA//aldA//bacA//lsrK//rimM//lsrK//glcF//ilvD//fimC//cynX//fur//znuC//phnF//hlyE//
UhpA-Phosphorylated	rpmI//
XapR-xanthosine	hypE//cysW//
XylR-Xylose	livM//soxS//ulaC//nuoM//rpsO//tfaQ//
ZntR-Cd2+	ybiT//
ZntR-Hg	proP//
ZntR-Zn2+	speC//
ZraR-Phosphorylated	znuB//bioB//rmf//
Zur-Zn2+	dmsD//artI//mhpA//allE//yrbL//chbB//
