#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	ogt//uhpA//fixA//cvpA//
ChbR-Monoacetylchitobiose-6P	ycjX//atoD//prpB//nanK//ascB//tauA//
CpxR-Phosphorylated	cas2//lysO//sgbU//alaU//ahpF//glpG//phnJ//glnL//ilvN//ykgR//fur//dppB//chbC//yiaJ//ilvG_1//hisQ//qseC//aceA//aldB//ygiC//yiaO//gatD//purK//hyaC//chbC//ilvE//mlc//narQ//rdoA//yiaN//csgE//napD//cstA//rutD//baeS//torA//rpsP//prs//sdhA//nirC//feoA//cyoD//rnhB//prs//argT//cysI//fucU//nrdD//rseC//dmsD//guaB//argE//araC//argP//betA//galS//cusR//aroA//ugpB//paaF//cusA//fhuD//gltF//ogt//livM//codB//iclR//yggX//slt//
CreB-Phosphorylated	yqaE//nanE//creD//trpB//comR//bcsC//cueO//purB//tdh//
CueR-Ag	fliZ//mtr//manY//treB//murP//nrfE//moaE//
CueR-Cu+	iscS//degP//purM//pstS//cusC//bhsA//lldP//
CuerR-Au	uxuR//mntS//fhuA//gltF//psd//cbl//abgT//
CusR-Pasp	cbl//gspF//livK//trmD//hha//sbmC//lacA//glcE//ilvI//gapA//lhgO//glnD//
CynR-Cyanate	mcaS//paaF//hofO//ebgA//
CysB-N-acetyl-L-serine	allE//sgbE//ulaE//hyaF//ompA//dapB//rnhB//dsdC//trpA//hmp//fhuB//puuP//gspE//tsgA//yojI//rhaR//feoB//glnK//ubiA//narJ//acrE//mhpT//rrlC//nrfC//mcaS//livM//lysU//purB//lolB//soxR//
CysB-O-acetyl-L-serine	ulaF//hycD//rrlC//glpK//gltV//tdcD//priB//rhaA//yfdV//ydeO//malT//purD//tpx//betI//galS//mgtL//grxD//epd//galS//grcA//artP//fucA//rrlG//ilvI//phoR//purC//garP//glgA//yoaC//preA//rutF//
DcuR-Phosphorylated	hybE//ccmC//paaG//hypC//grxD//rnhB//alkA//uxaA//bcsA//
DnaA-ATP	nagB//fdnH//cheB//phnO//phnE_2//sufA//gltT//guaB//grpE//efeU_2//nikE//rutB//
DpiA-Pasp	aaeB//hypD//frdB//crr//znuB//sucB//gadC//glcF//xylR//hyaB//lysC//
DsdC-D-serine	caiE//putP//appB//
EvgA-Phosphorylated	amtB//cheW//pepT//mepH//araC//argR//speA//cheB//rrfB//yeiB//napB//metB//nrfG//fadI//csgG//
FNR-[4Fe-4S]2+ reduced	ssrS//tauB//safA//rnlA//citC//yciW//gapA//argG//csgD//yojI//cirA//xylR//fimI//sgbU//cyoA//hybD//betB//gcvP//rutE//hslJ//gutM//ygiA//ampD//idnR//cusR//paaG//tdcC//soxR//guaB//caiF//hdeD//yeaE//comR//garK//gspI//fimH//rprA//mdtD//fimF//mdh//malI//tar//glgC//ybdZ//tolC//nuoM//hybF//truB//rstA//yidQ//nikA//arcA//adiC//ptsH//aroP//manZ//rutB//hyfF//purB//galK//grpE//thrV//argH//mhpR//upp//acs//ompF//rplT//sodB//rhaT//ccmB//ygiB//cusC//nikR//hflK//avtA//glgA//pgk//erpA//ilvH//carB//nadC//lpxB//hypE//soxS//aldB//frdD//cytR//nrfB//fepA//nusA//bcsC//slt//gspF//secB//fhuB//hyfJ//cysK//hyfJ//hdeD//appY//galT//gcvH//lamB//cyoD//malP//fucO//sbmA//crl//tap//dnaE//rrlG//rybB//yeaE//ysgA//phoB//metC//yaeP//sucB//srlD//rplT//hyfA//acrD//ydhT//modB//pncB//ascB//casC//argA//ilvY//ccmB//sbmC//ycjX//pstB//sbmA//ptsG//chbA//ydeJ//rrfB//lldD//oppF//ispE//gntX//gntR//mtlR//cyoA//citD//hypC//narL//ygiA//argF//ileT//ybfN//nuoC//pstC//ahpC//nikC//gapA//aaeB//sdhD//slyB//fnr//gatY//baeS//fucO//phnC//chiP//tyrA//guaB//entE//cbl//dcuR//hypC//xylB//sodA//rof//rplP//flhD//artJ//nikD//znuC//thrV//rrlA//uidB//pck//alaA//malF//tcyJ//fimF//gspF//fldA//ndh//hmp//cpxA//cysW//malP//citF//trg//ilvH//cynS//ccmG//mepH//nrfD//argD//rbsR//gspC//tnaB//dctA//yjiY//nuoE//ileT//yjcH//yhhY//ccmD//xdhB//ydhY//mglB//cytR//hycH//glyA//yecR//aroH//fdnI//hyfA//narJ//entC//metQ//folA//chiP//mtlA//mcaS//metN//marR//tyrR//hdeA//pstA//hypA//ansB//bglB//uxaB//rpsP//rbsK//modA//dnaN//purN//psd//cusB//rplW//katG//ubiC//fadD//rybA//rpsC//ilvM//pck//ydhX//ygeH//gspK//gpsA//recF//hfq//rbfA//yibN//yeiW//betT//glnK//cspD//tonB//yiaL//aer//dcuS//dmsB//tar//yccA//bcsZ//cysA//yeiW//rrfB//ugpC//aceF//livM//trpA//glpE//zntA//pflB//hybG//carA//qseB//gltA//uxaB//fhuF//hycI//cheA//ilvG_2//dppB//cpdB//uidB//fhuA//ispE//pnp//sgbU//artQ//manZ//pdhR//galT//
FhlA-Formate	galT//rybA//malI//phnD//nikB//hdeB//malZ//phoQ//rpsC//creB//srlA//argA//tauB//tdcA//nuoL//cysG//ilvE//glnG//sbcC//yedX//dmsA//crp//ompT//appB//fimE//treB//cbl//rpoH//lamB//codA//
FucR-L-fuculose-1-phosphate	aceB//nlpD//cysA//lsrK//fimF//prpD//dapD//
Fur-Fe2+	icd//phnC//tdcA//pepT//tnaB//yrbL//glnB//yiaN//csgF//rbsA//rpoH//lldD//trg//fucR//gntU//gltD//xylB//amiB//moaD//argI//acs//rplT//cyoB//agaV//rpsF//csgB//tsaE//bdcA//hflC//preA//allE//dpiB//yaeQ//tdcB//stpA//citF//gabP//ygaC//ykgO//argF//phoB//gadB//ompX//dsbA//fadA//hyaF//phnL//copA//ansB//ydfH//ydhT//mzrA//fimI//sdhD//envZ//nanK//cvpA//ebgA//cynT//mhpD//tfaQ//idnT//csiE//aidB//sufE//lolB//cheW//iraD//nrdG//dadA//araB//hisP//rutC//ilvG_1//dcuB//nadC//pdeF//sroD//napA//alaT//bcsA//idnK//fucK//bioC//fecB//rhaS//livK//puuP//abgA//bglG//abgT//rrsB//nupG//citF//gspL//argH//icd//rutG//rrfE//fimG//tdh//purL//phnE_2//acs//araF//creD//rrfH//aldA//ebgA//paaC//grcA//atoD//nrfF//glgB//sufC//tyrA//gadC//cynS//aroM//fdnH//phnD//hybC//hmp//argI//phnL//xylB//yaeQ//nirB//sdhB//puuC//glgC//hyfD//hycC//rutD//gadB//fimI//emrY//glgC//hycD//rpsP//
Fur-Mn2+	ompX//rrfB//marR//yneM//hyaD//sbcD//bglF//tauB//hycD//mglB//mhpF//yojI//mhpF//allE//hdeB//tar//betA//acnB//glcG//lacI//aspA//dppD//malK//araC//qseB//fepA//ygbA//narK//azuC//prmC//yeaE//treB//uraA//ilvI//degP//entH//oppF//araB//ilvB//fecC//ykgR//zraP//cas1//narX//crl//thrV//puuA//yfdX//gapA//fadL//phnC//feaR//focA//nuoL//lysU//moaA//artM//ldtB//pyrC//citF//bcsB//prpE//puuB//ptsI//ispE//glrR//appY//uhpC//fepB//sodB//hyfF//ilvL//ydhV//crl//ompT//evgA//alaU//hybB//glgB//ydhY//yhcH//rpsR//narG//hycB//yegH//lyxK//gabT//gatC//fhlA//fecR//map//yiaN//creA//ynfG//nupC//ompT//csgD//codB//dsdA//fhuA//bcsB//hyfD//mdtB//ynfE//edd//eda//pncB//casE//mpl//fhuA//rplT//phoH//hyaA//trpC//crp//hfq//ccmF//aroA//fadI//tyrP//nanA//fadD//hisQ//tam//psiE//motA//cysK//rpsP//guaB//galM//uhpC//phnI//bglG//pitB//yaeP//prpR//hflD//agaW//glcA//fimG//
GlcC-Acetate	casA//glpT//gntK//norV//osmY//tktB//exbD//
GlcC-Glycolate	sbcD//trpL//purA//yojI//nupG//murP//yfbR//
GlrR-Pasp56	araF//
IclR-pyruvate	araB//uhpB//fucO//metQ//
IdnR-5-ketogluconate	ygiA//rpsQ//glpF//ccmB//malK//yeiP//purD//phnF//
IdnR-Idonate	qseB//phoR//modC//exbB//ilvG_2//cyoC//ebgA//paaA//
IlvY-2-acetolactate	gcvH//yeaR//
IlvY-Alfa-acetohydroxybutirate	hycC//glcF//
IscR-[2Fe-2S]1+	chbG//yecR//glgB//dppD//araJ//argG//baeR//ompC//hyaE//ldtC//uxaC//prpC//rpsP//srlD//nuoJ//uhpA//moaA//melR//cynS//mgtL//mtlD//cysM//yjeF//idnR//ompT//trpL//skp//fecE//amtB//nuoJ//hyfI//rutA//nuoN//dps//melA//cyoA//fimH//cadB//hycD//nanE//tauA//
LldR-L-lactate	yibN//zraR//ychO//
Lrp-Leucine	fucR//ung//alaU//cvpA//fucP//galE//ulaA//cynT//napC//putP//fucP//rhaD//tsx//nrfE//rstB//comR//gadC//xylB//tsaE//carA//oxc//rhaR//cyoA//betT//rhaD//rrlD//tdcB//nirD//efeU_2//hyfF//pgpC//bcsC//znuB//ydhX//mscM//pta//dnaE//livF//yhjC//hflK//ykgO//puuC//galE//nanK//ugpC//malT//purN//dcuR//torD//trmD//creC//lyxK//cpxR//aceE//tnaC//gatY//nohA//argT//spf//tpx//ppdD//ulaD//lldP//glpC//aroF//asr//zwf//gutQ//araC//dsdC//sufS//aldB//melR//argP//rpoS//iscS//asr//aaeA//ydhY//hemA//fnrS//ndh//ilvL//ulaD//hyfE//xdhC//alaU//erpA//phnP//hyfB//lldD//dsdC//ybiT//hycD//tdcG//trpE//tolC//flhD//nhaA//ispE//fadL//xylF//cusC//araH//oppA//iscA//
LsrR	purE//caiA//paaI//argT//fur//nrdG//yqjA//uxaC//tauC//
MalT-ADP-Maltotriose	malX//carB//dnaN//mhpC//rrsA//csgF//nirD//sbmA//hycD//osmC//
MalT-Maltotriose-ATP	epd//frdA//rpsO//chbB//lacA//garR//hemL//xapA//gnd//mntS//
MelR-Melibiose	pheS//rplP//garL//
MetJ-S-adenosylmethionine	lsrK//allD//idnK//argF//rrlG//entC//mglC//lldD//nanE//fes//glgB//flhC//hypB//chbF//idnD//
MetR-L-homocysteine	sgbE//narQ//cynS//ilvX//ptsG//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]	araD//caiF//guaA//tehA//ydhX//metN//
MhpR-3HPP	yegH//exuT//phoB//bioD//uidB//nikB//
MntR-Cd2+	yccA//aroA//lrp//csgC//gabT//
ModE-MoO42-	fiu//nrdG//lacZ//rhaS//tyrP//rplD//citF//lacY//sdhB//sohB//yibN//metY//bglB//phnF//fucO//gyrA//dmsA//fimI//psiE//hpt//gspO//mscM//ssuC//napC//cysG//glpT//caiD//pflB//gspJ//creB//gatY//rplB//mpl//cheA//cas2//purH//fecE//dcuS//ccmC//hemA//xylA//nagA//csgC//casA//rpsJ//ynfK//
NarL-Phosphorylated	artM//alaV//cyoE//nrfA//yegR//glcE//ppiD//moeA//creC//rdoA//fecD//sufA//ebgA//ampD//rybA//fdnI//fucK//iscR//yrbL//rbsR//speC//hlyE//hyfJ//ccmA//tsgA//rrlG//metF//marR//gutM//thrS//ccmG//cysN//hupB//oppD//malT//trpL//rrfH//cysA//cysI//cysM//ssuB//sdhD//fes//chbR//pyrD//fucK//ilvI//argA//yeaR//norW//gatC//ada//ptsH//glnB//nrfD//ycjF//alaU//rplB//trg//tdcA//ogt//entH//oppF//fliA//argO//agaW//napB//hycD//paaI//nagE//udp//ccmH//nrdD//malZ//phnO//rimM//ackA//azuC//aaeR//erpA//ftnA//ycjX//ahpF//sufC//mhpE//thrS//appB//ompW//glgS//cusS//ydhV//treR//gspF//yjjZ//znuB//rrsE//hypD//rseC//metQ//nrfC//infC//folE//ilvD//dppD//phoE//purF//fecE//pgpC//acrB//flhC//casB//pyrD//ssuE//pepT//phoQ//gltB//rpsS//cysJ//astA//hyfG//rplC//lldD//xylH//galM//fadI//
NarP-Phosphorylated	nirD//crp//dppA//hybD//sbmC//gntU//sucD//allE//paaZ//rrfB//psiE//csiE//tfaQ//tsgA//hybE//thrV//qseC//phnE_1//yqjA//glgP//envZ//zraS//malF//fimF//yiaM//glnD//rpsI//pstC//ybfN//rhaA//cheA//srlD//glpG//yeiB//narK//yfaE//ykgM//amn//idnT//acrA//bioA//galT//sufC//rbfA//ogt//ryhB//cynX//rhaT//yfeW//marA//
NhaR-Na+	dusB//rbsB//araF//galE//rrsH//rrfA//cvpA//
NikR-Cd2+	ampD//miaA//feoC//marB//nuoL//csgA//
NikR-Co2+	borD//ccmF//malK//mtlA//hisJ//ssrS//
NikR-Cu2+	psd//fimE//phoA//fldA//hyfE//rrlB//
NikR-Ni2+	glcD//fadB//hypA//bacA//rutG//ssuC//
NikR-Zn2+	glpB//cstA//murQ//malP//dsdA//lhgO//
NrdR-ATP	ascF//pgpC//amiB//ndh//serA//gntU//rrsC//ydhY//livK//
NrdR-Zn2+	rutF//mhpB//ileT//citE//yhfA//lpxD//guaA//rrlC//ppiD//
NrdR-dATP	nanT//ugpC//purM//ydhX//mdtD//rhaR//ryhB//ydeO//rbsR//
NsrR-[2Fe-2S]reduced	pheM//araF//gadC//uvrA//pdeF//fabZ//fucU//cpdB//mdtB//alaU//nupC//dps//artP//rprA//tap//narJ//hofB//fixB//carA//nanT//marB//nikR//prpR//phnE_1//ilvD//grxD//yaeQ//phoB//cysM//paaE//ynfH//yiaO//hha//glpF//nikC//emrK//qseC//fepG//gspE//polA//moeB//dps//idnR//argB//ccmB//dppA//mutY//artP//ycjF//araB//hmp//tyrB//cydC//ulaB//fecD//cpxA//pgaD//cirA//tnaA//nrfC//manX//osmY//nuoF//fixA//araB//prfA//gspO//metK//cysA//rpoE//puuB//nuoF//pgaB//
PhoB-Phosphorylated	ilvB//hemL//hypE//rimP//ilvC//xapA//ilvM//hybG//mhpB//yqjA//paaK//cyoA//pagP//hypF//raiA//deoA//paaJ//phnJ//crp//upp//glpT//trpL//yebE//glcB//moaE//malT//tdcG//cysC//cpxA//ydhT//napF//fimD//ycjF//gspF//fis//fucO//fhuF//hlyE//nagC//ptsI//argC//sgbE//rnlB//hflD//aroA//ascF//glpK//tauD//pyrD//mdtD//nuoN//rrsH//dadX//fecB//fhlA//sbcD//aroG//ccmE//gpsA//trxA//fucK//
PhoP-Phosphorylated	hycH//alaA//ompA//sufD//codA//tnaB//purL//sgbU//tsx//phoH//xylF//pdhR//rutD//yegR//ileV//torR//rhaB//tpx//glpK//tdcB//focB//frdA//citC//mglB//rdoA//truB//crl//alaT//pepT//oppC//ilvL//yjcH//mutL//ilvG_2//rrsG//nanC//sucA//arfB//malI//pgaB//grpE//acrD//pdhR//exuT//gspF//aceE//mcaS//csiD//casA//torA//fixX//yaiW//ybiT//mhpE//sufE//galM//fhuD//
PrpR-2-methylcitrate	entS//cadA//glrR//ydhY//purB//
PurR-Guanine	kbl//glpF//nirC//paaK//cbl//ugpQ//dctA//fucI//infC//mgrR//uidC//ycjF//cas1//metH//ccmF//rplP//tap//acrF//rrsB//torC//yegH//hdeD//atoB//gabT//hha//rmf//caiF//gpmA//alaS//aroL//yiaJ//fbaA//aceA//waaH//
PurR-Hypoxanthine	ompF//fhuF//dgcZ//cheB//nrdB//rplI//entE//fadL//rpsF//fhuB//lysU//emrK//galE//tsx//emrK//mdh//srlB//nrdE//rrsD//trpR//hofN//mhpF//rstA//pitB//rplV//ccmC//flhC//azuC//hmp//fadH//ileT//fau//uxaC//uxaA//
QseB-Phosphorylated	rimP//aceF//fiu//ccmF//
RhaR-L-rhamnose	fabZ//sucB//
RhaS-L-rhamnose	mdtD//tdcB//atoB//cpxR//malE//paaD//
RstA-Phosphorylated	allE//ascB//hyfD//ydhX//prpR//fimI//napC//narX//nupC//lacI//
SoxR-[2Fe-2S]3+ oxydized	atoB//pgaD//bdcA//fhuC//
TorR-Phosphorylated	metA//purA//micF//glnG//rdoA//tolC//hisP//hypE//uxaA//mglC//
TrpR-Tryptophan	metB//nrdD//hybD//dppA//astA//yjcH//metL//abgB//yoaC//katG//fixX//ygaC//
TyrR-L-tryptophan	hyfD//pepT//zwf//folE//trpB//ydhX//argD//agaV//pstS//envZ//sufC//phoP//fecD//mhpD//
TyrR-Phenylalanine	paaH//agaA//araB//hpt//acrB//ccmA//evgA//araE//cusR//rrfB//feoA//hyfA//ynfK//fixA//
TyrR-Tyrosine	dppC//glnK//fixA//zwf//fecR//lsrR//uxuB//yiaJ//yjeV//ilvI//phnN//flhC//lysC//glpG//
UhpA-Phosphorylated	envY//
XapR-xanthosine	lacZ//purD//
XylR-Xylose	yqjA//galP//cheB//pitB//thrS//grxC//
ZntR-Cd2+	xylG//
ZntR-Hg	galS//
ZntR-Zn2+	ulaC//
ZraR-Phosphorylated	marR//puuD//hofM//
Zur-Zn2+	crl//dsbA//tdcD//fadD//allE//lsrG//
