#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	phoU//exuT//metI//glpK//
CysB-O-acetyl-L-serine	tyrB//ssuC//ydhU//yegH//gspF//appA//glcB//ytfE//yeaE//bglB//fhuD//rrlC//ispE//fdnG//ppdD//nrdH//tonB//yeaE//ugpA//galT//xdhB//ugpB//hflD//aer//argA//tcyJ//nuoK//ugpE//creB//argA//aroF//
DcuR-Phosphorylated	xylF//dsbA//mtlR//appY//bglB//betA//acrE//fur//modA//
DnaA-ATP	thrV//glcE//yfeW//gltT//sucA//hycG//ldtB//phnJ//ydhW//metY//secB//hyaD//
DpiA-Pasp	cysA//uxaC//aceE//chbC//tehB//infB//nhaR//feoB//citD//nrdB//lsrD//
DsdC-D-serine	glnD//araF//rpsP//
EvgA-Phosphorylated	osmC//rutB//hmp//nirB//sbmC//abgA//bioD//paaC//rplI//oppB//nuoM//bcsB//fliZ//gntK//betI//
FNR-[4Fe-4S]2+ reduced	caiT//avtA//pta//rplT//mntH//moaA//hybD//malY//metN//hmp//gutM//bglB//frdC//artM//astA//tomB//phnD//oppA//mdtC//dadX//melB//bioF//casE//cyaA//livK//aaeA//grpE//phnE_1//gadC//oppC//gadC//aceA//ung//alaV//cheY//ydhW//ccmE//gabT//bglB//yoaG//aroF//pstC//nanE//acnA//agaW//lysP//alaV//ileU//rhaT//fhuA//gadB//fecA//rbsD//caiD//acnA//modB//katE//yiaJ//tdcA//yiaO//nrdH//malY//torR//rpoE//torD//acrF//ybjG//nrdD//puuD//norR//yhcH//yccA//galP//dmsC//torR//gyrA//puuA//yoaG//lysU//fecA//sgbU//phnL//caiF//mscM//lldR//sufE//pncB//argC//rbsA//gspI//gltA//ilvA//rplW//uvrA//rprA//mepH//astC//secB//fis//nrdI//ychH//yfbR//ugpQ//fabZ//cysW//ilvB//narK//phnJ//uvrA//malK//sufD//alkA//yeaR//ydfH//fadE//rpsJ//tyrR//pitA//fadA//hyfB//creA//qseB//aroL//speB//ygbA//cirA//rpmC//yegZ//mlc//amtB//rrfE//uxaB//folA//nrfA//rutF//glnA//caiC//sdhD//lysO//metC//alaS//pheS//argE//tdcD//hyfA//gspJ//hemL//mtlA//araB//dkgB//mgtA//dkgB//sufC//pheS//slyB//hyfJ//ppdD//moaC//napC//serA//cysU//narL//srlD//yiaL//glpG//tdcB//upp//rrsD//katE//lacA//glgA//frdD//srlR//sgbH//bglG//hyfG//nanA//phnM//gltT//hofN//cadB//ppiD//sbmA//rimP//yegH//znuA//glgC//nhaR//napD//hofP//azuC//mntS//map//cvpA//fecC//pheM//oppA//moaC//caiT//edd//napD//gntP//dsdA//ydhT//pflB//aspC//purC//cyoD//narK//ydeJ//cysW//glnB//ptsG//mhpT//gntR//nagB//oxyR//hybD//citG//speB//nlpD//norW//prmC//phoA//rbfA//yfdE//sgbU//mdtC//rhaS//gdhA//glgP//yggX//bamE//gltD//napC//iclR//ugpB//narK//nuoC//gspH//nikB//fepG//norR//ompR//astC//tyrB//gapA//hpt//ccmB//rplV//mntH//ubiA//ybfN//hyfI//tktB//araH//aaeX//deoC//pdeF//bacA//acs//phoA//cueO//ilvL//norR//gltW//thrV//csgB//livG//pta//iscA//fnr//cynS//zraR//trpL//caiB//yedX//xapA//yfdV//uxuR//cysG//dctA//aroH//galT//prpC//guaA//araA//livM//xylG//dsbA//yqjA//manY//ssuE//cas2//yjcH//hpt//rnpB//cysI//abgT//fliA//speB//preT//yfeW//narJ//yeiB//
FhlA-Formate	nrfD//hypD//napF//fucU//yciW//sodA//fucA//hpt//ilvI//ispE//ahpC//ebgC//hyfJ//fecB//rnpB//cheA//lysA//aidB//ulaE//mhpT//frdB//hflX//malK//phnC//glcG//entA//abgB//fldA//zraP//lacY//
FucR-L-fuculose-1-phosphate	ndh//yeiP//rcnB//frdC//katE//lpxB//ugpE//
Fur-Fe2+	cytR//kbl//yrbL//argD//xylA//sufA//hyfD//xylB//hyfE//malM//ulaF//phnE_2//napA//ilvB//mlc//gcvT//nikD//sufB//cyoB//nanA//lysO//fadJ//mglA//ydiU//lamB//yfdX//rrsB//nuoA//betB//gntK//acrB//oppA//hdeB//fdnI//mltC//fepE//ppiA//narK//gadB//rrsB//rplI//katG//sufC//chbA//hyfI//motA//trpL//yeaD//gspJ//hyfH//gabD//phnF//borD//gnd//metE//glnA//ssuD//rhaS//tnaB//hyfC//znuA//fimF//bamE//hslJ//chbB//map//carA//fau//nanE//nrfA//fimH//bglB//uxuA//xdhC//fadI//modB//gntP//nuoB//glcA//argC//efeU_2//atoE//ulaA//metF//pta//rbsA//csgE//galP//nusA//ackA//rcnB//gabD//allE//rrsE//feoC//csiE//lysU//tdcF//yqjI//astD//dmsB//livM//ompW//mgrB//rrsB//hofC//xylB//ompR//lacA//araF//rpsI//aer//mlc//ilvD//fumC//dmsB//nuoC//phoU//rrfH//ileT//hycH//lpxA//rplM//galK//bdcA//tnaB//fes//exbD//truB//ydfH//ydfN//sbcC//bioA//dppD//kbl//moaA//narQ//carB//entD//cyaA//
Fur-Mn2+	nadC//eda//preT//chbG//rprA//rhaB//fadJ//yfaE//uhpT//lldR//prfA//miaA//gcvH//pstB//rrfA//fadA//sbcD//nlpD//murP//ugpQ//hflC//ahpF//pgaA//gspC//gcvT//purA//ccmH//fbaA//yeaR//iscA//ynfG//cydC//phoH//araG//rseA//dcuA//alkB//oppF//chbF//chbG//prpE//fhuD//yeaE//yiaN//yeaD//rplV//caiT//nanT//rbsA//allD//lysO//ilvY//yegH//pheT//uxuB//leuE//rplI//fepB//gpmA//gspL//yidQ//sbmA//malI//moeA//nrdI//ygbA//cysJ//ygeH//aceA//gspJ//modC//codA//rrsE//truB//nuoG//adhE//gntK//agp//dmsD//ascF//rpsP//nikR//argC//tonB//truB//sgbU//puuA//grpE//nanK//alaV//iraM//ackA//paaA//lsrD//phnJ//serC//mzrA//glpD//modC//yfdE//casE//xapB//hisP//ubiX//feoC//yhjC//znuC//mdh//rstB//ssuA//melR//exuT//casA//hha//baeS//entA//yhjA//hyfH//nrdH//gutQ//aroH//alaT//malY//hemL//prpC//grpE//mgtL//ompR//fimE//exbB//grxC//fepG//puuP//manY//prpD//hybG//ahpF//nrfE//prpD//tdcF//
GlcC-Acetate	purH//abgB//lyxK//ccmB//pheS//paaJ//yccA//
GlcC-Glycolate	aldB//malX//chbF//metN//ompT//ybjG//rbfA//
GlrR-Pasp56	nikA//
IclR-pyruvate	hpt//yjeF//fixX//modB//
IdnR-5-ketogluconate	rrlA//ychH//glpQ//nagE//trpR//xdhA//ygeA//marB//
IdnR-Idonate	cusR//malY//fepD//crl//metH//srlA//ynfE//trg//
IlvY-2-acetolactate	carA//yciW//
IlvY-Alfa-acetohydroxybutirate	znuB//citC//
IscR-[2Fe-2S]1+	astE//purL//gatB//aroG//fepA//ilvG_2//map//yfeW//yiaJ//ygeA//rybA//mglB//metC//hyaE//phoQ//micF//hycE//dpiB//cyoB//yiaO//hyaB//phnI//spf//trpE//crp//cyoC//tdcC//fepG//dcuR//nikE//modC//garR//nrdB//ihfA//ahpC//caiD//hybA//creC//uxaC//yjiY//acrA//
LldR-L-lactate	nrfD//tyrA//yoaC//
Lrp-Leucine	fdnH//gatD//paaA//hybF//purK//fucO//gyrA//glcD//csgE//edd//caiD//rpmI//tauA//ilvI//glcD//feoA//ulaF//avtA//envZ//cysN//ptsG//fadD//nusA//astA//livH//pncB//pheM//adiC//torC//nagB//hycE//gdhA//srlB//malT//sdhA//cyoE//narK//fadH//hdeA//phnC//purD//tdcA//cusB//moaA//yaeQ//hofN//rrfG//betA//aer//uxuA//ilvG_1//rhaT//argE//torA//narH//dmsA//uxuB//cadC//leuE//aroG//hyfC//rhaD//tnaB//ompT//fdnI//sodB//rpoH//malZ//cas1//nrfF//mgtA//acrD//ndh//frdD//phnE_1//cysD//yqjA//ilvG_1//gatD//lamB//cusS//chbA//tsr//cyoD//rstB//rpsF//feaB//hycC//qseB//cydA//gltD//rrfD//prpR//oppC//chbC//sbcD//cheZ//upp//fixC//uhpT//hybA//acrD//cspE//yecR//fecC//phnK//
LsrR	ynfK//astE//aroP//mntP//chbB//eda//rnlA//sdhC//cyoD//
MalT-ADP-Maltotriose	hypB//aer//dsdX//hyfJ//atoA//xapA//yegR//cysH//dkgB//artQ//
MalT-Maltotriose-ATP	nhaR//xdhB//yciW//ycdZ//ccmD//fucP//mhpC//ygiB//csiE//srlE//
MelR-Melibiose	fadE//phnM//malY//
MetJ-S-adenosylmethionine	nmpC//preT//mlc//cyoE//sgbH//hisM//gspF//sufE//trpL//pyrD//xdhC//amtB//oppB//ssuD//ppdD//
MetR-L-homocysteine	purB//ompC//aldB//rutE//pck//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]	nikR//truB//fucI//yfbR//mlc//ynfH//
MhpR-3HPP	ilvH//alkA//narH//ompT//fimC//entA//
MntR-Cd2+	appY//cspE//agaV//cas2//ysgA//
ModE-MoO42-	arcZ//yciW//gapA//cpdB//gspF//rutG//yhjC//gpsA//entS//sdhB//ydeP//uxuB//yebE//fimF//aroP//icd//modC//galE//preT//speB//creB//nuoI//gatD//gntX//malE//ykgR//ulaD//fadA//citF//galT//astE//sdhB//oxyR//manX//gcd//norR//rrsD//udp//adhE//ilvM//mlc//uraA//modB//agaV//livM//raiA//
NarL-Phosphorylated	moeB//ispE//speB//srlB//nikD//nuoH//hyfG//xylG//paaE//fadA//livH//uof//cas1//argE//gnd//amiB//yciW//exuT//napA//aroA//araC//gpsA//rhaA//csiE//tar//trmD//galE//murQ//mhpT//pgk//dsbA//rseC//hybB//purF//rrsA//cheW//atoA//bacA//hmp//speB//nfuA//feoC//sucD//tdcC//ubiA//ygbA//astC//nagC//cusS//uvrA//purR//rplV//malS//grcA//yfiP//garK//entS//argI//puuE//bglG//ulaE//sufS//rmf//gltD//grxD//stpA//fepA//ppiD//srlB//casC//fiu//mglA//puuE//yhfA//hyaF//citF//nlpD//mglA//puuE//yhjA//caiC//soxR//xapA//map//purM//cysK//rdoA//citX//csiD//alaU//ilvL//azuC//avtA//cyaR//ompW//caiC//fis//tnaA//bhsA//znuB//uidA//phnD//frdC//hofP//metB//deoD//hyaA//hdeB//cirA//rplT//glcB//udp//idnD//pstS//alkA//tnaB//baeS//dcuB//tfaQ//ileU//rseB//crr//tauD//rutD//gltT//
NarP-Phosphorylated	rrsB//prpR//livG//srlB//aldB//yeiW//ccmD//tsr//ccmC//fixA//malQ//pdeF//galM//cyaR//hybB//rplW//ihfA//tyrR//hyaC//hyaA//malM//lsrC//lysC//hflK//tfaQ//puuA//ytfE//chbG//gspG//gspF//iscS//alkB//ompT//yegZ//katE//rrsA//ynfE//cadC//puuE//lysP//fucA//ybdN//mglB//moaD//rnpB//malF//cstA//deoA//fecC//tcyJ//
NhaR-Na+	nagC//entS//rrsA//prpR//yjiY//dcuC//baeR//
NikR-Cd2+	iscS//glnL//ygaC//lpxD//cadA//gpsA//
NikR-Co2+	cbl//ygeA//lacA//putP//gatC//entC//
NikR-Cu2+	eda//tar//pdeF//ompF//gatC//livH//
NikR-Ni2+	ompF//cysM//feaB//puuD//glcB//upp//
NikR-Zn2+	acrD//sufE//hydN//ileT//lldP//rpsP//
NrdR-ATP	lacY//csgF//argO//tdcD//hlyE//livH//infC//cynX//idnR//
NrdR-Zn2+	hypD//ykgO//psiE//ileT//pstA//galT//mntH//csiD//prfA//
NrdR-dATP	metI//gltB//treB//hyaC//lsrD//tdh//ftnA//hyfG//appX//
NsrR-[2Fe-2S]reduced	allC//fis//spy//qseC//nanT//rrsD//ccmB//gatZ//nanK//focB//argO//motA//xapB//cusA//mdtC//dusB//hybF//glnA//rybB//argE//rplS//fixC//rprA//sucC//hybO//tpx//cas1//puuB//casA//rrsB//mgtL//phnP//dcuS//fhuD//psiE//dmsD//marR//uidA//dadA//hofC//dnaE//rbsC//aroA//yoaG//grxC//puuC//yeiW//pflB//ogt//mhpT//nadC//livM//fimE//artJ//lsrC//dusB//sbcD//hycF//prpD//malM//dcuA//pstA//fadB//ydeN//narG//puuP//yggX//xapA//cadC//rpsS//agp//kbl//dgcZ//
PhoB-Phosphorylated	argF//rnlA//fumB//aceA//aceF//phoQ//ydhW//nuoC//lysP//rhaA//leuE//ugpC//ampD//ebgA//map//yiaM//garK//gspD//nanK//rpoS//sdhC//pgk//ascB//gltB//amtB//rbsK//bioD//yrbL//fdnI//argG//purB//nrdA//prpC//sufS//degP//sdhA//citX//paaA//hycE//ydhW//malZ//rutC//yqaE//yfdV//lyxK//eda//rutA//cynX//glgP//ybiT//hyaF//ihfA//chbB//norR//zntA//ilvM//agaA//dpiA//metN//nanS//idnO//
PhoP-Phosphorylated	hycF//rrlG//tap//hupA//hflX//aaeA//pstC//fucU//murQ//nrfA//betT//avtA//fucU//caiD//prfA//astB//nuoN//pta//narJ//psiF//hcr//phnH//fadJ//fimC//paaC//galE//ykgR//glnB//yeiB//lldD//csgA//yiaN//feoC//mcaS//flhC//dsbA//paaG//yrbL//rpoH//dppD//xdhC//gadC//glcB//glnG//rplM//ynfE//osmY//sufE//gcvP//purR//casD//gltD//ileV//micF//rplP//malM//cysN//
PrpR-2-methylcitrate	ompT//mdtC//ulaD//phnC//gltW//
PurR-Guanine	yeaR//ydhV//livH//galK//deoB//fucP//nanE//tauB//livF//lpxB//mltC//malG//puuB//appC//nanC//ydfH//nac//argT//rrsB//sbmA//paaA//gltT//tsx//adiC//gntR//dcuA//garK//tauC//frc//gadB//rplI//epd//lacI//yfdV//
PurR-Hypoxanthine	phoB//phnC//oppF//yfdV//idnO//modB//mlc//hlyE//hisP//cysJ//gcvP//astB//rrfF//rplP//acrE//uxuA//gadB//alaT//xylH//pgaD//phnK//cra//mipA//grcA//bglG//rpmI//bhsA//pdhR//stpA//safA//ansB//cyoD//rplW//ampD//
QseB-Phosphorylated	hyaB//mpl//hofN//dcuR//
RhaR-L-rhamnose	phnI//modA//
RhaS-L-rhamnose	dadX//uxuB//livG//stpA//srlB//xylR//
RstA-Phosphorylated	metL//crr//fepC//galP//lysU//dpiA//napA//ulaB//fepB//feoC//
SoxR-[2Fe-2S]3+ oxydized	rpsI//rplD//cysH//tsx//
TorR-Phosphorylated	yqjA//argB//dmsC//torA//fiu//yqaE//gadC//argO//ftnB//xylR//
TrpR-Tryptophan	argG//glrR//degP//fepC//chbR//rutF//fldA//ppiA//ydhT//hybG//cysM//nrfD//
TyrR-L-tryptophan	hyaC//rhaA//cheB//mdtA//nikR//fur//aldB//yhcH//rhaS//yfdX//aroL//sufB//hfq//cydB//
TyrR-Phenylalanine	ykgM//rhaD//hyaC//rrlG//fadL//rhaB//lpxA//aroL//hcr//qseC//hflK//iscS//rrlE//gntP//
TyrR-Tyrosine	speA//tonB//gntR//gatZ//raiA//fadI//bioD//rhaS//gltB//dapB//manZ//marB//iscA//nuoF//
UhpA-Phosphorylated	ycdZ//
XapR-xanthosine	tap//ycjX//
XylR-Xylose	ccmC//fimF//srlB//rplV//purK//fnrS//
ZntR-Cd2+	cysU//
ZntR-Hg	citF//
ZntR-Zn2+	rrlB//
ZraR-Phosphorylated	melB//flhC//ahpF//
Zur-Zn2+	cysB//ogt//thrV//hybO//fabZ//argT//
