#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	pheT//deoA//cyoE//glgC//
ChbR-Monoacetylchitobiose-6P	ilvB//hyaE//bioA//ydeA//gnd//rpsP//
CpxR-Phosphorylated	paaH//fadI//treB//pgaA//mhpD//narI//hflD//malT//nanT//azuC//rutA//tauD//fbaA//livH//dppB//cydB//glpE//cpxA//garP//sxy//fur//caiB//lrp//puuD//malS//bacA//hyfD//cysH//cspD//napB//treR//metL//entC//paaD//feoB//fecI//ydhU//glgC//argR//gspI//mglC//ilvG_2//aroP//dps//aaeX//araA//rrlA//cysG//sbmC//sbcD//ycjX//yhcH//map//crl//hycD//actP//fixX//lsrA//hybG//nanC//moeB//gltW//ycdZ//dadA//narG//pstB//glcA//mdtA//paaK//
CreB-Phosphorylated	cusF//rstA//purA//nanM//yrbL//tdcC//mlc//hybD//fhuA//
CueR-Ag	hisQ//nanM//fhuC//fecB//avtA//trpD//dcuR//
CueR-Cu+	phnD//sbmA//marB//ptsG//lysC//hofO//aroF//
CuerR-Au	motA//fis//hyfH//nadC//fimG//katE//paaH//
CusR-Pasp	hyfI//ompX//lldD//lysO//gltV//dps//ssb//ssrS//ompA//xylB//yfeW//ybjG//
CynR-Cyanate	micF//bioB//fiu//dmsB//
CysB-N-acetyl-L-serine	metQ//baeS//yecR//ydfH//napB//xdhA//abgB//fucR//paaB//garK//entD//agaW//glgB//rhaT//xdhA//ilvA//aroL//zraS//torD//livG//dnaN//fbaA//preT//pagP//dnaN//fnrS//aceA//artM//ygbA//yedX//
CysB-O-acetyl-L-serine	tap//rutB//tpx//ilvN//hflD//gcvH//cysB//csgC//actP//nlpD//arcA//sucD//xdhC//astD//oppB//bcsA//livJ//torC//uxaC//mscM//dusB//atoB//narL//cpxA//hyfD//galP//ileT//yeaE//tomB//hybF//ubiX//
DcuR-Phosphorylated	mhpA//tomB//ryhB//nrdE//fucR//gltW//gspE//casA//nirD//
DnaA-ATP	hyfF//rpsQ//nlpD//aidB//nikB//ybfN//araC//glcA//paaZ//aspA//cueO//fimI//
DpiA-Pasp	livH//micF//abgT//ssuE//mutL//fliZ//astE//yhjC//appA//tnaC//cusF//
DsdC-D-serine	fepC//emrK//cyoB//
EvgA-Phosphorylated	micF//paaK//eda//chiP//acrA//pstS//hofB//dppC//yfdX//casA//nirC//umpH//xylF//hflX//uhpA//
FNR-[4Fe-4S]2+ reduced	metA//ykgR//fimH//polA//ssrS//znuC//araE//yegH//prpE//prpD//casB//ulaF//glpD//ppiD//mhpD//purD//mdtB//gutQ//yjcH//glpC//hyaE//cheB//mgtL//tdcG//pgpC//rpsP//ihfA//xylB//map//nrdB//oxc//aceF//glpG//ycjX//yiaL//cstA//betA//guaA//ssuA//arfB//aaeB//mzrA//manY//aaeB//mgrB//fucI//purD//mglA//gatZ//ugpE//torR//rutD//ompT//recF//glcD//sohB//gatC//mgtA//gutQ//lsrG//aroH//atoD//ugpB//aaeR//yfiP//rpoH//cirA//glnD//paaK//ssuE//hofO//prpE//folA//rrfB//pflB//uxaC//flhD//hisQ//sucD//amiB//ilvY//melR//exbD//mhpD//caiD//ydfH//pstB//uidC//casD//lsrF//cvpA//uvrA//agp//psiF//dnaA//glcF//gcvH//dsdC//spy//kbl//xdhC//purD//fucK//lysU//yiaK//ydeO//mltC//glgP//creD//gatA//hybO//betB//phoP//infB//prpE//grpE//psd//ebgA//fnrS//nac//alkB//nikB//gapA//cysB//araJ//rybB//ubiG//gabD//yecR//sdaA//lldR//fliA//mtlR//glpT//dcuS//ascB//yjcH//ygeH//creB//fucP//hyfG//rdoA//puuD//paaZ//rybB//uvrA//rbsA//hcp//udp//narQ//frdD//hofC//hdeB//gcd//deoB//nanE//tehB//nanK//phnO//galM//glcB//cyoD//hofP//tam//hupB//yfbR//rhaD//yeiB//idnO//bioA//rplW//dsdA//lysU//nuoN//hybE//betI//emrK//gspC//copA//zinT//hycI//pgaC//uxuR//fepE//dcuA//pta//gyrA//yegH//xylF//amtB//phnG//alaU//phoA//narK//metF//cynR//acs//hpt//alaU//nadC//agaA//malK//ompX//nuoK//uxuA//argF//pgaC//ilvL//acrA//rpsC//cydA//gatY//pnp//hycI//puuB//iscR//nikC//puuB//fes//ebgC//tsaE//rbsK//cynX//nrdA//dmsB//ysgA//nanK//csgG//mhpE//edd//ompF//glpG//fecC//rcnA//araE//fepG//casE//uof//yaeQ//galE//znuA//rpsS//yojI//eda//glnG//csgG//ydeJ//gspJ//edd//gabD//ada//amn//tdcD//ynfF//nikB//ilvE//uhpT//xapB//gltU//sdaA//cysG//aidB//ychO//purN//alaV//xylR//yeaD//cysJ//mdtC//rpoS//pstB//ulaA//upp//araE//metB//asr//idnO//trpA//puuP//miaA//nikB//galM//glpT//gspM//iscS//nrdD//moeB//yeaR//gspD//tsr//narG//pitB//tsaE//acrB//hyaF//manY//rhaA//rpsO//ssuC//hofO//ilvX//torC//fdnH//paaA//glpQ//
FhlA-Formate	yfbR//osmY//manY//citX//rprA//uidB//rrlH//edd//copA//uhpC//ynfF//puuE//fimA//tap//cydD//dnaN//hypA//phnL//grpE//ada//mglC//gspO//nrdH//sdhB//srlA//fucK//dapD//glpK//ssb//mntH//
FucR-L-fuculose-1-phosphate	gntP//azuC//rof//frdB//gadB//csgC//yhhY//
Fur-Fe2+	hslJ//rrfA//mtr//lsrF//lpxB//narL//mglB//ynfH//citC//iraM//nuoK//hcp//sgbE//narI//uidB//nanA//rrsD//cpxA//cusR//gnd//nusA//ydfN//ydbD//cheR//moaA//malT//xylB//fepE//pgpC//gyrA//idnT//gpsA//aceK//cysI//ompW//fadH//dpiA//rutD//gspM//srlB//infB//phnK//lolB//ulaB//yoaC//tauD//ccmE//caiD//tdcD//narK//cusA//carB//mepH//paaI//ynfK//tyrP//lsrB//hflX//mgrB//yibN//hycC//purN//dppD//asr//paaZ//nuoJ//truB//dcuB//fucU//dsdC//thrS//gntT//rof//kbaZ//purF//glyA//trg//ilvH//sdaA//ygbA//nrfE//rplI//bioA//bdcA//dnaA//envZ//aidB//malG//rpmI//ulaE//ygeA//glcA//ompW//fnr//ndh//yfeW//sgbU//hyaE//yfeW//dmsA//yhhY//codA//chbF//purD//cusA//waaH//casC//yeaE//melR//envZ//amtB//entB//glpF//infB//metN//malM//gspF//yqjI//srlA//mdtB//mhpR//metK//hflD//rrfA//uidB//glcE//uidC//araH//hcr//rrsB//hypD//tdh//exbD//bcsB//gdhA//pgk//yhfA//nikR//ygeH//purK//
Fur-Mn2+	ynfF//cynR//rbsK//metJ//baeR//yhhY//purN//ubiA//pstC//nhaR//stpA//ygeA//prpD//lpxA//ssuE//ydeP//dppB//trmD//creA//fecD//csiE//yidQ//gltU//rseC//fecB//ptsI//phnE_1//rplD//hisJ//tauB//napF//mntP//ygbA//yciW//cpxR//paaD//prpB//rpsI//ybiT//gatA//fecB//tcyJ//fimH//nuoM//sdhA//gltA//gntT//csgF//hyfI//ydfH//hofB//purC//rrfF//ccmD//ilvG_1//ydeN//nrfB//alaT//gntT//glpE//cas1//garR//nuoH//gapA//cdd//rrsB//mdtC//fimD//fixB//nlpD//tehB//artM//purE//nuoL//hflK//rpmC//manZ//tehB//ybdZ//acrD//ileU//phnE_2//caiA//frdD//ileV//rrlB//hybA//alaT//gspO//nohA//mgrB//cpdB//motA//ulaC//glpR//sxy//ilvY//trpE//rplD//yfdX//speB//gdhA//arcZ//glpC//ssuA//hybD//purA//pagP//csgF//glcE//pgaB//yfeW//yjjZ//livF//cysD//hycH//rhaS//yiaJ//ompT//yggX//uidB//livH//aroF//ygeA//ynfE//ompR//hofO//rrfF//phoB//comR//eda//tpx//ldtB//paaH//flhC//mhpE//rof//treB//dcuC//flhC//
GlcC-Acetate	ilvN//malT//trpL//oppF//alaV//rplB//metI//
GlcC-Glycolate	appB//rrfB//dctA//csgD//baeS//ydbD//lsrD//
GlrR-Pasp56	waaH//
IclR-pyruvate	napH//cusC//bcsC//rplP//
IdnR-5-ketogluconate	copA//glpC//oppF//uof//ompT//yhfA//caiT//phnK//
IdnR-Idonate	cbl//aaeA//rrsE//nuoG//rrfC//yoaG//lysO//phoB//
IlvY-2-acetolactate	rpsC//cadB//
IlvY-Alfa-acetohydroxybutirate	sdhC//idnO//
IscR-[2Fe-2S]1+	glgC//ppiD//phnI//srlR//ynfH//ynfK//hflX//glcG//ubiA//fur//rplM//citX//glnB//caiD//preA//yjjZ//appB//lsrK//phnJ//garL//fdnH//argC//cyoC//moaB//fecD//lhgO//ccmF//hofO//hyfC//puuR//narK//alkB//uraA//ppiD//casA//cpxR//fixB//nikE//rdoA//argP//glnB//
LldR-L-lactate	sufE//trpE//ppiD//
Lrp-Leucine	xapB//pgaC//lpxD//hycH//dpiB//nanM//puuE//purK//napH//dsdA//gspD//cusS//cadC//cysB//agaW//rrsG//bioF//bamA//amtB//gntU//yfdV//cvpA//copA//secB//nuoC//nuoC//hybE//paaK//xylG//feaR//yiaM//hycG//puuE//rhaT//fhuF//rrfD//soxR//fur//tyrA//crl//ldtB//fucI//narX//purN//ompA//dsdX//znuB//glpK//cvpA//rplW//dppF//pheS//ilvI//ydeM//hycD//fixC//lsrB//cyaA//pgaB//mdtC//fbaA//pagP//rrsH//yjcH//uraA//amtB//lyxK//tdcF//hyfA//pgaC//rnpB//ppiA//leuE//rnlA//yjiY//sdhB//casD//oppD//gatC//cusS//ldtB//evgA//sufD//folA//ybdN//cra//phoE//rdoA//ivbL//ubiA//napC//talA//glpB//puuP//pgaA//narK//aaeR//nrfG//srlD//appA//ssuA//artM//rplS//ybfN//hybG//mdtB//
LsrR	fnr//paaJ//phnI//gspJ//rbsA//phnF//uidC//cyoB//sdhC//
MalT-ADP-Maltotriose	hdeB//rrsC//tauA//zinT//fepA//pstB//hofO//puuD//ygbA//phoR//
MalT-Maltotriose-ATP	torA//creB//garP//fhuB//cysB//yaiW//borD//yaiW//yaeQ//soxS//
MelR-Melibiose	yjjZ//gntT//hybB//
MetJ-S-adenosylmethionine	yqjA//rpsS//aaeR//ppiA//caiT//sucC//mtlD//iraM//hybB//rybA//phnD//icd//casC//hflC//uxuA//
MetR-L-homocysteine	emrY//glpB//tyrP//csiD//hycE//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]	yaeQ//yaiW//ygaC//araH//ansB//tdcB//
MhpR-3HPP	ygbA//aaeX//efeU_2//gntR//artP//napD//
MntR-Cd2+	sucC//ssuD//ygbA//rhaB//mtlR//
ModE-MoO42-	slyB//frdD//phnP//ccmH//sufC//casC//cysK//nhaA//gcvP//livJ//lsrF//csgE//mglC//citD//dmsC//argE//hlyE//mhpB//pgaC//yeiB//cydA//ilvC//ppiA//rpsF//yojI//mhpC//modB//araH//nirD//gadC//ldtC//sufA//ilvL//ahpC//purE//fes//paaF//sohB//malI//patZ//fecR//nrfE//nuoA//rhaT//trpC//gcd//
NarL-Phosphorylated	yeaE//dkgB//fumC//nuoC//fimH//dcuC//gpmA//dnaA//argB//sbcC//fimI//treB//rplB//tap//nadC//ilvD//ygbA//comR//fimF//fnrS//paaD//cydB//entH//ompW//ygbA//malS//mhpB//tdcF//ydiU//rrfB//tonB//dsbA//argI//cynX//tar//glpX//alaA//tomB//slt//soxS//hybO//fimI//cheW//hycC//udp//ilvG_2//ccmD//gspJ//tsaE//argG//gntR//chbB//pflB//hcp//mgrB//fdhF//gspK//sdhD//ydfN//ilvY//grxC//tsaE//malT//dpiB//argC//glpT//appY//rybB//dnaE//srlD//sgbH//phoR//dcuA//avtA//yjjZ//nagC//cysM//phnH//purB//cusA//allD//hemA//nrfE//fucK//evgS//purL//rseA//fimG//hemL//trpA//caiF//edd//hyfG//tfaQ//frdD//dkgB//glpF//guaB//guaB//malT//sgbH//gspL//rseA//upp//idnR//entH//glpC//mdh//ulaD//exbB//dps//rseC//cas2//yeaR//guaA//tauA//melA//sufD//hdeB//zraR//soxS//fdnG//rrlD//ulaC//mpl//
NarP-Phosphorylated	ugpA//rplS//aaeA//entS//rrlA//torA//iscR//acnB//gspE//garK//ybiT//dnaA//fimE//dsdX//zraS//tdcD//ydbD//prpC//phnE_2//entB//moaA//hycG//fhuB//cyaA//ompC//rseB//hypB//caiE//purA//idnR//araC//artJ//lyxK//nrdB//cydA//glnD//metK//fucK//phoB//cas1//yciW//rbsK//ilvN//purF//lhgO//zraS//caiF//puuE//xylR//oppA//
NhaR-Na+	napB//chbG//ulaD//envY//putP//grpE//nupC//
NikR-Cd2+	oppC//araC//kbl//hyfD//lsrB//xapB//
NikR-Co2+	lacA//aspC//bioB//mhpC//grxC//moaC//
NikR-Cu2+	leuE//rstA//ilvE//entC//prpR//feaB//
NikR-Ni2+	yjiY//yecR//nuoI//deoD//rpsC//serC//
NikR-Zn2+	ompA//rutG//adiC//putP//ssuC//rrlC//
NrdR-ATP	garR//envY//cydB//moeA//moeA//agaV//pyrC//preA//hyfJ//
NrdR-Zn2+	mhpR//mdtB//moaA//yiaN//tauA//evgS//hflK//rrsG//spy//
NrdR-dATP	fumC//dapB//creA//cynR//ilvA//ulaA//rplC//alaA//araB//
NsrR-[2Fe-2S]reduced	ynfE//ispE//uidC//hyfI//rprA//melB//nirB//paaI//gspF//truB//yqjA//mdtA//zraP//rrlE//ugpA//metA//hpt//cas2//aroA//thrS//yaeP//gatC//casA//gspE//aceA//rrlD//dsdA//azuC//sohB//gltT//rrlG//narH//degP//lpxD//epd//prpC//fixA//glpB//moaC//phoP//creC//kbaZ//thrV//phnE_2//rpmC//dcuA//ilvX//yhjA//rimM//lysO//fdnG//ygeH//dppC//miaA//nfuA//fepB//narL//garK//envY//trpL//cusS//appC//glpA//ftnB//efeU_2//ilvY//ilvA//abgB//zntA//cydB//malZ//entE//phnD//
PhoB-Phosphorylated	hisJ//ycjX//sbcD//slyB//tolC//rutC//fimA//ulaB//cyoD//rpsC//yfaE//agaA//argC//ydeJ//puuR//purA//caiT//moaB//lysA//ldtB//ubiG//oppC//nuoN//araE//emrY//hybG//entF//yeiW//metJ//gntR//fimE//lldP//zntA//metA//nrdG//caiC//lsrG//garK//speC//serC//ybiT//dcuC//sucB//xylH//fadI//prpR//nuoI//focB//treC//nupC//xapA//rhaT//hyaF//galT//napH//puuP//rrlC//astC//moeB//hycH//fucR//
PhoP-Phosphorylated	cytR//gatA//katG//rpsR//hupB//argE//caiB//cysU//hybF//sgbH//argD//trpB//malT//puuA//focB//gspF//uhpC//rrsE//allC//pyrC//yiaL//mzrA//gspL//fdnI//narL//mgrR//tomB//ydeO//hypF//pitA//nagB//ulaF//yecR//paaB//alkB//yjeV//hflD//speA//aaeB//ygaC//rimM//argD//xylG//treR//nmpC//tdcG//lsrB//hybB//hypE//hdeD//agaA//qseB//rbsR//truB//tap//dcuR//hyfH//
PrpR-2-methylcitrate	ybiT//serC//hyaC//ulaF//ugpB//
PurR-Guanine	yidQ//araF//garP//purF//chbA//ygiB//alkB//gadB//dapD//nhaA//araF//gatB//phoP//ugpB//argE//tcyJ//csiD//metQ//ssuE//fixC//fecC//galS//dkgB//bcsA//yccA//gspK//astA//yfdE//nrfG//icd//ychH//lolB//citD//puuP//
PurR-Hypoxanthine	xdhC//sdaA//ilvC//nuoA//nagA//cysD//phnN//ygiA//dcuA//ydhY//lhgO//araA//fepA//ydeN//pgaD//gntX//idnK//appA//phnH//gntR//yaiW//ugpE//fimC//nanE//malX//hflX//yegR//iscR//narG//mtlR//hybG//waaH//lpxD//oppA//
QseB-Phosphorylated	napD//pdeF//cra//efeU_1//
RhaR-L-rhamnose	sbcC//nanS//
RhaS-L-rhamnose	uhpA//araA//fimG//uhpA//mhpA//ygiC//
RstA-Phosphorylated	dkgB//citD//metY//prfA//yeiL//metH//ydhX//hycI//cydC//rcnA//
SoxR-[2Fe-2S]3+ oxydized	ssuB//ilvB//malE//yhjC//
TorR-Phosphorylated	cyoA//alkB//gdhA//nrdB//mhpB//lpxA//sbcC//hycI//rutG//ompR//
TrpR-Tryptophan	trpC//serA//dgcZ//sxy//yeiP//fes//rrlA//yaiA//sodA//modC//glpR//gltA//
TyrR-L-tryptophan	hypE//rplT//narX//amn//rcnB//gcvP//patZ//betI//folA//acrD//ppdD//ulaC//secB//creD//
TyrR-Phenylalanine	ssuA//bioA//yiaL//rprA//deoC//gspG//mhpE//metA//tehA//argB//moaA//evgA//aspA//rrfA//
TyrR-Tyrosine	phoR//rrlE//ycjF//frc//cbl//sgbE//araB//csgC//dsbA//prpE//csiE//bioD//cheY//oppD//
UhpA-Phosphorylated	tsgA//
XapR-xanthosine	creB//mglC//
XylR-Xylose	modC//grpE//phnF//fdnI//ydeM//fes//
ZntR-Cd2+	modA//
ZntR-Hg	dnaE//
ZntR-Zn2+	atoD//
ZraR-Phosphorylated	rrlE//flhC//folE//
Zur-Zn2+	lysU//crr//guaB//fadD//tonB//infB//
