#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	uxuR//mdtB//nuoN//rbsR//
ChbR-Monoacetylchitobiose-6P	arcZ//nrdE//yfiP//ygaC//marA//rutA//
CpxR-Phosphorylated	galE//sufB//aidB//yoaC//cheY//map//mhpD//alaT//rseC//nrfE//hycH//nmpC//entS//appA//murP//tap//mtlR//malE//rimP//srlE//ydeA//hybG//deoA//waaH//paaD//trg//hdeB//fhuC//uxuR//atoB//entC//mhpC//hycI//arfB//nuoI//alaS//fadB//fhuE//nohA//araF//yeiW//sdhC//ilvI//cusB//murP//mhpB//argH//cysU//motA//sufA//gltB//envY//tauB//cueO//tdcC//znuA//yegH//nrfB//phoB//hycH//ycjX//csgG//phoQ//hofP//pflB//ung//hdeD//livK//idnO//
CreB-Phosphorylated	paaK//norW//glnD//cynT//mhpA//glyA//fdnH//fur//yfdX//
CueR-Ag	narI//zwf//fadB//uxaA//pgaD//dmsD//nrdG//
CueR-Cu+	mhpR//cysP//argR//ulaD//hyfA//ilvL//galE//
CuerR-Au	yecR//gspK//ydfH//nikC//fepE//fucK//yiaN//
CusR-Pasp	rbsC//aroL//araC//fepC//malI//fadD//glnG//hyfA//emrK//thrS//mtr//osmC//
CynR-Cyanate	fis//csgG//phnP//yfiP//
CysB-N-acetyl-L-serine	nuoK//asr//tpx//ccmB//torR//aer//emrY//eda//nirD//gcvH//glcE//sucD//entE//cysH//chbA//malY//rbsK//hisM//xdhB//cysJ//yiaN//garK//thrS//treB//treR//pgpC//yegR//oxc//gspI//rybA//
CysB-O-acetyl-L-serine	glcA//hyfA//napB//fixX//nrdH//raiA//rseB//hslJ//mgrR//rseC//ychH//gadB//glpE//bcsC//fdnG//ulaF//evgA//hyaB//rrfC//pgk//bcsZ//astA//cydA//gltB//copA//nanC//rpsF//aidB//atoA//nrfG//cusC//
DcuR-Phosphorylated	lacY//dppA//cysK//metL//hfq//acs//rimP//bioB//cyaR//
DnaA-ATP	evgS//phnK//hflK//yiaO//entD//csiE//astB//tktB//rplI//pstA//xdhB//ugpB//
DpiA-Pasp	livJ//hisP//priB//glpA//tomB//pyrC//livH//pheT//avtA//mglA//yiaK//
DsdC-D-serine	sgbE//fldA//ybfN//
EvgA-Phosphorylated	ssuB//galS//nuoB//mtlD//pta//grxC//nmpC//thrV//araA//cysU//metI//gapA//sohB//cynR//treB//
FNR-[4Fe-4S]2+ reduced	nirB//rrfD//ccmH//dadX//livH//fecB//gatZ//ulaF//hydN//ulaB//rplT//yjiY//bamE//hupA//gabD//narJ//azuC//fepC//cyaR//tdh//xylB//grcA//atoD//hybB//hfq//hdeB//lsrG//focA//rrsC//ileU//lpxD//yegH//manZ//hdeB//tam//yeiW//yrbL//asr//yjjZ//csgE//yfaE//malG//putP//ptsG//rrfB//manZ//dmsD//ubiX//nlpD//malX//exbD//sucC//putP//rpsJ//iraM//cyaR//ubiG//metY//metQ//hybG//xylG//yqjH//melR//raiA//napG//dusB//glgS//alaT//gatD//nanK//melB//degP//cysJ//puuD//bcsA//metB//glpG//metR//zraS//focA//tsgA//galM//pgk//ygiB//spf//uhpT//cpdB//bacA//fadE//ldtB//caiB//lhgO//tdcD//bioF//speA//malE//tap//fimF//degP//fimF//fadI//dsdA//dcuB//chbF//hybD//ssuA//cheW//glcG//ldtB//lpxD//rrlE//psd//ileU//cysP//guaA//betB//bamE//sxy//ileU//betB//gabP//livM//dppA//aceK//phoB//hyfD//ybiT//metE//gatC//map//fecA//osmY//ydiU//glpF//gcvP//sufA//lldR//pstB//sxy//chbA//galS//glmY//dppA//hflK//purA//ulaC//creC//astD//narX//fdnI//nuoF//cysI//mhpC//hybC//hypE//tehA//nikR//hyaF//nlpE//fnr//cyoA//dmsA//soxR//fimC//hyfC//mhpR//tdcE//bhsA//alkA//puuB//rbsR//bioA//nirC//hisM//glcA//hypF//gdhA//hofC//entA//ulaB//truB//nupG//lysA//bcsC//tonB//torC//ysgA//argA//appC//mntS//prpC//lsrF//bioD//fecA//paaF//fucA//feoA//norR//cydA//rplM//xapA//ybiT//mlc//rutB//ytfE//yeaR//upp//fixB//entE//agaV//fhuA//fadE//rpsR//hupA//tar//dkgB//lpxA//rpsQ//nrdA//fimC//acnB//rbsR//glpD//glgP//ugpB//idnD//sgbU//yebE//thrS//glnA//rybB//hflX//rbsK//yjcH//uidA//lolB//argG//trpD//narJ//sufD//yiaL//araF//tpx//ftnA//mutL//mgtA//csgB//puuE//hyfE//malF//aceF//rpsC//trpD//rplW//yfdE//fhuD//ysgA//ybiT//trpB//rnlB//fhuF//purN//priB//yegR//ilvI//waaH//dppC//tsgA//napD//fhuF//purL//nuoA//hflD//dnaE//gntR//carB//fhuC//ccmH//glcB//dcuD//ydeP//aidB//gltW//xylR//caiT//napH//rbfA//melR//rpmC//hofP//yjiY//fumC//narH//fbaA//citC//thrS//pheT//tnaB//hdeD//nuoA//pgaD//fepC//hflX//fimE//bioD//
FhlA-Formate	puuC//fimG//ccmH//idnK//fecB//phnP//yiaK//motB//ydhV//tyrP//ycjX//casE//rrlG//hha//ugpC//ydfH//caiT//bcsA//betB//ompA//aceE//paaB//rplW//gdhA//secB//tolC//xylH//paaB//cydD//fixX//
FucR-L-fuculose-1-phosphate	argD//erpA//idnD//yjeV//uidB//rof//acs//
Fur-Fe2+	tfaQ//nuoK//malZ//ssb//paaH//glrR//bcsA//rrfA//dppB//dppF//casA//fadA//cysU//cysM//pagP//zraR//exbD//argG//exbB//galM//fixX//aldB//dgcZ//hdeA//yiaO//gatC//gnd//argT//manY//cyoD//yhcH//tolC//sodA//glgP//rrsA//pstC//yciW//caiB//ynfK//hisQ//ugpB//crr//mglA//alaS//agaW//gspM//hycF//yneM//metJ//fis//rplB//cyoA//degP//dmsC//yiaJ//cheB//astA//dmsC//ccmF//entF//chbA//gspJ//ubiG//ygiB//feoC//ssuD//sucB//ydhY//dmsD//flhD//xapA//tdcF//yggX//rplT//fis//lpd//gutM//nmpC//ilvC//cysC//sohB//codB//idnD//cysU//garK//nupG//livJ//casD//lpd//nrdE//hdeA//mepH//nuoL//paaD//emrY//marA//cysD//dppF//rnhB//hisQ//mdh//uof//glgC//ilvL//ilvL//betT//cysD//rdoA//hflX//sgbE//murP//fixC//yegZ//xseA//treR//uhpB//iscU//metQ//mtlA//baeS//gspE//oppD//cysP//gspF//rrsE//aaeB//treB//nrdA//rrfD//glpB//amiB//yoaG//fecI//qseB//adhE//araE//glyA//glpB//bioD//psd//
Fur-Mn2+	amiB//betB//uxaB//ybiT//betA//rbsK//fhuF//tdcB//ydhV//nrdD//glnL//hpt//yciW//dnaE//chbC//melR//pitA//artJ//nanS//acnB//soxR//deoB//argF//trpC//sgbU//argC//miaA//glpC//mtlR//norW//alaV//frc//yhjC//cspE//uhpA//yedX//aldB//ilvD//caiB//yojI//rrlA//trpL//ssuA//oppA//sohB//hha//cpdB//ahpC//idnO//mhpF//ihfA//gspO//gcvT//lpd//uof//puuC//cirA//pitA//ilvG_1//argO//polA//aroF//ccmD//fixX//rrfG//mtlR//napB//hyfA//rrsD//lysU//rrlD//rplT//malM//fadA//hflX//tyrP//abgB//agp//cadA//dppD//fecB//hypC//rbfA//pheT//caiE//ubiC//nupC//entF//tsr//tfaQ//alaS//araB//atoB//sufC//hyfD//ulaE//rnlA//rpoE//cdd//sufS//citC//abgT//astE//rpsF//fixX//livH//gapA//alaS//ygeA//rcnB//mhpE//hycF//lolB//gltF//ugpC//guaA//lsrF//fadJ//ackA//yibN//abgA//yidQ//lysC//mscM//lacA//waaH//araF//treR//ileU//tap//mepH//gltT//ykgR//hycD//rrlG//trpC//fbaA//ccmD//deoC//caiD//
GlcC-Acetate	puuD//ynfG//argH//csiE//rrfH//ybiT//artQ//
GlcC-Glycolate	yecR//fumB//ynfK//mutY//crr//osmC//gntX//
GlrR-Pasp56	dppF//
IclR-pyruvate	puuP//agaW//mntP//frdB//
IdnR-5-ketogluconate	fbaA//uxuB//aceA//nlpD//icd//livF//allC//cas1//
IdnR-Idonate	frdB//ompC//rutD//araB//mtr//rrfA//uidB//glcD//
IlvY-2-acetolactate	yrbL//metI//
IlvY-Alfa-acetohydroxybutirate	miaA//cysH//
IscR-[2Fe-2S]1+	ilvL//malT//ybjG//phoA//bcsZ//fnr//nrfG//infB//hyaB//rplS//zraP//lacI//ssrS//preT//fadL//artM//mutL//cysG//ydbD//uxaB//srlB//rnlA//rpsJ//zwf//amiB//artI//zinT//pstC//sdhC//sbmC//phnK//zraP//ilvE//fhlA//idnT//hisP//nhaA//rybB//aspC//skp//cynX//
LldR-L-lactate	fadJ//yrbL//ccmH//
Lrp-Leucine	astD//glpX//rpoE//nrfA//oxc//ugpQ//ccmE//osmY//fadJ//argP//rutC//yqjI//kbl//tar//gutM//lysC//amn//nirD//paaE//oppF//narK//glcD//hyaA//malY//dppC//moaC//narJ//dapB//csgC//hofM//pepT//alkA//cusF//phoH//trmD//cusC//fepC//argF//fucP//ydhU//rplS//ygeA//rpsP//gatA//pdeF//nrfE//ydhX//glrR//nuoF//yhcH//aspC//dadA//norR//fecD//flhD//hcp//paaI//gspE//metK//dppB//nirC//sufA//cadB//cpdB//mglA//araA//fepA//fimI//feoC//hyfF//cysW//rbsC//csgB//ahpC//pstB//rbfA//arfB//glcC//dppB//chbA//phnM//sdhA//gpsA//glnB//murP//phoQ//yfdE//nanA//xylG//dcuD//phnE_2//mhpE//gntP//srlB//hycE//fhlA//lsrK//rrlH//puuC//fixC//dnaE//cysD//copA//purL//malQ//glnD//
LsrR	slyB//metE//ykgM//bcsA//acs//rrsA//rcnA//gcvH//ynfE//
MalT-ADP-Maltotriose	idnD//moaC//gspH//bacA//flhD//trpL//garL//feaB//yaeP//safA//
MalT-Maltotriose-ATP	modC//rplV//rhaB//garK//garL//glcD//rbsB//fdnI//moaC//cas1//
MelR-Melibiose	csgC//mntP//nohA//
MetJ-S-adenosylmethionine	psiF//znuA//argD//ldtB//nlpE//sbmC//alaV//kbaZ//gabD//talA//rplD//aaeB//nikD//caiD//appC//
MetR-L-homocysteine	betI//glnL//ilvY//hyfF//fadH//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]	alkB//rrsE//metQ//tadA//qseB//gltD//
MhpR-3HPP	gspM//ytfE//csgG//fucI//rpmI//tehA//
MntR-Cd2+	znuC//ydhW//ompC//nrfA//appY//
ModE-MoO42-	fucA//lsrA//sucC//ascB//srlE//ccmG//cytR//psiE//hemA//gdhA//marB//fhuB//cysA//rpoH//glgP//speB//hyfB//yeaE//rstB//ilvH//qseB//ygeH//cspE//hybB//purK//stpA//rcnA//manY//bglG//yhhY//chbA//cheB//hflD//rybB//cpdB//paaK//livM//lyxK//pgaD//rrlC//araA//mhpF//feoA//cysI//nrdE//metF//
NarL-Phosphorylated	ygiB//alkB//cyoA//napH//tyrB//ygiA//purB//mgrB//phoA//metA//chbA//oxyR//nlpD//emrY//sgbE//entF//srlB//yjcH//ubiX//ccmA//nikA//fbaA//bcsA//ybiT//hofN//feaB//mgtL//fimC//rseB//gltU//glcF//nuoJ//hycC//tdcG//phnO//phnP//yhcH//nrfD//purC//betB//focB//csgA//sbmA//hpt//ulaA//hemL//dmsB//cpxR//tehA//cysP//phoU//malE//ccmA//ackA//casB//glcE//citG//cynR//sucA//ndh//chiP//azuC//dsdA//nirB//narI//ahpF//cpdB//chbG//aroA//hofC//cusB//fepE//phnP//ftnA//dnaN//acrE//mgtA//pncB//yqjA//nikR//puuP//rrfB//grxD//hyfG//tdh//rutA//nanM//cheB//ulaF//xapB//garR//lldD//yqjI//moeB//serC//mzrA//hmp//argH//galT//lolB//fadA//rrsE//speB//fadB//tyrP//malM//rplC//phoQ//hyaE//ycjX//malF//tomB//ssuA//patZ//ycjX//yidQ//dppF//hyfC//sbcC//psiE//lsrB//caiC//cysW//ampD//dmsA//
NarP-Phosphorylated	alaA//sdaA//ldtB//umpH//gspF//rrfF//feaR//ompX//sucD//bioF//caiD//marR//galP//ulaE//fliZ//appC//mlc//lysU//zraR//phoQ//sucA//gspH//ssuA//bcsB//pgk//rpmI//nusA//nirD//mdtC//nrdE//livJ//miaA//rpsF//hdeA//tsx//nrdD//gpmA//infB//iscR//motB//waaH//rhaD//nanA//rhaR//phnP//acrD//phnO//ascF//lsrR//ompT//
NhaR-Na+	osmC//aceF//cstA//ydiU//nagB//hycB//fucA//
NikR-Cd2+	nrfB//zinT//ilvB//trpA//glcC//nrfD//
NikR-Co2+	ogt//thrS//nmpC//baeR//rrlG//sdhA//
NikR-Cu2+	artP//nanM//ampE//rplV//pyrD//fbaA//
NikR-Ni2+	ydeN//prpB//gntR//dmsD//rplW//rpsF//
NikR-Zn2+	ilvC//sucD//tyrB//rpsO//rrfA//lsrB//
NrdR-ATP	hha//rhaD//zraS//bdcA//cynT//glgB//ydhW//rpoH//bioD//
NrdR-Zn2+	ssuB//fdnG//nikB//zwf//gspF//nrfB//safA//sbmA//baeR//
NrdR-dATP	prpE//dppD//rimM//aceA//uxaB//rseA//znuB//alaS//purB//
NsrR-[2Fe-2S]reduced	yebE//rstA//gatA//lysP//hisP//yfbR//atoB//rrlD//bioB//purB//bglG//chbB//preA//rcnB//rpsS//gntU//stpA//rpoS//metN//pdeF//bcsB//citF//idnD//aroH//gatY//creD//bioB//araE//tdh//tdcC//phnG//fucP//uhpA//malQ//gatZ//phoQ//narL//copA//yfdE//gspH//glpA//pagP//fucK//aaeB//galE//focB//cydD//aroG//murP//hofB//aroA//glmY//astC//ppiD//soxS//fucK//ampE//yaiA//hslJ//rpoS//mntP//preT//phoE//fadB//bioD//grcA//manZ//hofC//thrV//cusA//bglG//exuT//alaA//
PhoB-Phosphorylated	rpoH//hyaE//gcvP//lpxB//evgS//dmsA//hycC//erpA//oxc//tauD//ilvY//tsr//ubiA//tomB//priB//artJ//cusF//dmsC//phnC//betT//dmsA//sucC//recF//codB//uxaC//glmY//nikE//purB//rrfB//tsaE//napB//napB//aroA//galK//hofB//mhpE//ydhX//glpB//ugpA//srlA//rrsC//yegH//mutY//glcA//entC//yjeF//lsrB//treC//soxS//lsrC//lsrR//nrdB//glmY//ccmA//bamA//alaV//mhpA//lsrG//tktB//hha//ascF//
PhoP-Phosphorylated	manA//mdtC//rpoS//dadA//yneM//glcC//caiC//purE//nrdA//araE//gadC//ackA//yeiB//yrbL//fadD//dnaE//purE//rpsO//argH//hypD//yjcH//ssuB//creA//glcF//phnO//cyoA//yrbL//preT//ulaE//glpG//crl//cydA//cyoA//yqjI//paaI//gspH//eda//pstS//tdh//rpsF//chbF//artJ//agaV//garR//fecR//katE//tdcD//fadH//gcd//yaiA//creC//aer//dadX//tdcA//pgk//yfdE//gltD//
PrpR-2-methylcitrate	rrlG//srlE//acrB//gspD//uidC//
PurR-Guanine	betI//purL//baeR//yeaE//mglB//ilvX//malZ//pgaC//evgS//rrsE//mhpA//bamE//proP//tdcG//tdcD//gspK//pgaD//ynfG//malM//hofB//zwf//glpB//glpB//yfdX//pyrD//gnd//ychH//rplP//argE//pstA//napH//ebgC//torR//fhuA//
PurR-Hypoxanthine	ybfN//trpL//glpX//ebgA//cheW//ilvA//pgk//comR//cheW//lsrB//fimD//fadL//galK//glgX//mgrR//rbsC//fimI//gcvP//cheY//ugpC//cydD//aroP//mcaS//phnJ//ilvG_2//yfaE//alaS//yojI//uhpT//grxD//hdeD//ptsI//sodB//dcuS//
QseB-Phosphorylated	uhpA//exbD//gapA//narH//
RhaR-L-rhamnose	soxS//dnaE//
RhaS-L-rhamnose	nrdB//tyrB//ccmC//puuR//hupB//tauD//
RstA-Phosphorylated	xylA//ubiC//norR//hisJ//nuoL//ynfE//qseC//iscR//tdcF//lolB//
SoxR-[2Fe-2S]3+ oxydized	tdcG//hofM//aceF//ubiC//
TorR-Phosphorylated	gntX//rrlC//cydA//gcvP//mglB//fadI//mtr//rrsD//bglF//rplW//
TrpR-Tryptophan	dmsD//tnaB//purL//caiF//moaA//sroD//rrsB//argE//zraS//preA//entA//aceK//
TyrR-L-tryptophan	phnN//fepD//prmC//rrlB//nuoJ//citG//ydbD//rrlA//tnaA//rnpB//deoB//sgbU//moaB//aroA//
TyrR-Phenylalanine	crr//gadB//ssb//purH//carA//nac//phnE_1//entH//ung//atoA//rpsJ//ccmE//nrfG//pheT//
TyrR-Tyrosine	trpL//rrfB//fabZ//csiD//tam//fimA//metN//hycD//idnO//cysU//gatA//lysO//fhuD//garP//
UhpA-Phosphorylated	gabP//
XapR-xanthosine	purF//uxuA//
XylR-Xylose	trpA//tsr//gltB//mhpE//sgbH//yggX//
ZntR-Cd2+	phoH//
ZntR-Hg	hdeD//
ZntR-Zn2+	fur//
ZraR-Phosphorylated	cysW//cheR//malT//
Zur-Zn2+	prfA//nanA//purK//tdcC//rseB//mdtB//
